word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
h)\n,ἐάν,conjunction,de\,δέ,particle,kairo\s,καιρός,noun,ei)/h,ἀίω,verb,xorhgi/hs,χορηγία,noun,ce/nw|,ξένος,noun,te,τε,particle,e)o/nti,εἰμί,verb,kai\,καί,conjunction,a)pore/onti,ἀφοράω,verb,ma/lista,μάλιστα,adverb,e)parkei=n,ἐπαρκέω,verb,toi=s,ὁ,article,toiou/tois,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ga\r,γάρ,particle,parh=|,πάρειμι,verb,filanqrwpi/h,φιλανθρωπία,noun,pa/resti,πάρειμι,verb,kai\,καί,conjunction,filotexni/h,φιλοτεχνία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nioi,ἔνιοι,adjective,ga\r,γάρ,particle,nose/ontes,νοσέω,verb,h)|sqhme/noi,αἰσθάνομαι,verb,to\,ὁ,article,peri\,περί,preposition,e(wutou\s,ἑαυτοῦ,pronoun,pa/qos,πάθος,adjective,mh\,μή,conjunction,e)o\n,εἰμί,verb,e)n,ἐν,preposition,a)sfalei/h|,ἀσφάλεια,noun,kai\,καί,conjunction,th=|,ὁ,article,tou=,ὁ,article,i)htrou=,ἰατρός,noun,e)pieikei/h|,ἐπιείκεια,noun,eu)doke/ousi,,,metalla/ssontes,μεταλλάσσω,verb,e)s,εἰς,preposition,u(giei/hn,ὑγίεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=,εὖ,adverb,d',δέ,particle,e)/xei,ἔχω,verb,noseo/ntwn,νοσέω,verb,me\n,μέν,particle,e)pistatei=n,ἐπιστατέω,verb,e(/neken,ἕνεκα,preposition,u(giei/hs,ὑγίεια,noun,u(giaino/ntwn,ὑγιαίνω,verb,de\,δέ,particle,fronti/zein,φροντίζω,verb,e(/neken,ἕνεκα,preposition,a)nosi/hs,ἀνοσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fronti/zein,φροντίζω,verb,kai\,καί,conjunction,e(wutw=n,ἑαυτοῦ,pronoun,e(/neken,ἕνεκα,preposition,eu)sxhmosu/nhs,εὐσχημοσύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,e)o/ntes,εἰμί,verb,e)n,ἐν,preposition,buqw=|,βυθός,noun,a)texni/hs,ἀτεχνία,noun,tw=n,ὁ,article,prolelegme/nwn,προλέγω,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,ai)sqa/nointo,αἰσθάνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou(=toi,οὗτος,pronoun,a)ni/htroi,,,e)o/ntes,εἰμί,verb,e)le/gxoint',ἐλέγχω,verb,a)\n,ἄν,particle,e)k,ἐκ,preposition,podo\s,πούς,noun,u(yeu/,,,menoi,,,tu/xhs,τύχη,noun,ge,γε,particle,mh\n,μήν,particle,deo/menoi,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(po\,ὑπό,preposition,ga/r,γάρ,particle,tinwn,τις,pronoun,eu)po/rwn,εὔπορος,adjective,kai\,καί,conjunction,stenw=n,στένος,noun,e)/ndosin,ἔνδοσις,noun,a)nalambano/ntwn,ἀναλαμβάνω,verb,e(kate/rh|,ἑκάτερος,adjective,e)ph\n,ἐπήν,conjunction,e)pitu/xwsi,ἐπιτυγχάνω,verb,eu)dokime/ousi,εὐδοκιμέω,verb,kai\,καί,conjunction,diapipto/ntwn,διαπίπτω,verb,e)pi\,ἐπί,preposition,to\,ὁ,article,xei=ron,χείρων,adverb,kataxlideu=si,καταχλιδάω,verb,katamemelhko/tes,καταμέλω,verb,ta\,τίς,pronoun,th=s,ὁ,article,te/xnhs,τέχνη,noun,a)nupeu/quna,ἀνυπεύθυνος,adjective,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,i)htro\s,ἰατρός,noun,a)gaqo\s,ἀγαθός,adjective,a)kma/zoi,ἀκμάζω,verb,o(mo/texnos,ὁμότεχνος,adjective,kaleo/menos,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,ta\s,ὁ,article,a)ke/sias,ἄκεσις,noun,a)namarth/tous,ἀναμάρτητος,adjective,r(hi+di/ws,ῥᾴδιος,adjective,e)pitele/wn,ἐπιτέλλω,verb,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,tou/twn,οὗτος,pronoun,parabai/h,παραβαίνω,verb,spa/nei,σπάνις,adjective,tou=,ὁ,article,du/nasqai,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)/pisto/s,ἄπιστος,adjective,e)stin,εἰμί,verb,w(s,ὡς,conjunction,e)n,ἐν,preposition,a)diki/h|,ἀδικία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,ga\r,γάρ,particle,qerapei/hn,θεραπεία,noun,ou),οὐ,adverb,gi/nontai,γίγνομαι,verb,skope/ontes,σκοπάω,verb,dia/qesin,διάθεσις,noun,flebonw/dea,,,fulasso/menoi,φυλάσσω,verb,e(te/rwn,ἕτερος,adjective,i)htrw=n,ἰατρός,noun,e)pesagwgh/n,,,e)no/ntes,ἔνειμι,verb,e)n,ἐν,preposition,misoponhri/h|,μισοπονηρία,noun,bohqh/sios,βοήθησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(/,ἕ,pronoun,te,τε,particle,nose/ontes,νοσέω,verb,a)niw/menoi,ἀνιάομαι,verb,nh/xontai,νήχω,verb,e)pi\,ἐπί,preposition,e(kate/rh|,ἑκάτερος,adjective,moxqhri/h|,μοχθηρία,noun,mh\,μή,conjunction,e)gkexeiriko/tes,ἐγχειρίζω,verb,e(wutou\s,ἑαυτοῦ,pronoun,e(/ws,ἕως,conjunction,te/leos,τέλος,noun,th=|,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,te/xnh|,τέχνη,noun,plei/oni,πλείων,verb,qerapei/h|,θεραπεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/nesis,ἄνεσις,adjective,ga\r,γάρ,particle,nou/sou,νόσος,noun,tino\s,τις,pronoun,ka/mnonti,κάμνω,verb,pare/xei,παραχέω,verb,mega/lhn,μέγας,adverb,a)lewrh/n,ἀλεωρή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,deo/menoi,δέομαι,verb,th\n,ὁ,article,u(gieinh\n,ὑγιεινός,adjective,dia/qesin,διάθεσις,noun,ou)k,οὐ,adverb,e)qe/lousi,ἐθέλω,verb,th\n,ὁ,article,au)th\n,αὐτός,pronoun,xrh=sin,χρῆσις,noun,ai)ei\,ἀεί,adverb,prosde/xesqai,προσδέχομαι,verb,o(monoe/ontes,,,i)htrou=,ἰατρός,noun,poikili/h|,ποικιλία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polutelei/hs,,,ga\r,γάρ,particle,a)pore/ousin,ἀφοράω,verb,oi(,ἕ,pronoun,nose/ontes,νοσέω,verb,kakotropi/h|,κακοτροπία,noun,proskune/ontes,προσκυνέω,verb,kai\,καί,conjunction,a)xariste/ontes,ἀχαριστέω,verb,suntixei=n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunatoi\,δυνατός,adjective,e)o/ntes,εἰμί,verb,eu)porei=n,εὐπορέω,verb,diantli/zontai,διαντλίζομαι,verb,peri\,περί,preposition,misqari/wn,μισθάριον,adjective,a)treke/ws,ἀτρεκής,adjective,e)qe/lontes,ἐθέλω,verb,u(gie/es,ὑγιής,adverb,ei)=nai,εἰμί,verb,ei(/neken,ἕνεκα,preposition,e)rgasi/hs,ἐργασία,noun,to/kwn,τοκάω,verb,h)\,ἠέ,conjunction,gewrgi/hs,γεωργία,noun,a)frontiste/ontes,ἀφροντιστέω,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,lamba/nein,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,shmasi/hs,σημασία,noun,toiau/ths,τοιοῦτος,adjective,a(/lis,ἅλις,adverb,e)/stw,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/nesis,ἄνεσις,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,e)pi/tasis,ἐπίτασις,noun,nose/ontos,νοσέω,verb,e)pine/mhsin,ἐπινέμησις,noun,i)htrikh\n,ἰατρικός,adjective,ke/xrhntai,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)sxh/mwn,ἄσχημος,adjective,de/,δέ,particle,ou)d',οὐδέ,particle,h)/n,ἐάν,conjunction,tis,τις,pronoun,i)htro\s,ἰατρός,noun,stenoxwre/wn,στενοχωρής,adjective,tw=|,ὁ,article,pareo/nti,πάρειμι,verb,e)pi/,ἐπί,preposition,tini,τις,pronoun,nose/onti,νοσέω,verb,kai\,καί,conjunction,e)piskoteo/menos,ἐπισκοτέω,verb,th=|,ὁ,article,a)peiri/h|,ἀπειρία,noun,keleu/h|,κελεύω,verb,kai\,καί,conjunction,e(te/rous,ἕτερος,adjective,e)sa/gein,εἰσάγω,verb,ei(/neka,ἕνεκα,preposition,tou=,ὁ,article,e)k,ἐκ,preposition,koinologi/hs,κοινολογία,noun,i(storh=sai,ἱστορέω,verb,ta\,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,nose/onta,νοσέω,verb,kai\,καί,conjunction,sunergou\s,συνεργός,adjective,gene/sqai,γίγνομαι,verb,e)s,εἰς,preposition,eu)pori/hn,εὐπορία,noun,bohqh/sios,βοήθησις,noun,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,ga\r,γάρ,particle,kakopaqei/hs,κακοπάθεια,noun,paredri/h|,παρεδρία,noun,e)pitei/nontos,ἐπιτείνω,verb,tou=,ὁ,article,pa/qeos,πάθος,adjective,di',διά,preposition,a)pori/hn,ἀπορία,noun,ta\,ὁ,article,plei=sta,πλεῖστος,adjective,e)kkli/nousi,ἐκκλίνω,verb,tw=|,ὁ,article,pare/onti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qarrhte/on,,,ou)=n,οὖν,particle,e)n,ἐν,preposition,kairw=|,καιρός,noun,toiou/tw|,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/pote,οὐδέποτε,adverb,ga\r,γάρ,particle,e)gw\,ἐγώ,pronoun,to\,ὁ,article,toiou=to,τοιοῦτος,adjective,o(rieu=mai,ὁρίζω,verb,o(/ti,ὅστις,pronoun,h(,ὁ,article,te/xnh,τέχνη,noun,ke/kritai,κρίνω,verb,peri\,περί,preposition,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde/pote,μηδέποτε,adverb,filoneikei=n,φιλονεικέω,verb,proskure/ontas,προσκυρέω,verb,e(wutoi=si,ἑαυτοῦ,pronoun,kai\,καί,conjunction,katasillai/nein,κατασιλλαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,ga\r,γάρ,particle,a)\n,ἄν,particle,meq',μετά,preposition,o(/rkou,ὅρκος,noun,e)re/w,ἐρέω,verb,ou)de/pote,οὐδέποτε,adverb,i)htrou=,ἰατρός,noun,logismo\s,λογισμός,noun,fqonh/seien,φθονέω,verb,a)\n,ἄν,particle,e(te/rw|,ἕτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kidno\s,ἀκιδνός,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,fanei/h,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ma=llon,μᾶλλον,adverb,oi(,ἕ,pronoun,a)gxisteu/ontes,ἀγχιστεύω,verb,a)gorai/hs,,,e)rgasi/hs,ἐργασία,noun,prh/ssousi,πράσσω,verb,tau=ta,οὗτος,pronoun,eu)mare/ws,εὐμαρής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,ge,γε,particle,ou)de\,οὐδέ,particle,yeude/ws,ψευδής,adverb,kata,,,neno/htai,νοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/sh|,πᾶς,adjective,ga\r,γάρ,particle,eu)pori/h|,εὐπορία,noun,a)pori/h,ἀπορία,noun,e)/nesti,ἔνειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,tou/twn,οὗτος,pronoun,de\,δέ,particle,pa/ntwn,πᾶς,adjective,me/ga,μέγας,adverb,a)\n,ἄν,particle,tekmh/rion,τεκμήριον,noun,fanei/h,φαίνω,verb,su\n,σύν,preposition,th=|,ὁ,article,ou)si/h|,οὐσία,adjective,th=s,ὁ,article,te/xnhs,τέχνη,noun,ei)/,εἰ,conjunction,tis,τις,pronoun,kalw=s,καλός,noun,i)htreu/wn,,,prosagoreu/sios,προσαγόρευσις,noun,toiau/ths,τοιοῦτος,adjective,mh\,μή,conjunction,a)postai/h,ἀφίστημι,verb,keleu/wn,κελεύω,verb,toi=si,τίς,pronoun,nose/ousi,νοσέω,verb,mhde\n,μηδείς,pronoun,o)xlei=sqai,ὀχλέω,verb,kata\,κατά,preposition,dia/noian,διάνοια,noun,e)n,ἐν,preposition,tw=|,ὁ,article,speu/dein,σπεύδω,verb,a)fike/sqai,ἀφικνέομαι,verb,e)s,εἰς,preposition,kairo\n,καιρός,noun,swthri/hs,σωτηρία,noun,,,,,,,,,,,,,,,,,,,,,,
h(geu/meqa,ἁγέομαι,verb,ga\r,γάρ,particle,a(\,ὅς,pronoun,xrh\,χρή,verb,e)s,εἰς,preposition,th\n,ὁ,article,u(giei/hn,ὑγίεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,prostasso/meno/s,προσστάζω,verb,ge,γε,particle,ou),οὐ,adverb,diamarth/sei,διαμαρτάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)toi\,αὐτός,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,oi(,ἕ,pronoun,nose/ontes,νοσέω,verb,dia\,διά,preposition,th\n,ὁ,article,a)lgeinh\n,ἀλγεινός,adjective,dia/qesin,διάθεσις,noun,a)paude/ontes,ἀπαυδάω,verb,e(wutou/s,ἑαυτοῦ,pronoun,te,τε,particle,metalla/ssousi,μεταλλάσσω,verb,th=s,ὁ,article,zwh=s,ζωή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,e)gkexeirisme/nos,ἐγχειρίζω,verb,to\n,ὁ,article,nose/onta,νοσέω,verb,h)\n,ἐάν,conjunction,a)podei/ch|,ἀποδείκνυμι,verb,ta\,ὁ,article,th=s,ὁ,article,te/xnhs,τέχνη,noun,e)ceurh/mata,ἐξεύρημα,noun,sw/|zwn,σώζω,verb,ou)k,οὐ,adverb,a)lloiw=n,ἀλλοιόω,verb,fu/sin,φύσις,noun,a)poi/sei,ἀποφέρω,verb,th\n,ὁ,article,pareou=san,πάρειμι,verb,a)qumi/hn,ἀθυμία,noun,h)\,ἠέ,conjunction,th\n,ὁ,article,parauti/ka,παραυτίκα,adverb,a)pisti/hn,ἀπιστία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,tou=,ὁ,article,a)nqrw/pou,ἄνθρωπος,noun,eu)eci/h,εὐεξία,noun,fu/sis,φύσις,noun,ti/s,τίς,pronoun,e)sti,εἰμί,verb,fu/sei,φύσις,noun,peripepoihme/nh,περιποιέω,verb,ki/nhsin,κίνησις,adjective,ou)k,οὐ,adverb,a)llotri/hn,ἀλλότριος,adjective,a)lla\,ἀλλά,adverb,li/hn,λίαν,adverb,ge,γε,particle,eu)armosteu=san,εὐαρμοστέω,verb,pneu/mati/,πνεῦμα,noun,te,τε,particle,kai\,καί,conjunction,qermasi/h|,θερμασία,noun,kai\,καί,conjunction,xumw=n,χυμόω,verb,katergasi/h|,κατεργασία,noun,pa/nth,πάντῃ,adverb,te,τε,particle,kai\,καί,conjunction,pa/sh|,πᾶς,adjective,diai/th|,δίαιτα,noun,kai\,καί,conjunction,toi=si,ὁ,article,su/mpasi,σύμπας,adjective,dedhmiourghme/nh,δημιουργέω,verb,h)\n,ἐάν,conjunction,mh/,μή,conjunction,ti,τις,pronoun,e)k,ἐκ,preposition,geneth=s,γενετή,noun,h)\,ἠέ,conjunction,a)p',ἀπό,preposition,a)rxh=s,ἀρχή,noun,e)/lleima,h)=|,εἰμί,verb
h)\n,ἐάν,conjunction,de\,δέ,particle,ge/nhtai/,γίγνομαι,verb,ti,τις,pronoun,e)cith/lou,ἐξίτηλος,adjective,e)o/ntos,εἰμί,verb,peira=sqai,πειράω,verb,e)comoiou=n,ἐξομοιόω,verb,th=|,ὁ,article,u(pokeime/nh|,ὑπόκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para\,παρά,preposition,ga\r,γάρ,particle,fu/sin,φύσις,noun,to\,ὁ,article,minu/qhma,μινύθημα,noun,kai\,καί,conjunction,dia\,διά,preposition,xro/nou,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*feukte/h,,,de\,δέ,particle,kai\,καί,conjunction,qru/yis,θρύψις,noun,e)pikrati/dwn,,,dia\,διά,preposition,prosku/rhsin,προσκύρησις,noun,a)ke/sios,ἄκεσις,noun,o)dmh/,ὀσμή,noun,te,τε,particle,peri/ergos,περίεργος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ga\r,γάρ,particle,i(kanh\n,ἱκανός,adjective,a)sunhqei/hn,,,diabolh\n,διαβολή,noun,kekth/sei,κτάομαι,verb,dia\,διά,preposition,de\,δέ,particle,o)li/ghn,ὀλίγος,adjective,eu)sxhmosu/nhn,εὐσχημοσύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,ga\r,γάρ,particle,me/rei,μέρος,noun,po/nos,πόνος,noun,o)li/gos,ὀλίγος,adjective,e)n,ἐν,preposition,pa=si,πᾶς,adjective,i(kano/s,ἱκανός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)xari/hn,,,de\,δέ,particle,ou),οὐ,adverb,periaire/w,περιαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ci/h,ἄξιος,adjective,ga\r,γάρ,particle,i)htrikh=s,ἰατρικός,adjective,prostasi/hs,προστασία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosqe/sios,πρόσθεσις,noun,de\,δέ,particle,di',διά,preposition,o)rga/nwn,ὄργανον,noun,kai\,καί,conjunction,shmantikw=n,σημαντικός,adjective,e)pidei/cios,ἐπίδειξις,noun,kai\,καί,conjunction,tw=n,ὁ,article,toioutotro/pwn,τοιουτότροπος,adjective,mnh/mhn,μνήμη,noun,parei=nai,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
