word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS
ou)de\n,οὐδείς,pronoun,ga\r,γάρ,particle,h)/rkei,ἀρκέω,verb,to/ca,τόξον,noun,pa=s,πᾶς,adjective,d',δέ,particle,a)pw/lluto,ἀπόλλυμι,verb,strato\s,στρατός,noun,damasqei\s,δαμάζω,verb,nai/+oisin,νήιος,adjective,e)mbolai=s,ἐμβολή,noun,i)/uz',ἰύζω,verb,a)/potmon,ἄποτμος,adjective,*pe/rsais,Πέρσης,proper,dusaianh=,δυσαιανής,adjective,boa\n,βοή,noun,da/|ois,δαίω,verb,w(s,ὡς,conjunction,pa/nta,πᾶς,adjective,pagka/kws,πάγκακος,adjective,e)/fqisan,φθίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ai=,αἰαῖ,interjection,stratou=,στρατός,noun,fqare/ntos,φθείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,plei=ston,πλεῖστος,adjective,e)/xqos,ἔχθος,noun,o)/noma,ὄνομα,adjective,*salami=nos,Σαλαμίς,proper,klu/ein,κλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=,φεῦ,interjection,tw=n,ὁ,article,*)aqhnw=n,Ἀθήνη,proper,w(s,ὡς,conjunction,ste/nw,στένω,verb,memnhme/nos,μιμνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stugnai/,στυγνός,adjective,g',γε,particle,*)aqa=nai,Ἀθήνη,proper,da/|ois,δαίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memnh=sqai/,μιμνήσκω,verb,toi,τοι,particle,pa/ra,παρά,preposition,w(s,ὡς,conjunction,polla\s,πολύς,adjective,*persi/dwn,Περσίς,proper,ma/tan,μάτην,adverb,e)/ktisan,ἐκτίνω,verb,eu)/nidas,εὖνις,noun,h)d',ἠδέ,conjunction,a)na/ndrous,ἀνάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigw=,σιγάω,verb,pa/lai,πάλαι,adverb,du/sthnos,δύστηνος,adjective,e)kpeplhgme/nh,ἐκπλήσσω,verb,kakoi=s,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(perba/llei,ὑπερβάλλω,verb,ga\r,γάρ,particle,h(/de,ὅδε,pronoun,sumfora\,συμφορά,noun,to\,ὁ,article,mh/te,μήτε,particle,le/cai,λέγω,verb,mh/t',μήτε,particle,e)rwth=sai,ἐρωτάω,verb,pa/qh,πάθη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/mws,ὅμως,conjunction,d',δέ,particle,a)na/gkh,ἀνάγκη,noun,phmona\s,πημονή,noun,brotoi=s,βροτός,noun,fe/rein,φέρω,verb,qew=n,θέα,noun,dido/ntwn,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=n,πᾶς,adjective,d',δέ,particle,a)naptu/cas,ἀναπτύσσω,verb,pa/qos,πάθος,adjective,le/con,λέγω,verb,katasta/s,καθίστημι,verb,kei),εἰ,conjunction,ste/neis,στένω,verb,kakoi=s,κακός,adjective,o(/mws,ὅμως,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ou),οὐ,adverb,te/qnhke,θνήσκω,verb,ti/na,τίς,pronoun,de\,δέ,particle,kai\,καί,conjunction,penqh/somen,πενθέω,verb,tw=n,ὁ,article,a)rxelei/wn,ἀρχέλαος,adjective,o(/st',ὅστε,pronoun,e)pi\,ἐπί,preposition,skhptouxi/a|,σκηπτουχία,noun,taxqei\s,τάσσω,verb,a)/nandron,ἀνάνω,verb,ta/cin,τάξις,noun,h)rh/mou,ἐρημόω,verb,qanw/n,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ce/rchs,Ξέρξης,proper,me\n,μέν,particle,au)to\s,αὐτός,pronoun,zh=|,ζάω,verb,te,τε,particle,kai\,καί,conjunction,ble/pei,βλέπω,verb,fa/os,φάος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi=s,ἐμός,adjective,me\n,μέν,particle,ei)=pas,εἶπον,verb,dw/masin,δῶμα,noun,fa/os,φάος,adjective,me/ga,μέγας,adverb,kai\,καί,conjunction,leuko\n,λευκός,adjective,h)=mar,ἦμαρ,noun,nukto\s,νύξ,adjective,e)k,ἐκ,preposition,melagxi/mou,μελάγχιμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)artemba/rhs,Ἀρτεμβάρης,proper,de\,δέ,particle,muri/as,μυρίος,adjective,i(/ppou,ἵππος,noun,brabeu\s,βραβεύς,noun,stu/flous,στύφλος,adjective,par',παρά,preposition,a)kta\s,ἀκτή,noun,qei/netai,θείνω,verb,*silhniw=n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw),ὁ,article,xili/arxos,χιλίαρχος,noun,*dada/khs,,,plhgh=|,πληγή,noun,doro\s,δόρυ,noun,ph/dhma,πήδημα,noun,kou=fon,κοῦφος,adjective,e)k,ἐκ,preposition,new\s,ναός,noun,a)fh/lato,ἀπάλλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tena/gwn,,,t',τε,particle,a)risteu\s,ἀριστεύς,noun,*baktri/wn,Βάκτριος,proper,i)qaigenh\s,ἰθαγενής,adjective,qalasso/plhkton,θαλασσόπληκτος,adjective,nh=son,νῆσος,noun,*ai)/antos,Αἴας,proper,polei=,πολέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*li/laios,,,*)arsa/mhs,Ἀρσάμης,proper,te,τε,particle,k*)argh/sths,,,tri/tos,τρίτος,adjective,oi(/d',ὅδε,pronoun,a)mfi\,ἀμφί,preposition,nh=son,νῆσος,noun,th\n,ὁ,article,peleioqre/mmona,πελειοθρέμμων,adjective,dinou/menoi,δινέω,verb,'ku/risson,κυρίσσω,verb,i)sxura\n,ἰσχυρός,adjective,xqo/na,χθών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phgai=s,πηγός,adjective,te,τε,particle,*nei/lou,Νεῖλος,proper,geitonw=n,γειτονέω,verb,*ai)gupti/ou,Αἰγύπτιος,proper,*)arkteu/s,,,*)adeu/hs,,,kai\,καί,conjunction,feressa/khs,,,tri/tos,τρίτος,adjective,*farnou=xos,Φαρνοῦχος,proper,oi(/de,ὅδε,pronoun,nao\s,ναός,noun,e)k,ἐκ,preposition,mia=s,εἷς,adjective,pe/son,πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*xruseu\s,,,*ma/tallos,,,murio/ntarxos,μυριόνταρχος,noun,qanw/n,θνήσκω,verb,i(/ppou,ἵππος,noun,melai/nhs,μέλας,adjective,h(gemw\n,ἡγεμών,noun,trismuri/as,τρισμύριοι,adjective,purra\n,πυρρός,adjective,zaplhqh=,ζαπληθής,adjective,da/skion,δάσκιος,adjective,geneia/da,γενειάς,noun,e)/tegg',τέγγω,verb,a)mei/bwn,ἀμείβω,verb,xrw=ta,χρώς,noun,porfure/a|,πορφύρεος,adjective,bafh=|,βαφεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*ma=gos,Μᾶγος,proper,*)/arabos,Ἄραβος,proper,*)arta/bhs,ἀρτάβη,noun,te,τε,particle,*ba/ktrios,Βάκτριος,proper,sklhra=s,σκληρός,adjective,me/toikos,μέτοικος,noun,gh=s,γῆ,noun,e)kei=,ἐκεῖ,adverb,kate/fqito,καταφθίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/amistris,,,*)amfistreu/s,,,te,τε,particle,polu/ponon,πολύπονος,adjective,do/ru,δόρυ,noun,nwmw=n,νωμάω,verb,o(/,ὅς,pronoun,t',τε,particle,e)sqlo\s,ἐσθλός,adjective,*)ario/mardos,Ἀριόμαρδος,proper,*sa/rdesi,Σάρδεις,proper,pe/nqos,πένθος,noun,parasxw/n,παρέχω,verb,*seisa/mhs,,,q',τε,particle,o(,ὁ,article,*mu/sios,Μύσιος,proper,*qa/rubi/s,,,te,τε,particle,penth/konta,πεντήκοντα,verb,penta/kis,πεντάκις,adverb,new=n,ναός,noun,tago/s,ταγός,noun,ge/nos,γένος,noun,*lurnai=os,,,eu)eidh\s,εὐειδής,adverb,a)nh/r,ἀνήρ,noun,kei=tai,κέω,verb,qanw\n,θνήσκω,verb,dei/laios,δείλαιος,adjective,ou),οὐ,adverb,ma/l',μάλα,adverb,eu)tuxw=s,εὐτυχής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sue/nnesi/s,Συέννεσις,proper,te,τε,particle,prw=tos,πρότερος,adjective,ei)s,εἰς,preposition,eu)yuxi/an,εὐψυχία,noun,*kili/kwn,Κίλιξ,proper,a)/parxos,ἄπαρχος,noun,ei(=s,εἷς,adjective,a)nh\r,ἀνήρ,noun,plei=ston,πλεῖστος,adjective,po/non,πόνος,noun,e)xqroi=s,ἐχθρός,adjective,parasxw/n,παρέχω,verb,eu)klew=s,εὐκλεής,adverb,a)pw/leto,ἀπόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toso/nde,τοσόσδε,adjective,tagw=n,,,nu=n,νῦν,adverb,u(pemnh/sqhn,ὑπομιμνήσκω,verb,pe/ri,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,paro/ntwn,πάρειμι,verb,d',δέ,particle,o)li/g',ὀλίγος,adjective,a)pagge/llw,ἀπαγγέλλω,verb,kaka/,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)ai=,αἰαῖ,interjection,kakw=n,κακός,adjective,u(/yista,ὕψιστος,adjective,dh\,δή,particle,klu/w,κλύω,verb,ta/de,ὅδε,pronoun,ai)/sxh,αἶσχος,noun,te,τε,particle,*pe/rsais,Πέρσης,proper,kai\,καί,conjunction,lige/a,λιγύς,adjective,kwku/mata,κώκυμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,fra/son,φράζω,verb,moi,ἐγώ,pronoun,tou=t',οὗτος,pronoun,a)nastre/yas,ἀναστρέφω,verb,pa/lin,πάλιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/son,πόσος,adjective,de\,δέ,particle,plh=qos,πλῆθος,noun,h)=n,εἰμί,verb,new=n,ναός,noun,*(ellhni/dwn,Ἑλληνίς,proper,w(/st',ὥστε,conjunction,a)ciw=sai,ἀξιάω,verb,*persikw=|,Περσικός,adjective,strateu/mati,στράτευμα,adjective,ma/xhn,μάχη,noun,suna/yai,συνάπτω,verb,nai/+oisin,νήιος,adjective,e)mbolai=s,ἐμβολή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh/qous,πλῆθος,noun,me\n,μέν,particle,a)\n,ἄν,particle,sa/f',σάφα,adverb,i)/sq',εἰμί,verb,e(/kati,ἕκητι,adverb,ba/rbaron,βάρβαρος,adjective,nausi\n,ναῦς,noun,krath=sai,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,*(/ellhsin,Ἕλλην,proper,me\n,μέν,particle,h)=n,εἰμί,verb,o(,ὁ,article,pa=s,πᾶς,adjective,a)riqmo\s,ἀριθμός,adjective,e)s,εἰς,preposition,triaka/das,τριακάς,noun,de/ka,δέκα,verb,naw=n,ναός,noun,deka\s,δεκάς,noun,d',δέ,particle,h)=n,εἰμί,verb,tw=nde,ὅδε,pronoun,xwri\s,χωρίς,adverb,e)/kkritos,ἔκκριτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ce/rch|,Ξέρξης,proper,de/,δέ,particle,kai\,καί,conjunction,ga\r,γάρ,particle,oi)=da,οἶδα,verb,xilia\s,χιλιάς,adjective,me\n,μέν,particle,h)=n,εἰμί,verb,w(=n,ὅς,pronoun,h)=ge,ἄγω,verb,plh=qos,πλῆθος,noun,ai(,ὁ,article,d',δέ,particle,u(pe/rkopoi,ὑπέρκοπος,adjective,ta/xei,τάχος,adjective,e(kato\n,ἑκατόν,noun,di\s,δίς,adverb,h)=san,εἰμί,verb,e(pta/,ἑπτά,noun,q',τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=d',ὧδε,adverb,e)/xei,ἔχω,verb,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/,μή,conjunction,soi,σύ,pronoun,dokou=men,δοκέω,verb,th=|de,ὅδε,pronoun,leifqh=nai,λείπω,verb,ma/xh|,μάχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w(=de,ὧδε,adverb,dai/mwn,δαίμων,adjective,tis,τις,pronoun,kate/fqeire,καταφθείρω,verb,strato/n,στρατός,noun,ta/lanta,τάλαντον,noun,bri/sas,βρίθω,verb,ou)k,οὐ,adverb,i)sorro/pw|,ἰσόρροπος,adjective,tu/xh|,τύχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeoi\,θεός,noun,po/lin,πόλις,adjective,sw/|zousi,σώζω,verb,*palla/dos,Παλλάς,proper,qea=s,θεά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/t',ἔτι,adverb,a)=r',ἆρα,particle,*)aqhnw=n,Ἀθήνη,proper,e)/st',εἰμί,verb,a)po/rqhtos,ἀπόρθητος,adjective,po/lis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ndrw=n,ἀνήρ,noun,ga\r,γάρ,particle,o)/ntwn,εἰμί,verb,e(/rkos,ἕρκος,noun,e)sti\n,εἰμί,verb,a)sfale/s,ἀσφαλής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxh\,ἀρχή,noun,de\,δέ,particle,nausi\,ναῦς,noun,sumbolh=s,συμβολεύς,noun,ti/s,τίς,pronoun,h)=n,εἰμί,verb,fra/son,φράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/nes,τίς,pronoun,kath=rcan,κατάρχω,verb,po/teron,πότερος,adjective,*(/ellhnes,Ἕλλην,proper,ma/xhs,μάχη,noun,h)\,ἠέ,conjunction,pai=s,πᾶς,adjective,e)mo/s,ἐμός,adjective,plh/qei,πλῆθος,noun,katauxh/sas,καταυχέω,verb,new=n,ναός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=rcen,ἄρχω,verb,me/n,μέν,particle,w)=,ὦ,interjection,de/spoina,δέσποινα,noun,tou=,ὁ,article,panto\s,πᾶς,adjective,kakou=,κακός,adjective,fanei\s,φαίνω,verb,a)la/stwr,ἀλάστωρ,noun,h)\,ἠέ,conjunction,kako\s,κακός,adjective,dai/mwn,δαίμων,adjective,poqe/n,πίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nh\r,ἀνήρ,noun,ga\r,γάρ,particle,*(/ellhn,Ἕλλη,proper,e)c,ἐκ,preposition,*)aqhnai/wn,Ἀθήναια,proper,stratou=,στρατός,noun,e)lqw\n,ἔρχομαι,verb,e)/lece,λέγω,verb,paidi\,παῖς,adjective,sw=|,σός,adjective,*ce/rch|,Ξέρξης,proper,ta/de,ὅδε,pronoun,w(s,ὡς,conjunction,ei),εἰ,conjunction,melai/nhs,μέλας,adjective,nukto\s,νύξ,adjective,i(/cetai,ἵζω,verb,kne/fas,κνέφας,noun,*(/ellhnes,Ἕλλην,proper,ou),οὐ,adverb,menoi=en,μένω,verb,a)lla\,ἀλλά,adverb,se/lmasin,σέλμα,noun,naw=n,ναός,noun,e)panqoro/ntes,ἀναθρῴσκω,verb,a)/llos,ἄλλος,adjective,a)/llose,ἄλλοτε,adverb,drasmw=|,δρασμός,noun,krufai/w|,κρυφαῖος,adjective,bi/oton,βίοτος,noun,e)kswsoi/ato,ἐκσῴζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
