word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS
*kai\,καί,conjunction,h)=n,εἰμί,verb,o(,ὁ,article,plou=s,πλόος,noun,au)toi=s,αὐτός,pronoun,ou)/rios,ὄρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo/goi,λόγος,noun,de\,δέ,particle,e)n,ἐν,preposition,au)toi=s,αὐτός,pronoun,polloi\,πολύς,adjective,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,a)=ra,ἆρα,particle,h(mi=n,ἐγώ,pronoun,u(pa/rcei,ὑπάρχω,verb,sugkatabiw=nai,συγκαταβιόω,verb,met),μετά,preposition,a)llh/lwn,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,καί,conjunction,dh/,δή,particle,pote,ποτέ,particle,o(,ὁ,article,*(abroko/mhs,ἁβροκόμης,noun,me/ga,μέγας,adverb,a)nastena/cas,ἀναστενάζω,verb,e)n,ἐν,preposition,u(pomnh/sei,ὑπομιμνήσκω,verb,tw=n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,geno/menos,γίγνομαι,verb,*)/anqeia,Ἄνθεια,proper,e)/fhse,φημί,verb,th=s,ὁ,article,yuxh=s,ψυχή,noun,moi,ἐγώ,pronoun,poqeinote/ra,ποθεινός,adjective,ma/lista,μάλιστα,adverb,me\n,μέν,particle,eu)tuxei=n,εὐτυχέω,verb,ei)/h,ἀίω,verb,kai\,καί,conjunction,sw/zesqai,σώζω,verb,met),μετά,preposition,a)llh/lwn,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)\n,ἄν,particle,d),δέ,particle,a)/ra,ἄρα,particle,ti,τις,pronoun,h)=|,εἰμί,verb,peprwme/non,πόρω,verb,paqei=n,πάσχω,verb,kai/,καί,conjunction,pws,πως,particle,a)llh/lwn,ἀλλήλων,pronoun,a)pallagw=men,ἀπαλλάσσω,verb,o)mo/swmen,ὄμνυμι,verb,e(autoi=s,ἑαυτοῦ,pronoun,filta/th,φίλτατος,adjective,w(s,ὡς,conjunction,su\,σύ,pronoun,me\n,μέν,particle,e)moi\,ἐγώ,pronoun,menei=s,μένω,verb,a(gnh\,ἁγνός,adjective,kai\,καί,conjunction,a)/llon,ἄλλος,adjective,a)/ndra,ἀνήρ,noun,ou)x,οὐ,adverb,u(pomenei=s,ὑπομένω,verb,e)gw\,ἐγώ,pronoun,de\,δέ,particle,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,a)/llh|,ἄλλος,adjective,gunaiki\,γυνή,noun,sunoikh/saimi,συνοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)akou/ousa,ἀκούω,verb,de\,δέ,particle,*)/anqeia,Ἄνθεια,proper,me/ga,μέγας,adverb,a)nwlo/luce,ἀνολολύζω,verb,kai\,καί,conjunction,ti/,τίς,pronoun,tou=to,οὗτος,pronoun,e)/fhsen,φημί,verb,*(abroko/mh,ἁβροκόμης,noun,pepi/steukas,πιστεύω,verb,o(/ti,ὅστις,pronoun,e)a\n,ἐάν,conjunction,a)pallagw=,ἀπαλλάσσω,verb,sou=,σύ,pronoun,peri\,περί,preposition,a)ndro\s,ἀνήρ,noun,e)/ti,ἔτι,adverb,kai\,καί,conjunction,ga/mou,γάμος,adjective,ske/yomai,σκέπτομαι,verb,h(/tis,ὅστις,pronoun,ou)de\,οὐδέ,particle,zh/somai,ζάω,verb,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,a)/neu,ἄνευ,preposition,sou=,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ws,ὡς,conjunction,o)mnu/w,ὄμνυμι,verb,ge/,γε,particle,soi,σύ,pronoun,th\n,ὁ,article,pa/trion,πάτριος,adjective,h(mi=n,ἐγώ,pronoun,qeo/n,θεός,noun,th\n,ὁ,article,mega/lhn,μέγας,adverb,*)efesi/wn,Ἐφέσια,proper,*)/artemin,Ἄρτεμις,proper,kai\,καί,conjunction,tau/thn,οὗτος,pronoun,h(\n,ὅς,pronoun,dianu/omen,διανύω,verb,qa/lattan,θάλασσα,noun,kai\,καί,conjunction,to\n,ὁ,article,e)p),ἐπί,preposition,a)llh/lous,ἀλλήλων,pronoun,h(ma=s,ἐγώ,pronoun,kalw=s,καλός,noun,e)kmh/nanta,ἐκμαίνω,verb,qeo/n,θεός,noun,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,braxu/,βραχύς,adjective,ti,τις,pronoun,a)pospasqei=sa,ἀποσπάω,verb,sou=,σύ,pronoun,ou)/te,οὔτε,adverb,zh/somai,ζάω,verb,ou)/te,οὔτε,adverb,to\n,ὁ,article,h(/lion,ἥλιος,noun,o)/yomai,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,οὗτος,pronoun,e)/legen,λέγω,verb,h(,ὁ,article,*)/anqeia,Ἄνθεια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pw/mnue,ἐπόμνυμι,verb,de\,δέ,particle,kai\,καί,conjunction,o(,ὁ,article,*(abroko/mhs,ἁβροκόμης,noun,kai\,καί,conjunction,o(,ὁ,article,kairo\s,καιρός,noun,au)tw=n,αὐτός,pronoun,e)poi/ei,ποιέω,verb,tou\s,ὁ,article,o(/rkous,ὅρκος,noun,foberwte/rous,φοβερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)en,ἐν,preposition,tou/tw|,οὗτος,pronoun,de\,δέ,particle,h(,ὁ,article,nau=s,ναῦς,noun,*kw=,Κῶς,proper,me\n,μέν,particle,paramei/bei,παραμείβω,verb,kai\,καί,conjunction,*kni/don,Κνίδος,proper,katefai/neto,καταφαίνω,verb,d),δέ,particle,h(,ὁ,article,*(rodi/wn,,,nh=sos,νῆσος,noun,mega/lh,μέγας,adverb,kai\,καί,conjunction,kalh/,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,au)tou\s,αὐτός,pronoun,e)ntau=qa,ἐνταῦθα,adverb,e)/dei,δέω,verb,kataxqh=nai,κατάγω,verb,pa/ntws,πάντως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=n,δέω,verb,ga\r,γάρ,particle,e)/faskon,φάσκω,verb,oi(,ὁ,article,nau=tai,ναύτης,noun,kai\,καί,conjunction,u(dreu/sasqai,ὑδρεύω,verb,kai\,καί,conjunction,au)tou\s,αὐτός,pronoun,a)napau/sasqai,ἀναπαύω,verb,me/llontas,μέλλω,verb,ei)s,εἰς,preposition,makro\n,μακρός,adjective,e)mpesei=sqai,ἐμπίτνω,verb,plou=n,πλόος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kath/geto,κατάγω,verb,dh\,δή,particle,h(,ὁ,article,nau=s,ναῦς,noun,ei)s,εἰς,preposition,*(ro/don,,,kai\,καί,conjunction,e)ce/bainon,ἐκβαίνω,verb,oi(,ὁ,article,nau=tai,ναύτης,noun,e)ch/|ei,ἔξειμι,verb,de\,δέ,particle,o(,ὁ,article,*(abroko/mhs,ἁβροκόμης,noun,e)/xwn,ἔχω,verb,meta\,μετά,preposition,xei=ra,χείρ,noun,th\n,ὁ,article,*)/anqeian,Ἄνθεια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunh/|esan,σύνειμι,verb,de\,δέ,particle,pa/ntes,πᾶς,adjective,oi(,ὁ,article,*(ro/dioi,,,to\,ὁ,article,ka/llos,κάλλος,noun,tw=n,ὁ,article,pai/dwn,παῖς,adjective,katapeplhgo/tes,καταπλήσσω,verb,kai\,καί,conjunction,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,o(/stis,ὅστις,pronoun,tw=n,ὁ,article,i)do/ntwn,εἶδον,verb,parh=lqe,παρέρχομαι,verb,siwpw=n,σιωπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll),ἀλλά,adverb,oi(,ἕ,pronoun,me\n,μέν,particle,e)/legon,λέγω,verb,e)pidhmi/an,ἐπιδημία,noun,qew=n,θέα,noun,oi(,ὁ,article,de\,δέ,particle,proseku/noun,προσκυνέω,verb,kai\,καί,conjunction,prosepoiou=nto,προσποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*taxu\,ταχύς,adjective,de\,δέ,particle,di),διά,preposition,o(/lhs,ὅλος,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,diepefoith/kei,διαφοιτάω,verb,tou)/noma,ὄνομα,adjective,*(abroko/mou,ἁβροκόμης,noun,kai\,καί,conjunction,*)anqei/as,Ἄνθεια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)epeu/xontai,ἐπεύχομαι,verb,de\,δέ,particle,au)toi=s,αὐτός,pronoun,dhmosi/a|,δημοσίᾳ,adverb,kai\,καί,conjunction,qusi/as,θυσία,noun,te,τε,particle,qu/ousi,θύω,verb,polla\s,πολύς,adjective,kai\,καί,conjunction,e(orth\n,ἑορτή,adjective,a)/gousi,ἄγω,verb,th\n,ὁ,article,e)pidhmi/an,ἐπιδημία,noun,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*oi(,ὁ,article,de\,δέ,particle,th/n,ὁ,article,te,τε,particle,po/lin,πόλις,adjective,a(/pasan,ἅπας,adjective,e)cisto/rhsan,ἐξιστορέω,verb,kai\,καί,conjunction,a)ne/qesan,,,ei)s,εἰς,preposition,to\,ὁ,article,tou=,ὁ,article,*(hli/ou,Ἥλιος,proper,i(ero\n,ἱερός,adjective,panopli/an,πανοπλία,noun,xrush=n,χρύσεος,adjective,kai\,καί,conjunction,e)pe/grayan,ἐπιγράφω,verb,e)pi/gramma,ἐπίγραμμα,noun,ei)s,εἰς,preposition,u(po/mnhma,ὑπόμνημα,noun,tw=n,ὁ,article,a)naqe/ntwn,ἀνατίθημι,verb,*oi(,ὁ,article,cei=noi,ξένος,noun,ta/de,ὅδε,pronoun,soi,σύ,pronoun,xrush/lata,χρυσήλατος,adjective,teu/xe),τεύχω,verb,e)/qhkan,τίθημι,verb,*)anqi/a,ἀνθίας,noun,*(abroko/mhs,ἁβροκόμης,noun,q),σύ,pronoun,i(erh=s,ἱερεύς,adjective,*)efe/soio,Ἔφεσος,proper,poli=tai,πολίτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,οὗτος,pronoun,a)naqe/ntes,ἀνατίθημι,verb,o)li/gas,ὀλίγος,adjective,h(me/ras,ἡμέρα,noun,e)n,ἐν,preposition,th=|,ὁ,article,nh/sw|,νῆσος,noun,mei/nantes,μένω,verb,e)peigo/ntwn,ἐπείγω,verb,tw=n,ὁ,article,nautw=n,ναύτης,noun,a)nh/gonto,ἀνάγω,verb,e)pisitisa/menoi,ἐπισιτίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pare/pempe,παραπέμπω,verb,de\,δέ,particle,au)tou\s,αὐτός,pronoun,a(/pan,ἅπας,adjective,to\,ὁ,article,*(rodi/wn,,,plh=qos,πλῆθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,καί,conjunction,ta\,ὁ,article,me\n,μέν,particle,prw=ta,πρότερος,adjective,e)fe/ronto,φέρω,verb,ou)ri/w|,οὔριος,adjective,pneu/mati,πνεῦμα,noun,kai\,καί,conjunction,h)=n,εἰμί,verb,au)toi=s,αὐτός,pronoun,o(,ὁ,article,plou=s,πλόος,noun,a)sme/nois,ἄσμενος,adjective,ka)kei/nhn,ἐκεῖνος,pronoun,te,τε,particle,th\n,ὁ,article,h(me/ran,ἡμέρα,noun,kai\,καί,conjunction,th\n,ὁ,article,e)piou=san,ἔπειμι,verb,nu/kta,νύξ,adjective,e)fe/ronto,φέρω,verb,a)nametrou=ntes,ἀναμετρέω,verb,th\n,ὁ,article,*ai)gupti/an,Αἰγύπτιος,proper,kaloume/nhn,καλέω,verb,qa/lattan,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,de\,δέ,particle,deute/ra|,δεύτερος,adjective,e)pe/pauto,παύω,verb,me\n,μέν,particle,o(,ὁ,article,a)/nemos,ἄνεμος,noun,galh/nh,γαλήνη,noun,de\,δέ,particle,kai\,καί,conjunction,plou=s,πλόος,noun,bradu\s,βραδύς,adjective,kai\,καί,conjunction,nautw=n,ναύτης,noun,r(a|qumi/a,ῥαθυμία,noun,kai\,καί,conjunction,po/tos,πότος,noun,kai\,καί,conjunction,me/qh,μέθη,noun,kai\,καί,conjunction,a)rxh\,ἀρχή,noun,tw=n,ὁ,article,memanteume/nwn,μαντεύομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tw=|,ὁ,article,de\,δέ,particle,*(abroko/mh|,ἁβροκόμης,noun,e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,e)fi/statai,ἐφίστημι,verb,gunh\,γυνή,noun,o)fqh=nai,ὁράω,verb,fobera/,φοβερός,adjective,to\,ὁ,article,me/geqos,μέγεθος,adjective,u(pe\r,ὑπέρ,preposition,a)/nqrwpon,ἄνθρωπος,noun,e)sqh=ta,ἐσθής,noun,e)/xousa,ἔχω,verb,foinikh=n,φοινίκεος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pista=sa,ἐφίστημι,verb,de\,δέ,particle,th\n,ὁ,article,nau=n,ναῦς,noun,e)do/kei,δοκέω,verb,ka/ein,καίω,verb,kai\,καί,conjunction,tou\s,ὁ,article,me\n,μέν,particle,a)/llous,ἄλλος,adjective,a)po/llusqai,ἀπόλλυμι,verb,au)to\n,αὐτός,pronoun,de\,δέ,particle,meta\,μετά,preposition,th=s,ὁ,article,*)anqei/as,Ἄνθεια,proper,dianh/xesqai,διανήχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,οὗτος,pronoun,w(s,ὡς,conjunction,eu)qu\s,εὐθύς,adverb,ei)=den,εἶδον,verb,e)tara/xqh,ταράσσω,verb,kai\,καί,conjunction,prosedo/ka,προσδοκάω,verb,ti,τις,pronoun,deino\n,δεινός,adjective,e)k,ἐκ,preposition,tou=,ὁ,article,o)nei/ratos,ὄνειρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
