word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS
e(/teron,ἕτερος,adjective,d',δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,du/o,δύο,adjective,me\n,μέν,particle,mna=s,μνᾶ,noun,a(\s,e)martu/rhsen,μαρτυρέω,verb,*)aristoge/nhs,Ἀριστογένης,proper,e)gkalei=n,ἐγκαλέω,verb,ὅς,pronoun,a)poqnh/|skonta,ἀποθνήσκω,verb,*polu/eukton,Πολυεύκτος,proper,o)feilome/nas,ὀφείλω,verb,au(tw=|,ἑαυτοῦ,pronoun,para\,παρά,preposition,*spoudi/a|,,,kai\,καί,conjunction,to\n,ὁ,article,to/kon,τόκος,noun,tou=to,οὗτος,pronoun,d',δέ,particle,e)sti\n,εἰμί,verb,oi)ke/tou,οἰκέτης,noun,timh/,τιμή,noun,o(\n,ὅς,pronoun,e)wnhme/nos,ὠνέομαι,verb,ou(=tos,οὗτος,pronoun,para\,παρά,preposition,tou=,ὁ,article,*polueu/ktou,Πολυεύκτος,proper,th\n,ὁ,article,timh\n,τιμή,noun,ou)/t',οὔτε,adverb,e)kei/nw|,ἐκεῖνος,pronoun,die/lusen,διαλύω,verb,ou)/te,οὔτε,adverb,nu=n,νῦν,adverb,ei)s,εἰς,preposition,to\,ὁ,article,koino\n,κοινός,adjective,a)nenh/noxen),ἀναφέρω,verb,o)ktakosi/as,ὀκτακόσιοι,adjective,de\,δέ,particle,kai\,καί,conjunction,xili/as,χίλιοι,adjective,peri\,περί,preposition,w(=n,ὅς,pronoun,ou)d',οὐδέ,particle,e)/gwg',ἐγώ,pronoun,oi)=da,οἶδα,verb,ti/,τίς,pronoun,poq',ποτέ,particle,e(/cei,ἔχω,verb,di/kaion,δίκαιος,adjective,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,me\n,μέν,particle,ga\r,γάρ,particle,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,para\,παρά,preposition,th=s,ὁ,article,*polueu/ktou,Πολυεύκτος,proper,dedaneisme/nos,gunaiko/s,γυνή,noun,gra/mmata,γράμμα,noun,d',δέ,particle,δανείζω,verb,e)/stin,εἰμί,verb,a(\,ὅς,pronoun,kate/lipen,καταλιμπάνω,verb,a)poqnh/|skous',ἀποθνήσκω,verb,e)kei/nh,ἐκεῖνος,pronoun,ma/rtures,μάρτυς,noun,d',δέ,particle,oi(,ἕ,pronoun,th=s,ὁ,article,gunaiko\s,γυνή,noun,a)delfoi\,ἀδελφός,adjective,paro/ntes,πάρειμι,verb,a(/pasin,ἅπας,adjective,kai\,καί,conjunction,kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,e)perwtw=ntes,ἐπερωτάω,verb,i(/na,ἵνα,conjunction,mhde\n,μηδείς,pronoun,dusxere\s,δυσχερής,adverb,h(mi=n,ἐγώ,pronoun,ei)/h,ἀίω,verb,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,deino/n,δεινός,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,kai\,καί,conjunction,sxe/tlion,σχέτλιος,adjective,e)me\,ἐγώ,pronoun,me\n,a(pa/ntwn,ἅπας,adjective,w(=n,ὅς,pronoun,h)\,ἠέ,conjunction,μέν,particle,para\,παρά,preposition,*polueu/ktou,Πολυεύκτος,proper,zw=ntos,ζάω,verb,h)=n,εἰμί,verb,e)wnhme/nos,ὠνέομαι,verb,h)\,ἠέ,conjunction,para\,παρά,preposition,th=s,ὁ,article,gunaiko\s,γυνή,noun,ei)=xon,ἔχω,verb,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,to/kon,τόκος,noun,tiqe/nai,τίθημι,verb,kai\,καί,conjunction,th\n,ὁ,article,timh\n,τιμή,noun,a)podedwke/nai,ἀποδίδωμι,verb,kai\,καί,conjunction,nu=n,νῦν,adverb,a(/per,ὅς,pronoun,w)/feilon,ὀφείλω,verb,pa/nt',πᾶς,adjective,ei)s,εἰς,preposition,to\,ὁ,article,koino\n,κοινός,adjective,fe/rein,φέρω,verb,tou=ton,οὗτος,pronoun,de\,δέ,particle,mh/te,μήτε,particle,tw=n,ὁ,article,no/mwn,νόμος,noun,tw=n,ὁ,article,u(mete/rwn,ὑμέτερος,adjective,fronti/zein,φροντίζω,verb,mh/q',μήτε,particle,w(=n,ὅς,pronoun,die/qeto,διατίθημι,verb,*polu/euktos,Πολυεύκτος,proper,mh/te,μήτε,particle,tw=n,ὁ,article,kataleifqe/ntwn,καταλιμπάνω,verb,gramma/twn,γράμμα,noun,mh/te,μήτε,particle,tw=n,ὁ,article,suneido/twn,σύνοιδα,verb,a)lla\,ἀλλά,adverb,pro\s,πρός,preposition,a(/panta,ἅπας,adjective,tau=q',οὗτος,pronoun,h(/kein,ἥκω,verb,a)ntidikh/sonta,ἀντιδικέω,verb
labe\,λαμβάνω,verb,dh/,δή,particle,moi,ἐγώ,pronoun,prw=ton,πρότερος,adjective,me\n,μέν,particle,to\n,ὁ,article,no/mon,νόμος,noun,o(\s,ὅς,pronoun,ou)k,e)a=|,ἀίω,verb,tw=n,ὁ,article,a)potimhqe/ntwn,ἀποτιμάω,verb,οὐ,adverb,e)/ti,ἔτι,adverb,di/khn,δίκη,adjective,ei)=nai,εἰμί,verb,pro\s,πρός,preposition,tou\s,ὁ,article,e)/xontas,ἔχω,verb,e)/peita,ἔπειτα,adverb,ta\,ὁ,article,gra/mmata,γράμμα,noun,ta\,ὁ,article,kataleifqe/nta,καταλιμπάνω,verb,kai\,καί,conjunction,th\n,ὁ,article,marturi/an,μαρτυρία,noun,th\n,ὁ,article,*)aristoge/nous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bou/lomai,βούλομαι,verb,toi/nun,τοίνυν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,kai\,καί,conjunction,peri\,περί,preposition,tw=n,ὁ,article,a)/llwn,w(=n,ὅς,pronoun,e)gkalw=,ἐγκαλέω,verb,kaq',κατά,preposition,ἄλλος,adjective,e(/kaston,ἕκαστος,adjective,u(ma=s,σύ,pronoun,dida/cai,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fia/lhn,φιάλη,noun,me\n,μέν,particle,ga\r,γάρ,particle,labo/ntes,λαμβάνω,verb,para\,παρά,preposition,th=s,ὁ,article,*polueu/ktou,Πολυεύκτος,proper,gunaiko\s,γυνή,noun,kai\,qe/ntes,τίθημι,verb,e)ne/xura,ἐνέχυρον,noun,meta\,μετά,preposition,καί,conjunction,xrusi/wn,χρύσεος,adjective,ou)k,οὐ,adverb,a)nenhno/xasin,ἀναφέρω,verb,kekomisme/noi,κομίζω,verb,tau/thn,οὗτος,pronoun,w(s,ὡς,conjunction,u(mi=n,σύ,pronoun,*dhmo/filos,Δημόφιλος,proper,o(,ὁ,article,qe/menos,τίθημι,verb,marturh/sei,μαρτύρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skhnh\n,σκηνή,noun,d',δέ,particle,h(\n,ὅς,pronoun,e)/xousin,ἔχω,verb,ou)de/,οὐδέ,particle,ge,γε,particle,tau/thn,οὗτος,pronoun,labo/ntes,λαμβάνω,verb,a)nafe/rousin,,,,,,,,,,ἀναφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/lla,ἄλλος,adjective,de\,δέ,particle,po/sa,πόσος,adjective,toiau=ta,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,teleutai=on,τελευταῖος,adjective,ei)senegkou/shs,εἰσφέρω,verb,th=s,ὁ,article,e)mh=s,ἐμός,adjective,gunaiko\s,γυνή,noun,ei)s,εἰς,preposition,ta\,*neme/seia,,,tw=|,ὁ,article,patri\,πατήρ,noun,ὁ,article,mna=n,μνᾶ,noun,a)rguri/ou,ἀργύριον,adjective,kai\,καί,conjunction,proanalwsa/shs,προαναλίσκω,verb,ou)de\,οὐδέ,particle,tau/ths,οὗτος,pronoun,a)cioi=,ἀξιόω,verb,sumbale/sqai,συμβάλλω,verb,to\,ὁ,article,me/ros,μέρος,noun,a)lla\,ἀλλά,adverb,ta\,ὁ,article,me\n,μέν,particle,e)/xei,ἔχω,verb,prolabw/n,προλαμβάνω,verb,tw=n,ὁ,article,de\,δέ,particle,ta\,ὁ,article,me/rh,μέρα,noun,komi/zetai,κομίζω,verb,ta\,ὁ,article,d',δέ,particle,ou(/tw,οὕτως,adverb,fanerw=s,φανερός,adjective,ou)k,οὐ,adverb,a)podi/dwsin,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/na,ἵνα,conjunction,toi/nun,τοίνυν,particle,mhde\,μηδέ,particle,tau=t',οὗτος,pronoun,h)=|,εἰμί,verb,paraleleimme/na,παραλείπω,verb,labe/,λαμβάνω,verb,moi,ἐγώ,pronoun,pa/ntwn,au)tw=n,αὐτός,pronoun,ta\s,ὁ,article,marturi/as,μαρτυρία,noun,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/sws,ἴσως,adverb,toi/nun,τοίνυν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,pro\s,πρός,preposition,me\n,μέν,particle,tau=t',οὗτος,pronoun,ou)de\n,a)nterei=,ἀντεράω,verb,*spoudi/as,,,ou)de\,οὐδέ,particle,οὐδείς,pronoun,ga\r,γάρ,particle,e(/cei,ἔχω,verb,kai/per,καίπερ,particle,deino\s,δεινός,adjective,w)/n),εἰμί,verb,ai)tia/setai,αἰτιάομαι,verb,de\,δέ,particle,*polu/eukton,Πολυεύκτος,proper,kai\,καί,conjunction,th\n,ὁ,article,gunai=k',γυνή,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,fh/sei,φημί,verb,pa/nta,πᾶς,adjective,tau=q',οὗτος,pronoun,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,peisqe/ntas,πείθω,verb,kataxari/sasqai,καταχαρίζομαι,verb,kai\,καί,conjunction,nh\,νή,preposition,*di/',Δίη,proper,e(/tera,ἕτερος,adjective,polla\,πολύς,adjective,kai\,καί,conjunction,mega/la,μέγας,adverb,bla/ptesqai,βλάπτω,verb,kai\,καί,conjunction,di/khn,δίκη,adjective,ei)lhxe/nai,λαγχάνω,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,ga\r,γάρ,particle,kai\,καί,conjunction,pro\s,πρός,preposition,tw=|,ὁ,article,diaithth=|,διαιτητής,noun,le/gein,λέγω,verb,e)pexei/rei,ἐπιχειρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,prw=ton,πρότερος,adjective,me\n,μέν,particle,ou)x,οὐ,adverb,h(gou=mai,dikai/an,δίκαιος,adjective,ei)=nai,εἰμί,verb,th\n,ὁ,article,ἡγέομαι,verb,a)pologi/an,ἀπολογία,noun,th\n,ὁ,article,toiau/thn,τοιοῦτος,adjective,ou)de\,οὐδέ,particle,prosh/kein,προσήκω,verb,o(/tan,ὅταν,conjunction,tis,τις,pronoun,fanerw=s,φανερός,adjective,e)cele/gxhtai,ἐξελέγχω,verb,metastre/yanta,μεταστρέφω,verb,ta\s,ὁ,article,ai)ti/as,αἰτία,noun,e)gkalei=n,ἐγκαλέω,verb,kai\,καί,conjunction,diaba/llein,διαβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)kei/nwn,ἐκεῖνος,pronoun,me/n,μέν,particle,ei)/per,εἴπερ,conjunction,a)dikei=tai,ἀδικέω,verb,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,di/khn,δίκη,adjective,lh/yetai,tou/twn,οὗτος,pronoun,de\,δέ,particle,dw/sei,δίδωμι,verb,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,e)gw\,ἐγώ,pronoun,nu=n,νῦν,adverb,tai=s,ὁ,article,tou/twn,οὗτος,pronoun,diabolai=s,διαβολή,noun,a)ntidikoi/hn,a)fei\s,ἀφίημι,verb,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,ἀντιδικέω,verb,u(mei=s,σύ,pronoun,me/llete,μέλλω,verb,th\n,ὁ,article,yh=fon,ψῆφος,noun,oi)/sein,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,qauma/zw,θαυμάζω,verb,ti/,τίς,pronoun,dh/pote,δήποτε,particle,ei)/per,εἴπερ,conjunction,a)lhqh=,ἀληθής,adjective,kai\,καί,conjunction,di/kai',δικαία,noun,ei)=xen,e)gkalei=n,ἐγκαλέω,verb,boulome/nwn,βούλομαι,verb,h(ma=s,ἐγώ,pronoun,ἔχω,verb,tw=n,ὁ,article,fi/lwn,φίλος,adjective,dialu/ein,διαλύω,verb,kai\,καί,conjunction,pollw=n,πολύς,adjective,lo/gwn,λόγος,noun,genome/nwn,γίγνομαι,verb,ou)x,οὐ,adverb,oi(=os,οἷος,adjective,h)=n,εἰμί,verb,e)mme/nein,ἐμμένω,verb,oi(=s,ὅς,pronoun,e)kei=noi,ἐκεῖνος,pronoun,gnoi=en,γιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,ti/nes,τίς,pronoun,a)\n,ἄν,particle,a)/meinon,ἀμείνων,adjective,kai\,καί,conjunction,tw=n,ὁ,article,tou/tou,οὗτος,pronoun,kai\,καί,conjunction,tw=n,e)mw=n,ἐμός,adjective,e)gklhma/twn,ἔγκλημα,noun,ta\,ὁ,article,ὁ,article,mhde\n,μηδείς,pronoun,o)/nt',εἰμί,verb,e)ch/legcan,ἐξελέγχω,verb,tw=n,ὁ,article,paragegenhme/nwn,παραγίγνομαι,verb,a(/pasi,ἅπας,adjective,tou/tois,οὗτος,pronoun,tw=n,ὁ,article,ei)do/twn,οἶδα,verb,ou)de\n,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,h(mw=n,ἐγώ,pronoun,ta\,ὁ,article,geno/mena,γίγνομαι,verb,tw=n,ὁ,article,koinw=n,κοινός,adjective,a)mfote/rois,ἀμφότερος,adjective,kai\,καί,conjunction,fi/lwn,φίλος,adjective,o)/ntwn,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,tou/tw|,οὗτος,pronoun,tau=t',οὗτος,pronoun,ou)k,οὐ,adverb,e)lusite/lei,λυσιτελέω,verb,fanerw=s,φανερός,adjective,u(p',au)tw=n,αὐτός,pronoun,e)celegxome/nw|,ἐξελέγχω,verb,tou=ton,οὗτος,pronoun,ὑπό,preposition,to\n,ὁ,article,tro/pon,τρόπος,noun,labei=n,λαμβάνω,verb,dia/lusin,διάλυσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,ga\r,γάρ,particle,oi)/esq',οἴομαι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,tou\s,ὁ,article,ei)do/tas,οἶδα,verb,a(/panta,tau=ta,οὗτος,pronoun,nuni\,νυνί,adverb,me\n,μέν,particle,ἅπας,adjective,u(pokindu/nous,ὑποκίνδυνος,adjective,au(tou\s,ἑαυτοῦ,pronoun,kaqista/ntas,καθίστημι,verb,e)moi\,ἐγώ,pronoun,marturei=n,μαρτυρέω,verb,to/te,τότε,adverb,d',δέ,particle,a)\n,ἄν,particle,o)mo/santas,ὄμνυμι,verb,a)/llo,ἄλλος,adjective,ti,τις,pronoun,gnw=nai,γιγνώσκω,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)ll',ἀλλά,adverb,ei),εἰ,conjunction,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,tou/twn,οὗτος,pronoun,u(ph=rxen,ὑπάρχω,verb,u(mi=n,ou)d',οὐδέ,particle,w(\s,ὅς,pronoun,xalepo/n,χαλεπός,adjective,σύ,pronoun,e)stin,εἰμί,verb,gnw=nai,γιγνώσκω,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,o(po/teroi,ὁπότερος,adjective,ta)lhqh=,ἀληθής,adjective,le/gousin,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ga\r,γάρ,particle,th=s,ὁ,article,oi)ki/as,οἰκία,noun,ei),εἰ,conjunction,fhsi\n,φημί,verb,u(p',ὑπό,preposition,e)mou=,peisqe/nta,πείθω,verb,*polu/eukton,Πολυεύκτος,proper,prosta/cai,προσστάζω,verb,ἐγώ,pronoun,tou\s,ὁ,article,o(/rous,ὅρος,adjective,sth=sai,ἵστημι,verb,tw=n,ὁ,article,xiliw=n,χίλιοι,adjective,a)ll',ἀλλά,adverb,ou),οὐ,adverb,dh/pou,δήπου,particle,kai\,καί,conjunction,tou\s,ὁ,article,ma/rturas,μάρτυς,noun,e)/peisa,ἐφίζω,verb,w)=,ὦ,interjection,*spoudi/a,,,yeudh=,ψευδής,adverb,moi,ἐγώ,pronoun,marturei=n,μαρτυρέω,verb,tou\s,ὁ,article,paragenome/nous,παραγίγνομαι,verb,o(/t',ὅτε,conjunction,h)ggu/a,ἐγγυάω,verb,moi,ἐγώ,pronoun,tou\s,ὁ,article,ei)do/tas,οἶδα,verb,e)/latto/n,ἐλάσσων,adjective,me,ἐγώ,pronoun,komisa/menon,κομίζω,verb,tou\s,ὁ,article,a)kou/ontas,ἀκούω,verb,o(mologou=ntos,ὁμολογέω,verb,o)fei/lein,ὀφείλω,verb,e)moi\,ἐγώ,pronoun,susth/santos,συνίστημι,verb,a)podou=nai,ἀποδίδωμι,verb,tou\s,ὁ,article,to\,ὁ,article,teleutai=on,τελευταῖος,adjective,tai=s,ὁ,article,diaqh/kais,διαθήκη,noun,paragenome/nous,παραγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tois,οὗτος,pronoun,ga\r,γάρ,particle,a(/pasin,ἅπας,adjective,ou)ke/ti,οὐκέτι,adverb,kataxari/sasqai,καταχαρίζομαι,verb,tau=q',οὗτος,pronoun,u(ph=rxen,ὑπάρχω,verb,a)lla\,ἀλλά,adverb,kinduneu/ein,tw=n,ὁ,article,yeudomarturi/wn,ψευδομαρτυρέω,verb,ei),εἰ,conjunction,κινδυνεύω,verb,mhde\n,μηδείς,pronoun,tw=n,ὁ,article,genome/nwn,γίγνομαι,verb,marturoi=en,μαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)fw=men,ἀφίημι,verb,toi/nun,τοίνυν,particle,tou=t',οὗτος,pronoun,h)/dh,ἤδη,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
