word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/27/lemma/@_entry,word/27/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS
ta\,ὁ,article,de\,δέ,particle,to/sson,τόσος,adjective,o(/son,ὅσος,adjective,dia\,διά,preposition,plei=ston,πλεῖστος,adjective,e)/xousi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeudoi/mhn,ψεύδω,verb,a)i/ontos,ἀίω,verb,a(/,ὅς,pronoun,ken,ἄν,particle,pepi/qoien,πείθω,verb,a)kouh/n,ἀκοή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/,οὐ,adverb,se,σύ,pronoun,qew=n,θέα,noun,e)ssh=na,,,pa/loi,πάλος,adjective,qe/san,,,e)/rga,de\,δέ,particle,xeirw=n,χείρ,noun,sh/,σός,adjective,te,τε,particle,bi/h,βία,adjective,to/,ὁ,article,te,τε,particle,ka/rtos,κάρτος,noun,o(\,ὅς,pronoun,kai\,pe/las,πέλας,adverb,ei(/sao,ἵζω,verb,di/frou,ἔργον,noun,καί,conjunction,δίφρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qh/kao,τίθημι,verb,d',δέ,particle,oi)wnw=n,οἰωνός,noun,me/g',μέγας,adverb,u(pei/roxon,ὑπέροχος,adjective,a)ggeliw/thn,ἀγγελιώτης,noun,sw=n,tera/wn,τέρας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/,ὅς,pronoun,t',τε,particle,e)moi=si,ἐμός,adjective,fi/lois,φίλος,adjective,e)nde/cia,ἐνδέξιος,adjective,fai/nois,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei(/leo,αἱρέω,verb,d',δέ,particle,ai)zhw=n,αἰζηός,noun,o(/,ὅς,pronoun,ti,τις,pronoun,fe/rtaton,φέρτατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,su/,σύ,pronoun,ge,γε,particle,nhw=n,ναός,noun,e)mpera/mous,ἐμπέραμος,adjective,ou)k,οὐ,adverb,a)/ndra,sake/spalon,σακέσπαλος,adjective,ou),οὐ,adverb,me\n,μέν,particle,a)oido/n,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ta\,ὁ,article,me\n,μέν,particle,maka/ressin,μάκαρ,noun,o)li/zosin,ὀλίγος,adjective,au)=qi,αὖθι,adverb,parh=kas,a)/lla,ἄλλος,adjective,me/lein,μέλω,verb,e(te/roisi,ἕτερος,adjective,su\,σύ,pronoun,d',δέ,particle,e)ce/leo,ἐξαιρέω,verb,ptolia/rxous,,,au)tou/s,αὐτός,pronoun,w(=n,ὅς,pronoun,u(po\,xei=ra,χείρ,noun,gewmo/ros,γημόρος,noun,w(=n,παρίημι,verb,ὑπό,preposition,ὅς,pronoun,i)/dris,ἴδρις,adjective,ai)xmh=s,αἰχμή,noun,w(=n,ὅς,pronoun,e)re/ths,ἐρέτης,noun,w(=n,ὅς,pronoun,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,d',δέ,particle,ou),οὐ,adverb,krate/ontos,κρατέω,verb,u(p',ὑπό,preposition,i)sxu/n,ἰσχύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ti/ka,αὐτίκα,adverb,xalkh=as,χαλκεύς,adjective,me\n,μέν,particle,u(dei/omen,,,*(hfai/stoio,Ἥφαιστος,proper,teuxhsta\s,τευχηστήρ,noun,d',*)/arhos,Ἄρης,proper,e)pakth=ras,ἐπακτήρ,noun,de\,δέ,particle,*xitw/nhs,Χιτώνη,proper,*)arte/midos,Ἄρτεμις,proper,*foi/bou,Φοῖβος,proper,de\,δέ,particle,lu/rhs,λύρα,adjective,eu)=,εὖ,adverb,ei)do/tas,oi)/mous,οἶμος,noun,,,,,δέ,particle,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,*dio\s,Ζεύς,proper,basilh=es,βασιλεύς,noun,e)pi\,ἐπί,preposition,xqono\s,χθών,noun,ou)de\n,a)na/ktwn,ἄναξ,noun,qeio/teron,θεῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,kai/,καί,conjunction,sfe,σφεῖς,pronoun,teh\n,τεός,adjective,e)kri/nao,κρίνω,verb,la/cin,λάξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw=kas,δίδωμι,verb,de\,δέ,particle,ptoli/eqra,πτολίεθρον,adjective,fulasse/men,φυλάσσω,verb,i(/zeo,ἵζω,verb,d',δέ,particle,au)to\s,a)/krhis',ἄκρος,adjective,e)n,ἐν,preposition,poli/essin,πόλις,adjective,e)po/yios,ἔποψις,noun,oi(/,ἕ,pronoun,te,τε,particle,di/khisi,δίκη,adjective,lao\n,λαός,noun,u(po\,ὑπό,preposition,skolih=is',oi(/,ἕ,pronoun,t',τε,particle,e)/mpalin,αὐτός,pronoun,,,ἔμπαλιν,adverb,i)qu/nousin,ἰθύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,r(uhfeni/hn,ῥυηφενίη,noun,e)/bale/s,βάλλω,verb,sfisin,σφεῖς,pronoun,e)n,ἐν,preposition,d',a(/lis,ἅλις,adverb,o)/lbon,ὄλβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=si,πᾶς,adjective,me/n,μέν,particle,ou),οὐ,adverb,ma/la,μάλα,adverb,d',δέ,particle,i)=son,ἴσος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/oike,ἔοικα,verb,de\,δέ,particle,tekmh/rasqai,τεκμαίρομαι,verb,h(mete/rwi,ἡμέτερος,adjective,mede/onti,μεδέων,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peripro\,περιπρό,adverb,ga\r,γάρ,particle,eu)ru\,εὐρύς,adjective,be/bhken,βαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(spe/rios,ἑσπέριος,adjective,kei=no/s,ἐκεῖνος,pronoun,ge,γε,particle,telei=,τέλλω,verb,ta/,τίς,pronoun,ken,ἄν,particle,h)=ri,noh/shi,νόησις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἦρι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(spe/rios,ἑσπέριος,adjective,ta\,ὁ,article,me/gista,μέγας,adverb,ta\,ὁ,article,mei/ona,μείων,adverb,d',δέ,particle,eu)=te,noh/shi,νόησις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὖτε,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,de\,δέ,particle,ta\,ὁ,article,me\n,μέν,particle,pleiw=ni,πλειών,adjective,ta\,ὁ,article,d',ou)x,οὐ,adverb,e(ni/,εἷς,adjective,tw=n,ὁ,article,d',δέ,particle,a)po\,ἀπό,preposition,pa/mpan,πάμπαν,adverb,au)to\s,αὐτός,pronoun,a)/nhn,ἄνη,noun,e)ko/lousas,κολούω,verb,e)ne/klassas,de\,δέ,particle,menoinh/n,μενοινή,noun,,δέ,particle,ἐκλάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=re,χαίρω,verb,me/ga,μέγας,adverb,*kroni/dh,Κρονίδης,proper,panupe/rtate,πανυπέρτατος,adjective,dw=tor,δώτωρ,noun,e)a/wn,ἐύς,adjective,dw=tor,a)phmoni/hs,ἀπημονία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δώτωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea\,τεός,adjective,d',δέ,particle,e)/rgmata,ἔργμα,noun,ti/s,τίς,pronoun,ken,ἄν,particle,a)ei/doi,ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ge/net',γίγνομαι,verb,ou)k,οὐ,adverb,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,kai\,καί,conjunction,*dio\s,Ζεύς,proper,e)/rgmat',ἔργμα,noun,a)ei/sei,ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=re,χαίρω,verb,pa/ter,πατήρ,noun,xai=r',χαίρω,verb,au)=qi,αὖθι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di/dou,δίδημι,verb,d',δέ,particle,a)reth/n,ἀρετή,noun,t',τε,particle,a)/feno/s,ἄφενος,noun,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/t',οὔτε,adverb,a)reth=s,ἀρετή,noun,a)/ter,ἄτερ,preposition,o)/lbos,ὄλβος,noun,e)pi/statai,ἐφίστημι,verb,a)/ndras,ἀνήρ,noun,a)e/cein,ou)/t',οὔτε,adverb,a)reth\,ἀρετή,noun,a)fe/noio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀέξω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di/dou,δίδημι,verb,d',δέ,particle,a)reth/n,ἀρετή,noun,te,τε,particle,kai\,καί,conjunction,o)/lbon,ὄλβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
