word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/29/@_form,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/66/lemma/@_entry,word/66/lemma/@_POS,word/70/lemma/@_entry,word/70/lemma/@_POS,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/lemma/@_entry,word/75/lemma/@_POS,word/79/lemma/@_entry,word/79/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/69/lemma/@_entry,word/69/lemma/@_POS,word/9/lemma/@_entry,word/9/lemma/@_POS,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/lemma/@_entry,word/29/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/lemma/@_entry,word/44/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS,word/58/lemma/@_entry,word/58/lemma/@_POS
o(,de\,δέ,particle,ei)s,εἰς,preposition,ta\s,ὁ,article,a)ka/nqas,ἄκανθα,adjective,sparei/s,ou(=to/s,οὗτος,pronoun,e)stin,σπείρω,verb,εἰμί,verb,o(,to\n,lo/gon,λόγος,noun,a)kou/wn,ἀκούω,verb,kai\,καί,conjunction,h(,ὁ,article,me/rimna,μέριμνα,noun,tou=,ὁ,article,ai)w=nos,αἰών,noun,kai\,καί,conjunction,h(,ὁ,article,a)pa/th,ἀπάτη,noun,tou=,ὁ,article,plou/tou,πλοῦτος,noun,sunpni/gei,to\n,ὁ,article,lo/gon,λόγος,noun,kai\,a)/karpos,ἄκαρπος,adjective,gi/netai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,καί,conjunction,,,,,,,,,,,,,,,ὁ,article,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,e)pi\,ἐπί,preposition,th\n,ὁ,article,kalh\n,καλός,noun,gh=n,sparei/s,σπείρω,verb,ou(=to/s,γῆ,noun,οὗτος,pronoun,e)stin,o(,to\n,ὁ,article,lo/gon,λόγος,noun,a)kou/wn,ἀκούω,verb,kai\,καί,conjunction,suniei/s,συνίημι,verb,o(\s,ὅς,pronoun,dh\,δή,particle,karpoforei=,καρποφορέω,verb,kai\,καί,conjunction,poiei=,ποιέω,verb,o(\,ὅς,pronoun,me\n,μέν,particle,e(kato\n,o(\,ὅς,pronoun,de\,δέ,particle,e(ch/konta,o(\,ὅς,pronoun,de\,δέ,particle,tria/konta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,ἑκατόν,noun,ἑξήκοντα,adjective,,,,,,,,,,,,,,,ὁ,article,,,ὁ,article,τριάκοντα,noun,,,,,,,,,,,,,,,,,,,,,,,,
*)/allhn,parabolh\n,παραβολή,noun,pare/qhken,παρατίθημι,verb,au)toi=s,αὐτός,pronoun,le/gwn,λέγω,verb,*(wmoiw/qh,h(,ὁ,article,basilei/a,ὁμοιόω,verb,βασιλεία,noun,tw=n,ou)ranw=n,a)nqrw/pw|,ἄνθρωπος,noun,spei/ranti,σπείρω,verb,kalo\n,καλός,noun,spe/rma,σπέρμα,noun,e)n,ἐν,preposition,tw=|,ὁ,article,a)grw=|,ἀγρός,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,ἄλλος,adjective,,,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,de\,δέ,particle,tw=|,ὁ,article,kaqeu/dein,καθεύδω,verb,tou\s,ὁ,article,a)nqrw/pous,h)=lqen,ἔρχομαι,verb,au)tou=,ἄνθρωπος,noun,αὐτός,pronoun,o(,e)xqro\s,kai\,καί,conjunction,e)pe/speiren,ἐπισπείρω,verb,ziza/nia,ζιζάνιον,noun,a)na\,ἀνά,preposition,me/son,μέσος,adjective,tou=,ὁ,article,si/tou,σῖτος,noun,kai\,καί,conjunction,a)ph=lqen,ἀπέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,ἐν,preposition,,,ἐχθρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,de\,δέ,particle,e)bla/sthsen,βλαστάνω,verb,o(,ὁ,article,xo/rtos,χόρτος,noun,kai\,karpo\n,καρπός,noun,e)poi/hsen,καί,conjunction,ποιέω,verb,to/te,e)fa/nh,kai\,καί,conjunction,ta\,ὁ,article,ziza/nia,ζιζάνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τότε,adverb,,,,,,,,,,,,,,,,,,,ὅτε,conjunction,,,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
proselqo/ntes,de\,δέ,particle,oi(,ὁ,article,dou=loi,δοῦλος,noun,tou=,ὁ,article,oi)kodespo/tou,ei)=pon,εἶπον,verb,au)tw=|,οἰκοδεσπότης,noun,αὐτός,pronoun,*ku/rie,ou)xi\,kalo\n,καλός,noun,spe/rma,σπέρμα,noun,e)/speiras,σπείρω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,sw=|,σός,adjective,a)grw=|,ἀγρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κύριος,adjective,,,,,,,,,,,,,,,,,,,προσέρχομαι,verb,,,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,
po/qen,ou)=n,οὖν,particle,e)/xei,ἔχω,verb,ziza/nia,ζιζάνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πόθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,e)/fh,φημί,verb,au)toi=s,αὐτός,pronoun,*)exqro\s,ἐχθρός,adjective,a)/nqrwpos,tou=to,οὗτος,pronoun,e)poi/hsen,ἄνθρωπος,noun,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,de\,δέ,particle,au)tw=|,αὐτός,pronoun,le/gousin,λέγω,verb,*qe/leis,ἐθέλω,verb,ou)=n,a)pelqo/ntes,ἀπέρχομαι,verb,sulle/cwmen,οὖν,particle,συλλέγω,verb,au)ta/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de/,δέ,particle,fhsin,φημί,verb,*ou)/,οὐ,adverb,mh/,μή,conjunction,pote,sulle/gontes,συλλέγω,verb,ta\,ποτέ,particle,ὁ,article,ziza/nia,e)krizw/shte,a(/ma,ἅμα,adverb,au)toi=s,αὐτός,pronoun,to\n,ὁ,article,si=ton,σῖτος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ζιζάνιον,noun,,,,,,,,,,,,,,,,,,,ὁ,article,,,ἐκριζόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/fete,sunauca/nesqai,συναυξάνω,verb,a)mfo/tera,ἀμφότερος,adjective,e(/ws,ἕως,conjunction,tou=,ὁ,article,qerismou=,,,,,θερισμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,e)n,ἐν,preposition,kairw=|,καιρός,noun,tou=,ὁ,article,qerismou=,θερισμός,noun,e)rw=,toi=s,ὁ,article,qeristai=s,ἐράομαι,verb,θεριστής,noun,*sulle/cate,prw=ton,ta\,ὁ,article,ziza/nia,ζιζάνιον,noun,kai\,καί,conjunction,dh/sate,δέω,verb,au)ta\,αὐτός,pronoun,ei)s,εἰς,preposition,de/smas,δέσμη,noun,pro\s,πρός,preposition,to\,ὁ,article,katakau=sai,κατακαίω,verb,au)ta/,αὐτός,pronoun,to\n,ὁ,article,de\,si=ton,σῖτος,noun,suna/gete,συνάγω,verb,ei)s,th\n,ὁ,article,a)poqh/khn,ἀποθήκη,noun,mou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συλλέγω,verb,δέ,particle,εἰς,preposition,,,,,,,,,,,,,,,καί,conjunction,,,πρότερος,adjective,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,
*)/allhn,parabolh\n,παραβολή,noun,pare/qhken,παρατίθημι,verb,au)toi=s,αὐτός,pronoun,le/gwn,λέγω,verb,*(omoi/a,e)sti\n,εἰμί,verb,h(,ὅμοιος,adjective,ὁ,article,basilei/a,tw=n,ou)ranw=n,οὐρανός,noun,ko/kkw|,κόκκος,noun,sina/pews,σίναπι,noun,o(\n,ὅς,pronoun,labw\n,λαμβάνω,verb,a)/nqrwpos,ἄνθρωπος,noun,e)/speiren,σπείρω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,a)grw=|,ἀγρός,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βασιλεία,noun,,,,,,,,,,,,,,,,,,,ἄλλος,adjective,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,mikro/teron,μικρός,adjective,me/n,μέν,particle,e)stin,εἰμί,verb,pa/ntwn,πᾶς,adjective,tw=n,sperma/twn,σπέρμα,noun,o(/tan,ὁ,article,ὅταν,conjunction,de\,au)chqh=|,mei=zon,μέγας,adverb,tw=n,ὁ,article,laxa/nwn,λάχανον,adjective,e)sti\n,εἰμί,verb,kai\,καί,conjunction,gi/netai,γίγνομαι,verb,de/ndron,δένδρον,adjective,w(/ste,ὥστε,conjunction,e)lqei=n,ἔρχομαι,verb,ta\,ὁ,article,peteina\,πετεινός,adjective,tou=,ὁ,article,ou)ranou=,kai\,καί,conjunction,kataskhnoi=n,,,e)n,toi=s,ὁ,article,kla/dois,κλάδος,adjective,au)tou=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,οὐρανός,noun,ἐν,preposition,,,,,,,,,,,,,,,ὅς,pronoun,,,αὐξάνω,verb,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,
*)/allhn,parabolh\n,παραβολή,noun,e)la/lhsen,λαλέω,verb,au)toi=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(omoi/a,e)sti\n,εἰμί,verb,h(,ὁ,article,basilei/a,βασιλεία,noun,tw=n,ὁ,article,ou)ranw=n,zu/mh|,ζύμη,adjective,h(\n,οὐρανός,noun,ὅς,pronoun,labou=sa,gunh\,e)ne/kruyen,ἐγκρύπτω,verb,ei)s,εἰς,preposition,a)leu/rou,ἄλευρον,adjective,sa/ta,σάτον,noun,tri/a,τρεῖς,noun,e(/ws,ἕως,conjunction,ou(=,ἕ,pronoun,e)zumw/qh,ζυμόω,verb,o(/lon,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,ὅμοιος,adjective,,,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,pa/nta,πᾶς,adjective,e)la/lhsen,λαλέω,verb,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,e)n,parabolai=s,παραβολή,noun,toi=s,ἐν,preposition,ὁ,article,o)/xlois,kai\,xwri\s,χωρίς,adverb,parabolh=s,παραβολή,noun,ou)de\n,οὐδείς,pronoun,e)la/lei,λαλέω,verb,au)toi=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὄχλος,noun,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/pws,plhrwqh=|,πληρόω,verb,to\,ὁ,article,r(hqe\n,ἐρῶ,verb,dia\,διά,preposition,tou=,profh/tou,προφήτης,adjective,le/gontos,ὁ,article,λέγω,verb,*)anoi/cw,e)n,parabolai=s,παραβολή,noun,to\,ὁ,article,sto/ma,στόμα,noun,mou,ἐγώ,pronoun,e)reu/comai,ἐρεύγομαι,verb,kekrumme/na,κρύπτω,verb,a)po\,ἀπό,preposition,katabolh=s,καταβολεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνοίγνυμι,verb,,,,,,,,,,,,,,,,,,,ὅπως,conjunction,,,ἐν,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,
*to/te,a)fei\s,ἀφίημι,verb,tou\s,ὁ,article,o)/xlous,ὄχλος,noun,h)=lqen,ἔρχομαι,verb,ei)s,th\n,ὁ,article,oi)ki/an,εἰς,preposition,οἰκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,prosh=lqan,προσέρχομαι,verb,au)tw=|,αὐτός,pronoun,oi(,ὁ,article,maqhtai\,μαθητής,noun,au)tou=,le/gontes,λέγω,verb,*diasa/fhson,αὐτός,pronoun,διασαφέω,verb,h(mi=n,th\n,parabolh\n,παραβολή,noun,tw=n,ὁ,article,zizani/wn,ζιζάνιον,noun,tou=,ὁ,article,a)grou=,ἀγρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,καί,conjunction,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,a)pokriqei\s,ἀποκρίνω,verb,ei)=pen,εἶπον,verb,*(o,ὁ,article,spei/rwn,to\,ὁ,article,kalo\n,σπείρω,verb,καλός,noun,spe/rma,e)sti\n,o(,ὁ,article,ui(o\s,υἱός,noun,tou=,ὁ,article,a)nqrw/pou,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σπέρμα,noun,,,,,,,,,,,,,,,,,,,ὁ,article,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,a)gro/s,ἀγρός,noun,e)stin,εἰμί,verb,o(,ὁ,article,ko/smos,,,,,κόσμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,de\,δέ,particle,kalo\n,καλός,noun,spe/rma,σπέρμα,noun,ou(=toi/,οὗτος,pronoun,ei)sin,oi(,ὁ,article,ui(oi\,εἰμί,verb,υἱός,noun,th=s,basilei/as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,ὁ,article,,,βασιλεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,de\,δέ,particle,ziza/nia/,ζιζάνιον,noun,ei)sin,εἰμί,verb,oi(,ὁ,article,ui(oi\,tou=,ὁ,article,ponhrou=,υἱός,noun,πονηρός,adjective,o(,de\,e)xqro\s,ἐχθρός,adjective,o(,ὁ,article,spei/ras,σπείρω,verb,au)ta/,αὐτός,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,dia/bolos,διάβολος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,ὁ,article,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,δέ,particle,qerismo\s,θερισμός,noun,sunte/leia,συντέλεια,noun,ai)w=no/s,αἰών,noun,e)stin,oi(,ὁ,article,de\,εἰμί,verb,δέ,particle,qeristai\,a)/ggeloi/,ei)sin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεριστής,noun,,,,,,,,,,,,,,,,,,,ὁ,article,,,ἄγγελος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ou)=n,οὖν,particle,sulle/getai,συλλέγω,verb,ta\,ὁ,article,ziza/nia,ζιζάνιον,noun,kai\,puri\,πῦρ,noun,katakai/etai,καί,conjunction,κατακαίω,verb,ou(/tws,e)/stai,e)n,ἐν,preposition,th=|,ὁ,article,suntelei/a|,συντέλεια,noun,tou=,ὁ,article,ai)w=nos,αἰών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,,,,,,,,,,,,,,,,,,,ὥσπερ,adverb,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
