word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/23/@_form,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS
e)/peita,ἔπειτα,adverb,e)s,εἰς,preposition,me\n,μέν,particle,th\n,ὁ,article,su/rigga,a)/nqos,ἄνθος,adjective,xalkou=,χαλκός,noun,o)pto\n,ὀπτός,adjective,suxno\n,συχνός,adjective,th=|,ὁ,article,mh/lh|,μήλη,noun,e)nqei=nai,to\n,ὁ,article,de\,δέ,particle,spo/ggon,σπόγγος,noun,a)lei=yai,ἀλείφω,verb,me/liti,μέλι,noun,kai\,καί,conjunction,u(pobalw\n,ὑποβάλλω,verb,me/son,tw=|,ὁ,article,lixanw=|,λιχανός,adjective,daktu/lw|,δάκτυλος,noun,σῦριγξ,noun,ἐντίθημι,verb,μέσος,adjective,th=s,a)risterh=s,ἀριστερός,adjective,xeiro\s,χείρ,noun,w)=sai,ὠθέω,verb,pro/sw,πρόσω,adverb,kai\,καί,conjunction,prosqei\s,προστίθημι,verb,ὁ,article,e(/teron,ἕτερος,adjective,spo/ggon,σπόγγος,noun,a)nadh=sai,ἀναδέω,verb,to\n,ὁ,article,au)to\n,αὐτός,pronoun,tro/pon,o(/n,ὅς,pronoun,per,πέρ,particle,kai\,καί,conjunction,e)pi\,ἐπί,preposition,th=|sin,ὁ,article,ai(mor)*roi/+sin,,,,,,,,,,,,,,,,,,,,,,,,,τρόπος,noun,,
th=|,ὁ,article,de\,δέ,particle,au)/rion,αὔριον,adverb,a)polu/sas,ἀπολύω,verb,perini/yai,u(/dati,ὕδωρ,noun,qermw=|,θερμός,adjective,kai\,καί,conjunction,spo/ggw|,σπόγγος,noun,tw=|,ὁ,article,daktu/lw|,δάκτυλος,noun,th=s,a)risterh=s,ἀριστερός,adjective,xeiro\s,χείρ,noun,peira=|n,πειράω,verb,diakaqai/rein,διακαθαίρω,verb,th\n,ὁ,article,su/rigga,σῦριγξ,noun,kai\,καί,conjunction,au)=qis,pa/lin,πάλιν,adverb,to\,ὁ,article,a)/nqos,ἄνθος,adjective,περινίζω,verb,ὁ,article,αὖθις,adverb,e)pidh=sai,,,,,,,,,,,,,,,,,,,ἐπιδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,poie/ein,ποιέω,verb,e(pta\,ἑπτά,noun,h(me/ras,ἡμέρα,noun,e)n,tau/th|si,οὗτος,pronoun,ga\r,γάρ,particle,ma/lista,μάλιστα,adverb,o(,ὁ,article,xitw\n,χιτών,adjective,th=s,ὁ,article,su/riggos,e)ksh/petai,ἐκσήπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,σῦριγξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,loipo\n,λοιπός,adjective,e)/st',εἰμί,verb,a)\n,u(gianqh=|,ὑγιαίνω,verb,toute/w|,,,e)pidei=n,ἐπεῖδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,ga\r,γάρ,particle,tou=ton,οὗτος,pronoun,to\n,ὁ,article,tro/pon,u(po\,ὑπό,preposition,tou=,ὁ,article,spo/ggou,σπόγγος,noun,dianagkazome/nh,διαναγκάζω,verb,kai\,καί,conjunction,a)naptussome/nh,ἀναπτύσσω,verb,h(,su/rigc,,,ou)/te,οὔτε,adverb,pa/lin,πάλιν,adverb,cumpe/soi,συμπίτνω,verb,a)\n,ἄν,particle,ou)/te,οὔτε,adverb,to\,ὁ,article,me\n,au)th=s,αὐτός,pronoun,u(gianqei/h,ὑγιαίνω,verb,a)\n,ἄν,particle,τρόπος,noun,ὁ,article,μέν,particle,to\,de\,δέ,particle,pa/lin,πάλιν,adverb,cumplhrwqei/h,συμπληρόω,verb,a)ll',ἀλλά,adverb,e)n,ἐν,preposition,e(wuth=|,ἑαυτοῦ,pronoun,ὁ,article,pa=sa,πᾶς,adjective,u(gih\s,ὑγιής,adverb,e)/stai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,th=|,ὁ,article,qerapei/h|,θεραπεία,noun,de\,δέ,particle,prosaiona=|n,u(/dati,ὕδωρ,noun,polllw=|,,,qermw=|,θερμός,adjective,kai\,καί,conjunction,limoktone/ein,λιμοκτονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προσαιονάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,diabebrw/kh|,διαβιβρώσκω,verb,h(,su/rigc,,,promhlw/sas,προμηλόω,verb,mh/lh|,μήλη,noun,te/mne,τέμνω,verb,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,die/lqh|,kai\,καί,conjunction,e)pi/passe,ἐπιπάσσω,verb,a)/nqos,ἄνθος,adjective,xalkou=,χαλκός,noun,kai\,καί,conjunction,e)a=|n,ἀίω,verb,e)pi\,ἐπί,preposition,pe/nte,h(me/ras,ἡμέρα,noun,,,,,,,ὁ,article,διέρχομαι,verb,πέντε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata/xee,καταχέω,verb,de\,δέ,particle,u(/dwr,ὕδωρ,noun,qermo/n,θερμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pa/nw,ἐπάνω,adverb,u(/dati,ὕδωρ,noun,furw=n,φυρός,adjective,a)/lfiton,kata/passe,καταπάσσω,verb,kai\,καί,conjunction,fu/lla,φύλλον,noun,teu/tlwn,τεῦτλον,noun,e)pi/dei,ἐπιδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄλφιτον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,e)kpe/sh|,ἐκπίτνω,verb,to\,ὁ,article,a)/nqos,tou=,ὁ,article,xalkou=,χαλκός,noun,kai\,καί,conjunction,kaqaro\n,καθαρός,adjective,h)=|,εἰμί,verb,to\,ὁ,article,e(/lkos,th=s,ὁ,article,su/riggos,σῦριγξ,noun,i)w=,ἰός,adjective,w(/sper,ὥσπερ,adverb,th\n,ὁ,article,e)/mprosqen,ἔμπροσθεν,adverb,,,,,,,,,,,,,,ἄνθος,adjective,ἕλκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,e)n,ἐν,preposition,xwri/w|,χωρίον,noun,h)=|,o(\,ὅς,pronoun,mh\,μή,conjunction,oi(=o/n,οἷος,adjective,te,τε,particle,ta/mnein,τέμνω,verb,baqei/h,,,de\,kai\,καί,conjunction,h(,ὁ,article,su/rigc,,,a)/nqei,ἄνθος,adjective,xalkou=,χαλκός,noun,kai\,καί,conjunction,smu/rnh|,σμύρνα,noun,kai\,li/trw|,λίτρον,noun,ou)/rw|,οὖρον,noun,diei\s,δίεμαι,verb,εἰμί,verb,δέ,particle,καί,conjunction,klu/zein,kai\,καί,conjunction,e)s,εἰς,preposition,to\,ὁ,article,sto/ma,στόμα,noun,th=s,ὁ,article,su/riggos,σῦριγξ,noun,κλύζω,verb,molu/bdion,μολύβδιον,noun,e)ntiqe/nai,ἐντίθημι,verb,o(/pws,ὅπως,conjunction,mh\,μή,conjunction,cumfu/htai,συμφύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klu/zein,κλύζω,verb,de\,δέ,particle,pterou=,πτερόν,noun,su/rigga,σῦριγξ,noun,prosdh/sas,pro\s,πρός,preposition,ku/stin,κύστις,noun,kai\,καί,conjunction,kaqei\s,καθίημι,verb,e)s,εἰς,preposition,th\n,ὁ,article,su/rigga,pro\s,πρός,preposition,tou=to,οὗτος,pronoun,dia/gein,διάγω,verb,klu/zwn,κλύζω,verb,,,,,,,,,,,,,,,,,,,,προσδέομαι,verb,σῦριγξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(gih\s,ὑγιής,adverb,de\,δέ,particle,ou),οὐ,adverb,gi/netai,γίγνομαι,verb,h)\n,mh\,μή,conjunction,tmhqh=|,τέμνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐάν,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,o(,ὁ,article,a)rxo\s,ἀρχός,noun,flegmh/nh|,φλεγμαίνω,verb,kai\,o)du/nh,ὀδύνη,noun,e)/xh|,ἔχω,verb,kai\,καί,conjunction,pureto\s,πυρετός,noun,kai\,καί,conjunction,e)s,εἰς,preposition,a)/fodon,qamina\,θαμινός,adverb,kaqi/zh|,καθίζω,verb,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,u(poxwreh|,,,kai\,καί,conjunction,u(po\,ὑπό,preposition,tou=,fle/gmatos,φλέγμα,noun,doke/h|,δοκέω,verb,e)cie/nai,ἔξειμι,verb,καί,conjunction,ἄφοδος,noun,ὁ,article,h(,e(/drh,ἕδρα,noun,kai\,καί,conjunction,e)ni/ote,ἐνίοτε,adverb,straggouri/h,στραγγουρία,noun,e)pilamba/nh|,ἐπιλαμβάνω,verb,tou=to,οὗτος,pronoun,ὁ,article,to\,ὁ,article,no/shma,νόσημα,noun,gi/netai,γίγνομαι,verb,o(/tan,ὅταν,conjunction,fle/gma,φλέγμα,noun,e)s,to\n,ὁ,article,a)rxo\n,ἀρχός,noun,katasthri/ch|,καταστηρίζω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,sw/matos,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,σῶμα,adjective
cumfe/rei,συμφέρω,verb,de\,δέ,particle,ta\,ὁ,article,qerma/,θερμός,adjective,du/natai,ga\r,γάρ,particle,ta/de,ὅδε,pronoun,prosfero/mena,προσφέρω,verb,leptu/nein,λεπτύνω,verb,kai\,καί,conjunction,e)kth/kein,ἐκτήκω,verb,to\,fle/gma,φλέγμα,noun,kai\,καί,conjunction,a(/ma,ἅμα,adverb,tw=|,ὁ,article,drimei=,δριμύς,adjective,to\,ὁ,article,a(lmuro\n,ἁλμυρός,adjective,e)cudatou=n,w(/ste,ὥστε,conjunction,mh\,μή,conjunction,ei)=nai,εἰμί,verb,δύναμαι,verb,ὁ,article,ἐξυδατόω,verb,to\,kau=ma,καῦμα,noun,mhde\,μηδέ,particle,dh=ci/n,δῆξις,noun,tina,τις,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,ὁ,article,e)nte/rw|,ἔντερον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qerapeu/ein,θεραπεύω,verb,ou)=n,οὖν,particle,xrh\,χρή,verb,w(=de,ὧδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaqi/zein,καθίζω,verb,e)s,εἰς,preposition,u(/dwr,ὕδωρ,noun,qermo\n,θερμός,adjective,kai\,tri/yanta,τρίβω,verb,tou=,ὁ,article,ko/kkou,κόκκος,noun,tou=,ὁ,article,knidi/ou,,,e(ch/konta,ἑξήκοντα,adjective,ko/kkous,diei=nai,διίημι,verb,e)n,ἐν,preposition,oi)/nou,οἶνον,noun,kotu/lh|,κοτύλη,noun,kai\,καί,conjunction,e)lai/ou,ἔλαιον,noun,h(mikotuli/w|,ἡμικοτύλιον,adjective,xlih/nas,klu/son,κλύζω,verb,,,,,,,καί,conjunction,κόκκος,noun,χλιαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/gei,ἄγω,verb,de\,δέ,particle,tau=ta,οὗτος,pronoun,fle/gma,φλέγμα,noun,kai\,ko/pron,κόπρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,de\,δέ,particle,mh\,μή,conjunction,e)n,ἐν,preposition,tw=|,u(/dati,ὕδωρ,noun,kaqi/zh|,καθίζω,verb,w)a\,ᾠόν,noun,e(yh/sas,ἕψω,verb,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,me/lani,eu)w/dei,εὐώδης,adverb,prostiqe/nai,προστίθημι,verb,pro\s,πρός,preposition,th\n,ὁ,article,e(/drhn,ἕδρα,noun,u(popeta/sas,ὑποπετάννυμι,verb,ti,τις,pronoun,ka/twqen,qermo\n,θερμός,adjective,h)\,ἠέ,conjunction,ku/stin,κύστις,noun,ὁ,article,μέλας,adjective,κάτωθεν,adverb,u(/datos,qermou=,θερμός,adjective,plh/sas,πίμπλημι,verb,h)\,ἠέ,conjunction,li/nou,λίνος,noun,spe/rma,σπέρμα,noun,pefwsme/non,,,ὕδωρ,noun,a)le/sas,ἀλέω,verb,tri/yas,τρίβω,verb,kai\,καί,conjunction,mi/cas,μίγνυμι,verb,i)/son,ἴσος,adjective,a)/lhton,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,me/lani,μέλας,adjective,kai\,καί,conjunction,eu)w/dei,εὐώδης,adverb,kai\,e)lai/w|,ἔλαιον,noun,katapla/ssein,καταπλάσσω,verb,w(s,ὡς,conjunction,qermota/tw|,θερμός,adjective,,,,,,,,,,,,,εἴλω,verb,καί,conjunction
h)\,ἠέ,conjunction,kriqa\s,κριθή,noun,mi/cas,μίγνυμι,verb,h)\,ἠέ,conjunction,stupthri/hn,ai)gupti/hn,αἰγυπτία,noun,tetrimme/nhn,τρίβω,verb,katapla/ssein,καταπλάσσω,verb,te,τε,particle,kai\,καί,conjunction,purih=|n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στυπτήριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,pla/sas,πλάσσω,verb,ba/lanon,βάλανος,adjective,makrh\n,μακρός,adjective,kai\,xliai/nwn,χλιαίνω,verb,pro\s,πρός,preposition,puro\s,πῦρ,noun,toi=si,ὁ,article,daktu/loisi,δάκτυλος,noun,prospla/ssein,προσπλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,a)kroxli/hron,,,poie/wn,ποιέω,verb,e)ntiqe/nai,ἐντίθημι,verb,e)s,th\n,ὁ,article,e(/drhn,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,e)/cwqen,ἔξωθεν,adverb,de\,δέ,particle,khrwth=|,κηρωτή,noun,perialei=yai,kai\,καί,conjunction,katapla/ssein,καταπλάσσω,verb,skoro/doisin,σκόροδον,noun,e(fqoi=sin,ἑφθός,adjective,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,me/lani,kekrhme/nw|,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,περιαλείφω,verb,μέλας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,e)caire/h|s,ἐξαιρέω,verb,e)s,εἰς,preposition,u(/dwr,q,,,rmo\n,,,e)fi/zein,ἐφίζω,verb,kai\,καί,conjunction,summi/cas,συμμίγνυμι,verb,xulo\n,χυλός,noun,stru/xnou,kai\,καί,conjunction,xhno\s,χήν,noun,kai\,καί,conjunction,u(o\s,ὗς,noun,ste/ar,στέαρ,noun,kai\,καί,conjunction,xrusoko/llan,χρυσοκόλλα,noun,kai\,*rhti/nhn,,,kai\,καί,conjunction,khro\n,κηρός,noun,ὕδωρ,noun,στρύχνον,noun,καί,conjunction,leuko\n,e)/peita,ἔπειτα,adverb,diath/cas,διατήκω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,λευκός,adjective,cummi/cas,συμμίγνυμι,verb,tou/toisin,οὗτος,pronoun,e)gxri/ein,ἐγχρίω,verb,kai\,καί,conjunction,e(/ws,ἕως,conjunction,a)\n,flegmai/nh|,φλεγμαίνω,verb,katapla/ssein,καταπλάσσω,verb,toi=si,ὁ,article,skoro/doisi,σκόροδον,noun,qermoi=si,θερμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,ἄν,particle,,
kai\,καί,conjunction,h)\n,ἐάν,conjunction,me\n,μέν,particle,pro\s,πρός,preposition,tau=ta,a)palla/sshtai,ἀπαλλάσσω,verb,th=s,ὁ,article,o)du/nhs,ὀδύνη,noun,a)rkei/tw,ἀρκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,pi/sai,πίσα,adjective,to\,mhkw/nion,μηκώνιον,noun,to\,ὁ,article,leuko/n,λευκός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,a)/llo,ἄλλος,adjective,o(/,ti,τις,pronoun,fle/gma,φλέγμα,noun,kaqai/rei,καθαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaita=|n,διαιτάω,verb,de\,δέ,particle,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,flegmai/nh|,*rufh/masi,,,kou/foisin,κοῦφος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φλεγμαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,stoaggouri/h,,,e)pipi/ptei,ἐπιπίπτω,verb,e)k,tw=nde,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qermainome/nh,θερμαίνω,verb,h(,ὁ,article,ku/stis,κύστις,noun,e)k,ἐκ,preposition,tou=,a)rxou=,ἀρχός,noun,prosa/getai,προσάγω,verb,th=|,ὁ,article,qermo/thti,θερμότης,noun,fle/gma,φλέγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(po\,ὑπό,preposition,de\,δέ,particle,tou=,ὁ,article,fle/gmatos,φλέγμα,noun,straggouri/h,gi/netai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,στραγγουρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,a(/ma,ἅμα,adverb,th=|,nou/sw|,νόσος,noun,pau/htai,παύω,verb,file/ei,φιλέω,verb,ga\r,γάρ,particle,w(s,ὡς,conjunction,ta\,ὁ,article,polla\,ou(/tw,οὕτως,adverb,gi/nesqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,mh\,μή,conjunction,di/dou,δίδημι,verb,tw=n,farma/kwn,φάρμακον,noun,tw=n,ὁ,article,straggourikw=n,στραγγουρικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,o(,ὁ,article,a)rxo\s,ἀρχός,noun,e)kpi/pth|,a)nw/sas,ἀνάζω,verb,spo/ggw|,σπόγγος,noun,malqakw=|,μαλθακός,adjective,kai\,καί,conjunction,kataxri/sas,καταχρίω,verb,koxli/h|,κόχλιας,noun,tw=n,xeirw=n,χείρ,noun,dh/sas,δέω,verb,e)kkre/mason,ἐκκρεμάννυμι,verb,o)li/gon,ὀλίγος,adjective,xro/non,χρόνος,noun,kai\,καί,conjunction,ei)/seisin,εἴσειμι,verb,,,,,,,,,,,ἐκπίτνω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
