word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
h)\,ἠέ,conjunction,kai\,καί,conjunction,goggu/zein,γογγύζω,verb,kai\,glisxreu/esqai,γλισχρεύομαι,verb,kai\,kolakeu/ein,κολακεύω,verb,kai\,καί,conjunction,καί,conjunction,καί,conjunction,to\,ὁ,article,swma/tion,σωμάτιον,noun,kataitia=sqai,καταιτιάομαι,verb,kai\,καί,conjunction,a)reskeu/esqai,ἀρεσκεύομαι,verb,kai\,καί,conjunction,perpereu/esqai,περπερεύομαι,verb,kai\,καί,conjunction,tosau=ta,τοσοῦτος,adjective,r(ipta/zesqai,ῥιπτάζω,verb,th=|,ὁ,article,yuxh=|,ψυχή,noun,dia\,διά,preposition,to\,ὁ,article,a)fuw=s,ἀφυής,adverb,kateskeua/sqai,κατασκευάζω,verb,a)nagka/zh|,ἀναγκάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ma\,μά,particle,tou\s,ὁ,article,qeou/s,a)lla\,ἀλλά,adverb,tou/twn,me\n,μέν,particle,pa/lai,πάλαι,adverb,θεός,noun,οὗτος,pronoun,a)phlla/xqai,ἀπαλλάσσω,verb,e)du/naso,δύναμαι,verb,mo/non,μόνος,adjective,de/,δέ,particle,ei),εἰ,conjunction,a)/ra,ἄρα,particle,w(s,ὡς,conjunction,bradu/teros,βραδύς,adjective,kai\,καί,conjunction,dusparakolouqhto/teros,δυσπαρακολούθητος,adjective,kataginw/skesqai,καταγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=to,οὗτος,pronoun,de\,δέ,particle,a)skhte/on,mh\,μή,conjunction,parenqumoume/nw|,mhde\,μηδέ,particle,e)mfilhdonou=nti,,,ἀσκητέος,adjective,παρενθυμέομαι,verb,th=|,ὁ,article,nwqei/a|,νώθεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(o,ὁ,article,me/n,μέν,particle,ti/s,τίς,pronoun,e)stin,o(/tan,ὅταν,conjunction,ti,decio\n,δεξιός,adjective,peri/,περί,preposition,εἰμί,verb,τις,pronoun,tina,τις,pronoun,pra/ch|,πρᾶξις,adjective,pro/xeiros,πρόχειρος,adjective,kai\,καί,conjunction,logi/sasqai,λογίζομαι,verb,au)tw=|,αὐτός,pronoun,th\n,ὁ,article,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,pro\s,πρός,preposition,me\n,tou=to,οὗτος,pronoun,ou),pro/xeiros,πρόχειρος,adjective,a)/llws,ἄλλως,adverb,μέν,particle,οὐ,adverb,me/ntoi,μέντοι,particle,par),πηρός,adjective,e(autw=|,ἑαυτοῦ,pronoun,w(s,ὡς,conjunction,peri\,περί,preposition,xrew/stou,χρεώστης,noun,dianoei=tai,διανοέομαι,verb,kai\,καί,conjunction,oi)=den,οἶδα,verb,o(\,ὅς,pronoun,pepoi/hken,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de/,δέ,particle,tis,τις,pronoun,tro/pon,tina\,τις,pronoun,ou)de\,oi)=den,οἶδα,verb,o(\,ὅς,pronoun,τρόπος,noun,οὐδέ,particle,pepoi/hken,ποιέω,verb,a)lla\,ἀλλά,adverb,o(/moio/s,ὅμοιος,adjective,e)stin,εἰμί,verb,a)mpe/lw|,ἄμπελος,noun,bo/trun,βότρυς,adjective,e)negkou/sh|,φέρω,verb,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,a)/llo,ἄλλος,adjective,prosepizhtou/sh|,προσεπιζητέω,verb,meta\,μετά,preposition,to\,ὁ,article,a(/pac,ἅπαξ,adverb,to\n,ὁ,article,i)/dion,ἴδιος,adjective,karpo\n,καρπός,noun,e)nhnoxe/nai,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/ppos,ἵππος,noun,dramw/n,τρέχω,verb,ku/wn,κύων,noun,i)xneu/sas,me/lissa,μέλισσα,noun,me/li,poih/sasa,ποιέω,verb,a)/nqrwpos,ἄνθρωπος,noun,ἰχνεύω,verb,μέλι,noun,d',δέ,particle,eu)=,εὖ,adverb,poih/sas,ποιέω,verb,ou)k,οὐ,adverb,e)piboa=tai,ἐπιβοάω,verb,a)lla\,ἀλλά,adverb,metabai/nei,μεταβαίνω,verb,e)f',ἐπί,preposition,e(/teron,ἕτερος,adjective,w(s,ὡς,conjunction,a)/mpelos,ἄμπελος,noun,e)pi\,ἐπί,preposition,to\,ὁ,article,pa/lin,πάλιν,adverb,e)n,ἐν,preposition,th=|,ὁ,article,w(/ra|,ὥρα,adjective,to\n,ὁ,article,bo/trun,βότρυς,adjective,e)negkei=n,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,ou(=n,ὗς,noun,dei=,ei)=nai,εἰμί,verb,toi=s,tro/pon,τρόπος,noun,tina\,τις,pronoun,δέομαι,verb,ὁ,article,a)parakolouqh/tws,ἀπαρακολούθητος,adjective,au)to\,αὐτός,pronoun,poiou=si,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nai/,ναί,adverb,a)ll',ἀλλά,adverb,au)to\,αὐτός,pronoun,tou=to,dei=,δέομαι,verb,parakolouqei=n,,,,,,,οὗτος,pronoun,παρακολουθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/dion,ἴδιος,adjective,ga/r,γάρ,particle,fhsi/,φημί,verb,tou=,koinwnikou=,κοινωνικός,adjective,to\,ai)sqa/nesqai,αἰσθάνομαι,verb,o(/ti,ὅστις,pronoun,ὁ,article,ὁ,article,koinwnikw=s,κοινωνικός,adjective,e)nergei=,ἐνεργέω,verb,kai\,καί,conjunction,nh\,νή,preposition,*di/a,Δίη,proper,bou/lesqai,βούλομαι,verb,kai\,καί,conjunction,to\n,ὁ,article,koinwno\n,κοινωνός,noun,ai)sqe/sqai,αἰσθάνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lhqe\s,ἀληθής,adjective,me/n,μέν,particle,e)stin,εἰμί,verb,o(\,le/geis,λέγω,verb,to\,de\,δέ,particle,nu=n,νῦν,adverb,ὅς,pronoun,ὁ,article,lego/menon,λέγω,verb,parekde/xh|,παρεκδέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,tou=to,οὗτος,pronoun,e)/sh|,εἰμί,verb,ei)=s,e)kei/nwn,ἐκεῖνος,pronoun,w)=n,pro/teron,πρότερος,adjective,e)pemnh/sqhn,ἐπιμιμνήσκομαι,verb,εἶμι,verb,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)kei=noi,ἐκεῖνος,pronoun,logikh=|,tini,τις,pronoun,piqano/thti,para/gontai,παράγω,verb,,,,λογικός,adjective,πιθανότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de\,δέ,particle,qelh/sh|s,ἐθέλω,verb,sunei=nai,ti/,τίς,pronoun,pote/,e)sti,εἰμί,verb,to\,ὁ,article,σύνειμι,verb,ποτέ,particle,lego/menon,λέγω,verb,mh\,μή,conjunction,fobou=,φοβέω,verb,mh\,μή,conjunction,para\,παρά,preposition,tou=to,οὗτος,pronoun,parali/ph|s,παραλείπω,verb,ti,τις,pronoun,e)/rgon,ἔργον,noun,koinwniko/n,κοινωνικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)xh\,εὐχή,noun,*)aqhnai/wn,Ἀθήναια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(=son,ὕω,verb,u(=son,ὕω,verb,w)=,ὦ,interjection,fi/le,*zeu=,Ζεύς,proper,kata\,th=s,ὁ,article,a)rou/ras,ἄρουρα,adjective,φίλος,adjective,κατά,preposition,th=s,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,kai\,καί,conjunction,tw=n,ὁ,article,pedi/wn,πέδιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/toi,ἤτοι,particle,ou),οὐ,adverb,dei=,δέομαι,verb,eu)/xesqai,h)\,ἠέ,conjunction,ou(/tws,a(plw=s,ἁπλῶς,adverb,kai\,καί,conjunction,εὔχομαι,verb,οὕτως,adverb,e)leuqe/rws,ἐλεύθερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(opoi=o/n,ὁποῖος,adjective,ti/,τίς,pronoun,e)sti,εἰμί,verb,to\,lego/menon,λέγω,verb,o(/ti,,,,,,,ὁ,article,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sune/tacen,συντάσσω,verb,o(,ὁ,article,*)asklhpio\s,Ἀσκληπιός,proper,tou/tw|,i(ppasi/an,ἱππασία,noun,h)\,yuxrolousi/an,ψυχρολουσία,noun,h)\,ἠέ,conjunction,οὗτος,pronoun,ἠέ,conjunction,a)nupodhsi/an,ἀνυποδησία,noun,toiou=to/n,τοιοῦτος,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,to/,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sune/tace,συντάσσω,verb,tou/tw|,οὗτος,pronoun,h(,ὁ,article,tw=n,o(/lwn,ὅλος,adjective,fu/sis,no/son,νόσος,noun,h)\,ἠέ,conjunction,ὁ,article,φύσις,noun,ph/rwsin,πήρωσις,noun,h)\,ἠέ,conjunction,a)pobolh\n,ἀποβολή,noun,h)\,ἠέ,conjunction,a)/llo,ἄλλος,adjective,ti,τις,pronoun,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)kei=,ἐκεῖ,adverb,to\,sune/tace,συντάσσω,verb,toiou=to/n,ti,τις,pronoun,shmai/nei,σημαίνω,verb,ὁ,article,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/tace,ἐτάζω,verb,tou/tw|,οὗτος,pronoun,tou=to,οὗτος,pronoun,w(s,kata/llhlon,κατάλληλος,adjective,pro\s,u(gi/eian,ὑγίεια,noun,kai\,καί,conjunction,ὡς,conjunction,πρός,preposition,e)ntau=qa,ἐνταῦθα,adverb,to\,ὁ,article,sumbai=non,συμβαίνω,verb,e(ka/stw|,ἕκαστος,adjective,te/taktai/,τάσσω,verb,pws,πως,particle,au)tw=|,αὐτός,pronoun,w(s,ὡς,conjunction,kata/llhlon,κατάλληλος,adjective,pro\s,πρός,preposition,th\n,ὁ,article,ei(marme/nhn,μείρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,ga\r,γάρ,particle,kai\,καί,conjunction,sumbai/nein,au)ta\,αὐτός,pronoun,h(mi=n,le/gomen,λέγω,verb,w(s,ὡς,conjunction,συμβαίνω,verb,ἐγώ,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,tetragw/nous,τετράγωνος,adjective,li/qous,λίθος,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,tei/xesin,τεῖχος,noun,h)/,ἠέ,conjunction,e)n,ἐν,preposition,tai=s,ὁ,article,purami/si,πυραμίς,noun,sumbai/nein,συμβαίνω,verb,oi(,ὁ,article,texni=tai,τεχνίτης,noun,le/gousi,λέγω,verb,sunarmo/zontas,συναρμόζω,verb,a)llh/lois,ἀλλήλων,pronoun,th=|,ὁ,article,poia=|,ποιός,adjective,sunqe/sei,σύνθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/lws,ὅλος,adjective,ga\r,γάρ,particle,a(rmoni/a,ἁρμονία,noun,e)sti\,mi/a,εἷς,adjective,kai\,w(/sper,ὥσπερ,adverb,e)k,ἐκ,preposition,εἰμί,verb,καί,conjunction,pa/ntwn,πᾶς,adjective,tw=n,ὁ,article,swma/twn,σῶμα,adjective,o(,ὁ,article,ko/smos,κόσμος,noun,toiou=ton,τοιοῦτος,adjective,sw=ma,σῶμα,adjective,sumplhrou=tai,συμπληρόω,verb,ou(/tws,οὕτως,adverb,e)k,ἐκ,preposition,pa/ntwn,πᾶς,adjective,tw=n,ὁ,article,ai)ti/wn,αἴτιος,adjective,h(,ὁ,article,ei(marme/nh,μείρομαι,verb,toiau/th,τοιοῦτος,adjective,ai)ti/a,αἰτία,noun,sumplhrou=tai,συμπληρόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noou=si,νοέω,verb,de\,δέ,particle,o(\,ὅς,pronoun,le/gw,kai\,καί,conjunction,oi(,te/leon,τέλειος,adjective,i)diw=tai,ἰδιώτης,noun,λέγω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
