word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS
ou),οὐ,adverb,ne/mesis,νέμεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei/nous,ἐκεῖνος,pronoun,ge,γε,particle,kai\,καί,conjunction,ai(,ὁ,article,ma/la,μάλα,adverb,mhke/ti,μηκέτι,adverb,tutqai/,τυτθός,adjective,ou)de/pot',οὐδέποτε,adverb,a)frikti\,ἀφρικτί,adverb,maka/rwn,μάκαρος,adjective,o(ro/wsi,ὁράω,verb,qu/gatres,θυγάτηρ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(/te,ὅστε,pronoun,koura/wn,κόρη,noun,tis,τις,pronoun,a)peiqe/a,ἀπειθής,adverb,mhte/ri,μήτηρ,noun,teu/xoi,τεύχω,verb,mh/thr,μήτηρ,noun,me\n,μέν,particle,*ku/klwpas,Κύκλωψ,proper,e(h=i,ἑός,adjective,e)pi\,ἐπί,preposition,paidi\,παῖς,adjective,kalistrei=,καλιστρέω,verb,*)/arghn,Ἄργη,proper,h)\,ἠέ,conjunction,*stero/phn,Στερόπης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,de\,δέ,particle,dw/matos,δῶμα,noun,e)k,ἐκ,preposition,muxa/toio,μύχατος,adjective,e)/rxetai,ἔρχομαι,verb,*(ermei/hs,Ἑρμῆς,proper,spodih=i,,,kexrime/nos,χρίω,verb,ai)qh=i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ti/ka,αὐτίκα,adverb,th\n,ὁ,article,kou/rhn,κόρη,noun,mormu/ssetai,μορμύσσομαι,verb,h(\,ὅς,pronoun,de\,δέ,particle,tekou/shs,τίκτω,verb,du/nei,δύω,verb,e)/sw,ἔσω,adjective,ko/lpous,κόλπος,noun,qeme/nh,τίθημι,verb,e)pi\,ἐπί,preposition,fa/esi,φάος,adjective,xei=ras,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kou=ra,,,su\,σύ,pronoun,de\,δέ,particle,prote/rw,προτέρω,adverb,per,πέρ,particle,e)/ti,ἔτι,adverb,trie/thros,τριέτηρος,adjective,e)ou=sa,εἰμί,verb,eu)=t',εὖτε,conjunction,e)/molen,βλώσκω,verb,*lhtw/,Λητώ,proper,se,σύ,pronoun,met',μετά,preposition,a)gkali/dessi,ἀγκάλη,noun,fe/rousa,φέρω,verb,*(hfai/stou,Ἥφαιστος,proper,kale/ontos,καλέω,verb,o(/pws,ὅπως,conjunction,o)pth/ria,ὀπτήρια,noun,doi/h,*bro/ntew/,Βρόντης,proper,se,σύ,pronoun,stibaroi=sin,στιβαρός,adjective,e)fessame/nou,ἐφίζω,verb,gona/tessi,γόνυ,noun,sth/qeos,στῆθος,noun,e)k,ἐκ,preposition,mega/lou,μέγας,adverb,lasi/hs,λάσιος,adjective,e)dra/cao,δράσσομαι,verb,xai/ths,χαίτη,noun,w)/loyas,ὀλόπτω,verb,de\,δέ,particle,bi/hifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,a)/trixon,ἄτριχος,adjective,ei)se/ti,εἰσέτι,adverb,kai\,καί,conjunction,nu=n,νῦν,adverb,messa/tion,,,ste/rnoio,στέρνον,noun,me/nei,μένω,verb,me/ros,μέρος,noun,w(s,ὡς,conjunction,o(/te,ὅστε,pronoun,ko/rshi,κόρση,noun,fwto\s,φάος,adjective,e)nidruqei=sa,ἐνιδρύω,verb,ko/mhn,κόμη,noun,e)penei/mat',ἐπινέμω,verb,a)lw/phc,ἀλώπηξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,ma/la,μάλα,adverb,qarsale/h,θαρσαλέος,adjective,sfe,σφεῖς,pronoun,ta/de,ὅδε,pronoun,prosele/cao,προσλέγομαι,verb,th=mos,τῆμος,adverb,'*ku/klwpes,,,kh)moi/,ἐγώ,pronoun,ti,τις,pronoun,*kudw/nion,Κυδώνιος,proper,ei),εἰ,conjunction,d',δέ,particle,a)/ge,ἄγε,adverb,to/con,τόξον,noun,h)d',ἠδέ,conjunction,i)ou\s,ἰός,adjective,koi/lhn,κόιλος,adjective,te,τε,particle,kataklhi=da,bele/mnwn,βέλεμνον,noun,teu/cate,τεύχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)gw\,ἐγώ,pronoun,*lhtwia\s,Λητωιάς,proper,w(/sper,ὥσπερ,adverb,*)apo/llwn,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai),εἰ,conjunction,de/,δέ,particle,k',ἄν,particle,e)gw\,ἐγώ,pronoun,to/cois,τόξον,noun,monio\n,μονιός,adjective,da/kos,δάκος,noun,h)/,ἠέ,conjunction,ti,τις,pronoun,pe/lwron,πέλωρος,adjective,qhri/on,θηρίον,noun,a)greu/sw,ἀγρεύω,verb,to\,ὁ,article,de/,δέ,particle,ken,ἄν,particle,*ku/klwpes,Κύκλωψ,proper,e)/doien',ἔδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,d',δέ,particle,e)te/lessan,τελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/far,ἄφαρ,adverb,d',δέ,particle,w(pli/ssao,ὁπλίζω,verb,dai=mon,δαίμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)=ya,αἶψα,adverb,d',δέ,particle,e)pi\,ἐπί,preposition,sku/lakas,σκύλαξ,noun,pa/lin,πάλιν,adverb,h)/ies,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/keo,ἱκνέομαι,verb,d',δέ,particle,au)=lin,αὖλις,noun,*)arkadikh\n,Ἀρκαδικός,adjective,e)/pi,ἐπί,preposition,*pano/s,Πάν,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,de\,δέ,particle,kre/a,κρέας,noun,lugko\s,λύγξ,noun,e)/tamne,τέμνω,verb,*mainali/hs,Μαίναλον,proper,i(/na,ἵνα,conjunction,oi(,ὁ,article,toka/des,τοκάς,noun,ku/nes,κύων,noun,ei)=dar,εἶδαρ,noun,e)/doien,ἔδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti\n,σύ,pronoun,d',δέ,particle,o(,ὁ,article,geneih/ths,γενειάτης,noun,du/o,δύο,adjective,me\n,μέν,particle,ku/nas,κύων,noun,h(/misu,ἥμισυς,adjective,phgou/s,πηγός,adjective,trei=s,τρέω,verb,de\,δέ,particle,parouai/ous,,,e(/na,ἕνος,adjective,d',δέ,particle,ai)o/lon,αἰόλος,adjective,oi(/,ἕ,pronoun,r(a,ἄρα,particle,le/ontas,λέων,noun,au)tou\s,αὐτός,pronoun,au)=,e)ru/ontas,ἐρύω,verb,o(/te,ὅτε,conjunction,dra/cainto,δράσσομαι,verb,dera/wn,δειρή,noun,ei(=lkon,ἕλκω,verb,e)/ti,ἔτι,adverb,zw/ontas,ζάω,verb,e)p',ἐπί,preposition,au)li/on,αὐλέω,verb,e(pta\,ἑπτά,noun,d',δέ,particle,e)/dwke,δίδωμι,verb,qa/ssonas,θάσσων,adjective,au)ra/wn,αὔρα,noun,*kunosouri/das,κυνοσουρίς,noun,ai(/,ὅς,pronoun,r(a,ἄρα,particle,diw=cai,διώκω,verb,w)/kistai,ὠκύς,adjective,nebrou/s,νεβρός,noun,te,τε,particle,kai\,καί,conjunction,ou),οὐ,adverb,mu/onta,αὖ,interjection,μύω,verb,lagwo/n,λαγῶς,noun,kai\,καί,conjunction,koi/thn,κοίτη,noun,e)la/foio,ἔλαφος,noun,kai\,καί,conjunction,u(/strixos,ὕστριξ,noun,e)/nqa,ἔνθα,adverb,kaliai/,καλιά,noun,shmh=nai,σημαίνω,verb,kai\,καί,conjunction,zorko\s,e)p',ἐπί,preposition,i)/xnion,ἴχνιον,noun,h(gh/sasqai,ἡγέομαι,verb,,
e)/nqen,ἔνθεν,adverb,a)perxome/nh,ἀπέρχομαι,verb,meta\,μετά,preposition,kai\,καί,conjunction,ku/nes,κύων,noun,e)sseu/onto),εἰσσεύω,verb,eu(=res,εὑρίσκω,verb,e)pi\,ἐπί,preposition,promolh=is',,,o)/reos,ὄρος,adjective,tou=,ὁ,article,*parrasi/oio,Παρράσιος,proper,skairou/sas,σκαίρω,verb,e)la/fous,ἔλαφος,noun,me/ga,μέγας,adverb,ti,τις,pronoun,xre/os,χρέος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(\,ὅς,pronoun,me\n,μέν,particle,e)p',ἐπί,preposition,o)/xqhis,,,ai)e\n,ἀεί,adverb,e)boukole/onto,βουκολέω,verb,melamyh/fidos,μελαμψήφις,noun,a)nau/rou,ἄναυρος,adjective,ma/ssones,μάσσων,noun,h)\,ἠέ,conjunction,tau=roi,ταῦρος,noun,kera/wn,κέρας,noun,d',δέ,particle,a)pela/mpeto,ἀπολάμπω,verb,xruso/s,χρυσός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)capi/nhs,ἐξαπίνης,adverb,d',δέ,particle,e)/tafe/s,τέθηπα,verb,te,τε,particle,kai\,καί,conjunction,o(\n,ὅς,pronoun,poti\,πρός,preposition,qumo\n,θυμός,noun,e)/eipes,εἶπον,verb,'tou=to/,οὗτος,pronoun,ken,ἄν,particle,*)arte/midos,Ἄρτεμις,proper,prwta/grion,πρωτάγριον,noun,a)/cion,ἄξιος,adjective,ei)/h',ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/nt',πέντε,adverb,e)/san,εἰμί,verb,ai(,ὁ,article,pa=sai,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi/suras,τέσσαρες,noun,d',δέ,particle,e(/les,αἱρέω,verb,w)=ka,ὦκα,adverb,qe/ousa,θέω,verb,no/sfi,νόσφι,preposition,kunodromi/hs,κυνοδρομία,noun,i(/na,ἵνα,conjunction,toi,τοι,particle,qoo\n,θοός,adjective,a(/rma,ἅρμα,noun,fe/rwsi,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,mi/an,εἷς,adjective,*kela/dontos,Κελάδων,proper,u(pe\r,ὑπέρ,preposition,potamoi=o,ποταμός,noun,fugou=san,φεύγω,verb,*(/hrhs,Ἥρα,proper,e)nnesi/hisin,ἐνεσία,noun,a)e/qlion,ἄθλιος,adjective,*(hraklh=i,,,u(/steron,ὕστερος,adjective,o(/fra,,,ge/noito,γίγνομαι,verb,pa/gos,πάγος,adjective,*keru/neios,,,e)/dekto,δέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/artemi,Ἄρτεμις,proper,*parqeni/h,Παρθενίη,proper,*tituokto/ne,Τιτυοκτόνος,proper,xru/sea,χρύσεος,adjective,me/n,μέν,particle,toi,τοι,particle,e)/ntea,ἔντεα,noun,kai\,καί,conjunction,zw/nh,ζώνη,noun,xru/seon,χρύσεος,adjective,d',δέ,particle,e)zeu/cao,ζεύγνυμι,verb,di/fron,δίφρος,noun,e)n,ἐν,preposition,d',δέ,particle,e)ba/leu,βάλλω,verb,xru/seia,χρύσεος,adjective,qeh\,θεά,noun,kema/dessi,κεμάς,noun,xalina/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,de/,δέ,particle,se,σύ,pronoun,to\,ὁ,article,prw=ton,πρότερος,adjective,kero/eis,κερόεις,adjective,o)/xos,ὄχος,noun,h)/rcat',ἄρχω,verb,a)ei/rein,ἀείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ai(/mwi,,,e)pi\,ἐπί,preposition,*qrh/iki,Θρᾷξ,proper,to/qen,τόθεν,adverb,bore/ao,,,kata=ic,,,e)/rxetai,ἔρχομαι,verb,a)xlai/noisi,ἄχλαινος,adjective,dusae/a,δυσαής,adjective,krumo\n,κρυμός,noun,a)/gousa,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,d',δέ,particle,e)/tames,τέμνω,verb,peu/khn,πεύκη,noun,a)po\,ἀπό,preposition,de\,δέ,particle,flogo\s,φλόξ,noun,h(/yao,ἅπτω,verb,poi/hs,πόα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*musw=i,Μυσός,proper,e)n,ἐν,preposition,*ou)lu/mpwi,Ὄλυμπος,proper,fa/eos,φάος,adjective,d',δέ,particle,e)ne/hkas,ἐνίημι,verb,a)utmh/n,ἀυτμή,noun,a)sbe/stou,ἄσβεστος,adjective,to/,ὁ,article,r(a,ἄρα,particle,patro\s,πατήρ,noun,a)posta/zousi,ἀποστάζω,verb,keraunoi/,κεραυνός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
possa/ki,,,d',δέ,particle,a)rgure/oio,ἀργύρεος,adjective,qeh\,θεά,noun,peirh/sao,πειράω,verb,to/cou,τόξον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,e)pi\,ἐπί,preposition,ptele/hn,πτελέα,noun,to\,ὁ,article,de\,δέ,particle,deu/teron,δεύτερος,adjective,h(=kas,ἵημι,verb,e)pi\,ἐπί,preposition,dru=n,δρῦς,noun,to\,ὁ,article,tri/ton,τρίτος,adjective,au)=t',αὖτε,adverb,e)pi\,ἐπί,preposition,qh=ra,θήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,te/traton,τέταρτος,adjective,ou)ke/t',οὐκέτι,adverb,e)pi\,ἐπί,preposition,dru=n,δρῦς,noun,a)lla/,ἀλλά,adverb,min,μιν,pronoun,ei)s,εἰς,preposition,a)di/kwn,ἄδικος,adjective,e)/bales,βάλλω,verb,po/lin,πόλις,adjective,oi(/,ἕ,pronoun,te,τε,particle,peri\,περί,preposition,sfe/as,σφεῖς,pronoun,oi(/,ἕ,pronoun,te,τε,particle,peri\,περί,preposition,cei/nous,ξένος,noun,a)lith/mona,polla\,πολύς,adjective,te/leskon,τελέω,verb,sxe/tlioi,σχέτλιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλιτήμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,tu/nh,σύ,pronoun,xaleph\n,χαλεπός,adjective,e)mma/ceai,ἐμμάσσομαι,verb,o)rgh/n,ὀργή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kth/nea/,κτῆνος,noun,fin,,,loimo\s,λοιμός,noun,katabo/sketai,καταβόσκω,verb,e)/rga,ἔργον,noun,de\,δέ,particle,pa/xnh,πάχνη,noun,kei/rontai,κείρω,verb,de\,δέ,particle,ge/rontes,γέρων,noun,e)f',ἐπί,preposition,ui(a/sin,υἱός,noun,ai(,ὁ,article,de\,δέ,particle,gunai=kes,γυνή,noun,h)\,ἠέ,conjunction,blhtai\,βλητός,adjective,qnh/iskousi,,,lexwi/des,,,h)e\,fugou=sai,φεύγω,verb,ti/ktousin,τίκτω,verb,tw=n,ὁ,article,ou)de\n,οὐδείς,pronoun,e)pi\,ἐπί,preposition,sfuro\n,σφυρόν,noun,o)rqo\n,ὀρθός,adjective,a)ne/sth,ἀνίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,de/,δέ,particle,ken,ἄν,particle,eu)meidh/s,εὐμειδής,adjective,te,τε,particle,kai\,καί,conjunction,i(/laos,ἵλαος,adjective,au)ga/sshai,αὐγάζω,verb,kei/nois,ἐκεῖνος,pronoun,eu)=,εὖ,adverb,me\n,μέν,particle,a)/roura,ἄρουρα,adjective,fe/rei,φέρω,verb,sta/xun,στάχυς,adjective,eu)=,εὖ,adverb,de\,δέ,particle,gene/qlh,γενέθλη,noun,tetrapo/dwn,τετράπους,noun,eu)=,εὖ,adverb,d',o)/lbos,ὄλβος,noun,a)e/cetai,ἀέξω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,e)pi\,ἐπί,preposition,sh=ma,σῆμα,adjective,e)/rxontai,ἔρχομαι,verb,plh\n,πλήν,preposition,eu)=te,εὖτε,conjunction,poluxro/nio/n,πολυχρόνιος,adjective,ti,τις,pronoun,fe/rwsin,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
