word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS
h)=san,εἰμί,verb,de\,δέ,particle,kai\,καί,conjunction,nhsiw=tai,νησιώτης,noun,a)/ndres,ἀνήρ,noun,ou)k,οὐ,adverb,o)li/goi,ὀλίγος,adjective,e)n,ἐν,preposition,th=|,ὁ,article,stratih=|,στρατία,noun,oi(=si,ὅς,pronoun,tau=ta,e)/mele,kai\,καί,conjunction,*)/iwnes,kai\,καί,conjunction,*(ellhspo/ntioi,Ἑλλησποντιακός,adjective,,,,οὗτος,pronoun,μέλω,verb,Ἴων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trih/rarxoi,τριήραρχος,noun,de\,δέ,particle,au)toi=sin,αὐτός,pronoun,e)pesta/qhsan,ἐφίστημι,verb,e)k,ἐκ,preposition,*makedo/nwn,Μακεδών,proper,me\n,μέν,particle,*(hfaisti/wn,Ἡφαίστια,proper,te,τε,particle,o(,ὁ,article,*)amu/ntoros,Ἀμύντωρ,proper,kai\,*leo/nnatos,o(,ὁ,article,*)ante/ou,kai\,καί,conjunction,*lusi/maxos,Λυσίμαχος,proper,o(,ὁ,article,καί,conjunction,Λεόννατος,proper,ἀντθίημι,verb,*)agaqokle/os,,,kai\,καί,conjunction,*)asklhpio/dwros,Ἀσκληπιόδωρος,proper,o(,ὁ,article,*tima/ndrou,Τίμανδρος,proper,kai\,καί,conjunction,*)/arxwn,Ἄρχων,proper,o(,ὁ,article,*kleini/ew,,,kai\,καί,conjunction,*dhmo/nikos,,,o(,ὁ,article,*)aqhnai/ou,Ἀθήναιον,proper,kai\,καί,conjunction,*)arxi/hs,Ἀρχίης,proper,o(,ὁ,article,*)anacido/tew,,,kai\,καί,conjunction,*)ofe/las,,,o(,ὁ,article,*seilhnou=,Σειληνός,proper,kai\,καί,conjunction,*tima/nqhs,Τιμάνθης,proper,o(,ὁ,article,*pantia/dew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,me\n,μέν,particle,*pellai=oi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,*)amfipo/lios,,,h)=gon,ἄγω,verb,oi(/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ne/arxos,Νέαρχος,proper,o(,ὁ,article,*)androti/mou,,,o(\s,ὅς,pronoun,ta\,ὁ,article,a)mfi\,ἀμφί,preposition,tw=|,ὁ,article,paraplo/w|,,,a)ne/graye,ἀναγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*laome/dwn,Λαομέδων,proper,o(,ὁ,article,*lari/xou,Λάριχος,proper,kai\,καί,conjunction,*)androsqe/nhs,Ἀνδρόσθενης,proper,o(,ὁ,article,*kallistra/tou,Καλλίστρατος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,th=s,ὁ,article,*)oresti/dos,Ὀρεστίς,proper,*kra/tero/s,,,te,τε,particle,o(,ὁ,article,*)aleca/ndrou,Ἀλέξανδρος,proper,kai\,καί,conjunction,*perdi/kkas,Περδίκκης,proper,o(,ὁ,article,*)oro/ntew,,,,,,,,,,,,,,,Ὀρόντης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)eordai=oi,,,de\,δέ,particle,*ptolemai=o/s,Πτολεμαῖος,proper,te,τε,particle,o(,ὁ,article,*la/gou,Λάγος,proper,kai\,καί,conjunction,*)aristo/noos,Ἀριστόνοος,proper,o(,ὁ,article,*pisai/ou,Πισαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,*pu/dnhs,Πύδνα,proper,de\,δέ,particle,*mh/trwn,μήτρων,noun,te,τε,particle,o(,ὁ,article,*)epixa/rmou,Ἐπίχαρμος,proper,kai\,καί,conjunction,*nikarxi/dhs,,,o(,ὁ,article,*si/mou,Σῖμος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,*)/attalo/s,Ἄτταλος,proper,te,τε,particle,o(,ὁ,article,*)androme/neos,Ἀνδρομένης,proper,*tumfai=os,,,kai\,καί,conjunction,*peuke/stas,Πευκέστης,proper,o(,ὁ,article,*)aleca/ndrou,Ἀλέξανδρος,proper,*miezeu/s,kai\,*pei/qwn,Πείθων,proper,o(,*krateu/a,Κρατεύας,proper,*)alkomeneu/s,,,kai\,καί,conjunction,,,καί,conjunction,ὁ,article,*leo/nnatos,Λεόννατος,proper,o(,ὁ,article,*)antipa/trou,Ἀντίπατρος,proper,*ai)gai=os,Αἰγαῖος,proper,kai\,καί,conjunction,*pa/ntauxos,Πάνταυχος,proper,o(,ὁ,article,*nikola/ou,Νικόλαος,proper,*)alwri/ths,,,kai\,καί,conjunction,*mulle/as,,,o(,ὁ,article,*zwi/+lou,Ζώϊλος,proper,*beroiai=os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,me\n,μέν,particle,oi(,ὁ,article,su/mpantes,σύμπας,adjective,*makedo/nes,Μακεδών,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ellh/nwn,Ἕλλην,proper,de\,δέ,particle,*mh/dios,Μήδιος,proper,me\n,μέν,particle,o(,ὁ,article,*)ocuqe/midos,Ὀξύθεμις,proper,*larisai=os,Λαρισαῖος,proper,*eu)me/nhs,Εὐμενέω,verb,de\,δέ,particle,o(,ὁ,article,*(ierwnu/mou,Ἱερώνυμος,proper,e)k,*kardi/hs,*krito/boulos,Κριτόβουλος,proper,de\,d,,,*pla/twnos,Πλάτων,proper,*kw=|os,Κῷος,proper,ἐκ,preposition,Καρδίη,proper,δέ,particle,kai\,καί,conjunction,*qo/as,Θόας,proper,o(,ὁ,article,*mhnodw/rou,Μηνόδωρος,proper,kai\,καί,conjunction,*mai/andros,Μαίανδρος,proper,o(,ὁ,article,*mandroge/neos,,,*ma/gnhtes,Μάγνης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/andrwn,Ἄνδρος,proper,de\,δέ,particle,o(,ὁ,article,*kabh/lew,,,*th/ios,Τήιος,proper,*kupri/wn,Κύπρια,proper,de\,δέ,particle,*nikokle/hs,Νικοκλέης,proper,o(,ὁ,article,*pasikra/teos,,,*so/lios,,,kai\,*niqa/fwn,o(,ὁ,article,*pnutago/rew,*salami/nios,Σαλαμίνιος,proper,,,,,,,καί,conjunction,,,Πνυταγόρας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,de\,δέ,particle,dh\,δή,particle,kai\,καί,conjunction,*pe/rshs,Πέρσευς,proper,au)tw=|,αὐτός,pronoun,trih/rarxos,τριήραρχος,noun,*bagw/as,Βαγώας,proper,o(,ὁ,article,*farnou/xew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,de\,δέ,particle,au)tou=,αὐτός,pronoun,*)aleca/ndrou,Ἀλέξανδρος,proper,neo\s,ναῦς,noun,kubernh/ths,κυβερνήτης,noun,h)=n,εἰμί,verb,*)onhsi/kritos,Ὀνησίκριτος,proper,*)astupalaieu/s,,,grammateu\s,γραμματεύς,noun,de\,δέ,particle,tou=,sto/lou,panto\s,πᾶς,adjective,*eu)ago/ras,o(,ὁ,article,*eu)kle/wnos,,,*kori/nqios,Κορίνθιος,proper,ὁ,article,στόλος,noun,Εὐαγόρη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nau/arxos,ναύαρχος,noun,de\,δέ,particle,au)toi=sin,αὐτός,pronoun,e)pesta/qh,ἐφίστημι,verb,*ne/arxos,Νέαρχος,proper,o(,ὁ,article,*)androti/mou,,,to\,ὁ,article,ge/nos,γένος,noun,me\n,μέν,particle,*krh\s,Κρής,proper,o(,*ne/arxos,w)/|kee,ὀίζω,verb,de\,e)n,ἐν,preposition,*)amfipo/li,,,th=|,ὁ,article,ὁ,article,Νέαρχος,proper,δέ,particle,e)pi\,ἐπί,preposition,*strumo/ni,Στρυμών,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,tau=ta,οὗτος,pronoun,e)keko/smhto,κοσμέω,verb,*)aleca/ndrw|,Ἀλέξανδρος,proper,e)/que,θύω,verb,toi=si,ὁ,article,qeoi=sin,θεός,noun,o(/soi,ὅσος,adjective,ge,γε,particle,pa/trioi,πάτριος,adjective,h)\,manteutoi\,au)tw=|,αὐτός,pronoun,kai\,*poseidw=ni,Ποσειδῶν,proper,kai\,καί,conjunction,*)amfitri/th|,Ἀμφιτρίτη,proper,ἠέ,conjunction,μαντευτός,adjective,καί,conjunction,kai\,καί,conjunction,*nhrhi/si,Νηρηίς,proper,kai\,καί,conjunction,au)tw=|,αὐτός,pronoun,tw=|,ὁ,article,*)wkeanw=|,Ὠκεανός,proper,kai\,καί,conjunction,tw=|,ὁ,article,*(uda/sph|,Ὑδάσπης,proper,potamw=|,ποταμός,noun,a)p',ἀπό,preposition,o(/tou,ὅστις,pronoun,w(rma=to,ὁρμάω,verb,kai\,καί,conjunction,tw=|,ὁ,article,*)akesi/nh|,Ἀκεσίνης,proper,e)s,εἰς,preposition,o(/ntina,ὅστις,pronoun,e)kdidoi=,ἐκδίδωμι,verb,*(uda/sphs,Ὑδάσπης,proper,kai\,καί,conjunction,tw=|,ὁ,article,*)indw=|,Ἰνδός,proper,e)s,εἰς,preposition,o(/ntina,ὅστις,pronoun,a)/mfw,ἄμφω,noun,e)kdidou=sin,ἐκδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gw=ne/s,ἀγών,noun,te,τε,particle,au)tw=|,αὐτός,pronoun,mousikoi/,μουσικός,adjective,te,τε,particle,kai\,καί,conjunction,gumnikoi\,γυμνικός,adjective,e)poieu=nto,ποιέω,verb,kai\,καί,conjunction,i(erh/i+a,ἱερεῖον,noun,th=|,ὁ,article,stratih=|,pa/sh|,kata\,κατά,preposition,te/lea,e)di/doto,δίδωμι,verb,,,,,,,στρατία,noun,πᾶς,adjective,τέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,pa/nta,πᾶς,adjective,e)ch/rtuto,ἐξαρτύω,verb,au)tw=|,αὐτός,pronoun,e)s,εἰς,preposition,a)nagwgh/n,ἀναγωγή,noun,*kra/teron,,,me\n,μέν,particle,ta\,ὁ,article,e)pi\,ἐπί,preposition,qa/tera,tou=,*(uda/spew,Ὑδάσπης,proper,e)pie/nai,su\n,σύν,preposition,stratih=|,στρατία,noun,e)ke/leuse,κελεύω,verb,ἕτερος,adjective,ὁ,article,ἔπειμι,verb,pezikh=|,πεζικός,adjective,te,τε,particle,kai\,καί,conjunction,i(ppikh=|,ἱππικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,to\,ὁ,article,e)pi\,ἐπί,preposition,qa/tera,ἕτερος,adjective,de\,δέ,particle,*(hfaisti/wn,Ἡφαίστια,proper,au)tw=|,αὐτός,pronoun,proeporeu/eto,προπορεύομαι,verb,su\n,σύν,preposition,a)/llh|,ἄλλῃ,adverb,stratih=|,στρατία,noun,plei/oni,e)/ti,th=s,ὁ,article,*krate/rw|,suntetagme/nhs,συντάσσω,verb,,,,,,,πλείων,verb,ἔτι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou\s,ὁ,article,e)le/fantas,ἐλέφας,adjective,*(hfaisti/wn,Ἡφαίστια,proper,au)tw=|,αὐτός,pronoun,h)=gen,ἄγω,verb,o)/ntas,εἰμί,verb,e)s,εἰς,preposition,dihkosi/ous,διακόσιοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\s,αὐτός,pronoun,de\,δέ,particle,tou/s,ὁ,article,te,τε,particle,u(paspista\s,ὑπασπιστής,noun,kaleome/nous,καλέω,verb,a(/ma,ἅμα,adverb,oi(=,ἕ,pronoun,h)=ge,ἄγω,verb,kai\,καί,conjunction,tou\s,ὁ,article,toco/tas,pa/ntas,kai\,καί,conjunction,tw=n,i(ppe/wn,ἱππεύς,noun,tou\s,ὁ,article,e(tai/rous,ἑταῖρος,noun,τοξότης,noun,πᾶς,adjective,ὁ,article,kaleome/nous,καλέω,verb,tou\s,ὁ,article,pa/ntas,πᾶς,adjective,e)s,εἰς,preposition,o)ktakisxili/ous,ὀκτακισχίλιοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=si,τίς,pronoun,me\n,μέν,particle,dh\,δή,particle,a)mfi\,ἀμφί,preposition,*kra/teron,,,kai\,καί,conjunction,*(hfaisti/wna,Ἡφαιστίων,proper,e)te/takto,τάσσω,verb,i(/na,ἵνα,conjunction,proporeuqe/ntes,προπορεύομαι,verb,u(pome/noien,ὑπομένω,verb,to\n,sto/lon,,,,,,,,,,,,,,ὁ,article,στόλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
