word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS
*)/erws,ἔρως,noun,h)=n,εἰμί,verb,*pracite/lous,Πραξιτέλης,proper,te/xnhma,τέχνημα,noun,o(,ὁ,article,*)/erws,ἔρως,noun,au)to/s,αὐτός,pronoun,pai=s,πᾶς,adjective,a)nqhro\s,ἀνθηρός,adjective,kai\,καί,conjunction,ne/os,νέος,adjective,pte/rugas,πτέρυξ,adjective,e)/xwn,ἔχω,verb,kai\,καί,conjunction,to/ca,τόξον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xalko\s,χαλκός,noun,de\,δέ,particle,au)to\n,αὐτός,pronoun,e)tu/pou,τυπόω,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,a)\n,ἄν,particle,*)/erwta,ἔρως,noun,tupw=n,τυπάζω,verb,tu/rannon,τύραννος,noun,qeo\n,θεός,noun,kai\,καί,conjunction,me/gan,μέγας,adverb,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,e)dunasteu/eto,δυναστεύω,verb,ou),οὐ,adverb,ga\r,γάρ,particle,h)nei/xeto,ἀνέχω,verb,xalko\s,χαλκός,noun,ei)=nai,εἰμί,verb,ta\,ὁ,article,pa/nta,πᾶς,adjective,a)ll',ἀλλά,adverb,o(/sos,ὅσος,adjective,h)=n,εἰμί,verb,*)/erws,ἔρως,noun,e)gi/neto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=des,εἶδον,verb,a)\n,ἄν,particle,to\n,ὁ,article,xalko\n,χαλκός,noun,qrupto/menon,θρύπτω,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,eu)sarki/an,εὐσαρκία,noun,a)mhxa/nws,ἀμήχανος,adjective,xlidw=nta,χλιδάω,verb,kai/,καί,conjunction,w(s,ὡς,conjunction,braxe/ws,βραχύς,adjective,ei)pei=n,εἶπον,verb,ta\,ὁ,article,a)nagkai=a,ἀναγκαῖος,adjective,plhrou=n,πληρόω,verb,e(auth=|,ἑαυτοῦ,pronoun,th\n,ὁ,article,te/xnhn,τέχνη,noun,a)rkou=san,ἀρκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(gro\s,ὑγρός,adjective,me\n,μέν,particle,h)=n,εἰμί,verb,a)moirw=n,ἀμοιρέω,verb,malako/thtos,μαλακότης,noun,xalkw=|,χαλκός,noun,de\,δέ,particle,e)/xwn,ἔχω,verb,sunw|do\n,συνῳδός,adjective,th\n,ὁ,article,xro/an,χροιά,adjective,eu)anqh\s,εὐανθής,adjective,e(wra=to,ὁράω,verb,tw=n,ὁ,article,de\,δέ,particle,kinh/sews,κίνησις,adjective,e)/rgwn,ἔργον,noun,e)sterhme/nos,στερέω,verb,e(/toimos,ἑτοῖμος,adjective,h)=n,εἰμί,verb,dei=cai,δείκνυμι,verb,ki/nhsin,κίνησις,adjective,ei)s,εἰς,preposition,me\n,μέν,particle,ga\r,γάρ,particle,e(/dran,ἕδρα,noun,sta/simon,στάσιμος,adjective,i(/druto,ἱδρύω,verb,h)pa/ta,ἀπατάω,verb,de\,δέ,particle,w(s,ὡς,conjunction,kai\,καί,conjunction,th=s,ὁ,article,metew/rou,μετέωρος,adjective,kurieu/wn,κυριεύω,verb,fora=s,φορά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gaurou=to,γαυρόομαι,verb,de\,δέ,particle,ei)s,εἰς,preposition,ge/lwta,γέλως,noun,e)/mpuro/n,ἔμπυρος,adjective,ti,τις,pronoun,kai\,καί,conjunction,mei/lixon,μείλιχος,adjective,e)c,ἐκ,preposition,o)mma/twn,ὄμμα,noun,diauga/zwn,διαυγάζω,verb,kai\,καί,conjunction,h)=n,εἰμί,verb,i)dei=n,εἶδον,verb,u(pakou/onta,ὑπακούω,verb,tw=|,ὁ,article,pa/qei,πάθος,adjective,to\n,ὁ,article,xalko\n,χαλκός,noun,kai\,καί,conjunction,dexo/menon,δέχομαι,verb,eu)ko/lws,εὔκολος,adjective,th\n,ὁ,article,ge/lwtos,γέλως,noun,mi/mhsin,μίμησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/druto,ἱδρύω,verb,de\,δέ,particle,ei)s,εἰς,preposition,me\n,μέν,particle,th\n,ὁ,article,korufh\n,κορυφή,noun,to\n,ὁ,article,decio\n,δεξιός,adjective,e)pika/mptwn,ἐπικάμπτω,verb,karpo/n,καρπός,noun,th=|,ὁ,article,de\,δέ,particle,e(te/ra|,ἕτερος,adjective,metewri/zwn,μετεωρίζω,verb,to\,ὁ,article,to/con,τόξον,noun,kai\,καί,conjunction,th\n,ὁ,article,th=s,ὁ,article,ba/sews,βάσις,adjective,i)sorropi/an,ἰσορροπία,noun,e)pikli/nwn,ἐπικλίνω,verb,e)pi\,ἐπί,preposition,ta\,ὁ,article,laia/,λαιός,noun,th\n,ὁ,article,ga\r,γάρ,particle,th=s,ὁ,article,a)ristera=s,ἀριστερός,adjective,lago/nos,λαγών,noun,e)/kstasin,ἔκστασις,noun,a)ni/sth,ἀνίστημι,verb,pro\s,πρός,preposition,eu)maro/thta,εὐμαρότης,noun,tou=,ὁ,article,xalkou=,χαλκός,noun,to\,ὁ,article,stegano\n,στεγανός,adjective,e)kkla/sas,ἐκκλάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plo/kamoi,πλόκαμος,noun,de\,δέ,particle,au)tou=,αὐτός,pronoun,th\n,ὁ,article,kefalh\n,κεφαλή,noun,e)ski/azon,σκιάζω,verb,a)nqhroi\,ἀνθηρός,adjective,kai\,καί,conjunction,e)/nouloi,ἔνουλος,adjective,neoth/sion,νεοτήσιος,adjective,u(pola/mpontes,ὑπολάμπω,verb,a)/nqos,ἄνθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h)=n,εἰμί,verb,qaumasto\s,θαυμαστός,adjective,oi(=os,οἷος,adjective,o(,ὁ,article,xalko/s,χαλκός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)do/nti,εἶδον,verb,me\n,μέν,particle,ga\r,γάρ,particle,e)/reuqos,ἔρευθος,noun,a)pe/stilben,ἀποστίλβω,verb,e)c,ἐκ,preposition,a)/krwn,ἄκρον,noun,bostru/xwn,βόστρυχος,noun,ai)ro/menon,αἴρω,verb,a(yame/nw|,ἅπτω,verb,de\,δέ,particle,h(,ὁ,article,qri\c,θρίξ,noun,u(pecani/stato,ὑπεξανίσταμαι,verb,malqakizome/nh,μαλθακίζομαι,verb,pro\s,πρός,preposition,th\n,ὁ,article,ai)/sqhsin,αἴσθησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,me\n,μέν,particle,dh\,δή,particle,qeasame/nw|,θεάομαι,verb,th\n,ὁ,article,te/xnhn,τέχνη,noun,e)ph/|ei,ἔπειμι,verb,pisteu/ein,πιστεύω,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,xoro\n,χορός,noun,h)/skhse,ἀσκέω,verb,kinou/menon,κινέω,verb,*dai/dalos,Δαίδαλος,proper,kai\,καί,conjunction,xrusw=|,χρυσός,noun,parei=xen,παρέχω,verb,ai)sqh/seis,αἴσθησις,noun,o(/pou,ὅπου,adverb,kai\,καί,conjunction,*pracite/lhs,Πραξιτέλης,proper,ei)s,εἰς,preposition,th\n,ὁ,article,ei)ko/na,εἰκών,noun,tou=,ὁ,article,*)/erwtos,ἔρως,noun,e)ne/qhke,ἐντίθημι,verb,mikrou=,μικρός,adjective,kai\,καί,conjunction,noh/mata,νόημα,noun,kai\,καί,conjunction,pte/rugi,πτέρυξ,adjective,to\n,ὁ,article,a)e/ra,ἀήρ,adjective,te/mnein,τέμνω,verb,e)mhxanh/sato,μηχανάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para\,παρά,preposition,krh/nhn,κρήνη,noun,*)indo\s,Ἰνδός,proper,ei(sth/kei,ἵστημι,verb,a)na/qhma,ἀνάθημα,noun,tai=s,ὁ,article,*nu/mfais,Νύμφης,proper,i(druqei/s,ἱδρύω,verb,h)=n,εἰμί,verb,de\,δέ,particle,o(,ὁ,article,*)indo\s,Ἰνδός,proper,li/qos,λίθος,adjective,melaino/menos,μελαίνω,verb,kai\,καί,conjunction,pro\s,πρός,preposition,th\n,ὁ,article,e)k,ἐκ,preposition,fu/sews,φύσις,noun,tou=,ὁ,article,ge/nous,γένος,noun,au)tomolw=n,αὐτομολέω,verb,xro/an,χροιά,adjective,ei)=xe,ἔχω,verb,de\,δέ,particle,eu)qalh=,εὐθαλής,adjective,me\n,μέν,particle,kai\,καί,conjunction,ou)/lhn,οὖλος,adjective,th\n,ὁ,article,xai/thn,χαίτη,noun,ou)k,οὐ,adverb,a)kra/tw|,ἄκρατος,adjective,tw=|,ὁ,article,me/lani,μέλας,adjective,la/mpousan,λάμπω,verb,a)ll',ἀλλά,adverb,e)k,ἐκ,preposition,tw=n,ὁ,article,a)/krwn,ἄκρον,noun,pro\s,πρός,preposition,ko/xlou,κόχλος,noun,*turi/as,Τύριος,proper,a)/nqos,ἄνθος,adjective,e)ri/zousan,ἐρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=on,οἷος,adjective,ga\r,γάρ,particle,eu)paqou=sa,εὐπαθέω,verb,kai\,καί,conjunction,notizome/nh,νοτίζω,verb,tai=s,ὁ,article,prosoi/kois,πρόσοικος,adjective,*nu/mfais,Νύμφης,proper,h(,ὁ,article,qri\c,θρίξ,noun,e)k,ἐκ,preposition,r(izw=n,ῥίζα,adjective,a)niou=sa,ἄνειμι,verb,melante/ra,μελάντερος,adjective,pro\s,πρός,preposition,toi=s,ὁ,article,a)/krois,ἄκρον,noun,e)po/rfuren,πορφύρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)fqalmoi/,ὀφθαλμός,noun,ge,γε,particle,mh\n,μήν,particle,ou),οὐ,adverb,sunh=|don,συνᾴδω,verb,tw=|,ὁ,article,li/qw|,λίθος,adjective,kata\,κατά,preposition,ga\r,γάρ,particle,ta\s,ὁ,article,tw=n,ὁ,article,o)mma/twn,ὄμμα,noun,ko/ras,κόρη,noun,perie/qei,περιθέω,verb,leuko/ths,λευκότης,noun,kat',κατά,preposition,e)kei=no,ἐκεῖνος,pronoun,to\,ὁ,article,me/ros,μέρος,noun,th=s,ὁ,article,pe/tras,πέτρα,noun,metapiptou/shs,μεταπίπτω,verb,ei)s,εἰς,preposition,to\,ὁ,article,leuko/teron,λευκός,adjective,kaq',κατά,preposition,o(\,ὅς,pronoun,kai\,καί,conjunction,th=s,ὁ,article,tou=,ὁ,article,*)indou=,Ἰνδός,proper,fu/sews,φύσις,noun,h(,ὁ,article,xro/a,χρώς,noun,leukai/netai,λευκαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/qh,μέθη,noun,de\,δέ,particle,au)to\n,αὐτός,pronoun,e)ci/sth,ἐξίστημι,verb,kai\,καί,conjunction,to\,ὁ,article,memequsme/non,,,ou),οὐ,adverb,katemh/nuen,καταμηνύω,verb,h(,ὁ,article,tou=,ὁ,article,li/qou,λίθος,adjective,xro/a,χρώς,noun,ou),οὐ,adverb,ga\r,γάρ,particle,h)=n,εἰμί,verb,au)tw=|,αὐτός,pronoun,mhxa/nhma,μηχάνημα,noun,ta\s,ὁ,article,pareia\s,παρειά,noun,foini=cai,,,ske/pontos,σκέπω,verb,tou=,ὁ,article,me/lanos,μέλας,adjective,th\n,ὁ,article,me/qhn,μέθη,noun,e)k,ἐκ,preposition,de\,δέ,particle,tou=,ὁ,article,sxh/matos,σχῆμα,noun,kathgo/rei,κατηγορέω,verb,to\,ὁ,article,pa/qos,πάθος,adjective,para/foro/s,παράφορος,adjective,te,τε,particle,ga\r,γάρ,particle,kai\,καί,conjunction,kwma/zwn,κωμάζω,verb,ei(sth/kei,ἵστημι,verb,ou),οὐ,adverb,duna/menos,δύναμαι,verb,e)rei/dein,ἐρείδω,verb,tw\,ὁ,article,po/de,πούς,noun,a)ll',ἀλλά,adverb,u(po/tromo/s,ὑπότρομος,adjective,te,τε,particle,kai\,καί,conjunction,ei)s,εἰς,preposition,th\n,ὁ,article,i)gnu\n,ἰγνύς,noun,o)kla/zwn,ὀκλάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,li/qos,λίθος,adjective,u(po\,ὑπό,preposition,tou=,ὁ,article,pa/qous,πάθος,adjective,e)w/|kei,ἔοικα,verb,plhge/nti,πλήσσω,verb,kai\,καί,conjunction,oi(onei\,οἱονεί,conjunction,spai/rein,σπαίρω,verb,to\n,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,me/qhs,μέθη,noun,e)mfani/zwn,ἐμφανίζω,verb,seismo/n,σεισμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=xe,ἔχω,verb,de\,δέ,particle,a(bro\n,ἁβρός,adjective,ou)de\n,οὐδείς,pronoun,tou=,ὁ,article,*)indou=,Ἰνδός,proper,to\,ὁ,article,ei)/dwlon,εἴδωλον,noun,ou)d',οὐδέ,particle,ei)s,εἰς,preposition,th\n,ὁ,article,kata\,κατά,preposition,xro/an,χροιά,adjective,e)ch/skhto,ἐξασκέω,verb,xa/rin,χάρις,noun,a)ll',ἀλλά,adverb,ei)s,εἰς,preposition,mo/nhn,μόνος,adjective,tw=n,ὁ,article,melw=n,μέλη,noun,sumbolh\n,συμβολή,noun,dih/rqrwto,διαρθρόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)skeph\s,ἀσκεπής,adjective,de\,δέ,particle,h)=n,εἰμί,verb,kai\,καί,conjunction,gumno\s,γυμνός,adjective,w(s,ὡς,conjunction,a)\n,ἄν,particle,tw=n,ὁ,article,*)indikw=n,Ἰνδικός,adjective,swma/twn,σῶμα,adjective,pro\s,πρός,preposition,to\,ὁ,article,th=s,ὁ,article,a)kmh=s,ἀκμή,noun,flogw=des,φλογώδης,adjective,ei)wqo/twn,ἔθω,verb,a)pandri/zesqai,ἀπανδρίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
