word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS
ou)k,οὐ,adverb,e)/sq',ἔσθω,verb,o(/pws,ὅπως,conjunction,ou),οὐ,adverb,*xalkide/as,Χαλκιδεῖς,proper,a)fi/staton,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)polei=sqon,ἀπόλλυμι,verb,a)poqanei=sqon,ἀποθνήσκω,verb,w)=,ὦ,interjection,miarwta/tw,μιαρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,ti/,τίς,pronoun,feu/geis,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,menei=s,μένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,genna/da,γεννάδας,adjective,a)llantopw=la,ἀλλαντοπώλης,noun,mh\,μή,conjunction,prodw=|s,προδίδωμι,verb,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/ndres,ἀνήρ,noun,i(pph=s,ἱππεύς,noun,parage/nesqe,παραγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,o(,ὁ,article,kairo/s,καιρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*si/mwn,Σίμων,proper,w)=,ὦ,interjection,*panai/ti',Παναίτιος,proper,ou)k,οὐ,adverb,e)la=te,ἐλαύνω,verb,pro\s,πρός,preposition,to\,ὁ,article,decio\n,δεξιός,adjective,ke/ras,κέρας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/ndres,ἀνήρ,noun,e)ggu/s,ἐγγύς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)mu/nou,ἀμύνω,verb,ka)panastre/fou,ἐπαναστρέφω,verb,pa/lin,πάλιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,koniorto\s,κονιορτός,noun,dh=los,δῆλος,adjective,au)tw=n,αὐτός,pronoun,w(s,ὡς,conjunction,o(mou=,ὁμοῦ,adverb,proskeime/nwn,πρόσκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)mu/nou,ἀμύνω,verb,kai\,καί,conjunction,di/wke,διώκω,verb,kai\,καί,conjunction,troph\n,τροπή,noun,au)tou=,αὐτός,pronoun,poiou=,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pai=e,παίω,verb,pai=e,παίω,verb,to\n,ὁ,article,panou=rgon,πανοῦργος,adjective,kai\,καί,conjunction,taracippo/straton,ταραξιππόστρατος,adjective,kai\,καί,conjunction,telw/nhn,τελώνης,noun,kai\,καί,conjunction,fa/ragga,φάραγξ,noun,kai\,καί,conjunction,*xa/rubdin,Χάρυβδις,proper,a(rpagh=s,ἁρπαγή,noun,kai\,καί,conjunction,panou=rgon,πανοῦργος,adjective,kai\,καί,conjunction,panou=rgon,πανοῦργος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polla/kis,πολλάκις,adverb,ga\r,γάρ,particle,au)/t',αὐτός,pronoun,e)rw=,ἐράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou(=tos,οὗτος,pronoun,h)=n,εἰμί,verb,panou=rgos,πανοῦργος,adjective,polla/kis,πολλάκις,adverb,th=s,ὁ,article,h(me/ras,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,pai=e,παίω,verb,kai\,καί,conjunction,di/wke,διώκω,verb,kai\,καί,conjunction,ta/ratte,ταράσσω,verb,kai\,καί,conjunction,ku/ka,κυκάω,verb,kai\,καί,conjunction,bdelu/ttou,βδελύσσομαι,verb,kai\,καί,conjunction,ga\r,γάρ,particle,h(mei=s,ἐγώ,pronoun,ka)pikei/menos,ἐπίκειμαι,verb,bo/a,βοάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)labou=,εὐλαβέομαι,verb,de\,δέ,particle,mh\,μή,conjunction,'kfu/gh|,ἐκφεύγω,verb,se,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,oi)=de,οἶδα,verb,ta\s,ὁ,article,o(dou/s,ὁδός,adjective,a(/sper,ὅς,pronoun,*eu)kra/ths,Εὐκράτης,proper,e)/feugen,φεύγω,verb,eu)qu\,εὐθύς,adjective,tw=n,ὁ,article,kurhbi/wn,κυρήβια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ge/rontes,γέρων,noun,h(liastai/,ἡλιαστής,noun,fra/teres,φράτηρ,noun,triwbo/lou,τριώβολον,noun,ou(\s,ὅς,pronoun,e)gw\,ἐγώ,pronoun,bo/skw,βόσκω,verb,kekragw\s,κράζω,verb,kai\,καί,conjunction,di/kaia,δίκαιος,adjective,ka)/dika,ἄδικος,adjective,parabohqei=q',παραβοάω,verb,w(s,ὡς,conjunction,u(p',ὑπό,preposition,a)ndrw=n,ἀνήρ,noun,tu/ptomai,τύπτω,verb,cunwmotw=n,συνωμότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,di/kh|,δίκη,adjective,g',γε,particle,e)pei\,ἐπεί,conjunction,ta\,ὁ,article,koina\,κοινός,adjective,pri\n,πρίν,adverb,laxei=n,λαγχάνω,verb,katesqi/eis,κατεσθίω,verb,ka)posuka/zeis,ἀποσυκάζω,verb,pie/zwn,πιέζω,verb,tou\s,ὁ,article,u(peuqu/nous,ὑπεύθυνος,adjective,skopw=n,σκοπή,noun,o(/stis,ὅστις,pronoun,au)tw=n,αὐτός,pronoun,w)mo/s,ὠμός,adjective,e)stin,εἰμί,verb,h)\,ἠέ,conjunction,pe/pwn,πέπων,verb,h)\,ἠέ,conjunction,mh\,μή,conjunction,pe/pwn,πέπων,verb,ka)/n,κἀν,conjunction,tin',τις,pronoun,au)tw=n,αὐτός,pronoun,gnw=|s,γιγνώσκω,verb,a)pra/gmon',ἀπράγμων,adjective,o)/nta,εἰμί,verb,kai\,καί,conjunction,kexhno/ta,χάσκω,verb,katagagw\n,κατάγω,verb,e)k,ἐκ,preposition,*xerronh/sou,Χερρόνησος,proper,diabalw\n,διαβάλλω,verb,a)gkuri/sas,ἀγκυρίζω,verb,ei)=t',εἶτα,adverb,a)postre/yas,ἀποστρέφω,verb,to\n,ὁ,article,w)=mon,ὦμος,noun,au)to\n,αὐτός,pronoun,e)nekolh/basas,ἐγκοληβάζω,verb,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,skopei=s,σκοπάω,verb,ge,γε,particle,tw=n,ὁ,article,politw=n,πολίτης,noun,o(/stis,ὅστις,pronoun,e)sti\n,εἰμί,verb,a)mnokw=n,ἀμνοκῶν,noun,plou/sios,πλούσιος,adjective,kai\,καί,conjunction,mh\,μή,conjunction,ponhro\s,πονηρός,adjective,kai\,καί,conjunction,tre/mwn,τρέμω,verb,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cunepi/keisq',συνεπίκειμαι,verb,u(mei=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,a)/ndres,ἀνήρ,noun,di',διά,preposition,u(ma=s,σύ,pronoun,tu/ptomai,τύπτω,verb,o(/ti,ὅστις,pronoun,le/gein,λέγω,verb,gnw/mhn,γνώμη,noun,e)/mellon,μέλλω,verb,w(s,ὡς,conjunction,di/kaion,δίκαιος,adjective,e)n,ἐν,preposition,po/lei,πόλις,adjective,e(sta/nai,ἵστημι,verb,mnhmei=on,μνημεῖον,noun,u(mw=n,σύ,pronoun,e)stin,εἰμί,verb,a)ndrei/as,ἀνδρεία,noun,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,a)lazw/n,ἀλαζών,noun,w(s,ὡς,conjunction,de\,δέ,particle,ma/sqlhs,μάσθλης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=des,εἶδον,verb,oi(=',οἷος,adjective,u(pe/rxetai,ὑπέρχομαι,verb,w(sperei\,ὥσπερ,adverb,ge/rontas,γέρων,noun,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,kobalikeu/etai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)a\n,ἐάν,conjunction,tau/th|,ταύτῃ,adverb,ge,γε,particle,nika=|,νικάω,verb,tauth|i\,οὗτος,pronoun,peplh/cetai,πλήσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,d',δέ,particle,u(pekkli/nh|,ὑπεκκλίνω,verb,ge,γε,particle,deuri/,δεῦρο,adverb,to\,ὁ,article,ske/los,σκέλος,noun,kurhba/sei,κυρηβάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,po/lis,πόλις,adjective,kai\,καί,conjunction,dh=m',δῆμα,noun,u(f',ὑπό,preposition,oi(/wn,οἷος,adjective,qhri/wn,θηρίον,noun,gastri/zomai,γαστρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ke/kragas,κράζω,verb,w(/sper,ὥσπερ,adverb,a)ei\,ἀεί,adverb,th\n,ὁ,article,po/lin,πόλις,adjective,katastre/fei,καταστρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)gw/,ἐγώ,pronoun,se,σύ,pronoun,th=|,ὁ,article,boh=|,βοείη,noun,tau/th|,οὗτος,pronoun,ge,γε,particle,prw=ta,πρότερος,adjective,tre/yomai,τρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)a\n,ἐάν,conjunction,me/ntoi,μέντοι,particle,ge,γε,particle,nika=|s,νικάω,verb,th=|,ὁ,article,boh=|,βοείη,noun,th/nellos,τήνελλα,adjective,ei)=,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,d',δέ,particle,a)naidei/a|,ἀναίδεια,adjective,pare/lqh|,παρέρχομαι,verb,s',σύ,pronoun,h(me/teros,ἡμέτερος,adjective,o(,ὁ,article,puramou=s,πυραμοῦς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toutoni\,οὗτος,pronoun,to\n,ὁ,article,a)/ndr',ἀνήρ,noun,e)gw\,ἐγώ,pronoun,'ndei/knumi,ἀναδείκνυμι,verb,kai\,καί,conjunction,fh/m',φημί,verb,e)ca/gein,ἐξάγω,verb,tai=si,ὁ,article,*peloponnhsi/wn,Πελοποννήσιοι,proper,trih/resi,τριήρης,noun,zwmeu/mata,ζώμευμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nai\,ναί,adverb,ma\,μά,particle,*di/a,Δίη,proper,ka)/gwge,ἐγώ,pronoun,tou=ton,οὗτος,pronoun,o(/ti,ὅστις,pronoun,kenh=|,κενός,adjective,th=|,ὁ,article,koili/a|,κοιλία,noun,e)sdramw\n,εἰστρέχω,verb,e)s,εἰς,preposition,to\,ὁ,article,prutanei=on,πρυτανεῖον,adjective,ei)=ta,εἶτα,adverb,pa/lin,πάλιν,adverb,e)kqei=,ἐκθύω,verb,ple/a|,πλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh\,νή,preposition,*di/',Δίη,proper,e)ca/gwn,ἐξάγω,verb,ge,γε,particle,ta)po/rrhq',ἀπόρρητος,adjective,a(/m',ἅμα,adverb,a)/rton,ἄρτος,noun,kai\,καί,conjunction,kre/as,κρέας,noun,kai\,καί,conjunction,te/maxos,τέμαχος,noun,ou(=,ἕ,pronoun,*perikle/hs,Περικλέης,proper,ou)k,οὐ,adverb,h)ciw/qh,ἀξιόω,verb,pw/pote,πώποτε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)poqanei=sqon,ἀποθνήσκω,verb,au)ti/ka,αὐτίκα,adverb,ma/la,μάλα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripla/sion,τριπλάσιος,adjective,kekra/comai/,κράζω,verb,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kataboh/somai,καταβοάω,verb,bow=n,βόα,noun,se,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katakekra/comai/,κατακράζω,verb,se,σύ,pronoun,kra/zwn,κράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diabalw=,διαβάλλω,verb,s',σύ,pronoun,e)a\n,ἐάν,conjunction,strathgh=|s,στρατηγέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kunokoph/sw,κυνοκοπέω,verb,sou,σύ,pronoun,to\,ὁ,article,nw=ton,νῶτον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perielw=,περιαιρέω,verb,s',σύ,pronoun,a)lazonei/ais,ἀλαζονεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(potemou=mai,ὑποτέμνω,verb,ta\s,ὁ,article,o(dou/s,ὁδός,adjective,sou,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ble/yon,βλέπω,verb,e)/s,εἰς,preposition,m',ἐγώ,pronoun,a)skarda/muktos,ἀσκαρδάμυκτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,a)gora=|,ἀγορά,noun,ka)gw\,ἐγώ,pronoun,te/qrammai,τρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaforh/sw,διαφορέω,verb,s',σύ,pronoun,ei)/,εἰ,conjunction,ti,τις,pronoun,gru/cei,γρύζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koproforh/sw,κοπροφορέω,verb,s',σύ,pronoun,ei),εἰ,conjunction,lalh/seis,λαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(mologw=,ὁμολογέω,verb,kle/ptein,κλέπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,ou)xi/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh\,νή,preposition,to\n,ὁ,article,*(ermh=n,Ἑρμῆς,proper,to\n,ὁ,article,a)gorai=on,ἀγοραῖος,adjective,ka)piorkw=,ἐπιορκέω,verb,ge,γε,particle,blepo/ntwn,βλέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
