word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
tou/tois,οὗτος,pronoun,ou)si/an,οὐσία,adjective,o(,ὁ,article,path\r,πατήρ,noun,kate/lipe,καταλιμπάνω,verb,pollh/n,πολύς,adjective,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,lh|tourgei=n,λειτουργέω,verb,e(/kaston,ἕκαστος,adjective,a)ciou=sqai,ἀξιόω,verb,par',παρά,preposition,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/thn,οὗτος,pronoun,e)kei=noi,ἐκεῖνος,pronoun,trei=s,τρέω,verb,o)/ntes,εἰμί,verb,e)nei/manto,νέμω,verb,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,tw\,ὁ,article,du/o,δύο,adjective,e)teleuthsa/thn,τελευτάω,verb,peri\,περί,preposition,to\n,ὁ,article,au)to\n,αὐτός,pronoun,xro/non,χρόνος,noun,o(,ὁ,article,me\n,μέν,particle,*mnh/swn,Μνῆσος,proper,e)nqa/de,ἐνθάδε,adverb,a)/gamos,ἄγαμος,adjective,kai\,καί,conjunction,a)/pais,ἄπαις,noun,o(,ὁ,article,de\,δέ,particle,*qra/sullos,Θράσυλλος,proper,tw=n,ὁ,article,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,katalegei\s,καταλέγω,verb,trihra/rxwn,τριήραρχος,noun,katalipw\n,καταλιμπάνω,verb,u(o\n,υἱός,noun,*)apollo/dwron,Ἀπολλόδωρος,proper,to\n,ὁ,article,e)me\,ἐγώ,pronoun,nu=n,νῦν,adverb,poihsa/menon,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)/polis,Εὔπολις,proper,ou)=n,οὖν,particle,mo/nos,μόνος,adjective,au)tw=n,αὐτός,pronoun,leifqei\s,λείπω,verb,ou),οὐ,adverb,mikra\,μικρός,adjective,a)polau=sai,ἀπολαύω,verb,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,h)ci/wsen,ἀξιόω,verb,a)lla\,ἀλλά,adverb,to\n,ὁ,article,me\n,μέν,particle,*mnh/sonos,,,klh=ron,κλῆρος,adjective,ou(=,ἕ,pronoun,kai\,καί,conjunction,*)apollodw/rw|,Ἀπολλόδωρος,proper,prosh=ke,προσήκω,verb,to\,ὁ,article,h(miklh/rion,ἡμικλήριον,noun,pa/nta,πᾶς,adjective,ei)s,εἰς,preposition,au(to\n,ἑαυτοῦ,pronoun,periepoi/hse,περιποιέω,verb,fa/skwn,φάσκω,verb,au(tw=|,ἑαυτοῦ,pronoun,dou=nai,δίδωμι,verb,to\n,ὁ,article,a)delfo/n,ἀδελφός,adjective,au)to\n,αὐτός,pronoun,d',δέ,particle,e)kei=non,ἐκεῖνος,pronoun,ou(/tw,οὕτως,adverb,diw/|khsen,διοικέω,verb,e)pitropeu/wn,ἐπιτροπεύω,verb,w(/ste,ὥστε,conjunction,triw=n,au)tw=|,αὐτός,pronoun,tala/ntwn,τάλαντον,noun,di/khn,δίκη,adjective,o)flei=n,ὀφλέω,verb,,,,τρεῖς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)arxe/damos,Ἀρχέδαμος,proper,ga\r,γάρ,particle,o(,ὁ,article,pa/ppos,πάππος,noun,ou(mo/s,ἐμός,adjective,e)c,ἐκ,preposition,ou(=,ἕ,pronoun,th\n,ὁ,article,mhte/ra,μήτηρ,noun,e)/sxe,ἔχω,verb,th\n,ὁ,article,*)apollodw/rou,Ἀπολλόδωρος,proper,th/qhn,τήθη,noun,de\,δέ,particle,e)mh/n,ἐμός,adjective,o(rw=n,ὁράω,verb,au)to\n,αὐτός,pronoun,pa/ntwn,πᾶς,adjective,a)posterou/menon,ἀποστερέω,verb,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,e)/trefe/,τρέφω,verb,te,τε,particle,au)to\n,αὐτός,pronoun,pai=da,παῖς,adjective,o)/nq',εἰμί,verb,w(s,ὡς,conjunction,e(auto\n,ἑαυτοῦ,pronoun,kai\,καί,conjunction,th\n,ὁ,article,mhte/ra,μήτηρ,noun,komisa/menos,κομίζω,verb,a)ndri/,ἀνδρίς,noun,te,τε,particle,genome/nw|,γίγνομαι,verb,sunhgwni/sato,συναγωνίζομαι,verb,kai\,καί,conjunction,ei)se/prace,εἰσπράσσω,verb,to\,h(miklh/rion,ἡμικλήριον,noun,w(=n,ὅς,pronoun,*mnh/swn,Μνῆσος,proper,kate/lipen,καταλιμπάνω,verb,o(/sa,ὅσος,adjective,ὁ,article,te,τε,particle,e)k,ἐκ,preposition,th=s,ὁ,article,e)pitroph=s,ἐπιτροπή,noun,a)peste/rhse,ἀποστερέω,verb,di/kas,δίκη,adjective,du/o,δύο,adjective,e(lw/n,αἱρέω,verb,kai\,καί,conjunction,th\n,ὁ,article,ou)si/an,οὐσία,adjective,e)poi/hse,ποιέω,verb,komi/sasqai,κομίζω,verb,th\n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,pa=san,πᾶς,adjective
kai\,καί,conjunction,dia\,διά,preposition,tau=ta,οὗτος,pronoun,*eu)/polis,Εὔπολις,proper,me\n,μέν,particle,kai\,καί,conjunction,*)apollo/dwros,Ἀπολλόδωρος,proper,e)xqrw=s,ἐχθρός,adjective,e)/xontes,ἔχω,verb,to\n,ὁ,article,pa/nta,πᾶς,adjective,xro/non,χρόνος,noun,diete/lesan,διατελέω,verb,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,o(,ὁ,article,de\,δέ,particle,pa/ppos,πάππος,noun,ou(mo\s,ἐμός,adjective,kai\,καί,conjunction,*)apollo/dwros,Ἀπολλόδωρος,proper,filikw=s,φιλικός,adjective,w(/sper,ὥσπερ,adverb,prosh=ke,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=s,ὁ,article,d',δέ,particle,e)/rgois,ἔργον,noun,a)/n,ἄν,particle,tis,τις,pronoun,tekmh/raito,τεκμαίρομαι,verb,ma/lista,μάλιστα,adverb,o(/ti,ὅστις,pronoun,*)apollo/dwros,Ἀπολλόδωρος,proper,pe/ponqen,πάσχω,verb,o(\,ὅς,pronoun,a)nteupoiei=n,ἀντευποιέω,verb,h)ci/ou,ἀξιόω,verb,tou\s,ὁ,article,e(auto\n,ἑαυτοῦ,pronoun,eu)ergeth/santas,εὐεργετέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumfora=|,συμφορά,noun,ga\r,γάρ,particle,tou=,ὁ,article,pa/ppou,πάππας,noun,xrhsame/nou,χράω,verb,kai\,καί,conjunction,lhfqe/ntos,λαμβάνω,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,kai\,καί,conjunction,xrh/mata,χρῆμα,adjective,ei)senegkei=n,εἰσφέρω,verb,ei)s,εἰς,preposition,lu/tra,λύτρον,noun,kai\,καί,conjunction,o(mhreu=sai,ὁμηρέω,verb,u(pe\r,ὑπέρ,preposition,au)tou=,αὐτός,pronoun,h)qe/lhsen,ἐθέλω,verb,e(/ws,ἕως,conjunction,ou(=,ἕ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)porh/seien,εὐπορέω,verb,e)kei=nos,ἐκεῖνος,pronoun,ta)rgu/rion,ἀργύριον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,eu)po/rou,εὔπορος,adjective,te,τε,particle,a)porwte/rw|,ἄπορος,adjective,gegenhme/nw|,γίγνομαι,verb,sundiw/|kei,συνδιοικέω,verb,ta\,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,metadidou\s,μεταδίδωμι,verb,w(=n,ὅς,pronoun,ei)=xen,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)s,εἰς,preposition,*ko/rinqo/n,Κόρινθος,adverb,te,τε,particle,strateu/esqai,στρατεύω,verb,me/llwn,μέλλω,verb,ei)/,εἰ,conjunction,ti,τις,pronoun,pa/qoi,πάσχω,verb,die/qeto,διατίθημι,verb,th\n,ὁ,article,ou)si/an,οὐσία,adjective,kai\,καί,conjunction,e)/dwke,δίδωμι,verb,th=|,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,me\n,μέν,particle,qugatri/,θυγάτηρ,adjective,e)mh=|,ἐμός,adjective,de\,δέ,particle,mhtri/,μήτηρ,noun,au(tou=,ἑαυτοῦ,pronoun,de\,δέ,particle,a)delfh=|,ἀδελφή,noun,didou\s,δίδωμι,verb,au)th\n,αὐτός,pronoun,*lakrati/dh|,,,tw=|,ὁ,article,nu=n,νῦν,adverb,i(erofa/nth|,ἱεροφάντης,noun,gegenhme/nw|,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiou=tos,τοιοῦτος,adjective,h)=n,εἰμί,verb,e)kei=nos,ἐκεῖνος,pronoun,peri\,περί,preposition,h(ma=s,ἐγώ,pronoun,tou\s,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,au)to\n,αὐτός,pronoun,sw/santas,σώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,a)lhqh=,ἀληθής,adjective,le/gw,λέγω,verb,kai\,καί,conjunction,di/kas,δίκη,adjective,ei(=len,αἱρέω,verb,*eu)/polin,Εὔπολις,proper,du/o,δύο,adjective,th\n,ὁ,article,me\n,μέν,particle,e)pitroph=s,ἐπιτροπή,noun,th\n,ὁ,article,de\,δέ,particle,h(miklhri/ou,ἡμικλήριον,noun,tou=,ὁ,article,pa/ppou,πάππας,noun,sunhgwnisme/nou,συναγωνίζομαι,verb,kai\,καί,conjunction,le/gontos,λέγω,verb,ta/,τίς,pronoun,te,τε,particle,xrh/mata,χρῆμα,adjective,e)komi/sato,κομίζω,verb,di',διά,preposition,h(ma=s,ἐγώ,pronoun,kai\,καί,conjunction,tau/tas,οὗτος,pronoun,ta\s,ὁ,article,xa/ritas,χάρις,noun,h(mi=n,ἐγώ,pronoun,a)ntape/dwke,ἀνταποδίδωμι,verb,tou/twn,οὗτος,pronoun,prw=ton,πρότερος,adjective,bou/lomai,βούλομαι,verb,parasxe/sqai,παρέχω,verb,tou\s,ὁ,article,ma/rturas,μάρτυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,ka/lei,καλέω,verb,deu=ro,δεῦρο,adverb,au)tou/s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,eu)ergesi/ai,εὐεργεσία,noun,toiau=tai,τοιοῦτος,adjective,kai\,καί,conjunction,thlikau=tai,τηλικοῦτος,adjective,to\,ὁ,article,me/geqo/s,μέγεθος,adjective,ei)sin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,pro\s,πρός,preposition,e)kei=non,ἐκεῖνος,pronoun,e)/xqrai,ἔχθρα,noun,peri\,περί,preposition,tosou/twn,τοσοῦτος,adjective,xrhma/twn,χρῆμα,adjective,h)=san,εἰμί,verb,a(\s,ὅς,pronoun,ou)x,οὐ,adverb,oi(=o/n,οἷος,adjective,t',τε,particle,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,dielu/santo,διαλύω,verb,kai\,καί,conjunction,fi/loi,φίλος,adjective,e)ge/nonto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mega/la,μέγας,adverb,ga\r,γάρ,particle,tekmh/ria,τεκμήριον,noun,au)tw=n,αὐτός,pronoun,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)/polis,Εὔπολις,proper,ga\r,γάρ,particle,au)tw=|,αὐτός,pronoun,duoi=n,δύο,adjective,qugate/rwn,θυγάτηρ,adjective,ou)sw=n,εἰμί,verb,kai\,καί,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,au)tw=|,αὐτός,pronoun,gegonw\s,γίγνομαι,verb,kai\,καί,conjunction,xrh/maq',χρῆμα,adjective,o(rw=n,ὁράω,verb,kekthme/non,κτάομαι,verb,ou)dete/ran,οὐδέτερος,adjective,au)tw=|,αὐτός,pronoun,tou/twn,οὗτος,pronoun,e)/dwke,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,dokou=sin,δοκέω,verb,e)pigami/ai,ἐπιγαμία,noun,kai\,καί,conjunction,mh\,μή,conjunction,suggenei=s,συγγενεύς,noun,a)/ndras,ἀνήρ,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,tou\s,ὁ,article,tuxo/ntas,τυγχάνω,verb,a)palla/ttein,ἀπαλλάσσω,verb,mega/lhs,μέγας,adverb,diafora=s,διαφορά,noun,o(/tan,ὅταν,conjunction,a(\,ὅς,pronoun,peri\,περί,preposition,plei/stou,πλεῖστος,adjective,poiou=ntai,ποιέω,verb,tau=t',οὗτος,pronoun,a)llh/lois,ἀλλήλων,pronoun,e)gxeiri/zwsin,ἐγχειρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/t',εἴτε,adverb,ou)=n,οὖν,particle,*eu)/polis,Εὔπολις,proper,gege/nhtai,γίγνομαι,verb,ai)/tios,αἴτιος,adjective,ltdou=naigt,,,mh\,μή,conjunction,boulhqei/s,βούλομαι,verb,ei)/t',εἴτε,adverb,*)apollo/dwros,Ἀπολλόδωρος,proper,labei=n,λαμβάνω,verb,mh\,μή,conjunction,e)qelh/sas,ἐθέλω,verb,ta\s,ὁ,article,e)/xqras,ἔχθρα,noun,o(/ti,ὅστις,pronoun,die/meinan,διαμένω,verb,to\,ὁ,article,e)/rgon,ἔργον,noun,dedh/lwke,δηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,peri\,περί,preposition,me\n,μέν,particle,th=s,ὁ,article,e)kei/nwn,ἐκεῖνος,pronoun,diafora=s,διαφορά,noun,i(kanou\s,ἱκανός,adjective,ei)=nai,εἰμί,verb,nomi/zw,νομίζω,verb,kai\,καί,conjunction,tou\s,ὁ,article,ei)rhme/nous,ἐρῶ,verb,lo/gous,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=da,οἶδα,verb,ga\r,γάρ,particle,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,u(mw=n,σύ,pronoun,o(/soi,ὅσος,adjective,presbu/teroi,πρέσβυς,noun,mnhmoneu/ousin,μνημονεύω,verb,o(/ti,ὅστις,pronoun,e)ge/nonto,γίγνομαι,verb,a)nti/dikoi,ἀντίδικος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/,ὁ,article,te,τε,particle,ga\r,γάρ,particle,me/geqos,μέγεθος,adjective,tw=n,ὁ,article,dikw=n,δίκη,adjective,kai\,καί,conjunction,dio/ti,διότι,conjunction,polu\,πολύς,adjective,au)to\n,αὐτός,pronoun,*)arxe/damos,Ἀρχέδαμος,proper,ei(=len,αἱρέω,verb,e)pifa/neia/n,ἐπιφαίνω,verb,tina,τις,pronoun,e)poi/hsen,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,e)me\,ἐγώ,pronoun,e)poih/sato,ποιέω,verb,u(o\n,υἱός,noun,zw=n,ζάω,verb,au)to\s,αὐτός,pronoun,kai\,καί,conjunction,ku/rion,κύριος,adjective,tw=n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,kate/sthse,καθίστημι,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,tou\s,ὁ,article,gennh/tas,γενέτης,noun,kai\,καί,conjunction,ei)s,εἰς,preposition,tou\s,ὁ,article,fra/toras,φράτηρ,noun,e)ne/graye,ἐγγράφω,verb,tou/tois,οὗτος,pronoun,h)/dh,ἤδη,adverb,moi,ἐγώ,pronoun,to\n,ὁ,article,nou=n,νόος,adjective,prose/xete,προσέχω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)apollodw/rw|,Ἀπολλόδωρος,proper,ga\r,γάρ,particle,h)=n,εἰμί,verb,u(o/s,ὗς,noun,o(\n,ὅς,pronoun,e)kei=nos,ἐκεῖνος,pronoun,kai\,καί,conjunction,h)/skei,ἀσκέω,verb,kai\,καί,conjunction,di',διά,preposition,e)pimelei/as,ἐπιμέλεια,noun,ei)=xen,ἔχω,verb,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,prosh=kon,προσήκω,verb,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/ws,ἕως,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e)kei=nos,ἐκεῖνος,pronoun,e)/zh,ζάω,verb,dia/doxon,διάδοχος,adjective,th=s,ὁ,article,ou)si/as,οὐσία,adjective,h)/lpizen,ἐλπίζω,verb,au)to\n,αὐτός,pronoun,katasth/sein,καθίστημι,verb,th=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
