word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/lemma/@_entry,word/51/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS
po/ter',πότερος,adjective,ou),οὐ,adverb,di/kaio/n,δίκαιος,adjective,e)sti,εἰμί,verb,toi=s,ὁ,article,krinome/nois,κρίνω,verb,tou\s,ὁ,article,oi)kei/ous,οἰκεῖος,adjective,kai\,καί,conjunction,tou\s,ὁ,article,fi/lous,φῖλος,noun,bohqei=n,βοηθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,e)/stin,εἰμί,verb,ti,τις,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,tou/tou,οὗτος,pronoun,dhmotikw/teron,δημοτικός,adjective,tou=,ὁ,article,tou\s,ὁ,article,duname/nous,δύναμαι,verb,ei)pei=n,εἶπον,verb,toi=s,ὁ,article,a)duna/tois,ἀδύνατος,adjective,tw=n,ὁ,article,politw=n,πολίτης,noun,kinduneu/ousi,κινδυνεύω,verb,bohqei=n,βοηθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,de\,δέ,particle,ou),οὐ,adverb,mo/non,μόνος,adjective,peri\,περί,preposition,tw=n,ὁ,article,sunhgo/rwn,συνήγορος,adjective,tou\s,ὁ,article,lo/gous,λόγος,noun,pepoi/hsai,ποιέω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,th\n,ὁ,article,e)mh\n,ἐμός,adjective,diata/tteis,διατάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,paragge/lleis,παραγγέλλω,verb,toi=s,ὁ,article,dikastai=s,δικαστής,noun,peri\,περί,preposition,w(=n,ὅς,pronoun,dei=,δέομαι,verb,au)tou\s,αὐτός,pronoun,a)kou/ein,ἀκούω,verb,kai\,καί,conjunction,keleu/ein,κελεύω,verb,me,ἐγώ,pronoun,a)pologei=sqai,ἀπολογέομαι,verb,kai\,καί,conjunction,peri\,περί,preposition,w(=n,ὅς,pronoun,mh\,μή,conjunction,e)a=n,ἀίω,verb,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=to,οὗτος,pronoun,pw=s,πῶς,adverb,kalw=s,καλός,noun,e)/xei,ἔχω,verb,se\,σύ,pronoun,me\n,μέν,particle,o(/pws,ὅπως,conjunction,h)bou/lou,βούλομαι,verb,th\n,ὁ,article,kathgori/an,κατηγορία,noun,poih/sasqai,ποιέω,verb,proeido/ta,πρόοιδα,verb,de\,δέ,particle,a(\,ὅς,pronoun,e)/xw,ἔχω,verb,e)gw\,ἐγώ,pronoun,di/kaia,δίκαιος,adjective,le/gein,λέγω,verb,pro\s,πρός,preposition,ta\,ὁ,article,para\,παρά,preposition,sou=,σύ,pronoun,e)yeusme/na,ψεύδω,verb,u(fairei=sqai/,ὑφαιρέω,verb,mou,ἐγώ,pronoun,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)me\,ἐγώ,pronoun,me\n,μέν,particle,ai)tia=|,αἰτιάομαι,verb,e)n,ἐν,preposition,th=|,ὁ,article,ei)saggeli/a|,εἰσαγγελία,noun,katalu/ein,καταλύω,verb,to\n,ὁ,article,dh=mon,δῆμος,noun,parabai/nonta,παραβαίνω,verb,tou\s,ὁ,article,no/mous,νόμος,noun,au)to\s,αὐτός,pronoun,d',δέ,particle,u(perphdh/sas,ὑπερπηδάω,verb,a(/pantas,ἅπας,adjective,tou\s,ὁ,article,no/mous,νόμος,noun,ei)saggeli/an,εἰσαγγελία,noun,de/dwkas,δίδωμι,verb,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,grafai\,γραφή,noun,pro\s,πρός,preposition,tou\s,ὁ,article,qesmoqe/tas,θεσμοθέτης,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,no/mwn,νόμος,noun,ei)si/n,εἰμί,verb,i(/na,ἵνα,conjunction,prw=ton,πρότερος,adjective,me\n,μέν,particle,a)ki/ndunos,ἀκίνδυνος,adjective,ei)si/h|s,εἴσειμι,verb,ei)s,εἰς,preposition,to\n,ὁ,article,a)gw=na,ἀγών,noun,e)/peita,ἔπειτα,adverb,e)ch=|,ἔξεστι,verb,soi,σύ,pronoun,tragw|di/as,τραγῳδία,noun,gra/yai,γράφω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,ei)saggeli/an,εἰσαγγελία,noun,oi(/as,οἷος,adjective,per,πέρ,particle,nu=n,νῦν,adverb,ge/grafas,o(/s,m',ἐγώ,pronoun,ai)tia=|,αἰτιάομαι,verb,o(/ti,ὅστις,pronoun,polla\s,πολύς,adjective,me\n,μέν,particle,gunai=kas,γυνή,noun,poiw=,ποιέω,verb,a)ga/mous,ἄγαμος,adjective,e)/ndon,ἔνδον,adverb,kataghra/skein,καταγηράσκω,verb,polla\s,πολύς,adjective,de\,δέ,particle,sunoikei=n,συνοικέω,verb,oi(=s,ὅς,pronoun,ou),οὐ,adverb,prosh/kei,προσήκω,verb,para\,παρά,preposition,tou\s,ὁ,article,γράφω,verb,ὅς,pronoun,no/mous,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)kou=n,οὐκοῦν,adverb,a)/llhn,ἄλλος,adjective,me\n,μέν,particle,ou)demi/an,οὐδείς,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,gunai=ka,γυνή,noun,e)/xeis,ἔχω,verb,ei)pei=n,εἶπον,verb,h(=|tini,ὅστις,pronoun,e)gw\,ἐγώ,pronoun,tou/twn,οὗτος,pronoun,ai)/tio/s,αἴτιος,adjective,ei)mi,εἰμί,verb,peri\,περί,preposition,h(=s,ὅς,pronoun,de\,δέ,particle,nu=n,νῦν,adverb,th\n,ὁ,article,kathgori/an,κατηγορία,noun,pepoi/hsai,ποιέω,verb,po/tera,πότερος,adjective,w)/|ou,ᾦον,noun,prosh/kein,προσήκω,verb,sunoikei=n,συνοικέω,verb,e)kdedome/nhn,ἐκδίδωμι,verb,*xari/ppw|,Χάριππος,proper,e(ni\,εἷς,adjective,tw=n,ὁ,article,politw=n,πολίτης,noun,h)\,ἠέ,conjunction,a)ne/kdoton,ἀνέκδοτος,adjective,e)/ndon,ἔνδον,adverb,kataghra/skein,καταγηράσκω,verb,h(\,ὅς,pronoun,eu)qu\s,εὐθύς,adverb,e)cedo/qh,ἐκδίδωμι,verb,ta/lanton,τάλαντον,noun,a)rguri/ou,ἀργύριον,adjective,prosqe/ntos,προστίθημι,verb,au)th=|,αὐτός,pronoun,*eu)fh/mou,Εὔφημος,proper,dhlono/ti,δηλονότι,adverb,ou),οὐ,adverb,dia\,διά,preposition,ponhri/an,πονηρία,noun,a)lla\,ἀλλά,adverb,di',διά,preposition,e)piei/keian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιείκεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tw|,οὗτος,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,e)/cestin,ἔξεστι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,kai\,καί,conjunction,le/gein,λέγω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,bou/lhtai,βούλομαι,verb,kai\,καί,conjunction,katayeu/desqai,καταψεύδομαι,verb,u(ma=s,σύ,pronoun,d',δέ,particle,oi)=mai,οἴομαι,verb,dei=n,δέω,verb,ou)k,οὐ,adverb,e)k,ἐκ,preposition,tw=n,ὁ,article,tou=,ὁ,article,kathgo/rou,κατήγορος,noun,diabolw=n,διαβολή,noun,peri\,περί,preposition,e)mou=,ἐγώ,pronoun,dika/zein,δικάζω,verb,a)ll',ἀλλά,adverb,e)c,ἐκ,preposition,a(/pantos,ἅπας,adjective,tou=,ὁ,article,bi/ou,βίος,adjective,o(\n,ὅς,pronoun,bebi/wka,βιόω,verb,e)ceta/santas,ἐξετάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laqei=n,λανθάνω,verb,ga\r,γάρ,particle,to\,ὁ,article,plh=qos,πλῆθος,noun,to\,ὁ,article,u(me/teron,ὑμέτερος,adjective,ou)k,οὐ,adverb,e)/ni,ἐν,preposition,ou)/te,οὔτε,adverb,ponhro\n,πονηρός,adjective,o)/nta,εἰμί,verb,ou)de/na,οὐδείς,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,ou)/te,οὔτε,adverb,e)pieikh=,ἐπιεικής,adjective,a)ll',ἀλλά,adverb,o(,ὁ,article,parelhluqw\s,παρέρχομαι,verb,xro/nos,χρόνος,noun,ma/rtus,μάρτυς,noun,e)sti\n,εἰμί,verb,e(ka/stw|,ἕκαστος,adjective,tou=,ὁ,article,tro/pou,τρόπος,noun,a)kribe/statos,ἀκριβής,adjective,a)/llws,ἄλλως,adverb,te,τε,particle,dh\,δή,particle,kai\,καί,conjunction,peri\,περί,preposition,tou/twn,οὗτος,pronoun,tw=n,ὁ,article,ai)tiw=n,αἰτία,noun,oi(/a,οἷος,adjective,au(/th,οὗτος,pronoun,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/sa,ὅσος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,tw=n,ὁ,article,a)dikhma/twn,ἀδίκημα,noun,e)n,ἐν,preposition,a(,ὁ,article,pa/sh|,πᾶς,adjective,th=|,ὁ,article,h(liki/a|,ἡλικία,noun,th=|,ὁ,article,tou=,ὁ,article,a)nqrw/pou,ἄνθρωπος,noun,e)nde/xetai,ἐνδέχομαι,verb,a)dikh=sai,ἀδικέω,verb,tau=ta,οὗτος,pronoun,me\n,μέν,particle,dei=,δέομαι,verb,skopei=n,σκοπάω,verb,a)p',ἀπό,preposition,au)tou=,αὐτός,pronoun,tou=,ὁ,article,e)gklh/matos,ἔγκλημα,noun,ou(=,ἕ,pronoun,a)\n,ἄν,particle,e)/xh|,ἔχω,verb,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moixeu/ein,μοιχεύω,verb,d',δέ,particle,ou)k,οὐ,adverb,e)nde/xetai,ἐνδέχομαι,verb,a)po\,ἀπό,preposition,penth/konta,πεντήκοντα,verb,e)tw=n,ἔται,noun,a)/nqrwpon,ἄνθρωπος,noun,a)ll',ἀλλά,adverb,h)\,ἠέ,conjunction,pa/lai,πάλαι,adverb,toiou=to/s,τοιοῦτος,adjective,e)stin,εἰμί,verb,o(\,ὅς,pronoun,deica/twsan,δείκνυμι,verb,ou(=toi,οὗτος,pronoun,h)\,ἠέ,conjunction,yeudh=,ψευδής,adverb,th\n,ὁ,article,ai)ti/an,αἰτία,noun,ei)ko\s,ἔοικα,verb,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,toi/nun,τοίνυν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,meq',μετά,preposition,u(mw=n,σύ,pronoun,diatri/bwn,διατρίβω,verb,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,to\n,ὁ,article,a(/panta,ἅπας,adjective,xro/non,χρόνος,noun,ou)/te,οὔτε,adverb,ai)ti/an,αἰτία,noun,ponhra\n,πονηρός,adjective,ou)demi/an,οὐδείς,pronoun,pw/pot',πώποτε,adverb,e)/labon,λαμβάνω,verb,ou)/t',οὔτε,adverb,e)/gklhma/,ἔγκλημα,noun,moi,ἐγώ,pronoun,pro\s,πρός,preposition,ou)de/na,οὐδείς,pronoun,tw=n,ὁ,article,politw=n,πολίτης,noun,ge/gonen,γίγνομαι,verb,ou)de\,οὐδέ,particle,pe/feuga,φεύγω,verb,di/khn,δίκη,adjective,ou)demi/an,οὐδείς,pronoun,ou)d',οὐδέ,particle,e(/teron,ἕτερος,adjective,dedi/wxa,διώκω,verb,i(ppotrofw=n,ἱπποτροφέω,verb,de\,δέ,particle,diatete/leka,διατελέω,verb,filoti/mws,φιλότιμος,adjective,to\n,ὁ,article,a(/panta,ἅπας,adjective,xro/non,χρόνος,noun,para\,παρά,preposition,du/namin,δύναμις,adjective,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,th\n,ὁ,article,ou)si/an,οὐσία,adjective,th\n,ὁ,article,e)mautou=,ἐμαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)stefa/nwmai,στεφανόω,verb,d',δέ,particle,u(po/,ὑπό,preposition,te,τε,particle,tw=n,ὁ,article,i(ppe/wn,ἱππεύς,noun,pa/ntwn,πᾶς,adjective,a)ndragaqi/as,ἀνδραγαθία,noun,e(/neka,ἕνεκα,preposition,kai\,καί,conjunction,u(po\,ὑπό,preposition,tw=n,ὁ,article,sunarxo/ntwn,συνάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,ga/r,γάρ,particle,me,ἐγώ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,prw=ton,πρότερος,adjective,me\n,μέν,particle,fu/larxon,φύλαρχος,noun,e)xeirotonh/sate,χειροτονέω,verb,e)/peita,ἔπειτα,adverb,ei)s,εἰς,preposition,*lh=mnon,Λῆμνος,proper,i(/pparxon,ἵππαρχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h)=rca,ἄρχω,verb,me\n,μέν,particle,au)to/qi,αὐτόθι,adverb,du/',δύη,adjective,e)/th,ἔτης,noun,tw=n,ὁ,article,pw/poq',πώποτε,adverb,i(pparxhko/twn,ἱππαρχέω,verb,mo/nos,μόνος,adjective,proskate/meina,προσκαταμένω,verb,de\,δέ,particle,au)to/qi,αὐτόθι,adverb,to\n,ὁ,article,tri/ton,τρίτος,adjective,e)niauto/n,ἐνιαυτός,noun,ou),οὐ,adverb,boulo/menos,βούλομαι,verb,poli/tas,πολίτης,noun,a)/ndras,ἀνήρ,noun,e)pi\,ἐπί,preposition,kefalh\n,κεφαλή,noun,ei)spra/ttein,εἰσπράσσω,verb,to\n,ὁ,article,misqo\n,μισθός,noun,toi=s,ὁ,article,i(ppeu=sin,ἱππεύς,noun,a)po/rws,ἄπορος,adjective,diakeime/nous,διάκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,moi,ἐγώ,pronoun,tw=|,ὁ,article,xro/nw|,χρόνος,noun,e)/gklhma,ἔγκλημα,noun,me\n,μέν,particle,ou)dei\s,οὐδείς,pronoun,tw=n,ὁ,article,e)kei=,ἐκεῖ,adverb,e)neka/lesen,ἐγκαλέω,verb,ou)/te,οὔτε,adverb,i)di/a|,ἴδιος,adjective,ou)/te,οὔτε,adverb,dhmosi/a|,δημόσιος,adjective,stefa/nois,στέφανος,noun,de\,δέ,particle,trisi\n,τρεῖς,noun,e)stefanw/qhn,στεφανόω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,dh/mou,δῆμος,noun,tou=,ὁ,article,e)n,ἐν,preposition,*(hfais,,,ti/,τίς,pronoun,a|,,,kai\,καί,conjunction,e(te/rois,ἕτερος,adjective,u(po\,ὑπό,preposition,e)n,ἐν,preposition,*muri/nh|,Μύρινα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,xrh\,χρή,verb,tekmh/ria,τεκμήριον,noun,u(mi=n,σύ,pronoun,ei)=nai,εἰμί,verb,ei)s,εἰς,preposition,tou=ton,οὗτος,pronoun,to\n,ὁ,article,a)gw=na,ἀγών,noun,w(s,ὡς,conjunction,yeudei=s,ψευδής,adverb,kat',κατά,preposition,e)mou=,ἐγώ,pronoun,ai(,ὁ,article,ai)ti/ai,αἰτία,noun,ei)si/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,oi(=o/n,οἷος,adjective,te,τε,particle,to\n,ὁ,article,*)aqh/nhsi,Ἀθήνευς,proper,ponhro\n,πονηρός,adjective,e)n,ἐν,preposition,*lh/mnw|,Λῆμνος,proper,xrhsto\n,χρηστός,adjective,ei)=nai,εἰμί,verb,ou)d',οὐδέ,particle,u(mei=s,σύ,pronoun,w(s,ὡς,conjunction,toiou=ton,τοιοῦτος,adjective,o)/nta,εἰμί,verb,me,ἐγώ,pronoun,a)peste/llete,ἀποστέλλω,verb,e)kei=se,ἐκεῖσε,adverb,parakatatiqe/menoi,παρακατατίθεμαι,verb,du/o,δύο,adjective,po/leis,πόλις,adjective,tw=n,ὁ,article,u(mete/rwn,ὑμέτερος,adjective,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
