word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/56/lemma/@_entry,word/56/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS
polla/ki,πολλάκις,adverb,se,σύ,pronoun,*troizh=nos,Τροιζήν,proper,a)po\,ἀπό,preposition,ca/nqoio,,,poli/xnhs,πολίχνη,noun,e)rxo/menoi,ἔρχομαι,verb,*)efu/rhnde,,,*sarwnikou=,Σαρωνικός,adjective,e)/ndoqi,ἔνδοθι,adverb,ko/lpou,κόλπος,noun,nau=tai,ναύτης,noun,e)peske/yanto,ἐπισκέπτομαι,verb,kai\,καί,conjunction,e)c,ἐκ,preposition,*)efu/rhs,Ἔφυρα,proper,a)nio/ntes,ἄνειμι,verb,oi(\,ἕ,pronoun,me\n,μέν,particle,e)/t',ἔτι,adverb,ou)k,οὐ,adverb,i)/don,εἶδον,verb,au)=qi,αὖθι,adverb,su\,σύ,pronoun,de\,δέ,particle,steinoi=o,στενός,adjective,par',παρά,preposition,o)cu/n,ὀξύς,adjective,e)/drames,τρέχω,verb,*eu)ri/poio,Εὔριπος,proper,po/ron,πόρος,noun,kanaxhda\,καναχηδά,adverb,r(e/ontos,ῥέω,verb,*xalkidikh=s,Χαλκιδικός,adjective,d',δέ,particle,au)th=mar,αὐτῆμαρ,adverb,a)nhname/nh,ἀναίνομαι,verb,a(lo\s,ἅλς,adjective,u(/dwr,ὕδωρ,noun,me/sf',μέσφα,adverb,e)s,εἰς,preposition,*)aqhnai/wn,Ἀθήναια,proper,prosenh/cao,προσνήχομαι,verb,*sou/nion,Σούνιον,proper,a)/kron,ἄκρος,adjective,h)\,ἠέ,conjunction,*xi/on,Χίος,proper,h)\,ἠέ,conjunction,nh/soio,νῆσος,noun,dia/broxon,διάβροχος,adjective,u(/dati,ὕδωρ,noun,masto/n,μαστός,noun,parqeni/hs,παρθενία,noun,ou)/pw,οὔπω,adverb,ga\r,γάρ,particle,e)/hn,εἰμί,verb,*sa/mos),h(=xi/,ἧχι,adverb,se,σύ,pronoun,nu/mfai,νύμφη,noun,gei/tones,γείτων,noun,*)agkai/ou,Ἀγκαῖος,proper,*mukalhssi/des,e)cei/nissan,ξενίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(ni/ka,ἡνίκα,adverb,d',δέ,particle,*)apo/llwni,Ἀπόλλων,proper,gene/qlion,γενέθλιος,adjective,ou)=das,οὖδας,adverb,u(pe/sxes,ὑπέχω,verb,tou=to/,οὗτος,pronoun,toi,τοι,particle,a)nthmoibo\n,ἀντημοιβός,adjective,a(li/plooi,ἁλίπλοος,adjective,ou)/nom',ὄνομα,adjective,e)/qento,τίθημι,verb,ou(/neken,οὕνεκα,conjunction,ou)ke/t',οὐκέτι,adverb,a)/dhlos,ἄδηλος,adjective,e)pe/plees,ἐπιπλέω,verb,a)ll',ἀλλά,adverb,e)ni\,ἐν,preposition,po/ntou,πόντος,noun,ku/masin,κῦμα,noun,*ai)gai/oio,Αἰγαῖος,proper,podw=n,πούς,noun,e)neqh/kao,ἐντίθημι,verb,r(i/zas,ῥίζα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,*(/hrhn,Ἥρα,proper,kote/ousan,κοτάω,verb,u(pe/tresas,ὑποτρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,me\n,μέν,particle,a(pa/sais,ἅπας,adjective,deino\n,δεινός,adjective,e)pebrwma=to,ἐπιβρωμάομαι,verb,lexwi/sin,,,ai(\,ὅς,pronoun,*dii\,Ζεύς,proper,pai=das,παῖς,adjective,e)ce/feron,ἐκφέρω,verb,*lhtoi=,Λητώ,proper,de\,δέ,particle,diakrido/n,διακριδόν,adverb,ou(/neka,οὕνεκα,conjunction,mou/nh,μόνος,adjective,*zhni\,Ζεύς,proper,tekei=n,τίκτω,verb,h)/melle,μέλλω,verb,filai/teron,φιλαίτερος,adjective,*)/areos,Ἄρεος,proper,ui(=a,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,r(a,ἄρα,particle,kai\,καί,conjunction,au)th\,αὐτός,pronoun,me\n,μέν,particle,skopih\n,σκοπιά,noun,e)/xen,ἔχω,verb,ai)qe/ros,αἰθήρ,noun,ei)/sw,εἴσω,adverb,sperxome/nh,σπέρχω,verb,me/ga,μέγας,adverb,dh/,δή,particle,ti,τις,pronoun,kai\,καί,conjunction,ou),οὐ,adverb,fato/n,φατός,adjective,ei)=rge,ἔργω,verb,de\,δέ,particle,*lhtw/,Λητώ,proper,teirome/nhn,τείρω,verb,w)di=si,ὠδίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/w,δύο,adjective,de/,δέ,particle,oi(,ἕ,pronoun,ei(/ato,ἕννυμι,verb,frouroi/,φρουρός,noun,gai=an,γαῖα,noun,e)popteu/ontes,ἐποπτεύω,verb,o(\,ὅς,pronoun,me\n,μέν,particle,pe/don,πέδον,noun,h)pei/roio,ἤπειρος,adjective,h(/menos,ἧμαι,verb,u(yhlh=s,ὑψηλός,adjective,korufh=s,κορυφή,noun,e)/pi,ἐπί,preposition,*qrh/ikos,Θρᾷξ,proper,*ai(/mou,Αἷμος,proper,qou=ros,θοῦρος,adjective,*)/arhs,Ἄρης,proper,e)fu/lasse,φυλάσσω,verb,su\n,σύν,preposition,e)/ntesi,ἔντεα,noun,tw\,ὁ,article,de/,δέ,particle,oi(,ἕ,pronoun,i(/ppw,ἵππος,noun,e(pta/muxon,ἑπτάμυχος,adjective,bore/ao,,,para\,παρά,preposition,spe/os,σπέος,noun,hu)li/zonto,αὐλίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,e)pi\,ἐπί,preposition,nhsa/wn,,,e(te/rh,ἕτερος,adjective,skopo\s,σκοπός,noun,eu)reia/wn,εὐρέιος,adjective,h(=sto,ἧμαι,verb,ko/rh,κόρη,noun,*qau/mantos,Θαύμας,proper,e)pai/+casa,ἐπᾴσσω,verb,*mi/manti,Μίμας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nq',ἔνθα,adverb,oi(\,ἕ,pronoun,me\n,μέν,particle,poli/essin,πόλις,adjective,o(/sais,ὅσος,adjective,e)peba/lleto,ἐπιβάλλω,verb,*lhtw/,Λητώ,proper,mi/mnon,μίμνω,verb,a)peilhth=res,ἀπειλητήρ,noun,a)petrw/pwn,ἀποτρωπάω,verb,de\,δέ,particle,de/xesqai,δέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=ge,φεύγω,verb,me\n,μέν,particle,*)arkadi/h,Ἀρκαδία,proper,feu=gen,φεύγω,verb,d',δέ,particle,o)/ros,ὄρος,adjective,i(ero\n,ἱερόν,noun,*au)/ghs,Αὔγη,proper,*parqe/nion,Παρθένιος,proper,feu=gen,φεύγω,verb,d',δέ,particle,o(,ὁ,article,ge/rwn,γέρων,noun,meto/pisqe,μετόπισθε,adverb,*feneio/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=ge,φεύγω,verb,d',δέ,particle,o(/lh,ὅλος,adjective,*pelophi\s,,,o(/sh,ὅσος,adjective,parake/klitai,παρακλίνω,verb,*)isqmw=i,ἰσθμός,noun,e)/mplhn,ἔμπλην,adverb,*ai)gialou=,Αἰγιαλός,proper,ge,γε,particle,kai\,καί,conjunction,*)/argeos,Ἄργος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)kei/nas,ἐκεῖνος,pronoun,a)trapitou\s,ἀτραπός,adjective,e)pa/thsen,πατέω,verb,e)pei\,ἐπεί,conjunction,la/xen,λαγχάνω,verb,*)/inaxon,Ἴναχος,proper,*(/hrh,Ἥρα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=ge,φεύγω,verb,kai\,καί,conjunction,*)aoni/h,,,to\n,ὁ,article,e(/na,ἕνος,adjective,dro/mon,δρόμος,noun,ai(\,ὅς,pronoun,d',δέ,particle,e)fe/ponto,ἐφέπω,verb,*di/rkh,Δίρκη,proper,te,τε,particle,*strofi/h,,,te,τε,particle,melamyh/fidos,μελαμψήφις,noun,e)/xousai,ἔχω,verb,*)ismhnou=,Ἰσμηνός,proper,xe/ra,χείρ,noun,patro/s,πατήρ,noun,o(\,ὅς,pronoun,d',δέ,particle,ei(/peto,ἕπομαι,verb,pollo\n,πολύς,adjective,o)/pisqen,ὄπισθεν,adverb,*)aswpo\s,Ἀσωπός,proper,baru/gounos,βαρύγουνος,adjective,e)pei\,ἐπεί,conjunction,pepa/lakto,παλάσσω,verb,keraunw=i,κεραυνός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,u(podinhqei=sa,ὑποδινέομαι,verb,xorou=,χορός,noun,a)pepau/sato,ἀποπαύω,verb,nu/mfh,νύμφη,noun,au)to/xqwn,αὐτόχθων,adjective,*meli/h,Μελίη,proper,kai\,καί,conjunction,u(po/xloon,ὑπόχλοος,adjective,e)/sxe,ἔχω,verb,pareih/n,παρειά,noun,h(/likos,ἧλιξ,noun,a)sqmai/nousa,ἀσθμαίνω,verb,peri\,περί,preposition,druo/s,δρῦς,noun,w(s,ὡς,conjunction,i)/de,εἶδον,verb,xai/thn,χαίτη,noun,seiome/nhn,σείω,verb,*(elikw=nos,Ἑλικών,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)mai\,ἐμός,adjective,qeai/,θεά,noun,ei)/pate,εἶπον,verb,*mou=sai,Μοῦσα,proper,h)=,ἦ,adverb,r(',ἄρα,particle,e)teo\n,ἐτεός,adverb,e)ge/nonto,γίγνομαι,verb,to/te,τότε,adverb,dru/es,δρῦς,noun,h(ni/ka,ἡνίκα,adverb,*nu/mfai,Νύμφης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu/mfai,νύμφη,noun,me\n,μέν,particle,xai/rousin,χαίρω,verb,o(/te,ὅτε,conjunction,dru/as,δρῦς,noun,o)/mbros,ὄμβρος,noun,a)e/cei,ἀέξω,verb,nu/mfai,νύμφη,noun,d',δέ,particle,au)=,αὖ,interjection,klai/ousin,κλαίω,verb,o(/te,ὅτε,conjunction,drusi\n,δρῦς,noun,ou)ke/ti,οὐκέτι,adverb,fu/lla,φύλλον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai=s,ὁ,article,me\n,μέν,particle,e)/t',ἔτι,adverb,*)apo/llwn,Ἀπόλλων,proper,u(poko/lpios,ὑποκόλπιος,adjective,ai)na\,αἰνός,adjective,xolw/qh,χολόομαι,verb,fqe/gcato,φθέγγομαι,verb,d',δέ,particle,ou)k,οὐ,adverb,a)te/leston,ἀτέλεστος,adjective,a)peilh/sas,ἀπειλέω,verb,e)pi\,ἐπί,preposition,*qh/bhi,Θήβη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qh/bh,Θήβη,proper,ti/pte,τίπτε,adverb,ta/laina,τάλας,adjective,to\n,ὁ,article,au)ti/ka,αὐτίκα,adverb,po/tmon,πότμος,noun,e)le/gxeis,ἐλέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/pw,μήπω,adverb,mh/,μή,conjunction,m',ἐγώ,pronoun,a)e/konta,ἀέκων,adjective,bia/zeo,βιάζω,verb,manteu/esqai,μαντεύομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/pw,οὔπω,adverb,moi,ἐγώ,pronoun,*puqw=ni,Πυθών,proper,me/lei,μέλω,verb,tripodh/ios,,,e(/drh,ἕδρα,noun,ou)de/,οὐδέ,particle,ti/,τίς,pronoun,pw,πω,particle,te/qnhken,θνήσκω,verb,o)/fis,ὄφις,noun,me/gas,μέγας,adverb,a)ll',ἀλλά,adverb,e)/ti,ἔτι,adverb,kei=no,ἐκεῖνος,pronoun,qhri/on,θηρίον,noun,ai)noge/neion,αἰνογένειος,adjective,a)po\,ἀπό,preposition,*pleistoi=o,Πλειστός,proper,kaqe/rpon,καθέρπω,verb,*parnhso\n,Παρνασός,proper,nifo/enta,νιφόεις,adjective,periste/fei,περιστέφω,verb,e)nne/a,ἐννέα,verb,ku/klois,κύκλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)/mphs,ἔμπας,adverb,e)re/w,ἐρέω,verb,ti,τις,pronoun,torw/teron,,,h)\,ἠέ,conjunction,a)po\,ἀπό,preposition,da/fnhs,δάφνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=ge,φεύγω,verb,pro/sw,πρόσω,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxino/s,ταχινός,adjective,se,σύ,pronoun,kixh/somai,κιχάνω,verb,ai(/mati,αἷμα,noun,lou/swn,λούω,verb,to/con,τόξον,noun,e)mo/n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,de\,δέ,particle,te/kna,τέκνον,noun,kakoglw/ssoio,κακόγλωσσος,adjective,gunaiko/s,γυνή,noun,e)/llaxes,λαγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,su/,σύ,pronoun,g',γε,particle,e)mei=o,ἐγώ,pronoun,fi/lh,φίλος,adjective,trofo\s,τροφός,noun,ou)de\,οὐδέ,particle,*kiqairw/n,Κιθαιρών,proper,e)/ssetai,ἔσσομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)age/wn,εὐαγής,adverb,de\,δέ,particle,kai\,καί,conjunction,eu)age/essi,εὐαγής,adverb,meloi/mhn',ἐπιμελέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,a)/r',ἄρα,particle,e)/fh,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
