word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/30/lemma/@_entry,word/30/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/51/lemma/@_entry,word/51/lemma/@_POS
ba/ros,βάρος,noun,h)\,ἠέ,conjunction,po/nos,πόνος,noun,ge,γε,particle,cuno/n,ξυνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pneu/mwn,πνεύμων,adjective,ga\r,γάρ,particle,a)/ponos,ἄπονος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puretoi\,πυρετός,noun,a)mudroi\,ἀμυδρός,adjective,*ri/gea,,,pro\s,πρός,preposition,e(spe/rhn,ἑσπέρα,noun,i(drw=tes,ἱδρώς,noun,e)p',ἐπί,preposition,a)ne/si,,,a)grupni/h,ἀγρυπνία,noun,oi)dh/mata,οἴδημα,noun,e)n,ἐν,preposition,a)/kroisi,ἄκρον,noun,posi\,πούς,noun,kai\,καί,conjunction,xeirw=n,χείρ,noun,daktu/loisi,δάκτυλος,noun,a)/llote,ἄλλοτε,adverb,kai\,καί,conjunction,a)/llote,ἄλλοτε,adverb,kaqista/mena,καθίστημι,verb,kai\,καί,conjunction,e)pairo/mena,ἐπαίρω,verb,dusfori/h,δυσφορία,noun,a)positi/h,ἀποσιτία,noun,i)sxno/th,,,s,,,o(/lou,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,kai\,καί,conjunction,mh=kos,μῆκος,adjective,i)/sxh|,ἴσχω,verb,h(,ὁ,article,metabolh\,μεταβολή,noun,e(/cis,ἕξις,noun,fqinw/dhs,φθινώδης,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)/ti,ἔτι,adverb,fu/sis,φύσις,noun,e)/rgou,ἔργον,noun,e)/xetai,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,pe/yis,πέψις,noun,o(koi/h,ὁποῖος,adjective,pro/sqen,πρόσθεν,adverb,ou)k,οὐ,adverb,eu)sarki/h,εὐσαρκία,noun,xroih\,χροιά,adjective,zofw/dhs,ζοφώδης,adjective,a)napnoh\,ἀναπνοή,noun,pa=si,πᾶς,adjective,me\n,μέν,particle,kakh\,κακός,adjective,kaki/wn,κακός,adjective,de\,δέ,particle,oi(=si,ὅς,pronoun,e)s,εἰς,preposition,th\n,ὁ,article,a)/nw,ἄνω,adverb,koili/hn,κοιλία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,bh\c,βήξ,adjective,ta\,ὁ,article,prw=ta,πρότερος,adjective,me/sfi,,,a)\n,ἄν,particle,h(,ὁ,article,flegmasi/h,φλεγμασία,noun,pie/zei,πιέζω,verb,eu)=te,εὖτε,conjunction,kai\,καί,conjunction,po/noi,πόνος,noun,me/zones,μέγας,adverb,kai\,καί,conjunction,*ri/gea,,,kai\,καί,conjunction,qe/rmh,θέρμη,noun,kai\,καί,conjunction,a)grupni/h,ἀγρυπνία,noun,kai\,καί,conjunction,du/spnoia,δύσπνοια,noun,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfugmoi\,σφυγμός,noun,smikroi\,μικρός,adjective,nwqroi\,νωθρός,adjective,a)drane/es,ἀδρανής,adverb,th\n,ὁ,article,gnw/mhn,γνώμη,noun,para/lhroi,παράληρος,adjective,dia/tasis,διάτασις,noun,tou=,ὁ,article,qw/rhkos,θώραξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,h)/dh,ἤδη,adverb,ei)s,εἰς,preposition,ge/nnhsin,γέννησις,noun,h(/kh|,ἥκω,verb,pu/ou,πύον,adjective,pa/nta,πᾶς,adjective,me/gista,μέγας,adverb,a)nagwgh\,ἀναγωγή,noun,de\,δέ,particle,smikrh\,μικρός,adjective,e)pi\,ἐπί,preposition,bhxi\,βήξ,adjective,me/zoni,μέγας,adverb,kai\,καί,conjunction,e)c,ἐκ,preposition,a)posta/sios,ἀπόστασις,noun,biai/hs,βίαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,prw=ta,πρότερος,adjective,flegmatwde/,,,wn,,,xoloba/fwn,χολόβαφος,adjective,e)pi\,ἐπί,preposition,to\,ὁ,article,mela/nteron,μελάντερος,adjective,o(/kws,ὅπως,conjunction,e)c,ἐκ,preposition,ai)qa/lhs,αἰθάλη,noun,e)/ti,ἔτι,adverb,de\,δέ,particle,diai/mwn,δίαιμος,adjective,kai\,καί,conjunction,paxe/wn,πάχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,kai\,καί,conjunction,*ragh/sesqai,,,me/llh|,μέλλω,verb,kai\,καί,conjunction,sarkoeide/wn,σαρκοειδής,adjective,baqe/wn,βάθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h)\n,ἐάν,conjunction,*ragh=|,,,ki/ndunos,κίνδυνος,noun,me\n,μέν,particle,pni/cios,πνῖξις,noun,h)\n,ἐάν,conjunction,pollo\n,πολύς,adjective,kai\,καί,conjunction,a)qro/on,ἀθρόος,adjective,e)kxuqh=|,ἐκχέω,verb,pu=on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,d',δέ,particle,ou)=n,οὖν,particle,e)kre/h|,ἐκρέω,verb,sxe/dhn,σχέδη,noun,a)treke/ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pu=on,,,h)\n,ἐάν,conjunction,ka/tw,κάτος,adjective,perh=sai,περάω,verb,qe/lh|,ἐθέλω,verb,ta\,ὁ,article,me\n,μέν,particle,a)/nw,ἄνω,adverb,me/rea,μέρος,noun,e)/nqa,ἔνθα,adverb,h(,ὁ,article,a)po/stasis,ἀπόστασις,noun,o)cu\s,ὀξύς,adjective,po/nos,πόνος,noun,koili/h,κοιλία,noun,u(grh\,ὑγρός,adjective,ta\,ὁ,article,prw=ta,πρότερος,adjective,u(datw/dea,ὑδατώδης,adverb,cu\n,σύν,preposition,flegmatw/desi,φλεγματώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,peri/rroia,περίρροια,noun,ai(matwde/wn,αἱματώδης,adjective,kai\,καί,conjunction,au)=qis,αὖθις,adverb,sarkoei,,,de/wn,δέον,adjective,h)\n,ἐάν,conjunction,h)/dh,ἤδη,adverb,*ragh=|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/petai,ἕπομαι,verb,de\,δέ,particle,toute/oisi,,,pu=on,,,h)\,ἠέ,conjunction,dia\,διά,preposition,koili/hs,κοιλία,noun,h)\,ἠέ,conjunction,ou)/rwn,οὖρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gaqai\,ἀγαθός,adjective,de\,δέ,particle,pa/ntwn,πᾶς,adjective,ma=llon,μᾶλλον,adverb,ai(,ὁ,article,e)s,εἰς,preposition,nefrou\s,νεφρός,noun,kai\,καί,conjunction,ku/stias,κύστις,noun,metalh/yies,μετάληψις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe/retai,φέρω,verb,de\,δέ,particle,h)/n,ἐάν,conjunction,te,τε,particle,a)/nw,ἄνω,adverb,h)/n,ἐάν,conjunction,te,τε,particle,ka/tw,κάτος,adjective,xro/os,,,pu/ou,πύον,adjective,poiki/lon,ποικίλος,adjective,w)xro\n,ὠχρός,adjective,h)\,ἠέ,conjunction,leuko\n,λευκός,adjective,h)\,ἠέ,conjunction,tefri/zon,τεφρίζω,verb,h)\,ἠέ,conjunction,pelidno\n,πελιδνός,adjective,h)\,ἠέ,conjunction,me/lan,μέλας,adjective,kai\,καί,conjunction,kakw=des,κακώδης,adjective,h)\,ἠέ,conjunction,a)/nosmon,ἄνοσμος,adjective,kai\,καί,conjunction,paxu/taton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,me/sws,μέσος,adjective,i)/sxon,ἴσχω,verb,h)\,ἠέ,conjunction,lei=on,λείων,adjective,o(malo\n,ὁμαλός,adjective,h)\,ἠέ,conjunction,trhxu\,τραχύς,adjective,a)nw/malon,ἀνώμαλος,adjective,kai\,καί,conjunction,sarkoei,,,de/a,δέος,noun,ta\,ὁ,article,e)mplo/wnta,,,stroggu/la,στρογγύλος,adjective,h)\,ἠέ,conjunction,plate/a,πλατύς,adjective,*rhi+di/ws,,,a)popluno/mena,ἀποπλύνω,verb,h)\,ἠέ,conjunction,i)cw/dea,ἰξώδης,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)qro/on,ἀθρόος,adjective,de\,δέ,particle,peri\,περί,preposition,pu/ou,πύον,adjective,ei)rh=sqai,ἐρῶ,verb,o(ko/sa,ὁπόσος,adjective,me\n,μέν,particle,leuka\,λευκάς,adjective,pe/pona,πέπων,verb,a)/nosma,ἄνοσμος,adjective,lei=a,λεῖος,adjective,stroggu/la,στρογγύλος,adjective,kai\,καί,conjunction,a)nabh/ssetai,ἀναβήσσω,verb,qa=sson,θάσσων,adjective,h)\,ἠέ,conjunction,u(pofe/retai,ὑποφέρω,verb,periesthko/ta,περιίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,ὁπόσος,adjective,de\,δέ,particle,e)/cwxra,ἔξωχρος,adjective,xolw/dea,χολώδης,adjective,a)nw/mala,ἀνώμαλος,adjective,moxqhra/,μοχθηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollo\n,πολύς,adjective,de\,δέ,particle,toute/wn,οὗτος,pronoun,kaki/w,κακός,adjective,ta\,ὁ,article,pelidna\,πελιδνός,adjective,kai\,καί,conjunction,me/lana,μέλας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpedo/na,σηπεδών,noun,ga\r,γάρ,particle,kai\,καί,conjunction,a)nesqio/mena,ἀνεσθίω,verb,shmai/nousi,σημαίνω,verb,ta\,ὁ,article,e(/lkea,ἕλκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*proscun,,,ie/nai,,,de\,δέ,particle,toute/oisi,,,kai\,καί,conjunction,th\n,ὁ,article,e(/cin,ἕξις,noun,kai\,καί,conjunction,ta\,ὁ,article,cunomarte/ontath=|,,,nou/sw|,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ga\r,γάρ,particle,e)pi\,ἐπί,preposition,th=|,ὁ,article,e)kkri/si,,,eu)fo/rws,εὔφορος,adjective,fe/rh|,φέρω,verb,a)/puros,ἄπυρος,adjective,gi/gnhtai,γίγνομαι,verb,eu)=te,εὖτε,conjunction,pe/ssh|,πέσσω,verb,eu)/xrous,εὔχρους,adjective,eu)/sitos,εὔσιτος,adjective,h)\n,ἐάν,conjunction,a)nabh/ssh|,ἀναβήσσω,verb,eu)marw=s,εὐμαρής,adverb,eu)/sfuktos,εὔσφυκτος,adjective,eu)/tonos,εὔτονος,adjective,gi/gnhtai,γίγνομαι,verb,a)nw/leqros,ἀνώλεθρος,adjective,o(,ὁ,article,nose/wn,νοσέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,e)pipuretai/nh|,,,kai\,καί,conjunction,pa/nta,πᾶς,adjective,e)s,εἰς,preposition,kako\n,κακός,adjective,tre/phtai,τρέπω,verb,a)ne/lpistos,ἀνέλπιστος,adjective,proscunie/nai,προσσύνειμι,verb,de\,δέ,particle,kai\,καί,conjunction,ta\,ὁ,article,xwri/a,χωρίον,noun,e)/nqa,ἔνθα,adverb,ai(,ὁ,article,a)posta/sies,ἀπόστασις,noun,o(ko/soisi,ὁπόσος,adjective,ga\r,γάρ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,ste/rnw|,στέρνον,noun,to\,ὁ,article,e)mpu/hma,ἐμπύημα,noun,gi/gnetai,γίγνομαι,verb,brade/ws,βραδύς,adjective,a)fi/statai,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yila\,ψιλός,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,a)/sarka,ἄσαρκος,adjective,kai\,καί,conjunction,xondrw/dea,χονδρώδης,adjective,ta\,ὁ,article,me/rea,μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,toia/de,τοιόσδε,adjective,ou),οὐ,adverb,*rhi+di/ws,,,de/xetai,δέχομαι,verb,flegmon,,,h=s,,,periousi/hn,περιουσία,noun,a)nekpu/hta,ἀνεκπύητος,adjective,de\,δέ,particle,mi/mnei,μίμνω,verb,poulu\n,πολύς,adjective,xro/non,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuxro\n,ψυχρός,adjective,ga\r,γάρ,particle,oi(,ὁ,article,xo/ndroi,χόνδρος,noun,a)lla\,ἀλλά,adverb,tw=nde,ὅδε,pronoun,a)sine/es,ἀσινής,adverb,me\n,μέν,particle,ai(,ὁ,article,flegmonai/,φλεγμονή,noun,th=s,ὁ,article,e(/cios,ἕξις,noun,de\,δέ,particle,kakai\,κακός,adjective,sunth/cies,σύντηξις,noun,makro\n,μακρός,adjective,ga\r,γάρ,particle,diapui/+skei,,,xro/non,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
splh\n,σπλήν,noun,kai\,καί,conjunction,h(=par,ἧπαρ,noun,kai\,καί,conjunction,pneu/mwn,πνεύμων,adjective,kai\,καί,conjunction,dia/fragma,διάφραγμα,noun,o)cu/tera,ὀξύς,adjective,me\n,μέν,particle,e)s,εἰς,preposition,e)mpu/hsin,ἐμπύησις,noun,e)piki/nduna,ἐπικίνδυνος,adjective,de\,δέ,particle,kai\,καί,conjunction,qanatw/dea,θανατώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=te,εὖτε,conjunction,o(ko/soisi,ὁπόσος,adjective,peripneumon,,,ikoi=si,,,a)\n,ἄν,particle,fle/gma,φλέγμα,noun,e)/h|,εἰμί,verb,kai\,καί,conjunction,mh\,μή,conjunction,diaxe/htai,διαχέω,verb,perigi/gnontai,περιγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,diadidrh/skontes,διαδιδράσκω,verb,to\,ὁ,article,ka/tocu,κάτοξυς,adjective,tou=,ὁ,article,pa/qeos,πάθος,adjective,e)/mpuoi,ἔμπυος,adjective,gi/gnontai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,mellou/shs,μέλλω,verb,h)\,ἠέ,conjunction,teteles,,,me/nhs,,,a)posta/sios,ἀπόστασις,noun,shmei=a,σημεῖον,noun,e)n,ἐν,preposition,toi=si,ὁ,article,e)mpu/oisi,ἔμπυος,adjective,e)/leca,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,telesqh=|,τελέω,verb,ou),οὐ,adverb,bi/hs,βία,adjective,kai\,καί,conjunction,po/nwn,πόνος,noun,e)s,εἰς,preposition,a)po/rrhcin,ἀπόρρηξις,noun,kai\,καί,conjunction,a)nagwgh\n,ἀναγωγή,noun,xre/os,χρέος,noun,o(/pwsper,ὅπως,conjunction,e)n,ἐν,preposition,toi=si,ὁ,article,sw/masi,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ga\r,γάρ,particle,*rhi+di/ws,,,a)nafe/retai,ἀναφέρω,verb,diata/sios,διάτασις,noun,ma=llon,μᾶλλον,adverb,tw=n,ὁ,article,a)raiwsi/wn,ἀραίωσις,noun,genome/nhs,γίγνομαι,verb,h)/per,ἠπειρωτικός,adjective,e(/cios,ἕξις,noun,swma/twn,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mano\s,μανός,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,polu/trhtos,πολύτρητος,adjective,o(,ὁ,article,pneu/mwn,πνεύμων,adjective,spoggi/h|,,,i)/kelos,ἴκελος,adjective,ou),οὐ,adverb,xalepai/nwn,χαλεπαίνω,verb,tw=|,ὁ,article,u(grw=|,ὑγρός,adjective,a)/llhn,ἄλλος,adjective,a)p',ἀπό,preposition,a)/llhs,ἄλλος,adjective,eu)ruxwri/hn,εὐρυχωρία,noun,a)mei/bonti,ἀμείβω,verb,me/sfi,,,th=s,ὁ,article,trhxei/hs,τραχύς,adjective,a)rthri/hs,ἀρτηρία,noun,h(/kein,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri/odoi,περίοδος,noun,de\,δέ,particle,tw=|,ὁ,article,u(grw=|,ὑγρός,adjective,*rhi/+diai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
