word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS
o(/tan,ὅταν,conjunction,d',δέ,particle,a)fri/zh|,ἀφρίζω,verb,tou)/laion,ἔλαιον,noun,ou),οὐ,adverb,de/xetai,to\,pneu=ma,πνεῦμα,noun,dia\,διά,preposition,lepto/thta,λεπτότης,noun,kai\,καί,conjunction,sune/xeian,συνέχεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέχομαι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,d',δέ,particle,ai)/tion,αἴτιος,adjective,kai\,καί,conjunction,tou=,ὁ,article,tre/fesqai,to\,pu=r,πῦρ,noun,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τρέφω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre/fetai,τρέφω,verb,me\n,μέν,particle,ga\r,γάρ,particle,ou)deni\,οὐδείς,pronoun,plh\n,πλήν,preposition,u(grw=|,kai\,tou=to,οὗτος,pronoun,mo/non,μόνος,adjective,kausto/n,καυστός,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑγρός,adjective,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,gou=n,γοῦν,particle,tw=n,ὁ,article,cu/lwn,ξύλον,adjective,o(,ὁ,article,me\n,a)h\r,a)/peisi,ἄπειμι,verb,kapno\s,καπνός,noun,geno/menos,γίγνομαι,verb,to\,ὁ,article,de\,δέ,particle,gew=des,γεώδης,adverb,e)ktefrwqe\n,ἐκτεφρόω,verb,u(polei/petai,ὑπολείπω,verb,,,,,,,,,,,,,,,,,,,μέν,particle,ἀήρ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo/non,μόνος,adjective,d',δέ,particle,u(po\,ὑπό,preposition,tou=,ὁ,article,puro\s,πῦρ,noun,to\,notero\n,a)nalou=tai,ἀναλίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,νοτερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tw|,οὗτος,pronoun,ga\r,γάρ,particle,tre/fesqai,τρέφω,verb,pe/fuken,φύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/dwr,ὕδωρ,noun,me\n,μέν,particle,ou)=n,οὖν,particle,kai\,καί,conjunction,oi)=nos,οἶνος,noun,kai\,ta\,loipa/,λοιπός,adjective,pollou=,πολύς,adjective,mete/xonta,μετέχω,verb,tou=,ὁ,article,qolerou=,θολερός,adjective,kai\,καί,conjunction,gew/dous,γεώδης,adverb,e)mpi/ptonta,ἐμπίτνω,verb,th\n,ὁ,article,flo/ga,φλόξ,noun,diaspa=|,διασπάω,verb,kai\,καί,conjunction,th=|,ὁ,article,traxu/thti,τραχύτης,noun,καί,conjunction,ὁ,article,kai\,καί,conjunction,tw=|,ὁ,article,ba/rei,βάρος,noun,qli/bei,θλίβω,verb,kai\,καί,conjunction,katasbe/nnusi,κατασβέννυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,e)/laion,ἔλαιον,noun,o(/ti,ὅστις,pronoun,ma/lista,μάλιστα,adverb,ei)likrinw=s,u(gro/n,e)sti,εἰμί,verb,dia\,διά,preposition,lepto/thta,λεπτότης,noun,metaba/llei,μεταβάλλω,verb,kai\,καί,conjunction,kratou/menon,κρατέω,verb,e)kpurou=tai,ἐκπυρόω,verb,,,,,,,,,,,,,,,,,,,,,,εἰλικρινής,adverb,ὑγρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/giston,μέγας,adverb,d',δέ,particle,au)tou=,αὐτός,pronoun,th=s,ὁ,article,u(gro/thtos,ὑγρότης,noun,tekmh/rion,h(,e)pi\,ἐπί,preposition,plei=ston,πλεῖστος,adjective,e)c,ἐκ,preposition,o)ligi/stou,ὀλίγιστος,adjective,dianomh\,διανομή,noun,kai\,καί,conjunction,xu/sis,χύσις,noun,,,,,,,,,,,,,,,,,,,,,,τεκμήριον,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,me/litos,μέλι,noun,ou)/q',οὔτε,adverb,u(/datos,ὕδωρ,noun,ou)/t',a)/llou,tino\s,τις,pronoun,u(grou=,ὑγρός,adjective,braxu\s,βραχύς,adjective,ou(/tws,οὕτως,adverb,o)po\s,ὄψ,noun,e)pi/dosin,ἐπίδοσις,noun,lamba/nei,λαμβάνω,verb,toiau/thn,τοιοῦτος,adjective,a)ll',ἀλλά,adverb,eu)qu\s,εὐθύς,adverb,e)pilei/pwn,ἐπιλείπω,verb,katanali/sketai,καταναλίσκω,verb,dia\,διά,preposition,chro/thta,ξηρότης,noun,οὔτε,adverb,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,e)/laion,ἔλαιον,noun,o(/lkimon,ὅλκιμος,adjective,pantaxh=,πανταχῆ,adverb,kai\,malako/n,a)/getai,ἄγω,verb,peri\,περί,preposition,to\,ὁ,article,sw=ma,σῶμα,adjective,xriome/nois,χράω,verb,kai\,καί,conjunction,sunepirrei=,συνεπιρρέω,verb,porrwta/tw,προσωτέρω,adverb,di',διά,preposition,u(gro/thta,ὑγρότης,noun,tw=n,ὁ,article,merw=n,μέρα,noun,mhkunome/nwn,μηκύνω,verb,w(/ste,ὥστε,conjunction,καί,conjunction,μαλακός,adjective,kai\,καί,conjunction,parame/nein,παραμένω,verb,duseci/thlon,δυσεξίτηλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/dati,ὕδωρ,noun,me\n,μέν,particle,ga\r,γάρ,particle,brexqe\n,βρέχω,verb,i(ma/tion,ἱμάτιον,adjective,a)pochrai/netai,r(a|di/ws,e)lai/ou,ἔλαιον,noun,de\,δέ,particle,khli=das,κηλίς,adjective,ou),οὐ,adverb,th=s,ὁ,article,tuxou/shs,τυγχάνω,verb,e)sti\,εἰμί,verb,pragmatei/as,πραγματεία,noun,e)kkaqh=rai,ἐκκαθαίρω,verb,ma/lista,μάλιστα,adverb,ga\r,γάρ,particle,e)ndu/etai,ἐνδύω,verb,tw=|,ὁ,article,ma/lista,μάλιστα,adverb,ἀποξηραίνω,verb,ῥᾴδιος,adjective,lepto\n,λεπτός,adjective,kai\,καί,conjunction,u(gro\n,ὑγρός,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,oi)=non,οἶνον,noun,kekrame/non,κεράννυμι,verb,dusxere/steron,δυσχερής,adverb,e)cairou=si,tw=n,i(mati/wn,ἱμάτιον,adjective,w(s,ὡς,conjunction,*)aristote/lhs,Ἀριστοτέλης,proper,fhsi/n,φημί,verb,o(/ti,ὅστις,pronoun,lepto/tero/s,λεπτός,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,ma=llon,μᾶλλον,adverb,e)ndu/etai,ἐνδύω,verb,toi=s,ὁ,article,po/rois,πόρος,noun,,,,,,,ἐξαιρέω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,*)aristi/wnos,Ἀριστίων,proper,eu)hme/rei,εὐημερέω,verb,para\,παρά,preposition,toi=s,ὁ,article,deipnou=si,ma/geiros,w(s,ὡς,conjunction,ta\,τίς,pronoun,t',τε,particle,a)/lla,ἄλλος,adjective,xarie/ntws,χαρίεις,adjective,o)yopoih/sas,ὀψοποιέω,verb,kai\,καί,conjunction,to\n,ὁ,article,a)/rti,ἄρτι,adverb,tw=|,ὁ,article,*(hraklei=,Ἡρακλέης,proper,tequme/non,θύω,verb,a)lektruo/na,ἀλεκτρυών,adjective,paraqei\s,παρατίθημι,verb,δειπνέω,verb,μάγειρος,noun,a(palo\n,ἁπαλός,adjective,w(/sper,ὥσπερ,adverb,xqizo/n,χθιζός,adjective,nearo\n,νεαρός,adjective,o)/nta,εἰμί,verb,kai\,καί,conjunction,pro/sfaton,πρόσφατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)=n,οὖν,particle,tou=,ὁ,article,*)aristi/wnos,Ἀριστίων,proper,o(/ti,ὅστις,pronoun,tou=to,οὗτος,pronoun,gi/gnetai,taxe/ws,ei),εἰ,conjunction,sfagei\s,σφάζω,verb,eu)qu\s,εὐθύς,adverb,a)po\,ἀπό,preposition,th=s,ὁ,article,sukh=s,συκῆ,noun,kremasqei/h,κρεμάννυμι,verb,th\n,ὁ,article,ai)ti/an,αἰτία,noun,e)zhtou=men,ζητέω,verb,,,,,,,,,,,,,γίγνομαι,verb,ταχέως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,dh\,δή,particle,pneu=ma,πνεῦμα,noun,th=s,ὁ,article,sukh=s,a)/peisin,i)sxuro\n,ἰσχυρός,adjective,kai\,καί,conjunction,sfodro/n,σφοδρός,adjective,h(/,ὅς,pronoun,t',τε,particle,o)/yis,ὄψις,noun,e)kmarturei=,ἐκμαρτυρέω,verb,kai\,καί,conjunction,to\,ὁ,article,peri\,περί,preposition,tw=n,ὁ,article,tau/rwn,ταῦρος,noun,lego/menon,λέγω,verb,w(s,ὡς,conjunction,συκῆ,noun,ἄπειμι,verb,a)/ra,ἄρα,particle,sukh=|,συκῆ,noun,prosdeqei\s,προσδέω,verb,o(,ὁ,article,xalepw/tatos,χαλεπός,adjective,h(suxi/an,ἡσυχία,noun,a)/gei,ἄγω,verb,kai\,καί,conjunction,yau/sews,ψαῦσις,noun,a)ne/xetai,ἀνέχω,verb,kai\,καί,conjunction,o(/lws,ὅλος,adjective,a)fi/hsi,ἀφίημι,verb,to\n,ὁ,article,qumo\n,θυμός,noun,w(/sper,ὥσπερ,adverb,a)pomaraino/menon,ἀπομαραίνομαι,verb,th\n,ὁ,article,de\,δέ,particle,plei/sthn,πλεῖστος,adjective,ai)ti/an,αἰτία,noun,kai\,καί,conjunction,du/namin,δύναμις,adjective,h(,ὁ,article,drimu/ths,δριμύτης,noun,ei)=xe,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,futo\n,φυτόν,noun,a(pa/ntwn,ἅπας,adjective,o)pwde/staton,,,w(/ste,kai\,to\,ὁ,article,su=kon,σῦκον,noun,au)to\,αὐτός,pronoun,kai\,καί,conjunction,to\,ὁ,article,cu/lon,ξύλον,adjective,kai\,καί,conjunction,to\,ὁ,article,qri=on,θρῖον,noun,a)napeplh=sqai,ἀναπίμπλημι,verb,,,,,,,,,,,,,ὥστε,conjunction,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
