word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS
h)/reto,αἴρω,verb,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,o(/,ὅς,pronoun,ti,τις,pronoun,sitoi=to,σιτέομαι,verb,o(,ὁ,article,de\,δέ,particle,galaktofagw=,γαλακτοφαγέω,verb,e)/fh,φημί,verb,to\n,ὁ,article,plei/w,πλέως,adjective,tou=,ὁ,article,xro/nou,χρόνος,noun,kai/,καί,conjunction,me,ἐγώ,pronoun,bo/skousin,βόσκω,verb,ai)=ge/s,αἴξ,adjective,te,τε,particle,kai\,καί,conjunction,poime/nes,ποιμήν,noun,tw=n,ὁ,article,te,τε,particle,bow=n,βόα,noun,kai\,καί,conjunction,tw=n,ὁ,article,i(/ppwn,ἵππος,noun,ai(,ὁ,article,toka/des,τοκάς,noun,e)kdi/dotai,ἐκδίδωμι,verb,de/,δέ,particle,ti,τις,pronoun,kai\,καί,conjunction,qhlh=s,θηλάζω,verb,o)/nwn,ὄνος,noun,ga/la,γάλα,noun,eu)/poto/n,εὔποτος,adjective,te,τε,particle,kai\,kou=fon,κοῦφος,adjective,e)peida\n,ἐπειδάν,conjunction,de\,δέ,particle,a)lfi/tois,ἄλφιτον,noun,prosba/llw,προσδαίω,verb,de/ka,δέκα,verb,sitou=mai,σιτέομαι,verb,xoi/nikas,χοῖνιξ,noun,kai\,καί,conjunction,cumfe/rousi/,συμφέρω,verb,καί,conjunction,moi,ἐγώ,pronoun,to\n,ὁ,article,e)/ranon,ἔρανος,noun,tou=ton,οὗτος,pronoun,gewrgoi\,γεωργός,adjective,*maraqw/nioi/,Μαραθώνιος,proper,te,τε,particle,kai\,καί,conjunction,*boiw/tioi,Βοιώτιος,proper,oi(/,ἕ,pronoun,me,ἐγώ,pronoun,kai\,καί,conjunction,*)agaqi/wna,,,e)ponoma/zousin,ἐπονομάζω,verb,e)peidh\,ἐπεί,conjunction,kai\,καί,conjunction,eu)cu/mbolos,εὐσύμβολος,adjective,au)toi=s,αὐτός,pronoun,fai/nomai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,dh\,δή,particle,glw=ttan,γλῶσσα,noun,e)/fh,φημί,verb,o(,ὁ,article,*(hrw/dhs,Ἡρώδης,proper,pw=s,πῶς,adverb,e)paideu/qhs,παιδεύω,verb,kai\,καί,conjunction,u(po\,ὑπό,preposition,ti/nwn,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,moi,ἐγώ,pronoun,tw=n,ὁ,article,a)paideu/twn,ἀπαίδευτος,adjective,fai/nh|,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,*)agaqi/wn,,,h(,ὁ,article,mesogei/a,μεσόγεια,noun,e)/fh,φημί,verb,th=s,ὁ,article,*)attikh=s,Ἀττικός,adjective,a)gaqo\n,ἀγαθός,adjective,didaskalei=on,διδασκαλεῖον,noun,a)ndri\,ἀνδρίς,noun,boulome/nw|,βούλομαι,verb,diale/gesqai,διαλέγω,verb,oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,a)/stei,ἄστυ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,misqou=,μισθός,noun,dexo/menoi,δέχομαι,verb,*qra/|kia,Θράκιος,proper,kai\,καί,conjunction,*pontika\,Ποντικός,adjective,meira/kia,μειράκιον,noun,kai\,καί,conjunction,e)c,ἐκ,preposition,a)/llwn,ἄλλος,adjective,e)qnw=n,ἔθνος,adjective,barba/rwn,βάρβαρος,adjective,cunerruhko/ta,συρρέω,verb,parafqei/rontai,παραφθείρω,verb,par',παρά,preposition,au)tw=n,αὐτός,pronoun,th\n,ὁ,article,fwnh\n,φωνή,noun,ma=llon,μᾶλλον,adverb,h)\,cumba/llontai/,συμβάλλω,verb,ti,τις,pronoun,au)toi=s,αὐτός,pronoun,e)s,εἰς,preposition,eu)glwtti/an,εὐγλωσσία,noun,h(,ὁ,article,mesogei/a,μεσόγεια,noun,de\,δέ,particle,a)/miktos,ἄμικτος,adjective,barba/rois,βάρβαρος,adjective,ἠέ,conjunction,ou)=sa,εἰμί,verb,u(giai/nei,ὑγιαίνω,verb,au)toi=s,αὐτός,pronoun,h(,ὁ,article,fwnh\,φωνή,noun,kai\,καί,conjunction,h(,ὁ,article,glw=tta,γλῶσσα,noun,th\n,ὁ,article,a)/kran,ἄκρος,adjective,*)atqi/da,Ἀτθίς,proper,a)poya/llei,ἀποψάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panhgu/rei,πανήγυρις,noun,de\,δέ,particle,h)=,ἦ,adverb,d',δέ,particle,o(,ὁ,article,*(hrw/dhs,Ἡρώδης,proper,pare/tuxes,παρατυγχάνω,verb,kai\,καί,conjunction,o(,ὁ,article,*)agaqi/wn,,,th=|,ὁ,article,ge,γε,particle,*puqoi=,Πυθοῖ,adverb,e)/fh,φημί,verb,ou)k,οὐ,adverb,e)pimignu\s,ἐπιμίγνυμι,verb,tw=|,ὁ,article,o(mi/lw|,ὅμιλος,noun,a)ll',ἀλλά,adverb,e)k,ἐκ,preposition,periwph=s,περιωπή,noun,tou=,ὁ,article,*parnasou=,Παρνασός,proper,a)kou/wn,ἀκούω,verb,tw=n,ὁ,article,th=s,ὁ,article,mousikh=s,μουσική,noun,a)gwnistw=n,ἀγωνιστής,noun,o(/te,ὅτε,conjunction,*pamme/nhs,Παμμένης,proper,e)pi\,ἐπί,preposition,tragw|di/a|,τραγῳδία,noun,e)qauma/sqh,θαυμάζω,verb,kai/,καί,conjunction,moi,ἐγώ,pronoun,e)/docan,δοκέω,verb,oi(,ὁ,article,sofoi\,σοφός,adjective,*(/ellhnes,ou),οὐ,adverb,xrhsto\n,χρηστός,adjective,pra=gma,πρᾶγμα,noun,e)rga/zesqai,ἐργάζομαι,verb,ta\,ὁ,article,tw=n,ὁ,article,*pelopidw=n,Πελοπίδης,proper,kai\,καί,conjunction,ta\,ὁ,article,tw=n,ὁ,article,Ἕλλην,proper,*labdakidw=n,Λαβδακίδαι,proper,kaka\,κακός,adjective,cu\n,σύν,preposition,h(donh=|,ἡδονά,noun,a)kou/ontes,ἀκούω,verb,cu/mbouloi,σύμβουλος,noun,ga\r,γάρ,particle,sxetli/wn,σχέτλιος,adjective,e)/rgwn,ἔργον,noun,mu=qoi,μῦθος,noun,mh\,μή,conjunction,a)pistou/menoi,ἀπιστέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filosofou=nta,φιλοσοφέω,verb,de\,δέ,particle,au)to\n,αὐτός,pronoun,i)dw\n,εἶδον,verb,o(,ὁ,article,*(hrw/dhs,Ἡρώδης,proper,h)/reto,αἴρω,verb,kai\,καί,conjunction,peri\,περί,preposition,th=s,ὁ,article,gumnikh=s,γυμνικός,adjective,a)gwni/as,ἀγωνία,noun,o(/pws,ὅπως,conjunction,gignw/skoi,γιγνώσκω,verb,kai\,καί,conjunction,o(\s,ὅς,pronoun,e)kei/nwn,ἐκεῖνος,pronoun,e)/fh,φημί,verb,katagelw=,καταγελάω,verb,ma=llon,μᾶλλον,adverb,o(rw=n,ὁράω,verb,tou\s,ὁ,article,a)nqrw/pous,ἄνθρωπος,noun,diagwnizome/nous,διαγωνίζομαι,verb,a)llh/lois,ἀλλήλων,pronoun,pagkra/tion,παγκράτιον,noun,kai\,καί,conjunction,pugmh\n,πυγμή,noun,kai\,καί,conjunction,dro/mon,δρόμος,noun,kai\,καί,conjunction,pa/lhn,πάλα,noun,kai\,καί,conjunction,stefanoume/nous,στεφανόω,verb,u(pe\r,ὑπέρ,preposition,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefanou/sqw,στεφανόω,verb,de\,δέ,particle,o(,ὁ,article,me\n,μέν,particle,dromiko\s,δρομικός,adjective,a)qlhth\s,ἀθλητής,adjective,e)/lafon,ἔλαφος,noun,parelqw\n,παρέρχομαι,verb,h)\,ἠέ,conjunction,i(/ppon,ἵππος,noun,o(,ὁ,article,de\,δέ,particle,ta\,ὁ,article,baru/tera,βαρύς,adjective,a)skw=n,ἄσκη,noun,tau/rw|,ταῦρος,noun,sumplakei\s,συμπλέκω,verb,h)\,ἠέ,conjunction,a)/rktw|,ἄρκτος,noun,o(\,ὅς,pronoun,e)gw\,ἐγώ,pronoun,o(shme/rai,ὁσημέραι,adverb,pra/ttw,πράσσω,verb,me/gan,μέγας,adverb,a)=qlon,ἆθλον,noun,a)fh|rhme/nhs,ἀφαιρέω,verb,moi,ἐγώ,pronoun,th=s,ὁ,article,tu/xhs,τύχη,noun,e)pei\,ἐπεί,conjunction,mhke/ti,μηκέτι,adverb,bo/skei,βόσκω,verb,le/ontas,λέων,noun,*)akarnani/a,Ἀκαρνανίη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gasqei\s,ἄγαμαι,verb,ou)=n,οὖν,particle,o(,ὁ,article,*(hrw/dhs,Ἡρώδης,proper,e)dei=to,δέομαι,verb,au)tou=,αὐτός,pronoun,cussith=sai/,συσσιτέω,verb,oi(,ἕ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,*)agaqi/wn,,,au)/rion,αὔριον,adverb,e)/fh,φημί,verb,a)fi/comai/,ἀφίζω,verb,soi,σύ,pronoun,kata\,κατά,preposition,meshmbri/an,μεσημβρία,noun,e)s,εἰς,preposition,to\,ὁ,article,tou=,ὁ,article,*kanw/bou,Κάνωβος,proper,i(ero/n,ἱερόν,noun,e)/stw,εἰμί,verb,de/,δέ,particle,soi,σύ,pronoun,krath\r,κρατήρ,noun,o(,ὁ,article,me/gistos,μέγας,adverb,tw=n,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,i(erw=|,ἱερόν,noun,ga/laktos,γάλα,noun,ple/ws,πλέος,adjective,o(\,ὅς,pronoun,mh\,μή,conjunction,gunh\,γυνή,noun,h)/melcen,ἀμέλγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)fi/keto,ἀφικνέομαι,verb,me\n,μέν,particle,e)s,εἰς,preposition,th\n,ὁ,article,u(sterai/an,ὑστεραῖος,adjective,kaq',κατά,preposition,o(\n,ὅς,pronoun,w(molo/ghse,ὁμολογέω,verb,kairo/n,καιρός,noun,th\n,ὁ,article,de\,δέ,particle,r(i=na,ῥίς,noun,e)rei/sas,ἐρείδω,verb,e)s,εἰς,preposition,to\n,ὁ,article,krath=ra,κρατήρ,noun,ou),οὐ,adverb,kaqaro\n,καθαρός,adjective,e)/fh,φημί,verb,to\,ὁ,article,ga/la,γάλα,noun,prosba/llei,προσδαίω,verb,ga/r,γάρ,particle,me,ἐγώ,pronoun,xei\r,χείρ,noun,gunaiko/s,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)pw\n,εἶπον,verb,tau=ta,οὗτος,pronoun,a)ph=lqe,ἀπέρχομαι,verb,mh\,μή,conjunction,e)pispasa/menos,ἐπισπάω,verb,tou=,ὁ,article,ga/laktos,γάλα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pisth/sas,ἐφίστημι,verb,ou)=n,οὖν,particle,o(,ὁ,article,*(hrw/dhs,Ἡρώδης,proper,tw=|,ὁ,article,peri\,περί,preposition,th=s,ὁ,article,gunaiko\s,γυνή,noun,lo/gw|,λόγος,noun,e)/pemyen,πέμπω,verb,e)s,εἰς,preposition,ta\,ὁ,article,e)pau/lia,ἐπαύλιον,noun,tou\s,ὁ,article,e)piskeyome/nous,ἐπισκέπτομαι,verb,ta)lhqe/s,ἀληθής,adjective,kai\,καί,conjunction,maqw\n,μανθάνω,verb,au)to\,αὐτός,pronoun,ou(/tws,οὕτως,adverb,e)/xon,ἔχω,verb,cunh=ken,συνήκω,verb,w(s,ὡς,conjunction,daimoni/a,δαιμόνιος,adjective,fu/sis,φύσις,noun,ei)/h,ἀίω,verb,peri\,περί,preposition,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
