word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS
e(/loi,αἱρέω,verb,*mene/lan,Μενέλαος,proper,ktanw\n,κτείνω,verb,d',δέ,particle,*)agamemno/nion,Ἀγαμεμνόνεος,proper,kra=t',κράς,verb,e)ne/gkoi,φέρω,verb,*(ele/na|,Ἑλένη,proper,kako/gambron,κακόγαμβρος,adjective,e)s,εἰς,preposition,xe/ras,χείρ,noun,go/on,γόος,noun,o(\s,ὅς,pronoun,e)pi\,ἐπί,preposition,po/lin,πόλις,adjective,o(\s,ὅς,pronoun,e)pi\,ἐπί,preposition,ga=n,γῆ,noun,*troi/+an,Τροία,proper,xilio/naun,χιλιόναυς,noun,h)/luq',ἔρχομαι,verb,e)/xwn,stratei/an,στρατεία,adjective,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/nac,ἄναξ,noun,toiou/twn,τοιοῦτος,adjective,despo/taisin,δεσπότης,adjective,a)/ggelos,ἄγγελος,noun,ei)/hn,εἰμί,verb,to\,ὁ,article,loipo\n,λοιπός,adjective,oi(=a/,οἷος,adjective,soi,σύ,pronoun,fe/rw,φέρω,verb,maqei=n,μανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,po/ll',πολύς,adjective,a)grw/tais,,,skaia\,σκαιός,adjective,pro/skeitai,πρόσκειμαι,verb,freni/,φρήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,su\,σύ,pronoun,poi/mnas,ποίμνη,noun,despo/tais,δεσπότης,adjective,teuxesfo/rois,τευχεσφόρος,adjective,h(/kein,ἥκω,verb,e)/oikas,ἔοικα,verb,a)ggelw=n,ἀγγέλλω,verb,i(/n',ἵνα,conjunction,ou),οὐ,adverb,pre/pei,πρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,oi)=sqa,οἶδα,verb,dw=ma,δῶμα,noun,tou)mo\n,ἐμός,adjective,h)\,ἠέ,conjunction,qro/nous,θρόνος,noun,patro/s,πατήρ,noun,oi(=,ἕ,pronoun,xrh=n,χράω,verb,gegwnei=n,γεγωνέω,verb,s',σύ,pronoun,eu)tuxou=nta,εὐτυχέω,verb,poi/mnia,ποίμνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skaioi\,σκαιός,adjective,both=re/s,βοτήρ,noun,e)smen,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)/llws,ἄλλως,adverb,le/gw,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\n,οὐδείς,pronoun,h(=sson,ἥσσων,adverb,soi,σύ,pronoun,fe/rw,φέρω,verb,kednou\s,κεδνός,adjective,lo/gous,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pau=sai,παύω,verb,le/gwn,λέγω,verb,moi,ἐγώ,pronoun,ta\s,ὁ,article,prosaulei/ous,προσαύλειος,adjective,tu/xas,τύχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/xas,μάχη,noun,pro\,πρό,preposition,xeirw=n,χείρ,noun,kai\,καί,conjunction,do/rh,δόρυ,noun,basta/zomen,βαστάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiau=ta,τοιοῦτος,adjective,ka)gw\,ἐγώ,pronoun,shmanw=n,σημαίνω,verb,e)lh/luqa,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nh\r,ἀνήρ,noun,ga\r,γάρ,particle,a)lkh=s,ἀλκή,noun,muri/as,μυρίος,adjective,strathlatw=n,στρατηλάτης,adjective,stei/xei,στείχω,verb,fi/los,φίλος,adjective,soi\,σύ,pronoun,su/mmaxo/s,σύμμαχος,adjective,te,τε,particle,th=|de,ὅδε,pronoun,gh=|,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi/as,ποῖος,adjective,patrw/|as,πατρῷος,adjective,gh=s,γῆ,noun,e)rhmw/sas,ἐρημάζω,verb,pe/don,πέδον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patro\s,πατήρ,noun,de\,δέ,particle,*strumo/nos,Στρυμών,proper,kiklh/sketai,κικλήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rh=son,,,tiqe/nt',τίθημι,verb,e)/lecas,λέγω,verb,e)n,ἐν,preposition,*troi/a|,Τροία,proper,po/da,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo/gou,λόγος,noun,de\,δέ,particle,di\s,δίς,adverb,to/sou,τόσος,adjective,m',ἐγώ,pronoun,e)kou/fisas,κουφίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pw=s,πῶς,adverb,pro\s,πρός,preposition,*)/idhs,Ἴδη,proper,o)rga/das,ὀργάς,noun,poreu/etai,πορεύω,verb,plagxqei\s,πλάζω,verb,platei/as,πλατεῖα,noun,pedia/dos,πεδιάς,adjective,q',τε,particle,a(macitou=,ἁμαξιτός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,oi)=d',οἶδα,verb,a)kribw=s,ἀκριβῶς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)ka/sai,εἰκάζω,verb,ge,γε,particle,mh\n,μήν,particle,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nukto\s,νύξ,adjective,ga\r,γάρ,particle,ou)/ti,οὔτι,adverb,fau=lon,φαῦλος,adjective,e)mbalei=n,ἐμβάλλω,verb,strato/n,στρατός,noun,klu/onta,κλύω,verb,plh/rh,πλήρης,adverb,pedi/a,πεδίον,noun,polemi/as,πολέμιος,adjective,xero/s,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo/bon,φόβος,noun,d',δέ,particle,a)grw/stais,ἀγρότης,noun,oi(\,ἕ,pronoun,kat',κατά,preposition,*)idai=on,Ἰδαῖος,proper,le/pas,λέπας,noun,oi)kou=men,οἰκέω,verb,au)to/rrizon,αὐτόρριζος,adjective,e(sti/an,ἑστία,noun,xqono/s,χθών,noun,pare/sxe,παρέχω,verb,drumo\n,δρυμός,noun,nukto\s,νύξ,adjective,e)/nqhron,ἔνθηρος,adjective,molw/n,βλώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollh=|,πολύς,adjective,ga\r,γάρ,particle,h)xh=|,ἠχή,noun,*qrh/|kios,,,r(e/wn,ῥέω,verb,strato\s,στρατός,noun,e)/steixe,στείχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa/mbei,θάμβος,noun,d',δέ,particle,e)kplage/ntes,ἐκπλάσσω,verb,i(/emen,ἵημι,verb,poi/mnas,ποίμνη,noun,pro\s,πρός,preposition,a)/kras,ἄκρος,adjective,mh/,μή,conjunction,tis,τις,pronoun,*)argei/wn,Ἀργᾶς,proper,mo/lh|,βλώσκω,verb,lehlath/swn,λεηλατέω,verb,kai\,καί,conjunction,sa\,σός,adjective,porqh/swn,πορθέω,verb,staqma/,σταθμόν,noun,pri\n,πρίν,adverb,dh\,δή,particle,di',διά,preposition,w)/twn,ἄατος,adjective,gh=run,γῆρυς,noun,ou)x,*(ellhnikh\n,Ἑλληνικός,adjective,οὐ,adverb,e)deca/mesqa,δέχομαι,verb,kai\,καί,conjunction,mete/sthmen,μεθίστημι,verb,fo/bou,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stei/xwn,στείχω,verb,d',δέ,particle,a)/naktos,ἄναξ,noun,proucereunhta\s,προεξερευνητής,noun,o(dou=,ὁδός,adjective,a)nisto/rhsa,ἀνιστορέω,verb,*qrh|ki/ois,,,prosfqe/gmasi,πρόσφθεγμα,noun,*ti/s,τίς,pronoun,o(,ὁ,article,strathgo\s,στρατηγός,noun,kai\,καί,conjunction,ti/nos,τίς,pronoun,keklhme/nos,καλέω,verb,stei/xei,στείχω,verb,pro\s,πρός,preposition,a)/stu,ἄστυ,noun,*priami/daisi,Πριαμίδης,proper,su/mmaxos,σύμμαχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/nt',πᾶς,adjective,a)kou/sas,ἀκέω,verb,w(=n,ὅς,pronoun,e)fie/mhn,ἐφίημι,verb,maqei=n,μανθάνω,verb,e)/sthn,ἵστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rw=,ὁράω,verb,de\,δέ,particle,*(rh=son,,,w(/ste,ὥστε,conjunction,dai/mona,δαίμων,adjective,e(stw=t',ἵστημι,verb,e)n,ἐν,preposition,i(/ppois,ἵππος,noun,*qrh|ki/ois,,,t',τε,particle,o)xh/masi,ὄχημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrush=,χρύσεος,adjective,de\,δέ,particle,pla/stigc,πλάστιγξ,noun,au)xe/na,αὐχήν,noun,zughfo/ron,ζυγηφόρος,adjective,pw/lwn,πῶλος,noun,e)/klh|e,,,xio/nos,χιών,adjective,e)caugeste/rwn,ἐξαυγής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/lth,πέλτη,noun,d',δέ,particle,e)p',ἐπί,preposition,w)/mwn,ὦμος,noun,xrusokollh/tois,χρυσοκόλλητος,adjective,tu/pois,τύπον,noun,e)/lampe,λάμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*gorgw\n,Γοργώ,proper,d',δέ,particle,w(s,ὡς,conjunction,e)p',ἐπί,preposition,ai)gi/dos,αἰγίς,noun,qea=s,θεά,noun,xalkh=,χάλκεος,adjective,metw/pois,μέτωπον,noun,i(ppikoi=si,ἱππικός,adjective,pro/sdetos,πρόσδετος,adjective,polloi=si,πολύς,adjective,su\n,σύν,preposition,kw/dwsin,κώδων,noun,e)ktu/pei,κτυπέω,verb,fo/bon,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stratou=,στρατός,noun,de\,δέ,particle,plh=qos,πλῆθος,noun,ou)d',οὐδέ,particle,a)\n,ἄν,particle,e)n,ἐν,preposition,yh/fou,ψῆφος,noun,lo/gw|,λόγος,noun,qe/sqai,τίθημι,verb,dunai/mhn,δύναμαι,verb,w(s,ὡς,conjunction,a)/platon,ἄπλατος,adjective,h)=n,εἰμί,verb,i)dei=n,εἶδον,verb,polloi\,πολύς,adjective,me\n,μέν,particle,i(pph=s,ἱππεύς,noun,polla\,πολύς,adjective,peltastw=n,πελταστής,noun,te/lh,τέλος,noun,polloi\,πολύς,adjective,d',a)tra/ktwn,ἄτρακτος,noun,δέ,particle,toco/tai,τοξότης,noun,polu\s,πολύς,adjective,d',δέ,particle,o)/xlos,ὄχλος,noun,gumnh\s,γυμνής,noun,o(marth=|,ὁμαρτέω,verb,*qrh|ki/an,Θράκιος,proper,e)/xwn,ἔχω,verb,stolh/n,στολή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toio/sde,τοιόσδε,adjective,*troi/a|,Τροία,proper,su/mmaxos,σύμμαχος,adjective,pa/rest',πάρειμι,verb,a)nh/r,ἀνήρ,noun,o(\n,ὅς,pronoun,ou)/te,οὔτε,adverb,feu/gwn,φεύγω,verb,ou)/q',οὔτε,adverb,u(postaqei\s,ὑφίστημι,verb,dori\,δόρυ,noun,o(,ὁ,article,*phle/ws,Πηλεύς,proper,pai=s,πᾶς,adjective,e)kfugei=n,ἐκφεύγω,verb,dunh/setai,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,poli/tais,πολίτης,noun,eu)staqw=si,εὐσταθέω,verb,dai/mones,δαίμων,adjective,e(/rpei,ἕρπω,verb,kata/nths,κατάντης,adjective,cumfora\,συμφορά,noun,pro\s,πρός,preposition,ta)gaqa/,ἀγαθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollou/s,πολύς,adjective,e)peidh\,ἐπεί,conjunction,tou)mo\n,ἐμός,adjective,eu)tuxei=,εὐτυχέω,verb,do/ru,δόρυ,noun,kai\,καί,conjunction,*zeu\s,Ζεύς,proper,pro\s,πρός,preposition,h(mw=n,ἐγώ,pronoun,e)stin,εἰμί,verb,eu(rh/sw,εὑρίσκω,verb,fi/lous,φῖλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\n,οὐδείς,pronoun,au)tw=n,αὐτός,pronoun,deo/meq',δέομαι,verb,oi(/tines,ὅστις,pronoun,pa/lai,πάλαι,adverb,mh\,μή,conjunction,cumponou=sin,συμπονέω,verb,h(ni/k',ἡνίκα,adverb,e)cw/sths,ἐξώστης,noun,*)/arhs,Ἄρης,proper,e)/qraue,θραύω,verb,lai/fh,λαίφη,noun,th=sde,ὅδε,pronoun,gh=s,γῆ,noun,me/gas,μέγας,adverb,pne/wn,πνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rh=sos,,,d',δέ,particle,e)/deicen,δείκνυμι,verb,oi(=os,οἷος,adjective,h)=n,εἰμί,verb,*troi/a|,Τροία,proper,fi/los,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/kei,ἥκω,verb,ga\r,γάρ,particle,e)s,εἰς,preposition,dai=t',δαίτη,noun,ou),οὐ,adverb,parw\n,πάρειμι,verb,kunhge/tais,κυνηγέτης,noun,ai(rou=si,αἱρέω,verb,lei/an,λεία,noun,ou)de\,οὐδέ,particle,sugkamw\n,συγκάμνω,verb,dori/,δόρυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)rqw=s,ὀρθός,adjective,a)ti/zeis,ἀτίζω,verb,ka)pi/momfos,ἐπίμομφος,adjective,ei)=,εἶμι,verb,fi/lois,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/xou,δέχομαι,verb,de\,δέ,particle,tou\s,ὁ,article,qe/lontas,ἐθέλω,verb,w)felei=n,ὠφελέω,verb,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rkou=men,ἀρκέω,verb,oi(,ἕ,pronoun,sw/|zontes,σώζω,verb,*)/ilion,Ἴλιον,proper,pa/lai,πάλαι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/poiqas,πείθω,verb,h)/dh,ἤδη,adverb,polemi/ous,πολέμιος,adjective,h(|rhke/nai,αἱρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei/cei,δείκνυμι,verb,tou)pio\n,ἔπειμι,verb,se/las,σέλας,adjective,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ra,ὁράω,verb,to\,ὁ,article,me/llon,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
