word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/91/lemma/@_entry,word/91/lemma/@_POS
e)pei\,ἐπεί,conjunction,de\,δέ,particle,o(,ὁ,article,no/mos,νόμος,noun,ou)k,οὐ,adverb,ei)/a,ἀίω,verb,pro\,tou=,ὁ,article,qria/mbou,θρίαμβος,adjective,parelqei=n,παρέρχομαι,verb,ei)s,εἰς,preposition,th\n,ὁ,article,po/lin,πόλις,adjective,e)/pemyen,πέμπω,verb,a)ciw=n,ἀξιάω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,boulh\n,βουλή,noun,a)nabale/sqai,ἀναβάλλω,verb,ta\s,ὁ,article,tw=n,ὁ,article,u(pa/twn,ὕπατος,adjective,a)rxairesi/as,ἀρχαιρεσία,noun,kai\,καί,conjunction,dou=nai,δίδωμι,verb,tau/thn,οὗτος,pronoun,au)tw=|,αὐτός,pronoun,th\n,ὁ,article,xa/rin,χάρις,noun,o(/pws,ὅπως,conjunction,parw\n,πάρειμι,verb,*pei/swni,Πείσων,proper,sunarxairesia/sh|,συναρχαιρεσιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρό,preposition,,,,
*ka/twnos,,,de\,δέ,particle,pro\s,πρός,preposition,th\n,ὁ,article,a)ci/wsin,ἀξίωσις,noun,e)nsta/ntos,ἐνίστημι,verb,ou)k,e)/tuxe,τυγχάνω,verb,tou=,ὁ,article,bouleu/matos,βούλευμα,noun,qauma/sas,θαυμάζω,verb,de\,δέ,particle,th\n,ὁ,article,parrhsi/an,παρρησία,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,to\n,ὁ,article,to/non,τόνος,noun,w(=|,ὅς,pronoun,mo/nos,μόνος,adjective,e)xrh=to,χράομαι,verb,fanerw=s,φανερός,adjective,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,dikai/wn,δίκαιος,adjective,e)pequ/mhsen,ἐπιθυμέω,verb,a(mw=s,ἁμός,adverb,ge/,γε,particle,pws,πως,particle,kth/sasqai,κτάομαι,verb,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,,,,
kai\,καί,conjunction,duei=n,δυάω,verb,ou)sw=n,εἰμί,verb,a)delfidw=n,ἀδελφιδέος,noun,tw=|,ὁ,article,*ka/twni,,,th\n,me\n,μέν,particle,au)to\s,αὐτός,pronoun,e)bou/leto,βούλομαι,verb,labei=n,λαμβάνω,verb,gunai=ka,γυνή,noun,th\n,ὁ,article,de\,δέ,particle,tw=|,ὁ,article,paidi\,παῖς,adjective,sunoiki/sai,συνοικίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,
tou=,ὁ,article,de\,δέ,particle,*ka/twnos,,,u(pidome/nou,ὑπειδόμην,verb,th\n,ὁ,article,pei=ran,πεῖρα,noun,w(s,diafqora\n,διαφθορά,noun,ou)=san,εἰμί,verb,au)tou=,αὐτός,pronoun,tro/pon,τρόπος,noun,tina\,τις,pronoun,dekazome/nou,δεκάζω,verb,dia\,διά,preposition,th=s,ὁ,article,oi)keio/thtos,οἰκειότης,noun,h(/,ὅς,pronoun,te,τε,particle,a)delfh\,ἀδελφή,noun,kai\,καί,conjunction,h(,ὁ,article,gunh\,γυνή,noun,xalepw=s,χαλεπός,adjective,e)/feron,φέρω,verb,ei),εἰ,conjunction,*pomph/i+on,Πομπήιος,proper,*ma/gnon,Μάγνος,proper,a)potri/yetai,ἀποτρίβω,verb,khdesth/n,κηδεστής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,,,,
e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,de\,δέ,particle,boulo/menos,βούλομαι,verb,u(/paton,ὕπατος,adjective,a)podei=cai,ἀποδείκνυμι,verb,*pomph/i+os,*)afra/nion,,,a)rgu/rion,ἀργύριον,adjective,ei)s,εἰς,preposition,ta\s,ὁ,article,fula\s,φυλή,noun,a)nh/lisken,ἀναλίσκω,verb,u(pe\r,ὑπέρ,preposition,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,tou=to,οὗτος,pronoun,katio/ntes,κάτειμι,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,*pomphi/+ou,Πομπήιος,proper,kh/pous,κῆπος,noun,e)la/mbanon,λαμβάνω,verb,w(/ste,ὥστε,conjunction,to\,ὁ,article,pra=gma,πρᾶγμα,noun,peribo/hton,περιβόητος,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,to\n,ὁ,article,*pomph/i+on,Πομπήιος,proper,a)kou/ein,ἀκούω,verb,kakw=s,κακός,adjective,h(=s,ὅς,pronoun,au)to\s,αὐτός,pronoun,a)rxh=s,ἀρχή,noun,e)f',ἐπί,preposition,oi(=s,katw/rqwsen,κατορθόω,verb,w(s,ὡς,conjunction,megi/sths,μέγας,adverb,e)/tuxe,τυγχάνω,verb,tau/thn,οὗτος,pronoun,w)/nion,ὤνιος,adjective,poiou=nta,ποιέω,verb,toi=s,ὁ,article,di',διά,preposition,a)reth=s,ἀρετή,noun,kth/sasqai,κτάομαι,verb,mh\,μή,conjunction,duname/nois,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Πομπήιος,proper,ὅς,pronoun,,
tou/twn,οὗτος,pronoun,me/ntoi,μέντοι,particle,pro\s,πρός,preposition,ta\s,ὁ,article,gunai=kas,γυνή,noun,o(,ὁ,article,*ka/twn,e)/fhse,φημί,verb,tw=n,ὁ,article,o)neidw=n,ὄνειδος,noun,koinwnhte/on,κοινωνητέον,adjective,oi)kei/ois,οἰκεῖος,adjective,*pomphi/+ou,Πομπήιος,proper,genome/nois,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κάτος,adjective,,,,
ai(,ὁ,article,de\,δέ,particle,a)kou/sasai,ἀκούω,verb,sune/gnwsan,συγγιγνώσκω,verb,be/ltion,βελτίων,adverb,au)tw=n,αὐτός,pronoun,e)kei=non,logi/zesqai,λογίζομαι,verb,peri\,περί,preposition,tou=,ὁ,article,pre/pontos,πρέπων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκεῖνος,pronoun,,,,
tou=,ὁ,article,de\,δέ,particle,qria/mbou,θρίαμβος,adjective,tw=|,ὁ,article,mege/qei,μέγεθος,adjective,kai/per,καίπερ,particle,ei)s,h(me/ras,ἡμέρα,noun,du/o,δύο,adjective,merisqe/ntos,μερίζω,verb,o(,ὁ,article,xro/nos,χρόνος,noun,ou)k,οὐ,adverb,e)ch/rkesen,ἐξαρκέω,verb,a)lla\,ἀλλά,adverb,tw=n,ὁ,article,pareskeuasme/nwn,παρασκευάζω,verb,polla\,πολύς,adjective,th=s,ὁ,article,qe/as,θέα,noun,e)ce/pesen,ἐκπίτνω,verb,e(te/ras,ἕτερος,adjective,a)poxrw=nta,ἀποχράω,verb,pomph=s,πομπεύς,noun,a)ci/wma,ἀξίωμα,noun,kai\,καί,conjunction,ko/smos,κόσμος,noun,ei)=nai,εἰμί,verb,gra/mmasi,γράμμα,noun,de\,δέ,particle,prohgoume/nois,προηγέομαι,verb,e)dhlou=to,δηλόω,verb,ta\,ὁ,article,ge/nh,γένος,noun,kaq',κατά,preposition,w(=n,ὅς,pronoun,e)qria/mbeuen,θριαμβεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,
h)=n,εἰμί,verb,de\,δέ,particle,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/ntos,πόντος,noun,*)armeni/a,Ἀρμένιος,proper,*kappadoki/a,Καππαδοκία,proper,*paflagoni/a,,,*mhdi/a,Μηδίη,proper,*kolxi/s,Κόλχος,proper,*)/ibhres,*)albanoi/,,,*suri/a,Σύριος,proper,*kiliki/a,Κίλιξ,proper,*mesopotami/a,Μεσοποταμία,proper,ta\,ὁ,article,peri\,περί,preposition,*foini/khn,Φοινίκη,proper,kai\,καί,conjunction,*palaisti/nhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἴβηρ,proper,,,,
*)ioudai/a,Ἰουδαῖος,proper,*)arabi/a,Ἀράβιος,proper,to\,ὁ,article,peiratiko\n,πειρατικός,adjective,a(/pan,ἅπας,adjective,e)n,ἐν,preposition,gh=|,kai\,καί,conjunction,qala/ssh|,θάλασσα,noun,katapepolemhme/non,καταπολεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γῆ,noun,,,,
e)n,ἐν,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,frou/ria,φρούριον,noun,me\n,μέν,particle,h(lwko/ta,ἁλίσκομαι,verb,xili/wn,ou)k,οὐ,adverb,e)la/ttona,ἐλάσσων,adjective,po/leis,πόλις,adjective,de\,δέ,particle,ou),οὐ,adverb,polu\,πολύς,adjective,tw=n,ὁ,article,e)nakosi/wn,ἐνακόσιοι,adjective,a)pode/ousai,ἀποδέω,verb,peiratikai\,πειρατικός,adjective,de\,δέ,particle,nh=es,ναῦς,noun,o)ktako/siai,ὀκτακόσιοι,adjective,katoiki/ai,κατοικία,noun,de\,δέ,particle,po/lewn,πόλις,adjective,mia=s,εἷς,adjective,de/ousai,δέω,verb,tettara/konta,τεσσαράκοντα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χίλιοι,adjective,,,,
