word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS
*xa/rwn,Χάρων,proper,de\,δέ,particle,th=s,ὁ,article,oi)ki/as,e)gw\,ἐγώ,pronoun,de\,δέ,particle,kai\,καί,conjunction,*qeo/kritos,Θεόκριτος,proper,pa/lin,πάλιν,adverb,pro\s,πρός,preposition,to\n,ὁ,article,*simmi/an,Σιμμίας,proper,e)panh/lqomen,ἐπανέρχομαι,verb,o(/pws,ὅπως,conjunction,tw=|,ὁ,article,*)epameinw/nda|,Ἐπαμεινώνδης,proper,kairo\n,καιρός,noun,labo/ntes,λαμβάνω,verb,οἰκία,noun,e)ntu/xoimen,ἐντυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,h)=san,εἰμί,verb,pro/sw,zhth/sews,ζήτησις,noun,ou)k,οὐ,adverb,a)gennou=s,ἀγεννής,adverb,nh\,νή,preposition,*di/',Δίη,proper,a)ll',ἀλλά,adverb,h(=s,ὅς,pronoun,o)li/gon,ὀλίγος,adjective,e)/mprosqen,ἔμπροσθεν,adverb,oi(,ὁ,article,peri\,περί,preposition,*galaci/dwron,,,kai\,καί,conjunction,*feido/laon,,,πρόσω,adverb,h(/yanto,ἅπτω,verb,diaporou=ntes,διαπορέω,verb,ti/nos,τίς,pronoun,ou)si/as,οὐσία,adjective,kai\,καί,conjunction,duna/mews,δύναμις,adjective,ei)/h,ἀίω,verb,to\,ὁ,article,*swkra/tous,Σωκράτης,proper,lego/menon,λέγω,verb,daimo/nion,δαιμόνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,pro\s,to\n,ὁ,article,*galacidw/rou,,,lo/gon,λόγος,noun,a)ntei=pen,ἀντεῖπον,verb,o(,ὁ,article,*simmi/as,Σιμμίας,proper,ou)k,οὐ,adverb,h)kou/samen,ἀκούω,verb,au)to\s,αὐτός,pronoun,de\,δέ,particle,*swkra/th,Σωκρατέω,verb,me\n,μέν,particle,e)/fh,φημί,verb,peri\,περί,preposition,πρός,preposition,tou/twn,οὗτος,pronoun,e)ro/meno/s,ἔρομαι,verb,pote,ποτέ,particle,mh\,μή,conjunction,tuxei=n,τυγχάνω,verb,a)pokri/sews,ἀπόκρισις,noun,dio\,διό,conjunction,mhd',μηδέ,particle,au)=qis,αὖθις,adverb,e)re/sqai,ἔρομαι,verb,polla/kis,πολλάκις,adverb,d',δέ,particle,au)tw=|,αὐτός,pronoun,paragene/sqai,παραγίγνομαι,verb,tou\s,ὁ,article,me\n,μέν,particle,di',διά,preposition,o)/yews,ὄψις,noun,e)ntuxei=n,ἐντυγχάνω,verb,qei/w|,θεῖος,noun,tini\,τις,pronoun,le/gontas,λέγω,verb,a)lazo/nas,ἀλαζών,noun,h(goume/nw|,ἡγέομαι,verb,toi=s,ὁ,article,d',δέ,particle,a)kou=sai/,ἀκέω,verb,tinos,τις,pronoun,fwnh=s,φωνή,noun,fa/skousi,φάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prose/xonti,προσέχω,verb,to\n,ὁ,article,nou=n,νόος,adjective,kai\,diapunqanome/nw|,διαπυνθάνομαι,verb,meta\,μετά,preposition,spoudh=s,σπουδή,noun,o(/qen,ὅθεν,adverb,h(mi=n,ἐγώ,pronoun,pari/stato,παρίστημι,verb,skopoume/nois,σκοπάω,verb,i)di/a|,ἴδιος,adjective,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,u(ponoei=n,ὑπονοέω,verb,mh/pote,μήποτε,adverb,to\,ὁ,article,*swkra/tous,Σωκράτης,proper,καί,conjunction,daimo/nion,δαιμόνιον,noun,ou)k,οὐ,adverb,o)/yis,ὄψις,noun,a)lla\,ἀλλά,adverb,fwnh=s,φωνή,noun,tinos,τις,pronoun,ai)/sqhsis,αἴσθησις,noun,h)\,ἠέ,conjunction,lo/gou,λόγος,noun,no/hsis,νόησις,adjective,ei)/h,ἀίω,verb,suna/ptontos,συνάπτω,verb,a)to/pw|,ἄτοπος,adjective,tini\,τις,pronoun,tro/pw|,τρόπος,noun,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,kaq',κατά,preposition,u(/pnon,ou)k,οὐ,adverb,e)/sti,εἰμί,verb,fwnh/,φωνή,noun,lo/gwn,λόγος,noun,de/,δέ,particle,tinwn,τις,pronoun,do/cas,δοκέω,verb,kai\,καί,conjunction,noh/seis,νόησις,adjective,lamba/nontes,λαμβάνω,verb,oi)/ontai,οἴομαι,verb,fqeggome/nwn,φθέγγομαι,verb,a)kou/ein,ἀκούω,verb,a)lla\,ἀλλά,adverb,ὕπνον,noun,toi=s,ὁ,article,me\n,μέν,particle,w(s,ὡς,conjunction,a)lhqw=s,ἀληθής,adjective,o)/nar,ὄναρ,noun,h(,ὁ,article,toiau/th,τοιοῦτος,adjective,su/nesis,σύνεσις,noun,gi/gnetai,γίγνομαι,verb,di',διά,preposition,h(suxi/an,ἡσυχία,noun,kai\,καί,conjunction,galh/nhn,γαλήνη,noun,tou=,ὁ,article,sw/matos,σῶμα,adjective,o(/tan,ὅταν,conjunction,kaqeu/dwsi,καθεύδω,verb,mo/lis,μόλις,adverb,e)ph/koon,ἐπήκοος,adjective,e)/xousi,ἔχω,verb,th\n,ὁ,article,yuxh\n,ψυχή,noun,tw=n,ὁ,article,kreitto/nwn,κρείσσων,verb,kai\,καί,conjunction,pepnigme/noi,πνίγω,verb,ge,γε,particle,qoru/bw|,θόρυβος,noun,tw=n,ὁ,article,paqw=n,πάθος,adjective,kai\,καί,conjunction,periagwgh=|,περιαγωγεύς,noun,tw=n,ὁ,article,xreiw=n,χρέος,noun,ei)sakou=sai,εἰσακούω,verb,kai\,καί,conjunction,parasxei=n,παρέχω,verb,th\n,ὁ,article,dia/noian,διάνοια,noun,ou),οὐ,adverb,du/nantai,δύναμαι,verb,toi=s,ὁ,article,dhloume/nois,δηλέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*swkra/tei,Σωκρατέω,verb,d',δέ,particle,o(,ὁ,article,nou=s,kaqaro\s,καθαρός,adjective,w)\n,εἰμί,verb,kai\,καί,conjunction,a)paqh/s,ἀπαθής,adverb,tw=|,ὁ,article,sw/mati,σῶμα,adjective,mikra\,μικρός,adjective,tw=n,ὁ,article,a)nagkai/wn,ἀναγκαῖον,noun,xa/rin,χάρις,noun,katamignu\s,καταμίγνυμι,verb,au(to/n,ἑαυτοῦ,pronoun,eu)afh\s,εὐαφής,adverb,h)=n,εἰμί,verb,νόος,adjective,kai\,καί,conjunction,lepto\s,λεπτός,adjective,u(po\,ὑπό,preposition,tou=,ὁ,article,prospeso/ntos,προσπίτνω,verb,o)ce/ws,ὀξέως,adverb,metabalei=n,μεταβάλλω,verb,to\,ὁ,article,de\,δέ,particle,prospi=pton,προσπίτνω,verb,ou),οὐ,adverb,fqo/ggon,φθόγγος,noun,a)lla\,ἀλλά,adverb,lo/gon,λόγος,noun,a)/n,ἄν,particle,tis,τις,pronoun,ei)ka/seie,εἰκάζω,verb,dai/monos,δαίμων,adjective,a)/neu,ἄνευ,preposition,fwnh=s,φωνή,noun,e)fapto/menon,ἐφάπτω,verb,au)tw=|,αὐτός,pronoun,tw=|,ὁ,article,dhloume/nw|,δηλέομαι,verb,tou=,ὁ,article,noou=ntos,νοέω,verb,plhgh=|,πληγή,noun,ga\r,γάρ,particle,h(,ὁ,article,fwnh\,φωνή,noun,prose/oike,προσέοικα,verb,th=s,ὁ,article,yuxh=s,ψυχή,noun,di',διά,preposition,w)/twn,ἄατος,adjective,bi/a|,βία,adjective,to\n,ὁ,article,lo/gon,λόγος,noun,ei)sdexome/nhs,εἰσδέω,verb,o(/tan,ὅταν,conjunction,a)llh/lois,ἀλλήλων,pronoun,e)ntugxa/nwmen,ἐντυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,tou=,ὁ,article,krei/ttonos,nou=s,νόος,adjective,a)/gei,ἄγω,verb,th\n,ὁ,article,eu)fua=,εὐφυής,adverb,yuxh\n,ψυχή,noun,e)piqigga/nwn,ἐπιθιγγάνω,verb,tw=|,ὁ,article,nohqe/nti,νοέω,verb,plhgh=s,πληγή,noun,mh\,μή,conjunction,deome/nhn,δέομαι,verb,,,,,,,,,,κρείσσων,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e)ndi/dwsin,ἐνδίδωμι,verb,au)tw=|,xalw=nti,χαλάω,verb,kai\,καί,conjunction,suntei/nonti,συντείνω,verb,ta\s,ὁ,article,o(rma/s,ὁρμή,noun,ou),οὐ,adverb,biai/ous,βίαιος,adjective,u(po\,ὑπό,preposition,paqw=n,πάθος,adjective,a)ntiteino/ntwn,ἀντιτείνω,verb,a)ll',ἀλλά,adverb,eu)stro/fous,εὔστροφος,adjective,kai\,καί,conjunction,malaka\s,μαλακός,adjective,αὐτός,pronoun,w(/sper,ὥσπερ,adverb,h(ni/as,ἡνία,noun,e)ndou/sas,ἐνδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,dei=,δέομαι,verb,de\,δέ,particle,qauma/zein,o(rw=ntas,ὁράω,verb,tou=to,οὗτος,pronoun,me\n,μέν,particle,u(po\,ὑπό,preposition,mikroi=s,μικρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,θαυμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/aci,οἴαξ,noun,mega/lwn,μέγας,adverb,periagwga\s,περιαγωγή,noun,o(lka/dwn,tou=to,οὗτος,pronoun,de\,δέ,particle,troxw=n,τροχή,noun,kerameikw=n,κεραμεικός,adjective,di/nhsin,δίνησις,noun,a)/kras,ἄκρος,adjective,parayau/sei,παράψαυσις,noun,xeiro\s,χείρ,noun,o(malw=s,ὁμαλός,adjective,periferome/nwn,περιφέρω,verb,,,,,,,,,,,,,ὁλκάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/yuxa,ἄψυχος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,a)ll',o(/mws,ὅμως,conjunction,troxala\,τροχαλός,adjective,tai=s,ὁ,article,kataskeuai=s,κατασκευή,noun,u(po\,ὑπό,preposition,leio/thtos,λειότης,noun,e)ndi/dwsi,ἐνδίδωμι,verb,pro\s,πρός,preposition,to\,ὁ,article,kinou=n,κινέω,verb,r(oph=s,ῥοπή,noun,genome/nhs,γίγνομαι,verb,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuxh\,ψυχή,noun,d',δέ,particle,a)nqrw/pou,ἄνθρωπος,noun,muri/ais,o(rmai=s,ὁρμή,noun,oi(=on,οἷος,adjective,u(/splhcin,ὕσπληξ,noun,e)ntetame/nh,ἐντείνω,verb,makrw=|,μακρός,adjective,pa/ntwn,πᾶς,adjective,o)rga/nwn,ὄργανον,noun,eu)strofw/tato/n,εὔστροφος,adjective,e)stin,εἰμί,verb,a)/n,ἄν,particle,tis,τις,pronoun,kata\,κατά,preposition,lo/gon,λόγος,noun,a(/pthtai,ἅπτω,verb,μυρίος,adjective,r(oph\n,ῥοπή,noun,labou=sa,λαμβάνω,verb,pro\s,πρός,preposition,to\,ὁ,article,nohqe\n,νοέω,verb,kinei=sqai,κινέω,verb,e)ntau=qa,ἐνταῦθα,adverb,ga\r,γάρ,particle,ei)s,εἰς,preposition,to\,ὁ,article,noou=n,νοέω,verb,ai(,ὁ,article,tw=n,ὁ,article,paqw=n,πάθος,adjective,kai\,καί,conjunction,o(rmw=n,ὁρμή,noun,katatei/nousin,κατατείνω,verb,a)rxai/,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tou,οὗτος,pronoun,de\,δέ,particle,seisqe/ntos,σείω,verb,e(lko/menai,spw=si,ἕπομαι,verb,kai\,καί,conjunction,suntei/nousi,συντείνω,verb,to\n,ὁ,article,a)/nqrwpon,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=|,ὅς,pronoun,kai\,καί,conjunction,ma/lista,μάλιστα,adverb,to\,nohqe\n,νοέω,verb,h(li/khn,ἡλίκος,adjective,e)/xei,ἔχω,verb,r(w/mhn,ῥώμη,noun,katamaqei=n,καταμανθάνω,verb,di/dwsin,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)sta=,ὀστέον,noun,ga\r,γάρ,particle,a)nai/sqhta,ἀναίσθητος,adjective,kai\,neu=ra,νεῦρον,noun,kai\,καί,conjunction,sa/rkes,σάρξ,adjective,u(grw=n,ὑγρός,adjective,peri/pleai,περιπλέω,verb,kai\,καί,conjunction,baru\s,βαρύς,adjective,o(,ὁ,article,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,o)/gkos,ὄγκος,noun,h(suxa/zwn,ἡσυχάζω,verb,kai\,καί,conjunction,kei/menos,κεῖμαι,verb,καί,conjunction,a(/ma,ἅμα,adverb,tw=|,τίς,pronoun,th\n,ὁ,article,yuxh\n,ψυχή,noun,e)n,ἐν,preposition,mnhstei/a|,μνηστεία,noun,bale/sqai,βάλλω,verb,ti,τις,pronoun,kai\,καί,conjunction,pro\s,πρός,preposition,au)to\,αὐτός,pronoun,kinh=sai,κινέω,verb,th\n,ὁ,article,o(rmh/n,ὁρμή,noun,o(/los,ὅλος,adjective,a)nasta\s,ἀνίστημι,verb,kai\,καί,conjunction,suntaqei/s,συντείνω,verb,pa=si,πᾶς,adjective,toi=s,ὁ,article,me/resin,μέρος,noun,oi(=on,οἷος,adjective,e)pterwme/nos,πτερόω,verb,fe/retai,φέρω,verb,pro\s,πρός,preposition,th\n,ὁ,article,pra=cin,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
