word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
ti/,τίς,pronoun,pote,ποτέ,particle,lo/goisin,λόγος,noun,h(,ὁ,article,ce/nh,ξένος,noun,pro\s,πρός,preposition,to\n,ὁ,article,qeo\n,θεός,noun,kruptoi=sin,κρυπτός,adjective,ai)ei\,ἀεί,adverb,loidorou=s',λοιδορέω,verb,ai)ni/ssetai,αἰνίσσομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/toi,ἤτοι,particle,filou=sa/,φιλέω,verb,g',γε,particle,h(=s,ὅς,pronoun,u(/per,ὑπέρ,preposition,manteu/etai,μαντεύομαι,verb,h)\,ἠέ,conjunction,kai/,καί,conjunction,ti,τις,pronoun,sigw=s',σιγάω,verb,w(=n,ὅς,pronoun,siwpa=sqai,σιωπάω,verb,xrew/n,χρεών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,qugatro\s,θυγάτηρ,adjective,th=s,ὁ,article,*)erexqe/ws,Ἐρεχθεύς,proper,ti/,τίς,pronoun,moi,ἐγώ,pronoun,me/lei,μέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosh/kei,προσήκω,verb,g',γε,particle,ou)de/n,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,xruse/ais,χρύσεος,adjective,pro/xoisin,πρόχοος,noun,e)lqw\n,ἔρχομαι,verb,ei)s,εἰς,preposition,a)porranth/ria,ἀπορραντήριον,noun,dro/son,δρόσος,noun,kaqh/sw,καθίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nouqethte/os,νουθετητέος,adjective,de/,δέ,particle,moi,ἐγώ,pronoun,*foi=bos,Φοῖβος,proper,ti/,τίς,pronoun,pa/sxei,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parqe/nous,παρθένος,noun,bi/a|,βία,adjective,gamw=n,γαμέω,verb,prodi/dwsi,προδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pai=das,παῖς,adjective,e)kteknou/menos,ἐκτεκνόω,verb,la/qra|,λάθρῃ,adverb,qnh/|skontas,θνήσκω,verb,a)melei=,ἀμελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,su/,σύ,pronoun,g',γε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)pei\,ἐπεί,conjunction,kratei=s,κρατέω,verb,a)reta\s,ἀρετή,noun,di/wke,διώκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,o(/stis,ὅστις,pronoun,a)\n,ἄν,particle,brotw=n,βροτός,noun,kako\s,κακός,adjective,pefu/kh|,φύω,verb,zhmiou=sin,ζημιόω,verb,oi(,ὁ,article,qeoi/,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ou)=n,οὖν,particle,di/kaion,δίκαιος,adjective,tou\s,ὁ,article,no/mous,νόμος,noun,u(ma=s,σύ,pronoun,brotoi=s,βροτός,noun,gra/yantas,γράφω,verb,au)tou\s,αὐτός,pronoun,a)nomi/an,ἀνομία,noun,o)fliska/nein,ὀφλισκάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,ou),οὐ,adverb,ga\r,γάρ,particle,e)/stai,εἰμί,verb,tw=|,ὁ,article,lo/gw|,λόγος,noun,de\,δέ,particle,xrh/somai,χράω,verb,di/kas,δίκη,adjective,biai/wn,βίαιος,adjective,dw/set',δίδωμι,verb,a)nqrw/pois,ἄνθρωπος,noun,ga/mwn,γάμος,adjective,su\,σύ,pronoun,kai\,καί,conjunction,*poseidw=n,Ποσειδῶν,proper,*zeu/s,Ζεύς,proper,q',τε,particle,o(\s,ὅς,pronoun,ou)ranou=,οὐρανός,noun,kratei=,κρατέω,verb,naou\s,ναός,noun,ti/nontes,τίνω,verb,a)diki/as,ἀδικία,noun,kenw/sete,κενόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,h(dona\s,ἡδονά,noun,ga\r,γάρ,particle,th=s,ὁ,article,promhqi/as,προμήθεια,adjective,pa/ros,πάρος,preposition,speu/dontes,σπεύδω,verb,a)dikei=t',ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)ke/t',οὐκέτι,adverb,a)nqrw/pous,ἄνθρωπος,noun,kakw=s,κακός,adjective,le/gein,λέγω,verb,di/kaion,δίκαιος,adjective,ei),εἰ,conjunction,ta\,τίς,pronoun,tw=n,ὁ,article,qew=n,θέα,noun,kala\,καλός,noun,mimou/meq',μιμέομαι,verb,a)lla\,ἀλλά,adverb,tou\s,ὁ,article,dida/skontas,διδάσκω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se\,σύ,pronoun,ta\n,ὁ,article,w)di/nwn,ὠδίς,adjective,loxia=n,λόχιος,adjective,a)neilei/quian,ἀνειλείθυια,noun,e)ma\n,ἐμός,adjective,*)aqa/nan,Ἀθήνη,proper,i(keteu/w,ἱκετεύω,verb,*promhqei=,Προμηθεύς,proper,*tita=ni,Τιτάν,proper,loxeuqei=san,λοχεύω,verb,kat',κατά,preposition,a)krota/tas,ἄκρος,adjective,korufa=s,κορυφή,noun,*dio/s,Ζεύς,proper,w)=,ὦ,interjection,ma/kaira,μάκαρ,noun,*ni/ka,Νίκη,proper,mo/le,βλώσκω,verb,*pu/qion,Πύθιον,proper,oi)=kon,οἶκος,noun,*)olu/mpou,Ὄλυμπος,proper,xruse/wn,χρύσεος,adjective,qala/mwn,θάλαμος,adjective,ptame/na,πέτομαι,verb,pro\s,πρός,preposition,a)guia/s,ἀγυιά,noun,*foibh/ios,Φοίβειος,proper,e)/nqa,ἔνθα,adverb,ga=s,γῆ,noun,messo/mfalos,,,e(sti/a,ἑστία,noun,para\,παρά,preposition,xoreuome/nw|,,,tri/podi,τρίπους,adjective,manteu/mata,μάντευμα,noun,krai/nei,κραίνω,verb,su\,σύ,pronoun,kai\,καί,conjunction,pai=s,πᾶς,adjective,a(,ὁ,article,*latogenh/s,Λατογενής,proper,du/o,δύο,adjective,qeai\,θεά,noun,du/o,δύο,adjective,parqe/noi,παρθένος,noun,kasi/gnhtai,κασιγνήτη,noun,semnai\,σεμνός,adjective,*foi/bou,Φοῖβος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(keteu/sate,ἱκετεύω,verb,d',δέ,particle,w)=,ὦ,interjection,ko/rai,κόρη,noun,to\,ὁ,article,palaio\n,παλαιός,adjective,*)erexqe/ws,Ἐρεχθεύς,proper,ge/nos,γένος,noun,eu)tekni/as,εὐτεκνία,noun,xroni/ou,χρόνιος,adjective,kaqaroi=s,καθαρός,adjective,manteu/masi,μάντευμα,noun,ku=rsai,κυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(perballou/sas,ὑπερβάλλω,verb,ga\r,γάρ,particle,e)/xei,ἔχω,verb,qnatoi=s,θνητός,adjective,eu)daimoni/as,εὐδαιμονία,noun,a)ki/nhton,ἀκίνητος,adjective,a)forma/n,ἀφορμή,noun,te/knwn,τέκνον,noun,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,karpotro/foi,καρποτρόφος,adjective,la/mpwsin,λάμπω,verb,e)n,ἐν,preposition,qala/mois,θάλαμος,adjective,patri/oisi,πάτριος,adjective,nea/nides,νεᾶνις,noun,h(=bai,ἥβη,noun,diade/ktora,διαδέκτωρ,noun,plou=ton,πλοῦτος,noun,w(s,ὡς,conjunction,e(/contes,ἔχω,verb,e)k,ἐκ,preposition,pate/rwn,πατήρ,noun,e(te/rois,ἕτερος,adjective,e)pi\,ἐπί,preposition,te/knois,τέκνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lka/,ἀλκή,noun,te,τε,particle,ga\r,γάρ,particle,e)n,ἐν,preposition,kakoi=s,κακός,adjective,su/n,σύν,preposition,t',τε,particle,eu)tuxi/ais,εὐτυχία,noun,fi/lon,φίλος,adjective,dori/,δόρυ,noun,te,τε,particle,ga=|,γῆ,noun,patri/a|,πάτριος,adjective,fe/rei,φέρω,verb,swth/rion,σωτήριος,adjective,a)lka/n,ἀλκή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,me\n,μέν,particle,plou/tou,πλοῦτος,noun,te,τε,particle,pa/ros,πάρος,preposition,basilikw=n,βασιλικός,adjective,t',τε,particle,ei)=en,εἰμί,verb,qala/mwn,θάλαμος,adjective,trofai\,τροφή,noun,kh/deioi,κήδειος,adjective,kednw=n,κεδνός,adjective,ge,γε,particle,te/knwn,τέκνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,a)/paida,ἄπαις,noun,d',δέ,particle,a)postugw=,ἀποστυγέω,verb,bi/on,βίος,adjective,w(=|,ὅς,pronoun,te,τε,particle,dokei=,δοκέω,verb,ye/gw,ψέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,de\,δέ,particle,ktea/nwn,κτέανον,noun,metri/wn,μέτριος,adjective,biota=s,βιοτή,noun,eu)/paidos,εὔπαις,noun,e)xoi/man,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*pano\s,Πάν,proper,qakh/mata,θάκημα,noun,kai\,καί,conjunction,parauli/zousa,παραυλίζω,verb,pe/tra,πέτρα,noun,muxw/desi,μυχώδης,adjective,*makrai=s,μακρός,adjective,i(/na,ἵνα,conjunction,xorou\s,χορός,noun,stei/bousi,στείβω,verb,podoi=n,πούς,noun,*)aglau/rou,Ἄγλαυρος,proper,ko/rai,κόρη,noun,tri/gonoi,τρίγονος,adjective,sta/dia,στάδιον,noun,xloera\,χλοερός,adjective,pro\,πρό,preposition,*palla/dos,Παλλάς,proper,naw=n,ναός,noun,suri/ggwn,σῦριγξ,noun,u(p',ὑπό,preposition,ai)o/las,αἰόλος,adjective,i)axa=s,ἰαχή,noun,u(/mnwn,ὕμνος,noun,o(/t',ὅτε,conjunction,a)nali/ois,ἀνάλιος,adjective,suri/zeis,συρίζω,verb,w)=,ὦ,interjection,*pa/n,Πάν,proper,toi=s,ὁ,article,soi=sin,σός,adjective,e)n,ἐν,preposition,a)/ntrois,ἄντρον,noun,i(/na,ἵνα,conjunction,tekou=sa/,τίκτω,verb,tis,τις,pronoun,*foi/bw|,Φοῖβος,proper,parqe/nos,παρθένος,noun,w)=,ὦ,interjection,mele/a,μέλεος,adjective,bre/fos,βρέφος,noun,ptanoi=s,πτηνός,adjective,e)co/risen,ἐξορίζω,verb,qoi/nan,θοίνη,noun,qhrsi/,θήρ,noun,te,τε,particle,foini/an,φοίνιος,adjective,dai=ta,δαίτης,noun,pikrw=n,πικρός,adjective,ga/mwn,γάμος,adjective,u(/brin,ὕβρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/t',οὔτε,adverb,e)pi\,ἐπί,preposition,kerki/sin,κερκίς,noun,ou)/te,οὔτε,adverb,lo/gois,λόγος,noun,fa/tin,φάτις,adjective,a)/ion,ἀίω,verb,eu)tuxi/as,εὐτυχία,noun,mete/xein,μετέχω,verb,qeo/qen,θεόθεν,adverb,te/kna,τέκνον,noun,qnatoi=s,θνητός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/spoloi,πρόσπολος,noun,gunai=kes,γυνή,noun,ai(\,ὅς,pronoun,tw=nd',ὅδε,pronoun,a)mfi\,ἀμφί,preposition,krhpi=das,κρηπίς,noun,do/mwn,δόμος,noun,quodo/kwn,θυοδόκος,adjective,frou/rhm',φρούρημα,noun,e)/xousai,ἔχω,verb,despo/tin,δεσπότις,noun,fula/ssete,φυλάσσω,verb,e)kle/loip',ἐκλείπω,verb,h)/dh,ἤδη,adverb,to\n,ὁ,article,i(ero\n,ἱερός,adjective,tri/poda,τρίπους,adjective,kai\,καί,conjunction,xrhsth/rion,χρηστήριον,noun,*cou=qos,Ξοῦθος,proper,h)\,ἠέ,conjunction,mi/mnei,μίμνω,verb,kat',κατά,preposition,oi)=kon,οἶκος,noun,i(storw=n,ἱστορέω,verb,a)paidi/an,ἀπαιδία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,do/mois,δόμος,noun,e)/st',εἰμί,verb,w)=,ὦ,interjection,ce/n',ξένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/pw,οὔπω,adverb,dw=m',δῶμα,noun,u(perbai/nei,ὑπερβαίνω,verb,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,e)p',ἐπί,preposition,e)co/doisin,ἔξοδος,noun,o)/ntos,εἰμί,verb,tw=nd',ὅδε,pronoun,a)kou/omen,ἀκούω,verb,pulw=n,πύλη,adjective,dou=pon,δοῦπος,noun,e)cio/nta,ἔξειμι,verb,t',τε,particle,h)/dh,ἤδη,adverb,despo/thn,δεσπότης,adjective,o(ra=n,ὁράω,verb,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,te/knon,τέκνον,noun,xai=r',χαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,a)rxh\,ἀρχή,noun,tou=,ὁ,article,lo/gou,λόγος,noun,pre/pousa/,πρέπω,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,eu)=,εὖ,adverb,fro/nei,φρονέω,verb,ge,γε,particle,kai\,καί,conjunction,du/',δύη,adjective,o)/nt',εἰμί,verb,eu)=,εὖ,adverb,pra/comen,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,δίδωμι,verb,xero\s,χείρ,noun,fi/lhma/,φίλημα,noun,moi,ἐγώ,pronoun,sh=s,σός,adjective,sw/mato/s,σῶμα,adjective,t',τε,particle,a)mfiptuxa/s,ἀμφιπτυχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=,εὖ,adverb,fronei=s,φρονέω,verb,me/n,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/,ἠέ,conjunction,s',σύ,pronoun,e)/mhne,μαίνομαι,verb,qeou=,θεός,noun,tis,τις,pronoun,w)=,ὦ,interjection,ce/ne,ξένος,noun,bla/bh,βλάβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
