word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,e)pi/labe,ἐπιλαμβάνω,verb,to\,u(/dwr,ὕδωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,me\n,μέν,particle,e(tai/ra,ἑταίρα,noun,h)=n,tw=|,ὁ,article,boulome/nw|,βούλομαι,verb,kai\,καί,conjunction,ou),gunh\,γυνή,noun,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective,qei/ou,θεῖος,noun,h(\n,ὅς,pronoun,ou(=tos,οὗτος,pronoun,e)gguh=sai,ἐγγυάω,verb,e)kei/nw|,ἐκεῖνος,pronoun,memartu/rhken,μαρτυρέω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,oi)kei/wn,οἰκεῖος,adjective,kai\,καί,conjunction,u(po\,ὑπό,preposition,tw=n,ὁ,article,geito/nwn,γείτων,noun,tw=n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,memartu/rhtai,μαρτυρέω,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,ma/xas,μάχη,noun,kai\,καί,conjunction,kw/mous,kai\,καί,conjunction,a)se/lgeian,ἀσέλγεια,noun,pollh/n,πολύς,adjective,o(po/te,h(,ὁ,article,tou/tou,οὗτος,pronoun,a)delfh\,ἀδελφή,noun,ei)/h,ἀίω,verb,par',παρά,preposition,au)tw=|,αὐτός,pronoun,memarturh/kasi,μαρτυρέω,verb,gi/gnesqai,γίγνομαι,verb,peri\,περί,preposition,au)th=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κῶμος,noun,ὁπότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,ou),οὐ,adverb,dh/,δή,particle,pou/,ge,γε,particle,e)pi\,ἐπί,preposition,gameta\s,γαμετή,noun,gunai=kas,ou)dei\s,οὐδείς,pronoun,a)\n,ἄν,particle,kwma/zein,κωμάζω,verb,tolmh/seien,τολμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πού,adverb,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,ai(,ὁ,article,gametai\,γαμετή,noun,gunai=kes,e)/rxontai,ἔρχομαι,verb,meta\,μετά,preposition,tw=n,ὁ,article,a)ndrw=n,e)pi\,ἐπί,preposition,ta\,ὁ,article,dei=pna,δεῖπνον,noun,ou)de\,οὐδέ,particle,sundeipnei=n,συνδειπνέω,verb,a)ciou=si,ἀξιόω,verb,meta\,μετά,preposition,tw=n,ὁ,article,a)llotri/wn,ἀλλότριος,adjective,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,meta\,μετά,preposition,tw=n,ὁ,article,e)pituxo/ntwn,ἐπιτυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γυνή,noun,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μείς,adjective,tw=n,ὁ,article,ge,memarturhko/twn,μαρτυρέω,verb,ou)deni\,οὐδείς,pronoun,e)piskh/yasqai,ἐπισκήπτω,verb,ou(=toi,h)ci/wsan,ἀξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γε,particle,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,w(s,ὡς,conjunction,a)lhqh=,ἀληθής,adjective,le/gw,a)nagi/gnwske,ἀναγιγνώσκω,verb,pa/lin,πάλιν,adverb,au)toi=s,αὐτός,pronoun,th\n,marturi/an,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λέγω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)na/gnwqi,ἀναγιγνώσκω,verb,dh\,δή,particle,kai\,καί,conjunction,ta\s,peri\,περί,preposition,tw=n,ὁ,article,plhsiasa/ntwn,πλησιάζω,verb,au)th=|,marturi/as,μαρτυρία,noun,i(/na,ἵνα,conjunction,ei)dw=sin,οἶδα,verb,o(/ti,ὅστις,pronoun,e(tai/ra,ἑταίρα,noun,te,τε,particle,h)=n,εἰμί,verb,tou=,ὁ,article,boulome/nou,βούλομαι,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,ou)d',οὐδέ,particle,e)c,ἐκ,preposition,e(no\s,εἷς,adjective,a)/llou,ἄλλος,adjective,fai/netai,φαίνω,verb,tekou=sa,τίκτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nagi/gnwske,ἀναγιγνώσκω,verb,au)toi=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,me\n,μέν,particle,toi/nun,τοίνυν,particle,h)=n,koinh\,κοινός,adjective,tw=|,ὁ,article,boulome/nw|,βούλομαι,verb,h(\n,ou(=tos,οὗτος,pronoun,e)gguh=sai,ἐγγυάω,verb,tw=|,ὁ,article,h(mete/rw|,ἡμέτερος,adjective,qei/w|,θεῖος,noun,memartu/rhke,μαρτυρέω,verb,mnhmoneu/ein,μνημονεύω,verb,xrh\,χρή,verb,u(f',ὑπό,preposition,o(/swn,ὅσος,adjective,u(mi=n,σύ,pronoun,memartu/rhtai,μαρτυρέω,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,ou)deni\,οὐδείς,pronoun,a)/llw|,ἄλλος,adjective,e)gguhqei=sa,ἐγγυάω,verb,ou)de\,οὐδέ,particle,sunoikh/sasa,συνοικέω,verb,fai/netai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeyw/meqa,σκέπτομαι,verb,de\,δέ,particle,kai\,καί,conjunction,e)c,w(=n,ὅς,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,u(ponoh/seien,e)ggu/hn,ἐγγύα,noun,gene/sqai,γίγνομαι,verb,toiau/ths,τοιοῦτος,adjective,gunaiko/s,γυνή,noun,ei),εἰ,conjunction,a)/ra,ἄρα,particle,kai\,καί,conjunction,tw=|,ὁ,article,h(mete/rw|,ἡμέτερος,adjective,qei/w|,θεῖος,noun,toiou=to/n,τοιοῦτος,adjective,ti,τις,pronoun,sumbe/bhken,συμβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,ὑπονοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,ga/r,γάρ,particle,tines,τις,pronoun,ne/oi,a)/nqrwpoi,ἄνθρωπος,noun,e)piqumh/santes,ἐπιθυμέω,verb,toiou/twn,τοιοῦτος,adjective,gunaikw=n,kai\,καί,conjunction,a)kratw=s,ἀκρατής,adverb,e)/xontes,ἔχω,verb,au(tw=n,ἑαυτοῦ,pronoun,e)pei/sqhsan,πείθω,verb,u(p',ὑπό,preposition,a)noi/as,ἄνοια,noun,ei)s,εἰς,preposition,au(tou\s,ἑαυτοῦ,pronoun,toiou=to/n,τοιοῦτος,adjective,ti,τις,pronoun,e)camartei=n,ἐξαμαρτάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νέος,adjective,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/qen,πόθεν,adverb,ou)=n,οὖν,particle,a)/n,ἄν,particle,tis,safe/steron,σαφής,adverb,gnoi/h,γιγνώσκω,verb,peri\,περί,preposition,tou/twn,h)\,ἠέ,conjunction,e)/k,ἐκ,preposition,te,τε,particle,tw=n,ὁ,article,marturiw=n,μαρτυρία,noun,tw=n,ὁ,article,tou/tois,οὗτος,pronoun,memarturhme/nwn,μαρτυρέω,verb,e)n,ἐν,preposition,th=|,ὁ,article,prote/ra|,πρότερος,adjective,di/kh|,δίκη,adjective,kai\,καί,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,ei)ko/twn,ἔοικα,verb,tw=n,ὁ,article,peri\,περί,preposition,au)to\,αὐτός,pronoun,to\,ὁ,article,pra=gma,πρᾶγμα,noun,skeya/menos,σκέπτομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τις,pronoun,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nqumei=sqe,ἐνθυμέομαι,verb,de\,δέ,particle,th\n,ὁ,article,a)nai/deian,w(=n,ὅς,pronoun,le/gousin,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀναίδεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,e)ggua=n,me/llwn,μέλλω,verb,ei)s,εἰς,preposition,to\n,ὁ,article,trita/lanton,oi)=kon,οἶκος,noun,w(/s,ὡς,conjunction,fhsi,φημί,verb,th\n,ὁ,article,a)delfh/n,ἀδελφή,noun,diapratto/menos,διαπράσσω,verb,thlikau=ta,τηλικοῦτος,adjective,e(/na,ἕνος,adjective,ma/rtura,μάρτυς,noun,parei=nai,πάρειμι,verb,au(tw=|,ἑαυτοῦ,pronoun,*pureti/dhn,,,prosepoih/sato,προσποιέω,verb,kai\,καί,conjunction,tou/tou,οὗτος,pronoun,e)kmarturi/an,ἐκμαρτυρία,noun,e)p',ἐπί,preposition,e)kei/nh|,ἐκεῖνος,pronoun,th=|,ὁ,article,di/kh|,δίκη,adjective,pare/sxonto,παρέχω,verb,ou(=toi,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγγύα,noun,τριτάλαντον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\n,ὅς,pronoun,*pureti/dhs,,,ou)k,οὐ,adverb,a)nade/dektai,au)toi=s,αὐτός,pronoun,ou)de\,οὐδέ,particle,o(mologei=,ὁμολογέω,verb,marturh=sai,ou)de\,οὐδέ,particle,ei)de/nai,οἶδα,verb,tou/twn,οὗτος,pronoun,a)lhqe\s,ἀληθής,adjective,o)\n,εἰμί,verb,ou)de/n,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀναδέχομαι,verb,μαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/ga,μέγας,adverb,de\,δέ,particle,tekmh/rion,τεκμήριον,noun,w(s,perifanw=s,περιφανής,adverb,yeudh=,ψευδής,adverb,th\n,ὁ,article,marturi/an,ou(=toi,οὗτος,pronoun,pare/sxonto,παρέχω,verb,tau/thn,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/ste,οἶδα,verb,ga\r,γάρ,particle,pa/ntes,πᾶς,adjective,w(s,o(/tan,ὅταν,conjunction,me\n,μέν,particle,e)pi\,ἐπί,preposition,prodh/lous,pra/ceis,πρᾶξις,adjective,i)/wmen,εἶμι,verb,a(\s,ὅς,pronoun,dei=,δέομαι,verb,meta\,μετά,preposition,martu/rwn,μάρτυρος,noun,gene/sqai,γίγνομαι,verb,tou\s,ὁ,article,oi)keiota/tous,οἰκεῖος,adjective,kai\,καί,conjunction,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,tugxa/nwmen,τυγχάνω,verb,xrw/menoi,χράομαι,verb,ma/lista,μάλιστα,adverb,tou/tous,οὗτος,pronoun,paralamba/nein,παραλαμβάνω,verb,ei)w/qamen,ἔθω,verb,e)pi\,ἐπί,preposition,ta\s,ὁ,article,pra/ceis,πρᾶξις,adjective,ta\s,ὁ,article,toiau/tas,τοιοῦτος,adjective,tw=n,ὁ,article,de\,δέ,particle,a)dh/lwn,ἄδηλος,adjective,kai\,καί,conjunction,e)cai/fnhs,ἐξαίφνης,adverb,gignome/nwn,γίγνομαι,verb,tou\s,ὁ,article,prostuxo/ntas,προστυγχάνω,verb,e(/kastoi,ἕκαστος,adjective,ma/rturas,μάρτυς,noun,ὡς,conjunction,πρόδηλος,adjective,poiou/meqa,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pi\,ἐπί,preposition,me\n,μέν,particle,tai=s,marturi/ais,μαρτυρία,noun,au)tai=s,αὐτός,pronoun,toi=s,ὁ,article,paragenome/nois,au)toi=s,αὐτός,pronoun,o(poi=oi/,ὁποῖος,adjective,tines,τις,pronoun,a)\n,ἄν,particle,w)=si,εἰμί,verb,tou/tois,οὗτος,pronoun,ma/rtusi,μάρτυς,noun,xrh=sqai,χράομαι,verb,a)nagkai=o/n,ἀναγκαῖος,adjective,e)stin,εἰμί,verb,h(mi=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,παραγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para\,παρά,preposition,de\,δέ,particle,tw=n,ὁ,article,a)sqenou/ntwn,h)\,ἠέ,conjunction,tw=n,ὁ,article,a)podhmei=n,ἀποδημέω,verb,mello/ntwn,o(/tan,ὅταν,conjunction,tis,τις,pronoun,e)kmarturi/an,ἐκμαρτυρία,noun,poih=tai,ποιέω,verb,tou\s,ὁ,article,e)pieikesta/tous,ἐπιεικής,adjective,tw=n,ὁ,article,politw=n,πολίτης,noun,kai\,καί,conjunction,tou\s,ὁ,article,h(mi=n,ἐγώ,pronoun,gnwrimwta/tous,γνώριμος,adjective,e(/kastos,ἕκαστος,adjective,h(mw=n,ἐγώ,pronoun,parakalei=,παρακαλέω,verb,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,ou),οὐ,adverb,meq',μετά,preposition,e(no\s,εἷς,adjective,ou)de\,οὐδέ,particle,meta\,μετά,preposition,duoi=n,δύο,adjective,a)ll',ἀλλά,adverb,w(s,ὡς,conjunction,a)\n,ἄν,particle,meta\,μετά,preposition,plei/stwn,πλεῖστος,adjective,dunw/meqa,δύναμαι,verb,ta\s,ὁ,article,e)kmarturi/as,ἐκμαρτυρία,noun,pa/ntes,πᾶς,adjective,poiou/meqa,ποιέω,verb,ἀσθενέω,verb,μέλλω,verb,i(/na,ἵνα,conjunction,tw=|,ὁ,article,te,τε,particle,e)kmarturh/santi,ἐκμαρτυρέω,verb,mh\,μή,conjunction,e)cei/h,ἔξεστι,verb,u(/steron,ὕστερος,adjective,e)ca/rnw|,ἔξαρνος,adjective,gene/sqai,γίγνομαι,verb,th\n,ὁ,article,marturi/an,μαρτυρία,noun,u(mei=s,σύ,pronoun,te,τε,particle,polloi=s,πολύς,adjective,kai\,καί,conjunction,kaloi=s,καλέω,verb,ka)gaqoi=s,ἀγαθός,adjective,tau)ta\,ταυτός,adjective,marturou=si,μαρτύρομαι,verb,pisteu/oite,πιστεύω,verb,ma=llon,μᾶλλον,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
