word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS
ti/,τίς,pronoun,dh=t',δῆτα,adverb,e)/lecas,λέγω,verb,dou=los,δοῦλος,noun,w)\n,εἰμί,verb,e)mo\s,ἐμός,adjective,to/te,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,lo/gwn,λόγος,noun,eu(rh/maq',εὕρημα,noun,w(/ste,ὥστε,conjunction,mh\,μή,conjunction,qanei=n,θνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,kaku/nh|,,,toi=sde,ὅδε,pronoun,toi=s,ὁ,article,bouleu/masin,βούλευμα,noun,o(\s,ὅς,pronoun,e)c,ἐκ,preposition,e)mou=,ἐγώ,pronoun,me\n,μέν,particle,e)/paqes,πάσχω,verb,oi(=a,οἷος,adjective,fh\|s,φημί,verb,paqei=n,πάσχω,verb,dra=|s,δράω,verb,d',δέ,particle,ou)de\n,οὐδείς,pronoun,h(ma=s,ἐγώ,pronoun,eu)=,εὖ,adverb,kakw=s,κακός,adjective,d',δέ,particle,o(/son,ὅσος,adjective,du/nh|,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)xa/riston,ἀχάριστος,adjective,u(mw=n,σύ,pronoun,spe/rm',σπέρμα,noun,o(/soi,ὅσος,adjective,dhmhgo/rous,δημήγορος,noun,zhlou=te,ζηλόω,verb,tima/s,τιμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,gignw/skoisqe/,γιγνώσκω,verb,moi,ἐγώ,pronoun,oi(\,ἕ,pronoun,tou\s,ὁ,article,fi/lous,φῖλος,noun,bla/ptontes,βλάπτω,verb,ou),οὐ,adverb,fronti/zete,φροντίζω,verb,h)\n,ἐάν,conjunction,toi=si,ὁ,article,polloi=s,πολύς,adjective,pro\s,πρός,preposition,xa/rin,χάρις,noun,le/ghte/,λέγω,verb,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,ti/,τίς,pronoun,dh\,δή,particle,so/fisma,σόφισμα,noun,tou=q',οὗτος,pronoun,h(gou/menoi,ἡγέομαι,verb,e)s,εἰς,preposition,th/nde,ὅδε,pronoun,pai=da,παῖς,adjective,yh=fon,ψῆφος,noun,w(/risan,ὁρίζω,verb,fo/nou,φόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/tera,πότερος,adjective,to\,ὁ,article,xrh=n,χράω,verb,sf',σφεῖς,pronoun,e)ph/gag',ἐπάγω,verb,a)nqrwposfagei=n,ἀνθρωποσφαγέω,verb,pro\s,πρός,preposition,tu/mbon,τύμβος,noun,e)/nqa,ἔνθα,adverb,bouqutei=n,βουθυτέω,verb,ma=llon,μᾶλλον,adverb,pre/pei,πρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,tou\s,ὁ,article,ktano/ntas,κτείνω,verb,a)ntapoktei=nai,ἀνταποκτείνω,verb,qe/lwn,ἐθέλω,verb,e)s,εἰς,preposition,th/nd',ὅδε,pronoun,*)axilleu\s,Ἀχιλλεύς,proper,e)ndi/kws,ἔνδικος,adjective,tei/nei,τείνω,verb,fo/non,φόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\n,οὐδείς,pronoun,au)to\n,αὐτός,pronoun,h(/de,ὅδε,pronoun,g',γε,particle,ei)/rgastai,ἐργάζομαι,verb,kako/n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ele/nhn,Ἑλένη,proper,nin,νιν,pronoun,ai)tei=n,αἰτέω,verb,xrh=n,χράω,verb,ta/fw|,τάφος,noun,prosfa/gmata,πρόσφαγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei/nh,ἐκεῖνος,pronoun,ga\r,γάρ,particle,w)/lese/n,ὄλλυμι,verb,nin,νιν,pronoun,e)s,εἰς,preposition,*troi/an,Τροία,proper,t',τε,particle,a)/gei,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,ai)xmalw/twn,αἰχμάλωτος,adjective,xrh/,χρή,verb,tin',τις,pronoun,e)/kkriton,ἔκκριτος,adjective,qanei=n,θνήσκω,verb,ka/llei,κάλλος,noun,q',τε,particle,u(perfe/rousan,ὑπερφέρω,verb,ou)x,οὐ,adverb,h(mw=n,ἐγώ,pronoun,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,*tundari\s,Τυνδάρεος,proper,ga\r,γάρ,particle,ei)=dos,εἶδος,noun,e)kprepesta/th,ἐκπρεπής,adverb,a)dikou=sa/,ἀδικέω,verb,q',τε,particle,h(mw=n,ἐγώ,pronoun,ou)de\n,οὐδείς,pronoun,h(=sson,ἥσσων,adverb,hu(re/qh,εὑρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,me\n,μέν,particle,dikai/w|,δίκαιος,adjective,to/nd',ὅδε,pronoun,a(millw=mai,ἁμιλλάομαι,verb,lo/gon,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,d',δέ,particle,a)ntidou=nai,ἀντιδίδωμι,verb,dei=,δέομαι,verb,s',σύ,pronoun,a)paitou/shs,ἀπαιτέω,verb,e)mou=,ἐγώ,pronoun,a)/kouson,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/yw,ἅπτω,verb,th=s,ὁ,article,e)mh=s,ἐμός,adjective,w(s,ὡς,conjunction,fh/|s,φημί,verb,xero\s,χείρ,noun,kai\,καί,conjunction,th=sde,ὅδε,pronoun,grai/as,γραῖος,adjective,prospi/tnwn,προσπίτνω,verb,parhi/dos,παρηίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nqa/ptomai/,ἀνθάπτομαι,verb,sou,σύ,pronoun,tw=nde,ὅδε,pronoun,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,e)gw\,ἐγώ,pronoun,xa/rin,χάρις,noun,t',τε,particle,a)paitw=,ἀπαιτέω,verb,th\n,ὁ,article,to/q',τόθι,adverb,i(keteu/w,ἱκετεύω,verb,te/,τε,particle,se,σύ,pronoun,mh/,μή,conjunction,mou,ἐγώ,pronoun,to\,ὁ,article,te/knon,τέκνον,noun,e)k,ἐκ,preposition,xerw=n,χείρ,noun,a)pospa/sh|s,ἀποσπάω,verb,mhde\,μηδέ,particle,kta/nhte,κτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,teqnhko/twn,θνήσκω,verb,a(/lis,ἅλις,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/th|,οὗτος,pronoun,ge/ghqa,γηθέω,verb,ka)pilh/qomai,ἐπιλανθάνομαι,verb,kakw=n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/d',ὅδε,pronoun,a)nti\,ἀντί,preposition,pollw=n,πολύς,adjective,e)sti/,εἰμί,verb,moi,ἐγώ,pronoun,parayuxh/,παραψυχή,noun,po/lis,πόλις,adjective,tiqh/nh,τιθήνη,noun,ba/ktron,βάκτρον,noun,h(gemw\n,ἡγεμών,noun,o(dou=,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,tou\s,ὁ,article,kratou=ntas,κρατέω,verb,xrh\,χρή,verb,kratei=n,κρατέω,verb,a(\,ὅς,pronoun,mh\,μή,conjunction,xrew/n,χρεών,noun,ou)d',οὐδέ,particle,eu)tuxou=ntas,εὐτυχέω,verb,eu)=,εὖ,adverb,dokei=n,δοκέω,verb,pra/cein,πράσσω,verb,a)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,ga\r,γάρ,particle,h)=,ἦ,adverb,pot',ποτέ,particle,a)lla\,ἀλλά,adverb,nu=n,νῦν,adverb,ou)k,οὐ,adverb,ei)/m',εἰμί,verb,e)/ti,ἔτι,adverb,to\n,ὁ,article,pa/nta,πᾶς,adjective,d',δέ,particle,o)/lbon,ὄλβος,noun,h)=mar,ἦμαρ,noun,e(/n,εἷς,adjective,m',ἐγώ,pronoun,a)fei/leto,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,fi/lon,φίλος,adjective,ge/neion,γένειον,noun,ai)de/sqhti/,αἰδέομαι,verb,me,ἐγώ,pronoun,oi)/ktiron,οἰκτείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lqw\n,ἔρχομαι,verb,d',δέ,particle,ei)s,εἰς,preposition,*)axaiiko\n,Ἀχαιικός,adjective,strato\n,στρατός,noun,parhgo/rhson,παρηγορέω,verb,w(s,ὡς,conjunction,a)poktei/nein,ἀποκτείνω,verb,fqo/nos,φθόνος,noun,gunai=kas,γυνή,noun,a(\s,ὅς,pronoun,to\,ὁ,article,prw=ton,πρότερος,adjective,ou)k,οὐ,adverb,e)ktei/nate,ἐκτείνω,verb,bwmw=n,βωμός,noun,a)pospa/santes,ἀποσπάω,verb,a)ll',ἀλλά,adverb,w)|kti/rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no/mos,νόμος,noun,d',δέ,particle,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,toi=s,ὁ,article,t',τε,particle,e)leuqe/rois,ἐλεύθερος,adjective,i)/sos,ἴσος,adjective,kai\,καί,conjunction,toi=si,ὁ,article,dou/lois,δοῦλος,noun,ai(/matos,αἷμα,noun,kei=tai,κέω,verb,pe/ri,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,a)ci/wma,ἀξίωμα,noun,ka)\n,κἀν,conjunction,kakw=s,κακός,adjective,le/gh|,λέγω,verb,to\,ὁ,article,so\n,σός,adjective,pei/sei,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo/gos,λόγος,noun,ga\r,γάρ,particle,e)/k,ἐκ,preposition,t',τε,particle,a)docou/ntwn,ἀδοξέω,verb,i)w\n,εἶμι,verb,ka)k,ἐκ,preposition,tw=n,ὁ,article,dokou/ntwn,δοκέω,verb,au(to\s,αὐτός,pronoun,ou),οὐ,adverb,tau)to\n,ταυτός,adjective,sqe/nei,σθένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,e)/stin,εἰμί,verb,ou(/tw,οὕτως,adverb,sterro\s,στερρός,adjective,a)nqrw/pou,ἄνθρωπος,noun,fu/sis,φύσις,noun,h(/tis,ὅστις,pronoun,go/wn,γόος,noun,sw=n,σός,adjective,kai\,καί,conjunction,makrw=n,μακρός,adjective,o)durma/twn,ὄδυρμα,noun,klu/ousa,κλύω,verb,qrh/nous,θρῆνος,noun,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)kba/loi,ἐκβάλλω,verb,da/kru,δάκρυον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(eka/bh,Ἑκάβη,proper,dida/skou,διδάσκω,verb,mhde\,μηδέ,particle,tw=|,ὁ,article,qumoume/nw|,θυμόω,verb,to\n,ὁ,article,eu)=,εὖ,adverb,le/gonta,λέγω,verb,dusmenh=,δυσμενής,adverb,poiou=,ποιέω,verb,freno/s,φρήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,to\,ὁ,article,me\n,μέν,particle,so\n,σός,adjective,sw=m',σῶμα,adjective,u(f',ὑπό,preposition,ou(=per,οὗπερ,adverb,eu)tu/xoun,εὐτυχέω,verb,sw/|zein,σώζω,verb,e(/toimo/s,ἑτοῖμος,adjective,ei)mi,εἰμί,verb,kou)k,οὐ,adverb,a)/llws,ἄλλως,adverb,le/gw,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,d',δέ,particle,ei)=pon,εἶπον,verb,ei)s,εἰς,preposition,a(/pantas,ἅπας,adjective,ou)k,οὐ,adverb,a)rnh/somai,ἀρνέομαι,verb,*troi/as,Τροία,proper,a(lou/shs,ἁλίσκομαι,verb,a)ndri\,ἀνδρίς,noun,tw=|,ὁ,article,prw/tw|,πρότερος,adjective,stratou=,στρατός,noun,sh\n,σός,adjective,pai=da,παῖς,adjective,dou=nai,δίδωμι,verb,sfa/gion,σφάγιος,adjective,e)caitoume/nw|,ἐξαιτέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tw=|de,ὅδε,pronoun,ga\r,γάρ,particle,ka/mnousin,κάμνω,verb,ai(,ὁ,article,pollai\,πολύς,adjective,po/leis,πόλις,adjective,o(/tan,ὅταν,conjunction,tis,τις,pronoun,e)sqlo\s,ἐσθλός,adjective,kai\,καί,conjunction,pro/qumos,πρόθυμος,adjective,w)\n,εἰμί,verb,a)nh\r,ἀνήρ,noun,mhde\n,μηδείς,pronoun,fe/rhtai,φέρω,verb,tw=n,ὁ,article,kakio/nwn,κακός,adjective,ple/on,πλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mi=n,ἐγώ,pronoun,d',δέ,particle,*)axilleu\s,Ἀχιλλεύς,proper,a)/cios,ἄξιος,adjective,timh=s,τιμή,noun,gu/nai,γυνή,noun,qanw\n,θνήσκω,verb,u(pe\r,ὑπέρ,preposition,gh=s,γῆ,noun,*(ella/dos,Ἑλλάς,proper,ka/llist',κάλλιστα,adverb,a)nh/r,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,to/d',ὅδε,pronoun,ai)sxro/n,αἰσχρός,adjective,ei),εἰ,conjunction,ble/ponti,βλέπω,verb,me\n,μέν,particle,fi/lw|,φίλος,adjective,xrw/mesq',χράομαι,verb,e)pei\,ἐπεί,conjunction,d',δέ,particle,o)/lwle,ὄλλυμι,verb,mh\,μή,conjunction,xrw/mesq',χράομαι,verb,e)/ti,ἔτι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh=t',δῆτα,adverb,e)rei=,ἐράομαι,verb,tis,τις,pronoun,h)/n,ἐάν,conjunction,tis,τις,pronoun,au)=,αὖ,interjection,fanh=|,φαίνω,verb,stratou=,στρατός,noun,t',τε,particle,a)/qroisis,ἄθροισις,noun,polemi/wn,πολέμιος,adjective,t',τε,particle,a)gwni/a,ἀγωνία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/tera,πότερος,adjective,maxou/meq',μάχομαι,verb,h)\,ἠέ,conjunction,filoyuxh/somen,φιλοψυχέω,verb,to\n,ὁ,article,katqano/nq',καταθνήσκω,verb,o(rw=ntes,ὁράω,verb,ou),οὐ,adverb,timw/menon,τιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,e)/moige,ἐγώ,pronoun,zw=nti,ζάω,verb,me/n,μέν,particle,kaq',κατά,preposition,h(me/ran,ἡμέρα,noun,kei),εἰ,conjunction,smi/kr',μικρός,adjective,e)/xoimi,ἔχω,verb,pa/nt',πᾶς,adjective,a)\n,ἄν,particle,a)rkou/ntws,ἀρκεόντως,adverb,e)/xoi,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tu/mbon,τύμβος,noun,de\,δέ,particle,bouloi/mhn,βούλομαι,verb,a)\n,ἄν,particle,a)ciou/menon,ἀξιόω,verb,to\n,ὁ,article,e)mo\n,ἐμός,adjective,o(ra=sqai,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,makrou=,μακρός,adjective,ga\r,γάρ,particle,h(,ὁ,article,xa/ris,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,oi)ktra\,οἰκτρός,adjective,pa/sxein,πάσχω,verb,fh/|s,φημί,verb,ta/d',ὅδε,pronoun,a)nta/koue/,ἀντακούω,verb,mou,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
