word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS
*ai)gu/ptou,Αἴγυπτος,proper,me\n,μέν,particle,e)/asi,εἰμί,verb,par',παρά,preposition,o)/xqais,ὄχθη,noun,a)glaoka/rpois,ἀγλαόκαρπος,adjective,*nei/lou,Νεῖλος,proper,purofo/roio,πυροφόρος,noun,polusxide/os,πολύσχιστος,adverb,potamoi=o,xio/neoi,χιόνεος,adjective,xroih/n,χροιά,adjective,me/geqos,μέγεθος,adjective,pa/ntwn,πᾶς,adjective,o)/x',ποταμός,noun,ὄχα,adverb,a)/ristoi,ἄριστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fai/hs,φημί,verb,ken,ἄν,particle,kata\,κατά,preposition,gai=an,γαῖα,noun,i)/men,εἶμι,verb,baqute/rmona,βαθυτέρμων,adjective,nh=a,ναῦς,noun,h)/pia,ἤπιος,adjective,de\,δέ,particle,frone/ousi,kai\,καί,conjunction,h)qa/leoi,ἠθαλέος,adjective,mero/pessin,μέροψ,noun,o(/tti,ὅστις,pronoun,brotoi\,φρονέω,verb,βροτός,noun,d',δέ,particle,e)ne/pousin,ἐνέπω,verb,e)nhe/es,ἐνηής,adverb,e)cane/xontai,ἐξανέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,*fru/gioi,Φρύγιος,proper,xroih\n,χροιά,adjective,me\n,μέν,particle,a)riprepe/es,ἀριπρεπής,adjective,tele/qousi,τελέθω,verb,canqoi/,ξανθός,adjective,te,τε,particle,flogeroi/,φλογερός,adjective,te,,,,,,,,,,,,,,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baqei=ai,βαθύς,adjective,d',δέ,particle,au)xe/ni,αὐχήν,noun,sa/rkes,σάρξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfairwto\s,σφαιρωτός,adjective,d',δέ,particle,e)fu/perqe,ἐφύπερθε,adverb,meth/oros,μετεράω,verb,u(/yi,ὕψι,adverb,ko/rumbos,κόρυμβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cei/nh,ξένος,noun,d',δέ,particle,e)n,ἐν,preposition,kera/essi,κέρας,noun,fu/sis,φύσις,noun,kei/noisi,ἐκεῖνος,pronoun,te/tuktai,τεύχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,toi,τοι,particle,kraterh=|sin,κρατερός,adjective,u(pe\r,ὑπέρ,preposition,kefalh=fi,κεφαλή,noun,pe/phge,πήγνυμι,verb,kli/nousin,κλίνω,verb,de\,δέ,particle,ke/rata,kai\,καί,conjunction,a)gkli/nous',ἀνακλίνω,verb,e(ka/terqe,ἑκάτερθε,adverb,,,,,κέρας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw/nuxes,μῶνυξ,noun,*)ao/nioi,,,stikto\n,στικτός,adjective,ge/nos,γένος,noun,oi)oke/rwtes,,,e)/k,ἐκ,preposition,te,τε,particle,me/sou,μέσος,adjective,ke/ras,κέρας,noun,ai)no\n,e)pante/llousi,ἐπανατέλλω,verb,metw/pou,μέτωπον,noun,,,,,,,,αἰνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)armeni/ois,Ἀρμένιον,proper,di/dumon,δίδυμος,adjective,me\n,μέν,particle,a)ta\r,ἀτάρ,particle,ke/as,καίω,verb,ei(liko/morfon,εἱλικόμορφος,adjective,ai)xmh=|sin,αἰχμή,noun,me/ga,μέγας,adverb,ph=ma,πῆμα,adjective,pali/strofon,h)e/rthtai,ἀερτάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,*su/rioi,Σύριος,proper,tau=roi,ταῦρος,noun,de/,δέ,particle,*xeronnh/soio,,,ge/neqla,γένεθλον,noun,ai)peinh\n,αἰπεινός,adjective,toi\,σύ,pronoun,*pe/llan,Πέλλα,proper,e)u/+ktiton,a)mfine/montai,ἀμφινέμομαι,verb,ai)/qwnes,αἴθων,noun,krateroi/,κρατερός,adjective,megalh/tores,μεγαλήτωρ,noun,eu)rume/twpoi,ἐύκτιτος,adjective,εὐρυμέτωπος,adjective,a)/grauloi,ἄγραυλος,adjective,sqenaroi/,σθεναρός,adjective,keraalke/es,,,a)grio/qumoi,ἀγριόθυμος,adjective,mukhtai/,μυκητής,noun,blosuroi/,βλοσυρός,adjective,zhlh/mones,ζηλήμων,adjective,eu)ruge/neioi,εὐρυγένειος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou),οὐ,adverb,piale/oi,πιαλέος,adjective,de/mas,δέμας,noun,a)mfilafe\s,ἀμφιλαφής,adverb,baru/qousin,βαρύθω,verb,ou)de\,οὐδέ,particle,pa/lin,πάλιν,adverb,lipo/sarkoi,λιπόσαρκος,adjective,e(o\n,de/mas,δέμας,noun,a)drane/ousin,ἀδρανέω,verb,,,,,,,,ἑός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=de,ὧδε,adverb,qew=n,θέα,noun,kluta\,κλυτός,adjective,dw=ra,δῶρον,noun,kerassa/menoi,κεράννυμι,verb,fore/ousin,φορέω,verb,a)mfo/teron,ἀμφότερος,adjective,kraipnoi/,κραιπνός,adjective,te,τε,particle,qe/ein,sqenaroi/,σθεναρός,adjective,te,τε,particle,ma/xesqai,μάχομαι,verb,,,,,θέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei=noi,ἐκεῖνος,pronoun,tou\s,ὁ,article,fa/tis,φάτις,adjective,e)/ske,εἰμί,verb,*dio\s,Ζεύς,proper,go/non,γόνος,noun,*(hraklh=a,,,kartero/n,καρτερός,adjective,a)qleu/ont',ἀθλεύω,verb,a)ge/men,pa/ros,πάρος,preposition,e)c,ἐκ,preposition,*)eruqei/hs,Ἐρυθεία,proper,o(ppo/t',ὁπότε,adverb,e)p',ἄγνυμι,verb,ἐπί,preposition,*)wkeanw=|,Ὠκεανός,proper,dhri/sato,,,*ghruonh=i+,Γηρυόνης,proper,kai),εἰ,conjunction,kta/nen,κτείνω,verb,e)n,ἐν,preposition,skopih=|sin,σκοπιά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,po/non,πόνος,noun,a)/llon,ἄλλος,adjective,e)/mellen,μέλλω,verb,ou)x,οὐ,adverb,*(/hrh|,Ἥρα,proper,tele/ein,τέλλω,verb,ou)d',οὐδέ,particle,*eu)rusqh=os,Εὐρυσθεύς,proper,e)nipai=s,*)arxi/ppw|,Ἄρχιππος,proper,d',δέ,particle,e(ta/rw|,ἑταῖρος,noun,*pe/llhs,Πέλλα,proper,h(gh/tori,ἐνιπή,noun,ἡγήτωρ,adjective,di/hs,δῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,ga/r,γάρ,particle,toi,σύ,pronoun,propa/roiqe,προπάροιθε,preposition,parai\,παρά,preposition,po/das,πούς,noun,*)emblwnoi=o,,,pa=n,πᾶς,adjective,pedi/on,πεδίον,noun,pela/gizen,,,,,,,,,,,,,,πελαγίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,polu\s,πολύς,adjective,ai)e\n,ἀεί,adverb,*)oro/nths,Ὀρόντης,proper,i(/et',ἵημι,verb,e)peigo/menos,ἐπείγω,verb,xaropou=,χαροπός,adjective,d',δέ,particle,e)pelh/qeto,ἐπιλανθάνομαι,verb,po/ntou,daio/menos,δαίω,verb,*nu/mfhs,Νύμφης,proper,kuanw/pidos,κυανῶπις,adjective,*)wkeani/nhs,Ὠκεανίνη,proper,,πόντος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh/qunen,δηθύνω,verb,de\,δέ,particle,pa/goisi,πᾶγος,noun,ka/lupte,καλύπτω,verb,d',δέ,particle,e)ri/sporon,ἐρίσπορος,adjective,ai)=an,αἶα,noun,ou)/ti,οὔτι,adverb,qe/lwn,ἐθέλω,verb,prolipei=n,duse/rwta,δύσερως,adjective,po/qon,πόθος,noun,*meliboi/hs,Μελίβοια,proper,,,,,προλείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/resi/,ὄρος,adjective,t',τε,particle,a)mfo/terwqe,,,peri/dromos,περίδρομος,adjective,e)stefa/nwto,στεφανόω,verb,teiname/nois,τείνω,verb,e(ka/terqen,ἑκάτερθε,adverb,e)p',ἐπί,preposition,a)llh/loisi,ἀλλήλων,pronoun,ka/rhna,,,,,,,,,,,,,,κάρηνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/i+en,ἀίω,verb,a)ntoli/hqe,ἀντολίηθε,adverb,*dio/kleion,,,de/mas,δέμας,noun,ai)pu/,αἰπύς,adjective,e)k,ἐκ,preposition,d',δέ,particle,a)/ra,ἄρα,particle,dusma/wn,δυσμή,noun,laio\n,ke/ras,κέρας,noun,*)emblwnoi=o,,,au)to\s,αὐτός,pronoun,d',δέ,particle,e)n,λαιός,noun,ἐν,preposition,mesa/toisin,μέσατος,adjective,e)paigi/zwn,ἐπαιγίζω,verb,pedi/oisin,πέδιον,noun,ai)e\n,ἀεί,adverb,a)eco/menos,ἀέξω,verb,kai\,καί,conjunction,tei/xeos,τεῖχος,noun,e)ggu\s,ἐγγύς,adverb,o(deu/wn,ὁδεύω,verb,xe/rson,χέρσος,noun,o(mou=,ὁμοῦ,adverb,kai\,καί,conjunction,nh=son,νῆσος,noun,e)mh\n,ἐμός,adjective,po/lin,πόλις,adjective,u(/dasi,ὕδωρ,noun,xeu/wn,χέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou)/neken,ἕνεκα,preposition,au)ti/k',αὐτίκα,adverb,e)/melle,μέλλω,verb,*dio\s,Ζεύς,proper,go/nos,γόνος,noun,a)mfote/roisi,ἀμφότερος,adjective,na/mata,νᾶμα,noun,metrh/sein,μετρέω,verb,r(opa/lw|,ῥόπαλον,noun,kai\,xersi\,χείρ,noun,krataiai=s,κραταιά,noun,u(/data,ὕδωρ,noun,d',δέ,particle,e)k,καί,conjunction,ἐκ,preposition,pedi/oio,πέδιον,noun,diakrido\n,διακριδόν,adverb,i)qu/nesqai,ἰθύνω,verb,eu)ploka/mou,εὐπλόκαμος,adjective,li/mnhs,λίμνη,noun,h)d',ἠδέ,conjunction,eu)troxa/lou,εὐτρόχαλος,adjective,potamoi=o,ποταμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/rce,ἔρδω,verb,de\,δέ,particle,poulu\n,πολύς,adjective,a)/eqlon,ἆθλον,noun,e)pei\,ἐπεί,conjunction,stefa/nhn,στεφάνη,adjective,die/kersen,διακείρω,verb,a)mfibo/lwn,ἀμφίβολος,adjective,o)re/wn,ὄρος,adjective,lu=sen,d',δέ,particle,a)/po,ἀπό,preposition,la/i+na,λάινος,adjective,desma/,δεσμός,noun,kai\,λύω,verb,καί,conjunction,potamo\n,ποταμός,noun,proe/hken,προίημι,verb,e)reugo/menon,ἐρεύγομαι,verb,promolh=|sin,προμολή,noun,a)/sxeta,ἄσχετος,adjective,kumai/nonta,κυμαίνω,verb,kai\,καί,conjunction,a)/gria,ἄγριος,adjective,mormu/ronta,μορμύρω,verb,i)/qunen,ἰθύνω,verb,d',δέ,particle,e)pi\,ἐπί,preposition,qi=nas,θίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,e)/braxen,βράσσω,verb,h)pu/ta,ἠπύτα,adjective,po/ntos,πόντος,noun,kai\,καί,conjunction,*suri/ou,Σύριος,proper,kona/bhse,κοναβέω,verb,me/lan,μέλας,adjective,de/mas,ai)gialoi=o,αἰγιαλός,noun,,,,,,,,,,,δέμας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,toi/w,τοῖος,adjective,g',γε,particle,e(ka/terqe,ἑκάτερθε,adverb,polusmara/goio,πολυσμάραγος,adjective,qala/sshs,θάλασσα,noun,a)ntipo/rw,ἀντίπορος,adjective,potamw\,ποταμός,noun,katabai/neton,καταβαίνω,verb,u(/dati,la/brw|,λάβρος,adjective,,,,,,,,,,,ὕδωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqen,ἔνθεν,adverb,me\n,μέν,particle,*bore/ao,Βορέας,proper,temw\n,τέμνω,verb,a)rgh=ta,ἀργής,noun,xalina\,,,a)\n,ἄν,particle,*skuqi/hn,Σκύθιος,proper,*)/istros,Ἴστρος,proper,le/laken,me/ga,μέγας,adverb,pa/ntoqe,πάντοθεν,adverb,pa/nth|,πάντῃ,adverb,suro/menos,σύρω,verb,krhmnoi=si,λάσκω,verb,κρημνός,noun,kai\,καί,conjunction,u(datoplh/gesin,,,a)/krais,ἄκρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,d',δέ,particle,au)=t',αὖτε,adverb,e)k,ἐκ,preposition,*libu/hs,Λιβύη,proper,i(ero\n,ἱερός,adjective,r(o/on,ῥόον,noun,*ai)gu/ptoio,Αἴγυπτος,proper,a)mfi/,ἀμφί,preposition,e(,r(hgnu/menon,ῥήγνυμι,verb,trome/ei,τρομέω,verb,tanahxe/ta,ταναηχέτης,noun,po/ntos,πόντος,noun,,ἕ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,potamo\s,ποταμός,noun,kela/ruze,κελαρύζω,verb,me/gas,μέγας,adverb,peri\,περί,preposition,qi=nas,θίς,noun,*)oro/nths,Ὀρόντης,proper,smerdale/on,σμερδαλέος,adjective,mu/khma,μύκημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pelw/ria,πελώριος,adjective,d',δέ,particle,i)/axon,ἰάχω,verb,a)ktai\,ἀκτή,noun,dexnu/menai,,,ko/lpoisi,κόλπος,noun,neh/ludos,νέηλυς,noun,oi)=dma,οἶδμα,noun,qala/sshs,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gai=a,γαῖα,noun,d',δέ,particle,a)ne/pneusen,ἀναπνέω,verb,melano/xroos,μελανόχροος,adjective,ou)qato/essa,οὐθατόεις,adjective,ku/matos,κῦμα,noun,e)canadu=sa,ἐξαναδύομαι,verb,ne/on,νέος,adjective,pe/don,πέδον,noun,*(hraklh=os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nth|,πάντῃ,adverb,d',δέ,particle,ei)se/ti,εἰσέτι,adverb,nu=n,νῦν,adverb,staxuhkome/ousin,σταχυηκομέω,verb,a)/rourai,ἄρουρα,adjective,pa/nth|,πάντῃ,adverb,d',δέ,particle,e)/rga,ἔργον,noun,bow=n,qalera\s,θαλερός,adjective,be/briqen,βρίθω,verb,a)lwa\s,ἀλωή,noun,*memno/nion,,,peri\,βόα,noun,περί,preposition,nho/n,ναός,noun,o(/q',ὅτε,conjunction,*)assu/rioi,Ἀσσύριοι,proper,naeth=res,ναετήρ,noun,*me/mnona,Μέμνων,proper,kwku/ousi,κωκύω,verb,kluto\n,κλυτός,adjective,go/non,γόνος,noun,*)hrigenei/hs,ἠριγένεια,noun,o(/n,ὅς,pronoun,pote,ποτέ,particle,*priami/dh|sin,Πριαμίδης,proper,a)mune/menai,ἀμύνω,verb,pela/santa,πελάω,verb,qarsale/os,θαρσαλέος,adjective,po/sis,πόσις,noun,w)=ka,ὦκα,adverb,dama/ssato,δαμάζω,verb,*dhi+damei/hs,Δηιδαμεία,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
