word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
e)peidh\,de\,δέ,particle,e)nei/manto,νέμω,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,o)mo/santes,ὄμνυμι,verb,mh\,μή,conjunction,parabh/sesqai,παράπτω,verb,ta\,ὁ,article,w(mologhme/na,ὁμολογέω,verb,e)ke/kthto,κτάομαι,verb,e(/kastos,ἕκαστος,adjective,dw/deka,δώδεκα,adjective,e)/th,ἔτης,noun,a(\,ὅς,pronoun,e)/laxe,λαγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπεί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,e)n,ἐν,preposition,tosou/tw|,τοσοῦτος,adjective,xro/nw|,χρόνος,noun,ou)sw=n,εἰμί,verb,dikw=n,δίκη,adjective,ou)dei\s,οὐδείς,pronoun,au)tw=n,αὐτός,pronoun,h)ci/wse,ἀξιόω,verb,ta\,ὁ,article,pepragme/na,πράσσω,verb,ei)pei=n,εἶπον,verb,a)di/kws,ἄδικος,adjective,pepra=xqai,πράσσω,verb,pri\n,πρίν,adverb,dustuxhsa/shs,δυστυχέω,verb,th=s,ὁ,article,po/lews,πόλις,adjective,kai\,καί,conjunction,sta/sews,στάσις,adjective,genome/nhs,γίγνομαι,verb,*dikaioge/nhs,Δικαιογένης,proper,ou(tosi\,οὗτος,pronoun,peisqei\s,πείθω,verb,u(po\,ὑπό,preposition,*me/lanos,Μέλας,proper,tou=,ὁ,article,*ai)gupti/ou,Αἰγύπτιος,proper,w(=|,ὅς,pronoun,per,πέρ,particle,καί,conjunction,kai\,καί,conjunction,ta)=lla,ἄλλος,adjective,e)pei/qeto,πείθω,verb,h)mfisbh/tei,ἀμφισβητέω,verb,h(mi=n,ἐγώ,pronoun,a(/pantos,ἅπας,adjective,tou=,ὁ,article,klh/rou,κλῆρος,adjective,fa/skwn,φάσκω,verb,e)f',ἐπί,preposition,o(/lh|,ὅλος,adjective,poihqh=nai,ποιέω,verb,u(o\s,ὗς,noun,u(po\,ὑπό,preposition,tou=,ὁ,article,qei/ou,θεῖος,noun,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective
h(mei=s,me\n,μέν,particle,ou)=n,οὖν,particle,mai/nesqai,μαίνομαι,verb,au)to\n,αὐτός,pronoun,h(gou/meqa,ἁγέομαι,verb,th=|,ὁ,article,lh/cei,λαγχάνω,verb,ou)k,οὐ,adverb,a)/n,ἄν,particle,pote,ποτέ,particle,oi)o/menoi,οἴομαι,verb,to\n,ὁ,article,au)to\n,αὐτός,pronoun,a)/ndra,ἀνήρ,noun,tote\,τοτέ,adverb,me\n,μέν,particle,fa/skonta,φάσκω,verb,e)pi\,ἐπί,preposition,tw=|,ὁ,article,tri/tw|,τρίτος,adjective,me/rei,μέρος,noun,poihqh=nai,ποιέω,verb,tote\,τοτέ,adverb,d',δέ,particle,e)f',ἐπί,preposition,a(/panti,ἅπας,adjective,tw=|,ὁ,article,klh/rw|,κλῆρος,adjective,do/cai,δοκέω,verb,ἐγώ,pronoun,ta)lhqe\s,ἀληθής,adjective,le/gein,λέγω,verb,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)s,de\,δέ,particle,to\,ὁ,article,dikasth/rion,δικαστήριον,noun,ei)selqo/ntes,εἰσέρχομαι,verb,kai\,καί,conjunction,pollw=|,πολύς,adjective,plei/w,πλέως,adjective,kai\,καί,conjunction,dikaio/tera,δίκαιος,adjective,le/gontes,λέγω,verb,h)dikh/qhmen,ἀδικέω,verb,ou)x,οὐ,adverb,u(po\,ὑπό,preposition,tw=n,ὁ,article,dikastw=n,δικαστής,noun,a)ll',ἀλλά,adverb,u(po\,ὑπό,preposition,*me/lanos,Μέλας,proper,tou=,ὁ,article,*ai)gupti/ou,Αἰγύπτιος,proper,kai\,καί,conjunction,tw=n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,fi/lwn,φίλος,adjective,oi(\,ἕ,pronoun,dia\,διά,preposition,ta\s,ὁ,article,th=s,ὁ,article,po/lews,πόλις,adjective,εἰς,preposition,sumfora\s,συμφορά,noun,e)cousi/an,ἐξουσία,noun,sfi/sin,σφεῖς,pronoun,au)toi=s,αὐτός,pronoun,h(gou=nto,ἁγέομαι,verb,ei)=nai,εἰμί,verb,kekth=sqai/,κτάομαι,verb,te,τε,particle,ta)llo/tria,ἀλλότριος,adjective,kai\,καί,conjunction,ta\,ὁ,article,yeudh=,ψευδής,adverb,a)llh/lois,ἀλλήλων,pronoun,marturei=n,μαρτυρέω,verb,,,,,,,,,,,,
u(po\,de\,δέ,particle,tw=n,ὁ,article,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,poiou/ntwn,ποιέω,verb,e)chpath/qhsan,ἐξαπατάω,verb,oi(,ὁ,article,dikastai/,δικαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,h(mei=s,ἐγώ,pronoun,me\n,μέν,particle,katayeudomarturhqe/ntes,καταψευδομαρτυρέω,verb,a)pwle/samen,ἀπόλλυμι,verb,ta\,ὁ,article,o)/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,ga\r,γάρ,particle,o(,ὁ,article,path\r,πατήρ,noun,ou),οὐ,adverb,pollw=|,πολύς,adjective,xro/nw|,χρόνος,noun,u(/steron,ὕστερος,adjective,meta\,μετά,preposition,th\n,ὁ,article,di/khn,δίκη,adjective,e)teleu/thse,τελευτάω,verb,pri\n,πρίν,adverb,e)pecelqei=n,ἐπεξέρχομαι,verb,oi(=s,ὅς,pronoun,e)peskh/yato,ἐπισκήπτω,verb,tw=n,ὁ,article,martu/rwn,μάρτυρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dikaioge/nhs,de\,δέ,particle,pro\s,πρός,preposition,h(ma=s,ἐγώ,pronoun,w(s,ὡς,conjunction,e)bou/leto,βούλομαι,verb,a)gwnisa/menos,ἀγωνίζομαι,verb,th=|,ὁ,article,au)th=|,αὐτός,pronoun,h(me/ra|,ἡμέρα,noun,e)ch/lase,ἐξελαύνω,verb,me\n,μέν,particle,th\n,ὁ,article,*khfisofw=ntos,Κηφισοφῶν,proper,tou=,ὁ,article,*paianie/ws,Παιανιεύς,proper,qugate/ra,θυγάτηρ,adjective,e)k,ἐκ,preposition,tou=,ὁ,article,me/rous,μέρος,noun,a)delfidh=n,ἀδελφιδῆ,noun,ou)=san,εἰμί,verb,*dikaioge/nous,,,tou=,ὁ,article,katalipo/ntos,καταλιμπάνω,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,a)fei/leto,ἀφαιρέω,verb,de\,δέ,particle,th\n,ὁ,article,Δικαιογένης,proper,*dhmokle/ous,Δημοκλέης,proper,genome/nhn,γίγνομαι,verb,gunai=ka,γυνή,noun,a(\,ὁ,article,*dikaioge/nhs,Δικαιογένης,proper,a)delfo\s,ἀδελφός,adjective,w)\n,εἰμί,verb,e)/dwken,δίδωμι,verb,a)fei/leto,ἀφαιρέω,verb,ltde\gt,,,kai\,καί,conjunction,th\n,ὁ,article,*khfisodo/tou,Κηφισόδοτος,proper,mhte/ra,μήτηρ,noun,kai\,καί,conjunction,au)to\n,αὐτός,pronoun,tou=ton,οὗτος,pronoun,a(/panta,ἅπας,adjective
kai\,ga\r,γάρ,particle,tou/twn,οὗτος,pronoun,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/ma,kai\,καί,conjunction,e)pi/tropos,ἐπίτροπος,adjective,kai\,καί,conjunction,ku/rios,κῦρος,noun,kai\,καί,conjunction,a)nti/dikos,ἀντίδικος,adjective,h)=n,εἰμί,verb,kai\,καί,conjunction,ou)de\,οὐδέ,particle,kata\,κατά,preposition,to\,ὁ,article,e)la/xiston,ἐλάχιστος,adjective,me/ros,μέρος,noun,th=s,ὁ,article,oi)keio/thtos,οἰκειότης,noun,e)le/ou,ἔλεος,noun,par',παρά,preposition,au)tou=,αὐτός,pronoun,e)/tuxon,τυγχάνω,verb,a)ll',ἀλλά,adverb,o)rfanoi\,ὀρφανός,adjective,kai\,καί,conjunction,e)/rhmoi,ἐρῆμος,adjective,kai\,καί,conjunction,pe/nhtes,πένης,noun,geno/menoi,γίγνομαι,verb,pa/ntwn,πᾶς,adjective,kai\,καί,conjunction,tw=n,ὁ,article,ἅμα,adverb,kaq',κατά,preposition,h(me/ran,ἡμέρα,noun,e)pithdei/wn,ἐπιτήδειος,adjective,h)=san,εἰμί,verb,e)ndeei=s,ἐνδεής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,au)tou\s,αὐτός,pronoun,*dikaioge/nhs,Δικαιογένης,proper,ou(tosi\,οὗτος,pronoun,e)gguta/tw,ἐγγύς,adverb,w)\n,εἰμί,verb,ge/nous,γένος,noun,e)petro/peuen,ἐπιτροπεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/s,ge,γε,particle,a(\,ὅς,pronoun,me\n,μέν,particle,o(,ὁ,article,path\r,πατήρ,noun,au)toi=s,αὐτός,pronoun,*qeo/pompos,Θεόπομπος,proper,kate/lipe,καταλιμπάνω,verb,toi=s,ὁ,article,tou/twn,οὗτος,pronoun,e)xqroi=s,ἐχθρός,adjective,pare/dwken,παραδίδωμι,verb,a(\,ὅς,pronoun,de\,δέ,particle,o(,ὁ,article,pro\s,πρός,preposition,mhtro\s,μήτηρ,noun,qei=os,θεῖος,adjective,kai\,καί,conjunction,o(,ὁ,article,pa/ppos,πάππος,noun,au)toi=s,αὐτός,pronoun,e)/dwken,δίδωμι,verb,au)to\s,αὐτός,pronoun,a)fei/leto,ἀφαιρέω,verb,pro\,πρό,preposition,di/khs,δίκη,adjective,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,o(\,ὅς,pronoun,pa/ntwn,πᾶς,adjective,deino/taton,δεινός,adjective,th\n,ὁ,article,oi)ki/an,οἰκία,noun,au)tw=n,αὐτός,pronoun,th\n,ὁ,article,patrw/|an,πατρῷος,adjective,pai/dwn,παῖς,adjective,o)/ntwn,εἰμί,verb,tou/twn,οὗτος,pronoun,pria/menos,πρίαμαι,verb,kai\,καί,conjunction,kataska/yas,κατασκάπτω,verb,to\n,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh=pon,e)poih/sato,ποιέω,verb,pro\s,πρός,preposition,th=|,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,oi)ki/a|,οἰκία,noun,th=|,ὁ,article,e)n,ἐν,preposition,a)/stei,ἄστυ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κῆπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,lamba/nwn,λαμβάνω,verb,mi/sqwsin,μίσθωσις,noun,o)gdoh/konta,ὀγδοήκοντα,noun,mna=s,μνᾶ,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,*dikaioge/nous,,,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective,qei/ou,θεῖος,adjective,xrhma/twn,χρῆμα,adjective,to\n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,a)delfidou=n,ἀδελφιδέος,noun,*khfiso/doton,Κηφισόδοτος,proper,tw=|,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,a)delfw=|,ἀδελφός,adjective,*(armodi/w|,Ἁρμόδιος,proper,sune/pemyen,συμπέμπω,verb,ei)s,εἰς,preposition,*ko/rinqon,Κόρινθος,adverb,a)nt',ἀντί,preposition,a)kolou/qou,ἀκόλουθος,adjective,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)s,tou=to,οὗτος,pronoun,u(/brews,ὕβρις,noun,kai\,καί,conjunction,miari/as,μιαρία,noun,a)fi/keto,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,pro\s,πρός,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,kakoi=s,κακός,adjective,o)neidi/zei,ὀνειδίζω,verb,kai\,καί,conjunction,e)gkalei=,ἐγκαλέω,verb,au)tw=|,αὐτός,pronoun,o(/ti,ὅστις,pronoun,e)mba/das,ἐμβάς,noun,kai\,καί,conjunction,tri/bwna,τρίβων,noun,forei=,φορέω,verb,w(/sper,ὥσπερ,adverb,a)dikou/meno/s,ἀδικέω,verb,ti,τις,pronoun,ei),εἰ,conjunction,e)mba/das,ἐμβάς,noun,*khfiso/dotos,Κηφισόδοτος,proper,forei=,φορέω,verb,a)ll',ἀλλά,adverb,ou)k,οὐ,adverb,a)dikw=n,ἀδικέω,verb,o(/ti,ὅστις,pronoun,a)felo/menos,ἀφαιρέω,verb,au)to\n,αὐτός,pronoun,ta\,ὁ,article,o)/nta,εἰμί,verb,pe/nhta,πένης,noun,καί,conjunction,pepoi/hken,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,peri\,περί,preposition,me\n,μέν,particle,tou/twn,οὗτος,pronoun,tosau=ta/,τοσοῦτος,adjective,moi,ἐγώ,pronoun,ei)rh/sqw,ἐρῶ,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/lin,d',δέ,particle,e)pa/neimi,ἐπάνειμι,verb,o(/qen,ὅθεν,adverb,a)pe/lipon,ἀπολείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πάλιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mene/cenos,ga\r,γάρ,particle,o(,ὁ,article,*khfisofw=ntos,Κηφισοφῶν,proper,u(o/s,ὗς,noun,a)neyio\s,ἀνεψιός,noun,w)\n,εἰμί,verb,*khfisodo/tw|,Κηφισόδοτος,proper,toutw|i\,οὗτος,pronoun,kai\,καί,conjunction,e)moi/,ἐγώ,pronoun,kai\,καί,conjunction,prosh=kon,προσήκω,verb,au)tw=|,αὐτός,pronoun,tou=,ὁ,article,klh/rou,κλῆρος,adjective,me/ros,μέρος,noun,o(/son,ὅσος,adjective,per,πέρ,particle,e)moi/,ἐγώ,pronoun,e)pech/|ei,ἐπέξειμι,verb,toi=s,ὁ,article,katamarturh/sasin,καταμαρτυρέω,verb,h(mw=n,ἐγώ,pronoun,kai\,καί,conjunction,e)kei/nou,ἐκεῖνος,pronoun,ta\,ὁ,article,yeudh=,ψευδής,adverb,kai\,καί,conjunction,*lu/kwna,Λύκων,proper,Μενέξενος,proper,o(/n,ὅς,pronoun,per,πέρ,particle,ei)sh/gage,εἰσάγω,verb,prw=ton,πρότερος,adjective,ei)s,εἰς,preposition,to\,ὁ,article,dikasth/rion,δικαστήριον,noun,tou=ton,οὗτος,pronoun,ei(=len,αἱρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,e)martu/rhse,μαρτυρέω,verb,*dikaioge/nhn,Δικαιογένης,proper,poihqh=nai,ποιέω,verb,to\n,ὁ,article,nu=n,νῦν,adverb,o)/nta,εἰμί,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,qei/ou,θεῖος,noun,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective,u(o\n,υἱός,noun,e)pi\,ἐπί,preposition,panti\,πᾶς,adjective,tw=|,ὁ,article,klh/rw|,κλῆρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marturh/sas,de\,δέ,particle,tau=ta,οὗτος,pronoun,e(a/lw,ἁλίσκομαι,verb,yeudomarturi/wn,ψευδομαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,de\,δέ,particle,*dikaioge/nhs,Δικαιογένης,proper,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,ou)ke/ti,οὐκέτι,adverb,u(ma=s,σύ,pronoun,du/natai,δύναμαι,verb,e)capata=n,ἐξαπατάω,verb,pei/qei,πείθω,verb,*mene/cenon,Μενέξενος,proper,to\n,ὁ,article,u(pe\r,ὑπέρ,preposition,h(mw=n,ἐγώ,pronoun,te,τε,particle,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,au(tou=,ἑαυτοῦ,pronoun,pra/ttonta,πράσσω,verb,a(\,ὅς,pronoun,e)gw\,ἐγώ,pronoun,ai)sxuno/menos,αἰσχύνω,verb,a)nagka/zomai,ἀναγκάζω,verb,dia\,διά,preposition,th\n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,ponhri/an,πονηρία,noun,le/gein,λέγω,verb,ti/,τίς,pronoun,poih=sai,ποιέω,verb,ἐπεί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
komisa/menon,au)to\n,αὐτός,pronoun,me/ros,μέρος,noun,e)k,ἐκ,preposition,tou=,ὁ,article,klh/rou,κλῆρος,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,e)gi/gneto,γίγνομαι,verb,h(ma=s,ἐγώ,pronoun,me\n,μέν,particle,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,e)/pratte,πράσσω,verb,prodou=nai,προδίδωμι,verb,tou\s,ὁ,article,de\,δέ,particle,mh/pw,μήπω,adverb,e(alwko/tas,ἁλίσκομαι,verb,tw=n,ὁ,article,martu/rwn,μάρτυρος,noun,a)fei=nai,ἀφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,κομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,h(mei=s,ἐγώ,pronoun,me\n,μέν,particle,tau=ta,οὗτος,pronoun,u(po\,ὑπό,preposition,tw=n,ὁ,article,fi/lwn,φίλος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,paqo/ntes,πάσχω,verb,ei)/xomen,ἔχω,verb,h(suxi/an,ἡσυχία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,d',δέ,particle,u(mi=n,σύ,pronoun,ma/rturas,μάρτυς,noun,pare/comai,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,me\n,μέν,particle,toi/nun,τοίνυν,particle,*mene/cenos,Μενέξενος,proper,paqw\n,πάσχω,verb,a)/cia,ἄξιος,adjective,tw=n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,tro/pwn,τρόπος,noun,h)path/qh,ἀπατάω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,*dikaioge/nous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)fei\s,ga\r,γάρ,particle,tou\s,ὁ,article,ma/rturas,μάρτυς,noun,kai\,καί,conjunction,h(ma=s,ἐγώ,pronoun,prodou/s,προδίδωμι,verb,w(=n,ὅς,pronoun,e(/neka,ἕνεκα,preposition,tau=t',οὗτος,pronoun,e)/pracen,πράσσω,verb,ou)k,οὐ,adverb,e)komi/sato,κομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)dikhqei\s,de\,δέ,particle,u(po\,ὑπό,preposition,*dikaioge/nous,,,meq',μετά,preposition,h(mw=n,ἐγώ,pronoun,pa/lin,πάλιν,adverb,e)/pratten,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,de\,δέ,particle,kaqhgou/menoi,καθηγέομαι,verb,ou)ke/ti,οὐκέτι,adverb,prosh/kein,προσήκω,verb,*dikaioge/nei,,,e)/xein,ἔχω,verb,tw=n,ὁ,article,e)k,ἐκ,preposition,tou=,ὁ,article,klh/rou,κλῆρος,adjective,me/ros,μέρος,noun,ou)de/n,οὐδείς,pronoun,e)peidh\,ἐπεί,conjunction,oi(,ὁ,article,ma/rtures,μάρτυς,noun,e(a/lwsan,ἁλίσκομαι,verb,a)mfisbhtou=men,ἀμφισβητέω,verb,au)tw=|,αὐτός,pronoun,a(/pantos,ἅπας,adjective,tou=,ὁ,article,oi)/kou,οἶκος,noun,kat',κατά,preposition,a)gxistei/an,ἀγχιστεία,noun,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,o(/ti,ὅστις,pronoun,h(mei=s,ἐγώ,pronoun,te,τε,particle,o)rqw=s,ὀρθός,adjective,e)gnw/kamen,γιγνώσκω,verb,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,e)/ti,ἔτι,adverb,prosh/kei,προσήκω,verb,*dikaioge/nei,,,tou=,ὁ,article,klh/rou,κλῆρος,adjective,r(a|di/ws,ῥᾴδιος,adjective,dida/cw,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
