word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
to\,ὁ,article,lego/menon,λέγω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,bi/w|,βίος,adjective,a)nastatwqh=nai,ἀναστατόω,verb,toute/sti,τουτέστι,adverb,to\,ὁ,article,a)naskeua/sasqai,ἀνασκευάζω,verb,kai\,καί,conjunction,oi(=on,οἷος,adjective,a)pei/pasqai,ἀπεῖπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,i(ero\n,ἱερόν,noun,kai\,καί,conjunction,a)neime/non,ἀνίημι,verb,qew=|,θεός,noun,tini\,τις,pronoun,*(uperei/dhs,Ὑπερείδης,proper,*dhliakw=|,Δηλιακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,toi=s,ὁ,article,*filippikoi=s,φιλιππικός,adjective,a)nti\,ἀντί,preposition,tou=,ὁ,article,a)ne/koyen,ἀνακόπτω,verb,h)\,ἠέ,conjunction,a)ne/treyen,ἀνατρέπω,verb,e)k,ἐκ,preposition,metafora=s,μεταφορά,noun,tw=n,ὁ,article,i(/ppwn,ἵππος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
par),πηρός,adjective,*)antifw=nti,Ἀντιφών,proper,*)alhqei/as,ἀλήθεια,adjective,a)nti\,ἀντί,preposition,a(plou=,ἁπλόος,adjective,tou=,ὁ,article,h(/kei,ἥκω,verb,h)\,ἠέ,conjunction,oi(=on,οἷος,adjective,a)nebiba/sqh,ἀναβιβάζω,verb,kai\,καί,conjunction,proelh/luqen,προέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,e(tai/ra,ἑταίρα,noun,dh=lon,δῆλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/pote,μήποτε,adverb,de\,δέ,particle,*)/anteia,Ἄντεια,proper,grapte/on,γραπτέος,adjective,dia\,διά,preposition,tou=,ὁ,article,t,,,e)pei\,ἐπεί,conjunction,ou(/tws,οὕτως,adverb,eu(/romen,εὑρίσκω,verb,para\,παρά,preposition,*lusi/a|,Λυσίας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isai=os,,,e)n,ἐν,preposition,tw=|,ὁ,article,pro\s,πρός,preposition,*kaludw=na,Καλυδών,proper,te,τε,particle,balanei=on,βαλανεῖον,noun,to\,ὁ,article,par),πηρός,adjective,*)anqemokri/tou,Ἀνθεμόκριτος,proper,a)ndria/nta,ἀνδριάς,noun,toute/sti,τουτέστι,adverb,pro\s,πρός,preposition,tai=s,ὁ,article,*qriasi/ais,Θριάσιος,proper,pu/lais,πύλη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,h)=n,εἰμί,verb,*)aqhnai/wn,Ἀθήναια,proper,me\n,μέν,particle,kh=ruc,κῆρυξ,noun,u(po\,ὑπό,preposition,*megare/wn,Μεγάρη,proper,d',δέ,particle,a)pesfa/gh,ἀποσφάζω,verb,a)pagoreu/wn,ἀπαγορεύω,verb,au)toi=s,αὐτός,pronoun,th\n,ὁ,article,i(era\n,ἱερός,adjective,tai=n,ὁ,article,qeai=n,θεά,noun,o)rga/da,ὀργάς,noun,mh\,μή,conjunction,e)perga/zesqai,ἐπεργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/lis,πόλις,adjective,*makedonikh\,Μακεδονικός,adjective,kai\,καί,conjunction,oi(,ἕ,pronoun,a)p',ἀπό,preposition,au)th=s,αὐτός,pronoun,*)a*n*q*e*m*o*u*n*t*i*o*i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/gdoos,ὄγδοος,adjective,mh\n,μήν,particle,ou(=tos,οὗτος,pronoun,par),πηρός,adjective,*)aqhnai/ois,Ἀθήναια,proper,i(ero\s,ἱερός,adjective,*dionu/sou,Διόνυσος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/istros,Ἴστρος,proper,de\,δέ,particle,e)n,ἐν,preposition,toi=s,ὁ,article,th=s,ὁ,article,sunagwgh=s,συναγωγεύς,noun,keklh=sqai/,καλέω,verb,fhsin,φημί,verb,au)to\n,αὐτός,pronoun,dia\,διά,preposition,to\,ὁ,article,plei=sta,πλεῖστος,adjective,tw=n,ὁ,article,e)k,ἐκ,preposition,gh=s,γῆ,noun,a)nqei=n,ἀνθέω,verb,to/te,τότε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*lusi/as,Λυσίας,proper,e)n,ἐν,preposition,th=|,ὁ,article,pro\s,πρός,preposition,th\n,ὁ,article,*)aristodh/mou,Ἀριστόδημος,proper,grafh\n,γραφή,noun,ei),εἰ,conjunction,gnh/sios,γνήσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/lis,πόλις,adjective,th=s,ὁ,article,*lakwnikh=s,Λακωνικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,u(pei=pon,ὑπεῖπον,verb,th=|,ὁ,article,u(pwmosi/a|,ὑπωμοσία,noun,*dhmosqe/nhs,Δημοσθένης,proper,kat',κατά,preposition,*)olumpiodw/rou,Ὀλυμπιόδωρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,a)neci/lastos,ἀνεξίλαστος,adjective,*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kat',κατά,preposition,*)aristogei/tonos,Ἀριστογείτων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,a)oi/khtos,ἀοίκητος,adjective,*lukou=rgos,Λυκοῦργος,proper,kata\,κατά,preposition,*luko/fronos,Λυκόφρων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,a)ntepiste/llei,ἀντεπιστέλλω,verb,*)isai=os,,,e)n,ἐν,preposition,tw=|,ὁ,article,pro\s,πρός,preposition,*kallippi/dhn,Καλλιππίδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=s,ὁ,article,a)po\,ἀπό,preposition,*)anti/ou,ἀντίον,adjective,po/lews,πόλις,adjective,h(/tis,ὅστις,pronoun,a)pe/xei,ἀπέχω,verb,*(rw/mhs,,,stadi/ous,στάδιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nti\,ἀντί,preposition,tou=,ὁ,article,u(pagoreuqe/ntos,ὑπαγορεύω,verb,*dei/narxos,Δείναρχος,proper,e)n,ἐν,preposition,th=|,ὁ,article,kata\,κατά,preposition,*puqe/ou,Πυθέης,proper,ei)saggeli/a|,εἰσαγγελία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*lusi/as,Λυσίας,proper,e)n,ἐν,preposition,tw=|,ὁ,article,pro\s,πρός,preposition,*ni/karxon,Νίκαρχος,proper,to\n,ὁ,article,au)lhth\n,αὐλητής,noun,ei),εἰ,conjunction,gnh/sios,γνήσιος,adjective,ui(o\s,υἱός,noun,ou(=tos,οὗτος,pronoun,h)=n,εἰμί,verb,*dionusi/ou,Διονύσιον,proper,e)ndoco/tatos,ἔνδοξος,adjective,au)lhth/s,αὐλητής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,kaqista/menos,καθίστημι,verb,e)pi\,ἐπί,preposition,tw=n,ὁ,article,kataballo/ntwn,καταβάλλω,verb,tina\,τις,pronoun,th=|,ὁ,article,po/lei,πόλις,adjective,xrh/mata,χρῆμα,adjective,w(/ste,ὥστε,conjunction,a)ntigra/fesqai,ἀντιγράφω,verb,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kat',κατά,preposition,*)androti/wnos,Ἀνδροτίων,proper,kai\,καί,conjunction,*ai)sxi/nhs,Αἰσχίνης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,kata\,κατά,preposition,*kthsifw=ntos,Κτησιφῶν,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dittoi\,δισσός,adjective,de\,δέ,particle,h)=san,εἰμί,verb,a)ntigrafei=s,ἀντιγραφεύς,noun,o(,ὁ,article,me\n,μέν,particle,th=s,ὁ,article,dioikh/sews,διοίκησις,noun,w(/s,ὡς,conjunction,fhsi,φημί,verb,*filo/xoros,Φιλόχορος,proper,o(,ὁ,article,de\,δέ,particle,th=s,ὁ,article,boulh=s,βουλεύς,noun,w(s,ὡς,conjunction,*)aristote/lhs,Ἀριστοτέλης,proper,e)n,ἐν,preposition,*)aqhnai/wn,Ἀθήναια,proper,politei/a|,πολιτεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)di/ws,ἴδιος,adjective,me\n,μέν,particle,e)pi\,ἐπί,preposition,tai=s,ὁ,article,tw=n,ὁ,article,klh/rwn,κλῆρος,adjective,diadikasi/ais,διαδικασία,noun,a)ntigrafh\,ἀντιγραφή,noun,kalei=tai,καλέω,verb,o(/tan,ὅταν,conjunction,tis,τις,pronoun,w(s,ὡς,conjunction,a)/paidos,ἄπαις,noun,o)/ntos,εἰμί,verb,tou=,ὁ,article,teteleuthko/tos,τελευτάω,verb,e(autw=|,ἑαυτοῦ,pronoun,fa/skh|,φάσκω,verb,prosh/kein,προσήκω,verb,to\n,ὁ,article,klh=ron,κλῆρος,adjective,kata\,κατά,preposition,ge/nos,γένος,noun,h)\,ἠέ,conjunction,do/sin,δόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koinw=s,κοινός,adjective,d',δέ,particle,e)n,ἐν,preposition,tai=s,ὁ,article,di/kais,δίκη,adjective,tai=s,ὁ,article,dhmosi/ais,δημόσιος,adjective,kai\,καί,conjunction,tai=s,ὁ,article,i)di/ais,ἴδιος,adjective,ta\,ὁ,article,tw=n,ὁ,article,dikazome/nwn,δικάζω,verb,gra/mmata,γράμμα,noun,a(\,ὅς,pronoun,e)di/dosan,δίδωμι,verb,peri\,περί,preposition,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,kai\,καί,conjunction,ta\,τίς,pronoun,tou=,ὁ,article,diw/kontos,διώκω,verb,kai\,καί,conjunction,ta\,ὁ,article,tou=,feu/gontos,φεύγω,verb,a)ntigrafh\,ἀντιγραφή,noun,kai\,καί,conjunction,ta\,ὁ,article,martu/ria,μαρτύριον,adjective,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhmosqe/nhs,Δημοσθένης,proper,kata\,κατά,preposition,*stefa/nou,Στέφανος,proper,kai\,καί,conjunction,*(uperei/dhs,Ὑπερείδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pla/twn,Πλάτων,proper,de\,δέ,particle,e)n,ἐν,preposition,th=|,ὁ,article,*swkra/tous,Σωκράτης,proper,a)pologi/a|,ἀπολογία,noun,to\,ὁ,article,au)to\,αὐτός,pronoun,kalei=,καλέω,verb,a)ntwmosi/an,ἀντωμοσία,noun,kai\,καί,conjunction,a)ntigrafh/n,ἀντιγραφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)isokra/ths,Ἰσοκράτης,proper,*panaqhnai+kw=|,Παναθηναικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sxh=ma,σχῆμα,noun,le/cew/s,λέξις,noun,e)stin,εἰμί,verb,h(,ὁ,article,a)nti/qesis,ἀντίθεσις,noun,kaq',κατά,preposition,h(\n,ὅς,pronoun,a)ntitiqe/asin,ἀντιτίθημι,verb,a)llh/lois,ἀλλήλων,pronoun,ta\,ὁ,article,e)nanti/a,ἐναντίος,adjective,h)/toi,ἤτοι,particle,kata\,κατά,preposition,me/ros,μέρος,noun,h)\,ἠέ,conjunction,a)qro/a,ἀθρόος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,kata\,κατά,preposition,me/ros,μέρος,noun,me\n,μέν,particle,w(s,ὡς,conjunction,*dhmosqe/nhs,Δημοσθένης,proper,e)n,ἐν,preposition,tw=|,ὁ,article,u(pe\r,ὑπέρ,preposition,*kthsifw=ntos,Κτησιφῶν,proper,e)di/daskes,διδάσκω,verb,gra/mmata,γράμμα,noun,e)gw\,ἐγώ,pronoun,d',δέ,particle,e)foi/twn,φοιτάω,verb,kai\,καί,conjunction,ta\,ὁ,article,e(ch=s,ἑξῆς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
