word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
w)=,ὦ,interjection,bostru/xwn,βόστρυχος,noun,pinw=des,πινώδης,adjective,a)/qlion,ἄθλιος,adjective,ka/ra,κάρα,noun,w(s,ὡς,conjunction,h)gri/wsai,ἀγριόω,verb,dia\,διά,preposition,makra=s,μακρός,adjective,a)lousi/as,ἀλουσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kli=no/n,κλίνω,verb,m',ἐγώ,pronoun,e)s,εἰς,preposition,eu)nh\n,εὐνή,noun,au)=qis,αὖθις,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,a)nh=|,ἀνάζω,verb,no/sos,νόσος,noun,mani/as,μανία,noun,a)/narqro/s,ἄναρθρος,adjective,ei)mi,εἰμί,verb,ka)sqenw=,ἀσθενέω,verb,me/lh,μέλη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi/lon,φίλος,adjective,toi,τοι,particle,tw=|,τίς,pronoun,nosou=nti,νοσέω,verb,de/mnion,δέμνιον,noun,a)niaro\n,ἀνιαρός,adjective,o)\n,εἰμί,verb,to\,ὁ,article,kth=m',κτῆμα,noun,a)nagkai=on,ἀναγκαῖος,adjective,d',δέ,particle,o(/mws,ὅμως,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)=qi/s,αὖθις,adverb,m',ἐγώ,pronoun,e)s,εἰς,preposition,o)rqo\n,ὀρθός,adjective,sth=son,ἵστημι,verb,a)naku/klei,ἀνακυκλέω,verb,de/mas,δέμας,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dusa/reston,δυσάρεστος,adjective,oi(,ἕ,pronoun,nosou=ntes,νοσέω,verb,a)pori/as,ἀπορία,noun,u(/po,ὑπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,ka)pi\,ἐπί,preposition,gai/as,γαῖα,noun,a(rmo/sai,ἁρμόζω,verb,po/das,πούς,noun,qe/leis,ἐθέλω,verb,xro/nion,χρόνιος,adjective,i)/xnos,ἴχνος,noun,qei/s,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metabolh\,μεταβολή,noun,pa/ntwn,πᾶς,adjective,gluku/,γλυκύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do/can,δόξα,noun,ga\r,γάρ,particle,to/d',ὅδε,pronoun,u(giei/as,ὑγίεια,noun,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krei=sson,κρείσσων,verb,de\,δέ,particle,to\,ὁ,article,dokei=n,δοκέω,verb,ka)\n,κἀν,conjunction,a)lhqei/as,ἀλήθεια,adjective,a)ph=|,ἄπειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/koue,ἀκούω,verb,dh\,δή,particle,nu=n,νῦν,adverb,w)=,ὦ,interjection,kasi/gnhton,κασίγνητος,noun,ka/ra,κάρα,noun,e(/ws,ἕως,conjunction,e)w=sin,ἀίω,verb,eu)=,εὖ,adverb,fronei=n,φρονέω,verb,*)erinu/es,Ἐρινύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/ceis,λέγω,verb,ti,τις,pronoun,kaino/n,καινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei),εἰ,conjunction,me\n,μέν,particle,eu)=,εὖ,adverb,xa/rin,χάρις,noun,fe/reis,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,e)s,εἰς,preposition,bla/bhn,βλάβος,noun,tin',τις,pronoun,a(/lis,ἅλις,adverb,e)/xw,ἔχω,verb,to\,ὁ,article,dustuxei=n,δυστυχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mene/laos,Μενέλαος,proper,h(/kei,ἥκω,verb,sou=,σύ,pronoun,kasi/gnhtos,κασίγνητος,noun,patro/s,πατήρ,noun,e)n,ἐν,preposition,*naupli/a|,Ναύπλιος,proper,de\,δέ,particle,se/lmaq',σέλμα,noun,w(/rmistai,ὁρμίζω,verb,new=n,ναός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ei)=pas,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/kei,ἥκω,verb,fw=s,φάος,adjective,e)moi=s,ἐμός,adjective,kai\,καί,conjunction,soi=s,σός,adjective,kakoi=s,κακός,adjective,a)nh\r,ἀνήρ,noun,o(mogenh\s,ὁμογενής,adverb,kai\,καί,conjunction,xa/ritas,χάρις,noun,e)/xwn,ἔχω,verb,patro/s,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/kei,ἥκω,verb,to\,ὁ,article,pisto\n,πιστός,adjective,to/de,ὅδε,pronoun,lo/gwn,λόγος,noun,e)mw=n,ἐμός,adjective,de/xou,δέχομαι,verb,*(ele/nhn,Ἑλένη,proper,a)go/menos,ἄγω,verb,*trwikw=n,Τρωικός,adjective,e)k,ἐκ,preposition,teixe/wn,τεῖχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,mo/nos,μόνος,adjective,e)sw/qh,εἰσωθέω,verb,ma=llon,μᾶλλον,adverb,a)\n,ἄν,particle,zhlwto\s,ζηλωτός,adjective,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,a)/loxon,ἄλοχος,adjective,a)/getai,ἄγω,verb,kako\n,κακός,adjective,e)/xwn,ἔχω,verb,h(/kei,ἥκω,verb,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi/shmon,ἐπίσημον,noun,e)/teke,τίκτω,verb,*tunda/rews,Τυνδάρεος,proper,e)s,εἰς,preposition,to\n,ὁ,article,yo/gon,ψόγος,noun,ge/nos,γένος,noun,qugate/rwn,θυγάτηρ,adjective,dusklee/s,δυσκλεής,adverb,t',τε,particle,a)n',ἀνά,preposition,*(ella/da,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su/,σύ,pronoun,nun,νῦν,adverb,dia/fere,διαφέρω,verb,tw=n,ὁ,article,kakw=n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/cesti,ἔξεστι,verb,ga/r,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\,μή,conjunction,mo/non,μόνος,adjective,le/g',λέγω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,fro/nei,φρονέω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/moi,οἴμοι,interjection,kasi/gnht',κασίγνητος,noun,o)/mma,ὄμμα,noun,so\n,σός,adjective,tara/ssetai,ταράσσω,verb,taxu\s,ταχύς,adjective,de\,δέ,particle,mete/qou,μετατίθημι,verb,lu/ssan,λύσσα,noun,a)/rti,ἄρτι,adverb,swfronw=n,σωφρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,mh=ter,μήτηρ,noun,i(keteu/w,ἱκετεύω,verb,se,σύ,pronoun,mh\,μή,conjunction,'pi/seie/,ἐφίζω,verb,moi,ἐγώ,pronoun,ta\s,ὁ,article,ai(matwpou\s,αἱματωπός,adjective,kai\,καί,conjunction,drakontw/deis,δρακοντώδης,adjective,ko/ras,κόρη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au(=tai,οὗτος,pronoun,ga\r,γάρ,particle,au(=tai,οὗτος,pronoun,plhsi/on,πλησίος,adjective,qrw/|skousi/,θρῴσκω,verb,mou,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/n',μένω,verb,w)=,ὦ,interjection,talai/pwr',ταλαίπωρος,adjective,a)tre/ma,ἀτρέμας,adverb,soi=s,σός,adjective,e)n,ἐν,preposition,demni/ois,δέμνιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ra=|s,ὁράω,verb,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,w(=n,ὅς,pronoun,dokei=s,δοκέω,verb,sa/f',σάφα,adverb,ei)de/nai,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*foi=b',Φοίβη,proper,a)poktenou=si/,ἀποκτείνω,verb,m',ἐγώ,pronoun,ai(,ὁ,article,kunw/pides,κυνώπης,noun,gorgw=pes,γοργωπός,adjective,e)ne/rwn,ἔνεροι,noun,i(e/reai,ἱέρεια,noun,deinai\,δεινός,adjective,qeai/,θεά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/toi,οὔτοι,adverb,meqh/sw,μεθίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xei=ra,χείρ,noun,d',δέ,particle,e)mple/cas',ἐμπλέκω,verb,e)mh\n,ἐμός,adjective,sxh/sw,ἔχω,verb,se,σύ,pronoun,phda=n,πηδάω,verb,dustuxh=,δυστυχής,adverb,phdh/mata,πήδημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi/',εἷς,adjective,ou)=sa,εἰμί,verb,tw=n,ὁ,article,e)mw=n,ἐμός,adjective,*)erinu/wn,Ἐρινύς,proper,me/son,μέσος,adjective,m',ἐγώ,pronoun,o)xma/zeis,ὀχμάζω,verb,w(s,ὡς,conjunction,ba/lh|s,βάλλω,verb,e)s,εἰς,preposition,*ta/rtaron,Τάρταρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)\,οἰ,interjection,'gw\,ἀγός,noun,ta/laina,τάλας,adjective,ti/n',τίς,pronoun,e)pikouri/an,ἐπικουρία,noun,la/bw,λαμβάνω,verb,e)pei\,ἐπεί,conjunction,to\,ὁ,article,qei=on,θεῖος,adjective,dusmene\s,δυσμενής,adverb,kekth/meqa,κτάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,δίδωμι,verb,to/ca,τόξον,noun,moi,ἐγώ,pronoun,keroulka/,κερουλκός,adjective,dw=ra,δῶρον,noun,*loci/ou,Λοξίας,proper,oi(=s,ὅς,pronoun,m',ἐγώ,pronoun,ei)=p',εἶπον,verb,*)apo/llwn,Ἀπόλλων,proper,e)camu/nasqai,ἐξαμύνομαι,verb,qea/s,θεά,noun,ei)/,εἰ,conjunction,m',ἐγώ,pronoun,e)kfoboi=en,ἐκφοβέω,verb,mania/sin,μανιάς,adjective,lussh/masin,λύσσημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beblh/setai/,βάλλω,verb,tis,τις,pronoun,qew=n,θέα,noun,brothsi/a|,βρότειος,adjective,xeri/,χείρ,noun,ei),εἰ,conjunction,mh\,μή,conjunction,'camei/yei,ἐξαμείβω,verb,xwri\s,χωρίς,adverb,o)mma/twn,ὄμμα,noun,e)mw=n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,ei)sakou/et',εἰσακούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,o(ra=q',ὁράω,verb,e(khbo/lwn,ἑκηβόλος,adjective,to/cwn,τόξον,noun,pterwta\s,πτερωτός,adjective,glufi/das,γλυφίς,noun,e)cormwme/nas,ἐξορμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)=,ἆ,interjection,a)=,ἆ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh=ta,δῆτα,adverb,me/llet',μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)cakri/zet',ἐξακρίζω,verb,ai)qe/ra,αἰθήρ,noun,pteroi=s,πτερόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,τίς,pronoun,*foi/bou,Φοῖβος,proper,d',δέ,particle,ai)tia=sqe,αἰτιάομαι,verb,qe/sfata,θέσφατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,xrh=m',χρήμη,noun,a)lu/w,ἀλύω,verb,pneu=m',πνεῦμα,noun,a)nei\s,ἀνίημι,verb,e)k,ἐκ,preposition,pleumo/nwn,πλεύμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=,ποι,adverb,poi=,ποι,adverb,poq',ποτέ,particle,h(la/mesqa,ἅλλομαι,verb,demni/wn,δέμνιον,noun,a)/po,ἀπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
