word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS
ti/,ga\r,γάρ,particle,pa/qw,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/g',w)=,ὦ,interjection,geraiai/,γεραιός,adjective,stei/xete,στείχω,verb,glaukh\n,γλαυκός,adjective,xlo/hn,χλοάω,verb,au)tou=,αὐτός,pronoun,lipou=sai,λείπω,verb,fulla/dos,φυλλάς,noun,katastrofh=|,καταστροφεύς,noun,qeou/s,θεός,noun,te,τε,particle,kai\,καί,conjunction,gh=n,γῆ,noun,th/n,ὁ,article,te,τε,particle,purfo/ron,πυρφόρος,adjective,qea\n,θεά,noun,*dh/mhtra,Δημήτηρ,proper,qe/menai,τίθημι,verb,ma/rtur',μάρτυρος,noun,h(li/ou,ἥλιος,noun,te,τε,particle,fw=s,φάος,adjective,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,h(mi=n,ἐγώ,pronoun,h)/rkesan,ἀρκέω,verb,litai\,λιτή,noun,qew=n,θέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄγε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,*pe/lopos,Πέλοψ,proper,h)=n,εἰμί,verb,pai=s,πᾶς,adjective,*pelopi/as,Πελοπίη,proper,d',δέ,particle,h(mei=s,ἐγώ,pronoun,xqono\s,χθών,noun,tau)to\n,ταυτός,adjective,patrw=|on,πατρῷος,adjective,ai(=ma,αἷμα,noun,soi\,σύ,pronoun,kekth/meqa,κτάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,dra=|s,δράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prodw/seis,tau=ta,οὗτος,pronoun,ka)kbalei=s,ἐκβάλλω,verb,xqono\s,χθών,noun,grau=s,γραῦς,adjective,ou),οὐ,adverb,tuxou/sas,τυγχάνω,verb,ou)de\n,οὐδείς,pronoun,w(=n,ὅς,pronoun,au)ta\s,αὐτός,pronoun,e)xrh=n,χρή,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,προδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,dh=t',δῆτα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xei,ga\r,γάρ,particle,katafugh\n,καταφυγή,noun,qh\r,θήρ,noun,me\n,μέν,particle,pe/tran,πέτρα,noun,dou=los,δοῦλος,noun,de\,δέ,particle,bwmou\s,βωμός,noun,qew=n,θέα,noun,po/lis,πόλις,adjective,de\,δέ,particle,pro\s,πρός,preposition,po/lin,πόλις,adjective,e)/pthce,πτήσσω,verb,xeimasqei=sa,χειμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ga\r,γάρ,particle,e)n,ἐν,preposition,brotoi=s,βροτός,noun,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,ou)de\n,οὐδείς,pronoun,dia\,διά,preposition,te/lous,τέλος,noun,eu)daimonou=n,εὐδαιμονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba=qi,ta/lain',τάλας,adjective,i(erw=n,ἱερά,noun,dape/dwn,δάπεδον,noun,a)/po,ἀπό,preposition,*persefonei/as,Περσεφόνεια,proper,ba=qi,βαίνω,verb,kai\,καί,conjunction,a)nti/ason,ἀντιάω,verb,gona/twn,γόνυ,noun,e)/pi,ἐπί,preposition,xei=ra,χείρ,noun,balou=sa,βάλλω,verb,te/knwn,τέκνον,noun,teqnew/twn,θνήσκω,verb,komi/sai,κομίζω,verb,de/mas,δέμας,noun,w)=,ὦ,interjection,mele/a,μέλεος,adjective,'gw/,ἀγός,noun,ou(\s,ὅς,pronoun,u(po\,ὑπό,preposition,tei/xesi,τεῖχος,noun,*kadmei/oisin,Καδμεῖος,proper,a)pw/lesa,ἀπόλλυμι,verb,kou/rous,κόρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)w/,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἰώ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la/bete,fe/rete,φέρω,verb,pe/mpete,πέμπω,verb,kri/nete,κρίνω,verb,talai/nas,τάλας,adjective,xe/ras,χείρ,noun,geraia/s,γεραιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/s,se,σύ,pronoun,geneia/dos,γενειάς,noun,w)=,ὦ,interjection,fi/los,φίλος,adjective,w)=,ὦ,interjection,dokimw/tatos,δόκιμος,adjective,*(ella/di,Ἑλλάς,proper,a)/ntomai,ἄντομαι,verb,a)mfipi/tnousa,ἀμφιπίπτω,verb,to\,ὁ,article,so\n,σός,adjective,go/nu,γόνυ,noun,kai\,καί,conjunction,xe/ra,χείρ,noun,deilai/a,δείλαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/ktisai,a)mfi\,ἀμφί,preposition,te/knwn,τέκνον,noun,m',ἐγώ,pronoun,i(ke/tan,ἱκέτης,noun,h)/,ἠέ,conjunction,tin',τις,pronoun,a)la/tan,ἀλήτης,adjective,oi)ktro\n,οἰκτρός,adjective,i)h/lemon,ἰάλεμος,noun,oi)ktro\n,οἰκτρός,adjective,i(ei=san,ἵημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἰκτίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhd',a)ta/fous,ἄταφος,adjective,te/knon,τέκνον,noun,e)n,ἐν,preposition,xqoni\,χθών,noun,*ka/dmou,Κάδμος,proper,xa/rmata,χάρμα,noun,qhrw=n,θήρ,noun,pai=das,παῖς,adjective,e)n,ἐν,preposition,a(liki/a|,ἁλικία,noun,ta=|,ὁ,article,sa=|,σός,adjective,kati/dh|s,κατεῖδον,verb,i(keteu/w,ἱκετεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μηδέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ble/yon,e)mw=n,ἐμός,adjective,blefa/rwn,βλέφαρον,noun,e)/pi,ἐπί,preposition,da/kruon,δάκρυον,noun,a(\,ὅς,pronoun,peri\,περί,preposition,soi=si,σός,adjective,gou/nasin,γόνυ,noun,w(=de,ὧδε,adverb,pi/tnw,πίπτω,verb,te/knois,τέκνον,noun,ta/fon,τάφος,noun,e)canu/sasqai,ἐξανύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βλέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh=ter,ti/,τίς,pronoun,klai/eis,κλαίω,verb,le/pt',λεπτός,adjective,e)p',ἐπί,preposition,o)mma/twn,ὄμμα,noun,fa/rh,φάρος,noun,balou=sa,βάλλω,verb,tw=n,ὁ,article,sw=n,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μήτηρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)=ra,dusth/nous,δύστηνος,adjective,go/ous,γόος,noun,klu/ousa,κλύω,verb,tw=nde,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἆρα,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)me\,ga\r,γάρ,particle,dih=lqe/,διέρχομαι,verb,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/paire,leuko\n,λευκός,adjective,kra=ta,κράς,verb,mh\,μή,conjunction,dakrurro/ei,δακρυρροέω,verb,semnai=si,σεμνός,adjective,*dhou=s,Δηώ,proper,e)sxa/rais,ἐσχάρα,noun,parhme/nh,παρῆμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,tou/twn,οὗτος,pronoun,ou)xi\,οὐ,adverb,soi\,σύ,pronoun,stenakte/on,στενακτέον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,tlh/mones,τλήμων,adjective,gunai=kes,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὦ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),su\,σύ,pronoun,tw=nd',ὅδε,pronoun,e)/fus,φύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/pw,ti,τις,pronoun,te/knon,τέκνον,noun,soi/,σύ,pronoun,te,τε,particle,kai\,καί,conjunction,po/lei,πόλις,adjective,kalo/n,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,polla/,πολύς,adjective,g',γε,particle,e)sti\,εἰμί,verb,ka)po\,ἀπό,preposition,qhleiw=n,θῆλυς,adjective,sofa/,σοφός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ei)s,εἰς,preposition,o)/knon,ὄκνος,noun,moi,ἐγώ,pronoun,mu=qos,μῦθος,noun,o(\n,ὅς,pronoun,keu/qw,κεύθω,verb,fe/rei,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)sxro/n,g',γε,particle,e)/lecas,λέγω,verb,xrh/st',χρήστης,adjective,e)/ph,ἔπος,adjective,kru/ptein,κρύπτω,verb,fi/lois,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αἰσχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/toi,siwpw=s',σιωπάω,verb,ei)=ta,εἶτα,adverb,me/myomai/,μέμφομαι,verb,pote,ποτέ,particle,th\n,ὁ,article,nu=n,νῦν,adverb,siwph\n,σιωπή,noun,w(s,ὡς,conjunction,e)sigh/qh,σιγάω,verb,kakw=s,κακός,adjective,ou)d',οὐδέ,particle,w(s,ὡς,conjunction,a)xrei=on,ἀχρεῖος,adjective,ta\s,ὁ,article,gunai=kas,γυνή,noun,eu)=,εὖ,adverb,le/gein,λέγω,verb,dei/sas',δείδω,verb,a)fh/sw,ἀφίημι,verb,tw=|,ὁ,article,fo/bw|,φόβος,noun,tou)mo\n,ἐμός,adjective,kalo/n,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὔτοι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,de/,δέ,particle,s',σύ,pronoun,w)=,ὦ,interjection,pai=,παῖς,adjective,prw=ta,πρότερος,adjective,me\n,μέν,particle,ta\,τίς,pronoun,tw=n,ὁ,article,qew=n,θέα,noun,skopei=n,σκοπάω,verb,keleu/w,κελεύω,verb,mh\,μή,conjunction,sfalh=|s,σφάλλω,verb,a)tima/sas,ἀτιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta)/ll',eu)=,εὖ,adverb,fronw=n,φρονέω,verb,ga/r,γάρ,particle,e)n,ἐν,preposition,mo/nw|,μόνος,adjective,tou/tw|,οὗτος,pronoun,'sfa/lhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,toi=sde,ὅδε,pronoun,d',δέ,particle,ei),εἰ,conjunction,me\n,μέν,particle,mh\,μή,conjunction,a)dikoume/nois,ἀδικέω,verb,e)xrh=n,χρή,verb,tolmhro\n,τολμηρός,adjective,ei)=nai,εἰμί,verb,ka/rt',κάρτα,adverb,a)\n,ἄν,particle,ei)=xon,ἔχω,verb,h(su/xws,ἥσυχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,d',δέ,particle,i)/sqi,εἰμί,verb,soi/,σύ,pronoun,te,τε,particle,tou=q',οὗτος,pronoun,o(/shn,ὅσος,adjective,timh\n,τιμή,noun,fe/rei,φέρω,verb,ka)moi\,ἐγώ,pronoun,parainei=n,παραινέω,verb,ou),οὐ,adverb,fo/bon,φόβος,noun,fe/rei,φέρω,verb,te/knon,τέκνον,noun,a)/ndras,ἀνήρ,noun,biai/ous,βίαιος,adjective,kai\,καί,conjunction,katei/rgontas,κατείργω,verb,nekrou\s,νεκρός,noun,ta/fou,τάφος,noun,te,τε,particle,moi/ras,μοῖρα,adjective,kai\,καί,conjunction,kterisma/twn,κτερίσματα,noun,laxei=n,λαγχάνω,verb,e)s,εἰς,preposition,th/nd',ὅδε,pronoun,a)na/gkhn,ἀνάγκη,noun,sh=|,σός,adjective,katasth=sai,καθίστημι,verb,xeri/,χείρ,noun,no/mima/,νόμιμος,adjective,te,τε,particle,pa/shs,πᾶς,adjective,sugxe/ontas,συγχέω,verb,*(ella/dos,Ἑλλάς,proper,pau=sai,παύω,verb,,,,,,,νῦν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ga/r,γάρ,particle,toi,σύ,pronoun,sune/xon,συνόχωκα,verb,a)nqrw/pwn,ἄνθρωπος,noun,po/leis,πόλις,adjective,tou=t',οὗτος,pronoun,e)/sq',ἔσθω,verb,o(/tan,ὅταν,conjunction,tis,τις,pronoun,tou\s,ὁ,article,no/mous,νόμος,noun,sw/|zh|,σώζω,verb,kalw=s,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)rei=,de\,δέ,particle,dh/,δή,particle,tis,τις,pronoun,w(s,ὡς,conjunction,a)nandri/a|,ἀνανδρία,noun,xerw=n,χείρ,noun,po/lei,πόλις,adjective,paro/n,πάρειμι,verb,soi,σύ,pronoun,ste/fanon,στέφανος,noun,eu)klei/as,εὔκλεια,noun,labei=n,λαμβάνω,verb,dei/sas,δείδω,verb,a)pe/sths,ἀφίστημι,verb,kai\,καί,conjunction,suo\s,ὗς,noun,me\n,μέν,particle,a)gri/ou,ἄγριος,adjective,a)gw=nos,ἀγών,noun,h(/yw,ἅπτω,verb,fau=lon,φαῦλος,adjective,a)qlh/sas,ἀθλέω,verb,po/non,πόνος,noun,ou(=,ἕ,pronoun,d',δέ,particle,e)s,εἰς,preposition,kra/nos,κράνος,adjective,ble/yanta,βλέπω,verb,kai\,καί,conjunction,lo/gxhs,λόγχη,noun,a)kmh\n,ἀκμή,noun,xrh=n,χράω,verb,e)kponh=sai,ἐκπονέω,verb,deilo\s,δειλός,adjective,w)\n,εἰμί,verb,e)fhure/qhs,ἐφευρίσκω,verb,,,,,,,,,,ἐράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,dh=t',δῆτα,adverb,e)mo/s,ἐμός,adjective,g',γε,particle,w)/n,εἰμί,verb,w)=,ὦ,interjection,te/knon,τέκνον,noun,dra/sh|s,δράω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
