word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/32/lemma/@_entry,word/32/lemma/@_POS
oi(,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,te,τε,particle,paro/ntwn,πάρειμι,verb,a)pori/a|,ἀπορία,noun,kai\,καί,conjunction,oi)/ktw|,οἶκτος,noun,tw=n,ὁ,article,gunaikw=n,γυνή,noun,suggignw/skontes,συγγιγνώσκω,verb,h)/dh,ἤδη,adverb,mh\,μή,conjunction,kaq',κατά,preposition,u(/brin,ὕβρις,noun,ei)rga/sqai,ἐργάζομαι,verb,tau=ta,οὗτος,pronoun,*rwmai/ous,,,a)ll',ἀλλά,adverb,u(po\,ὑπό,preposition,xrei/as,χρεία,noun,e)s,εἰς,preposition,ta\s,ὁ,article,diallaga\s,διαλλαγή,noun,e)nedi/doun,ἐνδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,sunelqo/ntes,συνέρχομαι,verb,*(rwmu/los,,,te,τε,particle,kai\,καί,conjunction,*ta/tios,,,e)s,εἰς,preposition,th\n,ὁ,article,e)c,ἐκ,preposition,e)kei/nou,ἐκεῖνος,pronoun,i(era\n,ἱερός,adjective,genome/nhn,γίγνομαι,verb,o(do\n,ὁδός,adjective,e)pi\,ἐπί,preposition,toi=sde,ὅδε,pronoun,sune/bhsan,συμβαίνω,verb,basileu/ein,βασιλεύω,verb,me\n,μέν,particle,a)/mfw,ἄμφω,noun,*ta/tio/n,,,te,τε,particle,kai\,καί,conjunction,*(rwmu/lon,,,*sabi/nous,Σαβῖνος,proper,de\,δέ,particle,tou\s,ὁ,article,to/te,τότε,adverb,tw=|,ὁ,article,*tati/w|,,,sustrateu/santas,συστρατεύω,verb,kai\,καί,conjunction,ei)/,εἰ,conjunction,tines,a)/lloi,ἄλλος,adjective,tw=n,ὁ,article,*sabi/nwn,Σαβῖνος,proper,e)qe/loien,ἐθέλω,verb,e)s,εἰς,preposition,to\,ὁ,article,*(rwmai/wn,,,metoiki/zesqai,μετοικίζω,verb,e)p',ἐπί,preposition,i)/sh|,ἴσος,adjective,kai\,καί,conjunction,o(moi/a|,ὅμοιος,adjective,,,,τις,pronoun
o(,ὁ,article,de\,δέ,particle,strathgo\s,στρατηγός,noun,ai)sqo/menos,αἰσθάνομαι,verb,par',παρά,preposition,i)dioce/nwn,,,e)ch/ggeilen,ἐξαγγέλλω,verb,*(ostili/w|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,e)blasfh/moun,βλασφημέω,verb,au)to\n,αὐτός,pronoun,w(s,ὡς,conjunction,kakw=s,κακός,adjective,e)pi\,ἐπί,preposition,trisi\n,τρεῖς,noun,a)ndra/si,ἀνήρ,noun,ta\,ὁ,article,pa/nta,πᾶς,adjective,qe/menon,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumba/seis,σύμβασις,noun,poiei=n,ποιέω,verb,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,*ga/bioi,,,dikaiw=sin,δικαιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)nei=tai,ὠνέομαι,verb,ta\,ὁ,article,tri/a,τρεῖς,noun,bibli/a,βιβλίον,noun,th=s,ὁ,article,timh=s,τιμή,noun,tw=n,ὁ,article,e)nne/a,ἐννέα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*(ora/tios,Ὁράτιος,proper,lelwbhme/nos,λωβάομαι,verb,h)=n,εἰμί,verb,ta\,ὁ,article,ske/lh,σκέλος,noun,u(patei/as,ὑπατεία,noun,te,τε,particle,ou)k,οὐ,adverb,e)/tuxen,τυγχάνω,verb,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,pole/mw|,πόλεμος,noun,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,ei)rh/nh|,εἰρήνη,noun,dia\,διά,preposition,th\n,ὁ,article,a)xrhsti/an,ἀχρηστία,noun,tw=n,ὁ,article,podw=n,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,u(/patoi,ὕπατος,adjective,ta\,ὁ,article,o(/rkia,ὅρκιον,noun,prou/teinon,προτείνω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,pa/nta,πᾶς,adjective,e)/fasan,φημί,verb,e)ndw/sein,ἐνδίδωμι,verb,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,*tarku/nion,,,prosh/sesqai,προσίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*tarku/nios,,,*sabi/nous,Σαβῖνος,proper,kata\,κατά,preposition,*(rwmai/wn,,,h)re/qize,ἐρεθίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*klau/dios,Κλαύδιος,proper,de/,δέ,particle,a)nh\r,ἀνήρ,noun,*sabi=nos,Σαβῖνος,proper,e)k,ἐκ,preposition,*(rhgi/llou,,,po/lews,πόλις,adjective,dunato/s,δυνατός,adjective,ou)k,οὐ,adverb,ei)/a,ἀίω,verb,tou\s,ὁ,article,*sabi/nous,Σαβῖνος,proper,paraspondei=n,παρασπονδέω,verb,e(/ws,ἕως,conjunction,krino/menos,κρίνω,verb,e)pi\,ἐπί,preposition,tw=|de,ὅδε,pronoun,e)/fugen,φεύγω,verb,e)s,εἰς,preposition,*(rw/mhn,,,meta\,μετά,preposition,suggenw=n,συγγενής,adverb,kai\,καί,conjunction,fi/lwn,φίλος,adjective,kai\,καί,conjunction,dou/lwn,δοῦλος,noun,pentakisxili/wn,πεντακισχίλιοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,pa=si,πᾶς,adjective,*(rwmai=oi,,,xw/ran,χώρα,noun,e)s,εἰς,preposition,oi)ki/as,οἰκία,noun,e)/dosan,δίδωμι,verb,kai\,καί,conjunction,gh=n,γῆ,noun,e)s,εἰς,preposition,gewrgi/an,γεωργία,noun,kai\,καί,conjunction,poli/tas,πολίτης,noun,e)/qento,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,de\,δέ,particle,*klau/dion,Κλαύδιος,proper,kai\,καί,conjunction,e)s,εἰς,preposition,to\,ὁ,article,bouleuth/rion,βουλευτήριον,noun,kate/lecan,καταλέγω,verb,a)podeiknu/menon,ἀποδείκνυμι,verb,e)/rga,ἔργον,noun,lampra\,λαμπρός,adjective,kata\,κατά,preposition,tw=n,ὁ,article,*sabi/nwn,Σαβῖνος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,fulh\n,φυλή,noun,e)pw/numon,ἐπώνυμος,adjective,au)tou=,αὐτός,pronoun,kate/sthsan,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*lati=noi,Λατῖνος,proper,e)/nspondoi,ἔνσπονδος,adjective,*(rwmai/ois,,,o)/ntes,εἰμί,verb,e)stra/teuon,στρατεύω,verb,e)p',ἐπί,preposition,au)tou/s,αὐτός,pronoun,oi(,ὁ,article,de\,δέ,particle,*lati=noi,Λατῖνος,proper,e)gklh/mata,ἔγκλημα,noun,ei)s,εἰς,preposition,*(rwmai/ous,,,e)poiou=nto,ποιέω,verb,th/n,ὁ,article,te,τε,particle,pa/resin,πάρεσις,noun,au)tw=n,αὐτός,pronoun,th\n,ὁ,article,e)pi\,ἐπί,preposition,sfa=s,σφεῖς,pronoun,o)/ntas,εἰμί,verb,e)nspo/ndous,ἔνσπονδος,adjective,kai\,καί,conjunction,suggenei=s,συγγενεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
