word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
w)=,ὦ,interjection,pa=si,πᾶς,adjective,toi=s,ὁ,article,o(mofu/lois,ὁμόφυλος,adjective,e)nagisma/twn,ἐνάγισμα,noun,h(me/ra,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,koinh\,κοινός,adjective,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,a)pofra\s,ἀποφράς,noun,oi(/an,οἷος,adjective,kefalh\n,κεφαλή,noun,tou=,ὁ,article,ge/nous,γένος,noun,a)ph/negkas,ἀποφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=on,οἷος,adjective,e)cei=les,ἐξαιρέω,verb,o)fqalmo/n,ὀφθαλμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,gh=s,γῆ,noun,a)/galma,ἄγαλμα,noun,w)=,ὦ,interjection,qe/atron,θέατρον,noun,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,w)=,ὦ,interjection,*numfw=n,Νύμφης,proper,kai\,καί,conjunction,*xari/twn,Χάρις,proper,u(/fasma,ὑπαύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,pa/nta,πᾶς,adjective,u(pomei/nas,ὑπομένω,verb,e)gw\,ἐγώ,pronoun,pou=,πού,adverb,gh=s,γῆ,noun,nuni\,νυνί,adverb,monw|dw=,μονῳδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,moi,ἐγώ,pronoun,to\,ὁ,article,bouleuth/rion,βουλευτήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pou=,πού,adverb,ne/wn,νέος,adjective,kai\,καί,conjunction,presbute/rwn,πρέσβυς,noun,su/nodoi,σύνοδος,noun,kai\,καί,conjunction,qo/ruboi,θόρυβος,noun,dido/ntwn,δίδωμι,verb,a(/panta,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,pote,ποτέ,particle,e)n,ἐν,preposition,tw=|,ὁ,article,*sipu/lw|,Σίπυλος,proper,po/lis,πόλις,adjective,h(\n,ὅς,pronoun,kata\,κατά,preposition,th=s,ὁ,article,li/mnhs,λίμνη,noun,du=nai,δύω,verb,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*smu/rna,Σμύρνα,proper,w(s,ὡς,conjunction,po/rrwqe/n,πρόσωθεν,adverb,soi,σύ,pronoun,to\,ὁ,article,prooi/mion,προοίμιον,noun,h)/|deto,ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(/as,οἷος,adjective,e)klhrono/mhsas,κληρονομέω,verb,tu/xhs,τύχη,noun,w(s,ὡς,conjunction,h(/kista,ἥκιστος,adjective,sauth=|,σαυτοῦ,pronoun,proshkou/shs,προσήκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,e)/dei,δέω,verb,me\n,μέν,particle,pa/ntas,πᾶς,adjective,oi)wnou\s,οἰωνός,noun,ei)s,εἰς,preposition,pu=r,πῦρ,noun,e)na/llesqai,ἐνάλλομαι,verb,pare/xei,παραχέω,verb,d',δέ,particle,h(,ὁ,article,po/lis,πόλις,adjective,a)/fqonon,ἄφθονος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=san,πᾶς,adjective,de\,δέ,particle,th\n,ὁ,article,h)/peiron,ἤπειρος,adjective,a)pokei/rasqai,ἀποκείρω,verb,pa/ntws,πάντως,adverb,au)th=s,αὐτός,pronoun,o(,ὁ,article,bo/struxos,βόστρυχος,noun,oi)/xetai,οἴχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,potamou\s,ποταμός,noun,da/krusi,δάκρυον,noun,r(uh=nai,ῥέω,verb,nu=n,νῦν,adverb,o(lka/das,ὁλκάς,noun,e)kpleu=sai,ἐκπλέω,verb,me/lasi,μέλας,adjective,toi=s,ὁ,article,i(sti/ois,ἱστίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*me/lhs,Μέλης,proper,di',διά,preposition,e)rh/mou,ἐρῆμος,adjective,r(e/wn,ῥέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,tw=n,ὁ,article,prote/rwn,πρότερος,adjective,melw=n,μέλη,noun,ta\,ὁ,article,paro/nta,πάρειμι,verb,a)nti/fqogga,ἀντίφθογγος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ku/knwn,κύκνος,noun,w)|dh\,ἀοιδός,noun,kai\,καί,conjunction,a)hdo/nwn,ἀηδών,noun,xoro\s,χορός,noun,e)nqrhnei=n,ἐνθρηνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,pou,πού,adverb,kai\,καί,conjunction,*gorgo/nes,Γοργώ,proper,ei),εἰ,conjunction,perih=san,περίειμι,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,th\n,ὁ,article,*me/dousan,Μεδούσα,proper,ou)de\,οὐδέ,particle,to\n,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,o)fqalmo\n,ὀφθαλμός,noun,a)lla\,ἀλλά,adverb,to\n,ὁ,article,th=s,ὁ,article,*)asi/as,Ἄσιος,proper,e)pe/nqhsan,πενθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=on,ποῖος,adjective,*bo/sporon,Βόσπορος,proper,h)\,ἠέ,conjunction,poi/ous,ποῖος,adjective,katarra/ktas,καταρράκτης,adjective,h)\,ἠέ,conjunction,ti/na,τίς,pronoun,*tarthsso\n,Ταρτησσός,proper,to\,ὁ,article,so\n,σός,adjective,w)=,ὦ,interjection,daimoni/a,δαιμόνιος,adjective,kle/os,κλέος,noun,ou)k,οὐ,adverb,e)ph=lqe,ἐπέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi/a|,ποῖος,adjective,*massali/a|,Μασσαλία,proper,to\,ὁ,article,pe/nqos,πένθος,noun,tou=to,οὗτος,pronoun,o(risqh/setai,ὁρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,ti/ni,τίς,pronoun,*borusqe/nei,Βορυσθένης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,*(ellh/nwn,Ἕλλην,proper,ou(/tws,οὕτως,adverb,e)/cw,ἔξω,adverb,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,barba/rwn,βάρβαρος,adjective,ou(/tws,οὕτως,adverb,a)da/mastos,ἀδάμαστος,adjective,kai\,καί,conjunction,a)na/lwtos,ἀνάλωτος,adjective,toi=s,ὁ,article,th=s,ὁ,article,*smu/rnhs,Σμύρνα,proper,be/lesi,βέλος,noun,kai\,καί,conjunction,fi/ltrois,φίλτρον,noun,o(/stis,ὅστις,pronoun,ou)k,οὐ,adverb,a)koh=|,ἀκοή,noun,me\n,μέν,particle,h)/ra,ἐράω,verb,a)koh=|,ἀκοή,noun,de\,δέ,particle,a)nia/setai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνιάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(hlia/das,Ἡλιάδης,proper,me\n,μέν,particle,dh\,δή,particle,le/getai,λέγω,verb,penqou/sas,πενθέω,verb,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,teleutw/sas,τελευτάω,verb,ai)gei/rwn,αἴγειρος,noun,a)lla/casqai,ἀλλάσσω,verb,fu/sin,φύσις,noun,kai\,καί,conjunction,to\,ὁ,article,da/kruon,δάκρυον,noun,au)tw=n,αὐτός,pronoun,ei)s,εἰς,preposition,h)/lektron,ἤλεκτρον,noun,pagh=nai,πάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se\,σύ,pronoun,de\,δέ,particle,w)=,ὦ,interjection,xariesta/th,χαρίεις,adjective,po/lewn,πόλις,adjective,au)toi=s,αὐτός,pronoun,w(/ra,ὥρα,adjective,toi=s,ὁ,article,de/ndresi,δένδρον,adjective,qrhnei=n,θρηνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
