word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
mw=ra,μωρός,adjective,ga\r,γάρ,particle,mw=ros,μωρός,adjective,le/gei,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(osi/a,ὁσία,noun,po/tna,πότνα,adjective,qew=n,θέα,noun,*(osi/a,ὁσία,noun,d',δέ,particle,a(\,ὅς,pronoun,kata\,κατά,preposition,ga=n,γῆ,noun,xruse/an,χρύσεος,adjective,pte/ruga,πτέρυξ,adjective,fe/reis,φέρω,verb,ta/de,ὅδε,pronoun,*penqe/ws,Πενθεύς,proper,a)i/eis,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)i/eis,ἀίω,verb,ou)x,οὐ,adverb,o(si/an,ὁσία,noun,u(/brin,ὕβρις,noun,e)s,εἰς,preposition,to\n,ὁ,article,*bro/mion,Βρόμιος,proper,to\n,ὁ,article,*seme/las,Σεμέλη,proper,to\n,ὁ,article,para\,παρά,preposition,kallistefa/nois,καλλιστέφανος,adjective,eu)frosu/nais,εὐφροσύνη,noun,dai/mona,δαίμων,adjective,prw=ton,πρότερος,adjective,maka/rwn,,,,μάκαρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,ta/d',ὅδε,pronoun,e)/xei,ἔχω,verb,qiaseu/ein,θιασεύω,verb,te,τε,particle,xoroi=s,χορός,noun,meta/,μετά,preposition,t',τε,particle,au)lou=,αὐλός,noun,gela/sai,γελάω,verb,a)popau=sai/,ἀποπαύω,verb,te,τε,particle,meri/mnas,μέριμνα,noun,o(po/tan,ὁπόταν,adverb,bo/truos,βότρυς,adjective,e)/lqh|,ga/nos,γάνος,adjective,ἔρχομαι,verb,e)n,ἐν,preposition,daiti\,δαίς,adjective,qew=n,θέα,noun,kissofo/rois,κισσοφόρος,adjective,d',δέ,particle,e)n,ἐν,preposition,qali/ais,θαλία,noun,a)ndra/si,ἀνήρ,noun,krath\r,κρατήρ,noun,u(/pnon,ὕπνον,noun,a)mfiba/llh|,ἀμφιβάλλω,verb,a)xali/nwn,ἀχάλινος,adjective,stoma/twn,στόμα,noun,a)no/mou,ἄνομος,adjective,t',τε,particle,a)frosu/nas,ἀφροσύνη,noun,to\,ὁ,article,te/los,τέλος,noun,dustuxi/a,δυστυχία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,ta=s,ὁ,article,h(suxi/as,ἡσυχία,noun,bi/otos,βίοτος,noun,kai\,καί,conjunction,to\,ὁ,article,fronei=n,φρονέω,verb,a)sa/leuto/n,ἀσάλευτος,adjective,te,τε,particle,me/nei,μένω,verb,kai\,καί,conjunction,sune/xei,συγχέω,verb,dw/mata,δῶμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/rsw,πρόσω,adverb,ga\r,γάρ,particle,o(/mws,ὅμως,conjunction,ai)qe/ra,αἰθήρ,noun,nai/ontes,ναίω,verb,o(rw=sin,ὁράω,verb,ta\,ὁ,article,brotw=n,βροτός,noun,ou)rani/dai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,sofo\n,σοφός,adjective,d',δέ,particle,ou),οὐ,adverb,sofi/a,σοφία,noun,to/,ὁ,article,te,τε,particle,mh\,μή,conjunction,qnhta\,θνητός,adjective,fronei=n,φρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braxu\s,βραχύς,adjective,ai)w/n,αἰών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,tou/tw|,οὗτος,pronoun,de/,δέ,particle,tis,τις,pronoun,a)\n,ἄν,particle,mega/la,μέγας,adverb,diw/kwn,διώκω,verb,ta\,ὁ,article,paro/nt',πάρειμι,verb,ou)xi\,οὐ,adverb,fe/roi,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mainome/nwn,μαίνομαι,verb,oi(/de,ὅδε,pronoun,tro/poi,τρόπος,noun,kai\,καί,conjunction,kakobou/lwn,κακόβουλος,adjective,par',παρά,preposition,e)/moige,ἐγώ,pronoun,fwtw=n,φώς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(koi/man,ἱκνέομαι,verb,poti\,πρός,preposition,*ku/pron,Κύπρος,proper,na=son,νῆσος,noun,ta=s,ὁ,article,*)afrodi/tas,Ἀφροδίτη,proper,i(/n',ἵνα,conjunction,oi(,ὁ,article,qelci/frones,θελξίφρων,adjective,ne/montai,νέμω,verb,qnatoi=sin,θνητός,adjective,*)/erwtes,ἔρως,noun,*pa/fon,Πάφος,proper,q',τε,particle,a(\n,ὅς,pronoun,e(kato/stomoi,barba/rou,βάρβαρος,adjective,ἑκατόστομος,adjective,potamou=,ποταμός,noun,r(oai\,ῥοή,noun,karpi/zousin,καρπίζω,verb,a)/nombroi,ἄνομβρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=,ἕ,pronoun,d',δέ,particle,a(,ὁ,article,kallisteuome/na,καλλιστεύω,verb,*pieri/a,Πιερία,proper,mou/seios,Μούσειος,proper,e(/dra,ἕδρα,noun,semna\,σεμνός,adjective,klitu\s,κλιτύς,noun,*)olu/mpou,Ὄλυμπος,proper,e)kei=s',ἐκεῖσε,adverb,a)/ge,ἄγε,adverb,me,ἐγώ,pronoun,*bro/mie,Βρόμιος,proper,*bro/mie,Βρόμιος,proper,pro/bakx',eu)/ie,ἤιος,adjective,,,dai=mon,δαίμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=,ἐκεῖ,adverb,*xa/rites,Χάρις,proper,e)kei=,ἐκεῖ,adverb,de\,δέ,particle,*po/qos,Πόθος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=,ἐκεῖ,adverb,de\,δέ,particle,ba/kxais,Βάκχη,proper,qe/mis,θέμις,noun,o)rgia/zein,ὀργιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,dai/mwn,δαίμων,adjective,o(,ὁ,article,*dio\s,Ζεύς,proper,pai=s,πᾶς,adjective,xai/rei,χαίρω,verb,me\n,μέν,particle,qali/aisin,θαλία,noun,filei=,φιλέω,verb,d',δέ,particle,o)lbodo/teiran,ὀλβοδότειρα,noun,*ei)rh/nan,Εἰρήνη,proper,kourotro/fon,κουροτρόφος,adjective,qea/n,θεά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/san,εἶμι,verb,d',δέ,particle,e)/s,εἰς,preposition,te,τε,particle,to\n,ὁ,article,o)/lbion,ὄλβιος,adjective,to/n,ὁ,article,te,τε,particle,xei/rona,χείρων,adverb,dw=k',δίδωμι,verb,e)/xein,ἔχω,verb,oi)/nou,οἶνον,noun,te/ryin,τέρψις,noun,a)/lupon,ἄλυπον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misei=,μισέω,verb,d',δέ,particle,w(=|,ὅς,pronoun,mh\,μή,conjunction,tau=ta,οὗτος,pronoun,me/lei,μέλω,verb,kata\,κατά,preposition,fa/os,φάος,adjective,nu/ktas,νύξ,adjective,te,τε,particle,fi/las,φίλος,adjective,eu)ai/wna,εὐαίων,noun,diazh=n,διαζάω,verb,sofa\n,σοφός,adjective,d',δέ,particle,a)pe/xein,prapi/da,πραπίδες,noun,ἀπέχω,verb,fre/na,φρήν,noun,te,τε,particle,perissw=n,περισσός,adjective,para\,παρά,preposition,fwtw=n,φώς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,plh=qos,πλῆθος,noun,o(/,ὅς,pronoun,ti,τις,pronoun,to\,ὁ,article,faulo/teron,φαῦλος,adjective,e)no/mise,νομίζω,verb,xrh=tai/,χράομαι,verb,te,τε,particle,to/d',ὅδε,pronoun,a)\n,ἄν,particle,dexoi/man,δέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*penqeu=,Πενθεύς,proper,pa/resmen,πάρειμι,verb,th/nd',ὅδε,pronoun,a)/gran,ἄγρα,noun,h)greuko/tes,ἀγρεύω,verb,e)f',ἐπί,preposition,h(\n,ὅς,pronoun,e)/pemyas,πέμπω,verb,ou)d',οὐδέ,particle,a)/kranq',ἄκραντος,adjective,w(rmh/samen,ὁρμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,qh\r,θήρ,noun,d',δέ,particle,o(/d',ὅδε,pronoun,h(mi=n,ἐγώ,pronoun,pra=os,πρᾶος,adjective,ou)d',οὐδέ,particle,u(pe/spasen,ὑποσπάω,verb,fugh=|,φυγή,noun,po/d',πούς,noun,a)ll',ἀλλά,adverb,e)/dwken,δίδωμι,verb,ou)k,οὐ,adverb,a)/kwn,ἀέκων,adjective,xe/ras,χείρ,noun,ou)d',w)xro/s,ὠχρός,adjective,οὐδέ,particle,ou)d',οὐδέ,particle,h)/llacen,ἀλλάσσω,verb,oi)nwpo\n,οἰνωπός,adjective,ge/nun,γένυς,noun,gelw=n,γελάω,verb,de\,δέ,particle,kai\,καί,conjunction,dei=n,δέω,verb,ka)pa/gein,ἀπάγω,verb,e)fi/eto,ἐφίημι,verb,e)/mene/,μένω,verb,te,τε,particle,tou)mo\n,ἐμός,adjective,eu)trepe\s,εὐτρεπής,adverb,poiou/menos,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,di',διά,preposition,ai)dou=s,αἰδώ,noun,ei)=pon,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)=w,ὦ,interjection,ce/n',ξένος,noun,ou)x,οὐ,adverb,e(kw\n,ἑκών,adjective,a)/gw,ἄγαμαι,verb,se,σύ,pronoun,*penqe/ws,Πενθεύς,proper,d',δέ,particle,o(/s,ὅς,pronoun,m',ἐγώ,pronoun,e)/pemy',πέμπω,verb,e)pistolai=s,ἐπιστολή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\s,ὅς,pronoun,d',δέ,particle,au)=,αὖ,interjection,su\,σύ,pronoun,ba/kxas,Βακχάω,verb,ei(=rcas,ἔργω,verb,a(\s,ὅς,pronoun,sunh/rpasas,συναρπάζω,verb,ka)/dhsas,δέω,verb,e)n,ἐν,preposition,desmoi=si,δεσμός,noun,pandh/mou,πάνδημος,adjective,ste/ghs,στέγη,noun,frou=dai/,φροῦδος,adjective,g',γε,particle,e)kei=nai,lelume/nai,λύω,verb,ἐκεῖνος,pronoun,pro\s,πρός,preposition,o)rga/das,ὀργάς,noun,skirtw=si,σκιρτάω,verb,*bro/mion,Βρόμιος,proper,a)nakalou/menai,ἀνακαλέω,verb,qeo/n,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to/mata,αὐτόματος,adjective,d',δέ,particle,au)tai=s,αὐτός,pronoun,desma\,δεσμός,noun,dielu/qh,διαλύω,verb,podw=n,πούς,noun,klh=|de/s,κλείς,noun,t',τε,particle,a)nh=kan,ἀνίημι,verb,qu/retr',θύρετρα,adjective,a)/neu,ἄνευ,preposition,qnhth=s,θνητός,adjective,xero/s,χείρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,d',δέ,particle,o(/d',ὅδε,pronoun,a(nh\r,ἀνήρ,noun,qauma/twn,θαῦμα,noun,h(/kei,ἥκω,verb,ple/ws,πλέος,adjective,e)s,εἰς,preposition,ta/sde,ὅδε,pronoun,*qh/bas,Θήβη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soi\,σύ,pronoun,de\,δέ,particle,ta)/lla,ἄλλος,adjective,xrh\,χρή,verb,me/lein,μέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/qesqe,μεθίημι,verb,xeirw=n,χείρ,noun,tou=d',ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,a)/rkusin,ἄρκυς,adjective,ga\r,γάρ,particle,w)\n,εἰμί,verb,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,ou(/tws,οὕτως,adverb,w)ku\s,ὠκύς,adjective,w(/ste,ὥστε,conjunction,m',ἐγώ,pronoun,e)kfugei=n,ἐκφεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,to\,ὁ,article,me\n,μέν,particle,sw=m',σῶμα,adjective,ou)k,οὐ,adverb,a)/morfos,ἄμορφος,adjective,ei)=,εἶμι,verb,ce/ne,ξένος,noun,w(s,ὡς,conjunction,e)s,εἰς,preposition,gunai=kas,γυνή,noun,e)f',ἐπί,preposition,o(/per,ὅσπερ,adjective,e)s,εἰς,preposition,*qh/bas,Θήβη,proper,pa/rei,,,,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plo/kamo/s,πλόκαμος,noun,te,τε,particle,ga/r,γάρ,particle,sou,σύ,pronoun,tanao/s,ταναός,adjective,ou),οὐ,adverb,pa/lhs,πάλα,noun,u(/po,ὑπό,preposition,ge/nun,γένυς,noun,par',παρά,preposition,au)th\n,αὐτός,pronoun,kexume/nos,χέω,verb,po/qou,πόθος,noun,ple/ws,πλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leukh\n,λευκός,adjective,de\,δέ,particle,xroia\n,χροιά,adjective,e)k,ἐκ,preposition,paraskeuh=s,παρασκευή,noun,e)/xeis,ἔχω,verb,ou)x,οὐ,adverb,h(li/ou,ἥλιος,noun,bolai=sin,βολή,noun,a)ll',ἀλλά,adverb,u(po\,ὑπό,preposition,skia=s,σκιά,noun,th\n,ὁ,article,*)afrodi/thn,Ἀφροδίτη,proper,kallonh=|,καλλονή,noun,qhrw/menos,,,,θηράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,moi,ἐγώ,pronoun,le/con,λέγω,verb,o(/stis,ὅστις,pronoun,ei)=,εἶμι,verb,ge/nos,γένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ko/mpos,κόμπος,noun,ou)dei/s,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(a/|dion,ῥαίδιον,noun,d',δέ,particle,ei)pei=n,εἶπον,verb,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,a)nqemw/dh,ἀνθεμώδης,adjective,*tmw=lon,Τμῶλος,proper,oi)=sqa/,οἶδα,verb,pou,πού,adverb,klu/wn,κλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=d',οἶδα,verb,o(\s,ὅς,pronoun,to\,ὁ,article,*sa/rdewn,Σάρδεις,proper,a)/stu,ἄστυ,noun,periba/llei,περιβάλλω,verb,ku/klw|,κύκλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nteu=qe/n,ἐντεῦθεν,adverb,ei)mi,εἰμί,verb,*ludi/a,Λύδιος,proper,de/,δέ,particle,moi,ἐγώ,pronoun,patri/s,πατρίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/qen,πόθεν,adverb,de\,δέ,particle,teleta\s,τελετή,noun,ta/sd',ὅδε,pronoun,a)/geis,ἄγω,verb,e)s,εἰς,preposition,*(ella/da,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
