word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/46/lemma/@_entry,word/46/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
spondai\,σπονδή,noun,toi/nun,τοίνυν,particle,ai(,ὁ,article,me\n,μέν,particle,a)/llai,parhnomh/qhsan,παρανομέω,verb,kai\,καί,conjunction,tou=to,οὗτος,pronoun,me\n,μέν,particle,*puqi/wn,Πύθια,proper,o)/ntwn,εἰμί,verb,h(,ὁ,article,*kadmei/a,Καδμεῖος,proper,katelh/fqh,καταλαμβάνω,verb,tou=to,οὗτος,pronoun,d',δέ,particle,ei)s,εἰς,preposition,*)/isqmia,Ἴσθμια,proper,th\n,ὁ,article,ἄλλος,adjective,au)th\n,αὐτός,pronoun,qewri/an,θεωρία,noun,h)=gon,ἄγω,verb,me\n,μέν,particle,*)argei=oi,Ἀργεῖος,proper,h)=gon,ἄγω,verb,de\,δέ,particle,*kori/nqioi,Κορίνθιος,proper,toi=s,ὁ,article,o(/plois,ὅπλον,noun,oi(,ὁ,article,e(/teroi,ἕτερος,adjective,tou\s,ὁ,article,e(te/rous,ἕτερος,adjective,krath/santes,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,d',δέ,particle,e)p',ἐπί,preposition,*)alfeiw=|,Ἀλφειός,proper,ma/xhn,siwpw=,σιωπάω,verb,plh\n,πλήν,preposition,o(/sa,ὅσος,adjective,kai\,καί,conjunction,tau/th|,ταύτῃ,adverb,su/mbolon,σύμβολον,noun,ou),οὐ,adverb,fau=lon,φαῦλος,adjective,e)pe/sth,ἐφίστημι,verb,para\,παρά,preposition,tou=,ὁ,article,*dio\s,Ζεύς,proper,h(,ὁ,article,tw=n,ὁ,article,μάχη,noun,a)posteroume/nwn,ἀποστερέω,verb,to/lma,τόλμα,noun,kai\,καί,conjunction,ni/kh,νίκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo/nai,μόνος,adjective,d',δέ,particle,ai(,ὁ,article,musthriw/tides,μυστηριῶτις,noun,spondai\,tou)/noma,ὄνομα,adjective,e)/swsan,εἰσωθέω,verb,kai\,καί,conjunction,mo/nois,μόνος,adjective,*)eleusini/ois,Ἐλευσίνιος,proper,u(gi/ainen,ὑγιαίνω,verb,h(,ὁ,article,*(ella/s,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,σπονδή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,safe/stata,σαφής,adverb,dh\,δή,particle,panh/guris,πανήγυρις,noun,au(/th,kaqa/rsion,καθάρσιος,adjective,h)=n,εἰμί,verb,kai\,καί,conjunction,maniw=n,μανία,noun,kai\,καί,conjunction,pa/shs,πᾶς,adjective,a)to/pou,ἄτοπος,adjective,sumfora=s,συμφορά,noun,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ti/,τίς,pronoun,dei=,δέομαι,verb,kaq',κατά,preposition,e(/kasta,e)pecie/nai,ἐπέξειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕκαστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,*fi/lippoi,Φίλιππος,proper,kai\,καί,conjunction,*)ale/candroi,Ἀλέξανδρος,proper,kai\,*)anti/patroi,Ἀντίπατρος,proper,kai\,καί,conjunction,pa=s,πᾶς,adjective,o(,ὁ,article,tw=n,ὁ,article,ka/tw,κάτος,adjective,dunastw=n,δυνάστης,noun,ou(=tos,οὗτος,pronoun,kata/logos,κατάλογος,noun,muri/a,μυρίος,adjective,dh\,δή,particle,tw=n,ὁ,article,e)n,ἐν,preposition,toi=s,ὁ,article,καί,conjunction,*(/ellhsi,Ἕλλην,proper,kinh/santes,κινέω,verb,mo/nhn,μόνος,adjective,th\n,ὁ,article,*)eleusi=na,Ἐλευσίς,proper,w(s,ὡς,conjunction,a)lhqw=s,ἀληθής,adjective,a)/bato/n,ἄβατος,adjective,ti,τις,pronoun,kai\,καί,conjunction,krei=tton,κρείσσων,verb,e(autw=n,ἑαυτοῦ,pronoun,h(gh/santo,ἁγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,siwpw=,σιωπάω,verb,*keltou\s,Κελτός,proper,tou\s,ὁ,article,ta\,teleutai=a,τελευταῖος,adjective,e)peiskwma/santas,ἐπεισκωμάζω,verb,th=|,ὁ,article,*(ella/di,Ἑλλάς,proper,kai\,καί,conjunction,o(/sa,ὅσος,adjective,tis,τις,pronoun,toiau=ta,τοιοῦτος,adjective,prosqei/h,προστίθημι,verb,e)n,ἐν,preposition,a(/pasin,ἅπας,adjective,a)qw=on,,,to\,ὁ,article,i(ero\n,ἱερόν,noun,ὁ,article,die/fuge,διαφεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo/non,μόνος,adjective,toi/nun,τοίνυν,particle,kai\,καί,conjunction,u(po/mnhma,ὑπόμνημα,noun,th=s,palaia=s,παλαιός,adjective,eu)daimoni/as,εὐδαιμονία,noun,a(/ma,ἅμα,adverb,kai\,καί,conjunction,semno/thtos,σεμνότης,noun,e)lei/peto,λείπω,verb,tou=to,οὗτος,pronoun,th=|,ὁ,article,te,τε,particle,po/lei,πόλις,adjective,kai\,καί,conjunction,th=|,ὁ,article,*(ella/di,Ἑλλάς,proper,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naumaxi/ai,ναυμαχία,noun,me\n,μέν,particle,ga\r,γάρ,particle,kai\,καί,conjunction,pezomaxi/ai,kai\,καί,conjunction,no/moi,νόμος,noun,kai\,καί,conjunction,politei=ai,πολιτεία,noun,kai\,καί,conjunction,fronh/mata,φρόνημα,noun,kai\,καί,conjunction,fwnai\,φωνή,noun,kai\,καί,conjunction,pa/nq',πᾶς,adjective,w(s,ὡς,conjunction,ei)pei=n,εἶπον,verb,e)pe/lipen,ἐπιλείπω,verb,a)ntei=xe,ἀντέχω,verb,πεζομαχία,noun,de\,δέ,particle,ta\,ὁ,article,musth/ria,μυστήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panhgu/reis,πανήγυρις,noun,toi/nun,τοίνυν,particle,ai(,ὁ,article,me\n,μέν,particle,a)/llai,di',διά,preposition,e)/tous,ἔτος,noun,pe/mptou,πέμπτος,adjective,kai\,καί,conjunction,tri/tou,τρίτος,adjective,plhrou=ntai,πληρόω,verb,mo/nh,μόνος,adjective,de\,δέ,particle,h(,ὁ,article,tw=n,ὁ,article,musthri/wn,μυστήριον,noun,panto\s,πᾶς,adjective,e)/tous,ἔτος,noun,e)ni/khsen,νικάω,verb,ἄλλος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,dh\,δή,particle,me/giston,μέγας,adverb,kai\,qeio/taton,θεῖος,adjective,mo/nhn,μόνος,adjective,ga\r,γάρ,particle,tau/thn,οὗτος,pronoun,panhgu/rewn,πανήγυρις,noun,ei(=s,εἷς,adjective,oi)=kos,οἶκος,noun,sullabw\n,συλλαμβάνω,verb,ei)=xe,ἔχω,verb,kai\,καί,conjunction,tauto\n,,,h)=n,εἰμί,verb,th=s,ὁ,article,te,τε,particle,καί,conjunction,po/lews,πόλις,adjective,plh/rwma,πλήρωμα,noun,kai\,καί,conjunction,tou=,ὁ,article,*)eleusini/ou,Ἐλευσίνιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pla/smata,πλάσμα,noun,toi/nun,τοίνυν,particle,kai\,καί,conjunction,grafa\s,γραφή,noun,kai\,to\n,ὁ,article,ku/klw|,κύκλος,noun,ko/smon,κόσμος,noun,tou=ton,οὗτος,pronoun,ti/s,τίς,pronoun,a)\n,ἄν,particle,ou)xi\,οὐ,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,tai=s,ὁ,article,trio/dois,τρίοδος,noun,o(rw=n,ὁράω,verb,e)ganw/qh,γανόω,verb,mh/,μή,conjunction,καί,conjunction,ti/,τίς,pronoun,ge,γε,particle,dh\,δή,particle,e)n,ἐν,preposition,prosqh/kh|,προσθήκη,noun,tw=n,ὁ,article,semnote/rwn,σεμνός,adjective,ei)=den,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μήν,particle,to/,ὁ,article,ge,γε,particle,ke/rdos,th=s,ὁ,article,panhgu/rews,πανήγυρις,noun,ou)x,οὐ,adverb,o(/son,ὅσος,adjective,h(,ὁ,article,parou=sa,πάρειμι,verb,eu)qumi/a,εὐθυμία,noun,ou)d',οὐδέ,particle,ai(,ὁ,article,tw=n,ὁ,article,e)k,ἐκ,preposition,tou=,ὁ,article,pro/teron,πρότερος,adjective,xro/nou,χρόνος,noun,κέρδος,noun,duskoliw=n,δυσκολία,noun,lu/seis,λύω,verb,kai\,καί,conjunction,a)pallagai\,ἀπαλλαγή,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,peri\,περί,preposition,th=s,ὁ,article,teleuth=s,τελευτή,noun,h(di/ous,ἡδύς,adjective,e)/xein,ἔχω,verb,ta\s,ὁ,article,e)lpi/das,ἐλπίς,noun,w(s,ὡς,conjunction,a)/meinon,ἀμείνων,adjective,dia/contas,διάγω,verb,kai\,καί,conjunction,ou)k,οὐ,adverb,e)n,ἐν,preposition,sko/tw|,σκότος,noun,te,τε,particle,kai\,καί,conjunction,borbo/rw|,βόρβορος,noun,keisome/nous,κεῖμαι,verb,a(\,ὅς,pronoun,dh\,δή,particle,tou\s,ὁ,article,a)muh/tous,a)name/nein,ἀναμένω,verb,,,,,,,,,,ἀμύητος,adjective,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,me\n,μέν,particle,dh\,δή,particle,me/xri,μέχρι,preposition,th=s,sxetli/as,σχέτλιος,adjective,h(me/ras,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,de\,δέ,particle,nu=n,νῦν,adverb,o(ra=n,ὁράω,verb,te,kai\,καί,conjunction,u(mnei=n,ὑμνέω,verb,o(,ὁ,article,dai/mwn,δαίμων,adjective,pare/dwke,παραδίδωμι,verb,ti/s,τίς,pronoun,qrh=nos,θρῆνος,noun,*)argei=os,Ἀργεῖος,proper,ti/nes,τίς,pronoun,*ai)gupti/wn,Αἰγύπτιος,proper,h)\,ἠέ,conjunction,*frugw=n,Φρύξ,proper,w)|doi\,ᾠδός,noun,summetrh/sontai,συμμετρέω,verb,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,*)eleusi/nios,Ἐλευσίνιος,proper,*ai)sxu/los,Αἰσχύλος,proper,pro\s,πρός,preposition,xoro\n,a(|setai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χορός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi/as,ποῖος,adjective,*naupli/ou,Ναύπλιος,proper,pa/gas,πάγη,adjective,u(popu/rous,ὑπόπυρος,adjective,w(s,e)/fh,φημί,verb,*sofoklh=s,Σοφοκλέης,proper,a)/cion,ἄξιος,adjective,th=|,ὁ,article,purkai+a=|,πυρκαιά,noun,tau/th|,οὗτος,pronoun,parabalei=n,παραβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,da=|des,δαίς,adjective,u(f',ὑπό,preposition,oi(/wn,οἷος,adjective,a)ndrw=n,a)pe/sbhte,ἀποσβέννυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,deinh\,δεινός,adjective,kai\,καί,conjunction,a)feggh\s,ἀφεγγής,adjective,h(me/ra,h(\,ὅς,pronoun,ta\s,ὁ,article,fwsfo/rous,φώσφορος,adjective,nu/ktas,νύξ,adjective,e)cei=les,ἐξαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,pu=r,πῦρ,noun,oi(=on,οἷος,adjective,w)/fqhs,ὁράω,verb,*)eleusi=ni,oi(=on,οἷος,adjective,a)nq',ἀντί,preposition,oi(/ou,οἷος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἐλευσίς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,nefe/lh,νεφέλη,noun,kai\,καί,conjunction,skoto/maina,σκοτόμαινα,noun,h(\,nu=n,νῦν,adverb,e)pe/xeis,ἐπιχέω,verb,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*dh/mhter,,,h(\,ὅς,pronoun,pa/lai,πάλαι,adverb,me\n,au)to/qi,αὐτόθι,adverb,th\n,ὁ,article,ko/rhn,κόρη,noun,eu(=res,εὑρίσκω,verb,nu=n,νῦν,adverb,de/,δέ,particle,soi,σύ,pronoun,zhtei=n,ζητέω,verb,o(,ὁ,article,new\s,ναός,noun,lei/petai,λείπω,verb,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dh\,δή,particle,prosa/gei,προσάγω,verb,me\n,μέν,particle,w)=,gh=,γῆ,noun,kai\,καί,conjunction,qeoi\,θεός,noun,ta\,ὁ,article,musth/ria,μυστήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὦ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*bohdromiw\n,Βοηδρομιών,proper,de\,δέ,particle,ou(=tos,οὗτος,pronoun,e(te/ras,ἕτερος,adjective,ta\,nu=n,νῦν,adverb,dei=tai,δέομαι,verb,boh=s,βοείη,noun,ou)x,οὐ,adverb,oi(/as,οἷος,adjective,o(/te,ὅτε,conjunction,*)/iwn,Ἴος,proper,*)aqh/naze,Ἀθήναζε,adverb,e)boh/qhsen,βοηθέω,verb,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,pro/rrhsis,πρόρρησις,noun,w)=,ὦ,interjection,tw=n,ὁ,article,i(erw=n,h(merw=n,ἡμέρα,noun,kai\,καί,conjunction,nuktw=n,νύξ,adjective,kata/logos,κατάλογος,noun,ei)s,εἰς,preposition,oi(/an,οἷος,adjective,h(me/ran,ἡμέρα,noun,e)teleuth/sate,τελευτάω,verb,,,,,,,,,,,,,,,,,,,ἱερά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pote/rois,πότερος,adjective,kai\,καί,conjunction,a)/cion,ἄξιος,adjective,stena/cai,στενάζω,verb,mei=zon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,toi=s,ὁ,article,a)muh/tois,ἀμύητος,adjective,h)\,ἠέ,conjunction,toi=s,memuhme/nois,μυάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,w(=n,ὅς,pronoun,ei)=don,oi(,ἕ,pronoun,d',δέ,particle,w(=n,ὅς,pronoun,ei)=xon,ἔχω,verb,i)dei=n,εἶδον,verb,ta\,ὁ,article,ka/llista,κάλλιστα,adverb,a)peste/rhntai,ἀποστερέω,verb,,,,,,,,,,,,,,,,,,,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,kakw=s,κακός,adjective,e)corxhsa/menoi,ἐξορχέομαι,verb,ta\,ὁ,article,musth/ria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μυστήριον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,ta\,ὁ,article,a)/fanta,ἄφαντος,adjective,fh/nantes,φαίνω,verb,koinoi\,tw=n,ὁ,article,u(po\,ὑπό,preposition,gh=s,γῆ,noun,kai\,καί,conjunction,u(pe\r,ὑπέρ,preposition,gh=s,γῆ,noun,qew=n,θέα,noun,pole/mioi,πολέμιος,adjective,,,,,,,,,,,,,,,,,,,κοινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,pa/lai,πάλαι,adverb,te,τε,particle,dh\,δή,particle,kai\,nu=n,νῦν,adverb,w(s,ὡς,conjunction,a)lhqw=s,ἀληθής,adjective,pai=des,παῖς,adjective,*(/ellhnes,Ἕλλην,proper,oi(\,ἕ,pronoun,tosou/tou,τοσοῦτος,adjective,kakou=,κακός,adjective,prosio/ntos,πρόσειμι,verb,periei/dete,περίοιδα,verb,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,w)=,ὦ,interjection,qauma/sioi,θαυμάσιος,adjective,nu=n,νῦν,adverb,ge/,ti,τις,pronoun,e)n,ἐν,preposition,u(mw=n,σύ,pronoun,au)tw=n,αὐτός,pronoun,e)/sesqe,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,γε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ta/s,ὁ,article,ge,γε,particle,*)aqh/nas,Ἀθήνευς,proper,au)ta\s,perisw/sete,περισώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
