word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS
pa/nta,πᾶς,adjective,d',δέ,particle,e)celegxo/menoi,ἐξελέγχω,verb,yeudh=,ψευδής,adverb,le/gontes,λέγω,verb,kai\,καί,conjunction,tou=,ὁ,article,*mnhsikle/ous,Μνησικλῆς,proper,bebaiou=ntos,βεβαιόω,verb,h(mi=n,ἐγώ,pronoun,prokalou=ntai,προκαλέω,verb,pro/klhsin,πρόκλησις,noun,h(ma=s,ἐγώ,pronoun,w(s,ὡς,conjunction,ou),οὐ,adverb,decome/nous,δέχομαι,verb,h)\,ἠέ,conjunction,komi/sasqai,κομίζω,verb,pa/nta,πᾶς,adjective,ta\,ὁ,article,xrh/mata,par',παρά,preposition,au(tw=n,ἑαυτοῦ,pronoun,kai\,καί,conjunction,a)pelqei=n,ἀπέρχομαι,verb,h)\,ἠέ,conjunction,dialu=sai,διαλύω,verb,sfa=s,σφεῖς,pronoun,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,e)neka/loun,ἐγκαλέω,verb,ai)tiw/menoi,αἰτιάομαι,verb,pollw=|,πολύς,adjective,plei/onos,πλείων,verb,a)/ci',ἄξιος,adjective,e)/xein,ἔχω,verb,w(=n,ὅς,pronoun,e)dedw/kemen,δίδωμι,verb,xrhma/twn,χρῆμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χρῆμα,adjective
a)kou/sas,ἀκέω,verb,d',δέ,particle,e)gw/,ἐγώ,pronoun,paraxrh=ma,παραχρῆμα,adverb,ou)de\,οὐδέ,particle,bouleusa/menos,βουλεύω,verb,komi/sasqai,κομίζω,verb,sunexw/rhsa,συγχωρέω,verb,kai\,καί,conjunction,to\n,ὁ,article,*eu)/ergon,,,e)/peisa,ἐφίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,e)/dei,δέω,verb,ta\,ὁ,article,xrh/maq',χρῆμα,adjective,h(ma=s,ἐγώ,pronoun,a)polamba/nein,ἀπολαμβάνω,verb,kai\,καί,conjunction,to\,ὁ,article,pra=gm',πρᾶγμα,noun,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,proh=kto,προάγω,verb,ou)k,οὐ,adverb,e)/fasan,φημί,verb,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,dw/sein,δίδωμι,verb,oi(,ὁ,article,to/t',τότε,adverb,e)kei=n',e)paggeila/menoi,ἐπαγγέλλω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,prath=res,πρατήρ,noun,gignoi/meq',γίγνομαι,verb,h(mei=s,ἐγώ,pronoun,tw=n,ὁ,article,kthma/twn,κτῆμα,noun,au)toi=s,αὐτός,pronoun,nou=n,νόος,adjective,e)/xontes,ἔχω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kat',κατά,preposition,au)to/,αὐτός,pronoun,ge,γε,particle,tou=to,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκεῖνος,pronoun
e(w/rwn,ὁράω,verb,ga\r,γάρ,particle,h(ma=s,ἐγώ,pronoun,oi(=',οἷος,adjective,e)sukofantou/meq',συκοφαντέω,verb,u(po\,ὑπό,preposition,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ou)=n,οὖν,particle,kai\,καί,conjunction,tau=t',οὗτος,pronoun,a)lhqh=,ἀληθής,adjective,le/gw,λέγω,verb,labe/,λαμβάνω,verb,moi,ἐγώ,pronoun,kai\,καί,conjunction,tau/tas,οὗτος,pronoun,ta\s,ὁ,article,marturi/as,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,toi/nun,τοίνυν,particle,to\,ὁ,article,pra=gm',πρᾶγμα,noun,e)ntau=q',ἐνταῦθα,adverb,ei(sth/kei,ἵστημι,verb,kai\,καί,conjunction,ta\,ὁ,article,me\n,μέν,particle,xrh/mat',χρῆμα,adjective,ou),οὐ,adverb,proi/+enq',προίημι,verb,ou(\s,ὅς,pronoun,e)ph/gagen,ἐπάγω,verb,ou(=tos,οὗτος,pronoun,h(mei=s,ἐγώ,pronoun,d',δέ,particle,ei)ko/tws,ἐοικότως,adverb,e)faino/meq',φαίνω,verb,w(=n,ὅς,pronoun,e)wnh/meqa,kratei=n,κρατέω,verb,i(ke/teuen,ἱκετεύω,verb,e)dei=to,δέομαι,verb,h)ntebo/lei,ἀνταντιβολέω,verb,prath=ras,πρατήρ,noun,h(ma=s,ἐγώ,pronoun,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὠνέομαι,verb
a)ciou=ntos,ἀξιόω,verb,de\,δέ,particle,tou/tou,οὗτος,pronoun,kai\,καί,conjunction,polla\,πολύς,adjective,dehqe/ntos,δέω,verb,e)mou=,ἐγώ,pronoun,kai\,καί,conjunction,ti/,τίς,pronoun,ou),οὐ,adverb,poih/santos,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=q',οὗτος,pronoun,u(pe/meina,ὑπομένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rw=n,ὁράω,verb,d',δέ,particle,au)to/n,αὐτός,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kakoh/qh,κακοήθης,adverb,kai\,καί,conjunction,to\,ὁ,article,me\n,μέν,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,tou=,ὁ,article,*mnhsikle/ous,Μνησικλῆς,proper,kathgorou=nta,κατηγορέω,verb,pro\s,πρός,preposition,h(ma=s,ἐγώ,pronoun,pa/lin,πάλιν,adverb,d',δέ,particle,w(=|,ὅς,pronoun,fi/los,h)=n,εἰμί,verb,ta\,ὁ,article,ma/lista,μάλιστα,adverb,tw=|,ὁ,article,*eu)e/rgw|,,,tou/tw|,οὗτος,pronoun,proskekrouko/ta,προσκρούω,verb,kai\,καί,conjunction,to\,ὁ,article,me\n,μέν,particle,prw=ton,πρότερος,adjective,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,kate/pleusa,καταπλέω,verb,a(/smenon,ἄσμενος,adjective,fa/skonq',φάσκω,verb,e(orake/nai,ὁράω,verb,me,ἐγώ,pronoun,e)peidh\,ἐπεί,conjunction,d',δέ,particle,e)/dei,δέω,verb,ta\,ὁ,article,di/kaia,δίκαιος,adjective,poiei=n,ποιέω,verb,e)moi\,ἐγώ,pronoun,pa/lin,πάλιν,adverb,duskolai/nonta,δυσκολαίνω,verb,kai\,καί,conjunction,a(/pasi,ἅπας,adjective,me/xri,μέχρι,preposition,tou=,ὁ,article,prolabei=n,προλαμβάνω,verb,kai\,καί,conjunction,tuxei=n,τυγχάνω,verb,w(=n,ὅς,pronoun,de/oito,δέομαι,verb,fi/lon,φίλος,adjective,o)/nta,εἰμί,verb,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,d',δέ,particle,e)xqro\n,ἐχθρός,adjective,kai\,καί,conjunction,dia/foron,διάφορος,adjective,gigno/menon,γίγνομαι,verb,h)ci/oun,ἀξιόω,verb,a)pallatto/menos,ἀπαλλάσσω,verb,kai\,καί,conjunction,prath\r,πρατήρ,noun,u(pe\r,ὑπέρ,preposition,tou/tou,οὗτος,pronoun,gigno/menos,γίγνομαι,verb,pa/ntwn,πᾶς,adjective,a)feqei\s,ἀφίημι,verb,tw=n,ὁ,article,e)gklhma/twn,ἔγκλημα,noun,kai\,καί,conjunction,a)pallagei/s,ἀπαλλάσσω,verb,ou(/tw,οὕτως,adverb,dialu/esqai,διαλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,φίλος,adjective
tou/twn,οὗτος,pronoun,de\,δέ,particle,sugxwrhqe/ntwn,συγχωρέω,verb,ou(=tos,οὗτος,pronoun,me\n,μέν,particle,a)fh=ken,ἀφήκω,verb,a(pa/ntwn,ἅπας,adjective,e)me/,ἐγώ,pronoun,e)gw\,ἐγώ,pronoun,de\,δέ,particle,prath/r,πρατήρ,noun,w(/sper,ὥσπερ,adverb,e)dei=q',δέομαι,verb,ou(=tos,οὗτος,pronoun,tw=n,ὁ,article,kthma/twn,κτῆμα,noun,e)gigno/mhn,γίγνομαι,verb,kaqa/per,καθά,adverb,au)to\s,αὐτός,pronoun,e)pria/mhn,πρίαμαι,verb,para\,*mnhsikle/ous,Μνησικλῆς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παρά,preposition
komisa/menos,κομίζω,verb,de\,δέ,particle,ta)mautou=,ἐμαυτοῦ,pronoun,kai\,καί,conjunction,tou=ton,οὗτος,pronoun,ou)d',οὐδέ,particle,o(tiou=n,ὁτιοῦν,adverb,a)dikw=n,ἀδικέω,verb,ma\,μά,particle,tou\s,ὁ,article,qeou/s,θεός,noun,ou)d',οὐδέ,particle,a)\n,ἄν,particle,ei)/,εἰ,conjunction,ti,τις,pronoun,ge/noito,γίγνομαι,verb,w)|h/qhn,οἴομαι,verb,a)\n,ἄν,particle,di/khn,δίκη,adjective,moi,ἐγώ,pronoun,laxei=n,pote\,ποτός,adjective,toutoni/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λαγχάνω,verb
ta\,ὁ,article,me\n,μέν,particle,dh\,δή,particle,gegenhme/na,γίγνομαι,verb,kai\,καί,conjunction,peri\,περί,preposition,w(=n,ὅς,pronoun,oi)/sete,φέρω,verb,th\n,ὁ,article,yh=fon,ψῆφος,noun,kai\,καί,conjunction,di',διά,preposition,a(\,ὅς,pronoun,th\n,ὁ,article,di/khn,δίκη,adjective,sukofantou/menos,συκοφαντέω,verb,paregraya/mhn,παραγράφω,verb,mh\,μή,conjunction,ei)sagw/gimon,εἰσαγώγιμος,adjective,ei)=nai,εἰμί,verb,tau=t',e)stin,εἰμί,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun
parasxo/menos,παρέχω,verb,de\,δέ,particle,ma/rturas,μάρτυς,noun,oi(\,ἕ,pronoun,parh=san,πάρειμι,verb,h(ni/k',ἡνίκα,adverb,a)fie/mhn,ἀφίημι,verb,u(po\,ὑπό,preposition,tou/tou,οὗτος,pronoun,kai\,καί,conjunction,a)phllatto/mhn,ἀπαλλάσσω,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,ei)sagw/gimos,εἰσαγώγιμος,adjective,e)k,ἐκ,preposition,tw=n,ὁ,article,no/mwn,νόμος,noun,e)sti\n,εἰμί,verb,h(,ὁ,article,di/kh,δίκη,adjective,meta\,tau=t',οὗτος,pronoun,e)pidei/cw,ἐπιδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition
kai/,καί,conjunction,moi,ἐγώ,pronoun,le/ge,λέγω,verb,tau/thn,οὗτος,pronoun,th\n,ὁ,article,marturi/an,μαρτυρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/ge,λέγω,verb,dh/,δή,particle,moi,ἐγώ,pronoun,kai\,καί,conjunction,th\n,ὁ,article,tw=n,ὁ,article,e)wnhme/nwn,ὠνέομαι,verb,marturi/an,μαρτυρία,noun,i(/n',ἵνα,conjunction,ei)dh=q',οἶδα,verb,o(/ti,ὅστις,pronoun,tou/tou,οὗτος,pronoun,keleu/ontos,κελεύω,verb,au)/t',αὐτός,pronoun,a)pedo/mhn,ἀποδίδωμι,verb,oi(=s,ὅς,pronoun,ou(=tos,οὗτος,pronoun,e)ke/leusen,κελεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,toi/nun,τοίνυν,particle,mo/non,μόνος,adjective,h(mi=n,ἐγώ,pronoun,ei)sin,εἰμί,verb,ou(=toi,οὗτος,pronoun,ma/rtures,μάρτυς,noun,w(s,ὡς,conjunction,a)fei/meqa,ἀφίημι,verb,kai\,καί,conjunction,nu=n,νῦν,adverb,sukofantou/meqa,συκοφαντέω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,*pantai/netos,,,au)to/s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ὅτε,conjunction,ga\r,γάρ,particle,lagxa/nwn,λαγχάνω,verb,*eu)e/rgw|,,,th\n,ὁ,article,di/khn,δίκη,adjective,ei)/asen,ἀίω,verb,e)me/,ἐγώ,pronoun,to/t',τότε,adverb,e)martu/rei,μαρτυρέω,verb,pro\s,πρός,preposition,e)/m',ἐγώ,pronoun,au(tw=|,ἑαυτοῦ,pronoun,mhde\n,μηδείς,pronoun,e)/gklhm',ἔγκλημα,noun,u(po/loipon,ὑπόλοιπος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,dh/pou,δήπου,particle,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,a)dikhma/twn,ἀδίκημα,noun,paro/ntwn,πάρειμι,verb,a)mfoi=n,ἄμφω,noun,d',δέ,particle,o(moi/ws,ὅμοιος,adjective,e)gkalw=n,ἐγκαλέω,verb,to\n,ὁ,article,me\n,μέν,particle,ei)/asen,ἀίω,verb,tw=|,ὁ,article,d',δέ,particle,e)dika/zeto,δικάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μήν,particle,o(/ti,ὅστις,pronoun,g',γε,particle,ou)k,οὐ,adverb,e)w=sin,ἀίω,verb,oi(,ὁ,article,no/moi,νόμος,noun,peri\,περί,preposition,tw=n,ὁ,article,ou(/tw,οὕτως,adverb,praxqe/ntwn,πράσσω,verb,pa/lin,πάλιν,adverb,lagxa/nein,λαγχάνω,verb,oi)=mai,οἴομαι,verb,me\n,μέν,particle,u(ma=s,σύ,pronoun,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,ei)po/ntos,εἶπον,verb,e)mou=,gignw/skein,γιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun
o(/mws,ὅμως,conjunction,de\,δέ,particle,le/g',λέγω,verb,au)toi=s,αὐτός,pronoun,kai\,καί,conjunction,to\n,ὁ,article,no/mon,νόμος,noun,toutoni/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
