word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS
toi/h,τοῖος,adjective,oi(,ὁ,article,kefalh\,κεφαλή,noun,diake/kritai,διακρίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/,οὐδέ,particle,tis,τις,pronoun,a)/llw|,ἄλλος,adjective,sh/mati,σῆμα,adjective,tekmh/raito,τεκμαίρομαι,verb,ka/rh,κάρα,noun,boo/s,βοῦς,noun,oi(=a/,οἷος,adjective,min,μιν,pronoun,au)toi\,αὐτός,pronoun,a)ste/res,ἀστήρ,noun,a)mfote/rwqen,ἀμφοτέρωθεν,adverb,e(lisso/menoi,ἑλίσσω,verb,tupo/wsin,τυπάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,li/hn,λίαν,adverb,kei/nwn,ἐκεῖνος,pronoun,o)/nom',ὄνομα,adjective,ei)/retai,ἔρομαι,verb,ou)de/,οὐδέ,particle,toi,σύ,pronoun,au(/tws,αὔτως,adverb,nh/koustoi,νήκουστος,adjective,tai\,ὁ,article,me/n,μέν,particle,r(',ἄρα,particle,e)pi\,ἐπί,preposition,panti\,πᾶς,adjective,metw/pw|,μέτωπον,noun,*tau/rou,Ταῦρος,proper,beble/atai,βάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laiou=,λαιός,noun,de\,δέ,particle,kera/atos,,,a)/kron,ἄκρος,adjective,kai\,καί,conjunction,po/da,πούς,noun,decitero\n,δεξιτερός,adjective,parakeime/nou,παράκειμαι,verb,*(hnio/xoio,Ἡνίοχος,proper,ei(=s,εἷς,adjective,a)sth\r,ἀστήρ,noun,e)pe/xei,ἐπιχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunelhla/menoi,,,de\,δέ,particle,fe/rontai,φέρω,verb,a)ll',ἀλλά,adverb,ai)ei\,ἀεί,adverb,*tau=ros,Ταῦρος,proper,profere/steros,προφερής,adverb,*(hnio/xoio,Ἡνίοχος,proper,ei)s,εἰς,preposition,e(te/rhn,ἕτερος,adjective,katabh=nai,καθάπτω,verb,o(mhlusi/h|,ὁμηλυσία,noun,per,πέρ,particle,a)nelqw/n,ἀνέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou)d',οὐδέ,particle,a)/ra,ἄρος,adjective,*khfh=os,Κηφεύς,proper,mogero\n,μογερός,adjective,ge/nos,γένος,noun,*)iasi/dao,Ἰασίδης,proper,au(/tws,αὔτως,adverb,a)/rrhton,ἄρρητος,adjective,katakei/setai,κατάκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)/ra,ἄρα,particle,kai\,καί,conjunction,tw=n,ὁ,article,ou)rano\n,οὐρανός,noun,ei)s,εἰς,preposition,o)/nom',ὄνομα,adjective,h)=lqen,ἔρχομαι,verb,e)pei\,ἐπεί,conjunction,*dio\s,Ζεύς,proper,e)ggu/qen,ἐγγύθεν,adverb,h)=san,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\s,αὐτός,pronoun,me\n,μέν,particle,kato/ptsqen,,,e)w\n,εἰμί,verb,*kunosouri/dos,κυνοσουρίς,noun,*)/arktou,Ἄρκτος,proper,a)mfote/ras,ἀμφότερος,adjective,xei=ras,χείρ,noun,tanu/onti,τανύω,verb,e)oikw/s,ἔοικα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/sh,ἴσος,adjective,oi(,ὁ,article,sta/qmh,στάθμη,noun,nea/ths,νεάτη,noun,a)potei/netai,ἀποτείνω,verb,ou)rh=s,οὐρά,noun,e)s,εἰς,preposition,po/das,πούς,noun,a)mfote/rous,ἀμφότερος,adjective,o(/ssh,ὅσος,adjective,podo\s,πούς,noun,e)s,εἰς,preposition,po/da,πούς,noun,tei/nei,τείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,a)po\,ἀπό,preposition,zw)nhs,,,o)li/gon,ὀλίγος,adjective,ke,ἄν,particle,metable/yeias,μεταβλέπω,verb,prw/ths,πρότερος,adjective,i(e/menos,ἵημι,verb,kamph=s,καμπή,noun,mega/loio,μέγας,adverb,*dra/kontos,Δράκων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,d',δέ,particle,a)/ra,ἄρα,particle,daimoni/h,δαιμόνιος,adjective,prokuli/ndetai,προκυλίνδομαι,verb,ou),οὐ,adverb,ma/la,μάλα,adverb,pollh\,πολύς,adjective,nukti\,νύξ,adjective,faeinome/nh,φαίνω,verb,pammh/nidi,,,ou),οὐ,adverb,ga/r,γάρ,particle,min,μιν,pronoun,polloi\,πολύς,adjective,kai\,καί,conjunction,e)phmoiboi\,ἐπημοιβός,adjective,gano/wsin,γανάω,verb,a)ste/res,ἀστήρ,noun,oi(/,ἕ,pronoun,min,μιν,pronoun,pa=san,πᾶς,adjective,e)pirrh/dhn,ἐπιρρήδην,adverb,stixo/wsin,στιχάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(/h|,οἷος,adjective,de\,δέ,particle,klhi=di,κλείς,noun,qu/rhn,θύρα,noun,e)/ntosq',ἔντοσθε,adverb,a)rarui=an,ἀραρίσκω,verb,dikli/d',δικλίς,noun,e)ptplh/ssontes,,,a)nakrou/ousin,ἀνακρούω,verb,o)xh=as,ὀχεύς,noun,toi=oi/,τοῖος,adjective,oi(,ἕ,pronoun,mouna\c,μουνάξ,adverb,u(pokei/menoi,ὑπόκειμαι,verb,i)nda/llontai,ἰνδάλλομαι,verb,a)ste/res,ἀστήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,au(/tws,αὔτως,adverb,o)li/gwn,ὀλίγος,adjective,a)potei/netai,ἀποτείνω,verb,w)/mwn,ὦμος,noun,o)rguih/n,ὄργυια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fai/hs,φημί,verb,ken,ἄν,particle,a)nia/cein,,,e)pi\,ἐπί,preposition,paidi/,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)tou=,αὐτός,pronoun,ga\r,γάρ,particle,ka)kei=no,ἐκεῖνος,pronoun,kuli/ndetai,κυλίνδω,verb,ai)no\n,αἰνός,adjective,a)/galma,ἄγαλμα,noun,u(po\,ὑπό,preposition,mhtri\,μήτηρ,noun,kekasme/non,καίνυμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/,οὐ,adverb,se,σύ,pronoun,ma/l',μάλα,adverb,oi)/w,οἶος,adjective,nu/kta,νύξ,adjective,periske/yasqai,περισκέπτομαι,verb,i(/n',ἵνα,conjunction,au)ti/ka,αὐτίκα,adverb,ma=llon,μᾶλλον,adverb,i)/dhai,εἶδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi/h,τοῖος,adjective,oi(,ὁ,article,kefalh/,κεφαλή,noun,toi=oi,τοῖος,adjective,de/,δέ,particle,oi(,ἕ,pronoun,a)mfote/rwqen,ἀμφοτέρωθεν,adverb,w)=moi,ὦμος,noun,kai\,καί,conjunction,po/des,πούς,noun,a)kro/tatoi,ἄκρος,adjective,kai\,καί,conjunction,zw/mata,ζῶμα,noun,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)/mphs,ἔμπας,adverb,ka)kei=qi,ἐκεῖθι,adverb,diwleni/h,,,teta/nustai,τανύω,verb,desma\,δεσμός,noun,de/,δέ,particle,oi(,ἕ,pronoun,kei=tai,κέω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,ou)ranw=|,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,d',δέ,particle,a)ne/xontai,ἀνέχω,verb,au)tou=,αὐτός,pronoun,peptame/nai,πετάννυμι,verb,pa/nt',πᾶς,adjective,h)/mata,ἦμαρ,noun,xei=res,χείρ,noun,e)kei=nai,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)all',ἀλλά,adverb,a)/ra,ἄρα,particle,oi(,ἕ,pronoun,kai\,καί,conjunction,krati\,κράς,verb,pe/lwr,πέλωρ,noun,e)pelh/latai,ἐπελαύνω,verb,gaste/ri,γαστήρ,noun,neiai/rh|,νείαιρα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuno\s,ξυνός,adjective,d',δέ,particle,e)pila/mpetai,ἐπιλάμπω,verb,a)sth\r,ἀστήρ,noun,tou=,ὁ,article,me\n,μέν,particle,e)p',ἐπί,preposition,o)mfali/w|,ὀμφάλιον,noun,th=s,ὁ,article,d',δέ,particle,e)sxato/wnti,ἐσχατάω,verb,karh/nw|,κάρηνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,a)/r',ἄρα,particle,e)/ti,ἔτι,adverb,trei=s,τρέω,verb,a)/lloi,ἄλλος,adjective,e)pi\,ἐπί,preposition,pleura/s,πλευρά,noun,te,τε,particle,kai\,καί,conjunction,w)/mous,ὦμος,noun,i(/ppou,ἵππος,noun,deikano/wsi,δεικανάω,verb,diastado\n,διασταδόν,adverb,i)=sa,ἴσος,adjective,pe/leqra,πέλεθρον,noun,kaloi\,καλός,noun,kai\,καί,conjunction,mega/loi,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kefalh\,κεφαλή,noun,de/,δέ,particle,oi(,ἕ,pronoun,ou)de\n,οὐδείς,pronoun,o(moi/h,ὅμοιος,adjective,ou)d',οὐδέ,particle,au)xh\n,αὐχήν,noun,dolixo/s,δολιχός,adjective,per,πέρ,particle,e)w/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,e)/sxatos,σχέθω,verb,a)sth\r,ἀστήρ,noun,ai)qome/nhs,αἴθω,verb,ge/nuos,γένυς,noun,kai/,καί,conjunction,ken,ἄν,particle,prote/rois,πρότερος,adjective,e)ri/seien,ἐρίζω,verb,te/trasin,τέσσαρες,noun,oi(/,ἕ,pronoun,min,μιν,pronoun,e)/xousi,ἔχω,verb,peri/skeptoi,περίσκεπτος,adjective,ma/l',μάλα,adverb,e)o/ntes,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,o(/,ὅς,pronoun,ge,γε,particle,tetra/pos,τετράπους,noun,e)sti)n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)p',ἀπό,preposition,o)mfali/oio,ὀμφάλιον,noun,ga\r,γάρ,particle,a)/krou,ἄκρον,noun,messo/qen,μεσσόθεν,adverb,h(mitelh\s,ἡμιτελής,adverb,perite/lletai,περιτέλλομαι,verb,i(ero\s,ἱερός,adjective,*(/ippos,Ἵππος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei=non,ἐκεῖνος,pronoun,dh\,δή,particle,kai/,καί,conjunction,fasi,φημί,verb,kaq',κατά,preposition,u(yhlou=,ὑψηλός,adjective,*(elikw=nos,Ἑλικών,proper,kalo\n,καλός,noun,u(/dwr,ὕδωρ,noun,a)gagei=n,ἄγω,verb,eu)alde/os,εὐαλδής,adjective,*(ippoukrh/nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,pw,πω,particle,*(elikw\n,Ἑλικών,proper,a)/kros,ἄκρος,adjective,katelei/beto,καταλείβω,verb,phgai=s,πηγός,adjective,a)ll',ἀλλά,adverb,*(/ippos,Ἵππος,proper,min,μιν,pronoun,e)/tuye,τύφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,a)qro/on,ἀθρόος,adjective,au)to/qen,αὐτόθεν,adverb,u(/dwr,ὕδωρ,noun,e)ce/xuto,ἐκχέω,verb,plhgh=|,πληγή,noun,prote/rou,πρότερος,adjective,podo/s,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,nomh=es,νομεύς,noun,prw=toi,πρότερος,adjective,kei=no,ἐκεῖνος,pronoun,poto\n,ποτός,adjective,diefh/misan,διαφημίζω,verb,*(ippoukrh/nhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,to\,ὁ,article,me\n,μέν,particle,pe/trhs,πέτρα,noun,a)polei/betai,ἀπολείβω,verb,ou)de/,οὐδέ,particle,pot',ποτέ,particle,au)to\,αὐτός,pronoun,*qespie/wn,Θεσπίευς,proper,a)ndrw=n,ἀνήρ,noun,e)ka\s,,,o)/yeai,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,o(,ὁ,article,*(/ippos,Ἵππος,proper,e)n,ἐν,preposition,*dio\s,Ζεύς,proper,ei)lei=tai,εἴλω,verb,kai/,καί,conjunction,toi,σύ,pronoun,pa/ra,παρά,preposition,qhh/sasqai,θεάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
