word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
e)n,ἐν,preposition,trofh=|,τροφεύς,noun,farmakei/h,φαρμακεία,noun,a)/riston,ἄριστος,adjective,e)n,ἐν,preposition,trofh=|,τροφεύς,noun,farmakei/h,φαρμακεία,noun,flau=ron,φλαῦρος,adjective,flau=ron,φλαῦρος,adjective,kai\,καί,conjunction,a)/riston,ἄριστος,adjective,pro/s,πρός,preposition,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/lkos,ἕλκος,noun,e)sxa/rh,ἐσχάρα,noun,ai(=ma,αἷμα,noun,pu/on,πύον,adjective,i)xw/r,ἰχώρ,adjective,le/prh,λέπρα,noun,pi/turon,πίτυρον,adjective,a)/xwr,ἄχωρ,adjective,leixh/n,λειχήν,noun,a)lfo/s,ἀλφός,noun,e)/fhlis,ἔφηλις,adjective,o(te\,ὅτε,conjunction,me\n,μέν,particle,bla/ptei,βλάπτω,verb,o(te\,ὅτε,conjunction,de\,δέ,particle,w)felei=,ὠφελέω,verb,o(te\,ὅτε,conjunction,de\,δέ,particle,ou)/te,οὔτε,adverb,bla/ptei,βλάπτω,verb,ou)/te,οὔτε,adverb,w)felei=,ὠφελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trofh\,τροφή,noun,ou),οὐ,adverb,trofh/,τροφή,noun,h)\n,ἐάν,conjunction,mh\,μή,conjunction,du/nhtai,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,trofh\,τροφή,noun,trofh/,τροφή,noun,h)\n,ἐάν,conjunction,oi(=o/n,οἷος,adjective,te,τε,particle,h)=|,εἰμί,verb,tre/fesqai,τρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/noma,ὄνομα,adjective,trofh/,τροφή,noun,e)/rgon,ἔργον,noun,de\,δέ,particle,ou)xi/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/rgon,ἔργον,noun,trofh/,τροφή,noun,ou)/noma,ὄνομα,adjective,de\,δέ,particle,ou)xi/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,tri/xas,θρίξ,noun,kai\,καί,conjunction,e)s,εἰς,preposition,o)/nuxas,ὄνυξ,noun,kai\,καί,conjunction,e)s,εἰς,preposition,th\n,ὁ,article,e)sxa/thn,σχέθω,verb,e)pifanei/hn,ἐπιφαίνω,verb,e)/ndoqen,ἔνδοθεν,adverb,a)fiknei=tai,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/cwqen,ἔξωθεν,adverb,trofh\,τροφή,noun,e)k,ἐκ,preposition,th=s,ὁ,article,e)sxa/ths,σχέθω,verb,e)pifanei/hs,ἐπιφάνεια,noun,e)ndota/tw,ἐνδοτάτω,adverb,a)fiknei=tai,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*su/rroia,,,mi/a,εἷς,adjective,su/mpnoia,σύμπνοια,noun,mi/a,εἷς,adjective,sumpaqe/a,συμπαθής,adverb,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,me\n,μέν,particle,ou)lomeli/hn,οὐλομελίη,noun,pa/nta,πᾶς,adjective,kata\,κατά,preposition,me/ros,μέρος,noun,de\,δέ,particle,ta\,ὁ,article,e)n,ἐν,preposition,e(ka/stw|,ἕκαστος,adjective,me/rei,μέρος,noun,me/rea,μέρος,noun,pro\s,πρός,preposition,to\,ὁ,article,e)/rgon,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxh\,ἀρχή,noun,mega/lh,μέγας,adverb,e)s,εἰς,preposition,e)/sxaton,σχέθω,verb,me/ros,μέρος,noun,a)fiknei=tai,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,e)sxa/tou,σχέθω,verb,me/reos,μέρος,noun,e)s,εἰς,preposition,a)rxh\n,ἀρχή,noun,mega/lhn,μέγας,adverb,a)fiknei=tai,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi/a,εἷς,adjective,fu/sis,φύσις,noun,ei)=nai,εἰμί,verb,kai\,καί,conjunction,mh\,μή,conjunction,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nou/swn,νόσος,noun,de\,δέ,particle,diaforai\,διαφορά,noun,e)n,ἐν,preposition,trofh=|,τροφεύς,noun,e)n,ἐν,preposition,pneu/mati,πνεῦμα,noun,e)n,ἐν,preposition,qermasi/h|,θερμασία,noun,e)n,ἐν,preposition,ai(/mati,αἷμα,noun,e)n,ἐν,preposition,fle/gmati,φλέγμα,noun,e)n,ἐν,preposition,xolh=|,χολή,noun,e)n,ἐν,preposition,xumoi=sin,χυμός,noun,e)n,ἐν,preposition,sarki/,σαρκίς,noun,e)n,ἐν,preposition,pimelh=|,πιμελή,noun,e)n,ἐν,preposition,flebi/,φλέψ,noun,e)n,ἐν,preposition,a)rthri/h|,ἀρτηρία,noun,e)n,ἐν,preposition,neu/rw|,νεῦρον,noun,mui/,μῦς,noun,u(me/ni,ὑμήν,noun,o)ste/w|,ὀστέον,noun,e)gkefa/lw|,ἐγκέφαλος,noun,nwtiai/w|,νωτιαῖος,adjective,muelw=|,μυελός,noun,sto/mati,στόμα,noun,glw/ssh|,γλῶσσα,noun,stoma/xw|,στόμαχος,noun,koili/h|,κοιλία,noun,e)nte/roisi,ἔντερον,noun,fresi/,φρήν,noun,peritonai/w|,περιτόναιον,noun,h(/pati,ἧπαρ,noun,splhni/,σπλήν,noun,nefroi=s,νεφρός,noun,ku/stei,κύστις,noun,mh/trh|,μήτρα,noun,de/rmati,δέρμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,pa/nta,πᾶς,adjective,kai\,καί,conjunction,kaq',κατά,preposition,e(\n,εἷς,adjective,kai\,καί,conjunction,kata\,κατά,preposition,me/ros,μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/geqos,μέγεθος,adjective,au)tw=n,αὐτός,pronoun,me/ga,μέγας,adverb,kai\,καί,conjunction,ou),οὐ,adverb,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekmh/ria,τεκμήριον,noun,gargalismo/s,γαργαλισμός,noun,o)du/nh,ὀδύνη,noun,r(h=cis,ῥῆξις,noun,gnw/mh,γνώμη,noun,i(drw/s,ἱδρώς,noun,ou)/rwn,οὖρον,noun,u(po/stasis,ὑπόστασις,noun,h(suxi/h,ἡσυχία,noun,r(iptasmo/s,ῥιπτασμός,noun,o)/yios,ὄψις,noun,sta/sies,στάσις,adjective,fantasi/ai,φαντασία,noun,i)/kteros,ἴκτερος,noun,lugmoi/,λυγμός,noun,e)pilhyi/h,ἐπιληψία,noun,ai(=ma,αἷμα,noun,o(losxere/s,ὁλοσχερής,adverb,u(/pnos,ὕπνος,noun,kai\,καί,conjunction,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,tw=n,ὁ,article,kata\,κατά,preposition,fu/sin,φύσις,noun,kai\,καί,conjunction,o(/sa,ὅσος,adjective,a)/lla,ἄλλος,adjective,toiouto/tropa,τοιουτότροπος,adjective,e)s,εἰς,preposition,bla/bhn,βλάβος,noun,kai\,καί,conjunction,e)s,εἰς,preposition,w)feli/hn,ὠφέλεια,noun,o(rma=,ὁρμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/noi,πόνος,noun,o(/lou,ὅλος,adjective,kai\,καί,conjunction,me/reos,μέρος,noun,mege/qous,μέγεθος,adjective,shmei=a,σημεῖον,noun,tou=,ὁ,article,me\n,μέν,particle,e)s,εἰς,preposition,to\,ὁ,article,ma=llon,μᾶλλον,adverb,tou=,ὁ,article,de\,δέ,particle,e)s,εἰς,preposition,to\,ὁ,article,h(=sson,ἥσσων,adverb,kai\,καί,conjunction,a)p',ἀπό,preposition,a)mfote/rwn,ἀμφότερος,adjective,e)s,εἰς,preposition,to\,ὁ,article,ma=llon,μᾶλλον,adverb,kai\,καί,conjunction,a)p',ἀπό,preposition,a)mfote/rwn,ἀμφότερος,adjective,e)s,εἰς,preposition,to\,ὁ,article,h(=sson,ἥσσων,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gluku/,γλυκύς,adjective,ou),οὐ,adverb,gluku/,γλυκύς,adjective,gluku\,γλυκύς,adjective,e)s,εἰς,preposition,du/namin,δύναμις,adjective,oi(=on,οἷος,adjective,u(/dwr,ὕδωρ,noun,gluku\,γλυκύς,adjective,e)s,εἰς,preposition,geu=sin,γεῦσις,noun,oi(=on,οἷος,adjective,me/li,μέλι,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shmei=a,σημεῖον,noun,e(kate/rwn,ἑκάτερος,adjective,e(/lkea,ἕλκος,noun,o)fqalmoi\,ὀφθαλμός,noun,kai\,καί,conjunction,geu/sies,γεῦσις,noun,kai\,καί,conjunction,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,to\,ὁ,article,ma=llon,μᾶλλον,adverb,kai\,καί,conjunction,to\,ὁ,article,h(=sson,ἥσσων,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gluku\,γλυκύς,adjective,e)s,εἰς,preposition,th\n,ὁ,article,o)/yin,ὄψις,noun,kai\,καί,conjunction,e)n,ἐν,preposition,xrw/masi,χρῶμα,noun,kai\,καί,conjunction,e)n,ἐν,preposition,a)/llh|si,ἄλλος,adjective,mi/cesi,μίξις,noun,gluku\,γλυκύς,adjective,ma=llon,μᾶλλον,adverb,kai\,καί,conjunction,h(=tton,ἥσσων,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)araio/ths,ἀραιότης,noun,sw/matos,σῶμα,adjective,e)s,εἰς,preposition,diapnoi/hn,,,oi(=s,ὅς,pronoun,ple/on,πλέος,adjective,a)fairei=tai,ἀφαιρέω,verb,u(gieino/n,ὑγιεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pukno/ths,πυκνότης,noun,sw/matos,σῶμα,adjective,e)s,εἰς,preposition,diapnoi/hn,,,oi(=s,ὅς,pronoun,e)/lasson,ἐλάσσων,adjective,a)fairei=tai,ἀφαιρέω,verb,noshlo/n,νοσηλός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,diapneo/menoi,διαπνέω,verb,kalw=s,καλός,noun,a)sqene/steroi,ἀσθενής,adjective,kai\,καί,conjunction,u(gieino/teroi,ὑγιεινός,adjective,kai\,καί,conjunction,eu)ana/sfaltoi,εὐανάσφαλτος,adjective,oi(,ἕ,pronoun,diapneo/menoi,διαπνέω,verb,kakw=s,κακός,adjective,pri\n,πρίν,adverb,h)\,ἠέ,conjunction,nosei=n,νοσέω,verb,i)sxuro/teroi,ἰσχυρός,adjective,nosh/santes,νοσέω,verb,de\,δέ,particle,dusana/,,,sfaltoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,de\,δέ,particle,kai\,καί,conjunction,o(/lw|,ὅλος,adjective,kai\,καί,conjunction,me/rei,μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pleu/mwn,πλεῦμος,noun,e)nanti/hn,ἐναντίος,adjective,sw/matos,σῶμα,adjective,trofh\n,τροφή,noun,e(/lkei,ἕλκω,verb,ta\,ὁ,article,d',δέ,particle,a)/lla,ἄλλος,adjective,pa/nta,πᾶς,adjective,th\n,ὁ,article,au)th/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxh\,ἀρχή,noun,trofh=s,τροφεύς,noun,pneu/matos,πνεῦμα,noun,r(i=nes,ῥίς,noun,sto/ma,στόμα,noun,bro/gxos,βρόγχος,noun,pleu/mwn,πλεῦμος,noun,kai\,καί,conjunction,h(,ὁ,article,a)/llh,ἄλλος,adjective,diapnoi/h,διαπνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxh\,ἀρχή,noun,trofh=s,τροφεύς,noun,kai\,καί,conjunction,u(grh=s,ὑγρός,adjective,kai\,καί,conjunction,chrh=s,ξηρά,noun,sto/ma,στόμα,noun,sto/maxos,στόμαχος,noun,koili/h,κοιλία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,a)rxaiote/rh,ἀρχαῖος,adjective,trofh\,τροφή,noun,dia\,διά,preposition,tou=,ὁ,article,e)pi,,,gastri/ou,,,h(=|,ὅς,pronoun,o(,ὁ,article,o)mfalo/s,ὀμφαλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(i/zwsis,ῥίζωσις,noun,flebw=n,φλέψ,noun,h(=par,ἧπαρ,noun,r(i/zwsis,ῥίζωσις,noun,a)rthriw=n,ἀρτηρία,noun,kardi/h,καρδιάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,a)poplana=tai,ἀποπλανάω,verb,e)s,εἰς,preposition,pa/nta,πᾶς,adjective,ai(=ma,αἷμα,noun,kai\,καί,conjunction,pneu=ma,πνεῦμα,noun,kai\,καί,conjunction,qermasi/h,θερμασία,noun,dia\,διά,preposition,tou/twn,οὗτος,pronoun,foita=|,φοιτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/namis,δύναμις,adjective,mi/a,εἷς,adjective,kai\,καί,conjunction,ou),οὐ,adverb,mi/a,εἷς,adjective,h(=|,ὅς,pronoun,pa/nta,πᾶς,adjective,tau=ta,οὗτος,pronoun,kai\,καί,conjunction,ta\,ὁ,article,e(teroi=a,ἑτεροῖος,adjective,dioikei=tai,διοικέω,verb,h(,ὁ,article,me\n,μέν,particle,e)s,εἰς,preposition,zwh\n,ζωή,noun,o(/lou,ὅλος,adjective,kai\,καί,conjunction,me/reos,μέρος,noun,h(,ὁ,article,de\,δέ,particle,e)s,εἰς,preposition,ai)/sqhsin,αἴσθησις,noun,o(/lou,ὅλος,adjective,kai\,καί,conjunction,me/reos,μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga/la,γάλα,noun,trofh/,τροφή,noun,oi(=s,ὅς,pronoun,ga/la,γάλα,noun,trofh\,τροφή,noun,kata\,κατά,preposition,fu/sin,φύσις,noun,a)/lloisi,ἄλλος,adjective,de\,δέ,particle,ou)xi/,οὐ,adverb,a)/lloisi,ἄλλος,adjective,de\,δέ,particle,oi)=nos,οἶνος,noun,trofh/,τροφή,noun,kai\,καί,conjunction,a)/lloisin,ἄλλος,adjective,ou)xi/,οὐ,adverb,kai\,καί,conjunction,sa/rkes,σάρξ,adjective,kai\,καί,conjunction,a)/llai,ἄλλος,adjective,i)de/ai,ἰδέα,noun,trofh=s,τροφεύς,noun,pollai/,πολύς,adjective,kai\,καί,conjunction,kata\,κατά,preposition,xw/rhn,χώρα,noun,kai\,καί,conjunction,kat',κατά,preposition,e)qismo/n,ἐθισμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre/fetai,τρέφω,verb,de\,δέ,particle,ta\,ὁ,article,me\n,μέν,particle,e)s,εἰς,preposition,au)/chsin,αὔξησις,noun,kai\,καί,conjunction,e)s,εἰς,preposition,to\,ὁ,article,ei)=nai,εἰμί,verb,ta\,ὁ,article,de\,δέ,particle,e)s,εἰς,preposition,to\,ὁ,article,ei)=nai,εἰμί,verb,mou=non,μόνος,adjective,oi(=on,οἷος,adjective,ge/rontes,γέρων,noun,ta\,ὁ,article,de\,δέ,particle,pro\s,πρός,preposition,tou/tw|,οὗτος,pronoun,kai\,καί,conjunction,e)s,εἰς,preposition,r(w/mhn,ῥώμη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia/qesis,διάθεσις,noun,a)qlhtikh\,ἀθλητικός,adjective,ou),οὐ,adverb,fu/sei,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
