word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS
*ou)/te,οὔτε,adverb,dh=ta,δῆτα,adverb,e)n,ἐν,preposition,deino/thti,δεινότης,noun,xrh/sima,χρήσιμος,adjective,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,w(s,ὡς,conjunction,e)/deica,δείκνυμι,verb,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,pa/qesi,πάθος,adjective,kai\,καί,conjunction,h)/qesin,ἦθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(plou=n,ἁπλόος,adjective,ga\r,γάρ,particle,ei)=nai,εἰμί,verb,bou/letai,βούλομαι,verb,kai\,καί,conjunction,a)poi/hton,ἀποίητος,adjective,to\,ὁ,article,pa/qos,πάθος,adjective,o(moi/ws,ὅμοιος,adjective,de\,δέ,particle,kai\,καί,conjunction,to\,ὁ,article,h)=qos,ἦθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,gou=n,γοῦν,particle,toi=s,ὁ,article,*)aristote/lous,Ἀριστοτέλης,proper,peri\,περί,preposition,dikaiosu/nhs,δικαιοσύνη,noun,o(,ὁ,article,th\n,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,po/lin,πόλις,adjective,o)duro/menos,ὀδύρομαι,verb,ei),εἰ,conjunction,me\n,μέν,particle,ou(/tws,οὕτως,adverb,ei)/poi,εἶπον,verb,o(/ti,ὅστις,pronoun,'poi/an,πόα,noun,toiau/thn,τοιοῦτος,adjective,po/lin,πόλις,adjective,ei(=lon,αἱρέω,verb,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,oi(/an,οἷος,adjective,th\n,ὁ,article,i)di/an,ἴδιος,adjective,po/lin,πόλις,adjective,a)pw/lesan',ἀπόλλυμι,verb,e)mpaqw=s,ἐμπαθής,adverb,a)\n,ἄν,particle,ei)rhkw\s,ἐρῶ,verb,ei)/h,ἀίω,verb,kai\,καί,conjunction,o)durtikw=s,ὀδυρτικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,paro/moion,παρόμοιος,adjective,au)to\,αὐτός,pronoun,poih/sei,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'poi/an,πόα,noun,ga\r,γάρ,particle,po/lin,πόλις,adjective,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,toiau/thn,τοιοῦτος,adjective,e)/labon,λαμβάνω,verb,o(poi/an,ὁποῖος,adjective,th\n,ὁ,article,i)di/an,ἴδιος,adjective,a)pe/balon',ἀποβάλλω,verb,ou),οὐ,adverb,ma\,μά,particle,to\n,ὁ,article,*di/a,Δίη,proper,pa/qos,πάθος,adjective,kinh/sei,κίνησις,adjective,ou)de\,οὐδέ,particle,e)/leon,ἔλεος,noun,a)lla\,ἀλλά,adverb,to\n,ὁ,article,kalou/menon,καλέω,verb,klausige/lwta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,e)n,ἐν,preposition,penqou=si,πενθέω,verb,pai/zein,παίω,verb,kata\,κατά,preposition,th\n,ὁ,article,paroimi/an,παροιμία,noun,to\,ὁ,article,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,pa/qesi,πάθος,adjective,kakotexnei=n,κακοτεχνέω,verb,e)sti,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*gi/netai,γίγνομαι,verb,me/ntoi,μέντοι,particle,ge,γε,particle,xrh/sima/,χρήσιμος,adjective,pote,ποτέ,particle,w(s,ὡς,conjunction,*)aristote/lhs,Ἀριστοτέλης,proper,fhsi/n,φημί,verb,'e)gw\,ἐγώ,pronoun,e)k,ἐκ,preposition,me\n,μέν,particle,*)aqhnw=n,Ἀθήνη,proper,ei)s,εἰς,preposition,*sta/geira,,,h)=lqon,ἔρχομαι,verb,dia\,διά,preposition,to\n,ὁ,article,basile/a,βασιλεύς,noun,to\n,ὁ,article,me/gan,μέγας,adverb,e)k,ἐκ,preposition,de\,δέ,particle,*stagei/rwn,Στάγειρος,proper,ei)s,εἰς,preposition,*)aqh/nas,Ἀθήνευς,proper,dia\,διά,preposition,to\n,ὁ,article,xeimw=na,χειμών,noun,to\n,ὁ,article,me/gan',μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,gou=n,γοῦν,particle,a)fe/lois,ἀφαιρέω,verb,to\,ὁ,article,e(/teron,ἕτερος,adjective,'me/gan',μέγας,adverb,sunafairh/sh|,συναφαιρέω,verb,kai\,καί,conjunction,th\n,ὁ,article,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,ga\r,γάρ,particle,megalhgori/a|,μεγαληγορία,noun,sunergoi=,συνεργέω,verb,a)\n,ἄν,particle,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,kw=la,κῶλον,noun,o(poi=a,ὁποῖος,adjective,tw=n,ὁ,article,*gorgi/ou,Γοργίης,proper,ta\,ὁ,article,polla\,πολύς,adjective,a)nti/qeta,ἀντίθετος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,*)isokra/tous,Ἰσοκράτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,dh\,δή,particle,tw=n,ὁ,article,paromoi/wn,παρόμοιος,adjective,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*diafe/rei,διαφέρω,verb,de\,δέ,particle,e)nqu/mhma,ἐνθύμημα,noun,perio/dou,περίοδος,noun,th=|de,ὅδε,pronoun,o(/ti,ὅστις,pronoun,h(,ὁ,article,me\n,μέν,particle,peri/odos,περίοδος,noun,su/nqesis,σύνθεσις,noun,ti/s,τίς,pronoun,e)sti,εἰμί,verb,perihgme/nh,περιάγω,verb,a)f',ἀπό,preposition,h(=s,ὅς,pronoun,kai\,καί,conjunction,w)no/mastai,ὀνομάζω,verb,to\,ὁ,article,de\,δέ,particle,e)nqu/mhma,ἐνθύμημα,noun,e)n,ἐν,preposition,tw=|,ὁ,article,dianoh/mati,διανόημα,noun,e)/xei,ἔχω,verb,th\n,ὁ,article,du/namin,δύναμις,adjective,kai\,καί,conjunction,su/stasin,σύστασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)/stin,εἰμί,verb,h(,ὁ,article,me\n,μέν,particle,peri/odos,περίοδος,noun,ku/klos,κύκλος,noun,tou=,ὁ,article,e)nqumh/matos,ἐνθύμημα,noun,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,pragma/twn,πρᾶγμα,noun,to\,ὁ,article,d',δέ,particle,e)nqu/mhma,ἐνθύμημα,noun,dia/noia/,διάνοια,noun,tis,τις,pronoun,h)/toi,ἤτοι,particle,e)k,ἐκ,preposition,ma/xhs,μάχη,noun,legome/nh,λέγω,verb,h)\,ἠέ,conjunction,e)n,ἐν,preposition,a)kolouqi/as,ἀκολουθία,noun,sxh/mati,σχῆμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*shmei=on,σημεῖον,noun,de/,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga\r,γάρ,particle,dialu/seias,διαλύω,verb,th\n,ὁ,article,su/nqesin,σύνθεσις,noun,tou=,ὁ,article,e)nqumh/matos,ἐνθύμημα,noun,th\n,ὁ,article,me\n,μέν,particle,peri/odon,περίοδος,noun,h)fa/nisas,ἀφανίζω,verb,to\,ὁ,article,d',δέ,particle,e)nqu/mhma,ἐνθύμημα,noun,tau)to\n,ταυτός,adjective,me/nei,μένω,verb,oi(=on,οἷος,adjective,ei)/,εἰ,conjunction,tis,τις,pronoun,to\,ὁ,article,para\,παρά,preposition,*dhmosqe/nei,Δημοσθένης,proper,dialu/seien,διαλύω,verb,e)nqu/mhma,ἐνθύμημα,noun,to\,ὁ,article,toiou=ton,τοιοῦτος,adjective,'w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,ei)/,εἰ,conjunction,tis,τις,pronoun,e)kei/nwn,ἐκεῖνος,pronoun,e(a/lw,ἁλίσκομαι,verb,su\,σύ,pronoun,ta/d',ὅδε,pronoun,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)/grayas,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,a)\n,ἄν,particle,su\,σύ,pronoun,nu=n,νῦν,adverb,a(lw=|s,ἁλίσκομαι,verb,a)/llos,ἄλλος,adjective,ou),οὐ,adverb,gra/yei',γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dialu/seien,διαλύω,verb,de\,δέ,particle,ou(/tw,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'mh\,ἁμός,adjective,e)pitre/pete,ἐπιτρέπω,verb,toi=s,ὁ,article,ta\,ὁ,article,para/noma,παράνομος,adjective,gra/fousin,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga\r,γάρ,particle,e)kwlu/onto,κωλύω,verb,ou),οὐ,adverb,k,,,a)\n,ἄν,particle,nu=n,νῦν,adverb,ou(=tos,οὗτος,pronoun,tau=ta,οὗτος,pronoun,e)/grafen,γράφω,verb,ou)d',οὐδέ,particle,e(/teros,ἕτερος,adjective,e)/ti,ἔτι,adverb,gra/yei,γράφω,verb,tou/tou,οὗτος,pronoun,nu=n,νῦν,adverb,a(lo/ntos',ἁλίσκομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ntau=qa,ἐνταῦθα,adverb,th=s,ὁ,article,perio/dou,περίοδος,noun,me\n,μέν,particle,o(,ὁ,article,ku/klos,κύκλος,noun,e)kle/lutai,ἐκλύω,verb,to\,ὁ,article,d',δέ,particle,e)nqu/mhma,ἐνθύμημα,noun,e)n,ἐν,preposition,tau)tw=|,ταυτός,adjective,me/nei,μένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,καί,conjunction,kaqo/lou,καθόλου,adverb,de\,δέ,particle,to\,ὁ,article,me\n,μέν,particle,e)nqu/mhma,ἐνθύμημα,noun,sullogismo/s,συλλογισμός,noun,ti/s,τίς,pronoun,e)sti,εἰμί,verb,r(htoriko/s,ῥητορικός,adjective,h(,ὁ,article,peri/odos,περίοδος,noun,de\,δέ,particle,sullogi/zetai,συλλογίζομαι,verb,me\n,μέν,particle,ou)de/n,οὐδείς,pronoun,su/gkeitai,σύγκειμαι,verb,de\,δέ,particle,mo/non,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,perio/dous,περίοδος,noun,me\n,μέν,particle,e)n,ἐν,preposition,panti\,πᾶς,adjective,me/rei,μέρος,noun,tou=,ὁ,article,lo/gou,λόγος,noun,ti/qemen,τίθημι,verb,oi(=on,οἷος,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,prooimi/ois,προοίμιον,noun,e)nqumh/mata,ἐνθύμημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de\,δέ,particle,ou)k,οὐ,adverb,e)n,ἐν,preposition,panti/,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,me\n,μέν,particle,w(/sper,ὥσπερ,adverb,e)pile/getai,ἐπιλέγω,verb,to\,ὁ,article,e)nqu/mhma,ἐνθύμημα,noun,h(,ὁ,article,peri/odos,περίοδος,noun,de\,δέ,particle,au)to/qen,αὐτόθεν,adverb,le/getai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,me\n,μέν,particle,oi(=on,οἷος,adjective,sullogismo/s,συλλογισμός,noun,e)stin,εἰμί,verb,a)telh/s,ἀτελής,adjective,h(,ὁ,article,de\,δέ,particle,ou)/te,οὔτε,adverb,o(/lon,ὅλος,adjective,ti,τις,pronoun,ou)/te,οὔτε,adverb,a)tele\s,ἀτελής,adjective,sullogi/zetai,συλλογίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sumbe/bhke,συμβαίνω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,tw=|,ὁ,article,e)nqumh/mati,ἐνθύμημα,noun,kai\,καί,conjunction,perio/dw|,περίοδος,noun,ei)=nai,εἰμί,verb,dio/ti,διότι,conjunction,periodikw=s,περιοδικός,adjective,su/gkeitai,σύγκειμαι,verb,peri/odos,περίοδος,noun,d',δέ,particle,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,w(/sper,ὥσπερ,adverb,tw=|,ὁ,article,oi)kodomoume/nw|,οἰκοδομέω,verb,sumbe/bhke,συμβαίνω,verb,me\n,μέν,particle,kai\,καί,conjunction,leukw=|,λευκός,adjective,ei)=nai,εἰμί,verb,a)\n,ἄν,particle,leuko\n,λευκός,adjective,h)=|,εἰμί,verb,to\,ὁ,article,oi)kodomou/menon,οἰκοδομέω,verb,d',δέ,particle,ou)k,οὐ,adverb,e)/sti,εἰμί,verb,leuko/n,λευκός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,dh\,δή,particle,diafora=s,διαφορά,noun,e)nqumh/matos,ἐνθύμημα,noun,kai\,καί,conjunction,perio/dou,περίοδος,noun,ei)/rhtai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*to\,ὁ,article,de\,δέ,particle,kw=lon,κῶλον,noun,*)aristote/lhs,Ἀριστοτέλης,proper,ou(/tws,οὕτως,adverb,o(ri/zetai,ὁρίζω,verb,'kw=lo/n,κῶλον,noun,e)sti,εἰμί,verb,to\,ὁ,article,e(/teron,ἕτερος,adjective,me/ros,μέρος,noun,perio/dou',περίοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,e)pife/rei,ἐπιφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'gi/netai,γίγνομαι,verb,de\,δέ,particle,kai\,καί,conjunction,a(plh=,ἁπλόος,adjective,peri/odos',περίοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,o(risa/menos,ὁρίζω,verb,'to\,ὁ,article,e(/teron,ἕτερος,adjective,me/ros',μέρος,noun,di/kwlon,δίκωλος,adjective,e)bou/leto,βούλομαι,verb,ei)=nai,εἰμί,verb,th\n,ὁ,article,peri/odon,περίοδος,noun,dhlono/ti,δηλονότι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,*)arxe/dhmos,Ἀρχέδημος,proper,sullabw\n,συλλαμβάνω,verb,to\n,ὁ,article,o(/ron,ὅρος,adjective,tou=,ὁ,article,*)aristote/lous,Ἀριστοτέλης,proper,kai\,καί,conjunction,to\,ὁ,article,e)pifero/menon,ἐπιφέρω,verb,tw=|,ὁ,article,o(/rw|,ὅρος,adjective,safe/steron,σαφής,adverb,kai\,καί,conjunction,telew/teron,τέλειος,adjective,ou(/tws,οὕτως,adverb,w(ri/sato,ὁρίζω,verb,'kw=lo/n,κῶλον,noun,e)stin,εἰμί,verb,h)/toi,ἤτοι,particle,a(plh=,ἁπλόος,adjective,peri/odos,περίοδος,noun,h)\,ἠέ,conjunction,sunqe/tou,σύνθετος,adjective,perio/dou,περίοδος,noun,me/ros',μέρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ti/,τίς,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,a(plh=,ἁπλόος,adjective,peri/odos,περίοδος,noun,ei)/rhtai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
