word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
tau/th|,οὗτος,pronoun,kai\,καί,conjunction,h)nu/tomen,ἀνύω,verb,mo/lis,μόλις,adverb,kai\,καί,conjunction,xalepw=s,χαλεπός,adjective,th=|,ὁ,article,ei)resi/a|,εἰρεσία,noun,kai\,καί,conjunction,me/ntoi,μέντοι,particle,polla\,πολύς,adjective,paqo/ntes,πάσχω,verb,h(/komen,ἥκω,verb,e)s,εἰς,preposition,ta\s,ὁ,article,*)aqh/nas,Ἀθήνευς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,ga/r,γάρ,particle,toi,σύ,pronoun,kai\,καί,conjunction,e)n,ἐν,preposition,*po/ntw|,Πόντος,proper,tw=|,ὁ,article,*eu)cei/nw|,Εὔξεινος,proper,xwri/on,χωρίον,noun,ou(/tw,οὕτως,adverb,kalou/menon,καλέω,verb,kai/,καί,conjunction,ti,τις,pronoun,kai\,καί,conjunction,*)aqhna=s,Ἀθήνη,proper,i(ero/n,ἱερόν,noun,e)stin,εἰμί,verb,au)to/qi,αὐτόθι,adverb,*(ellhniko/n,Ἑλληνικός,adjective,o(/qen,ὅθεν,adverb,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,kai\,καί,conjunction,to\,ὁ,article,o)/noma,ὄνομα,adjective,ei)=nai,εἰμί,verb,tou=to,οὗτος,pronoun,tw=|,ὁ,article,xwri/w|,χωρίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,frou/rio/n,φρουρέω,verb,ti,τις,pronoun,e)sti\n,εἰμί,verb,h)melhme/non,ἀμελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,o(/rmos,ὅρμος,noun,oi(=os,οἷος,adjective,w(/ra|,ὥρα,adjective,e)/tous,ἔτος,noun,de/xesqai,δέχομαι,verb,ou),οὐ,adverb,polla\s,πολύς,adjective,nau=s,ναῦς,noun,kai\,καί,conjunction,ske/phn,σκέπη,noun,tau/tais,οὗτος,pronoun,pare/xein,παρέχω,verb,a)po\,ἀπό,preposition,no/tou,νότος,noun,a)ne/mou,ἄνεμος,noun,kai\,καί,conjunction,au)=,αὖ,interjection,tou=,ὁ,article,eu)/rou,ἐύρρους,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw/|zoito,σώζω,verb,d',δέ,particle,a)\n,ἄν,particle,kai\,καί,conjunction,tou=,ὁ,article,borra=,Βορέας,proper,ta\,ὁ,article,o(rmou=nta,ὁρμάω,verb,ploi=a,πλοῖον,noun,a)ll',ἀλλά,adverb,ou),οὐ,adverb,tou=,ὁ,article,ge,γε,particle,a)parkti/ou,ἀπαρκτίας,noun,ou)de\,οὐδέ,particle,tou=,ὁ,article,qra|ski/ou,,,me\n,μέν,particle,e)n,ἐν,preposition,tw=|,ὁ,article,*po/ntw|,Πόντος,proper,ski/rwnos,,,de\,δέ,particle,e)n,ἐν,preposition,th=|,ὁ,article,*(ella/di,Ἑλλάς,proper,kaloume/nou,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,de\,δέ,particle,th\n,ὁ,article,nu/kta,νύξ,adjective,brontai/,βροντή,noun,te,τε,particle,sklhrai\,σκληρός,adjective,kai\,καί,conjunction,a)strapai\,ἀστραπή,noun,katei=xon,κατέχω,verb,kai\,καί,conjunction,pneu=ma,πνεῦμα,noun,ou),οὐ,adverb,to\,ὁ,article,au)to\,αὐτός,pronoun,e)/ti,ἔτι,adverb,a)ll',ἀλλά,adverb,e)s,εἰς,preposition,no/ton,νότος,noun,meqeisth/kei,μεθίστημι,verb,kai\,καί,conjunction,di',διά,preposition,o)li/gou,ὀλίγος,adjective,a)po\,ἀπό,preposition,tou=,ὁ,article,no/tou,νότος,noun,e)s,εἰς,preposition,li/ba,λίβος,noun,a)/nemon,ἄνεμος,noun,kai\,καί,conjunction,tai=s,ὁ,article,nausi\n,ναῦς,noun,ou)ke/ti,οὐκέτι,adverb,a)sfalh\s,ἀσφαλής,adjective,o(,ὁ,article,o(/rmos,ὅρμος,noun,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pri\n,πρίν,adverb,ou)=n,οὖν,particle,panta/pasin,παντάπασι,adverb,a)griwqh=nai,ἀγριόω,verb,th\n,ὁ,article,qa/lassan,θάλασσα,noun,o(/sas,ὅσος,adjective,me\n,μέν,particle,au)to\,αὐτός,pronoun,to\,ὁ,article,xwri/on,χωρίον,noun,ai(,ὁ,article,*)aqh=nai,Ἀθήνη,proper,de/casqai,δέχομαι,verb,e)du/nanto,δύναμαι,verb,tau/tas,οὗτος,pronoun,au)tou=,αὐτός,pronoun,e)newlkh/samen,νεωλκέω,verb,plh\n,πλήν,preposition,th=s,ὁ,article,trih/rous,τριήρης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au(/th,οὗτος,pronoun,ga\r,γάρ,particle,pe/tra|,πέτρα,noun,tini\,τις,pronoun,u(formou=sa,ὑφορμάω,verb,a)sfalw=s,ἀσφαλής,adjective,e)sa/leuen,σαλεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,de\,δέ,particle,polla\s,πολύς,adjective,e)do/kei,δοκέω,verb,pe/mpein,πέμπω,verb,e)s,εἰς,preposition,tou\s,ὁ,article,ai)gialou\s,αἰγιαλός,noun,tou\s,ὁ,article,plhsi/on,πλησίος,adjective,newlkhqhsome/nas,νεωλκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)newlkh/qhsan,νεωλκέω,verb,w(/ste,ὥστε,conjunction,a)paqei=s,ἀπαθέω,verb,diagene/sqai,διαγίγνομαι,verb,pa/sas,πᾶς,adjective,plh\n,πλήν,preposition,mia=s,εἷς,adjective,h(/ntina,ὅστις,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,o(rmi/zesqai,ὁρμίζω,verb,pro\,πρό,preposition,tou=,ὁ,article,kairou=,καιρός,noun,e)pistre/yasan,ἐπιστρέφω,verb,plagi/an,πλάγιος,adjective,u(polabo\n,ὑπολαμβάνω,verb,to\,ὁ,article,ku=ma,κῦμα,noun,e)ch/negken,ἐκφέρω,verb,e)s,εἰς,preposition,th\n,ὁ,article,h)|o/na,ἠιών,noun,kai\,καί,conjunction,sune/triyen,συντρίβω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pesw/qh,ἀποσῴζω,verb,me/ntoi,μέντοι,particle,pa/nta,πᾶς,adjective,ou),οὐ,adverb,ta\,ὁ,article,i(sti/a,ἑστία,noun,mo/non,μόνος,adjective,kai\,καί,conjunction,ta\,ὁ,article,skeu/h,σκεῦος,noun,ta\,ὁ,article,nautika\,ναυτικός,adjective,kai\,καί,conjunction,oi(,ὁ,article,a)/nqrwpoi,ἄνθρωπος,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,oi(,ὁ,article,h(=loi,ἧλος,noun,kai\,καί,conjunction,o(,ὁ,article,khro\s,κήρ,noun,a)pecu/sqh,ἀποξύω,verb,w(s,ὡς,conjunction,mhdeno\s,μηδείς,pronoun,a)/llou,ἄλλος,adjective,h)\,ἠέ,conjunction,cu/lwn,ξύλον,adjective,dei=sqai,δέομαι,verb,nauphghsi/mwn,ναυπηγήσιμος,adjective,e)s,εἰς,preposition,th\n,ὁ,article,kataskeuh/n,κατασκευή,noun,w(=n,ὅς,pronoun,pampo/llh,παμπολύς,adjective,xeimw\n,χειμών,noun,e)pi\,ἐπί,preposition,du/o,δύο,adjective,h(me/ras,ἡμέρα,noun,katei=xen,κατέχω,verb,kai\,καί,conjunction,h)=n,εἰμί,verb,a)na/gkh,ἀνάγκη,noun,me/nein,μένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)xrh=n,χρή,verb,ga\r,γάρ,particle,a)/ra,ἄρα,particle,mhde\,μηδέ,particle,ta\s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,*po/ntw|,Πόντος,proper,*)aqh/nas,Ἀθήνευς,proper,parapleu=sai,παραπλέω,verb,h(ma=s,ἐγώ,pronoun,w(/sper,ὥσπερ,adverb,tina\,τις,pronoun,o(/rmon,ὅρμος,noun,e)/rhmon,ἐρῆμος,adjective,kai\,καί,conjunction,a)nw/numon,ἀνώνυμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nqe/nde,ἐνθένδε,adverb,a)/rantes,αἴρω,verb,u(po\,ὑπό,preposition,me\n,μέν,particle,th\n,ὁ,article,e(/w,ἠώς,noun,plagi/ou,πλάγιος,adjective,tou=,ὁ,article,klu/dwnos,κλύδων,adjective,e)peirw/meqa,ἐπέρομαι,verb,proi+ou/shs,πρόειμι,verb,de\,δέ,particle,th=s,ὁ,article,h(me/ras,ἡμέρα,noun,borra=s,Βορέας,proper,e)pipneu/sas,ἐπιπνέω,verb,o)li/gos,ὀλίγος,adjective,kate/sthse,καθίστημι,verb,th\n,ὁ,article,qa/lassan,θάλασσα,noun,kai\,καί,conjunction,diatremh=sai,διατρεμέω,verb,e)poi/hsen,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h)/lqomen,ἔρχομαι,verb,pro\,πρό,preposition,th=s,ὁ,article,meshmbri/as,μεσημβρία,noun,stadi/ous,στάδιον,noun,plei/ous,πλέως,adjective,h)\,ἠέ,conjunction,pentakosi/ous,πεντακόσιοι,adjective,e)s,εἰς,preposition,*)/ayaron,,,i(/naper,ἵνα,conjunction,ai(,ὁ,article,pe/nte,πέντε,adverb,spei=rai/,σπεῖρα,noun,ei)sin,εἰμί,verb,i(drume/nai,ἱδρύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,misqofora\n,μισθοφορά,noun,th=|,ὁ,article,stratia=|,στρατία,noun,e)/dwka,δίδωμι,verb,kai\,καί,conjunction,ta\,ὁ,article,o(/pla,ὅπλον,noun,ei)=don,εἶδον,verb,kai\,καί,conjunction,to\,ὁ,article,tei=xos,τεῖχος,noun,kai\,καί,conjunction,th\n,ὁ,article,ta/fron,τάφρος,noun,kai\,καί,conjunction,tou\s,ὁ,article,ka/mnontas,κάμνω,verb,kai\,καί,conjunction,tou=,ὁ,article,si/tou,σῖτος,noun,th\n,ὁ,article,paraskeuh\n,παρασκευή,noun,th\n,ὁ,article,e)nou=san,ἔνειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/ntina,ὅστις,pronoun,de\,δέ,particle,u(pe\r,ὑπέρ,preposition,au)tw=n,αὐτός,pronoun,th\n,ὁ,article,gnw/mhn,γνώμη,noun,e)/sxon,ἔχω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,*(rwmai+koi+s,,,gra/mmasin,γράμμα,noun,ge/graptai,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*)/ayaros,,,to\,ὁ,article,xwri/on,χωρίον,noun,le/gousin,λέγω,verb,o(/ti,ὅστις,pronoun,*)/ayurtos,Ἄψυρτος,proper,e)kalei=to,καλέω,verb,pa/lai,πάλαι,adverb,pote/,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ntau=qa,ἐνταῦθα,adverb,ga\r,γάρ,particle,to\n,ὁ,article,*)/ayurton,Ἄψυρτος,proper,u(po\,ὑπό,preposition,th=s,ὁ,article,*mhdei/as,Μήδειος,proper,a)poqanei=n,ἀποθνήσκω,verb,kai\,καί,conjunction,ta/fos,τάφος,noun,*)ayu/rtou,Ἄψυρτος,proper,dei/knutai,δείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,diafqarh=nai,διαφθείρω,verb,to\,ὁ,article,o)/noma,ὄνομα,adjective,u(po\,ὑπό,preposition,tw=n,ὁ,article,perioi/kwn,περίοικος,adjective,barba/rwn,βάρβαρος,adjective,kaqa/per,καθά,adverb,kai\,καί,conjunction,a)/lla,ἄλλος,adjective,polla\,πολύς,adjective,die/fqartai,διαφθείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(po/te,ὁπότε,adverb,kai\,καί,conjunction,ta\,ὁ,article,*tu/ana,,,ta\,ὁ,article,e)n,ἐν,preposition,toi=s,ὁ,article,*kappado/kais,Καππαδόκαι,proper,*qo/ana,,,le/gousin,λέγω,verb,o(/ti,ὅστις,pronoun,w)noma/zeto,ὀνομάζω,verb,e)pi\,ἐπί,preposition,*qo/anti,Θόας,proper,tw=|,ὁ,article,basilei=,βασιλεύς,noun,tw=n,ὁ,article,*tau/rwn,Ταῦρος,proper,o(\s,ὅς,pronoun,tou\s,ὁ,article,a)mfi\,ἀμφί,preposition,*)ore/sthn,Ὀρέστης,proper,kai\,καί,conjunction,*pula/dhn,Πυλάδης,proper,diw/kwn,διώκω,verb,a)/xri,ἄχρι,adverb,th=sde,ὅδε,pronoun,th=s,ὁ,article,xw/ras,χώρα,noun,e)lqei=n,ἔρχομαι,verb,fhmi/zetai,φημίζω,verb,kai\,καί,conjunction,e)ntau=qa,ἐνταῦθα,adverb,no/sw|,νόσος,noun,a)poqanei=n,ἀποθνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potamou\s,ποταμός,noun,de\,δέ,particle,parhmei/yamen,παραμείβω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,para/plw|,παράπλοος,noun,tw=|,ὁ,article,a)po\,ἀπό,preposition,*trapezou=ntos,Τραπεζόεις,proper,to/n,ὁ,article,te,τε,particle,*(/usson,ὑσσω,verb,o(/tou,ὅστις,pronoun,e)pw/numos,ἐπώνυμος,adjective,*(/ussou,ὑσσω,verb,limh/n,λιμήν,noun,o(\s,ὅς,pronoun,a)pe/xei,ἀπέχω,verb,*trapezou=ntos,Τραπεζόεις,proper,stadi/ous,στάδιον,noun,o)gdoh/konta,ὀγδοήκοντα,noun,kai\,καί,conjunction,e(kato/n,ἑκατόν,noun,kai\,καί,conjunction,to\n,ὁ,article,*)/ofin,Ὄφις,proper,o(\s,ὅς,pronoun,a)pe/xei,ἀπέχω,verb,*(/ussou,ὑσσω,verb,lime/nos,λιμήν,noun,e)s,εἰς,preposition,e)nenh/konta,ἐνενήκοντα,verb,stadi/ous,στάδιον,noun,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,o(ri/zei,ὁρίζω,verb,th\n,ὁ,article,*ko/lxwn,Κόλχος,proper,xw/ran,χώρα,noun,a)po\,ἀπό,preposition,th=s,ὁ,article,*qiannikh=s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,to\n,ὁ,article,*yuxro\n,ψυχρός,adjective,kalou/menon,καλέω,verb,potamo\n,ποταμός,noun,die/xonta,διέχω,verb,o(/son,ὅσος,adjective,tria/konta,τριάκοντα,noun,stadi/ous,στάδιον,noun,a)po\,ἀπό,preposition,tou=,ὁ,article,*)/ofios,Ὄφις,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,to\n,ὁ,article,*kalo\n,καλός,noun,potamo/n,ποταμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(=tos,οὗτος,pronoun,tria/konta,τριάκοντα,noun,die/xei,διαχέω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,*yuxrou=,ψυχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)xo/menos,ἔχω,verb,de/,δέ,particle,e)stin,εἰμί,verb,o(,ὁ,article,*(ri/zios,,,potamo/s,ποταμός,noun,e(kato\n,ἑκατόν,noun,kai\,καί,conjunction,ei)/kosi,εἴκοσι,verb,stadi/ous,στάδιον,noun,die/xwn,διαχώννυμι,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,*kalou=,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)po\,ἀπό,preposition,tou/tou,οὗτος,pronoun,tria/konta,τριάκοντα,noun,*)/askouros,,,a)/llos,ἄλλος,adjective,potamo/s,ποταμός,noun,kai\,καί,conjunction,*)adihno/s,,,tis,τις,pronoun,a)po\,ἀπό,preposition,tou=,ὁ,article,*)askou/rou,,,e(ch/konta,ἑξήκοντα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nqe/nde,ἐνθένδε,adverb,e)s,εἰς,preposition,*)aqh/nas,Ἀθήνευς,proper,o)gdoh/konta,ὀγδοήκοντα,noun,kai\,καί,conjunction,e(kato/n,ἑκατόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai=s,ὁ,article,de\,δέ,particle,*)aqh/nais,Ἀθήνη,proper,*za/gatis,,,potamo\s,ποταμός,noun,e(pta\,ἑπτά,noun,ma/lista,μάλιστα,adverb,stadi/ous,στάδιον,noun,a)p',ἀπό,preposition,au)tw=n,αὐτός,pronoun,die/xwn,διαχώννυμι,verb,pro/skeitai,πρόσκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po\,ἀπό,preposition,de\,δέ,particle,tw=n,ὁ,article,*)aqhnw=n,Ἀθήνη,proper,o(rmhqe/ntes,ὁρμάω,verb,to\n,ὁ,article,*pru/tanin,Πρύτανις,proper,parhmei/yamen,παραμείβω,verb,i(/naper,ἵνα,conjunction,kai\,καί,conjunction,ta\,ὁ,article,*)agxia/lou,Ἀγχίαλος,proper,basi/leia/,βασίλειον,noun,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(=tos,οὗτος,pronoun,a)pe/xei,ἀπέχω,verb,tessara/konta,τεσσαράκοντα,adjective,stadi/ous,στάδιον,noun,a)po\,ἀπό,preposition,tw=n,ὁ,article,*)aqhnw=n,Ἀθήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,*pruta/news,Πρύτανις,proper,de\,δέ,particle,e)/xetai,ἔχω,verb,o(,ὁ,article,*puci/ths,,,potamo/s,ποταμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
