word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS
i(h\,,,i(h\,,,*karnei=e,,,polu/llite,πολύλλιτος,adjective,sei=o,σύ,pronoun,de\,δέ,particle,bwmoi/,βωμός,noun,a)/nqea,ἄνθος,adjective,me\n,μέν,particle,fore/ousin,φορέω,verb,e)n,ἐν,preposition,ei)/ari,ἔαρ,noun,to/ssa,τόσος,adjective,per,πέρ,particle,*(=wrai,Ὥρα,proper,poiki/l',ποικίλος,adjective,a)gineu=si,ἀγινέω,verb,zefu/rou,Ζέφυρος,proper,pnei/ontos,πνέω,verb,e)e/rshn,ἔρσα,noun,xei/mati,χεῖμα,noun,de\,δέ,particle,kro/kon,κρόκος,noun,h(du/n,ἡδύς,adjective,,,,,,,,,,,,,,,,,,,,,
a)ei\,ἀεί,adverb,de/,δέ,particle,toi,τοι,particle,a)e/naon,ἀέναος,adjective,pu=r,πῦρ,noun,ou)de/,οὐδέ,particle,pote,ποτέ,particle,xqizo\n,χθιζός,adjective,peribo/sketai,περιβόσκω,verb,a)/nqraka,ἄνθραξ,noun,te/frh,τέφρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,r(',ἄρα,particle,e)xa/rh,χαίρω,verb,me/ga,μέγας,adverb,*foi=bos,Φοῖβος,proper,o(/te,ὅτε,conjunction,zwsth=res,ζωστήρ,noun,*)enuou=s,Ἐνυώ,proper,a)ne/res,ἀνήρ,noun,w)rxh/santo,ὀρχέομαι,verb,meta\,μετά,preposition,canqh=isi,,,*libu/ssais,,,te/qmiai,τέθμιος,adjective,eu)=te/,εὖτε,conjunction,sfin,σφεῖς,pronoun,*karneia/des,,,h)/luqon,ἔρχομαι,verb,w(=rai,ὥρα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,d',δέ,particle,ou)/pw,οὔπω,adverb,phgh=isi,,,*ku/rhs,κυρέω,verb,e)du/nanto,δύναμαι,verb,pela/ssai,πελάζω,verb,*dwrie/es,Δωριεύς,proper,pukinh=n,,,de\,δέ,particle,na/pais,νάπη,adjective,*)/azilin,,,e)/naion,ναίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,me\n,μέν,particle,a)/nac,ἄναξ,noun,i)/den,εἶδον,verb,au)to/s,αὐτός,pronoun,e(h=i,ἑός,adjective,d',δέ,particle,e)pedei/cato,ἐπιδείκνυμι,verb,nu/mfhi,νύμφη,noun,sta\s,ἵστημι,verb,e)pi\,ἐπί,preposition,*murtou/sshs,,,keratw/deos,κερατώδης,adjective,h(=xi,ἧχι,adverb,le/onta,λέων,noun,*(uyhi\s,,,kate/pefne,κατέπεφνον,verb,bow=n,βόα,noun,si/nin,σίνις,adjective,*eu)rupu/loio,Εὐρύπυλος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,kei/nou,ἐκεῖνος,pronoun,xoro\n,χορός,noun,ei)=de,εἶδον,verb,qew/teron,θεώτερος,adjective,a)/llon,ἄλλος,adjective,*)apo/llwn,Ἀπόλλων,proper,ou)de\,οὐδέ,particle,po/lei,πόλις,adjective,to/s',τόσος,adjective,e)/neimen,νέμω,verb,o)fe/lsima,ὀφέλσιμος,adjective,to/ssa,τόσος,adjective,*kurh/nhi,Κυρήνη,proper,mnwo/menos,μνάομαι,verb,prote/rhs,πρότερος,adjective,a(rpaktu/os,ἁρπακτύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,me\n,μέν,particle,au)toi/,αὐτός,pronoun,*battia/dai,Βαττιάδης,proper,*foi/boio,Φοῖβος,proper,ple/on,πλέος,adjective,qeo\n,θεός,noun,a)/llon,ἄλλος,adjective,e)/teisan,τίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(h\,,,i(h\,,,paih=on,Παιάν,proper,a)kou/omen,ἀκούω,verb,ou(/neka,οὕνεκα,conjunction,tou=to,οὗτος,pronoun,*delfo/s,Δελφός,proper,toi,σύ,pronoun,prw/tiston,πρώτιστος,adjective,e)fu/mnion,ἐφύμνιον,noun,eu(/reto,εὑρίσκω,verb,lao/s,λαός,noun,h)=mos,ἦμος,adverb,e(khboli/hn,ἑκηβολία,noun,xruse/wn,χρύσεος,adjective,e)pedei/knuso,ἐπιδείκνυμι,verb,to/cwn,τόξον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*puqw/,Πυθώ,proper,toi,τοι,particle,katio/nti,κάτειμι,verb,sunh/nteto,συνάντομαι,verb,daimo/nios,δαιμόνιος,adjective,qh/r,θήρ,noun,ai)no\s,αἰνός,adjective,o)/fis,ὄφις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,me\n,μέν,particle,su\,σύ,pronoun,kath/nares,κατεναίρομαι,verb,a)/llon,ἄλλος,adjective,e)p',ἐπί,preposition,a)/llwi,ἄλλος,adjective,ba/llwn,βάλλω,verb,w)ku\n,ὠκύς,adjective,o)isto/n,ὀιστός,adjective,e)phu/thse,,,de\,δέ,particle,lao/s,λαός,noun,'i(h\,,,i(h\,,,paih=on,Παιάν,proper,i(/ei,ἵημι,verb,be/los,βέλος,noun,eu)qu/,εὐθύς,adjective,se,σύ,pronoun,mh/thr,μήτηρ,noun,gei/nat',γείνομαι,verb,a)osshth=ra',ἀοσσητήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,e)ce/ti,ἐξέτι,preposition,kei=qen,ἐκεῖθεν,adverb,a)ei/dhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,*fqo/nos,φθόνος,noun,*)apo/llwnos,Ἀπόλλων,proper,e)p',ἐπί,preposition,ou)/ata,οὖς,noun,la/qrios,λάθριος,adjective,ei)=pen,εἶπον,verb,'ou)k,οὐ,adverb,a)/gamai,ἄγαμαι,verb,to\n,ὁ,article,a)oido\n,ἀοιδός,noun,o(\s,ὅς,pronoun,ou)d',οὐδέ,particle,o(/sa,ὅσος,adjective,po/ntos,πόντος,noun,a)ei/dei',ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,*fqo/non,φθόνος,noun,w(po/llwn,,,podi/,ποδίς,noun,t',τε,particle,h)/lasen,ἐλαύνω,verb,w(=de/,ὧδε,adverb,t',τε,particle,e)/eipen,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'*)assuri/ou,,,potamoi=o,ποταμός,noun,me/gas,μέγας,adverb,r(o/os,ῥόος,noun,a)lla\,ἀλλά,adverb,ta\,ὁ,article,polla/,πολύς,adjective,lu/mata,λῦμα,noun,gh=s,γῆ,noun,kai\,καί,conjunction,pollo\n,πολύς,adjective,e)f',ἐπί,preposition,u(/dati,ὕδωρ,noun,surfeto\n,συρφετός,noun,e(/lkei,ἕλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhoi=,,,d',δέ,particle,ou)k,οὐ,adverb,a)po\,ἀπό,preposition,panto\s,πᾶς,adjective,u(/dwr,ὕδωρ,noun,fore/ousi,φορέω,verb,me/lissai,μέλισσα,noun,a)ll',ἀλλά,adverb,h(/tis,ὅστις,pronoun,kaqarh/,καθαρός,adjective,te,τε,particle,kai\,καί,conjunction,a)xra/antos,ἀχράαντος,adjective,a)ne/rpei,ἀνέρπω,verb,pi/dakos,πῖδαξ,noun,e)c,ἐκ,preposition,i(erh=s,ἱερά,noun,o)li/gh,ὀλίγος,adjective,liba\s,λιβάς,noun,a)/kron,ἄκρος,adjective,a)/wton',ἄωτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=rs,,,a)/nac,ἄναξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*mw=mos,Μῶμος,proper,i(/n',ἵνα,conjunction,o(,ὁ,article,*fqo/nos,φθόνος,noun,e)/nqa,ἔνθα,adverb,ne/oito,νέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
