word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/35/lemma/@_entry,word/35/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS
e)mbalw\n,ἐμβάλλω,verb,de\,δέ,particle,toiou=tos,τοιοῦτος,adjective,ei)s,εἰς,preposition,th\n,ὁ,article,a)gora\n,ἀγορά,noun,e)/legen,λέγω,verb,u(po\,tw=n,ce/nwn,ξένος,noun,tou=,ὁ,article,*di/wnos,Δίων,proper,e)pibebouleu=sqai,ἐπιβουλεύω,verb,kai\,καί,conjunction,th\n,ὁ,article,kefalh\n,κεφαλή,noun,e)pedei/knue,ἐπιδείκνυμι,verb,tetrwme/nhn,τετράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπό,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pollou\s,πολύς,adjective,ei)=xe,ἔχω,verb,tou\s,ὁ,article,sunaganaktou=ntas,συναγανακτέω,verb,kai\,καί,conjunction,sunistame/nous,συνίστημι,verb,kata\,tou=,*di/wnos,Δίων,proper,w(s,ὡς,conjunction,deina\,δεινός,adjective,kai\,καί,conjunction,turannika\,τυραννικός,adjective,pra/ttontos,πράσσω,verb,ei),εἰ,conjunction,fo/nois,φόνος,noun,kai\,καί,conjunction,kindu/nois,κίνδυνος,noun,tw=n,ὁ,article,politw=n,πολίτης,noun,a)fairei=tai,ἀφαιρέω,verb,th\n,ὁ,article,parrhsi/an,παρρησία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κατά,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)lla\,ἀλλά,adverb,kai/per,καίπερ,particle,a)kri/tou,ἄκριτος,adverb,kai\,καί,conjunction,taraxw/dous,ταραχώδης,adverb,e)kklhsi/as,genome/nhs,parelqw\n,παρέρχομαι,verb,o(,ὁ,article,*di/wn,Δίος,proper,a)pelogei=to,ἀπολογέομαι,verb,kai\,καί,conjunction,to\n,ὁ,article,*sw=sin,Σῶσις,proper,a)pe/faine,ἀποφαίνω,verb,tw=n,ὁ,article,*dionusi/ou,Διονύσιον,proper,dorufo/rwn,δορύφορος,adjective,e(no\s,εἷς,adjective,a)delfo\n,ἀδελφός,adjective,o)/nta,εἰμί,verb,kai\,καί,conjunction,di',διά,preposition,e)kei/nou,ἐκεῖνος,pronoun,pepeisme/non,πείθω,verb,stasia/sai,στασιάζω,verb,kai\,καί,conjunction,suntara/cai,συνταράσσω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,ou)demia=s,οὐδείς,pronoun,*dionusi/w|,Διονύσιον,proper,swthri/as,σωτηρία,noun,ou)/shs,plh\n,πλήν,preposition,th=s,ὁ,article,e)kei/nwn,ἐκεῖνος,pronoun,a)pisti/as,ἀπιστία,adjective,kai\,καί,conjunction,diafora=s,διαφορά,noun,pro\s,πρός,preposition,au(tou/s,ἑαυτοῦ,pronoun,a(/ma,ἅμα,adverb,d',δέ,particle,oi(,ἕ,pronoun,me\n,μέν,particle,i)atroi\,tou=,ὁ,article,*sw/sidos,Σῶσις,proper,to\,ὁ,article,trau=ma,τραῦμα,noun,katamanqa/nontes,καταμανθάνω,verb,eu(/riskon,εὑρίσκω,verb,e)c,ἐκ,preposition,e)pipolh=s,ἐπιπολή,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,katafora=s,καταφορά,noun,gegenhme/non,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκκλησία,noun,γίγνομαι,verb,εἰμί,verb,ἰατρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,u(po\,ὑπό,preposition,ci/fous,ξίφος,noun,plhgai\,πληγή,noun,ma/lista,μάλιστα,adverb,to\,me/son,u(po\,ὑπό,preposition,ba/rous,βάρος,noun,pie/zousi,πιέζω,verb,to\,ὁ,article,de\,δέ,particle,tou=,ὁ,article,*sw/sidos,Σῶσις,proper,lepto\n,λεπτός,adjective,h)=n,εἰμί,verb,dio/lou,διόλου,adverb,kai\,καί,conjunction,polla\s,πολύς,adjective,ei)=xen,ἔχω,verb,a)rxa/s,ἀρχή,noun,w(s,ὡς,conjunction,ei)ko\s,ἔοικα,verb,u(p',ὑπό,preposition,a)lghdo/nos,ἀλγηδών,noun,a)nie/ntos,ἀνίημι,verb,ei)=ta,εἶτα,adverb,au)=qis,αὖθις,adverb,e)pa/gontos,ἐπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,μέσος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(=kon,ἥκω,verb,de/,δέ,particle,tines,τις,pronoun,tw=n,ὁ,article,gnwri/mwn,γνώριμος,adjective,curo\n,ξυρόν,noun,komi/zontes,κομίζω,verb,ei)s,th\n,e)kklhsi/an,ἐκκλησία,noun,kai\,καί,conjunction,dihgou/menoi,διηγέομαι,verb,badi/zousin,βαδίζω,verb,au)toi=s,αὐτός,pronoun,kaq',κατά,preposition,o(do\n,ὁδός,adjective,a)panth=sai,ἀπαντάω,verb,to\n,ὁ,article,*sw=sin,Σῶσις,proper,h(|magme/non,αἱμάσσω,verb,kai\,καί,conjunction,le/gonta,λέγω,verb,feu/gein,φεύγω,verb,tou\s,ὁ,article,*di/wnos,Δίων,proper,ce/nous,ξένος,noun,w(s,ὡς,conjunction,a)rti/ws,ἄρτιος,adjective,u(p',ὑπό,preposition,e)kei/nwn,ἐκεῖνος,pronoun,tetrwme/nos,τιτρώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)qu\s,εὐθύς,adverb,ou)=n,οὖν,particle,diw/kontes,διώκω,verb,a)/nqrwpon,ἄνθρωπος,noun,me\n,μέν,particle,ou)de/na,οὐδείς,pronoun,labei=n,λαμβάνω,verb,u(po\,pe/tran,de\,δέ,particle,koi/lhn,κόιλος,adjective,kei/menon,κεῖμαι,verb,i)dei=n,εἶδον,verb,curo\n,ξυρόν,noun,o(/qen,ὅθεν,adverb,e)kei=nos,ἐκεῖνος,pronoun,w)/fqh,ὁράω,verb,proserxo/menos,προσέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπό,preposition,πέτρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,h)/dh,ἤδη,adverb,moxqhra\,μοχθηρός,adjective,ta\,ὁ,article,peri\,περί,preposition,to\n,*sw=sin,prosgenome/nwn,προσγίγνομαι,verb,de\,δέ,particle,tou/tois,οὗτος,pronoun,toi=s,ὁ,article,e)le/gxois,ἔλεγχος,noun,oi)ketw=n,οἰκέτης,noun,katamarturou/ntwn,καταμαρτυρέω,verb,w(s,ὡς,conjunction,e)/ti,ἔτι,adverb,nukto\s,νύξ,adjective,e)ce/lqoi,ἐξέρχομαι,verb,mo/nos,μόνος,adjective,e)/xwn,ἔχω,verb,to\,ὁ,article,curo/n,ξυρόν,noun,oi(/,ἕ,pronoun,te,τε,particle,kathgorou=ntes,κατηγορέω,verb,tou=,ὁ,article,*di/wnos,Δίων,proper,u(pexw/rhsan,ὑποχωρέω,verb,o(/,ὅς,pronoun,te,τε,particle,dh=mos,δῆμος,noun,katayhfisa/menos,καταψηφίζομαι,verb,qa/naton,θάνατος,adjective,tou=,*sw/sidos,Σῶσις,proper,dihlla/sseto,διαλλάσσω,verb,tw=|,ὁ,article,*di/wni,Δίων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,Σῶσις,proper,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,de\,δέ,particle,misqofo/rous,μισθόφορος,adjective,ou)de\n,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,e)n,ἐν,preposition,u(poyi/ais,ὑποψία,noun,ei)=xon,kai\,ma/lista,μάλιστα,adverb,tw=n,ὁ,article,plei/stwn,πλεῖστος,adjective,a)gw/nwn,ἀγών,noun,pro\s,πρός,preposition,to\n,ὁ,article,tu/rannon,τύραννος,noun,h)/dh,ἤδη,adverb,ginome/nwn,γίγνομαι,verb,kata\,κατά,preposition,qa/lattan,θάλασσα,noun,e)peidh\,ἐπεί,conjunction,*fi/listos,Φίλιστος,proper,h(=ken,ἥκω,verb,e)c,ἐκ,preposition,*)iapugi/as,Ἰαπύγιος,proper,e)/xwn,ἔχω,verb,polla\s,πολύς,adjective,trih/reis,τριήρης,noun,*dionusi/w|,Διονύσιον,proper,bohqh/swn,βοηθέω,verb,kai\,καί,conjunction,tw=n,ὁ,article,ce/nwn,ξένος,noun,o)/ntwn,εἰμί,verb,o(plitw=n,ὁπλίτης,noun,ou)demi/an,e)/ti,ἔτι,adverb,xrh=sin,χρῆσις,noun,e)no/mizon,νομίζω,verb,ei)=nai,εἰμί,verb,pro\s,πρός,preposition,to\n,ὁ,article,po/lemon,πόλεμος,noun,a)lla\,ἀλλά,adverb,ka)kei/nous,ἐκεῖνος,pronoun,e)f',ἐπί,preposition,e(autoi=s,ἑαυτοῦ,pronoun,e)/sesqai,εἰμί,verb,nauba/tais,ou)=si,εἰμί,verb,kai\,καί,conjunction,to\,ὁ,article,kra/tos,κράτος,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,new=n,ναός,noun,ktwme/nois,κτάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔχω,verb,καί,conjunction,οὐδείς,pronoun,ναυβάτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,ma=llon,μᾶλλον,adverb,au)tou\s,αὐτός,pronoun,e)ph=ren,ἐπαίρω,verb,eu)tuxi/a,εὐτυχία,noun,tis,τις,pronoun,genome/nh,kata\,qa/lassan,θάλασσα,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,nikh/santes,νικάω,verb,to\n,ὁ,article,*fi/liston,Φίλιστος,proper,w)mw=s,ὠμός,adjective,kai\,καί,conjunction,barbarikw=s,βαρβαρικός,adjective,au)tw=|,αὐτός,pronoun,proshne/xqhsan,προσφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/eforos,Ἔφορος,proper,me\n,μέν,particle,ou)=n,οὖν,particle,fhsin,φημί,verb,w(s,ὡς,conjunction,a(liskome/nhs,ἁλίσκομαι,verb,th=s,ὁ,article,new\s,e(auto\n,a)ne/loi,ἀναιρέω,verb,*timwni/dhs,Τιμωνίδης,proper,de\,δέ,particle,prattome/nais,πράσσω,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,tai=s,ὁ,article,pra/cesi,πρᾶξις,adjective,tau/tais,οὗτος,pronoun,meta\,μετά,preposition,*di/wnos,Δίων,proper,parageno/menos,παραγίγνομαι,verb,kai\,καί,conjunction,gra/fwn,γράφω,verb,pro\s,πρός,preposition,*speu/sippon,Σπεύσιππος,proper,to\n,ὁ,article,filo/sofon,φιλόσοφος,noun,i(storei=,ἱστορέω,verb,zw=nta,ζάω,verb,lhfqh=nai,λαμβάνω,verb,th=s,ὁ,article,trih/rous,τριήρης,noun,ei)s,εἰς,preposition,th\n,ὁ,article,gh=n,γῆ,noun,e)kpesou/shs,to\n,ὁ,article,*fi/liston,Φίλιστος,proper,kai\,καί,conjunction,prw=ton,πρότερος,adjective,me\n,μέν,particle,a)podu/santas,ἀποδύω,verb,au)tou=,αὐτός,pronoun,to\n,ὁ,article,qw/raka,θώραξ,noun,tou\s,ὁ,article,*surakousi/ous,Συρακούσιος,proper,kai\,καί,conjunction,gumno\n,e)pideicame/nous,ἐπιδείκνυμι,verb,to\,ὁ,article,sw=ma,σῶμα,adjective,prophlaki/zein,προπηλακίζω,verb,o)/ntos,εἰμί,verb,h)/dh,ἤδη,adverb,ge/rontos,γέρων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ναός,noun,ἑαυτοῦ,pronoun,ἐκπίτνω,verb,γυμνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,th\n,ὁ,article,kefalh\n,κεφαλή,noun,a)potemei=n,ἀποτέμνω,verb,kai\,καί,conjunction,toi=s,ὁ,article,paisi\,παῖς,adjective,paradou=nai,to\,sw=ma,σῶμα,adjective,keleu/santas,κελεύω,verb,e(/lkein,ἕλκω,verb,dia\,διά,preposition,th=s,ὁ,article,*)axradinh=s,Ἀχραδινή,proper,kai\,καί,conjunction,katabalei=n,καταβάλλω,verb,ei)s,εἰς,preposition,ta\s,ὁ,article,*latomi/as,λατομία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παραδίδωμι,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,ma=llon,μᾶλλον,adverb,e)fubri/zwn,ἐφυβρίζω,verb,o(,ὁ,article,*ti/maios,Τίμαιος,proper,e)k,ἐκ,preposition,tou=,ske/lous,fhsi\,φημί,verb,tou=,ὁ,article,xwlou=,χωλός,adjective,ta\,ὁ,article,paida/ria,παιδάριον,noun,to\n,ὁ,article,nekro\n,νεκρός,noun,e)faya/mena,ἐφάπτω,verb,tou=,ὁ,article,*fili/stou,Φίλιστος,proper,su/rein,σύρω,verb,dia\,διά,preposition,th=s,ὁ,article,po/lews,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,σκέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xleuazo/menon,χλευάζω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,*surakousi/wn,Συρακούσιος,proper,pa/ntwn,πᾶς,adjective,o(rw/ntwn,ὁράω,verb,tou=,ὁ,article,ske/lous,e(lko/menon,to\n,ὁ,article,ei)po/nta,εἶπον,verb,mh\,μή,conjunction,dei=n,δέω,verb,e)k,ἐκ,preposition,turanni/dos,τυραννίς,noun,feu/gein,φεύγω,verb,*dionu/sion,Διονύσιον,proper,i(/ppw|,ἵππος,noun,taxei=,ταχύς,adjective,xrw/menon,χράομαι,verb,a)*xla\,,,tou=,ὁ,article,ske/lous,σκέλος,noun,e(lko/menon,ἕλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σκέλος,noun,ἕλκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
