word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS
w)=,ὦ,interjection,*zeu=,Ζεύς,proper,gunaikw=n,γυνή,noun,oi(=on,οἷος,adjective,w)/pasas,ὀπάζω,verb,ge/nos,γένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moxqhro/n,μοχθηρός,adjective,w(/sper,ὥσπερ,adverb,a)/ndras,ἀνήρ,noun,w(=n,ὅς,pronoun,a(lw=|,ἁλίσκομαι,verb,po/lis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palinstomei=s,παλινστομέω,verb,au)=,αὖ,interjection,qigga/nous',θιγγάνω,verb,a)galma/twn,ἄγαλμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)yuxi/a|,ἀψυχία,noun,ga\r,γάρ,particle,glw=ssan,γλῶσσα,noun,a(rpa/zei,ἁρπάζω,verb,fo/bos,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)toume/nw|,αἰτέω,verb,moi,ἐγώ,pronoun,kou=fon,κοῦφος,adjective,ei),εἰ,conjunction,doi/hs,δίδωμι,verb,te/los,τέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gois,λέγω,verb,a)\n,ἄν,particle,w(s,ὡς,conjunction,ta/xista,τάχιστος,adjective,kai\,καί,conjunction,ta/x',τάχα,adjective,ei)/somai,εἶμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si/ghson,σιγάω,verb,w)=,ὦ,interjection,ta/laina,τάλας,adjective,mh\,μή,conjunction,fi/lous,φίλος,adjective,fo/bei,φοβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\n,σύν,preposition,a)/llois,ἄλλος,adjective,pei/somai,πάσχω,verb,to\,ὁ,article,mo/rsimon,μόρσιμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=t',οὗτος,pronoun,a)nt',ἀντί,preposition,e)kei/nwn,ἐκεῖνος,pronoun,tou)/pos,ἔπος,adjective,ai(rou=mai,αἱρέω,verb,se/qen,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pro/s,πρός,preposition,ge,γε,particle,tou/tois,οὗτος,pronoun,e)kto\s,ἐκτός,adverb,ou)=s',εἰμί,verb,a)galma/twn,ἄγαλμα,noun,eu)/xou,εὔχομαι,verb,ta\,ὁ,article,krei/ssw,κρείσσων,verb,cumma/xous,σύμμαχος,adjective,ei)=nai,εἰμί,verb,qeou/s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)mw=n,ἁμός,adjective,a)kou/sas',ἀκούω,verb,eu)gma/twn,εὖγμα,noun,e)/peita,ἔπειτα,adverb,su\,σύ,pronoun,o)lolugmo\n,ὀλολυγμός,noun,i(ero\n,ἱερόν,noun,eu)menh=,εὐμενής,adverb,paiw/nison,παιωνίζω,verb,*(ellhniko\n,Ἑλληνικός,adjective,no/misma,νόμισμα,noun,qusta/dos,θυστάς,noun,boh=s,βοείη,noun,qa/rsos,θάρσος,noun,fi/lois,φίλος,adjective,lu/ousa,λύω,verb,pole/mion,πολέμιος,adjective,fo/bon,φόβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,xw/ras,χώρα,noun,toi=s,ὁ,article,polissou/xois,πολισσοῦχος,adjective,qeoi=s,θεός,noun,pediono/mois,πεδιονόμος,adjective,te,τε,particle,ka)gora=s,ἀγορά,noun,e)pisko/pois,ἐπίσκοπος,adjective,*di/rkhs,Δίρκη,proper,te,τε,particle,phgai=s,πηγός,adjective,u(/dati/,ὕδωρ,noun,t',τε,particle,*)ismhnou=,Ἰσμηνός,proper,le/gw,λέγω,verb,eu)=,εὖ,adverb,cuntuxo/ntwn,συντυγχάνω,verb,kai\,καί,conjunction,po/lews,πόλις,adjective,seswme/nhs,σώζω,verb,mh/loisin,μῆλον,noun,ai(ma/ssontas,αἱμάσσω,verb,e(sti/as,ἑστία,noun,qew=n,θέα,noun,qu/sein,θύω,verb,tropai=a,τροπαῖος,adjective,dai/+wn,δάιος,adjective,d',δέ,particle,e)sqh/mata,ἔσθημα,noun,ste/yw,στέφω,verb,la/fura,λάφυρα,adjective,douri/plhxq',δουρίπληκτος,adjective,a(gnoi=s,ἁγνός,adjective,do/mois,δόμος,noun,,,,,,,,,,,,,,,,,,
toiau=t',τοιοῦτος,adjective,e)peu/xou,ἐπεύχομαι,verb,mh\,μή,conjunction,filosto/nws,φιλόστονος,adjective,qeoi=s,θεός,noun,mhd',μηδέ,particle,e)n,ἐν,preposition,matai/ois,μάταιος,adjective,ka)gri/ois,ἄγριος,adjective,poifu/gmasin,ποίφυγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,ti,τις,pronoun,ma=llon,μᾶλλον,adverb,mh\,μή,conjunction,fu/gh|s,φεύγω,verb,to\,ὁ,article,mo/rsimon,μόρσιμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,g',γε,particle,a)/ndras,ἀνήρ,noun,e(\c,ἕξ,adjective,e)moi\,ἐγώ,pronoun,su\n,σύν,preposition,e(bdo/mw|,ἕβδομος,adjective,a)nthre/tas,ἀντηρέτης,noun,e)xqroi=si,ἐχθρός,adjective,to\n,ὁ,article,me/gan,μέγας,adverb,tro/pon,τρόπος,noun,ei)s,εἰς,preposition,e(ptateixei=s,ἑπτατειχής,adjective,e)co/dous,ἔξοδος,noun,ta/cw,τάσσω,verb,molw/n,βλώσκω,verb,pri\n,πρίν,adverb,a)gge/lous,ἄγγελος,noun,sperxnou/s,σπερχνός,adjective,te,τε,particle,kai\,καί,conjunction,taxurro/qous,ταχύρροθος,adjective,lo/gous,λόγος,noun,i(ke/sqai,ἱκνέομαι,verb,kai\,καί,conjunction,fle/gein,φλέγω,verb,xrei/as,χρεία,noun,u(/po,ὑπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/lei,μέλω,verb,fo/bw|,φόβος,noun,d',δέ,particle,ou)x,οὐ,adverb,u(pnw/ssei,ὑπνώσσω,verb,ke/ar,κῆρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gei/tones,γείτων,noun,de\,δέ,particle,kardi/as,καρδία,noun,me/rimnai,μέριμνα,noun,zwpurou=si,ζωπυρέω,verb,ta/rbos,τάρβος,noun,to\n,ὁ,article,a)mfiteixh=,ἀμφιτειχής,adjective,lew/n,λαός,noun,dra/kontas,δράκων,noun,w(/s,ὅς,pronoun,tis,τις,pronoun,te/knwn,τέκνον,noun,u(perde/doiken,ὑπερδείδω,verb,lexai/wn,λεχαῖος,adjective,duseuna/toras,,,pa/ntromos,πάντρομος,adjective,peleia/s,πελειάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi\,σύ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,poti\,πρός,preposition,pu/rgous,πύργος,noun,pandamei\,πανδημεί,adverb,panomilei\,πανομιλεί,adverb,stei/xousin,στείχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ge/nwmai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi\,σύ,pronoun,d',δέ,particle,e)p',ἐπί,preposition,a)mfibo/loisin,ἀμφίβολος,adjective,i)a/ptousi,ἰάπτω,verb,poli/tais,πολίτης,noun,xerma/d',χερμάς,noun,o)krio/essan,ὀκριόεις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panti\,πᾶς,adjective,tro/pw|,τρόπος,noun,*diogenei=s,Διογενής,proper,qeoi/,θεός,noun,po/lin,πόλις,adjective,kai\,καί,conjunction,strato\n,στρατός,noun,*kadmogenh=,Καδμογενής,proper,r(u/esqe,ῥύομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=on,ποῖος,adjective,d',δέ,particle,a)mei/yesqe,ἀμείβω,verb,gai/as,γαῖα,noun,pe/don,πέδον,noun,ta=sd',ὅδε,pronoun,a)/reion,ἄρειος,adjective,e)xqroi=s,ἐχθρός,adjective,a)fe/ntes,ἀφίημι,verb,ta\n,ὁ,article,baqu/xqon',βαθύχθων,adjective,ai)=an,αἶα,noun,u(/dwr,ὕδωρ,noun,te,τε,particle,*dirkai=on,,,eu)trafe/staton,εὐτραφής,adverb,pwma/twn,πῶμα,noun,o(/swn,ὅσος,adjective,i(/hsin,ἵημι,verb,*poseida=n,,,o(,ὁ,article,gaia/oxos,γαιήοχος,adjective,*thqu/os,Τηθύς,proper,te,τε,particle,pai=des,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,ta/d',ὅδε,pronoun,w)=,ὦ,interjection,poliou=xoi,πολιοῦχος,adjective,qeoi/,θεός,noun,toi=si,τίς,pronoun,me\n,μέν,particle,e)/cw,ἔξω,adverb,pu/rgwn,πύργος,noun,a)ndrole/teiran,ἀνδρολέτειρα,noun,kh=ra,κήρ,noun,r(i/yoplon,ῥίψοπλος,adjective,a)/tan,ἄτη,noun,e)mbalo/ntes,ἐμβάλλω,verb,a)/roisqe,αἴρω,verb,ku=dos,κῦδος,noun,toi=sde,ὅδε,pronoun,poli/tais,πολίτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,po/lews,πόλις,adjective,r(u/tores,ῥύτωρ,adjective,e)/st',εἰμί,verb,eu)/edroi/,εὔεδρος,adjective,te,τε,particle,sta/qht',ἵστημι,verb,o)cugo/ois,ὀξύγοος,adjective,litai=sin,λιτή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)ktro\n,οἰκτρός,adjective,ga\r,γάρ,particle,po/lin,πόλις,adjective,w(=d',ὧδε,adverb,w)gugi/an,Ὠγύγιος,proper,*)ai/da|,Ἅιδης,proper,proi+a/yai,προιάπτω,verb,doro\s,δόρυ,noun,a)/gran,ἄγρα,noun,douli/an,δούλιος,adjective,yafara=|,ψαφαρός,adjective,spodw=|,σποδός,noun,u(p',ὑπό,preposition,a)ndro\s,ἀνήρ,noun,*)axaiou=,Ἀχαιός,proper,qeo/qen,θεόθεν,adverb,perqome/nan,πέρθω,verb,a)ti/mws,ἄτιμος,adjective,ta\s,ὁ,article,de\,δέ,particle,kexeirwme/nas,χειρόω,verb,a)/gesqai,ἄγω,verb,e)\,ἒ,interjection,e)/,ἒ,interjection,ne/as,ναῦς,noun,te,τε,particle,kai\,καί,conjunction,palaia\s,παλαιός,adjective,i(pphdo\n,ἱππηδόν,adverb,ploka/mwn,πλόκαμος,noun,perirrhgnume/nwn,περιρρήγνυμι,verb,fare/wn,φάρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boa=|,βοάω,verb,d',δέ,particle,e)kkenoume/na,ἐκκενόω,verb,po/lis,πόλις,adjective,lai/+dos,ληίς,noun,o)llume/nas,ὄλλυμι,verb,micoqro/ou,μιξόθροος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barei/as,βαρύς,adjective,toi,τοι,particle,tu/xas,τύχη,noun,protarbw=,προταρβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klauto\n,κλαυστός,adjective,d',δέ,particle,a)rtitro/pois,ἀρτίτροπος,adjective,w)modro/pois,,,nomi/mwn,νόμιμος,adjective,propa/roiqen,προπάροιθε,preposition,diamei=yai,διαμείβω,verb,dwma/twn,δῶμα,noun,stugera\n,στυγερός,adjective,o(do/n,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,fqi/menon,φθίω,verb,ga\r,γάρ,particle,prole/gw,προλέγω,verb,be/ltera,βέλτερος,adjective,tw=nde,ὅδε,pronoun,pra/ssein,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polla\,πολύς,adjective,ga/r,γάρ,particle,eu)=te,εὖτε,conjunction,pto/lis,πόλις,adjective,damasqh=|,δαμάζω,verb,e)\,ἒ,interjection,e)/,ἒ,interjection,dustuxh=,δυστυχής,adverb,te,τε,particle,pra/ssei,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llos,ἄλλος,adjective,d',δέ,particle,a)/llon,ἄλλος,adjective,a)/gei,ἄγω,verb,foneu/ei,φονεύω,verb,ta\,ὁ,article,de\,δέ,particle,purforei=,πυρφορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapnw=|,καπνός,noun,xrai/netai,χραίνω,verb,po/lism',πόλισμα,noun,a(/pan,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maino/menos,μαίνομαι,verb,d',δέ,particle,e)pipnei=,ἐπιπνέω,verb,laoda/mas,λαοδάμας,adjective,miai/nwn,μιαίνω,verb,eu)se/beian,εὐσέβεια,noun,*)/arhs,Ἄρης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
korkorugai\,κορκορυγή,noun,d',δέ,particle,a)n',ἀνά,preposition,a)/stu,ἄστυ,noun,proti\,πρός,preposition,d',δέ,particle,o(rka/na,ὁρκάνη,noun,purgw=tis,πυργῶτις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,a)ndro\s,ἀνήρ,noun,d',δέ,particle,a)nh\r,ἀνήρ,noun,a)mfi\,ἀμφί,preposition,dori\,δόρυ,noun,kli/netai,κλίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blaxai\,βληχή,noun,d',δέ,particle,ai(mato/essai,αἱματόεις,adjective,tw=n,ὁ,article,e)pimastidi/wn,ἐπιμαστίδιος,adjective,a)rtitrefei=s,ἀρτιτρεφής,adjective,bre/montai,βρέμω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(rpagai\,ἁρπαγή,noun,de\,δέ,particle,diadroma=n,διαδρομή,noun,o(mai/mones,ὁμαίμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cumbolei=,σύναντιβολέω,verb,fe/rwn,φέρω,verb,fe/ronti,φέρω,verb,kai\,καί,conjunction,keno\s,κενός,adjective,keno\n,κενός,adjective,kalei=,καλέω,verb,cu/nnomon,σύννομος,adjective,qe/lwn,ἐθέλω,verb,e)/xein,ἔχω,verb,ou)/te,οὔτε,adverb,mei=on,μείων,adverb,ou)/t',οὔτε,adverb,i)/son,ἴσος,adjective,lelimme/noi,λίπτομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta)k,ἐκ,preposition,tw=nd',ὅδε,pronoun,ei)ka/sai,εἰκάζω,verb,lo/gos,λόγος,noun,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantodapo\s,παντοδαπός,adjective,de\,δέ,particle,karpo\s,καρπός,noun,xama/dis,χαμάδις,adverb,pesw\n,πίπτω,verb,a)lgu/nei,ἀλγύνω,verb,kurh/sas,κυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pikro\n,πικρός,adjective,d',δέ,particle,o)/mma,ὄμμα,noun,qalamhpo/lwn,θαλαμήπολος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polla\,πολύς,adjective,d',δέ,particle,a)krito/furtos,ἀκριτόφυρτος,adjective,ga=s,γῆ,noun,do/sis,δόσις,noun,ou)tidanoi=s,οὐτιδανός,adjective,e)n,ἐν,preposition,r(oqi/ois,ῥόθιος,adjective,forei=tai,φορέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmwi/des,δμωίς,noun,de\,δέ,particle,kainoph/mones,καινοπήμων,noun,ne/ai,νέα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tla/mon',τλήμων,adjective,eu)na\n,εὐνή,noun,ai)xma/lwton,αἰχμάλωτος,adjective,a)ndro\s,ἀνήρ,noun,eu)tuxou=ntos,εὐτυχέω,verb,w(\s,ὅς,pronoun,dusmenou=s,δυσμενής,adverb,u(perte/rou,ὑπέρτερος,adjective,e)lpi/s,ἐλπίς,noun,e)sti,εἰμί,verb,nu/kteron,νύκτερος,adjective,te/los,τέλος,noun,molei=n,βλώσκω,verb,pagklau/twn,πάγκλαυστος,adjective,a)lge/wn,ἄλγος,noun,e)pi/rroqon,ἐπίρροθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/,ὅς,pronoun,toi,τοι,particle,kato/pths,κατόπτης,noun,w(s,ὡς,conjunction,e)moi\,ἐγώ,pronoun,dokei=,δοκέω,verb,stratou=,στρατός,noun,peuqw/,πευθώ,noun,tin',τις,pronoun,h(mi=n,ἐγώ,pronoun,w)=,ὦ,interjection,fi/lai,φίλος,adjective,ne/an,νέα,adjective,fe/rei,φέρω,verb,spoudh=|,σπουδή,noun,diw/kwn,διώκω,verb,pompi/mous,πόμπιμος,adjective,xno/as,χνόη,adjective,podw=n,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,a)/nac,ἄναξ,noun,o(/d',ὅδε,pronoun,au)to\s,αὐτός,pronoun,*oi)di/pou,Οἰδίπους,proper,to/kos,τόκος,noun,ei)s,εἰς,preposition,a)rti/kollon,ἀρτίκολλος,adjective,a)gge/lou,ἄγγελος,noun,lo/gon,λόγος,noun,maqei=n,μανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spoudh\,σπουδή,noun,de\,δέ,particle,kai\,καί,conjunction,tou=d',ὅδε,pronoun,ou)k,οὐ,adverb,a)parti/zei,ἀπαρτίζω,verb,po/da,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
