word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS
ti/s,τίς,pronoun,ga\r,γάρ,particle,ou)k,οὐ,adverb,a)pekei/rato,ἀποκείρω,verb,e)peidh\,ἐπεί,conjunction,tw\,ὁ,article,du/o,tala/ntw,τάλαντον,noun,e)c,ἐκ,preposition,*)akh=s,ἀκή,noun,h)lqe/thn,ἔρχομαι,verb,h)\,ἠέ,conjunction,ti/s,τίς,pronoun,ou),οὐ,adverb,me/lan,μέλας,adjective,i(ma/tion,ἱμάτιον,adjective,e)fo/rhsen,w(s,ὡς,conjunction,dia\,διά,preposition,to\,ὁ,article,pe/nqos,πένθος,noun,klhronomh/swn,κληρονομέω,verb,th=s,ὁ,article,ou)si/as,οὐσία,adjective,,,,,,,,,,δύο,adjective,ἐφοράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,po/soi,πόσος,adjective,suggenei=s,συγγενεύς,noun,kai\,καί,conjunction,u(ei=s,υἱός,noun,kata\,κατά,preposition,do/sin,prosepoih/santo,προσποιέω,verb,tw=n,ὁ,article,*nikostra/tou,Νικόστρατος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dhmosqe/nhs,Δημοσθένης,proper,me/n,μέν,particle,ge,γε,particle,a)delfidou=s,ἀδελφιδέος,noun,e)/fh,φημί,verb,au)tw=|,αὐτός,pronoun,ei)=nai,e)peidh\,ἐπεί,conjunction,d',δέ,particle,e)chle/gxqh,ἐξελέγχω,verb,u(po\,ὑπό,preposition,tou/twn,οὗτος,pronoun,a)pe/sth,ἀφίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*th/lefos,Τήλεφος,proper,de\,δέ,particle,dou=nai,δίδωμι,verb,au(tw=|,ἑαυτοῦ,pronoun,*niko/straton,Νικόστρατος,proper,a(/panta,ἅπας,adjective,ta\,e(autou=,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou(=tos,οὗτος,pronoun,ou),οὐ,adverb,pollw=|,πολύς,adjective,u(/steron,ὕστερος,adjective,e)pau/sato,ἐπαύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ameinia/dhs,Ἀμεινιάδης,proper,de\,δέ,particle,u(o\n,υἱός,noun,au)tw=|,αὐτός,pronoun,pro\s,πρός,preposition,to\n,ὁ,article,a)/rxonta,h(=ken,ἥκω,verb,a)/gwn,ἄγω,verb,ou)de\,οὐδέ,particle,trieth=,τριέτης,adjective,gegono/ta,γίγνομαι,verb,kai\,καί,conjunction,tau=t',οὗτος,pronoun,ou)k,οὐ,adverb,e)pidedhmhko/tos,ἐπιδημέω,verb,tou=,*nikostra/tou,Νικόστρατος,proper,e(/ndeka,ἕνδεκα,noun,e)tw=n,ἔται,noun,*)aqh/nhsi,Ἀθήνευς,proper,,,,,,,,,,,,,,,,,,,ἄρχων,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pu/rros,Πύρρος,proper,de\,δέ,particle,o(,ὁ,article,*lamptreu\s,Λαμπτρεύς,proper,th=|,ὁ,article,me\n,μέν,particle,*)aqhna=|,e)/fh,φημί,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,u(po\,ὑπό,preposition,*nikostra/tou,Νικόστρατος,proper,kaqierw=sqai,καθιερόω,verb,au)tw=|,αὐτός,pronoun,d',δέ,particle,u(p',ὑπό,preposition,au)tou=,e)kei/nou,ἐκεῖνος,pronoun,dedo/sqai,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,Ἀθήνη,proper,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kthsi/as,Κτήσιας,proper,d',δέ,particle,o(,ὁ,article,*bhsaieu\s,,,kai\,καί,conjunction,*kranao\s,Κραναός,proper,to\,me\n,μέν,particle,prw=ton,πρότερος,adjective,di/khn,δίκη,adjective,e)/fasan,φημί,verb,tou=,ὁ,article,*nikostra/tou,Νικόστρατος,proper,tala/ntou,τάλαντον,noun,katadedika/sqai,καταδικάζω,verb,e)peidh\,ἐπεί,conjunction,d',ou)k,οὐ,adverb,ei)=xon,ἔχω,verb,tou=to,οὗτος,pronoun,a)podei=cai,ἀποδείκνυμι,verb,a)peleu/qeron,ἀπελεύθερος,noun,au)to\n,αὐτός,pronoun,e(autw=n,ἑαυτοῦ,pronoun,prosepoih/santo,προσποιέω,verb,ei)=nai,εἰμί,verb,,,,ὁ,article,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou)d',οὐδέ,particle,ou(=toi,οὗτος,pronoun,a(\,ὅς,pronoun,e)/legon,λέγω,verb,a)pe/deican,ἀποδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,oi(,ἕ,pronoun,me\n,μέν,particle,eu)qu\s,εὐθύς,adverb,kata\,κατά,preposition,ta\,ὁ,article,prw=ta,e)pi\,ἐπί,preposition,ta\,ὁ,article,*nikostra/tou,Νικόστρατος,proper,a(|cantes,,,ou(=toi/,οὗτος,pronoun,ei)si,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*xaria/dhs,,,de\,δέ,particle,to/te,τότε,adverb,me\n,μέν,particle,ou)damou=,οὐδαμός,adverb,h)mfisbh/thsen,ἀμφισβητέω,verb,u(/steron,de\,δέ,particle,ou),οὐ,adverb,mo/non,μόνος,adjective,au)to\s,αὐτός,pronoun,ltau(to\ngt,,,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,to\,ὁ,article,e)k,ἐκ,preposition,th=s,e(tai/ras,ἑταίρα,noun,paidi/on,παιδίον,noun,ei)spoiw=n,εἰσποιέω,verb,h)=lqe,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,ὕστερος,adjective,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau)to\,αὐτός,pronoun,d',δέ,particle,h)=n,εἰμί,verb,au)tw=|,αὐτός,pronoun,w(s,ὡς,conjunction,h)\,ἠέ,conjunction,tw=n,xrhma/twn,χρῆμα,adjective,klhronomh/sonti,κληρονομέω,verb,h)\,ἠέ,conjunction,to\,ὁ,article,paidi/on,παιδίον,noun,a)sto\n,ἀστός,noun,poih/sonti,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)sqo/menos,αἰσθάνομαι,verb,de\,δέ,particle,kai\,καί,conjunction,ou(=tos,οὗτος,pronoun,o(/ti,ὅστις,pronoun,peri\,περί,preposition,tou=,ge/nous,γένος,noun,e)legxqh/soito,ἐλέγχω,verb,th\n,ὁ,article,me\n,μέν,particle,tou=,ὁ,article,paidi/ou,παίδιον,noun,a)mfisbh/thsin,ἀμφισβήτησις,noun,pare/lusen,παραλύω,verb,e(autw=|,ἑαυτοῦ,pronoun,de\,kata\,κατά,preposition,do/sin,δόσις,noun,parakate/balen,παρακαταβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,ὁ,article,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)xrh=n,χρή,verb,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,o(/stis,ὅστις,pronoun,kata\,do/sin,δόσις,noun,xrhma/twn,χρῆμα,adjective,a)mfisbhtw=n,ἀμφισβητέω,verb,h(tthqei/h,ἡσσάομαι,verb,mh\,μή,conjunction,kata\,κατά,preposition,to\,ὁ,article,te/los,τέλος,noun,zhmiou=sqai,ζημιόω,verb,a)ll',e)f',ἐπί,preposition,o(/sa,ὅσος,adjective,per,πέρ,particle,lhyo/menos,λαμβάνω,verb,h)/|ei,εἶμι,verb,tosau=ta,τοσοῦτος,adjective,th=|,ὁ,article,po/lei,πόλις,adjective,a)poti/nein,ἀποτίνω,verb,,,,κατά,preposition,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,lta)\ngt,,,ou)/q',οὔτε,adverb,oi(,ὁ,article,no/moi,νόμος,noun,katefronou=nto,ou)/te,οὔτε,adverb,ta\,ὁ,article,ge/nh,γένος,noun,u(bri/zeto,ὑβρίζω,verb,pro\,πρό,preposition,de\,δέ,particle,tou/twn,οὗτος,pronoun,ou)d',οὐδέ,particle,a)\n,ἄν,particle,tw=n,teqnew/twn,θνήσκω,verb,ou)dei\s,οὐδείς,pronoun,kateyeu/deto,καταψεύδομαι,verb,,,,,,,,,,,,,,,,,,,,,,καταφρονέω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,a(/pasi,ἅπας,adjective,kai\,καί,conjunction,tw=n,ὁ,article,a)llotri/wn,ἀλλότριος,adjective,a(pa/ntwn,kaq',κατά,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,bou/lhtai,βούλομαι,verb,a)mfisbhtei=n,ἀμφισβητέω,verb,e)/cestin,ἔξεστι,verb,u(ma=s,σύ,pronoun,xrh\,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,w(s,ὡς,conjunction,oi(=o/n,οἷος,adjective,t',τε,particle,a)kribe/stata,ἀκριβής,adjective,e)ceta/zein,ἐξετάζω,verb,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,ei)s,εἰς,preposition,ἅπας,adjective,χρή,verb,o(/son,ὅσος,adjective,du/nasqe,δύναμαι,verb,paralei/pein,παραλείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,mo/nais,μόνος,adjective,de\,δέ,particle,tai=s,ὁ,article,tw=n,ὁ,article,klh/rwn,κλῆρος,adjective,ei)sagwgai=s,dokei=,δοκέω,verb,moi,ἐγώ,pronoun,prosh/kein,προσήκω,verb,tekmhri/ois,τεκμήριον,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,ma/rtusi,μάρτυς,noun,pisteu/ein,πιστεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰσαγωγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ga\r,γάρ,particle,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,sumbolai/wn,συμβόλαιον,noun,ou),pa/nu,πάνυ,adverb,xalepo\n,χαλεπός,adjective,tou\s,ὁ,article,ta\,ὁ,article,yeudh=,ψευδής,adverb,marturou=ntas,μαρτυρέω,verb,e)le/gxein,ἐλέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zw=ntos,ζάω,verb,ga\r,γάρ,particle,kai\,καί,conjunction,paro/ntos,πάρειμι,verb,tou=,ὁ,article,pra/cantos,πράσσω,verb,katamarturou=si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καταμαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,de\,δέ,particle,tw=n,ὁ,article,diaqhkw=n,διαθήκη,noun,pw=s,πῶς,adverb,a)/n,ἄν,particle,tis,gnoi/h,γιγνώσκω,verb,tou\s,ὁ,article,mh\,μή,conjunction,ta)lhqh=,ἀληθής,adjective,le/gontas,λέγω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,pa/nu,πάνυ,adverb,mega/la,μέγας,adverb,ta\,diafe/ronta,διαφέρω,verb,ei)/h,ἀίω,verb,au)tou=,αὐτός,pronoun,me\n,μέν,particle,kaq',κατά,preposition,ou(=,ἕ,pronoun,marturou=si,μαρτύρομαι,verb,teqnew=tos,θνήσκω,verb,tw=n,ὁ,article,de\,δέ,particle,τις,pronoun,ὁ,article,suggenw=n,συγγενής,adverb,mhde\n,μηδείς,pronoun,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,ei)do/twn,οἶδα,verb,tou=,ὁ,article,de\,δέ,particle,e)le/gxou,ἐλέγχω,verb,mhdamw=s,μηδαμός,adverb,a)kribou=s,ἀκριβής,adjective,gignome/nou,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,kai\,καί,conjunction,tw=n,ὁ,article,diatiqeme/nwn,oi(,ὁ,article,polloi\,πολύς,adjective,ou)de\,οὐδέ,particle,le/gousi,λέγω,verb,toi=s,ὁ,article,paragignome/nois,παραγίγνομαι,verb,o(/,ὅς,pronoun,ti,τις,pronoun,diati/qentai,διατίθημι,verb,a)ll',au)tou=,αὐτός,pronoun,mo/nou,μόνος,adjective,tou=,ὁ,article,katalipei=n,καταλιμπάνω,verb,diaqh/kas,διαθήκη,noun,ma/rturas,μάρτυς,noun,pari/stantai,παρίστημι,verb,tou=,ὁ,article,de\,δέ,particle,sumbai/nonto/s,συμβαίνω,verb,διατίθημι,verb,ἀλλά,adverb,e)sti,εἰμί,verb,kai\,καί,conjunction,grammatei=on,γραμματεῖον,noun,a)llagh=nai,ἀλλάσσω,verb,kai\,καί,conjunction,ta)nanti/a,ἐναντίος,adjective,tai=s,ὁ,article,tou=,ὁ,article,teqnew=tos,θνήσκω,verb,diaqh/kais,διαθήκη,noun,metagrafh=nai,μεταγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\n,οὐδείς,pronoun,ga\r,γάρ,particle,ma=llon,μᾶλλον,adverb,oi(,ὁ,article,ma/rtures,μάρτυς,noun,ei)/sontai,εἶμι,verb,ei),e)f',ἐπί,preposition,ai(=s,ὅς,pronoun,e)klh/qhsan,καλέω,verb,diaqh/kais,διαθήκη,noun,au(=tai,οὗτος,pronoun,a)pofai/nontai,ἀποφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(po/te,ὁπότε,adverb,de\,δέ,particle,kai\,καί,conjunction,tou\s,ὁ,article,o(mologoume/nws,ὁμολογουμένως,adverb,paragenome/nous,παραγίγνομαι,verb,oi(=o/n,t',τε,particle,e)sti\n,εἰμί,verb,e)capath=sai,ἐξαπατάω,verb,pw=s,πῶς,adverb,ou)k,οὐ,adverb,a)\n,ἄν,particle,u(ma=s,σύ,pronoun,ge,γε,particle,tou\s,ὁ,article,mhde\n,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,ei)do/tas,οἶδα,verb,polu\,πολύς,adjective,ma=llon,μᾶλλον,adverb,,,,,,,,,,,,,,,,οἷος,adjective,μηδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(toimo/tero/n,ἑτοῖμος,adjective,tis,τις,pronoun,parakrou/sasqai,παρακρούω,verb,e)gxeirh/seien,ἐγχειρέω,verb,a)lla\,ἀλλά,adverb,mh\n,μείς,adjective,kai\,o(,ὁ,article,no/mos,νόμος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,ou)k,οὐ,adverb,e)a/n,ἐάν,conjunction,tis,τις,pronoun,diaqh=tai,διαθέω,verb,mo/non,μόνος,adjective,kuri/as,ei)=nai,εἰμί,verb,keleu/ei,κελεύω,verb,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,a)lla\,ἀλλά,adverb,e)a\n,ἐάν,conjunction,eu)=,εὖ,adverb,fronw=n,φρονέω,verb,,,,,,,καί,conjunction,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skepte/on,σκεπτέος,adjective,dh\,δή,particle,u(mi=n,σύ,pronoun,prw=ton,πρότερος,adjective,me\n,μέν,particle,ei),εἰ,conjunction,e)poih/sato,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,e)/peita,ἔπειτα,adverb,ei),εἰ,conjunction,mh\,μή,conjunction,paranow=n,παρανοέω,verb,die/qeto,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ntilego/ntwn,ἀντιλέγω,verb,d',δέ,particle,h(mw=n,ἐγώ,pronoun,mhde\,μηδέ,particle,to\,ὁ,article,para/pan,παράπαν,adverb,gene/sqai,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,e)k,ἐκ,preposition,ti/nos,τίς,pronoun,a)\n,ἄν,particle,tro/pou,τρόπος,noun,ei)/,εἰ,conjunction,tis,τις,pronoun,paranow=n,παρανοέω,verb,die/qeto,gnoi/hte,γιγνώσκω,verb,pri\n,πρίν,adverb,peri\,περί,preposition,au)tou=,αὐτός,pronoun,tou=,ὁ,article,diaqe/sqai,διατίθημι,verb,pisteu=sai,πιστεύω,verb,,,,,,,,,,γίγνομαι,verb,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,kata\,κατά,preposition,th\n,ὁ,article,do/sin,δόσις,noun,a)mfisbhtou=ntas,o(ra=te,ὁράω,verb,o(/son,ὅσος,adjective,e)/rgon,ἔργον,noun,e)sti\n,εἰμί,verb,ai)sqe/sqai,αἰσθάνομαι,verb,ei),εἰ,conjunction,a)lhqh=,ἀληθής,adjective,le/gousi,λέγω,verb,tou\s,ὁ,article,de\,kata\,κατά,preposition,to\,ὁ,article,ge/nos,γένος,noun,prw=ton,πρότερος,adjective,me\n,μέν,particle,ou)de\n,οὐδείς,pronoun,dei=,δέομαι,verb,ma/rturas,μάρτυς,noun,parasxe/sqai,παρέχω,verb,w(s,ὡς,conjunction,ἀμφισβητέω,verb,δέ,particle,au(tw=n,ἑαυτοῦ,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,klh=ros,κλῆρος,adjective,para\,παρά,preposition,pa/ntwn,πᾶς,adjective,ga\r,γάρ,particle,w(molo/ghtai,ὁμολογέω,verb,toi=s,ὁ,article,e)gguta/tw,ἐγγύτατος,adjective,ge/nous,γένος,noun,ta\,ὁ,article,tou=,ὁ,article,teleuth/santos,τελευτάω,verb,gi/gnesqai),γίγνομαι,verb,e)/peita,ἔπειτα,adverb,oi(,ὁ,article,no/moi,νόμος,noun,ou),οὐ,adverb,mo/non,μόνος,adjective,oi(,ὁ,article,peri\,περί,preposition,tw=n,ὁ,article,genw=n,γένος,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,oi(,ὁ,article,peri\,περί,preposition,tw=n,ὁ,article,do/sewn,δόσις,noun,toi=s,ὁ,article,suggene/si,συγγενής,adverb,bohqou=si,βοηθέω,verb,,,
