word/0/@_form,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
a)lla\,tau=ta,ti/,τίς,pronoun,e)stin,εἰμί,verb,ei)s,εἰς,preposition,tosou/tous,τοσοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pen,o(,*)ihsou=s,Ἰησοῦς,proper,*poih/sate,ποιέω,verb,tou\s,ὁ,article,a)nqrw/pous,ἄνθρωπος,noun,a)napesei=n,ἀναπίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶπον,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,de\,xo/rtos,χόρτος,noun,polu\s,πολύς,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,to/pw|,τόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ne/pesan,ou)=n,oi(,ὁ,article,a)/ndres,ἀνήρ,noun,to\n,ὁ,article,a)riqmo\n,ἀριθμός,adjective,w(s,ὡς,conjunction,pentakisxi/lioi,πεντακισχίλιοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνέπειμι,verb,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/laben,ou)=n,tou\s,ὁ,article,a)/rtous,ἄρτος,noun,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,kai\,καί,conjunction,eu)xaristh/sas,εὐχαριστέω,verb,die/dwken,διαδίδωμι,verb,toi=s,ὁ,article,a)nakeime/nois,ἀνάκειμαι,verb,o(moi/ws,ὅμοιος,adjective,kai\,καί,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,o)yari/wn,ὀψάριον,noun,o(/son,ὅσος,adjective,λάπτω,verb,οὖν,particle,h)/qelon,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,de\,e)neplh/sqhsan,ἐμπίπλημι,verb,le/gei,λέγω,verb,toi=s,ὁ,article,maqhtai=s,μαθητής,noun,au)tou=,αὐτός,pronoun,*sunaga/gete,συνάγω,verb,ta\,ὁ,article,perisseu/santa,περισσεύω,verb,kla/smata,κλάσμα,noun,i(/na,ἵνα,conjunction,mh/,μή,conjunction,ti,τις,pronoun,a)po/lhtai,ἀπόλλυμι,verb,,,,,,,ὡς,conjunction,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunh/gagon,ou)=n,kai\,καί,conjunction,e)ge/misan,γεμίζω,verb,dw/deka,δώδεκα,adjective,kofi/nous,κόφινος,noun,klasma/twn,κλάσμα,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,pe/nte,πέντε,adverb,a)/rtwn,ἄρτος,noun,tw=n,ὁ,article,kriqi/nwn,κρίθινος,adjective,a(\,ὅς,pronoun,e)peri/sseusan,περισσεύω,verb,toi=s,ὁ,article,bebrwko/sin,βιβρώσκω,verb,συνάγω,verb,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*oi(,ou)=n,a)/nqrwpoi,ἄνθρωπος,noun,i)do/ntes,εἶδον,verb,a(\,ὅς,pronoun,e)poi/hsen,ποιέω,verb,shmei=a,σημεῖον,noun,e)/legon,λέγω,verb,o(/ti,ὅστις,pronoun,*ou(=to/s,οὗτος,pronoun,e)stin,εἰμί,verb,a)lhqw=s,ἀληθής,adjective,o(,ὁ,article,profh/ths,προφήτης,adjective,o(,ὁ,article,e)rxo/menos,ἔρχομαι,verb,ei)s,εἰς,preposition,ὁ,article,οὖν,particle,to\n,ὁ,article,ko/smon,κόσμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ihsou=s,ou)=n,gnou\s,γιγνώσκω,verb,o(/ti,ὅστις,pronoun,me/llousin,μέλλω,verb,e)/rxesqai,ἔρχομαι,verb,kai\,καί,conjunction,a(rpa/zein,ἁρπάζω,verb,au)to\n,αὐτός,pronoun,i(/na,ἵνα,conjunction,poih/swsin,ποιέω,verb,basile/a,βασιλεύς,noun,a)nexw/rhsen,ἀναχωρέω,verb,pa/lin,πάλιν,adverb,ei)s,εἰς,preposition,to\,ὁ,article,o)/ros,ὄρος,adjective,Ἰησοῦς,proper,οὖν,particle,au)to\s,αὐτός,pronoun,mo/nos,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ws,de\,o)yi/a,ὄψιος,adjective,e)ge/neto,γίγνομαι,verb,kate/bhsan,καταβαίνω,verb,oi(,ὁ,article,maqhtai\,μαθητής,noun,au)tou=,αὐτός,pronoun,e)pi\,ἐπί,preposition,th\n,ὁ,article,qa/lassan,θάλασσα,noun,kai\,καί,conjunction,e)mba/ntes,ἐμβαίνω,verb,ei)s,εἰς,preposition,ploi=on,πλοῖον,noun,h)/rxonto,ἄρχω,verb,pe/ran,πέρα,adjective,ὡς,conjunction,δέ,particle,th=s,ὁ,article,qala/sshs,θάλασσα,noun,ei)s,εἰς,preposition,*kafarnaou/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,skoti/a,h)/dh,ἤδη,adverb,e)gego/nei,γίγνομαι,verb,kai\,καί,conjunction,ou)/pw,οὔπω,adverb,e)lhlu/qei,ἔρχομαι,verb,pro\s,πρός,preposition,au)tou\s,αὐτός,pronoun,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,h(/,ὅς,pronoun,te,τε,particle,qa/lassa,θάλασσα,noun,a)ne/mou,ἄνεμος,noun,mega/lou,μέγας,adverb,pne/ontos,πνέω,verb,καί,conjunction,σκοτία,noun,diegei/reto,διεγείρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lhlako/tes,ou)=n,w(s,ὡς,conjunction,stadi/ous,στάδιον,noun,ei)/kosi,εἴκοσι,verb,pe/nte,πέντε,adverb,h)\,ἠέ,conjunction,tria/konta,τριάκοντα,noun,qewrou=sin,θεωρέω,verb,to\n,ὁ,article,*)ihsou=n,Ἰησοῦς,proper,peripatou=nta,περιπατέω,verb,e)pi\,ἐπί,preposition,th=s,ὁ,article,qala/sshs,θάλασσα,noun,kai\,καί,conjunction,e)ggu\s,ἐγγύς,adverb,ἐλαύνω,verb,οὖν,particle,tou=,ὁ,article,ploi/ou,πλοῖον,noun,gino/menon,γίγνομαι,verb,kai\,καί,conjunction,e)fobh/qhsan,φοβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,de\,le/gei,λέγω,verb,au)toi=s,αὐτός,pronoun,*)egw/,ἐγώ,pronoun,ei)mi,εἰμί,verb,mh\,μή,conjunction,fobei=sqe,φοβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/qelon,ou)=n,labei=n,λαμβάνω,verb,au)to\n,αὐτός,pronoun,ei)s,εἰς,preposition,to\,ὁ,article,ploi=on,πλοῖον,noun,kai\,καί,conjunction,eu)qe/ws,εὐθύς,adverb,e)ge/neto,γίγνομαι,verb,to\,ὁ,article,ploi=on,πλοῖον,noun,e)pi\,ἐπί,preposition,th=s,ὁ,article,gh=s,γῆ,noun,ei)s,εἰς,preposition,h(\n,ὅς,pronoun,ἐθέλω,verb,οὖν,particle,u(ph=gon,ὑπάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*th=|,e)pau/rion,o(,ὁ,article,o)/xlos,ὄχλος,noun,o(,ὁ,article,e(sthkw\s,ἵστημι,verb,pe/ran,πέρα,adjective,th=s,ὁ,article,qala/sshs,θάλασσα,noun,ei)=don,εἶδον,verb,o(/ti,ὅστις,pronoun,ploia/rion,πλοιάριον,noun,a)/llo,ἄλλος,adjective,ou)k,οὐ,adverb,h)=n,εἰμί,verb,e)kei=,ἐκεῖ,adverb,ei),εἰ,conjunction,ὁ,article,ἐπαύριον,adverb,mh\,μή,conjunction,e(/n,εἷς,adjective,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,suneish=lqen,συνεισέρχομαι,verb,toi=s,ὁ,article,maqhtai=s,μαθητής,noun,au)tou=,αὐτός,pronoun,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,ei)s,εἰς,preposition,to\,ὁ,article,ploi=on,πλοῖον,noun,a)lla\,ἀλλά,adverb,mo/noi,μόνος,adjective,oi(,ὁ,article,maqhtai\,μαθητής,noun,au)tou=,αὐτός,pronoun,a)ph=lqon,ἀπέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,h)=lqen,ploi=a,πλοῖον,noun,e)k,ἐκ,preposition,*tiberia/dos,,,e)ggu\s,ἐγγύς,adverb,tou=,ὁ,article,to/pou,τόπος,noun,o(/pou,ὅπου,adverb,e)/fagon,ἐσθίω,verb,to\n,ὁ,article,a)/rton,ἄρτος,noun,eu)xaristh/santos,εὐχαριστέω,verb,tou=,ὁ,article,kuri/ou,κύριος,adjective,,,,,,,ἀλλά,adverb,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ou)=n,ei)=den,εἶδον,verb,o(,ὁ,article,o)/xlos,ὄχλος,noun,o(/ti,ὅστις,pronoun,*)ihsou=s,Ἰησοῦς,proper,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,e)kei=,ἐκεῖ,adverb,ou)de\,οὐδέ,particle,oi(,ὁ,article,maqhtai\,μαθητής,noun,au)tou=,αὐτός,pronoun,e)ne/bhsan,ἐμβαίνω,verb,au)toi\,αὐτός,pronoun,ei)s,εἰς,preposition,ὅτε,conjunction,οὖν,particle,ta\,ὁ,article,ploia/ria,πλοιάριον,noun,kai\,καί,conjunction,h)=lqon,ἔρχομαι,verb,ei)s,εἰς,preposition,*kafarnaou\m,,,zhtou=ntes,ζητέω,verb,to\n,ὁ,article,*)ihsou=n,Ἰησοῦς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,eu(ro/ntes,au)to\n,αὐτός,pronoun,pe/ran,πέρα,adjective,th=s,ὁ,article,qala/sshs,θάλασσα,noun,ei)=pon,εἶπον,verb,au)tw=|,αὐτός,pronoun,*(rabbei/,,,po/te,πότε,adverb,w(=de,ὧδε,adverb,ge/gonas,γίγνομαι,verb,,,,,,,,,,,,,,,,καί,conjunction,εὑρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pekri/qh,au)toi=s,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,kai\,καί,conjunction,ei)=pen,εἶπον,verb,*)amh\n,ἀμήν,interjection,a)mh\n,ἀμήν,interjection,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,zhtei=te/,ζητέω,verb,me,ἐγώ,pronoun,ou)x,οὐ,adverb,o(/ti,ὅστις,pronoun,ei)/dete,εἶδον,verb,shmei=a,σημεῖον,noun,a)ll',ἀλλά,adverb,ἀποκρίνω,verb,αὐτός,pronoun,o(/ti,ὅστις,pronoun,e)fa/gete,ἐσθίω,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,a)/rtwn,ἄρτος,noun,kai\,καί,conjunction,e)xorta/sqhte,χορτάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)rga/zesqe,mh\,th\n,ὁ,article,brw=sin,βρῶσις,noun,th\n,ὁ,article,a)pollume/nhn,ἀπόλλυμι,verb,a)lla\,ἀλλά,adverb,th\n,ὁ,article,brw=sin,βρῶσις,noun,th\n,ὁ,article,me/nousan,μένω,verb,ei)s,εἰς,preposition,zwh\n,ζωή,noun,ai)w/nion,αἰώνιος,adjective,h(\n,ὅς,pronoun,o(,ὁ,article,ui(o\s,υἱός,noun,ἐργάζομαι,verb,μή,conjunction,tou=,ὁ,article,a)nqrw/pou,ἄνθρωπος,noun,u(mi=n,σύ,pronoun,dw/sei,δίδωμι,verb,tou=ton,οὗτος,pronoun,ga\r,γάρ,particle,o(,ὁ,article,path\r,πατήρ,noun,e)sfra/gisen,σφραγίζω,verb,o(,ὁ,article,qeo/s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pon,ou)=n,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,*ti/,τίς,pronoun,poiw=men,ποιέω,verb,i(/na,ἵνα,conjunction,e)rgazw/meqa,ἐργάζομαι,verb,ta\,ὁ,article,e)/rga,ἔργον,noun,tou=,ὁ,article,qeou=,θεός,noun,,,,,,,,,,,,,,,,εἶπον,verb,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pekri/qh,o(,*)ihsou=s,Ἰησοῦς,proper,kai\,καί,conjunction,ei)=pen,εἶπον,verb,au)toi=s,αὐτός,pronoun,*tou=to/,οὗτος,pronoun,e)stin,εἰμί,verb,to\,ὁ,article,e)/rgon,ἔργον,noun,tou=,ὁ,article,qeou=,θεός,noun,i(/na,ἵνα,conjunction,pisteu/hte,πιστεύω,verb,ei)s,εἰς,preposition,o(\n,ὅς,pronoun,a)pe/steilen,ἀποστέλλω,verb,ἀποκρίνω,verb,ὁ,article,e)kei=nos,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pon,ou)=n,au)tw=|,αὐτός,pronoun,*ti/,τίς,pronoun,ou)=n,οὖν,particle,poiei=s,ποιέω,verb,su\,σύ,pronoun,shmei=on,σημεῖον,noun,i(/na,ἵνα,conjunction,i)/dwmen,εἶδον,verb,kai\,καί,conjunction,pisteu/swme/n,πιστεύω,verb,soi,σύ,pronoun,,,,,,,,,,,,,εἶπον,verb,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,e)rga/zh|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,ἐργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,pate/res,h(mw=n,ἐγώ,pronoun,to\,ὁ,article,ma/nna,μάννα,noun,e)/fagon,ἐσθίω,verb,e)n,ἐν,preposition,th=|,ὁ,article,e)rh/mw|,ἐρῆμος,adjective,kaqw/s,καθώς,adverb,e)stin,εἰμί,verb,gegramme/non,γράφω,verb,*)/arton,ἄρτος,noun,e)k,ἐκ,preposition,tou=,ὁ,article,ou)ranou=,οὐρανός,noun,e)/dwken,δίδωμι,verb,ὁ,article,πατήρ,noun,au)toi=s,αὐτός,pronoun,fagei=n,ἐσθίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pen,ou)=n,au)toi=s,αὐτός,pronoun,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,*)amh\n,ἀμήν,interjection,a)mh\n,ἀμήν,interjection,le/gw,λέγω,verb,u(mi=n,σύ,pronoun,ou),οὐ,adverb,*mwush=s,,,e)/dwken,δίδωμι,verb,u(mi=n,σύ,pronoun,to\n,ὁ,article,a)/rton,ἄρτος,noun,e)k,ἐκ,preposition,tou=,ὁ,article,εἶπον,verb,οὖν,particle,ou)ranou=,οὐρανός,noun,a)ll',ἀλλά,adverb,o(,ὁ,article,path/r,πατήρ,noun,mou,ἐγώ,pronoun,di/dwsin,δίδωμι,verb,u(mi=n,σύ,pronoun,to\n,ὁ,article,a)/rton,ἄρτος,noun,e)k,ἐκ,preposition,tou=,ὁ,article,ou)ranou=,οὐρανός,noun,to\n,ὁ,article,a)lhqino/n,ἀληθινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ga\r,a)/rtos,ἄρτος,noun,tou=,ὁ,article,qeou=,θεός,noun,e)sti\n,εἰμί,verb,o(,ὁ,article,katabai/nwn,καταβαίνω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,ou)ranou=,οὐρανός,noun,kai\,καί,conjunction,zwh\n,ζωή,noun,didou\s,δίδωμι,verb,tw=|,ὁ,article,ko/smw|,κόσμος,noun,,,,ὁ,article,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pon,ou)=n,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,*ku/rie,κύριος,adjective,pa/ntote,πάντοτε,adverb,do\s,δίδωμι,verb,h(mi=n,ἐγώ,pronoun,to\n,ὁ,article,a)/rton,ἄρτος,noun,tou=ton,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,εἶπον,verb,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=pen,au)toi=s,o(,ὁ,article,*)ihsou=s,Ἰησοῦς,proper,*)egw/,ἐγώ,pronoun,ei)mi,εἰμί,verb,o(,ὁ,article,a)/rtos,ἄρτος,noun,th=s,ὁ,article,zwh=s,ζωή,noun,,,,,,,,,,,,,,,,,,,,,,εἶπον,verb,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,e)rxo/menos,pro\s,πρός,preposition,e)me\,ἐγώ,pronoun,ou),οὐ,adverb,mh\,μή,conjunction,peina/sh|,πεινάω,verb,kai\,καί,conjunction,o(,ὁ,article,pisteu/wn,πιστεύω,verb,ei)s,εἰς,preposition,e)me\,ἐγώ,pronoun,ou),οὐ,adverb,mh\,μή,conjunction,diyh/sei,διψάω,verb,pw/pote,πώποτε,adverb,,,,ὁ,article,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ei)=pon,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,e(wra/kate/,ὁράω,verb,me,ἐγώ,pronoun,kai\,καί,conjunction,ou),οὐ,adverb,pisteu/ete,πιστεύω,verb,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
