word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/lemma/@_entry,word/9/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/57/lemma/@_entry,word/57/lemma/@_POS,word/67/lemma/@_entry,word/67/lemma/@_POS,word/73/lemma/@_entry,word/73/lemma/@_POS,word/97/lemma/@_entry,word/97/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
*leu/kios,Λεύκιος,proper,de\,δέ,particle,*ma/gios,,,o(,ὁ,article,*sertwri/w|,,,kai\,καί,conjunction,*miqrida/th|,Μιθριδάτης,proper,ta\,e)s,εἰς,preposition,a)llh/lous,diaith/sas,διαιτάω,verb,a)nh|rhme/nou,ἀναιρέω,verb,tou=,ὁ,article,*sertwri/ou,,,pro\s,πρός,preposition,*leu/kollon,,,e)pepo/mfei,πέμπω,verb,kru/fa,κρύφα,adverb,kai\,καί,conjunction,pi/stin,πίστις,noun,labw\n,λαμβάνω,verb,mete/peiqe,μεταπείθω,verb,to\n,ὁ,article,*miqrida/thn,Μιθριδάτης,proper,u(peridei=n,ὑπερεῖδον,verb,*(rwmai/wn,,,parodeuo/ntwn,παροδεύω,verb,te,τε,particle,kai\,καί,conjunction,stratopedeuo/ntwn,στρατοπεδεύω,verb,o(/ph|,ὅπη,adverb,qelh/seian,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,ga\r,γάρ,particle,u(po\,ὑπό,preposition,*fimbri/a|,,,geno/mena,γίγνομαι,verb,du/o,δύο,adjective,te/lh,τέλος,noun,bouleu/ein,au)tomoli/an,αὐτομολία,noun,kai\,au)ti/ka,αὐτίκα,adverb,tw=|,ὁ,article,basilei=,βασιλεύς,noun,prose/sesqai,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βουλεύω,verb,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ou)=n,οὖν,particle,xrh/|zein,χρῄζω,verb,au)to\n,αὐτός,pronoun,a)gw=nos,ἀγών,noun,kai\,καί,conjunction,fo/nou,φόνος,noun,duna/menon,a)maxi\,ἀμαχεί,adverb,krath=sai,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δύναμαι,verb,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,o(,ὁ,article,*miqrida/ths,Μιθριδάτης,proper,sunqe/menos,συντίθημι,verb,a)noh/tws,ἀνόητος,adjective,ma/la,μάλα,adverb,kai\,καί,conjunction,a)nupo/ptws,periei=de,περεῖδον,verb,*(rwmai/ous,dia\,διά,preposition,stenou=,στενός,adjective,parodeu/ontas,παροδεύω,verb,a)dew=s,ἀδεής,adverb,kai\,καί,conjunction,e)piteixi/zontas,ἐπιτειχίζω,verb,au(tw=|,ἑαυτοῦ,pronoun,me/ga,μέγας,adverb,o)/ros,ὄρος,adjective,ou(=,ἕ,pronoun,kratou=ntes,κρατέω,verb,au)toi\,αὐτός,pronoun,me\n,μέν,particle,o)/pisqen,ὄπισθεν,adverb,e)/mellon,μέλλω,verb,a)gora\n,ἀγορά,noun,a)dew=s,ἀδεής,adverb,e)pa/cesqai,ἐπάγνυμι,verb,*miqrida/thn,Μιθριδάτης,proper,de\,δέ,particle,li/mnh|,λίμνη,noun,kai\,καί,conjunction,o)/resi,ὄρος,adjective,kai\,καί,conjunction,potamoi=s,ποταμός,noun,a)poklei/sein,ἀποκλείω,verb,tw=n,ὁ,article,kata\,κατά,preposition,gh=n,γῆ,noun,a(pa/ntwn,ἅπας,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,mh\,μή,conjunction,gli/sxrws,γλίσχρος,adjective,pote\,ποτός,adjective,la/boi,ou)/te,οὔτε,adverb,e)co/dous,ἔξοδος,adjective,eu)rei/as,εὐρέιος,adjective,e)/ti,ἔτι,adverb,e)/xonta,ἔχω,verb,ou)/te,οὔτε,adverb,bia/zesqai,βιάζω,verb,duna/menon,δύναμαι,verb,e)/ti,ἔτι,adverb,*leu/kollon,,,u(po\,ὑπό,preposition,th=s,dusxwri/as,δυσχωρία,noun,h(=s,ὅς,pronoun,kratw=n,κράς,verb,katefro/nhsen,καταφρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνύποπτος,adjective,,,λαμβάνω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,
o(/,ὅς,pronoun,te,τε,particle,xeimw\n,χειμών,noun,h)/dh,ἤδη,adverb,plhsia/zwn,πλησιάζω,verb,e)/melle,μέλλω,verb,kai\,καί,conjunction,tw=n,a)po\,ἀπό,preposition,th=s,qala/sshs,θάλασσα,noun,au)to\n,αὐτός,pronoun,e)n,ἐν,preposition,a)pori/a|,ἀπορία,noun,katasth/sein,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,qewrw=n,θεωρέω,verb,o(,ὁ,article,*leu/kollos,,,tou\s,ὁ,article,fi/lous,φῖλος,noun,a)nemi/mnhske,ἀναμιμνήσκω,verb,th=s,u(posxe/sews,ὑπόσχεσις,noun,kai\,to\,ὁ,article,e)paggelqe\n,ἐπαγγέλλω,verb,w(s,ὡς,conjunction,paro\n,πάρειμι,verb,e)dei/knu,δείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*miqrida/ths,Μιθριδάτης,proper,dunhqei\s,δύναμαι,verb,a)\n,ἄν,particle,i)/sws,ἴσως,adverb,kai\,καί,conjunction,to/te,dia\,διά,preposition,to\,plh=qos,πλῆθος,noun,dia\,διά,preposition,me/swn,μέσος,adjective,w)/sasqai,ὠθέω,verb,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,tou/tou,οὗτος,pronoun,me\n,μέν,particle,u(perei=de,ὑπερεῖδον,verb,*kuzi/kw|,Κύζικος,proper,de\,δέ,particle,oi(=s,ὅς,pronoun,pareskeu/ase,παρασκευάζω,verb,pro\s,πρός,preposition,poliorki/an,πολιορκία,noun,e)peti/qeto,ἐπιτίθημι,verb,nomi/sas,νομίζω,verb,e)n,ἐν,preposition,tw=|de,ὅδε,pronoun,diorqw/sein,διορθόω,verb,th\n,ὁ,article,dusxwri/an,δυσχωρία,noun,o(mou=,ὁμοῦ,adverb,kai\,καί,conjunction,th\n,ὁ,article,a)pori/an,ἀπορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τότε,adverb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=a,οἷος,adjective,de\,δέ,particle,eu)porw=n,εὐπορέω,verb,stratou=,στρατός,noun,pollou=,πολύς,adjective,pa=sin,πᾶς,adjective,e)/rgois,ἔργον,noun,e)pexei/rei,to/n,ὁ,article,te,staqmo\n,σταθμόν,noun,a)poteixi/zwn,ἀποτειχίζω,verb,tei/xei,τεῖχος,noun,diplw=|,διπλόος,adjective,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,a)potafreu/wn,ἀποταφρεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιχειρέω,verb,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,
xw/mata/,χῶμα,noun,te,τε,particle,h)/geire,ἀγείρω,verb,polla/,πολύς,adjective,kai\,καί,conjunction,mhxana\s,μηχανή,noun,e)ph/gnuto,ἐπάγνυμι,verb,pu/rgous,kai\,καί,conjunction,xelw/nas,kriofo/rous,κριοφόρος,adjective,e(le/poli/n,ἑλέπολις,adjective,te,τε,particle,e(kato\n,ἑκατόν,noun,ph/xewn,πῆχυς,noun,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,e(/teros,ἕτερος,adjective,pu/rgos,πύργος,noun,e)ph=|rto,ἐπαίρω,verb,katape/ltas,,,kai\,καί,conjunction,li/qous,λίθος,adjective,kai\,καί,conjunction,be/lh,βέλος,noun,poiki/la,ποικίλος,adjective,a)fiei/s,ἀφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πύργος,noun,χελώνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,de\,δέ,particle,tou\s,ὁ,article,lime/nas,λιμήν,noun,du/o,δύο,adjective,penth/reis,πεντήρης,noun,e)zeugme/nai,ζεύγνυμι,verb,pu/rgon,e(/teron,ἕτερος,adjective,e)/feron,e)c,ἐκ,preposition,ou(=,ἕ,pronoun,ge/fura,γέφυρα,adjective,o(po/te,ὁπότε,adverb,prospela/seian,προσπελάζω,verb,e)s,εἰς,preposition,to\,ὁ,article,tei=xos,τεῖχος,noun,u(po\,ὑπό,preposition,mhxanh=s,μηχανεύς,noun,e)ch/lleto,ἐξάλλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πύργος,noun,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,e(/toima,ἑτοῖμος,adjective,au)tw=|,αὐτός,pronoun,pa/nta,πᾶς,adjective,e)gege/nhto,γίγνομαι,verb,prw=ta,πρότερος,adjective,me\n,trisxili/ous,τρισχίλιοι,adjective,ai)xmalw/tous,*kuzikhnou\s,Κύζικος,proper,e)pi\,ἐπί,preposition,new=n,ναός,noun,th=|,ὁ,article,po/lei,πόλις,adjective,prosh=gen,προσάγω,verb,oi(\,ἕ,pronoun,xei=ras,χείρ,noun,e)s,εἰς,preposition,to\,ὁ,article,tei=xos,τεῖχος,noun,o)re/gontes,ὀρέγω,verb,e)de/onto,δέομαι,verb,sfw=n,σφεῖς,pronoun,kinduneuo/ntwn,κινδυνεύω,verb,fei/sasqai,φείδομαι,verb,tou\s,ὁ,article,poli/tas,πολίτης,noun,me/xri,μέχρι,preposition,*peisi/stratos,Πεισίστρατος,proper,au)toi=s,αὐτός,pronoun,o(,ὁ,article,strathgo\s,στρατηγός,noun,o(,ὁ,article,tw=n,ὁ,article,*kuzikhnw=n,Κύζικος,proper,a)po\,ἀπό,preposition,tou=,ὁ,article,tei/xous,τεῖχος,noun,e)kh/ruce,κηρύσσω,verb,fe/rein,φέρω,verb,to\,ὁ,article,sumbai=non,συμβαίνω,verb,e)gkratw=s,ἐγκρατής,adjective,ai)xmalw/tous,αἰχμάλωτος,adjective,gegono/tas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,αἰχμάλωτος,adjective,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*miqrida/ths,Μιθριδάτης,proper,w(s,ὡς,conjunction,a)pe/gnw,ἀπογιγνώσκω,verb,th=sde,ὅδε,pronoun,th=s,ὁ,article,pei/ras,e)ph=ge,ἐπάγω,verb,th\n,e)pi\,ἐπί,preposition,tw=n,ὁ,article,new=n,ναός,noun,mhxanh/n,μηχανή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πεῖρα,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h(/,ὅς,pronoun,te,τε,particle,ge/fura,γέφυρα,adjective,e)s,εἰς,preposition,to\,ὁ,article,tei=xos,τεῖχος,noun,e)ch/lato,a)/fnw,ἄφνω,adverb,kai\,te/ssares,τέσσαρες,noun,a)p',ἀπό,preposition,au)th=s,αὐτός,pronoun,a)/ndres,ἀνήρ,noun,e)ce/dramon,ἐκτρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐξάλλομαι,verb,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,
w(=|,ὅς,pronoun,dh\,δή,particle,kai\,καί,conjunction,ma/lista,μάλιστα,adverb,kainotro/pw|,καινότροπος,adjective,fane/nti,φαίνω,verb,kataplage/ntes,καταπλάσσω,verb,oi(,*kuzikhnoi\,Κύζικος,proper,e)pi\,me/n,μέν,particle,ti,τις,pronoun,u(pexw/rhsan,ὑποχωρέω,verb,ou)k,οὐ,adverb,o)ce/ws,ὀξέως,adverb,de\,δέ,particle,e(te/rwn,ἕτερος,adjective,e)pidramo/ntwn,ἐπιτρέχω,verb,a)neqa/rrhsa/n,ἀναθαρσέω,verb,te,τε,particle,kai\,καί,conjunction,tou\s,ὁ,article,te/ssaras,τέσσαρες,noun,kate/wsan,κατωθέω,verb,e)s,εἰς,preposition,to\,ὁ,article,e)/cw,ἔξω,adverb,tai=s,ὁ,article,te,τε,particle,nausi\,ναῦς,noun,pu=r,πῦρ,noun,kai\,καί,conjunction,pi/ssan,πίσσα,noun,e)pixe/antes,ἐπιχέω,verb,h)na/gkasan,ἀναγκάζω,verb,pru/mnan,πρύμνα,adjective,te,τε,particle,krou/sasqai,κρούω,verb,kai\,καί,conjunction,u(poxwrei=n,ὑποχωρέω,verb,o)pi/sw,ὀπίσω,adverb,meta\,μετά,preposition,tou=,ὁ,article,mhxanh/matos,μηχάνημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,
w(=de,ὧδε,adverb,me\n,μέν,particle,dh\,δή,particle,tw=n,ὁ,article,kata\,κατά,preposition,qa/lassan,θάλασσα,noun,e)penexqe/ntwn,ἐπιφέρω,verb,e)kra/toun,oi(,ὁ,article,*kuzikhnoi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κρατέω,verb,Κύζικος,proper,,,,,,,,,,,,,,,,,,,,,,,,,
tri/ta,τρίτος,adjective,d',δέ,particle,au)toi=s,αὐτός,pronoun,e)ph/geto,ἐπάγω,verb,th=s,ὁ,article,au)th=s,αὐτός,pronoun,h(me/ras,ἡμέρα,noun,ta\,e)n,ἐν,preposition,th=|,gh=|,γῆ,noun,mhxanh/mata,μηχάνημα,noun,o(mou=,ὁμοῦ,adverb,pa/nta,πᾶς,adjective,ponoume/nois,πονέομαι,verb,te,τε,particle,kai\,καί,conjunction,metaqe/ousin,μεταθέω,verb,e)s,εἰς,preposition,to\,ὁ,article,a)ei\,ἀεί,adverb,biazo/menon,βιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,
