word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
cu/noide,σύνοιδα,verb,*phneio\s,Πηνειός,proper,o(,ὁ,article,kal,,,lidi/nas,,,makrai/,μακρός,adjective,t',τε,particle,a)/rou,ἄρον,noun,rai,,,pedi/wn,πέδιον,noun,a)/karpoi,ἄκαρπος,adjective,kai\,καί,conjunction,*phlia/des,Πηλιακός,adjective,qera/pnai,θεράπνη,noun,su/gxortoi/,σύγχορτος,adjective,t',τε,particle,*)omo/las,,,e)/nau,,,loi,,,peu/kaisin,πεύκη,noun,o(/qen,ὅθεν,adverb,xe/ras,χείρ,noun,plhrou=ntes,πληρόω,verb,xqo/na,χθών,noun,*qessalw=n,Θεσσαλός,proper,i(ppei/ais,ἱππεία,noun,e)da/mazon,δαμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/n,ὁ,article,te,τε,particle,xrusoka/ranon,χρυσοκάρηνος,adjective,do/rkan,,,poikilo/nwton,ποικιλόνωτος,adjective,sulh/teiran,συλήτειρα,noun,a)grwsta=n,ἀγρότης,noun,ktei/nas,κτείνω,verb,qhrofo/non,θηροφόνος,adjective,qea\n,θεά,noun,*oi)nwa=tin,,,a)ga/llei,ἀγάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teqri/ppwn,τέθριππος,adjective,t',τε,particle,e)pe/ba,ἐπιβαίνω,verb,kai\,καί,conjunction,yali/ois,ψάλιον,noun,e)da/mase,δαμάω,verb,pw/lous,πῶλος,noun,*diomh/deos,Διομήδης,proper,ai(\,ὅς,pronoun,foni/aisi,φόνιος,adverb,fa/tnais,φάτνη,noun,a)xa/lin',ἀχάλινος,adjective,e)qo/a,,,zon,,,ka/qaima,κάθαιμος,adjective,si=ta,σῖτος,noun,ge/nusi,γένυς,noun,xarmonai=sin,χαρμονή,noun,a)ndrobrw=si,ἀνδροβρώς,noun,dustra/pezoi,δυστράπεζος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/ran,πέραν,adverb,d',δέ,particle,a)rgurorru/twn,ἀργυρόρρυτος,adjective,*(/ebrou,Ἕβρος,proper,diepe/rasen,διαπεράω,verb,o)/xqwn,ὄχθος,noun,*mukhnai/w|,Μυκηναῖος,proper,ponw=n,πονέω,verb,tura/nnw|,τύραννος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/n,ἄν,particle,te,τε,particle,*phlia/d',,,a)kta\n,ἀκτή,noun,*)anau/rou,Ἄναυρος,proper,para\,παρά,preposition,phga\s,πηγάς,noun,*ku/knon,Κύκνος,proper,ceinodai/+ktan,,,to/cois,τόξον,noun,w)/lesen,ὄλλυμι,verb,*)amfanai/,,,as,,,oi)kh/tor',οἰκήτωρ,noun,a)/meikton,ἄμεικτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mnw|dou/s,ὑμνῳδός,adjective,te,τε,particle,ko/ras,κόρη,noun,h)/luqen,ἔρχομαι,verb,e(spe/rion,ἑσπέριος,adjective,e)s,εἰς,preposition,au)la/n,αὐλή,noun,xruse/wn,χρύσεος,adjective,peta/lwn,πέταλον,noun,a)/po,ἀπό,preposition,mhlofo/ron,μηλοφόρος,adjective,xeri\,χείρ,noun,karpo\n,καρπός,noun,a)me/r,,,cwn,,,dra/konta,δράκων,noun,purso/nwton,πυρσόνωτος,adjective,o(/s,ὅς,pronoun,sf',σφεῖς,pronoun,a)/platon,ἄπλατος,adjective,a)mfelikto\s,,,e(/lik',ἕλιξ,noun,e)frou/rei,φρουρέω,verb,ktanw/n,κτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ponti/as,πόντιος,adjective,q',τε,particle,a(lo\s,ἅλς,adjective,muxou\s,μυχός,noun,ei)se/baine,εἰσβαίνω,verb,qnatoi=s,θνητός,adjective,galanei/as,γαλήνη,noun,tiqei\s,τίθημι,verb,e)retmoi=s,ἐρετμόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)ranou=,οὐρανός,noun,q',τε,particle,u(po\,ὑπό,preposition,me/ssan,μέσος,adjective,e)lau/nei,ἐλαύνω,verb,xe/ras,χείρ,noun,e(/dran,ἕδρα,noun,*)/atlantos,Ἄτλας,proper,do/mon,δόμος,noun,e)lqw/n,ἔρχομαι,verb,a)strwpou/s,ἀστρωπός,adjective,te,τε,particle,kate/sxen,κατέχω,verb,oi)/,ὄις,noun,kous,,,eu)anori/a|,,,qew=n,θέα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,i(ppeuta/n,ἱππευτής,noun,t',τε,particle,*)amazo/,,,nwn,,,strato\n,στρατός,noun,*maiw=tin,Μαιώτης,proper,a)mfi\,ἀμφί,preposition,polupo/tamon,πολυπόταμος,adjective,e)/ba,βαίνω,verb,di',διά,preposition,*)/a,,,ceinon,,,oi)=dma,οἶδμα,noun,li/mnas,λίμνη,noun,ti/n',τίς,pronoun,ou)k,οὐ,adverb,a)f',ἀπό,preposition,*(ellani/as,Ἑλλάνιος,proper,a)/goron,ἄγορος,noun,a(li/sas,ἁλίζω,verb,fi/lwn,φίλος,adjective,ko/ras,κόρη,noun,*)arei/as,ἄρειος,adjective,pe/plwn,πέπλος,noun,xruseo/stolon,χρυσεόστολμος,adjective,fa/ros,φάρος,noun,zwsth=ros,ζωστήρ,noun,o)leqri/ous,ὀλέθριος,adjective,a)/gras,ἄγρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,kleina\,κλεινός,adjective,d',δέ,particle,*(ella\s,Ἑλλάς,proper,e)/labe,λαμβάνω,verb,bar,,,ba/rou,βᾶρον,noun,ko/ras,κόρη,noun,la/fura,λάφυρα,adjective,kai\,καί,conjunction,sw/|zetai,σώζω,verb,*mukh/nais,Μυκήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/n,ὁ,article,te,τε,particle,murio/kranon,μυριόκρανος,adjective,polu/fonon,πολύφονος,adjective,ku/na,κύων,noun,*le/rnas,Λέρνα,proper,u(/dran,ὕδρα,noun,e)cepu/rwsen,ἐκπυρόω,verb,be/lesi/,βέλος,noun,t',τε,particle,a)mfe/bal',ἀμφιβάλλω,verb,i)o/n,ἰός,adjective,to\n,ὁ,article,trisw/maton,τρισώματος,adjective,oi(=sin,ὅς,pronoun,e)/,ἒ,interjection,kta,,,both=r',βοτήρ,noun,*)eruqei/as,Ἐρυθεία,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dro/mwn,δρόμος,noun,t',τε,particle,a)/llwn,ἄλλος,adjective,a)ga/lmat',ἄγαλμα,noun,eu)tuxh=,εὐτυχής,adjective,dih=lqe,διέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/n,ὁ,article,te,τε,particle,poluda/kruon,πολυδάκρυος,adjective,e)/pleus',πλέω,verb,e)s,εἰς,preposition,*(/ai,,,dan,,,po/nwn,πόνος,noun,teleuta/n,τελευτή,noun,i(/n',ἵνα,conjunction,e)kperai/nei,ἐκπεραίνω,verb,ta/las,τάλας,adjective,bi/oton,βίοτος,noun,ou)d',οὐδέ,particle,e)/ba,βαίνω,verb,pa/lin,πάλιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ste/gai,στέγη,noun,d',δέ,particle,e)/rhmoi,ἐρῆμος,adjective,fi/lwn,φίλος,adjective,ta\n,ὁ,article,d',δέ,particle,a)no/stimon,ἀνόστιμος,adjective,te/knwn,τέκνον,noun,*xa/rwnos,Χάρων,proper,e)pime/nei,ἐπιμένω,verb,pla/ta,πλάτη,noun,bi/ou,βίος,adjective,ke/leuqon,κέλευθος,noun,a)/qeon,ἄθεος,adjective,a)/di,,,kon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,de\,δέ,particle,sa\s,σός,adjective,xe/ras,χείρ,noun,ble/pei,βλέπω,verb,dw/mat',δῶμα,noun,ou),οὐ,adverb,paro/ntos,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,e)gw\,ἐγώ,pronoun,sqe/nos,σθένος,noun,h(/bwn,ἡβάω,verb,do/ru,δόρυ,noun,t',τε,particle,e)/pallon,πάλλω,verb,e)n,ἐν,preposition,ai)xma=|,αἰχμή,noun,*kadmei/wn,Καδμεῖος,proper,te,τε,particle,su/nhboi,σύνηβος,noun,te/kesin,τέκος,noun,a)\n,ἄν,particle,propare/stan,προπαρίστημι,verb,a)lka=|,ἀλκή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,a)polei/pomai,ἀπολείπω,verb,ta=s,ὁ,article,eu)dai/monos,εὐδαίμων,adjective,h(/bas,ἥβη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)sorw=,εἰσοράω,verb,ga\r,γάρ,particle,tou/sde,ὅδε,pronoun,fqime/nwn,φθίω,verb,e)/ndut',ἐνδύω,verb,e)/xontas,ἔχω,verb,tou\s,ὁ,article,tou=,ὁ,article,mega/lou,μέγας,adverb,dh/,δή,particle,pote,ποτέ,particle,pai=das,παῖς,adjective,to\,ὁ,article,pri\n,πρίν,adverb,*(hrakle/ous,Ἡρακλέης,proper,a)/loxo/n,ἄλοχος,adjective,te,τε,particle,fi/lhn,φίλος,adjective,u(po\,ὑπό,preposition,seirai/ois,σειραῖος,adjective,posi\n,πούς,noun,e(/lkousan,ἕλκω,verb,te/kna,τέκνον,noun,kai\,καί,conjunction,geraio\n,γεραιός,adjective,pate/r',πατήρ,noun,*(hrakle/ous,Ἡρακλέης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/sthnos,δύστηνος,adjective,e)gw/,ἐγώ,pronoun,dakru/wn,δάκρυον,noun,w(s,ὡς,conjunction,ou),οὐ,adverb,du/namai,δύναμαι,verb,kate/xein,κατέχω,verb,grai/as,γραῖος,adjective,o)/sswn,ὄσσε,adjective,e)/ti,ἔτι,adverb,phga/s,πηγάς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,i(ereu/s,ἱερεύς,adjective,ti/s,τίς,pronoun,sfageu\s,σφαγεύς,noun,tw=n,ὁ,article,duspo/tmwn,δύσποτμος,adjective,e(/toim',ἑτοῖμος,adjective,a)/gein,ἄγω,verb,ta\,ὁ,article,qu/mat',θῦμα,noun,ei)s,εἰς,preposition,*(/aidou,Ἅιδης,proper,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,te/kn',τέκνον,noun,a)go/meqa,ἄγω,verb,zeu=gos,ζεῦγος,noun,ou),οὐ,adverb,kalo\n,καλός,noun,nekrw=n,νεκρός,noun,o(mou=,ὁμοῦ,adverb,ge/rontes,γέρων,noun,kai\,καί,conjunction,ne/oi,νέος,adjective,kai\,καί,conjunction,mhte/res,μήτηρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,moi=ra,μοῖρα,adjective,dusta/lain',δυστάλας,adjective,e)mh/,ἐμός,adjective,te,τε,particle,kai\,καί,conjunction,te/knwn,τέκνον,noun,tw=nd',ὅδε,pronoun,ou(\s,ὅς,pronoun,panu/stat',πανύστατος,adjective,o)/mmasin,ὄμμα,noun,prosde/rkomai,προσδέρκομαι,verb,e)/tekon,τίκτω,verb,me\n,μέν,particle,u(ma=s,σύ,pronoun,polemi/ois,πολέμιος,adjective,d',δέ,particle,e)qreya/mhn,τρέφω,verb,u(/brisma,ὕβρισμα,noun,ka)pi/xarma,ἐπίχαρμα,noun,kai\,καί,conjunction,diafqora/n,διαφθορά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,polu/,πολύς,adjective,me,ἐγώ,pronoun,do/chs,δόξα,noun,e)ce/paisan,,,e)lpi/des,ἐλπίς,noun,h(\n,ὅς,pronoun,patro\s,πατήρ,noun,u(mw=n,σύ,pronoun,e)k,ἐκ,preposition,lo/gwn,λόγος,noun,pot',ποτέ,particle,h)/lpisa,ἐλπίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soi\,σύ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,*)/argos,Ἄργος,proper,e)/nem',νέμω,verb,o(,ὁ,article,katqanw\n,καταθνήσκω,verb,path/r,πατήρ,noun,*eu)rusqe/ws,Εὐρυσθεύς,proper,d',δέ,particle,e)/melles,μέλλω,verb,oi)kh/sein,οἰκέω,verb,do/mous,δόμος,noun,th=s,ὁ,article,kallika/rpou,καλλίκαρπος,adjective,kra/tos,κράτος,noun,e)/xwn,ἔχω,verb,*pelasgi/as,Πελασγικός,adjective,stolh/n,στολή,noun,te,τε,particle,qhro\s,θήρ,noun,a)mfe/balle,ἀμφιβάλλω,verb,sw=|,σός,adjective,ka/ra|,κάρα,noun,le/ontos,λέων,noun,h(=|per,ᾗπερ,conjunction,au)to\s,αὐτός,pronoun,e)cwpli/zeto,ἐξοπλίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,h)=sqa,εἰμί,verb,*qhbw=n,Θῆβαι,proper,tw=n,ὁ,article,filarma/twn,φιλάρματος,adjective,a)/nac,ἄναξ,noun,e)/gklhra,ἔγκληρος,adjective,pedi/a,πεδίον,noun,ta)ma\,ἁμός,adjective,gh=s,γῆ,noun,kekthme/nos,κτάομαι,verb,w(s,ὡς,conjunction,e)ce/peiqes,ἐκπείθω,verb,to\n,ὁ,article,kataspei/ranta/,κατασπείρω,verb,se,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,decia/n,δεξιά,noun,te,τε,particle,sh\n,σός,adjective,a)lechth/rion,ἀλεξητήριος,adjective,cu/lon,ξύλον,adjective,kaqi/ei,καθίημι,verb,dai/dalon,δαίδαλος,adjective,yeudh=,ψευδής,adverb,do/sin,δόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soi\,σύ,pronoun,d',δέ,particle,h(\n,ὅς,pronoun,e)/perse,πέρθω,verb,toi=s,ὁ,article,e(khbo/lois,ἑκηβόλος,adjective,pote\,ποτός,adjective,to/coisi,τόξον,noun,dw/sein,δίδωμι,verb,*oi)xali/an,Οἰχαλία,proper,u(pe/sxeto,ὑπέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trei=s,τρέω,verb,d',δέ,particle,o)/ntas,εἰμί,verb,u(ma=s,σύ,pronoun,triptu/xois,τρίπτυχος,adjective,turanni/si,τυραννίς,noun,path\r,πατήρ,noun,e)pu/rgou,πυργόω,verb,me/ga,μέγας,adverb,fronw=n,φρονέω,verb,eu)andri/a|,εὐανδρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,nu/mfas,νύμφη,noun,h)kroqiniazo/mhn,ἀκροθινιάζομαι,verb,kh/dh,κῆδος,noun,suna/yous',συνάπτω,verb,e)/k,ἐκ,preposition,t',τε,particle,*)aqhnai/wn,Ἀθήναια,proper,xqono\s,χθών,noun,*spa/rths,Σπάρτη,proper,te,τε,particle,*qhbw=n,Θῆβαι,proper,q',τε,particle,w(s,ὡς,conjunction,a)nhmme/noi,ἀνάπτω,verb,ka/lw|s,κάλως,noun,prumnhsi/oisi,πρυμνήσιος,adjective,bi/on,βίος,adjective,e)/xoit',ἔχω,verb,eu)dai/mona,εὐδαίμων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,frou=da,φροῦδος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metabalou=sa,μεταβάλλω,verb,d',δέ,particle,h(,ὁ,article,tu/xh,τύχη,noun,nu/mfas,νύμφη,noun,me\n,μέν,particle,u(mi=n,σύ,pronoun,*kh=ras,Κήρ,proper,a)nte/dwk',ἀντιδίδωμι,verb,e)/xein,ἔχω,verb,e)moi\,ἐγώ,pronoun,de\,δέ,particle,da/krua,δάκρυον,noun,loutra/,λουτρόν,noun,du/sthnos,δύστηνος,adjective,frenw=n,φρήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path\r,πατήρ,noun,de\,δέ,particle,patro\s,πατήρ,noun,e(stia=|,ἑστιάω,verb,ga/mous,γάμος,adjective,o(/de,ὅδε,pronoun,*(/aidhn,Ἅιδης,proper,nomi/zwn,νομίζω,verb,penqero/n,πενθερός,noun,kh=dos,κῆδος,noun,patro/s,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/moi,ὤμοι,interjection,ti/n',τίς,pronoun,u(mw=n,σύ,pronoun,prw=ton,πρότερος,adjective,h)\,ἠέ,conjunction,ti/n',τίς,pronoun,u(/staton,ὕστατος,adjective,pro\s,πρός,preposition,ste/rna,στέρνον,noun,qw=mai,θάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,τίς,pronoun,prosarmo/sw,προσαρμόζω,verb,sto/ma,στόμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
