word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS
w(s,ὡς,conjunction,h(/domai,ἥδομαι,verb,kai\,καί,conjunction,te/rpomai,τέρπω,verb,kai\,καί,conjunction,bou/lomai,βούλομαι,verb,xoreu=sai,χορεύω,verb,u(f',ὑπό,preposition,h(donh=s,ἡδονά,noun,ei)/per,εἴπερ,conjunction,le/geis,λέγω,verb,o)/ntws,ὄντως,adverb,su\,σύ,pronoun,tau=t',οὗτος,pronoun,a)lhqh=,ἀληθής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,e)gw\,ἐγώ,pronoun,boulh/somai,βούλομαι,verb,qrettanelo\,θρεττανελό,interjection,to\n,ὁ,article,*ku/klwpa,Κύκλωψ,proper,mimou/menos,μιμέομαι,verb,kai\,καί,conjunction,toi=n,ὁ,article,podoi=n,πούς,noun,w(di\,ὡδί,adverb,parensaleu/wn,παρενσαλεύω,verb,u(ma=s,σύ,pronoun,a)/gein,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ei)=a,εἶα,interjection,te/kea,τέκος,noun,qami/n',θαμινός,adverb,e)panabow=ntes,ἐπαναβοάω,verb,blhxw/menoi/,βληχάομαι,verb,te,τε,particle,probati/wn,προβάτιον,noun,ai)gw=n,αἴξ,adjective,te,τε,particle,kinabrw/ntwn,κιναβράω,verb,me/lh,μέλη,noun,e(/pesq',ἕπομαι,verb,a)peywlhme/noi,ἀποψωλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tra/goi,τράγος,adjective,d',δέ,particle,a)kratiei=sqe,ἀκρατίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,de/,δέ,particle,g',γε,particle,au)=,αὖ,interjection,zhth/somen,ζητέω,verb,qrettanelo\,θρεττανελό,interjection,to\n,ὁ,article,*ku/klwpa,Κύκλωψ,proper,blhxw/menoi,βληχάομαι,verb,se\,σύ,pronoun,toutoni\,οὗτος,pronoun,peinw=nta,πεινάω,verb,katalabo/ntes,καταλαμβάνω,verb,ph/ran,πήρα,noun,e)/xonta,ἔχω,verb,la/xana/,λάχανον,adjective,t',τε,particle,a)/gria,ἄγριος,adjective,drosera/,δροσερός,adjective,kraipalw=nta,κραιπαλάω,verb,h(gou/menon,ἡγέομαι,verb,toi=s,ὁ,article,probati/ois,προβάτιον,noun,ei)kh=|,εἰκῇ,adverb,de\,δέ,particle,katadarqo/nta,καταδαρθάνω,verb,pou,πού,adverb,me/gan,μέγας,adverb,labo/ntes,λαμβάνω,verb,h(mme/non,ἅπτω,verb,sfhki/skon,σφηκίσκος,noun,e)ktuflw=sai,ἐκτυφλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,th\n,ὁ,article,*ki/rkhn,Κίρκη,proper,ge,γε,particle,th\n,ὁ,article,ta\,ὁ,article,fa/rmak',φάρμακον,noun,a)nakukw=san,ἀνακυκάω,verb,h(\,ὅς,pronoun,tou\s,ὁ,article,e(tai/rous,ἑταῖρος,noun,tou=,ὁ,article,*filwni/dou,Φιλωνίδης,proper,pot',ποτέ,particle,e)n,ἐν,preposition,*kori/nqw|,Κόρινθος,adverb,e)/peisen,ἐφίζω,verb,w(s,ὡς,conjunction,o)/ntas,εἰμί,verb,ka/prous,κάπρος,noun,memagme/non,μάσσω,verb,skw=r,σκῶρ,noun,e)sqi/ein,ἐσθίω,verb,au)th\,αὐτός,pronoun,d',δέ,particle,e)/matten,μάσσω,verb,au)toi=s,αὐτός,pronoun,mimh/somai,μιμέομαι,verb,pa/ntas,πᾶς,adjective,tro/pous,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,de\,δέ,particle,gruli/zontes,γρυλίζω,verb,u(po\,ὑπό,preposition,filhdi/as,φιληδία,noun,e(/pesqe,ἕπομαι,verb,mhtri\,μήτηρ,noun,xoi=roi,χοῖρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)kou=n,οὐκοῦν,adverb,se,σύ,pronoun,th\n,ὁ,article,*ki/rkhn,Κίρκη,proper,ge,γε,particle,th\n,ὁ,article,ta\,ὁ,article,fa/rmak',φάρμακον,noun,a)nakukw=san,ἀνακυκάω,verb,kai\,καί,conjunction,magganeu/ousan,μαγγανεύω,verb,molu/nousa/n,μολύνω,verb,te,τε,particle,tou\s,ὁ,article,e(tai/rous,ἑταῖρος,noun,labo/ntes,λαμβάνω,verb,u(po\,ὑπό,preposition,filhdi/as,φιληδία,noun,to\n,ὁ,article,*larti/ou,Λάρτιος,proper,mimou/menoi,μιμέομαι,verb,tw=n,ὁ,article,o)/rxewn,ὄρχις,noun,kremw=men,κρεμάννυμι,verb,minqw/some/n,μινθόω,verb,q',τε,particle,w(/sper,ὥσπερ,adverb,tra/gou,τράγος,adjective,th\n,ὁ,article,r(i=na,ῥίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,*)ari/stullos,Ἀρίστυλλος,proper,u(poxa/skwn,ὑποχάσκω,verb,e)rei=s,ἐρέω,verb,e(/pesqe,ἕπομαι,verb,mhtri\,μήτηρ,noun,xoi=roi,χοῖρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ei)=a,εἶα,interjection,nu=n,νῦν,adverb,tw=n,ὁ,article,skwmma/twn,σκῶμμα,noun,a)pallage/ntes,ἀπαλλάσσω,verb,h)/dh,ἤδη,adverb,u(mei=s,σύ,pronoun,e)p',ἐπί,preposition,a)/ll',ἄλλος,adjective,ei)=dos,εἶδος,noun,tre/pesq',τρέπω,verb,e)gw\,ἐγώ,pronoun,d',δέ,particle,i)w\n,εἶμι,verb,h)/dh,ἤδη,adverb,la/qra|,λάθρῃ,adverb,boulh/somai,βούλομαι,verb,tou=,ὁ,article,despo/tou,δεσπότης,adjective,labw/n,λαμβάνω,verb,tin',τις,pronoun,a)/rton,ἄρτος,noun,kai\,καί,conjunction,kre/as,κρέας,noun,masw/menos,μασάομαι,verb,to\,ὁ,article,loipo\n,λοιπός,adjective,ou(/tw,οὕτως,adverb,tw=|,ὁ,article,ko/pw|,κόπος,noun,cunei=nai,σύνειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai/rein,χαίρω,verb,me\n,μέν,particle,u(ma=s,σύ,pronoun,e)stin,εἰμί,verb,w)=ndres,ἀνήρ,noun,dhmo/tai,δημότης,noun,a)rxai=on,ἀρχαῖος,adjective,h)/dh,ἤδη,adverb,prosagoreu/ein,προσαγορεύω,verb,kai\,καί,conjunction,sapro/n,σαπρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)spa/zomai,ἀσπάζομαι,verb,d',δέ,particle,o(tih\,ὁτιή,conjunction,proqu/mws,πρόθυμος,adjective,h(/kete,ἥκω,verb,kai\,καί,conjunction,suntetame/nws,συντεταμένως,adverb,kou),οὐ,adverb,kateblakeume/nws,κατεβλακευμένως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/pws,ὅπως,conjunction,de/,δέ,particle,moi,ἐγώ,pronoun,kai\,καί,conjunction,ta)/lla,ἄλλος,adjective,sumparasta/tai,συμπαραστάτης,adjective,e)/sesqe,εἰμί,verb,kai\,καί,conjunction,swth=res,σωτήρ,noun,o)/ntws,ὄντως,adverb,tou=,ὁ,article,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ble/pein,βλέπω,verb,ga\r,γάρ,particle,a)/ntikrus,ἄντικρυς,adverb,do/ceis,δοκέω,verb,m',ἐγώ,pronoun,*)/arh,Ἄρης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deino\n,δεινός,adjective,ga\r,γάρ,particle,ei),εἰ,conjunction,triwbo/lou,τριώβολον,noun,me\n,μέν,particle,ou(/neka,οὕνεκα,conjunction,w)stizo/mesq',ὠστίζομαι,verb,e(ka/stot',ἑκάστοτε,adverb,e)n,ἐν,preposition,th)kklhsi/a|,ἐκκλησία,noun,au)to\n,αὐτός,pronoun,de\,δέ,particle,to\n,ὁ,article,*plou=ton,Πλοῦτος,proper,parei/hn,πάρειμι,verb,tw|,τις,pronoun,labei=n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,o(rw=,ὁράω,verb,kai\,καί,conjunction,*bleyi/dhmon,Βλεψίδημος,proper,toutoni\,οὗτος,pronoun,prosio/nta,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=los,δῆλος,adjective,d',δέ,particle,e)sti\n,εἰμί,verb,o(/ti,ὅστις,pronoun,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,a)kh/koe/n,ἀκούω,verb,ti,τις,pronoun,th=|,ὁ,article,badi/sei,βάδισις,adjective,kai\,καί,conjunction,tw=|,ὁ,article,ta/xei,τάχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,a)\n,ἄν,particle,ou)=n,οὖν,particle,to\,ὁ,article,pra=gm',πρᾶγμα,noun,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/qen,πόθεν,adverb,kai\,καί,conjunction,ti/ni,τίς,pronoun,tro/pw|,τρόπος,noun,*xremu/los,Χρεμύλος,proper,peplou/thk',πλουτέω,verb,e)capi/nhs,ἐξαπίνης,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,pei/qomai,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,lo/gos,λόγος,noun,g',γε,particle,h)=n,εἰμί,verb,nh\,νή,preposition,to\n,ὁ,article,*(hrakle/a,Ἡράκλεα,proper,polu\s,πολύς,adjective,e)pi\,ἐπί,preposition,toi=si,ὁ,article,kourei/oisi,κουρεῖον,noun,tw=n,ὁ,article,kaqhme/nwn,κάθημαι,verb,w(s,ὡς,conjunction,e)capi/nhs,ἐξαπίνης,adverb,a)nh\r,ἀνήρ,noun,gege/nhtai,γίγνομαι,verb,plou/sios,πλούσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,de/,δέ,particle,moi,ἐγώ,pronoun,tou=t',οὗτος,pronoun,au)to\,αὐτός,pronoun,qauma/sion,θαυμάσιος,adjective,o(/pws,ὅπως,conjunction,xrhsto/n,χρηστός,adjective,ti,τις,pronoun,pra/ttwn,πράσσω,verb,tou\s,ὁ,article,fi/lous,φῖλος,noun,metape/mpetai,μεταπέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,e)pixw/rio/n,ἐπιχωρέω,verb,ge,γε,particle,pra=gm',πρᾶγμα,noun,e)rga/zetai,ἐργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\n,οὐδείς,pronoun,a)pokru/yas,ἀποκρύπτω,verb,e)rw=,ἐράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh\,νή,preposition,tou\s,ὁ,article,qeou\s,θεός,noun,w)=,ὦ,interjection,*bleyi/dhm',Βλεψίδημος,proper,a)/meinon,ἀμείνων,adjective,h)\,ἠέ,conjunction,xqe\s,χθές,adverb,pra/ttomen,πράσσω,verb,w(/ste,ὥστε,conjunction,mete/xein,μετέχω,verb,e)/cestin,ἔξεστι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=,εἶμι,verb,ga\r,γάρ,particle,tw=n,ὁ,article,fi/lwn,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/gonas,γίγνομαι,verb,d',δέ,particle,a)lhqw=s,ἀληθής,adjective,w(s,ὡς,conjunction,le/gousi,λέγω,verb,plou/sios,πλούσιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/somai,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,au)ti/ka,αὐτίκα,adverb,ma/l',μάλα,adverb,h)\n,ἐάν,conjunction,qeo\s,θεός,noun,qe/lh|,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ni,ἐν,preposition,ga/r,γάρ,particle,tis,τις,pronoun,e)/ni,ἐν,preposition,ki/ndunos,κίνδυνος,noun,e)n,ἐν,preposition,tw=|,ὁ,article,pra/gmati,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=o/s,ποῖος,adjective,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/g',λέγω,verb,a)nu/sas,ἀνύω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,fh/|s,φημί,verb,pote,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,me\n,μέν,particle,katorqw/swmen,κατορθόω,verb,eu)=,εὖ,adverb,pra/ttein,πράσσω,verb,a)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,sfalw=men,σφάλλω,verb,e)pitetri=fqai,ἐπιτρίβω,verb,to\,ὁ,article,para/pan,παράπαν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
touti\,οὗτος,pronoun,ponhro\n,πονηρός,adjective,fai/netai,φαίνω,verb,to\,ὁ,article,forti/on,φορτίον,noun,kai/,καί,conjunction,m',ἐγώ,pronoun,ou)k,οὐ,adverb,a)re/skei,ἀρέσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/,ὁ,article,te,τε,particle,ga\r,γάρ,particle,e)cai/fnhs,ἐξαίφνης,adverb,a)/gan,ἄγαν,adverb,ou(/tws,οὕτως,adverb,u(perploutei=n,ὑπερπλουτέω,verb,to/,ὁ,article,t',τε,particle,au)=,αὖ,interjection,dedoike/nai,δείδω,verb,pro\s,πρός,preposition,a)ndro\s,ἀνήρ,noun,ou)de\n,οὐδείς,pronoun,u(gie/s,ὑγιής,adverb,e)st',εἰμί,verb,ei)rgasme/nou,ἐργάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ou)de\n,οὐδείς,pronoun,u(gie/s,ὑγιής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/,εἰ,conjunction,ti,τις,pronoun,keklofw\s,κλέπτω,verb,nh\,νή,preposition,*di/a,Δίη,proper,e)kei=qen,ἐκεῖθεν,adverb,h(/keis,ἥκω,verb,a)rgu/rion,ἀργύριον,adjective,h)\,ἠέ,conjunction,xrusi/on,χρυσίον,noun,para\,παρά,preposition,tou=,ὁ,article,qeou=,θεός,noun,ka)/peit',ἔπειτα,adverb,i)/sws,ἴσως,adverb,soi,σύ,pronoun,metame/lei,μεταμέλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/apollon,Ἀπόλλων,proper,a)potro/paie,ἀποτρόπαιος,adjective,ma\,μά,particle,*di/',Δίη,proper,e)gw\,ἐγώ,pronoun,me\n,μέν,particle,ou)/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pau=sai,παύω,verb,fluarw=n,φλυαρέω,verb,w)=ga/q',ἄγαμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi=da,,,ga\r,γάρ,particle,safw=s,σαφής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,mhde\n,μηδείς,pronoun,ei)s,εἰς,preposition,e)/m',ἐγώ,pronoun,u(pono/ei,ὑπονοέω,verb,toioutoni/,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=,φεῦ,interjection,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,a)texnw=s,ἄτεχνος,adverb,u(gie/s,ὑγιής,adverb,e)stin,εἰμί,verb,ou)deno/s,οὐδείς,pronoun,a)ll',ἀλλά,adverb,ei)si\,εἰμί,verb,tou=,ὁ,article,ke/rdous,κέρδος,noun,a(/pantes,ἅπας,adjective,h(/ttones,ἥσσων,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/,οὐ,adverb,toi,τοι,particle,ma\,μά,particle,th\n,ὁ,article,*dh/mhtr',Δημήτηρ,proper,u(giai/nein,ὑγιαίνω,verb,moi,ἐγώ,pronoun,dokei=s,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,polu\,πολύς,adjective,meqe/sthx',μεθίστημι,verb,w(=n,ὅς,pronoun,pro/teron,πρότερος,adjective,ei)=xen,ἔχω,verb,tro/pwn,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melagxola=|s,μελαγχολάω,verb,w)=nqrwpe,ἄνθρωπος,noun,nh\,νή,preposition,to\n,ὁ,article,ou)rano/n,οὐρανός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)de\,οὐδέ,particle,to\,ὁ,article,ble/mm',βλέμμα,noun,au)to\,αὐτός,pronoun,kata\,κατά,preposition,xw/ran,χώρα,noun,e)/xei,ἔχω,verb,a)ll',ἀλλά,adverb,e)sti\n,εἰμί,verb,e)pi/dhlo/n,ἐπίδηλος,adjective,ti,τις,pronoun,pepanourghko/ti,πανουργέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
