word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
tou/tois,οὗτος,pronoun,e)a/n,ἐάν,conjunction,tis,τις,pronoun,du/o,δύο,adjective,draxma\s,δραχμή,noun,misqo\n,μισθός,noun,didw=|,δίδωμι,verb,katapelta/sontai,καταπελτάζω,verb,th\n,ὁ,article,*boiwti/an,Βοιώτιος,proper,o(/lhn,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toisdi\,ὅδε,pronoun,du/o,δύο,adjective,draxma\s,δραχμή,noun,toi=s,ὁ,article,a)peywlhme/nois,ἀποψωλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(poste/noi,ὑποστένω,verb,me/nta)\n,,,o(,ὁ,article,qrani/ths,θρανίτης,adjective,lew\s,λαός,noun,o(,ὁ,article,swsi/polis,σωσίπολις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/moi,οἴμοι,interjection,ta/las,τάλας,adjective,a)po/llumai,ἀπόλλυμι,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,*)odoma/ntwn,Ὀδόμαντοι,proper,ta\,ὁ,article,sko/roda,σκόροδον,noun,porqou/menos,πορθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,katabalei=te,καταβάλλω,verb,ta\,ὁ,article,sko/rod',σκόροδον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,mo/xqhre,μοχθηρός,adjective,su\,σύ,pronoun,ou),οὐ,adverb,mh\,μή,conjunction,pro/sei,πρόσειμι,verb,tou/toisin,οὗτος,pronoun,e)skorodisme/nois,σκοροδίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tauti\,οὗτος,pronoun,periei/deq',περίοιδα,verb,oi(,ὁ,article,pruta/neis,πρύτανις,adjective,pa/sxonta/,πάσχω,verb,me,ἐγώ,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,patri/di,πατρίς,adjective,kai\,καί,conjunction,tau=q',οὗτος,pronoun,u(p',ὑπό,preposition,a)ndrw=n,ἀνήρ,noun,barba/rwn,βάρβαρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)pagoreu/w,ἀπαγορεύω,verb,mh\,μή,conjunction,poiei=n,ποιέω,verb,e)kklhsi/an,ἐκκλησία,noun,toi=s,ὁ,article,*qra|ci\,Θράκιος,proper,peri\,περί,preposition,misqou=,μισθός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gw,λέγω,verb,d',δέ,particle,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,dioshmi/a,Διοσημία,proper,'sti\,εἰμί,verb,kai\,καί,conjunction,r(ani\s,ῥανίς,noun,be/blhke/,βάλλω,verb,me,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,*qra=|kas,Θράκιος,proper,a)pie/nai,ἄπειμι,verb,parei=nai,πάρειμι,verb,d',δέ,particle,ei)s,εἰς,preposition,e)/nhn,ἔνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,ga\r,γάρ,particle,pruta/neis,πρύτανις,adjective,lu/ousi,λύω,verb,th\n,ὁ,article,e)kklhsi/an,ἐκκλησία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/moi,οἴμοι,interjection,ta/las,τάλας,adjective,muttwto\n,μυττωτός,noun,o(/son,ὅσος,adjective,a)pw/lesa,ἀπόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)k,ἐκ,preposition,*lakedai/monos,Λακεδαίμων,proper,ga\r,γάρ,particle,*)amfi/qeos,Ἀμφίθεος,proper,o(di/,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xai=r',χαίρω,verb,*)amfi/qee,Ἀμφίθεος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/pw,μήπω,adverb,ge,γε,particle,pri/n,πρίν,adverb,g',γε,particle,a)\n,ἄν,particle,stw=,ἵστημι,verb,tre/xwn,τρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,ga/r,γάρ,particle,me,ἐγώ,pronoun,feu/gont',φεύγω,verb,e)kfugei=n,ἐκφεύγω,verb,*)axarne/as,Ἀχαρνεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,d',δέ,particle,e)/st',εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,deu=ro/,δεῦρο,adverb,soi,σύ,pronoun,sponda\s,σπονδή,noun,fe/rwn,φέρω,verb,e)/speudon,σπεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,w)/sfronto,ὀσφραίνομαι,verb,presbu=tai/,πρεσβύτης,noun,tines,τις,pronoun,*)axarnikoi/,Ἀχαρνικός,adjective,stiptoi\,στιπτός,adjective,ge/rontes,γέρων,noun,pri/ninoi,πρίνινος,adjective,a)tera/mones,ἀτέραμνος,adjective,*maraqwnoma/xai,Μαραθωνομάχης,proper,sfenda/mninoi,σφενδάμνινος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peit',ἔπειτα,adverb,a)ne/kragon,ἀνακράζω,verb,pa/ntes,πᾶς,adjective,w)=,ὦ,interjection,miarw/tate,μιαρός,adjective,sponda\s,σπονδή,noun,fe/reis,φέρω,verb,tw=n,ὁ,article,a)mpe/lwn,ἄμπελος,noun,tetmhme/nwn,τέμνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)s,εἰς,preposition,tou\s,ὁ,article,tri/bwnas,τρίβων,noun,cunele/gonto,συλλέγω,verb,tw=n,ὁ,article,li/qwn,λίθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,e)/feugon,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,e)di/wkon,διώκω,verb,ka)bo/wn,ἀβάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,ou)=n,οὖν,particle,bow/ntwn,βάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ta\s,ὁ,article,sponda\s,σπονδή,noun,fe/reis,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/gwge/,ἐγώ,pronoun,fhmi,φημί,verb,tri/a,τρεῖς,noun,ge,γε,particle,tauti\,οὗτος,pronoun,geu/mata,γεῦμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au(=tai,οὗτος,pronoun,me/n,μέν,particle,ei)si,εἰμί,verb,pente/teis,πεντέτης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geu=sai,γεύω,verb,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,e)/stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)re/skousi/n,ἀρέσκω,verb,m',ἐγώ,pronoun,o(/ti,ὅστις,pronoun,o)/zousi,ὄζω,verb,pi/tths,πίσσα,noun,kai\,καί,conjunction,paraskeuh=s,παρασκευή,noun,new=n,ναός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,a)lla\,ἀλλά,adverb,tasdi\,ὅδε,pronoun,ta\s,ὁ,article,deke/teis,δεκέτης,noun,geu=sai,γεύω,verb,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/zousi,ὄζω,verb,xau)=tai,οὗτος,pronoun,pre/sbewn,πρέσβις,noun,e)s,εἰς,preposition,ta\s,ὁ,article,po/leis,πόλις,adjective,o)cu/taton,ὀξύς,adjective,w(/sper,ὥσπερ,adverb,diatribh=s,διατριβή,noun,tw=n,ὁ,article,cumma/xwn,σύμμαχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,au(taii\,οὗτος,pronoun,spondai\,σπονδή,noun,triakontou/tides,τριακονταετής,adjective,kata\,κατά,preposition,gh=n,γῆ,noun,te,τε,particle,kai\,καί,conjunction,qa/lattan,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*dionu/sia,Διονύσια,proper,au(=tai,οὗτος,pronoun,me\n,μέν,particle,o)/zous',ὄζω,verb,a)mbrosi/as,ἀμβροσία,noun,kai\,καί,conjunction,ne/ktaros,νέκταρ,noun,kai\,καί,conjunction,mh\,μή,conjunction,'pithrei=n,ἐπιτηρέω,verb,siti/',σιτίον,noun,h(merw=n,ἡμέρα,noun,triw=n,τρεῖς,noun,ka)n,ἐν,preposition,tw=|,ὁ,article,sto/mati,στόμα,noun,le/gousi,λέγω,verb,bai=n',βαίνω,verb,o(/ph|,ὅπη,adverb,qe/leis,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau/tas,οὗτος,pronoun,de/xomai,δέχομαι,verb,kai\,καί,conjunction,spe/ndomai,σπένδω,verb,ka)kpi/omai,ἐκπίνω,verb,xai/rein,χαίρω,verb,keleu/wn,κελεύω,verb,polla\,πολύς,adjective,tou\s,ὁ,article,*)axarne/as,Ἀχαρνεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,pole/mou,πόλεμος,noun,kai\,καί,conjunction,kakw=n,κακός,adjective,a)pallagei\s,ἀπαλλάσσω,verb,a)/cw,ἄγνυμι,verb,ta\,ὁ,article,kat',κατά,preposition,a)grou\s,ἀγρός,noun,ei)siw\n,εἴσειμι,verb,*dionu/sia,Διονύσια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,feucou=mai/,φεύγω,verb,ge,γε,particle,tou\s,ὁ,article,*)axarne/as,Ἀχαρνεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|de,ὅδε,pronoun,pa=s,πᾶς,adjective,e(/pou,ἕπομαι,verb,di/wke,διώκω,verb,kai\,καί,conjunction,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,punqa/nou,πυνθάνομαι,verb,tw=n,ὁ,article,o(doipo/rwn,ὁδοίπορος,noun,a(pa/ntwn,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,po/lei,πόλις,adjective,ga\r,γάρ,particle,a)/cion,ἄξιος,adjective,cullabei=n,συλλαμβάνω,verb,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,tou=ton,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla/,ἀλλά,adverb,moi,ἐγώ,pronoun,mhnu/sate,μηνύω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,oi)=d',οἶδα,verb,o(/poi,ὅποι,adverb,te/traptai,τρέπω,verb,gh=s,γῆ,noun,o(,ὁ,article,ta\s,ὁ,article,sponda\s,σπονδή,noun,fe/rwn,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kpe/feug',ἐκφεύγω,verb,oi)/xetai,οἴχομαι,verb,frou=dos,φροῦδος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/moi,οἴμοι,interjection,ta/las,τάλας,adjective,tw=n,ὁ,article,e)tw=n,ἔται,noun,tw=n,ὁ,article,e)mw=n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)\n,ἄν,particle,e)p',ἐπί,preposition,e)mh=s,ἐμός,adjective,ge,γε,particle,neo/thtos,νεότης,noun,o(/t',ὅτε,conjunction,e)gw\,ἐγώ,pronoun,fe/rwn,φέρω,verb,a)nqra/kwn,ἄνθραξ,noun,forti/on,φορτίον,noun,h)kolou/qoun,ἀκολουθέω,verb,*fau/+llw|,Φάϋλλος,proper,tre/xwn,τρέχω,verb,w(=de,ὧδε,adverb,fau/lws,φαῦλος,adjective,a)\n,ἄν,particle,o(,ὁ,article,spondofo/ros,σπονδοφόρος,noun,ou(=tos,οὗτος,pronoun,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,to/te,τότε,adverb,diwko/menos,διώκω,verb,e)ce/fugen,ἐκφεύγω,verb,ou)d',οὐδέ,particle,a)\n,ἄν,particle,e)lafrw=s,ἐλαφρός,adjective,a)\n,ἄν,particle,a)pepli/cato,ἀποπλίσσομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,e)peidh\,ἐπεί,conjunction,sterro\n,στερρός,adjective,h)/dh,ἤδη,adverb,tou)mo\n,ἐμός,adjective,a)ntiknh/mion,ἀντικνήμιον,noun,kai\,καί,conjunction,palaiw=|,παλαιός,adjective,*lakratei/dh|,Λακρατείδης,proper,to\,ὁ,article,ske/los,σκέλος,noun,baru/netai,βαρύνω,verb,oi)/xetai,οἴχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diwkte/os,διωκτέος,adjective,de/,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
