word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
tau=ta,οὗτος,pronoun,de\,δέ,particle,e)pi/desis,ἐπίδεσις,noun,kaka\,κακός,adjective,poie/ei,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/hsis,,,a)lh/tw|,ἄλητον,noun,cu\n,σύν,preposition,ma/nnh|,μάννα,noun,h)\,ἠέ,conjunction,qei/w|,θεῖος,noun,cu\n,σύν,preposition,khrwth=|,κηρωτή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ti/ka,αὐτίκα,adverb,a)napla/seis,ἀνάπλασις,noun,e)/peita,ἔπειτα,adverb,a)nakwxh/seis,ἀνακωχέω,verb,toi=si,ὁ,article,daktu/loisin,δάκτυλος,noun,e)smatteuo/menos,,,kai\,καί,conjunction,parastre/fwn,παραστρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,karxhdo/nion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pwroi=to,πωρέω,verb,a)\n,ἄν,particle,kai\,καί,conjunction,h)\n,ἐάν,conjunction,e(/lkos,ἕλκος,noun,e)nh=|,ἐνίημι,verb,kai\,καί,conjunction,h)\n,ἐάν,conjunction,o)ste/a,ὀστέον,noun,a)pie/nai,ἄπειμι,verb,me/llh|ou),,,ga\r,γάρ,particle,paligkotw/tata),παλίγκοτος,adjective,ou(/tw,οὕτως,adverb,poihte/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ποιητέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)=s,οὖς,noun,kateage\n,κατάγνυμι,verb,mh\,μή,conjunction,e)pidei=n,ἐπεῖδον,verb,mhde\,μηδέ,particle,katapla/ssein,καταπλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de/,δέ,particle,ti,τις,pronoun,de/h|,δέομαι,verb,w(s,ὡς,conjunction,koufo/taton,κοῦφος,adjective,h(,ὁ,article,khrwth/,κηρωτή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,qei/w|,θεῖος,noun,katakolla=|n,κατακολλάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,de\,δέ,particle,e)/mpua,ἔμπυος,adjective,ta\,ὁ,article,w)=ta,οὖς,noun,dia\,διά,preposition,paxe/os,παχύς,adjective,eu(ri/sketai,εὑρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nta,πᾶς,adjective,de\,δέ,particle,ta\,ὁ,article,u(po/muca,ὑπόμυξος,adjective,kai\,καί,conjunction,th=|,ὁ,article,u(grh=|,ὑγρός,adjective,sarki\,σαρκίς,noun,plh/rea,πλήρης,adverb,e)capata=|,ἐξαπατάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\,μή,conjunction,bla/bh,βλάβος,noun,ge/nhtai,γίγνομαι,verb,stomwqe\n,στομόω,verb,to\,ὁ,article,toiou=ton,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)sti\,εἰμί,verb,ga\r,γάρ,particle,a)/sarka,ἄσαρκος,adjective,kai\,καί,conjunction,u(datw/dea,ὑδατώδης,adverb,mu/chs,μύξα,noun,ple/a,πλέος,adjective,o(/pou,ὅπου,adverb,de\,δέ,particle,kai\,καί,conjunction,oi(=a,οἷος,adjective,e)o/nta,εἰμί,verb,qanatw/dea/,θανατώδης,adjective,e)sti,εἰμί,verb,pareqe/nta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παρίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/twn,ἄατος,adjective,kau=sis,καῦσις,noun,pe/rhn,πέραν,adverb,ta/xista,τάχιστος,adjective,u(gia/zei,ὑγιάζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kullo\n,κυλλός,adjective,de\,δέ,particle,kai\,καί,conjunction,mei=on,μείων,adverb,gi/netai,γίγνομαι,verb,to\,ὁ,article,ou)=s,οὖς,noun,h)\n,ἐάν,conjunction,pe/rhn,πέραν,adverb,kauqh=|,καίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,stomwqh=|,στομόω,verb,kou/fw|,κοῦφος,adjective,e)nai/mw|,ἔναιμος,adjective,deh/sei,δέησις,noun,xrh=sqai,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gna/qoi,γνάθος,adjective,de\,δέ,particle,kataspw=ntai,κατασπάω,verb,me\n,μέν,particle,polla/kis,πολλάκις,adverb,kai\,καί,conjunction,kaqi/stantai,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kpi/ptousi,ἐκπίτνω,verb,de\,δέ,particle,o)liga/kis,ὀλιγάκις,adverb,ma/lista,μάλιστα,adverb,me\n,μέν,particle,xasmwme/noisin,χασμάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)kpi/ptei,ἐκπίτνω,verb,h)\n,ἐάν,conjunction,mh/,μή,conjunction,tis,τις,pronoun,xanw\n,χάσκω,verb,me/ga,μέγας,adverb,parana/gh|,παρανάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kpi/ptei,ἐκπίτνω,verb,de\,δέ,particle,ma=llon,μᾶλλον,adverb,o(/ti,ὅστις,pronoun,ta\,ὁ,article,neu=ra,νεῦρον,noun,e)n,ἐν,preposition,plagi/w|,πλάγιον,noun,kai\,καί,conjunction,lelugisme/na,λυγίζομαι,verb,sundidoi=,συνδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proe/xei,προέχω,verb,h(,ὁ,article,ka/tw,κάτος,adjective,gna/qos,γνάθος,adjective,kai\,καί,conjunction,pare/straptai,παραστρέφω,verb,ta)nanti/a,ἐναντίος,adjective,tou=,ὁ,article,e)kptw/matos,ἔκπτωμα,noun,cumba/llein,συμβάλλω,verb,ou),οὐ,adverb,du/nantai,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,d',δέ,particle,a)mfo/terai,ἀμφότερος,adjective,proi/+sxousi,προίσχω,verb,ma=llon,μᾶλλον,adverb,sumba/llousin,συμβάλλω,verb,h(=sson,ἥσσων,adverb,a)strabe/es,ἀστραβής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhloi=,δηλόω,verb,de\,δέ,particle,ta\,ὁ,article,o(/ria,ὅριον,noun,tw=n,ὁ,article,o)do/ntwn,ὀδούς,noun,ta\,ὁ,article,a)/nw,ἄνω,adverb,toi=si,ὁ,article,ka/tw,κάτος,adjective,kat',κατά,preposition,i)/cin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ou)=n,οὖν,particle,a)mfo/terai,ἀμφότερος,adjective,e)kpesou=sai,ἐκπίτνω,verb,mh\,μή,conjunction,au)ti/ka,αὐτίκα,adverb,e)mpe/swsi,ἐμπίτνω,verb,qnh/skousi,θνήσκω,verb,dekatai=oi,δεκαταῖος,adjective,ou(=toi,οὗτος,pronoun,ma/lista,μάλιστα,adverb,puretw=|,πυρετός,noun,cunexe/i+,συνεχής,adverb,nwqrh=|,νωθρός,adjective,te,karw/sei,κάρωσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,ga\r,γάρ,particle,mu/es,μῦς,noun,ou(=toi,οὗτος,pronoun,toiou=toi,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasth\r,γαστήρ,noun,e)pitara/ssetai,ἐπιταράσσω,verb,o)li/ga,ὀλίγος,adjective,a)/krhta,ἄκρατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h)\n,ἐάν,conjunction,e)me/wsi,ἐμέω,verb,toiau=ta,τοιοῦτος,adjective,e)me/ousin,ἐμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e(te/rh,ἕτερος,adjective,a)sineste/rh,ἀσινής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)mbolh\,ἐμβολή,noun,de\,δέ,particle,h(,ὁ,article,au)th\,αὐτός,pronoun,a)mfote/rwn,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katakeime/nou,κατάκειμαι,verb,h)\,ἠέ,conjunction,kaqhme/nou,κάθημαι,verb,tou=,ὁ,article,a)nqrw/pou,ἄνθρωπος,noun,th=s,ὁ,article,kefalh=s,κεφαλή,noun,e)xo/menon,ἔχω,verb,perilabo/nta,περιλάω,verb,ta\s,ὁ,article,gna/qous,γνάθος,adjective,a)mfote/ras,ἀμφότερος,adjective,a)mfote/rh|si,ἀμφότερος,adjective,xersi\n,χείρ,noun,e)/swqen,kai\,καί,conjunction,e)/cwqen,ἔξωθεν,adverb,tri/a,τρεῖς,noun,a(/ma,ἅμα,adverb,poih=sai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,ἔσωθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=sai,ὠθέω,verb,e)s,εἰς,preposition,o)rqo\n,ὀρθός,adjective,kai\,καί,conjunction,e)s,εἰς,preposition,tou)pi/sw,ἔπισος,adjective,kai\,καί,conjunction,susxei=n,συνόχωκα,verb,to\,ὁ,article,sto/ma,στόμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/hsis,,,mala/gmasi,μάλαγμα,adjective,kai\,καί,conjunction,sxh/masi,σχῆμα,noun,kai\,καί,conjunction,a)nalh/yei,ἀναλαμβάνω,verb,genei/ou,γένειον,noun,poiou=si,ποιέω,verb,ta,,,ta\,ὁ,article,th=|,ὁ,article,e)mbolh=|,ἐμβολεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=mos,ὦμος,noun,de\,δέ,particle,e)kpi/ptei,ἐκπίτνω,verb,ka/tw,κάτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llh|,ἄλλῃ,adverb,de\,δέ,particle,ou)/pw,οὔπω,adverb,h)/kousa,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doke/ei,δοκέω,verb,me\n,μέν,particle,ga\r,γάρ,particle,e)s,εἰς,preposition,tou)/mprosqen,ἔμπροσθεν,adverb,e)kpi/ptein,ἐκπίτνω,verb,w(=n,ὅς,pronoun,ai(,ὁ,article,sa/rkes,σάρξ,adjective,ai(,ὁ,article,peri\,περί,preposition,to\,ὁ,article,a)/rqron,ἄρθρον,noun,meminuqh/kasi,μινυθέω,verb,dia\,th\n,ὁ,article,fqi/sin,φθίσις,noun,oi(=on,οἷος,adjective,kai\,καί,conjunction,toi=si,ὁ,article,bousi\,βοῦς,noun,xeimw=nos,χειμών,noun,fai/netai,φαίνω,verb,dia\,διά,preposition,lepto/thta,λεπτότης,noun,,,,,,,,διά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)kpi/ptei,ἐκπίτνω,verb,ma=llon,μᾶλλον,adverb,toi=si,ὁ,article,de\,δέ,particle,leptoi=sin,λεπτόν,noun,h)\,ἠέ,conjunction,i)sxnoi=si,ἰσχνός,adjective,h)\,ἠέ,conjunction,chroi=si,ξηρός,adjective,kai\,καί,conjunction,toi=sin,ὁ,article,u(gra/smata,ὕγρασμα,noun,peri\,περί,preposition,ta\,a)/rqra,ἄρθρον,noun,e)/xousin,ἔχω,verb,a)/neu,ἄνευ,preposition,flegmonh=s,φλεγμονή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)th\,αὐτός,pronoun,ga\r,γάρ,particle,sundei=,συνδέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,kai\,καί,conjunction,bousi\n,βοῦς,noun,e)mba/llontes,ἐμβάλλω,verb,kai\,καί,conjunction,a)poperonw=ntes,ἀποπερονάω,verb,e)camarta/nousi,ἐξαμαρτάνω,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,dia\,διά,preposition,th\n,ὁ,article,xrh=sin,χρῆσις,noun,w(s,ὡς,conjunction,xrh=tai,bou=s,βοῦς,noun,ske/lei+,σκέλος,noun,lh/qei,λανθάνω,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,koino\n,κοινός,adjective,kai\,καί,conjunction,a)nqrw/pw|,ἄνθρωπος,noun,ou(/tws,οὕτως,adverb,e)/xonti,ἔχω,verb,to\,ὁ,article,sxh=ma,tou=to,οὗτος,pronoun,χράομαι,verb,σχῆμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/,ὁ,article,te,τε,particle,*(omh/reion,Ὁμήρειον,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dio/ti,διότι,conjunction,lepto/tatoi,λεπτός,adjective,bo/es,βοῦς,noun,thnikau=ta,τηνικαῦτα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/sa,ὅσος,adjective,te,τε,particle,to\n,ὁ,article,ph=xun,πῆχυς,noun,pla/gion,πλάγιον,noun,a)po\,ἀπό,preposition,pleure/wn,πλευρά,noun,a)/rantes,αἴρω,verb,drw=sin,δράω,verb,ou),οὐ,adverb,pa/nu,πάνυ,adverb,du/nantai,δύναμαι,verb,dra=|n,δράω,verb,oi(=sin,ὅς,pronoun,a)\n,mh\,μή,conjunction,e)mpe/sh|,ἐμπίτνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=si,ὅς,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,e)kpi/ptei,ἐκπίτνω,verb,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,w(s,ὡς,conjunction,e)/xousin,ἔχω,verb,ei)/rhtai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=si,ὅς,pronoun,de\,δέ,particle,e)k,ἐκ,preposition,geneh=s,γενεά,noun,ta\,ὁ,article,e)ggu/tata,ἐγγύς,adverb,ma=llon,μᾶλλον,adverb,braxu/netai,βραχύνω,verb,o)ste/a,ὀστέον,noun,oi(=on,οἷος,adjective,e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,oi(,ὁ,article,galia/gkwnes,γαλιάγκων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ph=xus,πῆχυς,noun,de\,δέ,particle,h(=sson,ἥσσων,adverb,xei\r,χείρ,noun,de\,δέ,particle,e)/ti,ἔτι,adverb,h(=sson,ἥσσων,adverb,ta\,ὁ,article,d',δέ,particle,a)/nwqen,ἄνωθεν,adverb,ou)de/n,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)sarko/tata,ἄσαρκος,adjective,e)ggu/s,ἐγγύς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minu/qei,μινύθω,verb,de\,δέ,particle,ma/lista,μάλιστα,adverb,ta\,ὁ,article,e)nanti/a,ἐναντίος,adjective,tw=n,ὁ,article,o)lisqhma/twn,ὀλίσθημα,noun,kai\,καί,conjunction,ta\,ὁ,article,e)n,ἐν,preposition,au)ch/sei,αὔξησις,noun,h(=sson,ἥσσων,adverb,de/,δέ,particle,tini,τις,pronoun,tw=n,e)k,ἐκ,preposition,geneh=s,γενεά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,ὁ,article,parapuh/mata,παραπύημα,noun,ta\,ὁ,article,kat',κατά,preposition,a)/rqron,ἄρθρον,noun,baqe/a,βαθύς,adjective,neogene/si,νεογενής,adjective,ma/lista,μάλιστα,adverb,par',παρά,preposition,w)=mon,ὦμος,noun,gi/netai,γίγνομαι,verb,kai\,καί,conjunction,toute/oisin,,,w(/sper,ta\,ὁ,article,e)carqrh/santa,ἐξαρθρέω,verb,poie/ei,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὥσπερ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,hu)chme/noisi,αὐξάνω,verb,ta\,ὁ,article,me\n,μέν,particle,o)ste/a,ὀστέον,noun,ou),οὐ,adverb,meiou=tai,μειόω,verb,ou)de\,οὐδέ,particle,ga\r,γάρ,particle,e)/xei,ἔχω,verb,h(=|,ὅς,pronoun,a)/lla,ἄλλος,adjective,ou),οὐ,adverb,cunau/cetai,o(moi/ws,ὅμοιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συναυξάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,δέ,particle,minuqh/sies,μινύθησις,noun,tw=n,ὁ,article,sarkw=n,σάρξ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,ga\r,γάρ,particle,kaq',κατά,preposition,h(me/rhn,ἡμέρα,noun,kai\,καί,conjunction,au)/cetai,αὐξάνω,verb,kai\,καί,conjunction,meiou=tai,μειόω,verb,kai\,καί,conjunction,kaq',κατά,preposition,h(liki/as,ἡλικία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
