word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS
h)\n,ἐάν,conjunction,de\,δέ,particle,h(,ὁ,article,me\n,μέν,particle,me/llh|,μέλλω,verb,to\,ὁ,article,de\,δέ,particle,pa/qos,au)/ch|,αὐξάνω,verb,πάθος,adjective,e)pi\,ἐπί,preposition,me\n,μέν,particle,th=|si,ὁ,article,a)/llh|si,ἄλλος,adjective,e)pisxe/sesi,ἐπίσχεσις,noun,th=|si,ὁ,article,dia\,*rino\s,,,h)\,ἠέ,conjunction,i(drw/twn,ἱδρόω,verb,fle/ba,φλέψ,noun,διά,preposition,ta/mnein,τέμνω,verb,th\n,ὁ,article,e)p',ἐπί,preposition,a)gkw=ni,ἀγκών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,d',δέ,particle,e)pi\,ἐπί,preposition,h(/pati,ἧπαρ,noun,plhmmu/ronti,,,h)\,ἠέ,conjunction,splhni\,σπλήν,noun,h)/,tini,τις,pronoun,ἠέ,conjunction,tw=n,ὁ,article,e)n,ἐν,preposition,toi=si,ὁ,article,me/soisi,μέσος,adjective,spla/gxnwn,σπλάγχνον,noun,a)rh=gon,ἀρήγω,verb,h(,siku/h,σικύα,noun,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh\,χρή,verb,de\,δέ,particle,o(ko/son,ὁπόσος,adjective,a)\n,ἄν,particle,e)k,ἐκ,preposition,flebo\s,φλέψ,noun,pollo\n,πολύς,adjective,e)kre/h|,toso/nde,τοσόσδε,adjective,ἐκρέω,verb,e)k,ἐκ,preposition,tw=nde,ὅδε,pronoun,a)faire/ein,ἀφαιρέω,verb,ai(=ma,αἷμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/de,ὅδε,pronoun,ga\r,γάρ,particle,th=s,ὁ,article,profa/sios,πρόφασις,noun,h(,ὁ,article,trofh\,τροφή,noun,w(/sper,ὥσπερ,adverb,dh\,kai\,καί,conjunction,δή,particle,gasth/r,γαστήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tw=|de,ὅδε,pronoun,ta\,ὁ,article,th=s,ὁ,article,kefalh=s,κεφαλή,noun,a)/kea,ἄκος,noun,cuna/ptein,fle/ba,φλέψ,noun,συνάπτω,verb,th\n,ὁ,article,e)pi\,ἐπί,preposition,tw=|,ὁ,article,metw/pw|,μέτωπον,noun,o)rqh\n,ὀρθός,adjective,ta/mnonta,τέμνω,verb,h)\,ta\s,ὁ,article,e(kate/rwqen,ἑκατέρωθεν,adverb,th=s,ὁ,article,*rino\s,,,ἠέ,conjunction,pro\s,πρός,preposition,toi=si,ὁ,article,kanqoi=si,κανθός,noun,siku/hn,σικύα,noun,th=|,ὁ,article,korufh=|,κορυφή,noun,prosba/llein,προσδαίω,verb,e)kko/ptein,ἐκκόπτω,verb,ta\s,ὁ,article,a)rthri/as,ἀρτηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curei=n,ξυράω,verb,th\n,ὁ,article,kefalh\n,κεφαλή,noun,foini/ssein,φοινίσσω,verb,fle/gma,φλέγμα,noun,a)/gein,ἄγω,verb,dia\,διά,preposition,*rinw=n,ptarmikoi=si,πταρμικός,adjective,,,h)\,ἠέ,conjunction,dia\,διά,preposition,sto/matos,στόμα,noun,o(/kws,ὅπως,conjunction,e)/leca,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/panta,ἅπας,adjective,prh/ssein,πράσσω,verb,e)n,ἐν,preposition,ko/smw|,κόσμος,noun,tw=|,ὁ,article,e)pi\,ἐπί,preposition,th=|,ὁ,article,kefalai/h|,ei)rhme/nw|,ἐρῶ,verb,κεφάλαιος,adjective,plh\n,πλήν,preposition,o(ko/son,ὁπόσος,adjective,kuklami/nou,κυκλάμινος,noun,xulo\s,χυλός,noun,h)\,ἠέ,conjunction,a)nagalli/dos,ἀναγαλλίς,noun,e)gxuto\s,ei)s,εἰς,preposition,th\n,ὁ,article,*ri=na,,,e)/xei,ἔχω,verb,,,th\n,ὁ,article,pro/sqesin,πρόσθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ph\n,ἐπήν,conjunction,de\,δέ,particle,tw=n,ὁ,article,a)mfi\,ἀμφί,preposition,th\n,ὁ,article,kefalh\n,κεφαλή,noun,a)ke/wn,ἀκέων,adjective,i(/kgh|,e)s,εἰς,preposition,,,te/los,τέλος,noun,o(kosa,,,biaio/tera,βίαιος,adjective,e)s,εἰς,preposition,tou\s,ὁ,article,skotw/deas,σκοτώδης,adjective,ta/de,xrh\,χρή,verb,prh/ssein,πράσσω,verb,e)me/toisi,ἔμετος,noun,toi=si,ὁ,article,ὅδε,pronoun,a)po\,ἀπό,preposition,dei/pnou,δεῖπνον,noun,h)de\,ἠδέ,conjunction,toi=si,τίς,pronoun,a)po\,ἀπό,preposition,*rafani/dwn,,,xre/esqai,χράομαι,verb,to\,ὁ,article,e)k,ἐκ,preposition,tou=de,ὅδε,pronoun,de/on,δέω,verb,e)sti\,εἰμί,verb,a)ta\r,ἀτάρ,particle,h)de\,ἠδέ,conjunction,e)s,εἰς,preposition,e)llebo/rou,ἑλλέβορος,noun,paraskeuh/n,παρασκευή,noun,mele/th|si,μελέτη,noun,ga\r,γάρ,particle,xrh\,χρή,verb,tou=,ὁ,article,stoma/xou,στόμαχος,noun,e)me/ein,ἐμέω,verb,e)pi\,ἐπί,preposition,toi=si,ὁ,article,deinote/roisi,δεινός,adjective,e)methri/oisi,ἐμετήριος,adjective,,,,,,
a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,to\,ὁ,article,fle/gma,φλέγμα,noun,lepto/teron,λεπτός,adjective,nu=n,νῦν,adverb,gi/gnetai,γίγνομαι,verb,kai\,e)s,εἰς,preposition,καί,conjunction,to\n,ὁ,article,e)lle/boron,ἑλλέβορος,noun,eu)/xuton,εὔχυτος,adjective,e)llebo/rou,ἑλλέβορος,noun,de\,δέ,particle,do/sies,δόσις,noun,pleu=nes,toi=si,τίς,pronoun,me\n,μέν,particle,i)sxurote/roisi,ἰσχυρός,adjective,o)re/cai,ὀρέγω,verb,πλείων,verb,e)s,εἰς,preposition,me/geqos,μέγεθος,adjective,shsa/mou,σήσαμον,noun,h)\,ἠέ,conjunction,o)li/gon,ὀλίγος,adjective,a(dro/teron,ἁδρός,adjective,tetmhme/non,τέμνω,verb,cu\n,σύν,preposition,xo/ndrw|,χόνδρος,noun,te,τε,particle,plutw=|,πλυτός,adjective,h)\,ἠέ,conjunction,fakw=|,φακός,noun,h(,ὁ,article,do/sis,δόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staqmo\s,σταθμός,noun,de\,δέ,particle,o(lkh=s,ὁλκή,noun,draxmai\,δραχμή,noun,du/o,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tw=n,ὁ,article,a)sqeneste/rwn,ἀσθενής,adjective,kai\,καί,conjunction,i)sxnote/rwn,ἰσχνός,adjective,to\,ὁ,article,e(/yhma,cu\n,σύν,preposition,ἕψημα,noun,me/liti,μέλι,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/tron,μέτρον,noun,musti/lai,μυστίλη,noun,du/o,δύο,adjective,h)\,ἠέ,conjunction,trei=s,τρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=sde,ὅδε,pronoun,poih/sios,ποίησις,noun,o(,ὁ,article,tro/pos,τρόπος,noun,a)/llh|,ἄλλος,adjective,ph,πη,particle,lele/cetai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meshgu\,μεσηγύ,adverb,de\,δέ,particle,e(ka/stou,ἕκαστος,adjective,a)/keos,ἄκος,noun,u(panatre/fein,,,to\n,ὁ,article,nose/onta,νοσέω,verb,e)s,th\n,ὁ,article,εἰς,preposition,tw=n,ὁ,article,me/swn,μέσος,adjective,u(pomonh/n,ὑπομονή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rh/gein,ἀρήγω,verb,de\,δέ,particle,kai\,καί,conjunction,e)pi\,ἐπί,preposition,toi=si,ὁ,article,parocusmoi=si,παροξυσμός,noun,w(=de,ὧδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diade/ein,διαδέω,verb,me\n,μέν,particle,ta\,ὁ,article,ske/lea,σκέλος,noun,u(pe\r,ὑπέρ,preposition,sfura\,σφυρόν,noun,kai\,καί,conjunction,gou/nata,kai\,καί,conjunction,γόνυ,noun,xeiro\s,χείρ,noun,karpou/s,καρπός,noun,te,τε,particle,kai\,καί,conjunction,braxi/onas,βραχίων,adjective,e)/nerqe,ἔνερθε,preposition,tw=n,w)/mwn,ὦμος,noun,pro\s,πρός,preposition,toi=si,ὁ,article,a)gkw=si,ἀγκών,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te/gcies,τέγξις,noun,kefalh=s,κεφαλή,noun,*ro/dinon,,,mu/ron,μύρον,adjective,cu\n,σύν,preposition,o)/cei+,ὄξος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)neyh=sai,ἐνέψω,verb,de\,δέ,particle,xrh\,χρή,verb,tw=|,ὁ,article,e)lai/w|,ἔλαιον,noun,e(rpu/llion,ἑρπύλλιον,noun,h)\,ἠέ,conjunction,spondu/lion,h)\,ἠέ,conjunction,,,kissou\s,κισσός,noun,h)/,ἠέ,conjunction,ti,τις,pronoun,toio/nde,τοιόσδε,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)na/triyis,ἀνάτριψις,noun,a)/krwn,ἄκρον,noun,kai\,καί,conjunction,prosw/pou,πρόσωπον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/sfrhsis,ὄσφρησις,noun,o)/ceos,ὄξος,noun,glh/xwnos,βλήχων,noun,h(duo/smou,ἡδύοσμον,noun,kai\,καί,conjunction,ta/de,ὅδε,pronoun,cu\n,σύν,preposition,o)/cei+,,,,ὄξος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia/stasis,διάστασις,noun,th=s,ὁ,article,ge/nuos,γένυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sq',ἔσθω,verb,o(/ph,ὅπη,adverb,ga\r,γάρ,particle,e)rei/dousi,ἐρείδω,verb,ta\s,ὁ,article,gna/qous,γνάθος,adjective,gargalismo\s,γαργαλισμός,noun,parisqmi/wn,e)metou=,,,παρίσθμιον,noun,pro/klhsis,πρόκλησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,ga\r,γάρ,particle,e)gxu/si,,,kote\,ποτέ,particle,fle/gmatos,φλέγμα,noun,a)ne/gronto,ἀνεγείρω,verb,e)k,ἐκ,preposition,tou=,zo/fou,ζόφος,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/de,ὅδε,pronoun,me\n,μέν,particle,w)=n,οὖν,particle,e)s,εἰς,preposition,th\n,ὁ,article,tou=,ὁ,article,parocusmou=,παροξυσμός,noun,parhgori/hn,kai\,καί,conjunction,παρηγορία,noun,ske/dasin,σκέδασις,noun,tou=,ὁ,article,zofw/deos,ζοφώδης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diai/ths,δίαιτα,noun,de\,δέ,particle,peri\,περί,preposition,a(pa/shs,ἅπας,adjective,th=s,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,qerapei/h|,kai\,καί,conjunction,θεραπεία,noun,th=s,ὁ,article,e)s,εἰς,preposition,au)=qis,αὖθις,adverb,ta/de,ὅδε,pronoun,gignw/skw,γιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/pnos,ὕπνος,noun,poulu\s,πολύς,adjective,kako\n,κακός,adjective,kai\,καί,conjunction,a)u+pni/h,ἀυπνία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poulu\s,πολύς,adjective,me\n,μέν,particle,ga\r,γάρ,particle,narka=|,ναρκάω,verb,ta\s,ὁ,article,ai)sqh/sias,αἴσθησις,noun,th=s,ὁ,article,kefalh=s,,,,κεφαλή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)tmw=n,ἀτμή,noun,plhmmu/ra|,πλήμμυρα,noun,o)/knos,ὄκνος,noun,a(pa/shs,ἅπας,adjective,prh/cios,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/de,ὅδε,pronoun,me/ntoi,μέντοι,particle,ba/reos,βάρος,noun,kai\,καί,conjunction,h)/xwn,ἦχος,noun,kai\,καί,conjunction,marmarugw=n,μαρμαρυγή,noun,e)sti,ai)/tia,αἴτιος,adjective,εἰμί,verb,th=s,ὁ,article,nou/sou,νόσος,noun,ta\,ὁ,article,cu/mbola,σύμβολον,noun,a)grupni/h,ἀγρυπνία,noun,de\,δέ,particle,a)/pepton,a)/trofon,ἄτροφος,adjective,kamathro\n,καματηρός,adjective,tw=|,ὁ,article,skh/nei+,σκῆνος,noun,ἄπεπτος,adjective,a)/qumon,ἄθυμος,adjective,eu)para/gwgos,εὐπαράγωγος,adjective,h(,ὁ,article,gnw/mh,γνώμη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ta/de,ὅδε,pronoun,*rhi+di/ws,,,mai/nontai,μαίνομαι,verb,kai\,καί,conjunction,melagxole/ousi,μελαγχολάω,verb,oi(/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu/mforos,σύμφορος,adjective,de\,δέ,particle,o(,ὁ,article,me/trios,μέτριος,adjective,e)s,εἰς,preposition,th\n,ὁ,article,th=s,ὁ,article,trofh=s,oi)konomi/hn,οἰκονομία,noun,τροφεύς,noun,kai\,καί,conjunction,e)s,εἰς,preposition,a)na/paulan,ἀνάπαυλα,noun,tw=n,ὁ,article,di',διά,preposition,h(me/ras,ἡμέρα,noun,kama/twn,,,,,,,,,,,,,κάματος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/noia,πρόνοια,noun,kai\,καί,conjunction,e)pimonh/,ἐπιμονή,noun,proedri/h,προεδρία,noun,th=s,ὁ,article,koili/hs,κοιλία,noun,e)s,εἰς,preposition,a)po/krisin,,,,ἀπόκρισις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diapnoh=s,διαπνοή,noun,ga\r,γάρ,particle,h(,ὁ,article,me/zwn,μέγας,adverb,ai)ti/h,αἰτία,noun,koili/h,κοιλία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)na/triyis,ἀνάτριψις,noun,au)=qis,αὖθις,adverb,skelw=n,σκέλος,noun,di',διά,preposition,h(mitumbi/wn,,,trhxe/wn,τραχύς,adjective,me/sfi,,,foini/cios,e)/peita,ἔπειτα,adverb,φοίνιξις,noun,nw/tou,νῶτον,noun,kai\,καί,conjunction,pleure/wn,πλευρά,noun,u(/stata,ὕστατος,adjective,kefalh=s,κεφαλή,noun,a)po\,ἀπό,preposition,toute/wn,peri/patoi,περίπατος,noun,proshne/es,προσηνής,adverb,me\n,μέν,particle,a)rxh=qen,ἀρχῆθεν,adverb,οὗτος,pronoun,kai\,καί,conjunction,e)s,εἰς,preposition,a)po/pausin,ἀπόπαυσις,noun,e)pi/troxoi,ἐπίτροχος,adverb,de\,δέ,particle,oi(,ὁ,article,me/soi,μέσος,adjective,h)remi/h,ἠρεμία,noun,kata/stasis,κατάστασις,noun,tou=,ὁ,article,pneu/matos,πνεῦμα,noun,e)pi\,ἐπί,preposition,toi=si,ὁ,article,peripa/toisi,περίπατος,noun,e)/stw,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)nafwne/ein,ἀναφωνέω,verb,xrh\,χρή,verb,toi=si,ὁ,article,bare/si,βαρύς,adjective,fqo/ggoisi,φθόγγος,noun,ma=llon,μᾶλλον,adverb,xreo/menon,χράω,verb,h)xe/ein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)ce/es,ὀξύς,adjective,ga\r,γάρ,particle,kefalh=s,κεφαλή,noun,diasta/sies,διάστασις,noun,krota/fwn,κρόταφος,noun,palmoi\,παλμός,noun,e)gkefa/lou,ἐγκέφαλος,noun,diasfu/cies,o)fqalmw=n,ὀφθαλμός,noun,διάσφυξις,noun,prh/sies,πρᾶσις,noun,h)/xwn,ἦχος,noun,a)koh/,ἀκοή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metri/h,μέτριος,adjective,o)cufwni/h,ὀξυφωνία,noun,kefalh=|,κεφαλή,noun,o)nh/i+ston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,de\,δέ,particle,kairo\s,καιρός,noun,ai)w/rhs,αἰωρέω,verb,e)s,εἰς,preposition,diapnoh\n,διαπνοή,noun,tou=,ὁ,article,panto\s,kefalh=s,κεφαλή,noun,πᾶς,adjective,ba/reos,βάρος,noun,plh=qos,πλῆθος,noun,de\,δέ,particle,e)/stai,εἰμί,verb,pollo\n,πολύς,adjective,plh\n,πλήν,preposition,o(ko/son,a)ka/maton,ἀκάματος,adverb,h)=|,εἰμί,verb,,,,,,,ὁπόσος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,e)pi\,ἐπί,preposition,e)ligmoi=si,,,toi=si,τίς,pronoun,tou=,ὁ,article,xwri/ou,χωρίον,noun,mhde\,μηδέ,particle,cunexe/si,kamph=|si,κάμπτω,verb,συνεχής,adverb,ai)w/rh,αἰώρα,noun,gigne/sqw,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)li/ggwn,ἴλιγγος,noun,ga\r,γάρ,particle,ta/de,ὅδε,pronoun,proklh/sies,πρόκλησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
