word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/78/lemma/@_entry,word/78/lemma/@_POS,word/99/lemma/@_entry,word/99/lemma/@_POS,word/87/lemma/@_entry,word/87/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/122/lemma/@_entry,word/122/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS
ei)=ta,deca/menos,δέχομαι,verb,*ka/twn,κάτος,adjective,kai\,καί,conjunction,tw=|,ὁ,article,lo/gw|,λόγος,noun,sfodrw=s,suneperei/sas,συνεπερείδω,verb,e)pi\,ἐπί,preposition,to\n,ὁ,article,*kai/sara,Καῖσαρ,proper,th\n,ὁ,article,u(po/noian,ὑπόνοια,noun,e)ne/plhse,ἐμπίπλημι,verb,qumou=,θυμός,noun,kai\,καί,conjunction,fronh/matos,φρόνημα,noun,th\n,ὁ,article,su/gklhton,σύγκλητος,adjective,w(/ste,ὥστε,conjunction,qa/naton,θάνατος,adjective,katayhfi/sasqai,καταψηφίζομαι,verb,tw=n,ὁ,article,a)ndrw=n,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶτα,adverb,σφοδρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,de\,δέ,particle,dhmeu/sews,δήμευσις,noun,xrhma/twn,χρῆμα,adjective,e)ni/stato,ἐνίστημι,verb,*kai=sar,Καῖσαρ,proper,ou)k,a)ciw=n,ἀξιάω,verb,ta\,ὁ,article,fila/nqrwpa,φιλάνθρωπον,noun,th=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,gnw/mhs,γνώμη,noun,e)kbalo/ntas,ἐκβάλλω,verb,e(ni\,εἷς,adjective,xrh/sasqai,χράω,verb,tw=|,ὁ,article,skuqrwpota/tw|,σκυθρωπός,adjective,biazome/nwn,βιάζω,verb,de\,δέ,particle,pollw=n,πολύς,adjective,e)pekalei=to,ἐπικαλέω,verb,tou\s,ὁ,article,dhma/rxous,δήμαρχος,noun,oi(,ἕ,pronoun,d',δέ,particle,ou)x,οὐ,adverb,u(ph/kouon,ὑπακούω,verb,a)lla\,ἀλλά,adverb,*kike/rwn,,,au)to\s,αὐτός,pronoun,e)ndou\s,ἐνδίδωμι,verb,a)nh=ke,ἀνήκω,verb,th\n,ὁ,article,peri\,περί,preposition,dhmeu/sews,δήμευσις,noun,gnw/mhn,γνώμη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,περί,preposition,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)xw/rei,de\,δέ,particle,meta\,μετά,preposition,th=s,ὁ,article,boulh=s,βουλεύς,noun,e)pi\,ἐπί,preposition,tou\s,a)/ndras,ἀνήρ,noun,ou)k,οὐ,adverb,e)n,ἐν,preposition,tau)tw=|,ταυτός,adjective,de\,δέ,particle,pa/ntes,πᾶς,adjective,h)=san,εἰμί,verb,a)/llos,ἄλλος,adjective,d',δέ,particle,a)/llon,ἄλλος,adjective,e)fu/latte,φυλάσσω,verb,tw=n,ὁ,article,strathgw=n,στρατηγός,noun,kai\,καί,conjunction,prw=ton,πρότερος,adjective,e)k,ἐκ,preposition,*palati/ou,Παλάτιον,proper,paralabw\n,παραλαμβάνω,verb,to\n,ὁ,article,*le/ntlon,,,h)=ge,ἄγω,verb,dia\,διά,preposition,th=s,ὁ,article,i(era=s,ἱερεύς,adjective,o(dou=,ὁδός,adjective,kai\,καί,conjunction,th=s,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χωρέω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gora=s,me/shs,μέσος,adjective,tw=n,ὁ,article,me\n,μέν,particle,h(gemonikwta/twn,ἡγεμονικός,adjective,a)ndrw=n,ἀνήρ,noun,ku/klw|,periespeirame/nwn,περισπειράω,verb,kai\,καί,conjunction,doruforou/ntwn,δορυφορέω,verb,tou=,ὁ,article,de\,δέ,particle,dh/mou,δῆμος,noun,fri/ttontos,φρίσσω,verb,ta\,ὁ,article,drw/mena,δράω,verb,kai\,καί,conjunction,pario/ntos,πάρειμι,verb,siwph=|,σιωπή,noun,ma/lista,μάλιστα,adverb,de\,δέ,particle,tw=n,ὁ,article,ne/wn,νέος,adjective,w(/sper,ὥσπερ,adverb,i(eroi=s,ἱερός,adjective,tisi,τις,pronoun,patri/ois,πάτριος,adjective,a)ristokratikh=s,ἀριστοκρατικός,adjective,tinos,τις,pronoun,e)cousi/as,ἐξουσία,noun,telei=sqai,τέλλω,verb,meta\,μετά,preposition,fo/bou,φόβος,noun,kai\,καί,conjunction,qa/mbous,θάμβος,noun,dokou/ntwn,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀγορά,noun,κύκλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dielqw\n,de\,δέ,particle,th\n,ὁ,article,a)gora\n,ἀγορά,noun,kai\,καί,conjunction,geno/menos,γίγνομαι,verb,pro\s,tw=|,ὁ,article,desmwthri/w|,δεσμωτήριον,noun,pare/dwke,παραδίδωμι,verb,to\n,ὁ,article,*le/ntlon,,,tw=|,ὁ,article,dhmi/w|,δήμιος,adjective,kai\,καί,conjunction,prose/tacen,προστάσσω,verb,a)nelei=n,ἀναιρέω,verb,ei)=q',εἶτα,adverb,e(ch=s,ἑξῆς,adverb,to\n,ὁ,article,*ke/qhgon,,,kai\,καί,conjunction,ou(/tw,οὕτως,adverb,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,e(/kaston,ἕκαστος,adjective,katagagw\n,κατάγω,verb,a)pe/kteinen,ἀποκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διέρχομαι,verb,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rw=n,de\,δέ,particle,pollou\s,πολύς,adjective,e)/ti,ἔτι,adverb,tw=n,ὁ,article,a)po\,ἀπό,preposition,th=s,sunwmosi/as,συνωμοσία,adjective,e)n,ἐν,preposition,a)gora=|,ἀγορά,noun,sunestw=tas,συνίστημι,verb,a)qro/ous,ἀθρόος,adjective,kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,pra=cin,πρᾶξις,adjective,a)gnoou=ntas,ἀγνοέω,verb,th\n,ὁ,article,de\,δέ,particle,nu/kta,νύξ,adjective,prosme/nontas,προσμένω,verb,w(s,ὡς,conjunction,e)/ti,ἔτι,adverb,zw/ntwn,ζάω,verb,tw=n,ὁ,article,a)ndrw=n,ἀνήρ,noun,kai\,καί,conjunction,duname/nwn,δύναμαι,verb,e)carpasqh=nai,ἐξαρπάζω,verb,fqegca/menos,φθέγγομαι,verb,me/ga,μέγας,adverb,pro\s,πρός,preposition,au)tou\s,αὐτός,pronoun,e)/zhsan,ζάω,verb,ei)=pen,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁράω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,de\,δέ,particle,*(rwmai/wn,,,oi(,ἕ,pronoun,dusfhmei=n,δυσφημέω,verb,mh\,μή,conjunction,boulo/menoi,to\,ὁ,article,teqna/nai,θνήσκω,verb,shmai/nousin,σημαίνω,verb,h)/dh,ἤδη,adverb,d',δέ,particle,h)=n,εἰμί,verb,e(spe/ra,ἑσπέρα,noun,kai\,καί,conjunction,di',διά,preposition,a)gora=s,ἀγορά,noun,a)ne/bainen,ἀναβαίνω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,oi)ki/an,οἰκία,noun,ou)ke/ti,οὐκέτι,adverb,siwph=|,σιωπή,noun,tw=n,ὁ,article,politw=n,πολίτης,noun,ou)de\,οὐδέ,particle,ta/cei,τάξις,noun,propempo/ntwn,προπέμπω,verb,au)to/n,αὐτός,pronoun,a)lla\,ἀλλά,adverb,fwnai=s,φωνή,noun,kai\,καί,conjunction,kro/tois,κρότος,noun,dexome/nwn,δέχομαι,verb,kaq',κατά,preposition,ou(\s,ὅς,pronoun,ge/noito,γίγνομαι,verb,swth=ra,kai\,καί,conjunction,kti/sthn,κτίστης,noun,a)nakalou/ntwn,ἀνακαλέω,verb,th=s,ὁ,article,patri/dos,πατρίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,βούλομαι,verb,σωτήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,de\,δέ,particle,fw=ta,φάος,adjective,polla\,πολύς,adjective,kate/lampe,καταλάμπω,verb,tou\s,ὁ,article,stenwpou/s,lampa/dia,λαμπάδιον,noun,kai\,καί,conjunction,da=|das,δαίς,adjective,i(stw/ntwn,ἱστάω,verb,e)pi\,ἐπί,preposition,tai=s,ὁ,article,qu/rais,θύρα,noun,ai(,ὁ,article,de\,δέ,particle,gunai=kes,γυνή,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,tegw=n,τέγη,noun,prou)/fainon,προυφαίνω,verb,e)pi\,ἐπί,preposition,timh=|,τιμή,noun,kai\,καί,conjunction,qe/a|,θέω,verb,tou=,ὁ,article,a)ndro/s,ἀνήρ,noun,u(po\,ὑπό,preposition,pomph=|,πομπεύς,noun,tw=n,ὁ,article,a)ri/stwn,ἄριστος,adjective,ma/la,μάλα,adverb,semnw=s,σεμνός,adjective,a)nio/ntos,ἄνειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,στενωπός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,oi(,ὁ,article,plei=stoi,πλεῖστος,adjective,pole/mous,πόλεμος,noun,te,τε,particle,kateirgasme/noi,κατεργάζομαι,verb,mega/lous,kai\,καί,conjunction,dia\,διά,preposition,qria/mbwn,θρίαμβος,adjective,ei)selhlako/tes,εἰσελαύνω,verb,kai\,καί,conjunction,proskekthme/noi,προσκτάομαι,verb,gh=n,γῆ,noun,kai\,καί,conjunction,qa/lattan,θάλασσα,noun,ou)k,οὐ,adverb,o)li/ghn,ὀλίγος,adjective,e)ba/dizon,βαδίζω,verb,a)nomologou/menoi,ἀνομολογούμενος,adjective,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,polloi=s,πολύς,adjective,me\n,μέν,particle,tw=n,ὁ,article,to/te,τότε,adverb,h(gemo/nwn,ἡγεμών,noun,kai\,καί,conjunction,strathgw=n,στρατηγός,noun,plou/tou,πλοῦτος,noun,kai\,καί,conjunction,lafu/rwn,λάφυρα,adjective,kai\,καί,conjunction,duna/mews,δύναμις,adjective,xa/rin,χάρις,noun,o)fei/lein,ὀφείλω,verb,to\n,ὁ,article,*(rwmai/wn,dh=mon,δῆμος,noun,a)sfalei/as,ἀσφάλεια,noun,de\,δέ,particle,kai\,καί,conjunction,swthri/as,σωτηρία,noun,e(ni\,εἷς,adjective,mo/nw|,μόνος,adjective,*kike/rwni,,,thlikou=ton,τηλικοῦτος,adjective,a)felo/nti,ἀφαιρέω,verb,kai\,καί,conjunction,tosou=ton,au)tou=,αὐτός,pronoun,ki/ndunon,κίνδυνος,noun,ὅς,pronoun,μέγας,adverb,,,τοσοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),ga\r,γάρ,particle,to\,ὁ,article,kwlu=sai,κωλύω,verb,ta\,ὁ,article,pratto/mena,πράσσω,verb,kai\,kola/sai,κολάζω,verb,tou\s,ὁ,article,pra/ttontas,πράσσω,verb,e)do/kei,δοκέω,verb,qaumasto/n,θαυμαστός,adjective,a)ll',ἀλλά,adverb,o(/ti,ὅστις,pronoun,me/giston,μέγας,adverb,tw=n,ὁ,article,pw/pote,πώποτε,adverb,newterismw=n,νεωτερισμός,noun,ou(=tos,οὗτος,pronoun,e)laxi/stois,ἐλάχιστος,adjective,kakoi=s,κακός,adjective,a)/neu,ἄνευ,preposition,sta/sews,στάσις,adjective,kai\,καί,conjunction,taraxh=s,ταραχή,noun,kate/sbese,κατασβέννυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,ga\r,γάρ,particle,to\n,ὁ,article,*katili/nan,,,oi(,ὁ,article,plei=stoi,πλεῖστος,adjective,tw=n,sunerruhko/twn,συρρέω,verb,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,a(/ma,ἅμα,adverb,tw=|,ὁ,article,puqe/sqai,πυνθάνομαι,verb,ta\,ὁ,article,peri\,περί,preposition,*le/ntlon,,,kai\,καί,conjunction,*ke/qhgon,,,e)gkatalipo/ntes,ἐγκαταλείπω,verb,w)/|xonto,οἴχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
