word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
w(s,ὡς,conjunction,d',δέ,particle,h(/martes,ἁμαρτάνω,verb,ou)/t',οὔτε,adverb,e)moi\,ἐγώ,pronoun,le/gein,λέγω,verb,kaq',κατά,preposition,h(donh\n,ἡδονά,noun,soi/,σύ,pronoun,t',τε,particle,a)/lgos,ἄλγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,tau=ta,οὗτος,pronoun,me\n,μέν,particle,meqw=men,μεθίημι,verb,a)/qlou,ἆθλον,noun,d',δέ,particle,e)/klusin,ἔκλυσις,noun,zh/tei,ζητέω,verb,tina/,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lafro\n,ἐλαφρός,adjective,o(/stis,ὅστις,pronoun,phma/twn,πῆμα,adjective,e)/cw,ἔξω,adverb,po/da,πούς,noun,e)/xei,ἔχω,verb,parainei=n,παραινέω,verb,nouqetei=n,νουθετέω,verb,te,τε,particle,to\n,ὁ,article,kakw=s,κακός,adjective,pra/ssont',πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,tau=q',οὗτος,pronoun,a(/pant',ἅπας,adjective,h)pista/mhn,ἐπίσταμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(kw\n,ἑκών,adjective,e(kw\n,ἑκών,adjective,h(/marton,ἁμαρτάνω,verb,ou)k,οὐ,adverb,a)rnh/somai,ἀρνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qnhtoi=s,θνητός,adjective,a)rh/gwn,ἀρήγω,verb,au)to\s,αὐτός,pronoun,hu(ro/mhn,εὑρίσκω,verb,po/nous,πόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh/n,μήν,particle,ti,τις,pronoun,poinai=s,ποινή,noun,g',γε,particle,w)|o/mhn,οἴομαι,verb,toi/aisi/,τοῖος,adjective,me,ἐγώ,pronoun,katisxnanei=sqai,κατισχναίνω,verb,pro\s,πρός,preposition,pe/trais,πέτρα,noun,pedarsi/ois,μετάρσιος,adjective,tuxo/nt',τυγχάνω,verb,e)rh/mou,ἐρῆμος,adjective,tou=d',ὅδε,pronoun,a)gei/tonos,ἀγείτων,adjective,pa/gou,πᾶγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,ta\,ὁ,article,me\n,μέν,particle,paro/nta,πάρειμι,verb,mh\,μή,conjunction,du/resq',ὀδύρομαι,verb,a)/xh,ἄχος,adjective,pe/doi,πέδοι,adverb,de\,δέ,particle,ba=sai,βάζω,verb,ta\s,ὁ,article,proserpou/sas,προσέρπω,verb,tu/xas,τύχη,noun,a)kou/saq',ἀκούω,verb,w(s,ὡς,conjunction,ma/qhte,μανθάνω,verb,dia\,διά,preposition,te/lous,τέλος,noun,to\,ὁ,article,pa=n,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi/qesqe/,πείθω,verb,moi,ἐγώ,pronoun,pi/qesqe,πείθω,verb,sumponh/sate,συμπονέω,verb,tw=|,ὁ,article,nu=n,νῦν,adverb,mogou=nti,μογέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau)ta/,ταυτός,adjective,toi,τοι,particle,planwme/nh,πλανάω,verb,pro\s,πρός,preposition,a)/llot',ἄλλοτε,adverb,a)/llon,ἄλλος,adjective,phmonh\,πημονή,noun,prosiza/nei,προσιζάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)kou/sais,ἀέκων,adjective,e)peqw/ucas,ἐπιθωύσσω,verb,tou=to,οὗτος,pronoun,*promhqeu=,Προμηθεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,e)lafrw=|,ἐλαφρός,adjective,podi\,ποδίς,noun,kraipno/suton,κραιπνόσυτος,adjective,qa=kon,θᾶκος,noun,prolipou=s',προλείπω,verb,ai)qe/ra,αἰθήρ,noun,q',τε,particle,a(gno\n,ἁγνός,adjective,po/ron,πόρος,noun,oi)wnw=n,οἰωνός,noun,o)krioe/ssh|,ὀκριόεις,adjective,xqoni\,χθών,noun,th=|de,ὅδε,pronoun,pelw=,πελάω,verb,tou\s,ὁ,article,sou\s,σός,adjective,de\,δέ,particle,po/nous,πόνος,noun,xrh/|zw,χρῄζω,verb,dia\,διά,preposition,panto\s,πᾶς,adjective,a)kou=sai,ἀκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/kw,ἥκω,verb,dolixh=s,δολιχός,adjective,te/rma,τέρμα,noun,keleu/qou,κέλευθος,noun,diameiya/menos,διαμείβω,verb,pro\s,πρός,preposition,se/,σύ,pronoun,*promhqeu=,Προμηθεύς,proper,to\n,ὁ,article,pterugwkh=,πτερυγωκής,adjective,to/nd',ὅδε,pronoun,oi)wno\n,οἰωνός,noun,gnw/mh|,γνώμη,noun,stomi/wn,στόμιον,noun,a)/ter,ἄτερ,preposition,eu)qu/nwn,εὐθύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai=s,ὁ,article,sai=s,σός,adjective,de\,δέ,particle,tu/xais,τύχη,noun,i)/sqi,εἰμί,verb,sunalgw=,συναλγέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,te,τε,particle,ga/r,γάρ,particle,me,ἐγώ,pronoun,dokw=,δοκάζω,verb,suggene\s,συγγενής,adverb,ou(/tws,οὕτως,adverb,e)sanagka/zei,εἰσαναγκάζω,verb,xwri/s,χωρίς,adverb,te,τε,particle,ge/nous,γένος,noun,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,o(/tw|,ὅστις,pronoun,mei/zona,μέγας,adverb,moi=ran,μοῖρα,adjective,nei/maim',νέμω,verb,h)\,ἠέ,conjunction,soi/,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnw/sh|,γιγνώσκω,verb,de\,δέ,particle,ta/d',ὅδε,pronoun,w(s,ὡς,conjunction,e)/tum',ἔτυμος,adjective,ou)de\,οὐδέ,particle,ma/thn,μάτην,adverb,xaritoglwssei=n,χαριτογλωσσέω,verb,e)/ni,ἐν,preposition,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe/re,φέρω,verb,ga\r,γάρ,particle,sh/main',σημαίνω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,xrh/,χρή,verb,soi,σύ,pronoun,sumpra/ssein,συμπράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,pot',ποτέ,particle,e)rei=s,ἐρέω,verb,w(s,ὡς,conjunction,*)wkeanou=,Ὠκεανός,proper,fi/los,φίλος,adjective,e)sti\,εἰμί,verb,bebaio/tero/s,βέβαιος,adjective,soi,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,xrh=ma,χρῆμα,adjective,leu/ssw,λεύσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,su\,σύ,pronoun,dh\,δή,particle,po/nwn,πόνος,noun,e)mw=n,ἐμός,adjective,h(/keis,ἥκω,verb,e)po/pths,ἐπόπτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,e)to/lmhsas,τολμάω,verb,lipw\n,λείπω,verb,e)pw/numo/n,ἐπώνυμος,adjective,te,τε,particle,r(eu=ma,ῥεῦμα,noun,kai\,καί,conjunction,petrhrefh=,πετρηρεφής,adjective,au)to/ktit',αὐτόκτιτος,adjective,a)/ntra,ἄντρον,noun,th\n,ὁ,article,sidhromh/tora,σιδηρομήτωρ,noun,e)lqei=n,ἔρχομαι,verb,e)s,εἰς,preposition,ai)=an,αἶα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,qewrh/swn,θεωρέω,verb,tu/xas,τύχη,noun,e)ma\s,ἐμός,adjective,a)fi=cai,ἀφικνέομαι,verb,kai\,καί,conjunction,sunasxalw=n,συνασχάλλω,verb,kakoi=s,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/rkou,δέρκομαι,verb,qe/ama,θέαμα,noun,to/nde,ὅδε,pronoun,to\n,ὁ,article,*dio\s,Ζεύς,proper,fi/lon,φίλος,adjective,to\n,ὁ,article,sugkatasth/santa,συγκαθίστημι,verb,th\n,ὁ,article,turanni/da,τυραννίς,noun,oi(/ais,οἷος,adjective,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,phmonai=si,πημονή,noun,ka/mptomai,κάμπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rw=,ὁράω,verb,*promhqeu=,Προμηθεύς,proper,kai\,καί,conjunction,paraine/sai,παραινέω,verb,ge/,γε,particle,soi,σύ,pronoun,qe/lw,ἐθέλω,verb,ta\,ὁ,article,lw=|sta,λῷστος,adjective,kai/per,καίπερ,particle,o)/nti,εἰμί,verb,poiki/lw|,ποικίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gi/gnwske,γιγνώσκω,verb,sauto\n,σαυτοῦ,pronoun,kai\,καί,conjunction,meqa/rmosai,μεθαρμόζω,verb,tro/pous,τρόπος,noun,ne/ous,νέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne/os,νέος,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,tu/rannos,τύραννος,noun,e)n,ἐν,preposition,qeoi=s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,w(=de,ὧδε,adverb,traxei=s,τραχύς,adjective,kai\,καί,conjunction,teqhgme/nous,θήγω,verb,lo/gous,λόγος,noun,r(i/yeis,ῥίπτω,verb,ta/x',τάχα,adjective,a)/n,ἄν,particle,sou,σύ,pronoun,kai\,καί,conjunction,makra\n,μακράν,adverb,a)nwte/rw,ἄνω,adverb,qakw=n,θακέω,verb,klu/oi,κλύω,verb,*zeu/s,Ζεύς,proper,w(/ste,ὥστε,conjunction,soi,σύ,pronoun,to\n,ὁ,article,nu=n,νῦν,adverb,o)/xlon,ὄχλος,noun,paro/nta,πάρειμι,verb,mo/xqwn,μόχθος,noun,paidia\n,παιδιή,noun,ei)=nai,εἰμί,verb,dokei=n,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,talai/pwr',ταλαίπωρος,adjective,a(\s,ὅς,pronoun,e)/xeis,ἔχω,verb,o)rga\s,ὀργάς,noun,a)/fes,ἀφίημι,verb,zh/tei,ζητέω,verb,de\,δέ,particle,tw=nde,ὅδε,pronoun,phma/twn,πῆμα,adjective,a)pallaga/s,ἀπαλλαγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rxai=',ἀρχαῖος,adjective,i)/sws,ἴσως,adverb,soi,σύ,pronoun,fai/nomai,φαίνω,verb,le/gein,λέγω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiau=ta,τοιοῦτος,adjective,me/ntoi,μέντοι,particle,th=s,ὁ,article,a)/gan,ἄγαν,adverb,u(yhgo/rou,ὑψήγορος,adjective,glw/sshs,γλῶσσα,noun,*promhqeu=,Προμηθεύς,proper,ta)pi/xeira,ἐπίχειρα,noun,gi/gnetai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,ou)de/pw,οὐδέπω,adverb,tapeino\s,ταπεινός,adjective,ou)d',οὐδέ,particle,ei)/keis,ἔοικα,verb,kakoi=s,κακός,adjective,pro\s,πρός,preposition,toi=s,ὁ,article,parou=si,πάρειμι,verb,d',δέ,particle,a)/lla,ἄλλος,adjective,proslabei=n,προσλαμβάνω,verb,qe/leis,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,e)/moige,ἐγώ,pronoun,xrw/menos,χράομαι,verb,didaska/lw|,διδάσκαλος,noun,pro\s,πρός,preposition,ke/ntra,κέντρον,noun,kw=lon,κῶλον,noun,e)ktenei=s,ἐκτείνω,verb,o(rw=n,ὁράω,verb,o(/ti,ὅστις,pronoun,traxu\s,τραχύς,adjective,mo/narxos,μόναρχος,noun,ou)d',οὐδέ,particle,u(peu/qunos,ὑπεύθυνος,adjective,kratei=,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,e)gw\,ἐγώ,pronoun,me\n,μέν,particle,ei)=mi,εἶμι,verb,kai\,καί,conjunction,peira/somai,πειράω,verb,e)a\n,ἐάν,conjunction,du/nwmai,δύναμαι,verb,tw=nde/,ὅδε,pronoun,s',σύ,pronoun,e)klu=sai,ἐκλύω,verb,po/nwn,πόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,h(su/xaze,ἡσυχάζω,verb,mhd',μηδέ,particle,a)/gan,ἄγαν,adverb,labrosto/mei,λαβροστομέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,ou)k,οὐ,adverb,oi)=sq',οἶδα,verb,a)kribw=s,ἀκριβῶς,adverb,w)\n,εἰμί,verb,perisso/frwn,περισσόφρων,noun,o(/ti,ὅστις,pronoun,glw/ssh|,γλῶσσα,noun,matai/a|,μάταιος,adjective,zhmi/a,ζημία,noun,prostri/betai,προστρίβω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhlw=,ζηλέω,verb,s',σύ,pronoun,o(qou/nek',ὁθούνεκα,conjunction,e)kto\s,ἐκτός,adverb,ai)ti/as,αἰτία,noun,kurei=s,κυρέω,verb,tou/twn,οὗτος,pronoun,metasxei=n,μετέχω,verb,kai\,καί,conjunction,tetolmhkw\s,τολμάω,verb,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,e)/ason,ἀίω,verb,mhde/,μηδέ,particle,soi,σύ,pronoun,melhsa/tw,μέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntws,πάντως,adverb,ga\r,γάρ,particle,ou),οὐ,adverb,pei/seis,πείθω,verb,nin,νιν,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,eu)piqh/s,εὐπιθής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ptaine,παπταίνω,verb,d',δέ,particle,au)to\s,αὐτός,pronoun,mh/,μή,conjunction,ti,τις,pronoun,phmanqh=|s,πημαίνω,verb,o(dw=|,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=|,πολύς,adjective,g',γε,particle,a)mei/nwn,ἀμείνων,adjective,tou\s,ὁ,article,pe/las,πέλας,adverb,frenou=n,φρενόω,verb,e)/fus,φύω,verb,h)\,ἠέ,conjunction,sauto/n,σαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/rgw|,ἔργον,noun,kou),οὐ,adverb,lo/gw|,λόγος,noun,tekmai/romai,τεκμαίρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rmw/menon,ὁρμάω,verb,de\,δέ,particle,mhdamw=s,μηδαμός,adverb,a)ntispa/sh|s,ἀντισπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)xw=,αὐχέω,verb,ga\r,γάρ,particle,au)xw=,αὐχέω,verb,th/nde,ὅδε,pronoun,dwrea\n,δωρεά,noun,e)moi\,ἐγώ,pronoun,dw/sein,δίδωμι,verb,*di/',Δίη,proper,w(/ste,ὥστε,conjunction,tw=nde/,ὅδε,pronoun,s',σύ,pronoun,e)klu=sai,ἐκλύω,verb,po/nwn,πόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,s',σύ,pronoun,e)painw=,ἐπαινέω,verb,kou)damh=|,οὐδαμῇ,adverb,lh/cw,λήγω,verb,pote/,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proqumi/as,προθυμία,noun,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,e)llei/peis,ἐλλείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,mhde\n,μηδείς,pronoun,po/nei,πονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/thn,μάτην,adverb,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,w)felw=n,ὠφελέω,verb,e)moi\,ἐγώ,pronoun,ponh/seis,πονέω,verb,ei)/,εἰ,conjunction,ti,τις,pronoun,kai\,καί,conjunction,ponei=n,πονέω,verb,qe/leis,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,h(su/xaze,ἡσυχάζω,verb,sauto\n,σαυτοῦ,pronoun,e)kpodw\n,ἐκποδών,adverb,e)/xwn,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
