word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/13/lemma/@_entry,word/13/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form
a)lla\,ἀλλά,adverb,su\,me/n,μέν,particle,pou,πού,adverb,cei=n',ξένος,noun,*(alikarnhseu=,Ἁλικαρνασσεύς,proper,tetra/palai,τετράπαλαι,adverb,spodih/,σποδιά,noun,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(,ὁ,article,de\,teai\,τεός,adjective,zw/ousin,ζώω,verb,a)hdo/nes,ἀηδών,noun,h(=|sin,ἵημι,verb,o(,ὁ,article,pa/ntwn,πᾶς,adjective,a(rpakth\s,ἁρπακτής,noun,*)ai/dhs,Ἅιδης,proper,ou)k,e)pi\,ἐπί,preposition,xei=ra,χείρ,noun,balei=,,,,,,,,,,δέ,particle,οὐ,adverb,βάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ocei=ai,ὀξύς,adjective,pa/nth|,peri\,περί,preposition,to\n,ὁ,article,ta/fon,τάφος,noun,ei)si\n,εἰμί,verb,a)/kanqai,ἄκανθα,adjective,kai\,καί,conjunction,sko/lopes,σκόλοψ,noun,,,,,,,,,,,,,,,,,,,,,πάντῃ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bla/yeis,βλάψις,noun,tou\s,po/das,πούς,noun,h)\n,ἐάν,conjunction,prosi/h|s,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ti/mwn,Τίμων,proper,misa/nqrwpos,e)noike/w,ἐνοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μισάνθρωπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,pa/relqe,oi)mw/zein,οἰμώζω,verb,ei)/pas,εἶπον,verb,polla/,πολύς,adjective,pa/relqe,παρέρχομαι,verb,mo/non,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,παρέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ocei=ai,ὀξύς,adjective,pa/nth|,peri\,περί,preposition,to\n,ὁ,article,ta/fon,τάφος,noun,ei)si\n,εἰμί,verb,a)/kanqai,ἄκανθα,adjective,kai\,καί,conjunction,sko/lopes,σκόλοψ,noun,,,,,,,,,,,,,,,,,,,,,πάντῃ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bla/yeis,βλάψις,noun,tou\s,po/das,πούς,noun,h)\n,ἐάν,conjunction,prosi/h|s,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ti/mwn,Τίμων,proper,misa/nqrwpos,e)noike/w,ἐνοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μισάνθρωπος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,pa/relqe,oi)mw/zein,οἰμώζω,verb,ei)/pas,εἶπον,verb,polla/,πολύς,adjective,pa/relqe,παρέρχομαι,verb,mo/non,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,παρέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,xai/rein,ei(/ph|s,εἶπον,verb,me,ἐγώ,pronoun,kako\n,κακός,adjective,ke/ar,κῆρ,noun,a)lla\,ἀλλά,adverb,pa/relqe,παρέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,χαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)=son,ἴσος,adjective,e)moi\,xai/rein,χαίρω,verb,e)sti\,εἰμί,verb,to\,ὁ,article,mh\,μή,conjunction,se\,σύ,pronoun,gela=n,γελάω,verb,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,xai/rein,ei(/ph|s,εἶπον,verb,me,ἐγώ,pronoun,kako\n,κακός,adjective,ke/ar,κῆρ,noun,a)lla\,ἀλλά,adverb,pa/relqe,παρέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,χαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)=son,ἴσος,adjective,e)moi\,xai/rein,χαίρω,verb,e)sti\,εἰμί,verb,to\,ὁ,article,mh\,μή,conjunction,se\,σύ,pronoun,gela=n,γελάω,verb,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ti/mwn,Τίμων,proper,ou),ga\r,γάρ,particle,e)/t',ἔτι,adverb,e)ssi/,εἰμί,verb,ti/,τίς,pronoun,toi,τοι,particle,sko/tos,σκότος,noun,h)\,ἠέ,conjunction,fa/os,φάος,adjective,e)xqro/n,,,,,,,,,,,,,,,,,οὐ,adverb,ἐχθρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,sko/tos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σκότος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(me/wn,σύ,pronoun,ga\r,plei/ones,πλείων,verb,ei)n,ἐν,preposition,*)ai/dh|,Ἅιδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ti/mwn,Τίμων,proper,ou),ga\r,γάρ,particle,e)/t',ἔτι,adverb,e)ssi/,εἰμί,verb,ti/,τίς,pronoun,toi,τοι,particle,sko/tos,σκότος,noun,h)\,ἠέ,conjunction,fa/os,φάος,adjective,e)xqro/n,,,,,,,,,,,,,,,,,οὐ,adverb,ἐχθρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,sko/tos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σκότος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(me/wn,σύ,pronoun,ga\r,plei/ones,πλείων,verb,ei)n,ἐν,preposition,*)ai/dh|,Ἅιδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko/gxos,κόγχος,noun,e)gw/,*zefuri=ti,Ζεφυρῖτις,proper,palai/teros,παλαιός,adjective,a)lla\,ἀλλά,adverb,su\,σύ,pronoun,nu=n,νῦν,adverb,me,ἐγώ,pronoun,*ku/pri,Κύπρις,proper,*selhnai/hs,σεληναῖος,adjective,a)/nqema,prw=ton,πρότερος,adjective,e)/xeis,ἔχω,verb,nauti/los,o(\s,ὅς,pronoun,pela/gessin,πέλαγος,noun,e)pe/pleon,ἐπιπλέω,verb,ἐγώ,pronoun,ἄνθεμα,noun,ναυτίλος,noun,ei),εἰ,conjunction,me\n,μέν,particle,a)h=tai,ἀάω,verb,tei/nas,τείνω,verb,oi)kei/wn,οἰκεῖος,adjective,lai=fos,λαῖφος,noun,a)po\,ἀπό,preposition,proto/nwn,πρότονοι,noun,ei),εἰ,conjunction,de\,δέ,particle,*galhnai/h,γαληναίη,noun,liparh\,λιπαρός,adjective,qeo/s,θεός,noun,ou)=los,οὖλος,adjective,e)re/sswn,ἐρέσσω,verb,possi/,πούς,noun,ni/n,νιν,pronoun,w(/st',ὥστε,conjunction,e)/rgw|,ἔργον,noun,tou)/noma,ὄνομα,adjective,sumfe/retai,συμφέρω,verb,e)/st',ἔστε,conjunction,e)/peson,ἐφέζομαι,verb,para\,παρά,preposition,qi=nas,θίς,noun,*)iouli/das,ἰουλίς,adjective,o)/fra,ὄφρα,conjunction,ge/nwmai,γίγνομαι,verb,soi\,σύ,pronoun,to\,ὁ,article,peri/skepton,περίσκεπτος,adjective,pai/gnion,παίγνιον,noun,*)arsino/h,Ἀρσινόη,proper,mhde/,μηδέ,particle,moi,ἐγώ,pronoun,e)n,ἐν,preposition,qala/mh|sin,θαλάμη,noun,e)/q',ἔτι,adverb,w(s,ὡς,conjunction,pa/ros,πάρος,preposition,ei)mi/,εἰμί,verb,ga\r,γάρ,particle,a)/pnous,ἄπνοος,adjective,ti/kthtai,τίκτω,verb,noterh=s,νοτερός,adjective,w)/eon,ὤεον,noun,a(lkuo/nhs
*kleini/ou,Κλεινίης,proper,a)lla\,qugatri\,θυγάτηρ,adjective,di/dou,δίδημι,verb,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=de,οἶδα,verb,ga\r,e)sqla\,ἐσθλός,adjective,r(e/zein,ῥέζω,verb,kai\,καί,conjunction,*smu/rnhs,Σμύρνα,proper,e)sti\n,εἰμί,verb,a)p',ἀπό,preposition,*ai)oli/dos,Αἰολεύς,proper,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko/gxos,κόγχος,noun,e)gw/,*zefuri=ti,Ζεφυρῖτις,proper,palai/teros,παλαιός,adjective,a)lla\,ἀλλά,adverb,su\,σύ,pronoun,nu=n,νῦν,adverb,me,ἐγώ,pronoun,*ku/pri,Κύπρις,proper,*selhnai/hs,σεληναῖος,adjective,a)/nqema,prw=ton,πρότερος,adjective,e)/xeis,ἔχω,verb,nauti/los,o(\s,ὅς,pronoun,pela/gessin,πέλαγος,noun,e)pe/pleon,ἐπιπλέω,verb,ἐγώ,pronoun,ἄνθεμα,noun,ναυτίλος,noun,ei),εἰ,conjunction,me\n,μέν,particle,a)h=tai,ἀάω,verb,tei/nas,τείνω,verb,oi)kei/wn,οἰκεῖος,adjective,lai=fos,λαῖφος,noun,a)po\,ἀπό,preposition,proto/nwn,πρότονοι,noun,ei),εἰ,conjunction,de\,δέ,particle,*galhnai/h,γαληναίη,noun,liparh\,λιπαρός,adjective,qeo/s,θεός,noun,ou)=los,οὖλος,adjective,e)re/sswn,ἐρέσσω,verb,possi/,πούς,noun,ni/n,νιν,pronoun,w(/st',ὥστε,conjunction,e)/rgw|,ἔργον,noun,tou)/noma,ὄνομα,adjective,sumfe/retai,συμφέρω,verb,e)/st',ἔστε,conjunction,e)/peson,ἐφέζομαι,verb,para\,παρά,preposition,qi=nas,θίς,noun,*)iouli/das,ἰουλίς,adjective,o)/fra,ὄφρα,conjunction,ge/nwmai,γίγνομαι,verb,soi\,σύ,pronoun,to\,ὁ,article,peri/skepton,περίσκεπτος,adjective,pai/gnion,παίγνιον,noun,*)arsino/h,Ἀρσινόη,proper,mhde/,μηδέ,particle,moi,ἐγώ,pronoun,e)n,ἐν,preposition,qala/mh|sin,θαλάμη,noun,e)/q',ἔτι,adverb,w(s,ὡς,conjunction,pa/ros,πάρος,preposition,ei)mi/,εἰμί,verb,ga\r,γάρ,particle,a)/pnous,ἄπνοος,adjective,ti/kthtai,τίκτω,verb,noterh=s,νοτερός,adjective,w)/eon,ὤεον,noun,a(lkuo/nhs
*kleini/ou,Κλεινίης,proper,a)lla\,qugatri\,θυγάτηρ,adjective,di/dou,δίδημι,verb,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=de,οἶδα,verb,ga\r,e)sqla\,ἐσθλός,adjective,r(e/zein,ῥέζω,verb,kai\,καί,conjunction,*smu/rnhs,Σμύρνα,proper,e)sti\n,εἰμί,verb,a)p',ἀπό,preposition,*ai)oli/dos,Αἰολεύς,proper,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,*sami/ou,po/nos,πόνος,noun,ei)mi\,εἰμί,verb,do/mw|,δόμος,noun,pote\,ποτός,adjective,qei=on,θεῖος,adjective,a)oido\n,ἀοιδός,noun,decame/nou,δέχομαι,verb,klei/w,κλέω,verb,d',*eu)/ruton,Εὔρυτος,proper,o(/ss',ὅσος,adjective,e)/paqen,kai\,καί,conjunction,canqh\n,ξανθός,adjective,*)io/leian,,,Σάμιος,proper,δέ,particle,πάσχω,verb,*(omh/reion,Ὁμήρειον,proper,de\,δέ,particle,kaleu=mai,καλέω,verb,gra/mma,γράμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*krewfu/lw|,Κρεώφυλος,proper,*zeu=,fi/le,φίλος,adjective,tou=to,οὗτος,pronoun,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,*sami/ou,po/nos,πόνος,noun,ei)mi\,εἰμί,verb,do/mw|,δόμος,noun,pote\,ποτός,adjective,qei=on,θεῖος,adjective,a)oido\n,ἀοιδός,noun,decame/nou,δέχομαι,verb,klei/w,κλέω,verb,d',*eu)/ruton,Εὔρυτος,proper,o(/ss',ὅσος,adjective,e)/paqen,kai\,καί,conjunction,canqh\n,ξανθός,adjective,*)io/leian,,,Σάμιος,proper,δέ,particle,πάσχω,verb,*(omh/reion,Ὁμήρειον,proper,de\,δέ,particle,kaleu=mai,καλέω,verb,gra/mma,γράμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*krewfu/lw|,Κρεώφυλος,proper,*zeu=,fi/le,φίλος,adjective,tou=to,οὗτος,pronoun,me/ga,μέγας,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sth/lhn,στήλη,noun,mhtruih=s,mikra\n,μικρός,adjective,li/qon,λίθος,adjective,e)/stefe,στέφω,verb,kou=ros,κόρος,noun,w(s,ὡς,conjunction,bi/on,βίος,adjective,h)lla/xqai,ἀλλάσσω,verb,kai\,καί,conjunction,tro/pon,oi)o/menos,οἴομαι,verb,,,,,,,,,,,,,,μητρυιά,noun,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,ta/fw|,τάφος,noun,klinqe/nta,,,kate/ktane,κατακτείνω,verb,pai=da,παῖς,adjective,pesou=sa,πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu/gete,φεύγω,verb,mhtruih=s,kai\,καί,conjunction,ta/fon,τάφος,noun,oi(,ὁ,article,pro/gonoi,πρόγονος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μητρυιά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sth/lhn,στήλη,noun,mhtruih=s,mikra\n,μικρός,adjective,li/qon,λίθος,adjective,e)/stefe,στέφω,verb,kou=ros,κόρος,noun,w(s,ὡς,conjunction,bi/on,βίος,adjective,h)lla/xqai,ἀλλάσσω,verb,kai\,καί,conjunction,tro/pon,oi)o/menos,οἴομαι,verb,,,,,,,,,,,,,,μητρυιά,noun,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,ta/fw|,τάφος,noun,klinqe/nta,,,kate/ktane,κατακτείνω,verb,pai=da,παῖς,adjective,pesou=sa,πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu/gete,φεύγω,verb,mhtruih=s,kai\,καί,conjunction,ta/fon,τάφος,noun,oi(,ὁ,article,pro/gonoi,πρόγονος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μητρυιά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
