word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/59/lemma/@_entry,word/59/lemma/@_POS,word/73/lemma/@_entry,word/73/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS
e)gkeime/nwn,ἔγκειμαι,verb,de\,biai/ws,βίαιος,adjective,tw=n,ὁ,article,r(wmai+zo/ntwn,,,oi(,ὁ,article,polloi\,πολύς,adjective,th=s,ὁ,article,e)kklhsi/as,ἐκκλησία,noun,a)pexw/roun,ἀποχωρέω,verb,dusxerai/nontes,δυσχεραίνω,verb,kai\,καί,conjunction,oi(,ὁ,article,loipoi\,λοιπός,adjective,dia\,διά,preposition,th\n,ὁ,article,o)ligo/thta,ὀλιγότης,noun,e)kbiasqe/ntes,ἐκβιάζω,verb,sune/qento,συντίθημι,verb,tw=|,ὁ,article,*leuki/w|,Λεύκιος,proper,kai\,καί,conjunction,eu)qu\s,εὐθύς,adverb,h)kolou/qoun,ἀκολουθέω,verb,e)pi\,ἐπί,preposition,*ko/rinqon,Κόρινθος,adverb,mhxanh/mata,μηχάνημα,noun,fe/rontes,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*flamini=nos,au)=qis,αὖθις,adverb,sunh=lqen,συνέρχομαι,verb,e)s,εἰς,preposition,lo/gous,λόγος,noun,*fili/ppw|,Φίλιππος,proper,kata\,κατά,preposition,to\n,ὁ,article,*mhlie/a,Μηλιεύς,proper,ko/lpon,κόλπος,noun,e)/nqa,ἔνθα,adverb,kathgorou/ntwn,κατηγορέω,verb,tou=,ὁ,article,*fili/ppou,Φίλιππος,proper,*(rodi/wn,,,kai\,καί,conjunction,*ai)twlw=n,Αἰτωλός,proper,kai\,καί,conjunction,*)amuna/ndrou,Ἀμύνανδρος,proper,tou=,ὁ,article,*)aqama=nos,,,e)ke/leuse,κελεύω,verb,*fi/lippon,Φίλιππος,proper,e)ca/gein,ἐξάγω,verb,ta\s,ὁ,article,froura\s,φρουρά,noun,e)k,ἐκ,preposition,*fwki/dos,Φωκίς,proper,kai\,καί,conjunction,pre/sbeis,πρέσβις,noun,e)s,εἰς,preposition,*(rw/mhn,,,a)mfote/rous,ἀμφότερος,adjective,a)postei=lai,ἀποστέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genome/nwn,γίγνομαι,verb,de\,tou/twn,οὗτος,pronoun,oi(,ἕ,pronoun,me\n,μέν,particle,*(/ellhnes,Ἕλλην,proper,e)n,ἐν,preposition,th=|,ὁ,article,boulh=|,βουλεύς,noun,th=|,ὁ,article,*(rwmai/wn,,,h)ci/oun,ἀξιόω,verb,to\n,ὁ,article,*fi/lippon,Φίλιππος,proper,e)cagagei=n,ἐξάγω,verb,e)k,ἐκ,preposition,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,ta\s,ὁ,article,trei=s,τρέω,verb,froura\s,φρουρά,noun,a(\s,ὅς,pronoun,au)to\s,αὐτός,pronoun,pe/das,πέδη,noun,e)ka/lei,καλέω,verb,th=s,ὁ,article,*(ella/dos,Ἑλλάς,proper,th\n,ὁ,article,me\n,μέν,particle,e)n,ἐν,preposition,*xalki/di,Χαλκίς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*boiwtoi=s,Βοιωτός,proper,kai\,*eu)boeu=si,Εὐβοεύς,proper,kai\,καί,conjunction,*lokroi=s,Λοκρός,proper,e)pikeime/nhn,ἐπίκειμαι,verb,th\n,ὁ,article,de\,δέ,particle,e)n,ἐν,preposition,*kori/nqw|,Κόρινθος,adverb,kaqa/per,καθά,adverb,pu/lais,πύλη,adjective,th\n,ὁ,article,*pelopo/nnhson,Πελοπόννησος,proper,a)poklei/ousan,ἀποκλείω,verb,kai\,καί,conjunction,tri/thn,τρίτος,adjective,e)n,ἐν,preposition,*dhmhtria/di,Δημητριάς,proper,th\n,ὁ,article,*ai)twloi=s,Αἰτωλός,proper,kai\,καί,conjunction,*ma/gnhsin,Μάγνης,proper,e)fedreu/ousan,ἐφεδρεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,boulh\,βουλή,noun,tou\s,ὁ,article,*fili/ppou,Φίλιππος,proper,pre/sbeis,πρέσβις,noun,h)/reto,αἴρω,verb,ti/,τίς,pronoun,fronoi/h,φρονέω,verb,peri\,περί,preposition,tw=nde,ὅδε,pronoun,tw=n,ὁ,article,frourw=n,φρουρά,noun,o(,ὁ,article,basileu/s,βασιλεύς,noun,a)pokriname/nwn,ἀποκρίνω,verb,de\,δέ,particle,a)gnoei=n,ἀγνοέω,verb,*flamini=non,,,e)/fh,φημί,verb,krinei=n,κρίνω,verb,kai\,καί,conjunction,pra/cein,πράσσω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,di/kaion,δίκαιος,adjective,h(gh=tai,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,me\n,oi(,ὁ,article,pre/sbeis,πρέσβις,noun,e)k,ἐκ,preposition,*(rw/mhs,,,e)panh/|esan,ἐπάνειμι,verb,*flamini=nos,,,de\,δέ,particle,kai\,καί,conjunction,*fi/lippos,Φίλιππος,proper,e)s,εἰς,preposition,ou)de\n,οὐδείς,pronoun,sumbai/nontes,συμβαίνω,verb,a)llh/lois,ἀλλήλων,pronoun,au)=qis,αὖθις,adverb,e)s,εἰς,preposition,po/lemon,πόλεμος,noun,kaqi/stanto,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,h(tthqei\s,pa/lin,πάλιν,adverb,o(,ὁ,article,*fi/lippos,Φίλιππος,proper,peri\,περί,preposition,sumba/sewn,σύμβασις,noun,e)pekhrukeu/eto,ἐπικηρυκεύομαι,verb,pro\s,πρός,preposition,*flamini=non,,,o(,ὁ,article,d',δέ,particle,au)=qis,αὖθις,adverb,au)tw=|,αὐτός,pronoun,sunelqei=n,συνέρχομαι,verb,e)s,εἰς,preposition,lo/gous,λόγος,noun,sunexw/rei,συγχωρέω,verb,polla\,πολύς,adjective,me\n,μέν,particle,tw=n,ὁ,article,*ai)twlw=n,Αἰτωλός,proper,dusxeraino/ntwn,δυσχεραίνω,verb,kai\,καί,conjunction,diaballo/ntwn,διαβάλλω,verb,au)to\n,αὐτός,pronoun,e)s,εἰς,preposition,dwrodoki/an,δωροδοκία,noun,kai\,καί,conjunction,katagignwsko/ntwn,καταγιγνώσκω,verb,th=s,ὁ,article,e)s,εἰς,preposition,a(/panta,ἅπας,adjective,eu)xerou=s,εὐχερής,adverb,metabolh=s,μεταβολεύς,noun,h(gou/menos,ἡγέομαι,verb,d',δέ,particle,ou)/te,οὔτε,adverb,*(rwmai/ois,,,sumfe/rein,συμφέρω,verb,ἡσσάομαι,verb,ou)/te,οὔτε,adverb,toi=s,ὁ,article,*(/ellhsi,Ἕλλην,proper,*fili/ppou,Φίλιππος,proper,kaqaireqe/ntos,καθαιρέω,verb,e)pipola/sai,ἐπιπολάζω,verb,th\n,ὁ,article,*ai)twlw=n,Αἰτωλός,proper,bi/an,βία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/xa,τάχα,adjective,d',au)to\n,αὐτός,pronoun,kai\,καί,conjunction,to\,ὁ,article,para/docon,παράδοξος,adjective,th=s,ὁ,article,ni/khs,νίκη,noun,a)gapa=n,ἀγαπάω,verb,e)poi/ei,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunqe/menos,συντίθημι,verb,de\,xwri/on,χωρίον,noun,oi(=,ἕ,pronoun,to\n,ὁ,article,*fi/lippon,Φίλιππος,proper,e)pelqei=n,ἐπέρχομαι,verb,e)/dei,δέω,verb,tou\s,ὁ,article,summa/xous,σύμμαχος,adjective,e)ke/leuse,κελεύω,verb,gnw/mhn,γνώμη,noun,proapofh/nasqai,προαποφαίνω,verb,kata\,κατά,preposition,po/leis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,dh\,δή,particle,para\,παρά,preposition,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,fila/nqrwpa,φιλάνθρωπον,noun,h)=n,εἰμί,verb,to/,ὁ,article,te,τε,particle,th=s,ὁ,article,tu/xhs,τύχη,noun,a)/dhlon,ἄδηλος,adjective,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,e)/paqen,πάσχω,verb,o(,ὁ,article,*fi/lippos,Φίλιππος,proper,u(forwme/nwn,ὑφοράω,verb,kai\,καί,conjunction,to\,ὁ,article,ptai=sma,πταῖσμα,noun,tou=to,οὗτος,pronoun,ou),οὐ,adverb,kat',κατά,preposition,a)sqe/neian,ἀσθένεια,noun,a)lla\,ἀλλά,adverb,ple/on,πλέος,adjective,e)k,ἐκ,preposition,suntuxi/as,συντυχία,noun,au)to\n,αὐτός,pronoun,paqei=n,πάσχω,verb,h(goume/nwn,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ale/candros,Ἀλέξανδρος,proper,de\,o(,ὁ,article,tw=n,ὁ,article,*ai)twlw=n,Αἰτωλός,proper,pro/edros,πρόεδρος,noun,a)gnoei=n,ἀγνοέω,verb,e)/fh,φημί,verb,to\n,ὁ,article,*flamini=non,,,o(/ti,ὅστις,pronoun,mhde\n,μηδείς,pronoun,a)/llo,ἄλλος,adjective,mh/te,μήτε,particle,*(rwmai/ois,,,mh/q',μήτε,particle,*(/ellhsi,Ἕλλην,proper,sunoi/sei,συμφέρω,verb,plh\n,πλήν,preposition,e)caireqh=nai,ἐξαιρέω,verb,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,th\n,ὁ,article,*fili/ppou,Φίλιππος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,*)ale/candron,Ἀλέξανδρος,proper,a)gnoei=n,ἀγνοέω,verb,e)/fh,φημί,verb,th\n,ὁ,article,*(rwmaiwn,,,fu/sin,φύσις,noun,oi(\,ἕ,pronoun,ou)de/na,οὐδείς,pronoun,pw,πω,particle,tw=n,ὁ,article,e)xqrw=n,ἐχθρός,adjective,eu)qu\s,εὐθύς,adverb,a)p',ἀπό,preposition,a)rxh=s,ἀρχή,noun,a)ne/treyan,ἀνατρέπω,verb,a)lla\,ἀλλά,adverb,pollw=n,πολύς,adjective,e)s,εἰς,preposition,au)tou\s,αὐτός,pronoun,a(marto/ntwn,ἁμαρτάνω,verb,kai\,καί,conjunction,*karxhdoni/wn,Καρχηδόνιος,proper,e)/nagxos,ἔναγχος,adverb,e)fei/santo,ἐφίζω,verb,ta\,ὁ,article,sfe/tera,σφέτερος,adjective,au)toi=s,αὐτός,pronoun,a)podo/ntes,ἀποδίδωμι,verb,kai\,καί,conjunction,fi/lous,φίλος,adjective,poihsa/menoi,ποιέω,verb,tous,,,h)dikhko/tas,ἀδικέω,verb,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gnoei=s,ἀγνοέω,verb,d',e)/fh,φημί,verb,kai\,καί,conjunction,tou=q',οὗτος,pronoun,o(/ti,ὅστις,pronoun,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,e)/qnh,ἔθνος,adjective,polla/,πολύς,adjective,o(/sa,ὅσος,adjective,ba/rbara,βάρβαρος,adjective,th\n,ὁ,article,*makedoni/an,Μακεδονία,proper,perika/qhtai,περικάθημαι,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,e)ce/loi,ἐξαιρέω,verb,tou\s,ὁ,article,*makedo/nwn,Μακεδών,proper,basile/as,βασιλεύς,noun,e)pidramei=tai,ἐπιτρέχω,verb,r(a|di/ws,ῥᾴδιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,e)gw\,dokima/zw,δοκιμάζω,verb,th\n,ὁ,article,me\n,μέν,particle,a)rxh\n,ἀρχή,noun,e)a=n,ἀίω,verb,tw=n,ὁ,article,*makedo/nwn,Μακεδών,proper,propolemei=n,προπολεμέω,verb,u(mw=n,σύ,pronoun,pro\s,πρός,preposition,tou\s,ὁ,article,barba/rous,βάρβαρος,adjective,*fi/lippon,Φίλιππος,proper,de\,δέ,particle,e)ksth=nai,ἐξίστημι,verb,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,w(=n,ὅς,pronoun,pro/teron,πρότερος,adjective,a)nte/lege,ἀντιλέγω,verb,xwri/wn,χωρίον,noun,kai\,καί,conjunction,*(rwmai/ois,,,e)s,εἰς,preposition,th\n,ὁ,article,tou=,ὁ,article,pole/mou,πόλεμος,noun,dapa/nhn,δαπάνη,noun,e)senegkei=n,εἰσφέρω,verb,ta/lanta,τάλαντον,noun,diako/sia,διακόσιοι,adjective,o(/mhra/,ὅμηρος,noun,te,τε,particle,dou=nai,δίδωμι,verb,ta\,ὁ,article,a)ciologw/tata,ἀξιόλογος,adjective,kai\,καί,conjunction,to\n,ὁ,article,ἐγώ,pronoun,ui(o\n,υἱός,noun,au)tou=,αὐτός,pronoun,*dhmh/trion,Δημήτριος,proper,me/xri,μέχρι,preposition,de\,δέ,particle,tau=q',οὗτος,pronoun,h(,ὁ,article,su/gklhtos,σύγκλητος,adjective,e)pikurw/sei,ἐπικύρωσις,adjective,tetramh/nous,τετράμηνος,adjective,a)noxa\s,ἀνοχή,noun,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
