word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS
su\,σύ,pronoun,de\,δέ,particle,fre/nas,φρήν,noun,a)mfigeghqw\s,ἀμφιγηθέω,verb,de/cai',δέχομαι,verb,i(era\,ἱερά,noun,kala\,καλός,noun,periktio/nwn,περικτίονες,adjective,a)nqrw/pwn,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,ei)pou=s',εἶπον,verb,*(eka/tou,ἕκατος,noun,pe/piqe,πείθω,verb,fre/nas,φρήν,noun,o)/fra,ὄφρα,conjunction,oi(,ἕ,pronoun,au)th=|,αὐτός,pronoun,*telfou/sh|,Τελφούσα,proper,kle/os,κλέος,noun,ei)/h,ἀίω,verb,e)pi\,ἐπί,preposition,xqoni/,χθών,noun,mhd',μηδέ,particle,*(eka/toio,ἕκατος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqen,ἔνθεν,adverb,de\,δέ,particle,prote/rw,προτέρω,adverb,e)/kies,κίω,verb,e(kathbo/l',ἑκατηβόλος,adjective,*)/apollon,Ἀπόλλων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(=ces,ἵκω,verb,d',δέ,particle,e)s,εἰς,preposition,*flegu/wn,Φλεγύς,proper,a)ndrw=n,ἀνήρ,noun,po/lin,πόλις,adjective,u(brista/wn,ὑβριστής,noun,oi(\,ἕ,pronoun,*dio\s,Ζεύς,proper,ou)k,οὐ,adverb,a)le/gontes,ἀλέγω,verb,e)pi\,ἐπί,preposition,xqoni\,χθών,noun,naieta/askon,ναιετάω,verb,e)n,ἐν,preposition,kalh=|,καλέω,verb,bh/ssh|,βῆσσα,noun,*khfisi/dos,Κηφισίς,proper,e)ggu/qi,ἐγγύθι,adverb,li/mnhs,λίμνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqen,ἔνθεν,adverb,karpali/mws,καρπάλιμος,adjective,prose/bhs,προσβαίνω,verb,pro\s,πρός,preposition,deira/da,δειράς,noun,qu/wn,θύω,verb,i(/keo,ἱκνέομαι,verb,d',δέ,particle,e)s,εἰς,preposition,*kri/shn,,,u(po\,ὑπό,preposition,*parnhso\n,Παρνασός,proper,nifo/enta,νιφόεις,adjective,knhmo\n,κνημός,noun,pro\s,πρός,preposition,*ze/furon,Ζέφυρος,proper,tetramme/non,τρέπω,verb,au)ta\r,ἀτάρ,particle,u(/perqen,ὕπερθεν,preposition,pe/trh,πέτρα,noun,e)pikre/matai,ἐπικρεμάννυμι,verb,koi/lh,κόιλος,adjective,d',δέ,particle,u(pode/drome,ὑποδύω,verb,bh=ssa,βῆσσα,noun,trhxei=',τραχύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqa,ἔνθα,adverb,a)/nac,ἄναξ,noun,tekmh/rato,τεκμαίρομαι,verb,*foi=bos,Φοῖβος,proper,*)apo/llwn,Ἀπόλλων,proper,nho\n,ναός,noun,poih/sasqai,ποιέω,verb,e)ph/raton,ἐπήρατος,adjective,ei)=pe/,εἶπον,verb,te,τε,particle,mu=qon,μῦθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nqa/de,ἐνθάδε,adverb,dh\,δή,particle,frone/w,φρονέω,verb,teu=cai,τεύχω,verb,perikalle/a,περικαλλής,adverb,nho\n,ναός,noun,e)/mmenai,εἰμί,verb,a)nqrw/pois,ἄνθρωπος,noun,xrhsth/rion,χρηστήριον,noun,oi(/te,ὅστε,pronoun,moi,ἐγώ,pronoun,ai)ei\,ἀεί,adverb,e)nqa/d',ἐνθάδε,adverb,a)ginh/sousi,ἀγινέω,verb,telhe/ssas,τελήεις,adjective,e(kato/mbas,ἑκατόμβη,noun,h)me\n,ἠμέν,conjunction,o(/soi,ὅσος,adjective,*pelopo/nnhson,Πελοπόννησος,proper,pi/eiran,πίειρα,adjective,e)/xousin,ἔχω,verb,h)d',ἠδέ,conjunction,o(/soi,ὅσος,adjective,*eu)rw/phn,Εὐρώπη,proper,te,τε,particle,kai\,καί,conjunction,a)mfiru/tas,,,kata\,κατά,preposition,nh/sous,νῆσος,noun,xrhso/menoi,χράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=sin,τίς,pronoun,d',δέ,particle,a)/r',ἄρα,particle,e)gw\,ἐγώ,pronoun,nhmerte/a,νημερτής,adjective,boulh\n,βουλή,noun,pa=si,πᾶς,adjective,qemisteu/oimi,θεμιστεύω,verb,xre/wn,χρῆ,noun,e)ni\,ἐν,preposition,pi/oni,πίων,adjective,nhw=|,ναός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,ei)pw\n,εἶπον,verb,die/qhke,διατίθημι,verb,qemei/lia,θέμεθλα,noun,*foi=bos,Φοῖβος,proper,*)apo/llwn,Ἀπόλλων,proper,eu)re/a,εὐρύς,adjective,kai\,καί,conjunction,ma/la,μάλα,adverb,makra\,μακρός,adjective,dihneke/s,διηνεκής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,e)p',ἐπί,preposition,au)toi=s,αὐτός,pronoun,la/inon,λάινος,adjective,ou)do\n,οὐδός,noun,e)/qhke,τίθημι,verb,*trofw/nios,Τροφώνιος,proper,h)d',ἠδέ,conjunction,*)agamh/dhs,Ἀγαμήδη,proper,ui(e/es,υἱός,noun,*)ergi/nou,Ἐργῖνος,proper,fi/loi,φίλος,adjective,a)qana/toisi,ἀθάνατος,adjective,qeoi=sin,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ἀμφί,preposition,de\,δέ,particle,nho\n,ναός,noun,e)/nassan,ναίω,verb,a)qe/sfata,ἀθέσφατος,adjective,fu=l',φῦλον,noun,a)nqrw/pwn,ἄνθρωπος,noun,cestoi=sin,ξεστός,adjective,la/essin,λᾶας,noun,a)oi/dimon,ἀοίδιμος,adjective,e)/mmenai,εἰμί,verb,ai)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gxou=,ἀγχοῦ,adverb,de\,δέ,particle,krh/nh,κρήνη,noun,kalli/rroos,καλλίρροος,adjective,e)/nqa,ἔνθα,adverb,dra/kainan,δράκαινα,noun,ktei=nen,κτείνω,verb,a)/nac,ἄναξ,noun,*dio\s,Ζεύς,proper,ui(o/s,υἱός,noun,a)po\,ἀπό,preposition,krateroi=o,κρατερός,adjective,bioi=o,βιός,noun,zatrefe/a,ζατρεφής,adjective,mega/lhn,μέγας,adverb,te/ras,τέρας,noun,a)/grion,ἄγριος,adjective,h(\,ὅς,pronoun,kaka\,κακός,adjective,polla\,πολύς,adjective,a)nqrw/pous,ἄνθρωπος,noun,e)/rdesken,ἔρδω,verb,e)pi\,ἐπί,preposition,xqoni/,χθών,noun,polla\,πολύς,adjective,me\n,μέν,particle,au)tou/s,αὐτός,pronoun,polla\,πολύς,adjective,de\,δέ,particle,mh=la,μῆλον,noun,tanau/pod',ταναύπους,noun,e)pei\,ἐπεί,conjunction,pe/le,πέλω,verb,ph=ma,πῆμα,adjective,dafoino/n,δαφοινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pote,ποτέ,particle,decame/nh,δέχομαι,verb,xrusoqro/nou,χρυσόθρονος,adjective,e)/trefen,τρέφω,verb,*(/hrhs,Ἥρα,proper,deino/n,δεινός,adjective,t',τε,particle,a)rgale/on,ἀργαλέος,adjective,te,τε,particle,*tufa/ona,Τυφῶν,proper,ph=ma,πῆμα,adjective,brotoi=sin,βροτός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/n,ὅς,pronoun,pot',ποτέ,particle,a)/r',ἄρα,particle,*(/hrh,Ἥρα,proper,e)/tikte,τίκτω,verb,xolwsame/nh,χολόομαι,verb,*dii\,Ζεύς,proper,patri/,πατήρ,noun,h(ni/k',ἡνίκα,adverb,a)/ra,ἄρα,particle,*kroni/dhs,Κρονίδης,proper,e)rikude/a,ἐρικυδής,adjective,gei/nat',γείνομαι,verb,*)aqh/nhn,Ἀθήνη,proper,e)n,ἐν,preposition,korufh=|,κορυφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,ai)=ya,αἶψα,adverb,xolw/sato,χολόομαι,verb,po/tnia,πότνια,noun,*(/hrh,Ἥρα,proper,h)de\,ἠδέ,conjunction,kai\,καί,conjunction,a)grome/noisi,ἀγείρω,verb,met',μετά,preposition,a)qana/toisin,ἀθάνατος,adjective,e)/eipe,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ke/klute/,κλύω,verb,meu,ἐγώ,pronoun,pa/ntes,πᾶς,adjective,te,τε,particle,qeoi\,θεός,noun,pa=sai/,πᾶς,adjective,te,τε,particle,qe/ainai,θέαινα,noun,w(s,ὡς,conjunction,e)/m',ἐγώ,pronoun,a)tima/zein,ἀτιμάζω,verb,a)/rxei,ἄρχω,verb,nefelhgere/ta,νεφεληγερέτα,adjective,*zeu\s,Ζεύς,proper,prw=tos,πρότερος,adjective,e)pei/,ἐπεί,conjunction,m',ἐγώ,pronoun,a)/loxon,ἄλοχος,adjective,poih/sato,ποιέω,verb,ke/dn',κεδνός,adjective,ei)dui=an,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,no/sfin,νόσφι,preposition,e)mei=o,ἐγώ,pronoun,te/ke,τίκτω,verb,glaukw=pin,γλαυκῶπις,noun,*)aqh/nhn,Ἀθήνη,proper,h(\,ὅς,pronoun,pa=sin,πᾶς,adjective,maka/ressi,μάκαρ,noun,metapre/pei,μεταπρέπω,verb,a)qana/toisin,ἀθάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)ta\r,ἀτάρ,particle,o(/,ὅς,pronoun,g',γε,particle,h)pedano\s,ἠπεδανός,adjective,ge/gonen,γίγνομαι,verb,meta\,μετά,preposition,pa=si,πᾶς,adjective,qeoi=si,θεός,noun,pai=s,πᾶς,adjective,e)mo\s,ἐμός,adjective,*(/hfaistos,Ἥφαιστος,proper,r(ikno\s,ῥικνός,adjective,po/das,πούς,noun,o(\n,ὅς,pronoun,te/kon,τίκτω,verb,au)th/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
