word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
w(s,ὡς,conjunction,d',δέ,particle,e)co\n,ἔξεστι,verb,au)tw=|,αὐτός,pronoun,tau=t',οὗτος,pronoun,e)/pracen,πράσσω,verb,o(/qen,ὅθεν,adverb,dikaio/tata,δίκαιος,adjective,h(gou=mai,ἡγέομαι,verb,ta\,ὁ,article,toiau=t',τοιοῦτος,adjective,ei)=nai,manqa/nein,μανθάνω,verb,tou=ton,οὗτος,pronoun,u(mi=n,σύ,pronoun,au)to\n,αὐτός,pronoun,pare/comai,παρέχω,verb,to\n,ὁ,article,no/mon,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,a)na/gnwqi,ἀναγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(tosi\,οὗτος,pronoun,o(,ὁ,article,no/mos,νόμος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,koino\s,κοινός,adjective,a(/pasi,ἅπας,adjective,kei=tai,κέω,verb,e)cei=nai,ἔξεστι,verb,ta\,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,diaqe/sqai,e)a\n,ἐάν,conjunction,mh\,μή,conjunction,pai=des,παῖς,adjective,w)=si,εἰμί,verb,gnh/sioi,γνήσιος,adjective,a)/rrenes,ἄρσην,noun,e)a\n,ἐάν,conjunction,mh\,μή,conjunction,a)/ra,ἄρος,adjective,manei\s,μαίνομαι,verb,h)\,ἠέ,conjunction,u(po\,ὑπό,preposition,gh/rws,γῆρας,noun,h)\,ἠέ,conjunction,di',διά,preposition,a)/llo,ἄλλος,adjective,ti,τις,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,no/mw|,νόμος,noun,paranow=n,παρανοέω,verb,diaqh=tai,,,,,,,,,,,,,,,,διατίθημι,verb,διαθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,d',δέ,particle,ou)deni\,οὐδείς,pronoun,tou/twn,οὗτος,pronoun,e)/noxos,ἔνοχος,adjective,h)=n,εἰμί,verb,*filokth/mwn,Φιλοκτήμων,proper,braxe/a,βραχύς,adjective,ei)pw\n,εἶπον,verb,dhlw/sw,δηλόω,verb,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/stis,ὅστις,pronoun,ga\r,γάρ,particle,kai\,καί,conjunction,e(/ws,ἕως,conjunction,e)/zh,ζάω,verb,toiou=ton,τοιοῦτος,adjective,poli/thn,πολίτης,noun,e(auto\n,ἑαυτοῦ,pronoun,parei=xen,παρέχω,verb,w(/ste,ὥστε,conjunction,dia\,διά,preposition,to\,u(f',ὑπό,preposition,u(mw=n,σύ,pronoun,tima=sqai,τιμάω,verb,a)/rxein,ἄρχω,verb,a)ciou=sqai,ἀξιόω,verb,kai\,καί,conjunction,e)teleu/thse,τελευτάω,verb,maxo/menos,μάχομαι,verb,toi=s,ὁ,article,polemi/ois,πολέμιος,adjective,pw=s,πῶς,adverb,a)/n,ἄν,particle,tis,τις,pronoun,tou=ton,οὗτος,pronoun,tolmh/seien,τολμάω,verb,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,eu)=,εὖ,adverb,e)fro/nei,φρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,die/qeto,διατίθημι,verb,kai\,καί,conjunction,e)poih/sato,ποιέω,verb,eu)=,εὖ,adverb,fronw=n,φρονέω,verb,e)co\n,ἔξεστι,verb,au)tw=|,αὐτός,pronoun,a)pode/deiktai,ἀποδείκνυμι,verb,u(mi=n,w(/ste,ὥστε,conjunction,kata\,κατά,preposition,me\n,μέν,particle,tou=to,οὗτος,pronoun,yeudh=,ψευδής,adverb,memarturhkw\s,μαρτυρέω,verb,*)androklh=s,Ἀνδροκλέης,proper,a)pode/deiktai,ἀποδείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,prosdiamemartu/rhken,προσδιαμαρτυρέω,verb,w(s,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(o\n,υἱός,noun,ei)=nai,εἰμί,verb,gnh/sion,γνήσιος,adjective,*eu)kth/monos,Εὐκτήμων,proper,tou=ton,οὗτος,pronoun,kai\,καί,conjunction,tau=t',οὗτος,pronoun,a)podei/cw,ἀποδείκνυμι,verb,yeudh=,ψευδής,adverb,o)/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*eu)kth/moni,Εὐκτήμων,proper,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,tw=|,ὁ,article,*filokth/monos,Φιλοκτήμων,proper,patri/,πατήρ,noun,tou\s,ὁ,article,me\n,μέν,particle,o)/ntws,ὄντως,adverb,genome/nous,γίγνομαι,verb,pai=das,*filokth/mona,Φιλοκτήμων,proper,kai\,καί,conjunction,*)ergame/nhn,Ἐργαμένης,proper,kai\,καί,conjunction,*(hgh/mona,Ἡγήμων,proper,kai\,καί,conjunction,du/o,δύο,adjective,qugate/ras,θυγάτηρ,adjective,kai\,καί,conjunction,th\n,ὁ,article,mhte/ra,μήτηρ,noun,au)tw=n,αὐτός,pronoun,h(\n,ὅς,pronoun,e)/ghmen,ἔσσομαι,verb,o(,ὁ,article,*eu)kth/mwn,Εὐκτήμων,proper,*meicia/dou,,,*khfisiw=s,,,qugate/ra,θυγάτηρ,adjective,pa/ntes,πᾶς,adjective,oi(,ἕ,pronoun,prosh/kontes,προσήκω,verb,i)/sasi,kai\,καί,conjunction,oi(,ὁ,article,fra/tores,φράτηρ,noun,kai\,καί,conjunction,tw=n,ὁ,article,παῖς,adjective,οἶδα,verb,dhmotw=n,δημότης,noun,oi(,ὁ,article,polloi/,πολύς,adjective,kai\,καί,conjunction,marturh/sousin,μαρτυρέω,verb,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,d',δέ,particle,ou)d',οὐδέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llhn,ἄλλος,adjective,tina\,τις,pronoun,e)/ghme,γαμέω,verb,gunai=ka,γυνή,noun,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,tinos,τις,pronoun,oi(/de,ὅδε,pronoun,au)tw=|,αὐτός,pronoun,e)ge/nonto,γίγνομαι,verb,ou)dei\s,οὐδείς,pronoun,to\,para/pan,παράπαν,adverb,oi)=den,οἶδα,verb,ou)d',οὐδέ,particle,h)/kouse,ἀκούω,verb,pw/pote,πώποτε,adverb,zw=ntos,ζάω,verb,*eu)kth/monos,Εὐκτήμων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,tou/tous,οὗτος,pronoun,ei)ko\s,ἔοικα,verb,pistota/tous,πιστός,adjective,ei)=nai,εἰμί,verb,nomi/zein,νομίζω,verb,ma/rturas,μάρτυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,ga\r,γάρ,particle,oi)kei/ous,οἰκεῖος,adjective,ei)de/nai,οἶδα,verb,prosh/kei,προσήκω,verb,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,tou/tous,οὗτος,pronoun,ka/lei,καλέω,verb,prw=ton,πρότερος,adjective,kai\,καί,conjunction,ta\s,ὁ,article,marturi/as,μαρτυρία,noun,a)na/gnwqi,ἀναγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,toi/nun,τοίνυν,particle,kai\,καί,conjunction,tou\s,ὁ,article,a)ntidi/kous,ἀντίδικος,adjective,e)pidei/cw,ἐπιδείκνυμι,verb,e)/rgw|,ἔργον,noun,u(mi=n,σύ,pronoun,tau=ta,οὗτος,pronoun,memarturhko/tas,μαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ὅτε,conjunction,ga\r,γάρ,particle,ai(,ὁ,article,a)nakri/seis,ἀνάκρισις,noun,h)=san,εἰμί,verb,pro\s,πρός,preposition,tw=|,ὁ,article,a)/rxonti,ἄρχων,noun,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,parakate/balon,παρακαταβάλλω,verb,w(s,u(pe\r,ὑπέρ,preposition,gnhsi/wn,γνήσιος,adjective,tw=nd',ὅδε,pronoun,*eu)kth/monos,Εὐκτήμων,proper,o)/ntwn,εἰμί,verb,e)rwtw/menoi,ἐρωτάω,verb,u(f',ὑπό,preposition,h(mw=n,ἐγώ,pronoun,ti/s,τίς,pronoun,ei)/h,ἀίω,verb,au)tw=n,αὐτός,pronoun,mh/thr,μήτηρ,noun,kai\,καί,conjunction,o(/tou,ὅστις,pronoun,quga/thr,θυγάτηρ,adjective,ou)k,οὐ,adverb,ei)=xon,ἔχω,verb,a)podei=cai,ἀποδείκνυμι,verb,diamarturome/nwn,διαμαρτύρομαι,verb,h(mw=n,ἐγώ,pronoun,kai\,καί,conjunction,tou=,ὁ,article,a)/rxontos,keleu/ontos,κελεύω,verb,a)pokri/nasqai,ἀποκρίνω,verb,kata\,κατά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,ὡς,conjunction,ἄρχων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltkai/toi,,,a)/topongt,,,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,a)mfisbhtei=n,ἀμφισβητέω,verb,me\n,μέν,particle,w(s,ὡς,conjunction,u(pe\r,ὑπέρ,preposition,gnhsi/wn,γνήσιος,adjective,kai\,καί,conjunction,diamarturei=n,διαμαρτυρέω,verb,mhte/ra,de\,δέ,particle,h(/tis,ὅστις,pronoun,h)=n,εἰμί,verb,mh\,μή,conjunction,e)/xein,ἔχω,verb,a)podei=cai,ἀποδείκνυμι,verb,mhde\,μηδέ,particle,prosh/konta,προσήκω,verb,au)toi=s,αὐτός,pronoun,mhde/na,μηδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μήτηρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,to/te,τότε,adverb,me\n,μέν,particle,*lhmni/an,Λήμνιος,proper,skhya/menoi,σκήπτω,verb,tau/thn,οὗτος,pronoun,a)nabolh\n,ἀναβολή,noun,e)poih/santo,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,u(/steron,ὕστερος,adjective,h(/kontes,ἥκω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,a)na/krisin,ἀνάκρισις,noun,pri\n,πρίν,adverb,kai/,καί,conjunction,tina,τις,pronoun,e)re/sqai,ἔρομαι,verb,eu)qu\s,e)/legon,λέγω,verb,o(/ti,ὅστις,pronoun,*kalli/pph,,,mh/thr,μήτηρ,noun,au(/th,οὗτος,pronoun,d',δέ,particle,ei)/h,ἀίω,verb,*pistoce/nou,,,quga/thr,θυγάτηρ,adjective,w(s,ὡς,conjunction,e)carke/son,ἐξαρκέω,verb,ei),εἰ,conjunction,o)/noma,ὄνομα,adjective,mo/non,μόνος,adjective,pori/sainto,πορίζω,verb,to\n,ὁ,article,*pisto/cenon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὐθύς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)rome/nwn,ἔρομαι,verb,d',δέ,particle,h(mw=n,ἐγώ,pronoun,o(/stis,ὅστις,pronoun,ei)/h,ἀίω,verb,kai\,καί,conjunction,ei),εἰ,conjunction,zh=|,ζάω,verb,h)\,ἠέ,conjunction,mh/,μή,conjunction,e)n,ἐν,preposition,*sikeli/a|,e)/fasan,φημί,verb,a)poqanei=n,ἀποθνήσκω,verb,strateuo/menon,στρατεύω,verb,katalipo/nta,καταλιμπάνω,verb,tau/thn,οὗτος,pronoun,qugate/ra,θυγάτηρ,adjective,para\,παρά,preposition,tw=|,ὁ,article,*eu)kth/moni,Εὐκτήμων,proper,e)c,ἐκ,preposition,e)pitropeuome/nhs,ἐπιτροπεύω,verb,de\,δέ,particle,tou/tw|,οὗτος,pronoun,gene/sqai,γίγνομαι,verb,pra=gma,πρᾶγμα,noun,pla/ttontes,πλάσσω,verb,a)naidei/a|,ἀναίδεια,adjective,u(perba/llon,ὑπερβάλλω,verb,kai\,καί,conjunction,ou)de\,οὐδέ,particle,geno/menon,γίγνομαι,verb,w(s,ὡς,conjunction,e)gw\,u(mi=n,σύ,pronoun,a)pofanw=,ἀποφαίνω,verb,e)k,ἐκ,preposition,tou/twn,οὗτος,pronoun,prw=ton,πρότερος,adjective,Σικελία,proper,ἐγώ,pronoun,w(=n,ὅς,pronoun,au)toi\,αὐτός,pronoun,a)pekri/nanto,ἀποκρίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,stratia=|,στρατία,noun,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,e)ce/pleusen,ἐκπλέω,verb,ei)s,εἰς,preposition,*sikeli/an,Σικελία,proper,h)/dh,ἤδη,adverb,e)sti\,εἰμί,verb,du/o,kai\,καί,conjunction,penth/konta,πεντήκοντα,verb,e)/th,ἔτης,noun,a)po\,ἀπό,preposition,*)arimnh/stou,Ἀρίμνηστος,proper,a)/rxontos,ἄρχω,verb,tw=|,ὁ,article,de\,δέ,particle,presbute/rw|,πρέσβυς,noun,tou/twn,οὗτος,pronoun,w(=n,ὅς,pronoun,fasin,φημί,verb,e)k,ἐκ,preposition,th=s,ὁ,article,*kalli/pphs,,,kai\,καί,conjunction,tou=,ὁ,article,*eu)kth/monos,Εὐκτήμων,proper,ei)=nai,εἰμί,verb,ou)/pw,οὔπω,adverb,u(pe\r,ὑπέρ,preposition,ei)/kosin,εἴκοσι,verb,e)/th,,,,,,,,,,,,,,,,δύο,adjective,ἔτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)felo/nti,ἀφαιρέω,verb,ou)=n,οὖν,particle,tau=ta,οὗτος,pronoun,a)po\,ἀπό,preposition,tw=n,ὁ,article,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,u(polei/petai,ὑπολείπω,verb,plei/w,πλέως,adjective,h)\,ἠέ,conjunction,tria/konta,τριάκοντα,noun,e)/th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,ou)/t',οὔτε,adverb,e)pitropeu/esqai,ἐπιτροπεύω,verb,prosh=ke,προσήκω,verb,th\n,ὁ,article,*kalli/pphn,,,e)/ti,ἔτι,adverb,triakontou=ti/n,τριακονταετής,adjective,ge,γε,particle,ou)=san,εἰμί,verb,ou)/te,οὔτε,adverb,a)ne/kdoton,kai\,καί,conjunction,a)/paida,ἄπαις,noun,ei)=nai,εἰμί,verb,a)lla\,ἀλλά,adverb,pa/nu,πάνυ,adverb,pa/lai,πάλαι,adverb,sunoikei=n,συνοικέω,verb,h)\,ἠέ,conjunction,e)gguhqei=san,ἐγγυάω,verb,kata\,κατά,preposition,no/mon,νόμος,noun,h)\,ἠέ,conjunction,e)pidikasqei=san,ἐπιδικάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνέκδοτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,de\,δέ,particle,kai\,καί,conjunction,gignw/skesqai,γιγνώσκω,verb,au)th\n,αὐτός,pronoun,u(po\,ὑπό,preposition,tw=n,ὁ,article,*eu)kth/monos,Εὐκτήμων,proper,oi)kei/wn,οἰκεῖος,adjective,a)nagkai=on,ἀναγκαῖον,noun,h)=n,εἰμί,verb,kai\,u(po\,ὑπό,preposition,tw=n,ὁ,article,oi)ketw=n,οἰκέτης,noun,ei)/,εἰ,conjunction,pe/r,πέρ,particle,ge,γε,particle,sunw/|khsen,συνοικέω,verb,e)kei/nw|,ἐκεῖνος,pronoun,h)\,ἠέ,conjunction,dih|th/qh,διαιτέω,verb,tosou=ton,τοσοῦτος,adjective,xro/non,χρόνος,noun,e)n,ἐν,preposition,th=|,ὁ,article,oi)ki/a|,οἰκία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,ga\r,γάρ,particle,toiau=ta,τοιοῦτος,adjective,ou)k,οὐ,adverb,ei)s,εἰς,preposition,th\n,ὁ,article,a)na/krisin,ἀνάκρισις,noun,mo/non,μόνος,adjective,dei=,δέομαι,verb,pori/zesqai,πορίζω,verb,o)no/mata,ὄνομα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,th=|,ὁ,article,a)lhqei/a|,ἀλήθεια,adjective,gegono/ta,γίγνομαι,verb,fai/nesqai,φαίνω,verb,kai\,καί,conjunction,u(po\,ὑπό,preposition,tw=n,ὁ,article,proshko/ntwn,προσήκω,verb,katamarturei=sqai,καταμαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)podei=cai,ἀποδείκνυμι,verb,toi/nun,τοίνυν,particle,h(mw=n,ἐγώ,pronoun,keleuo/ntwn,κελεύω,verb,o(/stis,ὅστις,pronoun,oi)=de,οἶδα,verb,tw=n,ὁ,article,*eu)kth/monos,Εὐκτήμων,proper,oi)kei/wn,οἰκεῖος,adjective,h)\,ἠέ,conjunction,sunoikh/sasan,συνοικέω,verb,e)kei/nw|,tina\,τις,pronoun,h)\,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
