word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS
o(/mws,ὅμως,conjunction,d',δέ,particle,ou)de\n,οὐδείς,pronoun,e)ne/lipen,ἐλλείπω,verb,a)ll',ἀλλά,adverb,e)peidh\,ἐπεί,conjunction,ponhrw=s,πονηρός,adjective,die/keito,διάκειμαι,verb,kai\,καί,conjunction,ou)demi/an,οὐδείς,pronoun,e)lpi/d',ἐλπίς,noun,ei)=xe,tou=,ὁ,article,bi/ou,βίος,adjective,parakale/sas,παρακαλέω,verb,ma/rturas,μάρτυς,noun,ui(o/n,υἱός,noun,m',ἐγώ,pronoun,e)poih/sato,ποιέω,verb,kai\,καί,conjunction,th\n,ὁ,article,a)delfh\n,ἀδελφή,noun,th\n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,ἔχω,verb,kai\,καί,conjunction,th\n,ὁ,article,ou)si/an,οὐσία,adjective,e)/dwken,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,labe\,λαμβάνω,verb,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*diaqh=kai,διαθήκη,noun,a)na/gnwqi,ἀναγιγνώσκω,verb,dh/,δή,particle,moi,ἐγώ,pronoun,kai\,καί,conjunction,to\n,ὁ,article,no/mon,νόμος,noun,to\n,ὁ,article,*ai)ginhtw=n,Αἰγινήτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,ga\r,γάρ,particle,tou=ton,οὗτος,pronoun,e)/dei,δέω,verb,poiei=sqai,ποιέω,verb,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)nqa/de,ἐνθάδε,adverb,ga\r,γάρ,particle,metw|kou=men,μετοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,toutoni\,οὗτος,pronoun,to\n,ὁ,article,no/mon,νόμος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*ai)ginh=tai,Αἰγινήτης,proper,ui(o/n,υἱός,noun,m',ἐγώ,pronoun,e)poih/sato,ποιέω,verb,*qrasu/loxos,,,poli/thn,me\n,μέν,particle,au(tou=,ἑαυτοῦ,pronoun,kai\,καί,conjunction,fi/lon,φίλος,adjective,o)/nta,εἰμί,verb,gegono/ta,γίγνομαι,verb,d',δέ,particle,ou)deno\s,οὐδείς,pronoun,xei=ron,χείρων,adverb,*sifni/wn,Σίφνιος,proper,pepaideume/non,παιδεύω,verb,d',δέ,particle,πολίτης,noun,o(moi/ws,ὅμοιος,adjective,au(tw=|,ἑαυτοῦ,pronoun,kai\,καί,conjunction,teqramme/non,τρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,ou)k,οὐ,adverb,oi)=d',οἶδα,verb,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,ma=llon,μᾶλλον,adverb,kata\,κατά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,e)/pracen,πράσσω,verb,o(\s,ὅς,pronoun,tou\s,o(moi/ous,ὅμοιος,adjective,keleu/ei,κελεύω,verb,pai=das,παῖς,adjective,ei)spoiei=sqai,εἰσποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labe\,λαμβάνω,verb,dh/,δή,particle,moi,ἐγώ,pronoun,kai\,καί,conjunction,to\n,ὁ,article,*kei/wn,Κέως,proper,no/mon,νόμος,noun,kaq',κατά,preposition,o(\n,ὅς,pronoun,h(mei=s,ἐγώ,pronoun,e)politeuo/meqa,πολιτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,toi/nun,τοίνυν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*ai)ginh=tai,Αἰγινήτης,proper,tou/tois,οὗτος,pronoun,me\n,μέν,particle,toi=s,ὁ,article,no/mois,νόμος,noun,h)nantiou=nto,ἐναντιόομαι,verb,to\n,de\,δέ,particle,par',παρά,preposition,au(toi=s,ἑαυτοῦ,pronoun,kei/menon,κεῖμαι,verb,su/ndikon,σύνδικος,noun,ei)=xon,ἔχω,verb,h(=tton,ἥσσων,adverb,a)/cion,ἄξιος,adjective,h)=n,εἰμί,verb,qauma/zein,θαυμάζω,verb,au)tw=n,αὐτός,pronoun,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,ka)kei=nos,ἐκεῖνος,pronoun,o(moi/ws,ὅμοιος,adjective,toi=s,ὁ,article,a)negnwsme/nois,ἀναγιγνώσκω,verb,kei=tai,κέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,moi,ἐγώ,pronoun,labe\,λαμβάνω,verb,to\,ὁ,article,bibli/on,βιβλίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ou)=n,οὖν,particle,u(po/loipo/n,ὑπόλοιπος,adjective,e)stin,εἰμί,verb,au)toi=s,αὐτός,pronoun,o(/pou,ὅπου,adverb,ta\s,ὁ,article,me\n,μέν,particle,diaqh/kas,διαθήκη,noun,au)toi\,αὐτός,pronoun,prosomologou=si,προσομολογέω,verb,*qrasu/loxon,katalipei=n,καταλιμπάνω,verb,tw=n,ὁ,article,de\,δέ,particle,no/mwn,νόμος,noun,tou/tois,οὗτος,pronoun,me\n,μέν,particle,ou)dei/s,οὐδείς,pronoun,e)moi\,ἐγώ,pronoun,de\,δέ,particle,pa/ntes,πᾶς,adjective,bohqou=si,βοηθέω,verb,prw=ton,πρότερος,adjective,,,me\n,μέν,particle,o(,ὁ,article,par',παρά,preposition,u(mi=n,σύ,pronoun,toi=s,ὁ,article,me/llousi,μέλλω,verb,diagnw/sesqai,διαγιγνώσκω,verb,peri\,περί,preposition,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,e)/peiq',ἔπειτα,adverb,o(,ὁ,article,*sifni/wn,Σίφνιος,proper,o(/qen,ὅθεν,adverb,h)=n,εἰμί,verb,o(,ὁ,article,th\n,ὁ,article,diaqh/khn,διαθήκη,noun,katalipw/n,καταλιμπάνω,verb,e)/ti,ἔτι,adverb,d',δέ,particle,o(,ὁ,article,par',παρά,preposition,au)toi=s,αὐτός,pronoun,toi=s,ὁ,article,a)mfisbhtou=si,ἀμφισβητέω,verb,kei/menos,κεῖμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,ti/nos,τίς,pronoun,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,a)posxe/sqai,ἀπέχω,verb,dokou=sin,δοκέω,verb,oi(/tines,ὅστις,pronoun,zhtou=si,ζητέω,verb,pei/qein,πείθω,verb,u(ma=s,σύ,pronoun,w(s,ὡς,conjunction,xrh\,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,a)ku/rous,ἄκυρος,adjective,poih=sai,ποιέω,verb,tw=n,ὁ,article,me\n,μέν,particle,no/mwn,νόμος,noun,ou(/tws,οὕτως,adverb,e)xo/ntwn,ἔχω,verb,u(mw=n,σύ,pronoun,de\,δέ,particle,kat',κατά,preposition,χρή,verb,au)tou\s,αὐτός,pronoun,o)mwmoko/twn,ὄμνυμι,verb,yhfiei=sqai,ψηφίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,au)tou=,αὐτός,pronoun,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,i(kanw=s,ἱκανός,adjective,a)podedei=xqai,ἀποδείκνυμι,verb,nomi/zw,νομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/na,ἵνα,conjunction,de\,δέ,particle,mhdei\s,μηδείς,pronoun,oi)/htai,οἴομαι,verb,mh/t',μήτε,particle,e)me\,ἐγώ,pronoun,dia\,διά,preposition,mikra\s,μικρός,adjective,profa/seis,πρόφασις,noun,e)/xein,ἔχω,verb,to\n,ὁ,article,klh=ron,mh/te,μήτε,particle,tau/thn,οὗτος,pronoun,e)pieikh=,ἐπιεικής,adjective,gegenhme/nhn,γίγνομαι,verb,peri\,περί,preposition,*qrasu/loxon,,,a)posterei=sqai,ἀποστερέω,verb,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,bou/lomai,βούλομαι,verb,kai\,καί,conjunction,peri\,περί,preposition,κλῆρος,adjective,tou/twn,οὗτος,pronoun,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)sxunqei/hn,αἰσχύνω,verb,ga\r,γάρ,particle,a)\n,ἄν,particle,u(pe\r,ὑπέρ,preposition,tou=,ὁ,article,teteleuthko/tos,τελευτάω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,pa/ntes,πᾶς,adjective,peisqei/hte,πείθω,verb,mh\,μή,conjunction,mo/non,w(s,ὡς,conjunction,kata\,κατά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,a)ll',ἀλλά,adverb,w(s,ὡς,conjunction,kai\,καί,conjunction,dikai/ws,δίκαιος,adjective,tau=t',οὗτος,pronoun,e)/pracen,πράσσω,verb,,,,,,,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(a|di/as,ῥᾴδιος,adjective,d',δέ,particle,h(gou=mai,ἡγέομαι,verb,ta\s,ὁ,article,a)podei/ceis,ἀπόδειξις,noun,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosou=ton,τοσοῦτος,adjective,ga\r,γάρ,particle,dihne/gkamen,διαφέρω,verb,w(/sq',ὥστε,conjunction,au(/th,οὗτος,pronoun,me\n,μέν,particle,h(,ὁ,article,kata\,κατά,preposition,ge/nos,γένος,noun,a)mfisbhtou=sa,ἀμφισβητέω,verb,pa/nta,πᾶς,adjective,to\n,xro/non,χρόνος,noun,diete/lese,διατελέω,verb,kai\,καί,conjunction,pro\s,πρός,preposition,au)to\n,αὐτός,pronoun,e)kei=non,ἐκεῖνος,pronoun,kai\,καί,conjunction,pro\s,πρός,preposition,*sw/polin,Σώπολις,proper,kai\,καί,conjunction,pro\s,πρός,preposition,th\n,ὁ,article,ὁ,article,mhte/r',μήτηρ,noun,au)tw=n,αὐτός,pronoun,diaferome/nh,διαφέρω,verb,kai\,καί,conjunction,dusmenw=s,δυσμενής,adverb,e)/xousa,ἔχω,verb,e)gw\,ἐγώ,pronoun,d',δέ,particle,ou),οὐ,adverb,mo/non,μόνος,adjective,peri\,περί,preposition,*qrasu/loxon,,,kai\,καί,conjunction,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,peri\,περί,preposition,au)th\n,αὐτός,pronoun,th\n,ὁ,article,ou)si/an,οὐσία,adjective,h(=s,ὅς,pronoun,a)mfisbhtou=men,ἀμφισβητέω,verb,fanh/somai,φαίνω,verb,plei/stou,πλεῖστος,adjective,tw=n,ὁ,article,fi/lwn,φίλος,adjective,a)/cios,ἄξιος,adjective,gegenhme/nos,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
