word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/67/lemma/@_entry,word/67/lemma/@_POS,word/69/lemma/@_entry,word/69/lemma/@_POS
po/teron,πότερος,adjective,dio/ti,διότι,conjunction,lampro\n,λαμπρός,adjective,h(,ὁ,article,do/ca,δόξα,noun,kai\,καί,conjunction,perifane\s,περιφανής,adverb,kai\,καί,conjunction,a)napeptame/non,ἀναπετάννυμι,verb,di',διά,preposition,h(\n,ὅς,pronoun,ai)ti/an,αἰτία,noun,toi=s,ὁ,article,a)gaqoi=s,ἀγαθός,adjective,kai\,καί,conjunction,timwme/nois,τιμάω,verb,a)ndra/sin,ἀνήρ,noun,a)pokalu/ptontai,ἀποκαλύπτω,verb,dia\,διά,preposition,tau/thn,οὗτος,pronoun,kai\,καί,conjunction,to\n,ὁ,article,e)pw/numon,ἐπώνυμος,adjective,th=s,ὁ,article,timh=s,τιμή,noun,qeo\n,θεός,noun,ou(/tw,οὕτως,adverb,proskunou=sin,προσκυνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,tou\s,ὁ,article,gonei=s,γονεύς,noun,e)kkomi/zousin,ἐκκομίζω,verb,oi(,ὁ,article,me\n,μέν,particle,ui(oi\,υἱός,noun,sugkekalumme/noi,συγκαλύπτω,verb,ai(,ὁ,article,de\,δέ,particle,qugate/res,θυγάτηρ,adjective,gumnai=s,γυμνός,adjective,tai=s,ὁ,article,kefalai=s,κεφαλή,noun,kai\,καί,conjunction,tai=s,ὁ,article,ko/mais,κόμη,noun,lelume/nais,λύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,o(/ti,ὅστις,pronoun,tima=sqai,τιμάω,verb,me\n,μέν,particle,u(po\,ὑπό,preposition,tw=n,ὁ,article,a)rre/nwn,ἄρσην,noun,dei=,δέομαι,verb,tou\s,ὁ,article,pate/ras,πατήρ,noun,w(s,ὡς,conjunction,qeou/s,θεός,noun,penqei=sqai,πενθέω,verb,d',δέ,particle,u(po\,ὑπό,preposition,tw=n,ὁ,article,qugate/rwn,θυγάτηρ,adjective,w(s,ὡς,conjunction,teqnhko/tas,θνήσκω,verb,e(kate/rw|,ἑκάτερος,adjective,to\,ὁ,article,oi)kei=on,οἰκεῖος,adjective,o(,ὁ,article,no/mos,νόμος,noun,a)podou\s,ἀποδίδωμι,verb,e)c,ἐκ,preposition,a)mfote/rwn,ἀμφότερος,adjective,e)poi/hse,ποιέω,verb,to\,ὁ,article,a(rmo/tton,ἁρμόζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,pe/nqous,πένθος,noun,me\n,μέν,particle,oi)kei=on,οἰκέω,verb,to\,ὁ,article,mh\,μή,conjunction,su/nhqes,σύνηθέω,verb,sunhqe/steron,συνήθης,adverb,de\,δέ,particle,tai=s,ὁ,article,me\n,μέν,particle,gunaici\n,γυνή,noun,e)gkekalumme/nais,ἐγκαλύπτω,verb,toi=s,ὁ,article,d',δέ,particle,a)ndra/sin,ἀνήρ,noun,a)kalu/ptois,ἀκάλυπτος,adjective,ei)s,εἰς,preposition,to\,ὁ,article,dhmo/sion,δημόσιος,adjective,proi+e/nai,πρόειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,par',παρά,preposition,*(/ellhsin,Ἕλλην,proper,o(/tan,ὅταν,conjunction,dustuxi/a,δυστυχία,noun,tis,τις,pronoun,ge/nhtai,γίγνομαι,verb,kei/rontai,κείρω,verb,me\n,μέν,particle,ai(,ὁ,article,gunai=kes,γυνή,noun,komw=si,κομάω,verb,d',δέ,particle,oi(,ὁ,article,a)/ndres,ἀνήρ,noun,o(/ti,ὅστις,pronoun,toi=s,ὁ,article,me\n,μέν,particle,to\,ὁ,article,kei/resqai,κείρω,verb,tai=s,ὁ,article,de\,δέ,particle,to\,ὁ,article,koma=n,κομάω,verb,su/nhqe\s,σύνηθέω,verb,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,tou\s,ὁ,article,me\n,μέν,particle,ui(ou\s,υἱός,noun,e)pikalu/ptesqai,ἐπικαλύπτω,verb,di',διά,preposition,h(\n,ὅς,pronoun,ei)rh/kamen,ἐρῶ,verb,ai)ti/an,αἰτία,noun,e)nomi/sqh,νομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)pi\,ἐπί,preposition,tw=n,ὁ,article,ta/fwn,τάφος,noun,w(/s,ὡς,conjunction,fhsi,φημί,verb,*ba/rrwn,,,peristre/fontai,περιστρέφω,verb,kaqa/per,καθά,adverb,qew=n,θέα,noun,i(era\,ἱερός,adjective,timw=ntes,τιμάω,verb,ta\,ὁ,article,tw=n,ὁ,article,pate/rwn,πατήρ,noun,mnh/mata,μνῆμα,noun,kai\,καί,conjunction,kau/santes,καίω,verb,tou\s,ὁ,article,gonei=s,γονεύς,noun,o(/tan,ὅταν,conjunction,o)ste/w|,ὀστέον,noun,prw=ton,πρότερος,adjective,e)ntu/xwsi,ἐντυγχάνω,verb,qeo\n,θεός,noun,gegone/nai,γίγνομαι,verb,to\n,ὁ,article,teqnhko/ta,θνήσκω,verb,le/gousi,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tai=s,ὁ,article,de\,δέ,particle,gunaici\n,γυνή,noun,ou)d',οὐδέ,particle,o(/lws,ὅλος,adjective,e)ch=n,ἔξεστι,verb,e)pikalu/ptesqai,ἐπικαλύπτω,verb,th\n,ὁ,article,kefalh/n,κεφαλή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(storei=tai,ἱστορέω,verb,gou=n,γοῦν,particle,o(/ti,ὅστις,pronoun,prw=tos,πρότερος,adjective,me\n,μέν,particle,e)ce/bale,ἐκβάλλω,verb,gunai=ka,γυνή,noun,*spo/rios,Σπόριος,proper,*karbi/lios,,,e)p',ἐπί,preposition,a)tekni/a|,ἀτεκνία,noun,deu/teros,δεύτερος,adjective,de\,δέ,particle,*soulpi/kios,Σουλπίκιος,proper,*ga/llos,Γάλλος,proper,e)felkusame/nhn,ἐφέλκω,verb,i)dw\n,εἶδον,verb,kata\,κατά,preposition,kefalh=s,κεφαλή,noun,to\,ὁ,article,i(ma/tion,ἱμάτιον,adjective,tri/tos,τρίτος,adjective,de\,δέ,particle,*po/plios,Πόπλιος,proper,*semprw/nios,Σεμπρώνιος,proper,a)gw=na,ἀγών,noun,qewrh/sasan,θεωρέω,verb,e)pita/fion,ἐπιτάφιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,to\n,ὁ,article,*te/rminon,,,w(=|,ὅς,pronoun,ta\,ὁ,article,*termina/lia,,,poiou=si,ποιέω,verb,qeo\n,θεός,noun,nomi/zontes,νομίζω,verb,ou)de\n,οὐδείς,pronoun,e)/quon,θύω,verb,au)tw=|,αὐτός,pronoun,zw=|on,ζώιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,*(rwmu/los,,,me\n,μέν,particle,o(/rous,ὅρος,adjective,ou)k,οὐ,adverb,e)/qhke,τίθημι,verb,th=s,ὁ,article,xw/ras,χώρα,noun,o(/pws,ὅπως,conjunction,e)ch=|,ἔξεστι,verb,proi+e/nai,πρόειμι,verb,kai\,καί,conjunction,a)pote/mnesqai,ἀποτέμνω,verb,kai\,καί,conjunction,nomi/zein,νομίζω,verb,pa=san,πᾶς,adjective,i)di/an,ἴδιος,adjective,w(/sper,ὥσπερ,adverb,o(,ὁ,article,*la/kwn,Λάκων,proper,ei)=pen,εἶπον,verb,h(=s,ὅς,pronoun,a)\n,ἄν,particle,to\,ὁ,article,do/ru,δόρυ,noun,e)fiknh=tai,ἐφικνέομαι,verb,*noma=s,νομεύς,noun,de\,δέ,particle,*pompi/lios,,,a)nh\r,ἀνήρ,noun,di/kaios,δίκαιος,adjective,kai\,καί,conjunction,politiko\s,πολιτικός,adjective,w)\n,εἰμί,verb,kai\,καί,conjunction,filo/sofos,φιλόσοφος,noun,geno/menos,γίγνομαι,verb,th/n,ὁ,article,te,τε,particle,xw/ran,χώρα,noun,w(ri/sato,ὁρίζω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,geitniw=ntas,γειτνιάω,verb,kai\,καί,conjunction,toi=s,ὁ,article,o(/rois,ὅρος,adjective,e)pifhmi/sas,ἐπιφημίζω,verb,to\n,ὁ,article,*te/rminon,w(s,ὡς,conjunction,e)pi/skopon,ἐπίσκοπος,noun,kai\,καί,conjunction,fu/laka,φύλαξ,noun,fili/as,φίλιος,adjective,kai\,καί,conjunction,ei)rh/nhs,εἰρήνη,noun,w)/|eto,οἴομαι,verb,dei=n,δέω,verb,ai(/matos,αἷμα,noun,kai\,καί,conjunction,fo/nou,φόνος,noun,kaqaro\n,καθαρός,adjective,kai\,καί,conjunction,a)mi/anton,ἀμίαντος,adjective,diafula/ttein,διαφυλάσσω,verb,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,dou/lais,δούλη,noun,to\,ὁ,article,th=s,ὁ,article,*leukoqe/as,Λευκοθέα,proper,i(ero\n,ἱερόν,noun,a)/bato/n,ἄβατος,adjective,e)sti,εἰμί,verb,mi/an,εἷς,adjective,de\,δέ,particle,mo/nhn,μόνος,adjective,ai(,ὁ,article,gunai=kes,γυνή,noun,ei)sa/gousai,εἰσάγω,verb,pai/ousin,παίω,verb,e)pi\,ἐπί,preposition,ko/rrhs,κόρση,noun,kai\,καί,conjunction,r(api/zousin,ῥαπίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,to\,ὁ,article,me\n,μέν,particle,tau/thn,οὗτος,pronoun,r(api/zesqai,ῥαπίζω,verb,su/mbolo/n,σύμβολον,noun,e)sti,εἰμί,verb,tou=,ὁ,article,mh\,μή,conjunction,e)cei=nai,ἔξεστι,verb,kwlu/ousi,κωλύω,verb,de\,δέ,particle,ta\s,ὁ,article,a)/llas,ἄλλος,adjective,dia\,διά,preposition,to\n,ὁ,article,mu=qon,μῦθος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,*)inw\,Ἰνώ,proper,zhlotuph/sasa,ζηλοτυπέω,verb,dou/lhn,δούλη,noun,e)pi\,ἐπί,preposition,tw=|,ὁ,article,a)ndri\,ἀνδρίς,noun,le/getai,λέγω,verb,peri\,περί,preposition,to\n,ὁ,article,ui(o\n,υἱός,noun,e)kmanh=nai,ἐκμαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,dou/lhn,δούλη,noun,*(/ellhnes,Ἕλλην,proper,*ai)twli/da,Αἰτωλίς,proper,ge/nei,γένος,noun,fasi\n,φημί,verb,ei)=nai,εἰμί,verb,kalei=sqai,καλέω,verb,d',δέ,particle,*)antife/ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,kai\,καί,conjunction,par',παρά,preposition,h(mi=n,ἐγώ,pronoun,e)n,ἐν,preposition,*xairwnei/a|,Χαιρωνεία,proper,pro\,πρό,preposition,tou=,ὁ,article,shkou=,σηκός,noun,th=s,ὁ,article,*leukoqe/as,Λευκοθέα,proper,o(,ὁ,article,newko/ros,νεωκόρος,noun,labw\n,λαμβάνω,verb,ma/stiga,μάστιξ,noun,khru/ttei,κηρύσσω,verb,mh\,μή,conjunction,dou=lon,δοῦλος,noun,ei)sie/nai,εἴσειμι,verb,mh\,μή,conjunction,dou/lan,δούλη,noun,mh\,μή,conjunction,*ai)twlo\n,Αἰτωλός,proper,mh\,μή,conjunction,*ai)twla/n,Αἰτωλός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,para\,παρά,preposition,th=|,ὁ,article,qew=|,θεός,noun,tau/th|,οὗτος,pronoun,toi=s,ὁ,article,me\n,μέν,particle,i)di/ois,ἴδιος,adjective,te/knois,τέκνον,noun,ou)k,οὐ,adverb,eu)/xontai,εὔχομαι,verb,ta)gaqa\,ἀγαθός,adjective,toi=s,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,a)delfw=n,ἀδελφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,o(/ti,ὅστις,pronoun,fila/delfos,φιλάδελφος,adjective,me/n,μέν,particle,tis,τις,pronoun,h(,ὁ,article,*)inw\,Ἰνώ,proper,kai\,καί,conjunction,to\n,ὁ,article,e)k,ἐκ,preposition,th=s,ὁ,article,a)delfh=s,ἀδελφή,noun,e)tiqhnh/sato,τιθηνέομαι,verb,au)th\,αὐτός,pronoun,de\,δέ,particle,peri\,περί,preposition,tou\s,ὁ,article,e(auth=s,ἑαυτοῦ,pronoun,pai=das,παῖς,adjective,e)dustu/xhsen,δυστυχέω,verb,h)\,ἠέ,conjunction,kai\,καί,conjunction,a)/llws,ἄλλως,adverb,h)qiko\n,ἠθικός,adjective,kai\,καί,conjunction,kalo\n,καλός,noun,to\,ὁ,article,e)/qos,ἔθος,noun,kai\,καί,conjunction,pollh\n,πολύς,adjective,paraskeua/zon,παρασκευάζω,verb,eu)/noian,εὔνοια,noun,tai=s,ὁ,article,oi)keio/thsi,οἰκειότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,tw=|,ὁ,article,*(hraklei=,Ἡρακλέης,proper,polloi\,πολύς,adjective,tw=n,ὁ,article,plousi/wn,πλούσιος,adjective,e)deka/teuon,δεκατεύω,verb,ta\s,ὁ,article,ou)si/as,οὐσία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,o(/ti,ὅστις,pronoun,ka)kei=nos,ἐκεῖνος,pronoun,e)n,ἐν,preposition,*(rw/mh|,,,tw=n,ὁ,article,*ghruo/nou,Γηρυόνης,proper,bow=n,βόα,noun,a)pe/quse,ἀποθύω,verb,th\n,ὁ,article,deka/thn,δέκατος,adjective,h)\,ἠέ,conjunction,o(/ti,ὅστις,pronoun,*(rwmai/ous,,,u(po\,ὑπό,preposition,*turrhnw=n,Τυρρηνός,proper,dekateuome/nous,δεκατεύω,verb,a)ph/llacen,ἀπαλλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,tau=ta,οὗτος,pronoun,me\n,μέν,particle,ou)k,οὐ,adverb,e)/xei,ἔχω,verb,th\n,ὁ,article,i(stori/an,ἱστορία,noun,a)cio/piston,ἀξιόπιστος,adjective,w(s,ὡς,conjunction,d',δέ,particle,a)dhfa/gw|,ἀδηφάγος,adjective,tini\,τις,pronoun,tw=|,ὁ,article,*(hraklei=,Ἡρακλέης,proper,kai\,καί,conjunction,eu)qoi/nw|,εὔθοινος,adjective,dayilw=s,δαψιλής,adverb,kai\,καί,conjunction,a)fqo/nws,ἄφθονος,adjective,a)pe/quon,ἀποθύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,ma=llon,μᾶλλον,adverb,w(s,ὡς,conjunction,e)paxqh=,ἐπαχθής,adverb,toi=s,ὁ,article,poli/tais,πολίτης,noun,to\n,ὁ,article,u(perba/llonta,ὑπερβάλλω,verb,plou=ton,πλοῦτος,noun,kolou/ontes,κολούω,verb,kai\,καί,conjunction,kaqa/per,καθά,adverb,eu)eci/as,εὐεξία,noun,e)p',ἐπί,preposition,a)/kron,ἄκρον,noun,eu)swmatou/shs,εὐσωματέω,verb,a)fairou=ntes,ἀφαιρέω,verb,w)/|onto,οἴομαι,verb,ma/lista,μάλιστα,adverb,tima=sqai,τιμάω,verb,to\n,ὁ,article,*(hrakle/a,Ἡράκλεα,proper,kai\,καί,conjunction,xai/rein,χαίρω,verb,tai=s,ὁ,article,toiau/tais,τοιοῦτος,adjective,a)poxrh/sesi,ἀπόχρησις,noun,kai\,καί,conjunction,sustolai=s,συστολή,noun,tw=n,ὁ,article,perittw=n,περισσός,adjective,eu)telh=,εὐτελής,adverb,kai\,καί,conjunction,au)ta/rkh,αὐτάρκης,adverb,kai\,καί,conjunction,a)pe/ritton,ἀπέριττος,adjective,tw=|,ὁ,article,bi/w|,βίος,adjective,geno/menon,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ti/,τίς,pronoun,to\n,ὁ,article,*)ianoua/rion,,,mh=na,μείς,adjective,ne/ou,νέος,adjective,e)/tous,ἔτος,noun,a)rxh\n,ἀρχή,noun,lamba/nousi,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
