word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS
proteta/xqwn,προτάσσω,verb,de\,δέ,particle,au)tw=n,αὐτός,pronoun,oi(,ἕ,pronoun,th=s,ὁ,article,spei/ras,σπείρω,verb,th=s,ὁ,article,*)italikh=s,Ἰταλικός,adjective,pezoi/,πεζός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntwn,πᾶς,adjective,de\,δέ,particle,h(gei/sqw,ἡγέομαι,verb,*pou/lxer,,,o(/sper,ὅς,pronoun,kai\,καί,conjunction,th=s,ὁ,article,spei/ras,σπείρω,verb,th=s,ὁ,article,*)italikh=s,Ἰταλικός,adjective,a)/rxei,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tw|,οὗτος,pronoun,e)pitetra/fqw,ἐπιτρέπω,verb,au)to/s,αὐτός,pronoun,te,τε,particle,o(,ὁ,article,*ou)asa/khs,,,kai\,καί,conjunction,*)/arbhlos,Ἄρβηλος,proper,kai\,καί,conjunction,e)kei/nwn,ἐκεῖνος,pronoun,i(ppiko/n,ἱππικός,adjective,te,τε,particle,kai\,καί,conjunction,peziko/n,πεζικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tou=,ὁ,article,a)risterou=,ἀριστερός,adjective,teta/xqwn,τάσσω,verb,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,to\,ὁ,article,u(perdeciw/taton,ὑπερδέξιος,adjective,tou=,ὁ,article,ke/rws,κέρας,noun,e)/xontes,ἔχω,verb,oi(/,ἕ,pronoun,te,τε,particle,a)po\,ἀπό,preposition,th=s,ὁ,article,smikra=s,μικρός,adjective,*)armeni/as,Ἀρμένιος,proper,su/mmaxoi,σύμμαχος,adjective,kai\,καί,conjunction,oi(,ὁ,article,*trapezounti/wn,Τραπεζούντιος,proper,gumnh=tes,γυμνής,noun,kai\,καί,conjunction,oi(,ὁ,article,*(rizianoi\,,,logxofo/roi,λογχοφόρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proteta/xqwn,προτάσσω,verb,de\,δέ,particle,tou/twn,οὗτος,pronoun,oi(,ὁ,article,*)aplanoi\,,,oi(,ὁ,article,diako/sioi,διακόσιοι,adjective,kai\,καί,conjunction,*kurhnai=oi,Κυρηναῖος,proper,oi(,ὁ,article,e(kato/n,ἑκατόν,noun,w(s,ὡς,conjunction,probolh\n,προβολή,noun,me\n,μέν,particle,ei)=nai,εἰμί,verb,pro\,πρό,preposition,tw=n,ὁ,article,a)kontistw=n,ἀκοντιστής,noun,tou\s,ὁ,article,o(pli/tas,ὁπλίτης,noun,tou\s,ὁ,article,de\,δέ,particle,u(perakonti/zein,ὑπερακοντίζω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,u(perdeciou=,ὑπερδεξιόομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,e)n,ἐν,preposition,me/sw|,μέσος,adjective,su/mpan,σύμπας,adjective,to\,ὁ,article,me\n,μέν,particle,decio\n,δεξιός,adjective,e)xe/tw,ἔχω,verb,h(,ὁ,article,pezikh\,πεζικός,adjective,fa/lagc,φάλαγξ,noun,h(,ὁ,article,pentekaideka/th,πεντεκαιδέκατος,adjective,u(pe\r,ὑπέρ,preposition,to\,ὁ,article,me/son,μέσος,adjective,tou=,ὁ,article,panto\s,πᾶς,adjective,xwri/ou,χωρίον,noun,o(/ti,ὅστις,pronoun,polu\,πολύς,adjective,plei/ones,πλείων,verb,plh/qei,πλῆθος,noun,ou(=toi/,οὗτος,pronoun,ei)si,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,u(po/loipon,ὑπόλοιπος,adjective,tou=,ὁ,article,a)risterou=,ἀριστερός,adjective,e)kplhrou/ntwn,ἐκπληρόω,verb,oi(,ἕ,pronoun,th=s,ὁ,article,dwdeka/ths,δωδέκατος,adjective,fa/laggos,φάλαγξ,noun,pezoi\,πεζός,adjective,e)/ste,εἰμί,verb,e)pi\,ἐπί,preposition,to\,ὁ,article,a)/kron,ἄκρον,noun,tou=,ὁ,article,ke/rws,κέρας,noun,tou=,ὁ,article,a)risterou=,ἀριστερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teta/xqwn,τάσσω,verb,de\,δέ,particle,e)pi\,ἐπί,preposition,o)ktw/,ὀκτώ,adverb,kai\,καί,conjunction,puknh\,πυκνός,adjective,au)toi=s,αὐτός,pronoun,e)/stw,εἰμί,verb,h(,ὁ,article,su/gkleisis,σύγκλεισις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ai(,ὁ,article,me\n,μέν,particle,prw=tai,πρότερος,adjective,te/ssares,τέσσαρες,noun,ta/ceis,τάξις,noun,e)/stwn,εἰμί,verb,kontofo/rwn,κοντοφόρος,adjective,w(=n,ὅς,pronoun,dh\,δή,particle,toi=s,ὁ,article,kontoi=s,κοντός,noun,makra\,μακρός,adjective,kai\,καί,conjunction,e)pi/lepta,ἐπίλεπτος,adjective,ta\,ὁ,article,sidh/ria,σιδήριον,noun,proh=ktai,προάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tous,οὗτος,pronoun,oi(,ὁ,article,me\n,μέν,particle,prwtosta/tai,πρωτοστάτης,adjective,e)s,εἰς,preposition,probolh\n,προβολή,noun,e)xo/ntwn,ἔχω,verb,w(s,ὡς,conjunction,ei),εἰ,conjunction,pela/zoien,πελάζω,verb,au)toi=s,αὐτός,pronoun,oi(,ὁ,article,pole/mioi,πολέμιος,adjective,kata\,κατά,preposition,ta\,ὁ,article,sth/qh,στῆθος,noun,ma/lista,μάλιστα,adverb,tw=n,ὁ,article,i(/ppwn,ἵππος,noun,ti/qesqai,τίθημι,verb,tw=n,ὁ,article,kontw=n,κοντός,noun,to\n,ὁ,article,si/dhron,σίδηρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,deuterosta/tai,δευτεροστάτης,noun,de\,δέ,particle,kai\,καί,conjunction,oi(,ἕ,pronoun,th=s,ὁ,article,tri/ths,τρίτος,adjective,kai\,καί,conjunction,teta/rths,τέταρτος,adjective,ta/cews,τάξις,noun,e)s,εἰς,preposition,a)kontismo\n,ἀκοντισμός,noun,probeblh/sqwn,προβάλλω,verb,tou\s,ὁ,article,kontou\s,κοντός,noun,o(/pou,ὅπου,adverb,tu/xoien,τυγχάνω,verb,kai\,καί,conjunction,i(/ppous,ἵππος,noun,trw/sontes,τιτρώσκω,verb,kai\,καί,conjunction,i(ppo/thn,ἱππότης,noun,katakanou=ntes,κατακαίνω,verb,h)\,ἠέ,conjunction,qurew=|,θυρεός,noun,kai\,καί,conjunction,qw/raki,θώραξ,noun,e)mpage/ntos,ἐμπάσσω,verb,tou=,ὁ,article,kontou=,κοντός,noun,kai\,καί,conjunction,dia\,malqako/thta,μαλθακότης,noun,tou=,ὁ,article,sidh/rou,σίδηρον,noun,e)pikamfqe/ntos,ἐπικάμπτω,verb,a)xrei=on,ἀχρεῖος,adjective,to\n,ὁ,article,a)naba/thn,ἀναβάτης,noun,poih/sontes,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,διά,preposition
ai(,ὁ,article,de\,δέ,particle,e)fech=s,ἐφεξῆς,adverb,ta/ceis,τάξις,noun,logxofo/rwn,λογχοφόρος,adjective,e)/stwn,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)na/th,ἔνατος,adjective,de\,δέ,particle,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,e)/stw,εἰμί,verb,ta/cis,τάξις,noun,oi(,ὁ,article,pezoi\,πεζός,adjective,toco/tai,τοξότης,noun,oi(,ἕ,pronoun,tw=n,ὁ,article,*noma/dwn,νομάς,noun,kai\,καί,conjunction,*kurhnai/wn,Κυρηναῖος,proper,kai\,καί,conjunction,*bosporanw=n,,,te,τε,particle,kai\,καί,conjunction,*)itourai/wn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhxanai\,μηχανή,noun,de\,δέ,particle,e)festa/ntwn,,,tw=|,ὁ,article,ke/ra|,κέρας,noun,e(kate/rw|,ἑκάτερος,adjective,w(s,ὡς,conjunction,porrwta/tw,προσωτέρω,adverb,prosio/ntwn,πρόσειμι,verb,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,e)cakonti/zein,ἐξακοντίζω,verb,kai\,καί,conjunction,au(=tai,οὗτος,pronoun,kato/pin,κατόπιν,adverb,th=s,ὁ,article,pa/shs,πᾶς,adjective,fa/laggos,φάλαγξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,i(ppiko\n,ἱππικός,adjective,su/mpan,σύμπας,adjective,kata\,κατά,preposition,i)/las,ἴλη,noun,kai\,καί,conjunction,lo/xous,λόχος,noun,o)ktw\,ὀκτώ,adverb,suntetagme/non,συντάσσω,verb,e)festa/tw,ἐφίστημι,verb,toi=s,ὁ,article,pezoi=s,πεζός,adjective,to\,ὁ,article,me\n,μέν,particle,toi=s,ὁ,article,ke/rasin,κέρας,noun,e(kate/rois,ἑκάτερος,adjective,probolh\n,προβολή,noun,e)/xon,ἔχω,verb,tou\s,ὁ,article,o(pli/tas,ὁπλίτης,noun,pro\,πρό,preposition,sfw=n,σφεῖς,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,toco/tas,τοξότης,noun,lo/xoi,λόχος,noun,du/o,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,th=|,ὁ,article,me/sh|,μέσος,adjective,fa/laggi,φάλαγξ,noun,lo/xoi,λόχος,noun,e(/c,ἕξ,adjective,mhmion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,de\,δέ,particle,o(/soi,ὅσος,adjective,me\n,μέν,particle,i(ppotoco/tai,ἱπποτοξότης,noun,plhsi/on,πλησίος,adjective,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,e)festa/ntwn,,,w(s,ὡς,conjunction,u(pertoceu/ein,ὑπερτοξεύω,verb,u(pe\r,ὑπέρ,preposition,au)th/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/soi,ὅσος,adjective,de\,δέ,particle,logxofo/roi,λογχοφόρος,adjective,h)\,ἠέ,conjunction,kontofo/roi,κοντοφόρος,adjective,h)\,ἠέ,conjunction,maxairofo/roi,μαχαιροφόρος,adjective,h)\,ἠέ,conjunction,pelekofo/roi,πελεκοφόρος,noun,e)s,εἰς,preposition,ta\,ὁ,article,pla/gia/,πλάγιον,noun,te,τε,particle,e(kate/rwqen,ἑκατέρωθεν,adverb,o(rw/ntwn,ὁράω,verb,kai\,καί,conjunction,to\,ὁ,article,su/nqhma,σύνθημα,noun,prosmeno/ntwn,προσμένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,e)pi/lektoi,ἐπίλεκτος,adjective,i(pph=s,ἱππεύς,noun,a)mf',ἀμφί,preposition,au)to\n,αὐτός,pronoun,*cenofw=nta,Ξενοφῶν,proper,e)/stwn,εἰμί,verb,kai\,καί,conjunction,tw=n,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,pezw=n,πεζός,adjective,o(/son,ὅσος,adjective,e)s,εἰς,preposition,diakosi/ous,διακόσιοι,adjective,oi(,ὁ,article,swmatofu/lakes,σωματοφύλαξ,adjective,kai\,καί,conjunction,e(kato/ntarxoi,ἑκατόνταρχος,noun,o(/soi,ὅσος,adjective,toi=s,ὁ,article,e)pile/ktois,ἐπίλεκτος,adjective,suntetagme/noi,συντάσσω,verb,kai\,καί,conjunction,oi(,ἕ,pronoun,tw=n,ὁ,article,swmatofula/kwn,σωματοφύλαξ,adjective,h(gemo/nes,ἡγεμών,noun,kai\,καί,conjunction,de/karxoi,oi(,ἕ,pronoun,tw=n,ὁ,article,e)pile/ktwn,ἐπίλεκτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stwn,εἰμί,verb,de\,δέ,particle,a)mf',ἀμφί,preposition,au)to\n,αὐτός,pronoun,as,,,e(kato\n,ἑκατόν,noun,kou/fwn,κοῦφος,adjective,logxofo/rwn,λογχοφόρος,adjective,w(s,ὡς,conjunction,pa=san,πᾶς,adjective,e)pifoitw=n,ἐπιφοιτάω,verb,th\n,ὁ,article,fa/lagga,φάλαγξ,noun,o(/pou,ὅπου,adverb,ti,τις,pronoun,e)ndee\s,ἐνδεής,adjective,katamanqa/noi,καταμανθάνω,verb,e)kei=no,ἐκεῖνος,pronoun,i)/dh|,εἶδον,verb,kai\,καί,conjunction,qerapeu/sh|,θεραπεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gei/sqw,ἡγέομαι,verb,de\,δέ,particle,tou=,ὁ,article,me\n,μέν,particle,deciou=,δεξιός,adjective,ke/rws,κέρας,noun,panto\s,πᾶς,adjective,su\n,σύν,preposition,tw=|,ὁ,article,i(ppikw=|,ἱππικός,adjective,*ou)a/lhs,,,o(/sper,ὅς,pronoun,kai\,καί,conjunction,th=s,ὁ,article,pentekaideka/ths,πεντεκαιδέκατος,adjective,fa/laggos,φάλαγξ,noun,h(gemw/n,ἡγεμών,noun,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,de\,δέ,particle,a)risterou=,ἀριστερός,adjective,oi(,ὁ,article,xili/arxoi,χιλίαρχος,noun,th=s,ὁ,article,dwdeka/ths,δωδέκατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,de\,δέ,particle,taxqe/ntwn,τάσσω,verb,sigh\,σιγή,noun,e)/stw,εἰμί,verb,e)/st',εἰμί,verb,a)\n,ἄν,particle,pela/swsin,πελάω,verb,e)nto\s,ἐντός,adverb,be/lous,βέλος,noun,oi(,ὁ,article,pole/mioi,πολέμιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pelazo/ntwn,πελάζω,verb,de\,δέ,particle,h)/dh,ἤδη,adverb,w(s,ὡς,conjunction,me/giston,μέγας,adverb,kai\,καί,conjunction,foberw/taton,φοβερός,adjective,a)lala/zein,ἀλαλάζω,verb,su/mpantas,σύμπας,adjective,tw=|,ὁ,article,*)enuali/w|,Ἐνυάλιος,proper,kai\,καί,conjunction,be/lh,βέλος,noun,te,τε,particle,a)po\,ἀπό,preposition,mhxanw=n,μηχανή,noun,kai\,καί,conjunction,li/qous,λίθος,adjective,a)fi/esqai,ἀφίημι,verb,kai\,καί,conjunction,be/lh,βέλος,noun,a)po\,ἀπό,preposition,to/cwn,τόξον,noun,kai\,καί,conjunction,ta\s,ὁ,article,lo/gxas,λόγχη,noun,oi(,ὁ,article,logxofo/roi,λογχοφόρος,adjective,a)kontizo/ntwn,ἀκοντίζω,verb,oi(/,ἕ,pronoun,te,τε,particle,yiloi\,kai\,καί,conjunction,oi(,ὁ,article,qeiastai/,θειαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ψιλός,adjective
fere/sqwn,φέρω,verb,de\,δέ,particle,kai\,καί,conjunction,li/qoi,λίθος,adjective,e)s,εἰς,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,a)po\,ἀπό,preposition,tou=,ὁ,article,summaxikou=,συμμαχικός,adjective,e)k,ἐκ,preposition,tw=n,ὁ,article,u(perdeci/wn,ὑπερδέξιος,adjective,kai\,καί,conjunction,to\,ὁ,article,pa=n,πᾶς,adjective,a)krobolismo\s,ἀκροβόλισις,noun,e)/stw,εἰμί,verb,pantaxo/qen,πανταχόθεν,adverb,w(s,ὡς,conjunction,e)/ni,ἐν,preposition,pukno/tatos,πυκνος,noun,e)s,εἰς,preposition,ta/raci/n,τάραξις,adjective,te,τε,particle,tw=n,ὁ,article,i(/ppwn,ἵππος,noun,kai\,καί,conjunction,o)/leqron,ὄλεθρος,noun,tw=n,ὁ,article,i(ppe/wn,ἱππεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)lpi\s,ἐλπίς,noun,me\n,μέν,particle,u(po\,ὑπό,preposition,a)dihgh/tou,ἀδιήγητος,adjective,plh/qous,πλῆθος,noun,tw=n,ὁ,article,belw=n,βέλος,noun,mh\,μή,conjunction,e)pi\,ἐπί,preposition,ple/on,πλέος,adjective,pela/sein,πελάω,verb,th=|,ὁ,article,pezikh=|,πεζικός,adjective,fa/laggi,φάλαγξ,noun,e)pelau/nontas,ἐπελαύνω,verb,tou\s,ὁ,article,*sku/qas,Σκύθης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,dh\,δή,particle,pela/zoien,πελάζω,verb,e)gxri/myantas,ἐγχρίμπτω,verb,tai=s,ὁ,article,a)spi/si,ἀσπίς,noun,kai\,καί,conjunction,toi=s,ὁ,article,w)/mois,ὦμος,noun,a)nterei/santas,ἀντερείδω,verb,de/xesqai,δέχομαι,verb,th\n,ὁ,article,prosbolh\n,προσβολή,noun,w(s,ὡς,conjunction,karterw/tata,καρτερός,adjective,kai\,καί,conjunction,th=|,ὁ,article,sugklei/sei,σύγκλεισις,adjective,puknota/th|,πυκνος,noun,ta\s,ὁ,article,prw/tas,πρότερος,adjective,trei=s,τρέω,verb,ta/ceis,τάξις,noun,sunereidou/sas,συνερείδω,verb,sfi/sin,σφεῖς,pronoun,w(s,ὡς,conjunction,biaio/taton,βίαιος,adjective,oi(=o/n,οἷος,adjective,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,teta/rthn,τέταρτος,adjective,de\,δέ,particle,u(perakonti/zein,ὑπερακοντίζω,verb,ta\s,ὁ,article,lo/gxas,λόγχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,th\n,ὁ,article,prw/thn,πρότερος,adjective,pai/ein,παίω,verb,h)\,ἠέ,conjunction,a)konti/zein,ἀκοντίζω,verb,toi=s,ὁ,article,kontoi=s,κοντός,noun,a)feidw=s,ἀφειδής,adverb,e)/s,εἰς,preposition,te,τε,particle,i(/ppous,ἵππος,noun,kai\,καί,conjunction,au)tou/s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pwsqe/ntwn,ἀπωθέω,verb,de\,δέ,particle,ei),εἰ,conjunction,me\n,μέν,particle,fugh\,φυγή,noun,lampra\,λαμπρός,adjective,ge/noito,γίγνομαι,verb,diaxwrei=n,διαχωρέω,verb,h)/dh,ἤδη,adverb,ta\s,ὁ,article,pezika\s,πεζικός,adjective,ta/ceis,τάξις,noun,kai\,καί,conjunction,e)pelau/nein,ἐπελαύνω,verb,tou\s,ὁ,article,i(ppe/as,ἱππεύς,noun,mh\,μή,conjunction,pa/ntas,πᾶς,adjective,tou\s,ὁ,article,lo/xous,λόχος,noun,a)lla\,ἀλλά,adverb,tou\s,ὁ,article,h(mi/seas,ἥμισυς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teta/xqai,τάσσω,verb,de\,δέ,particle,prw/tous,πρότερος,adjective,oi(/tines,ὅστις,pronoun,kai\,καί,conjunction,prw=toi,πρότερος,adjective,e)pela/sousin,ἐπελαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,de\,δέ,particle,a)/llous,ἄλλος,adjective,h(mi/seas,ἥμισυς,adjective,e(/pesqai,ἕπομαι,verb,me\n,μέν,particle,toi=s,ὁ,article,e)pelau/nousin,ἐπελαύνω,verb,e)n,ἐν,preposition,ta/cei,τάξις,noun,de\,δέ,particle,kai\,καί,conjunction,mh\,μή,conjunction,pantelei=,παντελής,adverb,th=|,ὁ,article,diw/cei,δίωξις,adjective,xrwme/nous,χράομαι,verb,w(s,ὡς,conjunction,ei),εἰ,conjunction,me\n,μέν,particle,fugh\,φυγή,noun,kartera\,καρτερός,adjective,kata/sxoi,κατέχω,verb,e)kde/casqai,ἐκδέχομαι,verb,th\n,ὁ,article,prw/thn,πρότερος,adjective,di/wcin,δίωξις,adjective,a)kmh/tois,ἄκμητος,adjective,toi=s,ὁ,article,i(/ppois,ἵππος,noun,ei),εἰ,conjunction,de/,tis,τις,pronoun,e)pistrofh\,ἐπιστροφή,noun,katalamba/noi,καταλαμβάνω,verb,e)piqe/sqai,ἐπιτίθημι,verb,toi=s,ὁ,article,e)pistre/fousin,ἐπιστρέφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle
