word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/59/lemma/@_entry,word/59/lemma/@_POS,word/68/lemma/@_entry,word/68/lemma/@_POS
meta\,μετά,preposition,de\,δέ,particle,tau=ta,οὗτος,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,e)peidh\,ἐπεί,conjunction,o(,ὁ,article,*sikeliko\s,Σικελικός,adjective,kata/plous,κατάπλοος,noun,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,ai(,ὁ,article,timai\,τιμή,noun,tou=,ὁ,article,si/tou,σῖτος,noun,e)p',ἐπί,preposition,e)/latton,ἐλάσσων,adjective,e)ba/dizon,βαδίζω,verb,kai\,καί,conjunction,h(,ὁ,article,nau=s,ναῦς,noun,h(,ὁ,article,tou/twn,οὗτος,pronoun,a)nh=kto,ἀνάγω,verb,ei)s,εἰς,preposition,*ai)/gupton,Αἴγυπτος,proper,eu)qe/ws,εὐθύς,adverb,ou(=tos,οὗτος,pronoun,a)poste/llei,ἀποστέλλω,verb,tina\,τις,pronoun,ei)s,εἰς,preposition,th\n,ὁ,article,*(ro/don,,,a)paggelou=nta,ἀπαγγέλλω,verb,tw=|,ὁ,article,*parmeni/skw|,Παρμενίσκος,proper,tw=|,ὁ,article,koinwnw=|,κοινωνός,noun,ta\,ὁ,article,e)nqe/nde,kaqesthko/ta,καθίστημι,verb,a)kribw=s,ἀκριβῶς,adverb,ei)dw\s,οἶδα,verb,o(/ti,ὅστις,pronoun,a)nagkai=on,ἀναγκαῖος,adjective,ei)/h,ἀίω,verb,th=|,ὁ,article,nhi\,ναῦς,noun,prossxei=n,προσέχω,verb,ei)s,εἰς,preposition,*(ro/don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐνθένδε,adverb,,,,
pe/ras,πέρας,noun,d',δέ,particle,ou)=n,οὖν,particle,labw\n,λαμβάνω,verb,ga\r,γάρ,particle,o(,ὁ,article,*parmeni/skos,,,o(,ὁ,article,toutoui\,οὗτος,pronoun,koinwno\s,κοινωνός,noun,ta\,ὁ,article,gra/mmata,γράμμα,noun,ta\,ὁ,article,para\,παρά,preposition,tou/tou,οὗτος,pronoun,a)postale/nta,ἀποστέλλω,verb,kai\,καί,conjunction,puqo/menos,πύθω,verb,ta\s,ὁ,article,tima\s,τιμή,noun,ta\s,ὁ,article,e)nqa/de,ἐνθάδε,adverb,kaqesthkui/as,καθίστημι,verb,e)cairei=tai,ἐξαιρέω,verb,to\n,ὁ,article,si=ton,σῖτος,noun,e)n,ἐν,preposition,th=|,ὁ,article,*(ro/dw|,,,ka)kei=,ἐκεῖ,adverb,a)podi/dotai,ἀποδίδωμι,verb,katafronh/santes,καταφρονέω,verb,me\n,μέν,particle,th=s,ὁ,article,suggrafh=s,συγγραφεύς,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,kai\,καί,conjunction,tw=n,ὁ,article,e)pitimi/wn,a(\,ὅς,pronoun,sunegra/yanto,συγγράφω,verb,au)toi\,αὐτός,pronoun,ou(=toi,οὗτος,pronoun,kaq',κατά,preposition,au(tw=n,ἑαυτοῦ,pronoun,e)a/n,ἐάν,conjunction,ti,τις,pronoun,parabai/nwsin,παραβαίνω,verb,katafronh/santes,καταφρονέω,verb,de\,δέ,particle,tw=n,ὁ,article,no/mwn,νόμος,noun,tw=n,ὁ,article,u(mete/rwn,ὑμέτερος,adjective,oi(\,ἕ,pronoun,keleu/ousi,κελεύω,verb,tou\s,ὁ,article,nauklh/rous,kai\,καί,conjunction,tou\s,ὁ,article,e)piba/tas,ἐπιβάτης,noun,plei=n,πλέω,verb,ei)s,εἰς,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,a)\n,ἄν,particle,sunqw=ntai,e)mpo/rion,ἐμπόριον,noun,ei),εἰ,conjunction,de\,δέ,particle,mh/,μή,conjunction,tai=s,ὁ,article,megi/stais,μέγας,adverb,zhmi/ais,ζημία,noun,ei)=nai,εἰμί,verb,e)no/xous,ἔνοχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιτίμιον,noun,ναύκληρος,noun,συνθέω,verb
kai\,καί,conjunction,h(mei=s,ἐγώ,pronoun,e)peidh\,ἐπεί,conjunction,ta/xista,τάχιστος,adjective,e)puqo/meqa,πύθω,verb,to\,ὁ,article,gegono/s,γίγνομαι,verb,e)kpeplhgme/noi,ἐκπλήσσω,verb,tw=|,ὁ,article,pra/gmati,πρᾶγμα,noun,prosh=|men,πρόσειμι,verb,tou/tw|,οὗτος,pronoun,tw=|,ὁ,article,a)rxite/ktoni,ἀρχιτέκτων,noun,th=s,ὁ,article,o(/lhs,ὅλος,adjective,e)piboulh=s,ἐπιβουλή,noun,a)ganaktou=ntes,ἀγανακτέω,verb,oi(=on,οἷος,adjective,ei)ko/s,ἔοικα,verb,kai\,καί,conjunction,e)gkalou=ntes,ἐγκαλέω,verb,o(/ti,ὅστις,pronoun,diarrh/dhn,διαρρήδην,adverb,h(mw=n,ἐγώ,pronoun,diorisame/nwn,διορίζω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,sunqh/kais,συνθήκη,noun,o(/pws,ὅπως,conjunction,h(,ὁ,article,nau=s,ναῦς,noun,mhdamo/se,μηδαμόσε,adverb,katapleu/setai,καταπλέω,verb,a)ll',ἀλλά,adverb,h)\,ἠέ,conjunction,ei)s,εἰς,preposition,*)aqh/nas,Ἀθήνευς,proper,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tau/tais,tai=s,ὁ,article,o(mologi/ais,ὁμολογία,noun,daneisa/ntwn,δανείζω,verb,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,h(ma=s,ἐγώ,pronoun,me\n,μέν,particle,e)n,ἐν,preposition,u(poyi/a|,ὑποψία,noun,katale/loipen,καταλιμπάνω,verb,toi=s,ὁ,article,boulome/nois,βούλομαι,verb,ai)tia=sqai,αἰτιάομαι,verb,kai\,καί,conjunction,le/gein,λέγω,verb,w(s,ὡς,conjunction,a)/ra,ἄρα,particle,kai\,καί,conjunction,h(mei=s,kekoinwnh/kamen,κοινωνέω,verb,th=s,ὁ,article,sithgi/as,σιτηγία,noun,th=s,ὁ,article,ei)s,εἰς,preposition,th\n,ὁ,article,*(ro/don,,,au)toi\,αὐτός,pronoun,de\,ou)de\n,οὐδείς,pronoun,ma=llon,μᾶλλον,adverb,th\n,ὁ,article,nau=n,ναῦς,noun,h(/kousi,ἥκω,verb,katakomi/zontes,κατακομίζω,verb,ei)s,εἰς,preposition,to\,ὁ,article,u(me/teron,ὑμέτερος,adjective,e)mpo/rion,ἐμπόριον,noun,ei)s,εἰς,preposition,o(\,ὅς,pronoun,sunegra/yanto,συγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,ἐγώ,pronoun,δέ,particle
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,ou)de\n,οὐδείς,pronoun,e)perai/nomen,ἐπιρραίνω,verb,u(pe\r,ὑπέρ,preposition,th=s,ὁ,article,suggrafh=s,συγγραφεύς,noun,kai\,καί,conjunction,tw=n,ὁ,article,dikai/wn,δίκαιος,adjective,dialego/menoi,διαλέγω,verb,a)lla\,ἀλλά,adverb,to/,ὁ,article,ge,γε,particle,da/neion,δάνειον,noun,kai\,καί,conjunction,tou\s,ὁ,article,to/kous,τόκος,noun,h)ciou=men,ἀξιόω,verb,a)polabei=n,ἀπολαμβάνω,verb,tou\s,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,o(mologhqe/ntas,ὁμολογέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,de\,δέ,particle,ou(/tws,οὕτως,adverb,u(bristikw=s,ὑβριστικός,adjective,e)xrh/sato,χράω,verb,h(mi=n,ἐγώ,pronoun,w(/ste,ὥστε,conjunction,tou\s,ὁ,article,me\n,μέν,particle,to/kous,τόκος,noun,tou\s,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,suggrafh=|,συγγραφεύς,noun,gegramme/nous,γράφω,verb,ou)k,οὐ,adverb,e)/fh,φημί,verb,dw/sein,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,bou/lesqe,βούλομαι,verb,e)/fh,φημί,verb,komi/zesqai,κομίζω,verb,to\,ὁ,article,pro\s,πρός,preposition,me/ros,μέρος,noun,tou=,ὁ,article,plou=,πλόος,noun,tou=,ὁ,article,pepleusme/nou,πλέω,verb,dw/sw,δίδωμι,verb,u(mi=n,σύ,pronoun,fhsi\n,φημί,verb,tou\s,ὁ,article,ei)s,εἰς,preposition,*(ro/don,,,to/kous,τόκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plei/ous,πλέως,adjective,d',δέ,particle,ou)k,οὐ,adverb,a)\n,ἄν,particle,doi/hn,δίδωμι,verb,au)to\s,αὐτός,pronoun,e(autw=|,ἑαυτοῦ,pronoun,nomoqetw=n,νομοθετέω,verb,kai\,καί,conjunction,ou)xi\,οὐ,adverb,toi=s,ὁ,article,e)k,ἐκ,preposition,th=s,ὁ,article,suggrafh=s,συγγραφεύς,noun,dikai/ois,δίκαιος,adjective,peiqo/menos,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,h(mei=s,ἐγώ,pronoun,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)/famen,φημί,verb,sugxwrh=sai,συγχωρέω,verb,ou)de\n,οὐδείς,pronoun,tou/twn,οὗτος,pronoun,logizo/menoi,λογίζομαι,verb,o(/ti,ὅστις,pronoun,o(po/te,ὁπότε,adverb,tou=to,οὗτος,pronoun,pra/comen,πράσσω,verb,o(mologou=men,ὁμολογέω,verb,kai\,καί,conjunction,au)toi\,αὐτός,pronoun,ei)s,εἰς,preposition,*(ro/don,,,sesithghke/nai,σιτηγέω,verb,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,e)pe/teinen,ἐπιτείνω,verb,ou(=tos,οὗτος,pronoun,kai\,καί,conjunction,ma/rturas,μάρτυς,noun,pollou\s,πολύς,adjective,paralabw\n,παραλαμβάνω,verb,prosh/|ei,πρόσειμι,verb,fa/skwn,φάσκω,verb,e(/toimos,ἑτοῖμος,adjective,ei)=nai,εἰμί,verb,a)podido/nai,ἀποδίδωμι,verb,to\,ὁ,article,da/neion,δάνειον,noun,kai\,καί,conjunction,tou\s,ὁ,article,to/kous,τόκος,noun,tou\s,ὁ,article,ei)s,εἰς,preposition,*(ro/don,ou)de\n,οὐδείς,pronoun,ma=llon,μᾶλλον,adverb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,a)podou=nai,ἀποδίδωμι,verb,dianoou/menos,διανοέομαι,verb,a)ll',ἀλλά,adverb,h(ma=s,ἐγώ,pronoun,u(polamba/nwn,ὑπολαμβάνω,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)qelh=sai,ἐθέλω,verb,labei=n,λαμβάνω,verb,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,dia\,διά,preposition,ta\s,ὁ,article,u(pou/sas,ai)ti/as,αἰτία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὕπειμι,verb,,
e)dh/lwse,δηλόω,verb,de\,δέ,particle,au)to\,αὐτός,pronoun,to\,ὁ,article,e)/rgon,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,tw=n,ὁ,article,u(mete/rwn,ὑμέτερος,adjective,politw=n,πολίτης,noun,tine\s,τις,pronoun,parageno/menoi,παραγίγνομαι,verb,a)po\,ἀπό,preposition,tau)toma/tou,αὐτόματος,adjective,sunebou/leuon,συμβουλεύω,verb,h(mi=n,ἐγώ,pronoun,to\,ὁ,article,me\n,μέν,particle,dido/menon,δίδωμι,verb,lamba/nein,λαμβάνω,verb,peri\,περί,preposition,de\,δέ,particle,tw=n,ὁ,article,a)ntilegome/nwn,ἀντιλέγω,verb,kri/nesqai,κρίνω,verb,tou\s,ὁ,article,de\,δέ,particle,ei)s,εἰς,preposition,*(ro/don,,,to/kous,τόκος,noun,mh\,μή,conjunction,kaqomologei=n,καθομολογέω,verb,te/ws,τέως,adverb,a)\n,ἄν,particle,kriqw=men,κρίνω,verb,h(mei=s,ἐγώ,pronoun,me\n,μέν,particle,tau=ta,οὗτος,pronoun,sunexwrou=men,συγχωρέω,verb,ou)k,οὐ,adverb,a)gnoou=ntes,ἀγνοέω,verb,w)=,ὦ,interjection,a)/ndres,dikastai/,δικαστής,noun,to\,ὁ,article,e)k,ἐκ,preposition,th=s,ὁ,article,suggrafh=s,συγγραφεύς,noun,di/kaion,δίκαιος,adjective,a)ll',ἀλλά,adverb,h(gou/menoi,ἡγέομαι,verb,dei=n,δέω,verb,e)lattou=sqai/,ἐλασσόω,verb,ti,τις,pronoun,kai\,καί,conjunction,sugxwrei=n,συγχωρέω,verb,w(/ste,ὥστε,conjunction,mh\,μή,conjunction,dokei=n,δοκέω,verb,filo/dikoi,φιλόδικος,adjective,ei)=nai,εἰμί,verb,ou(=tos,d',δέ,particle,w(s,ὡς,conjunction,e(w/ra,ὁράω,verb,h(ma=s,ἐγώ,pronoun,o(mo/se,ὁμόσε,adverb,poreuome/nous,πορεύω,verb,a)nairei=sqe,ἀναιρέω,verb,fhsi\,φημί,verb,toi/nun,th\n,ὁ,article,suggrafh/n,συγγραφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνήρ,noun,οὗτος,pronoun,τοίνυν,particle
