word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/10/lemma/@_entry,word/10/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
*cugkle/ptetai,συγκλέπτω,verb,ga\r,γάρ,particle,au)th\,αὐτός,pronoun,h(,ὁ,article,*rafh\,,,trhxute/rh,,,e)ou=sa,εἰμί,verb,tou=,ὁ,article,a)/llou,ἄλλος,adjective,o)ste/ou,ὀστέον,noun,kai\,ou),οὐ,adverb,dia/dhlon,διάδηλος,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,te,τε,particle,au)tou=,αὐτός,pronoun,καί,conjunction,*rafh/,,,e),,,in,,,kai\,καί,conjunction,o(/,ti,τις,pronoun,tou=,ὁ,article,be/leos,e(/drh,ἕδρα,noun,h)\n,ἐάν,conjunction,mh\,μή,conjunction,ka/rta,κάρτα,adverb,mega/lh,μέγας,adverb,ge/nhtai,γίγνομαι,verb,h(,ὁ,article,e(/drh,ἕδρα,noun,,,,,ὅς,pronoun,βέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosgi/netai,προσγίγνομαι,verb,de\,δέ,particle,kai\,καί,conjunction,*rh=cis,,,th=|,ὁ,article,e(/drh|,ἕδρα,noun,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,to\,ὁ,article,poulu\,πολύς,adjective,th=|,e)n,ἐν,preposition,th=|si,ὁ,article,*rafh=|si,,,gignome/nh|,γίγνομαι,verb,kai\,καί,conjunction,gi/netai,γίγνομαι,verb,ὁ,article,kai\,καί,conjunction,au)th\,αὐτός,pronoun,h(,ὁ,article,*rh/cis,,,xalepwte/rh,fra/sasqai,φράζω,verb,e)r)*rwgo/tos,,,tou=,o)ste/ou,ὀστέον,noun,dia\,διά,preposition,tou=to,οὗτος,pronoun,o(/ti,ὅστις,pronoun,kat',κατά,preposition,au)th\n,αὐτός,pronoun,th\n,ὁ,article,*rafh\n,,,h(,*rh=cis,,,χαλεπός,adjective,ὁ,article,ὁ,article,gi/netai,γίγνομαι,verb,h)\n,ἐάν,conjunction,*rhgnu/htai,,,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,to\,ὁ,article,poulu/,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/toimon,ἑτοῖμος,adjective,ga\r,γάρ,particle,tau/th|,οὗτος,pronoun,*rh/gnusqai,,,to\,ὁ,article,o)ste/on,ὀστέον,noun,kai\,καί,conjunction,diaxala=|n,διαχαλάω,verb,dia\,διά,preposition,th\n,ὁ,article,a)sqe/nei/hn,th=s,ὁ,article,fu/sios,φύσις,noun,tou=,ὁ,article,o)ste/ou,ὀστέον,noun,tau/th|,οὗτος,pronoun,kai\,καί,conjunction,,,dia\,διά,preposition,th\n,ὁ,article,a)raio/thta,ἀραιότης,noun,kai\,καί,conjunction,dh\,a(/te,ἅτε,adverb,th=s,ὁ,article,*rafh=s,e(toi/mhs,ἑτοῖμος,adjective,e)ou/shs,εἰμί,verb,*rh/gnusqai,,,kai\,καί,conjunction,diaxala=|n,διαχαλάω,verb,,,,,,,,,,,,,,δή,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,d',δέ,particle,a)/lla,ἄλλος,adjective,o)ste/a,ὀστέον,noun,ta\,ὁ,article,perie/xonta,περιέχω,verb,th\n,ὁ,article,*rafh\n,,,me/nei,μένω,verb,a)r)*rage/a,,,o(/ti,i)sxuro/tera/,ἰσχυρός,adjective,e)sti,εἰμί,verb,th=s,ὁ,article,*rafh=s,,,,,,,,,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,*rh=cis,,,h(,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,*rafh\n,,,ginome/nh,γίγνομαι,verb,kai\,καί,conjunction,diaxa/lasi/s,διαχάλασις,noun,e)sti,th=s,ὁ,article,*rafh=s,,,kai\,καί,conjunction,fra/sasqai,φράζω,verb,ou)k,οὐ,adverb,eu)marh\s,εὐμαρής,adverb,εἰμί,verb,ou)/te,οὔτε,adverb,h)\n,ἐάν,conjunction,u(po\,ὑπό,preposition,e(/drhs,ἕδρα,noun,tou=,be/leos,βέλος,noun,genome/nhs,γίγνομαι,verb,e)n,th=|,ὁ,article,*rafh=|,,,*ragh=|,,,kai\,καί,conjunction,diaxala/sh|,διαχαλάω,verb,ou)/te,οὔτε,adverb,h)\n,ἐάν,conjunction,flasqe/ntos,,,tou=,o)ste/ou,ὀστέον,noun,ὁ,article,ἐν,preposition,ὁ,article,kata\,κατά,preposition,ta\s,ὁ,article,*rafa\s,,,*ragh=|,,,kai\,καί,conjunction,diaxala/sh|,διαχαλάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)/ti,ἔτι,adverb,xalepw/teron,χαλεπός,adjective,fra/sasqai,φράζω,verb,th\n,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,fla/sios,φλάσις,noun,*rwgmh/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*cugkle/ptousi,συγκλέπτω,verb,ga\r,γάρ,particle,th\n,ὁ,article,gnw/mhn,γνώμη,noun,kai\,καί,conjunction,th\n,ὁ,article,o)/yin,ὄψις,noun,tou=,ὁ,article,i)htrou=,ἰατρός,noun,au(=tai,οὗτος,pronoun,ai(,*rafai\,,,*rwgmoeide/es,,,faino/menai,φαίνω,verb,kai\,καί,conjunction,trhxu/terai,,,e)ou=sai,εἰμί,verb,ὁ,article,tou=,ὁ,article,a)/llou,ἄλλος,adjective,o)ste/ou,ὀστέον,noun,o(/ti,ὅστις,pronoun,mh\,i)sxurw=s,ἰσχυρός,adjective,dieko/ph,διακόπτω,verb,kai\,diexa/lasen,διαχαλάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diakoph\,διακοπή,noun,de\,δέ,particle,kai\,καί,conjunction,e(/drh,ἕδρα,noun,twu)to/n,αὐτός,pronoun,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,xrh\,χρή,verb,ei),εἰ,conjunction,kata\,κατά,preposition,ta\s,ὁ,article,*rafa\s,,,to\,ὁ,article,trw=ma,τραῦμα,noun,ge/noito,γίγνομαι,verb,kai\,καί,conjunction,pro/s,ge,γε,particle,to\,ὁ,article,o)ste/on,ὀστέον,noun,kai\,καί,conjunction,e)s,εἰς,preposition,to\,ὁ,article,πρός,preposition,o)ste/on,ὀστέον,noun,sthri/ceie,στηρίζω,verb,to\,ὁ,article,be/los,βέλος,noun,prose/xonta,to\n,ὁ,article,no/on,νόος,adjective,a)neuri/skein,o(/,ὅς,pronoun,ti,τις,pronoun,pe/ponqe,πάσχω,verb,to\,ὁ,article,o)ste/on,ὀστέον,noun,,,,,,,,,,,,,,προσέχω,verb,ἀνευρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po\,ἀπό,preposition,ga\r,γάρ,particle,i)/swn,ἴσος,adjective,te,τε,particle,bele/wn,βέλος,noun,to\,ὁ,article,me/geqos,μέγεθος,adjective,kai\,καί,conjunction,o(moi/wn,ὅμοιος,adjective,kai\,καί,conjunction,pollo\n,e)lasso/nwn,ἐλάσσων,adjective,kai\,καί,conjunction,o(moi/ws,ὅμοιος,adjective,trwqei\s,τιτρώσκω,verb,kai\,καί,conjunction,polu\,πολύς,adjective,πολύς,adjective,h(=sson,ἥσσων,adverb,pollw=|,πολύς,adjective,me/zon,μέγας,adverb,e)kth/sato,κτάομαι,verb,to\,kako\n,κακός,adjective,e)n,ἐν,preposition,tw=|,o)ste/w|,ὀστέον,noun,o(,ὁ,article,e)s,εἰς,preposition,ta\s,ὁ,article,*rafa\s,,,deca/menos,δέχομαι,verb,to\,ὁ,article,be/los,βέλος,noun,h)\,o(,ὁ,article,ὁ,article,ὁ,article,ἠέ,conjunction,mh\,μή,conjunction,e)s,εἰς,preposition,ta\s,ὁ,article,*rafa\s,,,deca/menos,δέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,toute/wn,οὗτος,pronoun,ta\,ὁ,article,polla\,πολύς,adjective,pri/esqai,πρίω,verb,dei=,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou),οὐ,adverb,xrh\,χρή,verb,au)ta\s,αὐτός,pronoun,ta\s,ὁ,article,*rafa\s,,,pri/ein,πρίω,verb,a)ll',ἀλλά,adverb,a)poxwrh/santa,ἀποχωρέω,verb,e)n,ἐν,preposition,tw=|,plhsi/on,πλησίος,adjective,o)ste/w|,ὀστέον,noun,th\n,ὁ,article,pri/sin,,,poie/esqai,ποιέω,verb,h)\n,ἐάν,conjunction,ὁ,article,pri/h|s,πρίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,de\,δέ,particle,i)h/sios,,,trwsi/wn,τιτρώσκω,verb,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,kefalh=|,κεφαλή,noun,kai\,καί,conjunction,w(s,ὡς,conjunction,xrh\,e)cele/gxein,ἐξελέγχω,verb,ta\s,ὁ,article,pa/qas,πάθη,noun,ta\s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,χρή,verb,o)ste/w|,ὀστέον,noun,ginome/nas,γίγνομαι,verb,ta\s,ὁ,article,mh\,μή,conjunction,fanera\s,w(=de/,ὧδε,adverb,moi,ἐγώ,pronoun,doke/ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φανερός,adjective,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/lkos,ἕλκος,noun,e)n,ἐν,preposition,th=|,ὁ,article,kefalh=|,κεφαλή,noun,ou),οὐ,adverb,xrh\,χρή,verb,te/ggein,τέγγω,verb,ou)deni\,οὐδείς,pronoun,ou)de\,οὐδέ,particle,oi)/nw|,οἶνον,noun,a)ll',w(s,ὡς,conjunction,h(/kista,ἥκιστος,adjective,,,,,,,,,,,,,ἀλλά,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,katapla/ssein,καταπλάσσω,verb,ou)de\,οὐδέ,particle,motw=|,μοτός,noun,th\n,ὁ,article,i)/hsin,εἶμι,verb,poie/esqai,ποιέω,verb,ou)d',οὐδέ,particle,e)pidei=n,ἐπεῖδον,verb,xrh\,χρή,verb,e(/lkos,e)n,ἐν,preposition,kefalh=|,κεφαλή,noun,h)\n,ἐάν,conjunction,mh\,μή,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,ἕλκος,noun,metw/pw|,μέτωπον,noun,h)=|,εἰμί,verb,to\,ὁ,article,e(/lkos,ἕλκος,noun,e)n,tw=|,ὁ,article,yilw=|,ψιλός,adjective,tw=n,trixw=n,θρίξ,noun,h)\,ἠέ,conjunction,peri\,περί,preposition,th\n,ὁ,article,o)fru\n,ὀφρύς,noun,kai\,καί,conjunction,to\n,ὁ,article,o)fqalmo/n,ὀφθαλμός,noun,,,,,ἐν,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ntau=qa,ἐνταῦθα,adverb,de\,δέ,particle,gino/mena,γίγνομαι,verb,ta\,ὁ,article,e(/lkea,ἕλκος,noun,katapla/sios,κατάπλασις,noun,kai\,καί,conjunction,e)pide/sios,ἐπίδεσις,noun,ma=llon,μᾶλλον,adverb,ke/xrhtai,χράω,verb,h)/,kou,πού,adverb,a)/lloqi,ἄλλοθι,adverb,th=s,ὁ,article,kefalh=s,κεφαλή,noun,th=s,ὁ,article,a)/llhs,ἄλλος,adjective,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perie/xei,περιέχω,verb,ga\r,γάρ,particle,h(,ὁ,article,kefalh\,κεφαλή,noun,h(,ὁ,article,a)/llh,ἄλλος,adjective,to\,ὁ,article,me/twpon,μέτωπον,noun,pa=n,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,tw=n,ὁ,article,periexo/ntwn,περιέχω,verb,ta\,ὁ,article,e(/lkea,ἕλκος,noun,kai\,καί,conjunction,e)n,ἐν,preposition,o(/tw|,ὅστις,pronoun,a)\n,ἄν,particle,h)=|,ta\,ὁ,article,e(/lkea,ἕλκος,noun,flegmai/nei,φλεγμαίνω,verb,kai\,καί,conjunction,e)panoidi/sketai,,,di',διά,preposition,εἰμί,verb,ai(/matos,αἷμα,noun,e)pir)*roh/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
