word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS
a)ll',ἀλλά,adverb,w(s,ὡς,conjunction,ta/xista,τάχιστος,adjective,pro\s,πρός,preposition,po/lin,πόλις,adjective,speu/swmen,σπεύδω,verb,w)=,ὦ,interjection,*filou=rge,,,o(/pws,ὅπως,conjunction,a)/n,ἄν,particle,au)tai=s,αὐτός,pronoun,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,qe/ntes,τίθημι,verb,ta\,ὁ,article,pre/mna,πρέμνον,noun,tauti/,οὗτος,pronoun,o(/sai,ὅσος,adjective,to\,ὁ,article,pra=gma,πρᾶγμα,noun,tou=t',οὗτος,pronoun,e)nesth/santo,ἐνίστημι,verb,kai\,καί,conjunction,meth=lqon,μετέρχομαι,verb,mi/an,εἷς,adjective,pura\n,πυρή,noun,nh/santes,νέω,verb,e)mprh/swmen,ἐμπίμπρημι,verb,au)to/xeires,αὐτόχειρ,noun,pa/sas,πᾶς,adjective,u(po\,ὑπό,preposition,yh/fou,ψῆφος,noun,mia=s,εἷς,adjective,prw/thn,πρότερος,adjective,de\,δέ,particle,th\n,ὁ,article,*lu/kwnos,Λύκων,proper,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,ma\,μά,particle,th\n,ὁ,article,*dh/mhtr',Δημήτηρ,proper,e)mou=,ἐγώ,pronoun,zw=ntos,ζάω,verb,e)gxanou=ntai,ἐγχάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,ou)de\,οὐδέ,particle,*kleome/nhs,Κλεομένης,proper,o(\s,ὅς,pronoun,au)th\n,αὐτός,pronoun,kate/sxe,κατέχω,verb,prw=tos,πρότερος,adjective,a)ph=qen,,,a)ya/laktos,ἀψάλακτος,adjective,a)ll',ἀλλά,adverb,o(/mws,ὅμως,conjunction,*lakwniko\n,Λακωνικός,adjective,pne/wn,πνέω,verb,w)/|xeto,οἴχομαι,verb,qw)/pla,ὅπλον,noun,paradou\s,παραδίδωμι,verb,e)moi/,ἐγώ,pronoun,smikro\n,μικρός,adjective,e)/xwn,ἔχω,verb,pa/nu,πάνυ,adverb,tribw/nion,τριβώνιον,noun,pinw=n,πίνη,noun,r(upw=n,ῥυπάω,verb,a)para/tiltos,ἀπαράτιλτος,adjective,e(\c,ἕξ,adjective,e)tw=n,ἔται,noun,a)/loutos,ἄλουτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,e)polio/rkhs',πολιορκέω,verb,e)gw\,ἐγώ,pronoun,to\n,ὁ,article,a)/ndr',ἀνήρ,noun,e)kei=non,ἐκεῖνος,pronoun,w)mw=s,ὠμός,adjective,e)f',ἐπί,preposition,e(ptakai/dek',ἑπτακαίδεκα,noun,a)spi/dwn,ἀσπίς,noun,pro\s,πρός,preposition,tai=s,ὁ,article,pu/lais,πύλη,adjective,kaqeu/dwn,καθεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tasdi\,ὅδε,pronoun,de\,δέ,particle,ta\s,ὁ,article,*eu)ripi/dh|,Εὐριπίδης,proper,qeoi=s,θεός,noun,te,τε,particle,pa=sin,πᾶς,adjective,e)xqra\s,ἐχθρός,adjective,e)gw\,ἐγώ,pronoun,ou)k,οὐ,adverb,a)/ra,ἄρος,adjective,sxh/sw,ἔχω,verb,parw\n,πάρειμι,verb,tolmh/matos,τόλμημα,noun,tosou/tou,τοσοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/,μή,conjunction,nun,νῦν,adverb,e)/t',ἔτι,adverb,e)n,ἐν,preposition,th=|,ὁ,article,tetrapo/lei,τετράπολις,noun,tou)mo\n,ἐμός,adjective,tropai=on,τροπαῖος,adjective,ei)/h,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,au)to\,αὐτός,pronoun,ga/r,γάρ,particle,moi,ἐγώ,pronoun,th=s,ὁ,article,o(dou=,ὁδός,adjective,loipo/n,λοιπός,adjective,e)sti,εἰμί,verb,xwri/on,χωρίον,noun,to\,ὁ,article,pro\s,πρός,preposition,po/lin,πόλις,adjective,to\,ὁ,article,simo/n,σιμός,adjective,oi(=,ἕ,pronoun,spoudh\n,σπουδή,noun,e)/xw,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xw)/pws,ὅπως,conjunction,pot',ποτέ,particle,e)campreu/somen,ἐξαμπρεύω,verb,tou=t',οὗτος,pronoun,a)/neu,ἄνευ,preposition,kanqhli/ou,κανθήλιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,e)mou=,ἐγώ,pronoun,ge,γε,particle,tw\,ὁ,article,cu/lw,ξύλον,adjective,to\n,ὁ,article,w)=mon,ὦμος,noun,e)cipw/katon,ἐξιπόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(/mws,ὅμως,conjunction,badiste/on,βαδιστέον,adjective,kai\,καί,conjunction,to\,ὁ,article,pu=r,πῦρ,noun,fushte/on,,,mh/,μή,conjunction,m',ἐγώ,pronoun,a)posbesqe\n,ἀποσβέννυμι,verb,la/qh|,λανθάνω,verb,pro\s,πρός,preposition,th=|,ὁ,article,teleuth=|,τελευτή,noun,th=s,ὁ,article,o(dou=,ὁδός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu=,φύω,verb,fu=,φύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)ou\,ἰού,interjection,i)ou\,ἰού,interjection,tou=,ὁ,article,kapnou=,καπνός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,deino\n,δεινός,adjective,w)=nac,ἄναξ,noun,*(hra/kleis,Ἡρακλέης,proper,prospeso/n,προσπίτνω,verb,m',ἐγώ,pronoun,e)k,ἐκ,preposition,th=s,ὁ,article,xu/tras,χύτρα,noun,w(/sper,ὥσπερ,adverb,ku/wn,κύων,noun,luttw=sa,λυσσάω,verb,tw)fqalmw\,ὀφθαλμός,noun,da/knei,δάκνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)/stin,εἰμί,verb,ge,γε,particle,*lh/mnion,Λήμνιος,proper,to\,ὁ,article,pu=r,πῦρ,noun,tou=to,οὗτος,pronoun,pa/sh|,πᾶς,adjective,mhxanh=|,μηχανεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)/n,ἄν,particle,poq',ποτέ,particle,w(=d',ὧδε,adverb,o)da\c,ὀδάξ,adverb,e)/bruke,βρύκω,verb,ta\s,ὁ,article,lh/mas,λήμη,noun,e)mou=,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speu=de,σπεύδω,verb,pro/sqen,πρόσθεν,adverb,e)s,εἰς,preposition,po/lin,πόλις,adjective,kai\,καί,conjunction,boh/qei,βοηθέω,verb,th=|,ὁ,article,qew=|,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,po/t',ποτέ,particle,au)th=|,αὐτός,pronoun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,nu=n,νῦν,adverb,w)=,ὦ,interjection,*la/xhs,Λάχης,proper,a)rh/comen,ἀρήγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu=,φύω,verb,fu=,φύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)ou\,ἰού,interjection,i)ou\,ἰού,interjection,tou=,ὁ,article,kapnou=,καπνός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
touti\,οὗτος,pronoun,to\,ὁ,article,pu=r,πῦρ,noun,e)grh/goren,ἐγείρω,verb,qew=n,θέα,noun,e(/kati,ἕκητι,adverb,kai\,καί,conjunction,zh=|,ζάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,a)/n,ἄν,particle,ei),εἰ,conjunction,tw\,ὁ,article,me\n,μέν,particle,cu/lw,ξύλον,adjective,qei/mesqa,θέω,verb,prw=ton,πρότερος,adjective,au)tou=,αὐτός,pronoun,th=s,ὁ,article,a)mpe/lou,ἄμπελος,noun,d',δέ,particle,e)s,εἰς,preposition,th\n,ὁ,article,xu/tran,χύτρα,noun,to\n,ὁ,article,fano\n,φανός,noun,e)gkaqe/ntes,ἐγκαθίημι,verb,a(/yantes,ἅπτω,verb,ei)=t',εἶτα,adverb,e)s,εἰς,preposition,th\n,ὁ,article,qu/ran,θύρα,noun,krihdo\n,κριηδόν,adverb,e)mpe/soimen,ἐμπίτνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)\n,κἀν,conjunction,mh\,μή,conjunction,kalou/ntwn,καλέω,verb,tou\s,ὁ,article,moxlou\s,μοχλός,noun,xalw=sin,χαλάω,verb,ai(,ὁ,article,gunai=kes,γυνή,noun,e)mpimpra/nai,ἐμπίμπρημι,verb,xrh\,χρή,verb,ta\s,ὁ,article,qu/ras,θύρα,noun,kai\,καί,conjunction,tw=|,ὁ,article,kapnw=|,καπνός,noun,pie/zein,πιέζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qw/mesqa,θάομαι,verb,dh\,δή,particle,to\,ὁ,article,forti/on,φορτίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feu=,φεῦ,interjection,tou=,ὁ,article,kapnou=,καπνός,noun,babaia/c,βαβαί,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,culla/boit',συλλαμβάνω,verb,a)\n,ἄν,particle,tou=,ὁ,article,cu/lou,ξύλον,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,*sa/mw|,Σάμος,proper,strath,,,gw=n,γοῦν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tauti\,οὗτος,pronoun,me\n,μέν,particle,h)/dh,ἤδη,adverb,th\n,ὁ,article,r(a/xin,ῥάχις,noun,qli/bonta/,θλίβω,verb,mou,ἐγώ,pronoun,pe/pautai,παύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so\n,σός,adjective,d',δέ,particle,e)/rgon,ἔργον,noun,e)sti\n,εἰμί,verb,w)=,ὦ,interjection,xu/tra,χύτρα,noun,to\n,ὁ,article,a)/nqrak',ἄνθραξ,noun,e)cegei/rein,ἐξεγείρω,verb,th\n,ὁ,article,lampa/d',λαμπάς,noun,h(mme/nhn,ἅπτω,verb,o(/pws,ὅπως,conjunction,prw/tist',πρώτιστος,adjective,e)moi\,ἐγώ,pronoun,prosoi/seis,προσφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/spoina,δέσποινα,noun,*ni/kh,Νίκη,proper,cuggenou=,συγγίγνομαι,verb,tw=n,ὁ,article,t',τε,particle,e)n,ἐν,preposition,po/lei,πόλις,adjective,gunaikw=n,γυνή,noun,tou=,ὁ,article,nu=n,νῦν,adverb,parestw=tos,παρίστημι,verb,qra/sous,θράσος,adjective,qe/sqai,τίθημι,verb,tropai=on,τροπαῖος,adjective,h(ma=s,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lignu\n,λιγνύς,adjective,dokw=,δοκάζω,verb,moi,ἐγώ,pronoun,kaqora=n,καθοράω,verb,kai\,καί,conjunction,kapno\n,καπνός,noun,w)=,ὦ,interjection,gunai=kes,γυνή,noun,w(/sper,ὥσπερ,adverb,puro\s,πῦρ,noun,kaome/nou,καίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speuste/on,σπευστέον,adjective,e)sti\,εἰμί,verb,qa=tton,θάσσων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/tou,πέτομαι,verb,pe/tou,πέτομαι,verb,*nikodi/kh,,,pri\n,πρίν,adverb,e)mpeprh=sqai,ἐμπίμπρημι,verb,*kalu/khn,Καλύκη,proper,te,τε,particle,kai\,καί,conjunction,*kri/tullan,,,perifush/tw,περιφύσητος,adjective,u(po/,ὑπό,preposition,te,τε,particle,no/mwn,νόμος,noun,a)rgale/wn,ἀργαλέος,adjective,u(po/,ὑπό,preposition,te,τε,particle,gero/ntwn,γέρων,noun,o)le/qrwn,ὄλεθρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,fobou=mai,φοβέω,verb,to/de,ὅδε,pronoun,mw=n,μῶν,adverb,u(stero/pous,ὑστερόπους,noun,bohqw=,βοηθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,dh\,δή,particle,ga\r,γάρ,particle,e)mplhsame/nh,ἐμπίπλημι,verb,th\n,ὁ,article,u(dri/an,ὑδρία,noun,knefai/a,κνεφαῖος,adjective,mo/lis,μόλις,adverb,a)po\,ἀπό,preposition,krh/nhs,κρήνη,noun,u(p',ὑπό,preposition,o)/xlou,ὄχλος,noun,kai\,καί,conjunction,qoru/bou,θόρυβος,noun,kai\,καί,conjunction,pata/gou,πάταγος,noun,xutrei/ou,χύτρειος,adjective,dou/laisin,δούλη,noun,w)stizome/nh,ὠστίζομαι,verb,stigmati/ais,στιγματίας,noun,q',τε,particle,a(rpale/ws,ἁρπαλέος,adjective,a)rame/nh,αἴρω,verb,tai=sin,ὁ,article,e)mai=s,ἐμός,adjective,dhmo/tisin,δημότης,noun,kaome/nais,καίω,verb,fe/rous',φέρω,verb,u(/dwr,ὕδωρ,noun,bohqw=,βοηθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/kousa,ἀκούω,verb,ga\r,γάρ,particle,tufoge/rontas,τυφογέρων,noun,a)/ndras,ἀνήρ,noun,e)/rrein,ἔρρω,verb,stele/xh,στέλεχος,noun,fe/rontas,φέρω,verb,w(/sper,ὥσπερ,adverb,balaneu/sontas,βαλανεύω,verb,e)s,εἰς,preposition,po/lin,πόλις,adjective,w(s,ὡς,conjunction,trita/lanton,τριτάλαντον,noun,ba/ros,βάρος,noun,deino/tat',δεινός,adjective,a)peilou=ntas,ἀπειλέω,verb,e)pw=n,ἔπος,adjective,w(s,ὡς,conjunction,puri\,πῦρ,noun,xrh\,χρή,verb,ta\s,ὁ,article,musara\s,μυσαρός,adjective,gunai=kas,γυνή,noun,a)nqrakeu/ein,ἀνθρακεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\s,ὅς,pronoun,w)=,ὦ,interjection,qea\,θεά,noun,mh/,μή,conjunction,pot',ποτέ,particle,e)gw\,ἐγώ,pronoun,pimprame/nas,πίμπρημι,verb,i)/doimi,εἶδον,verb,a)lla\,ἀλλά,adverb,pole/mou,πόλεμος,noun,kai\,καί,conjunction,maniw=n,μανία,noun,r(usame/nas,ῥύομαι,verb,*(ella/da,Ἑλλάς,proper,kai\,καί,conjunction,poli/tas,πολίτης,noun,e)f',ἐπί,preposition,oi(=sper,ὅς,pronoun,w)=,ὦ,interjection,xrusolo/fa,,,poliou=xe,πολιοῦχος,adjective,sa\s,σός,adjective,e)/sxon,ἔχω,verb,e(/dras,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,se,σύ,pronoun,kalw=,καλέω,verb,cu/mmaxon,σύμμαχος,adjective,w)=,ὦ,interjection,*tritoge/nei',Τριτογένεια,proper,ei)/,εἰ,conjunction,tis,τις,pronoun,e)kei/nas,ἐκεῖνος,pronoun,u(popi/mprhsin,ὑποπίμπρημι,verb,a)nh/r,ἀνήρ,noun,fe/rein,φέρω,verb,u(/dwr,ὕδωρ,noun,meq',μετά,preposition,h(mw=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ason,ἀίω,verb,w)=,ὦ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
touti\,οὗτος,pronoun,ti/,τίς,pronoun,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=ndres,ἀνήρ,noun,po/nw|,πόνος,noun,po/nhroi,πονηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,pot',ποτέ,particle,a)\n,ἄν,particle,xrhstoi/,χρηστός,adjective,g',γε,particle,e)/drwn,δράω,verb,ou)d',οὐδέ,particle,eu)sebei=s,εὐσεβής,adjective,ta/d',ὅδε,pronoun,a)/ndres,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
touti\,οὗτος,pronoun,to\,ὁ,article,pra=gm',πρᾶγμα,noun,h(mi=n,ἐγώ,pronoun,i)dei=n,εἶδον,verb,a)prosdo/khton,ἀπροσδόκητος,adjective,h(/kei,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(smo\s,ἑσμός,noun,gunaikw=n,γυνή,noun,ou(tosi\,οὗτος,pronoun,qu/rasin,θύρασι,adverb,au)=,αὖ,interjection,bohqei=,βοηθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,bdu/lleq',βδύλλω,verb,h(ma=s,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/,οὐ,adverb,ti/,τίς,pronoun,pou,πού,adverb,pollai\,πολύς,adjective,dokou=men,δοκέω,verb,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,me/ros,μέρος,noun,g',γε,particle,h(mw=n,ἐγώ,pronoun,o(ra=t',ὁράω,verb,ou)/pw,οὔπω,adverb,to\,ὁ,article,muriosto/n,μυριοστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,*faidri/a,Φαιδρίης,proper,tau/tas,οὗτος,pronoun,lalei=n,λαλέω,verb,e)a/somen,ἀίω,verb,tosauti/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,perikata=cai,περικατάγνυμι,verb,to\,ὁ,article,cu/lon,ξύλον,adjective,tu/ptont',τύπτω,verb,e)xrh=n,χρή,verb,tin',τις,pronoun,au)tai=s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qw/mesqa,θάομαι,verb,dh\,δή,particle,ta\s,ὁ,article,ka/lpidas,κάλπις,noun,xh)mei=s,ἐγώ,pronoun,xama=z',χαμᾶζε,adverb,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,h)\n,ἐάν,conjunction,prosfe/rh|,προσφέρω,verb,th\n,ὁ,article,xei=ra/,χείρ,noun,tis,τις,pronoun,mh\,μή,conjunction,tou=to/,οὗτος,pronoun,m',ἐγώ,pronoun,e)mpodi/zh|,ἐμποδίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
