word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
*mukhnai/wn,Μυκηναῖος,proper,ti/ni,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,w(=|,ὅς,pronoun,path/r,πατήρ,noun,m',h)/lpizen,ἐλπίζω,verb,e)kdw/sein,ἐκδίδωμι,verb,pote/,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/f',εἶπον,verb,w(s,ὡς,conjunction,a)kou/sas,ἀκέω,verb,sw=|,kasignh/tw|,κασίγνητος,noun,le/gw,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,toi=sd',ὅδε,pronoun,e)kei/nou,ἐκεῖνος,pronoun,thloro\s,nai/w,ναίω,verb,do/mois,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τηλορός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skafeu/s,σκαφεύς,noun,tis,τις,pronoun,h)\,ἠέ,conjunction,bouforbo\s,a)/cios,ἄξιος,adjective,do/mwn,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βουφορβός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/nhs,πένης,noun,a)nh\r,ἀνήρ,noun,gennai=os,γενναῖος,adjective,e)/s,t',τε,particle,e)/m',ἐγώ,pronoun,eu)sebh/s,εὐσεβής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,eu)se/beia,εὐσέβεια,noun,ti/s,pro/sesti,πρόσειμι,verb,sw=|,σός,adjective,po/sei,πόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)pw/pot',οὐπώποτε,adverb,eu)nh=s,εὐνή,noun,th=s,ὁ,article,e)mh=s,e)/tlh,τλάω,verb,qigei=n,θιγγάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/gneum',ἅγνευμα,noun,e)/xwn,ἔχω,verb,ti,τις,pronoun,qei=on,h)/,ἠέ,conjunction,s',σύ,pronoun,a)paciw=n,ἀπαξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gone/as,γονεύς,noun,u(bri/zein,ὑβρίζω,verb,tou\s,ὁ,article,e)mou\s,ou)k,οὐ,adverb,h)ci/ou,ἀξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pw=s,πῶς,adverb,ga/mon,γάμος,adjective,toiou=ton,ou)x,οὐ,adverb,h(/sqh,ἕζομαι,verb,labw/n,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ku/rion,κύριος,adjective,to\n,ὁ,article,do/nta,m',ἐγώ,pronoun,h(gei=tai,ἡγέομαι,verb,ce/ne,ξένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ore/sth|,Ὀρέστης,proper,mh/,μή,conjunction,pot',ποτέ,particle,e)ktei/sh|,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔκτεισις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=t',οὗτος,pronoun,au)to\,αὐτός,pronoun,tarbw=n,ταρβέω,verb,pro\s,de\,δέ,particle,kai\,καί,conjunction,sw/frwn,σώφρων,noun,e)/fu,φύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gennai=on,γενναῖος,adjective,a)/ndr',ἀνήρ,noun,e)/lecas,λέγω,verb,eu)=,te,τε,particle,draste/on,δραστέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὖ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,dh/,δή,particle,poq',ποτέ,particle,h(/cei,g',γε,particle,e)s,εἰς,preposition,do/mous,δόμος,noun,o(,ὁ,article,nu=n,νῦν,adverb,a)pw/n,ἄπειμι,verb,,,,,,,,,,,,,,,,,,,,,,,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/thr,μήτηρ,noun,de/,δέ,particle,s',σύ,pronoun,h(,tekou=sa,τίκτω,verb,tau=t',οὗτος,pronoun,h)ne/sxeto,ἀνέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunai=kes,γυνή,noun,a)ndrw=n,ἀνήρ,noun,w)=,ὦ,interjection,ce/n',ou),οὐ,adverb,pai/dwn,παῖς,adjective,fi/lai,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ξένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/nos,τίς,pronoun,de/,δέ,particle,s',σύ,pronoun,ou(/nex',u(/bris',ὑβρίζω,verb,*ai)/gisqos,Αἴγισθος,proper,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕνεκα,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekei=n,τίκτω,verb,m',ἐγώ,pronoun,e)bou/let',βούλομαι,verb,a)sqenh=,toiw=|de,τοιόσδε,adjective,dou/s,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀσθενής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,dh=qe,,,pai=das,παῖς,adjective,mh\,te/kois,τίκτω,verb,poina/toras,ποινάτωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiau=t',τοιοῦτος,adjective,e)bou/leus',βουλεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,e)moi\,ἐγώ,pronoun,doi/h,δίδωμι,verb,di/khn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=den,οἶδα,verb,de/,δέ,particle,s',σύ,pronoun,ou)=san,parqe/non,παρθένος,noun,mhtro\s,μήτηρ,noun,po/sis,πόσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,oi)=de,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigh=|,σιγή,noun,tou=q',οὗτος,pronoun,u(fairou/mesqa/,ὑφαιρέω,verb,nin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νιν,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai(/d',ὅδε,pronoun,ou)=n,οὖν,particle,fi/lai,φίλος,adjective,soi,tou/sd',ὅδε,pronoun,a)kou/ousin,ἀκούω,verb,lo/gous,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,ste/gein,στέγω,verb,ge,γε,particle,ta)ma\,kai\,καί,conjunction,s',σύ,pronoun,e)/ph,ἔπος,adjective,kalw=s,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἁμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,dh=t',δῆτα,adverb,*)ore/sths,Ὀρέστης,proper,pro\s,to/d',ὅδε,pronoun,*)/argos,Ἄργος,proper,h)\n,ἐάν,conjunction,mo/lh|,βλώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρός,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/rou,ἦρος,noun,to/d',ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)sxro/n,αἰσχρός,adjective,g',γε,particle,ei)=pas,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,nu=n,νῦν,adverb,a)kmh/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀκμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)lqw\n,ἔρχομαι,verb,de\,δέ,particle,dh\,δή,particle,pw=s,fone/as,φονεύς,noun,a)\n,ἄν,particle,kta/noi,κτείνω,verb,patro/s,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πῶς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolmw=n,τολμάω,verb,u(p',ὑπό,preposition,e)xqrw=n,ἐχθρός,adjective,oi(=',e)tolmh/qh,τολμάω,verb,path/r,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οἷος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,kai\,καί,conjunction,met',μετά,preposition,au)tou=,mhte/r',μήτηρ,noun,a)\n,ἄν,particle,tlai/hs,τλάω,verb,ktanei=n,κτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau)tw=|,ταυτός,adjective,ge,γε,particle,pele/kei,πέλεκυς,adjective,tw=|,path\r,πατήρ,noun,a)pw/leto,ἀπόλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gw,λέγω,verb,ta/d',ὅδε,pronoun,au)tw=|,αὐτός,pronoun,kai\,be/baia,βέβαιος,adjective,ta)po\,ἀπό,preposition,sou=,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa/noimi,θνήσκω,verb,mhtro\s,μήτηρ,noun,ai(=m',αἷμα,noun,e)pisfa/cas',e)mh=s,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπισφάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/q',εἴθε,interjection,h)=n,εἰμί,verb,*)ore/sths,Ὀρέστης,proper,plhsi/on,klu/wn,κλύω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πλησίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,w)=,ὦ,interjection,ce/n',ξένος,noun,ou),gnoi/hn,γιγνώσκω,verb,a)\n,ἄν,particle,ei)sidou=sa/,εἰσεῖδον,verb,nin,νιν,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne/a,ναῦς,noun,ga/r,γάρ,particle,ou)de\n,οὐδείς,pronoun,qau=m',a)pezeu/xqhs,ἀποζεύγνυμαι,verb,ne/ou,νέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θαῦμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei(=s,εἷς,adjective,a)\n,ἄν,particle,mo/nos,μόνος,adjective,nin,tw=n,ὁ,article,e)mw=n,ἐμός,adjective,gnoi/h,γιγνώσκω,verb,fi/lwn,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νιν,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)=r',ἆρα,particle,o(\n,ὅς,pronoun,le/gousin,λέγω,verb,au)to\n,e)kkle/yai,ἐκκλέπτω,verb,fo/nou,φόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patro/s,πατήρ,noun,ge,γε,particle,paidagwgo\s,παιδαγωγός,noun,a)rxai=os,ge/rwn,γέρων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀρχαῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,katqanw\n,καταθνήσκω,verb,de\,δέ,particle,so\s,path\r,πατήρ,noun,tu/mbou,τύμβος,noun,kurei=,κυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/kursen,κυρέω,verb,w(s,ὡς,conjunction,e)/kursen,κυρέω,verb,e)kblhqei\s,do/mwn,δόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/moi,οἴμοι,interjection,to/d',ὅδε,pronoun,oi(=on,οἷος,adjective,ei)=pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)/sqhsis,αἴσθησις,noun,ga\r,γάρ,particle,ou)=n,οὖν,particle,ka)k,tw=n,ὁ,article,qurai/wn,θυραῖος,adjective,phma/twn,πῆμα,adjective,da/knei,δάκνω,verb,brotou/s,βροτός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/con,λέγω,verb,d',δέ,particle,i(/n',ἵνα,conjunction,ei)dw\s,sw=|,σός,adjective,kasignh/tw|,κασίγνητος,noun,fe/rw,φέρω,verb,lo/gous,λόγος,noun,a)terpei=s,ἀτερπής,adverb,a)ll',ἀλλά,adverb,a)nagkai/ous,ἀναγκαῖος,adjective,klu/ein,κλύω,verb,,,,,,,,,,,,,,,,,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nesti,ἔνειμι,verb,d',δέ,particle,oi)=ktos,οἶκτος,noun,a)maqi/a|,me\n,μέν,particle,ou)damou=,οὐδαμός,adverb,sofoi=si,σοφός,adjective,d',δέ,particle,a)ndrw=n,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,ἀμαθία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,ou)d',οὐδέ,particle,a)zh/mion,gnw/mhn,γνώμη,noun,e)nei=nai,ἐνίημι,verb,toi=s,ὁ,article,sofoi=s,σοφός,adjective,li/an,λίαν,adverb,sofh/n,σοφός,adjective,,,,,,,,,,,,,,,,,,,,,,,ἀζήμιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,to\n,ὁ,article,au)to\n,αὐτός,pronoun,tw=|d',e)/ron,ἔρος,noun,yuxh=s,ψυχή,noun,e)/xw,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro/sw,πρόσω,adverb,ga\r,γάρ,particle,a)/stews,ἄστυ,noun,ou)=sa,ta)n,ἐν,preposition,po/lei,πόλις,adjective,kaka\,κακός,adjective,ou)k,οὐ,adverb,oi)=da,οἶδα,verb,nu=n,νῦν,adverb,de\,δέ,particle,bou/lomai,βούλομαι,verb,ka)gw\,ἐγώ,pronoun,maqei=n,μανθάνω,verb,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
